C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2281|TYC 1486-138-1                                                                                                                                                                                                                                       |Star                               |15 11 25.7385786312 +16 01 08.783826528|021.3053462744831 +55.7488402689399|   5.438 -2.268   |10.75    |~               |    ~     ~    |    1|  935.979   pc  | -12.0896    +12.0896  |paral   |2020yCat.1350....0G
2282|TYC 1486-197-1                                                                                                                                                                                                                                       |Star                               |15 10 50.3925752472 +15 22 30.052358796|020.1654985171407 +55.6010378164123|   -6.838 0.721   |10.88    |~               |    ~     ~    |    1|  679.625   pc  |  -9.5149     +9.5149  |paral   |2020yCat.1350....0G
2283|TYC 1486-511-1                                                                                                                                                                                                                                       |Star                               |15 12 14.2278146376 +15 42 29.105962776|020.9526601487506 +55.4409581721636|  -20.419 8.575   |10.96    |~               |    ~     ~    |    1|  362.279   pc  |  -2.9399     +2.9399  |paral   |2020yCat.1350....0G
2284|TYC 1486-590-1                                                                                                                                                                                                                                       |Star                               |15 13 54.6538509456 +16 13 00.893600760|022.0625902029237 +55.2898423047061|   12.877 5.780   |10.96    |~               |    ~     ~    |    1|  517.572   pc  |  -5.9737     +5.9737  |paral   |2020yCat.1350....0G
2285|TYC 1486-790-1                                                                                                                                                                                                                                       |Star                               |15 11 39.8761975656 +16 17 29.866849440|021.7876063289589 +55.8114212827527|   -5.140 0.065   |10.53    |~               |    ~     ~    |    1| 1923.817   pc  | -61.8079    +61.8079  |paral   |2020yCat.1350....0G
2286|TYC 1486-1162-1                                                                                                                                                                                                                                      |Star                               |15 12 10.4907185880 +16 21 12.877732440|021.9779793444922 +55.7256584473649|  5.609 -27.031   |10.75    |~               |    ~     ~    |    1| 2956.830   pc  |-159.1198   +159.1198  |paral   |2020yCat.1350....0G
2287|TYC 1486-1178-1                                                                                                                                                                                                                                      |Star                               |15 09 58.4729339184 +17 15 40.750660152|023.0856683498740 +56.5745630537154|   -2.423 1.700   |10.80    |~               |    ~     ~    |    1|  731.850   pc  | -14.3542    +14.3542  |paral   |2020yCat.1350....0G
2288|TYC 1486-1198-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 14 06.1492099368 +15 00 02.186108748|020.1782679016866 +54.7294008751690|-53.187 -19.269   |10.98    |~               |    ~     ~    |    1|  186.383   pc  |  -0.4620     +0.4620  |paral   |2020yCat.1350....0G
2289|TYC 1486-1256-1                                                                                                                                                                                                                                      |Star                               |15 09 35.6300905512 +15 06 37.463943636|019.5098156731576 +55.7548883726659|  -4.331 -3.876   |10.89    |~               |    ~     ~    |    1|  285.087   pc  |  -1.1541     +1.1541  |paral   |2020yCat.1350....0G
2290|TYC 1488-78-1                                                                                                                                                                                                                                        |Star                               |15 04 48.4270759344 +18 02 36.386627136|023.5302435752677 +58.0131145078305|   15.105 8.888   |10.96    |~               |    ~     ~    |    1|  108.460   pc  |  -0.1717     +0.1717  |paral   |2020yCat.1350....0G
2291|TYC 1488-90-1                                                                                                                                                                                                                                        |Star                               |15 03 36.8957149992 +17 39 18.513540432|022.6452480421419 +58.1234076137127|  -7.918 -2.366   |10.44    |~               |    ~     ~    |    1| 1217.582   pc  | -22.3858    +22.3858  |paral   |2020yCat.1350....0G
2292|TYC 1488-109-1                                                                                                                                                                                                                                       |Star                               |15 03 30.2931190344 +17 42 12.649404240|022.7099334970947 +58.1665506645231|  -27.441 2.152   |10.90    |~               |    ~     ~    |    1| 1040.583   pc  | -15.2677    +15.2677  |paral   |2020yCat.1350....0G
2293|TYC 1488-279-1                                                                                                                                                                                                                                       |Star                               |15 06 12.3763829760 +18 57 49.538617488|025.3767983428350 +58.0475383662258| -27.465 20.687   |10.80    |~               |    ~     ~    |    1|  194.966   pc  |  -0.6424     +0.6424  |paral   |2020yCat.1350....0G
2294|TYC 1488-312-1                                                                                                                                                                                                                                       |Star                               |15 03 14.0314014720 +18 33 22.832503848|024.1645506126144 +58.5528529427036| -4.811 -11.242   |10.90    |~               |    ~     ~    |    1| 1076.658   pc  | -19.1267    +19.1267  |paral   |2020yCat.1350....0G
2295|TYC 1488-478-1                                                                                                                                                                                                                                       |Star                               |15 05 40.5967647672 +18 50 54.043239444|025.0875393099310 +58.1225669528982| -18.385 17.569   |10.64    |~               |    ~     ~    |    1|  160.816   pc  |  -0.5172     +0.5172  |paral   |2020yCat.1350....0G
2296|TYC 1488-518-1                                                                                                                                                                                                                                       |Star                               |15 06 12.6487167312 +19 20 17.237014440|026.0399092365052 +58.1796469816861|  -8.663 -9.055   |10.86    |~               |    ~     ~    |    1|  941.886   pc  | -12.9524    +12.9524  |paral   |2020yCat.1350....0G
2297|TYC 1488-689-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 00 17.6181946176 +19 38 55.829069844|025.6598120010664 +59.5947800025980|  -6.832 -4.140   |10.99    |~               |    ~     ~    |    1| 1046.135   pc  | -32.5036    +32.5036  |paral   |2020yCat.1350....0G
2298|TYC 1489-313-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 12 49.6546239984 +19 25 22.187112636|027.1957276827888 +56.7458030782926|  -4.437 -0.884   |10.90    |~               |    ~     ~    |    1| 1132.631   pc  | -25.7853    +25.7853  |paral   |2020yCat.1350....0G
2299|TYC 1489-739-1                                                                                                                                                                                                                                       |Star                               |15 14 29.5267973040 +18 19 52.019736564|025.6067357677113 +55.9892026540324| -3.167 -21.733   |10.94    |~               |    ~     ~    |    1|  541.800   pc  |  -5.0490     +5.0490  |paral   |2020yCat.1350....0G
2300|TYC 1489-940-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 13 10.4879505624 +18 05 00.057784020|024.9862533089393 +56.1877524608781|-90.609 -33.377   |10.76    |~               |    ~     ~    |    1|  104.808   pc  |  -0.1801     +0.1801  |paral   |2020yCat.1350....0G
2301|TYC 1489-1080-1                                                                                                                                                                                                                                      |Star                               |15 12 48.4966379448 +17 55 32.179177848|024.6645959847231 +56.2091143725968|  -5.670 -9.268   |10.97    |~               |    ~     ~    |    1| 1748.863   pc  | -44.3486    +44.3486  |paral   |2020yCat.1350....0G
2302|TYC 1491-49-1                                                                                                                                                                                                                                        |Star                               |15 06 26.6347755984 +20 14 15.707672304|027.6858634079658 +58.4336457637773|  -17.307 2.362   |10.94    |~               |    ~     ~    |    1| 1132.631   pc  | -17.3185    +17.3185  |paral   |2020yCat.1350....0G
2303|2MASS J15020684+2226562                                                                                                                                                                                                                              |Red Giant Branch star              |15 02 06.8560982280 +22 26 56.272016364|031.2201591379354 +60.0592615259567|  3.647 -12.996   |10.99    |~               |    ~     ~    |    1| 1123.469   pc  | -24.1077    +24.1077  |paral   |2020yCat.1350....0G
2304|TYC 1492-782-2                                                                                                                                                                                                                                       |Star                               |15 12 35.023 +20 40 55.15              |029.343236 +57.214265              |     -37.6 14.1   |10.96    |~               |    ~     ~    |    0|                |                       |        |                   
2305|TYC 2017-29-1                                                                                                                                                                                                                                        |Red Giant Branch star              |15 03 51.2051720448 +22 35 31.052145408|031.7099893334854 +59.7108982125827|  -32.284 5.068   |10.97    |~               |    ~     ~    |    1| 3183.699   pc  |-122.6449   +122.6449  |paral   |2020yCat.1350....0G
2306|2MASS J15000577+2241481                                                                                                                                                                                                                              |Red Giant Branch star              |15 00 05.7652854984 +22 41 48.074636508|031.4501107257849 +60.5744859424599|-17.815 -29.018   |10.67    |~               |    ~     ~    |    1|  362.687   pc  |  -3.0649     +3.0649  |paral   |2020yCat.1350....0G
2307|TYC 2017-1230-1                                                                                                                                                                                                                                      |Red Giant Branch star Candidate    |15 02 36.3562668384 +23 50 37.503207924|033.9922964751371 +60.3004613000280|  -16.909 5.424   |10.03    |~               |    ~     ~    |    1|  755.915   pc  |  -9.3139     +9.3139  |paral   |2020yCat.1350....0G
2308|TYC 2024-1303-1                                                                                                                                                                                                                                      |Star                               |15 09 19.2550552368 +22 32 31.977238884|032.2733014790412 +58.4812748344410|   -8.203 5.530   |10.72    |~               |    ~     ~    |    1|  200.529   pc  |  -0.6555     +0.6555  |paral   |2020yCat.1350....0G
2309|TYC 2027-418-1                                                                                                                                                                                                                                       |Star                               |15 05 52.5563197104 +25 10 44.481643464|036.9252675689061 +59.8573834945818|  -5.888 12.587   |10.67    |~               |    ~     ~    |    1|  985.513   pc  | -11.9462    +11.9462  |paral   |2020yCat.1350....0G
2310|TYC 2027-959-1                                                                                                                                                                                                                                       |Red Giant Branch star              |15 05 54.0517642992 +26 38 37.637313864|039.8114416268776 +60.1044194255897|  14.670 -4.720   |10.88    |~               |    ~     ~    |    1|  496.722   pc  |  -4.0711     +4.0711  |paral   |2020yCat.1350....0G
2311|TYC 2027-1060-1                                                                                                                                                                                                                                      |Horizontal Branch Star             |15 06 41.3975275128 +26 37 03.806867784|039.8133930428058 +59.9261604289106|-24.494 -15.444   |10.83    |~               |    ~     ~    |    1| 1077.354   pc  | -18.8032    +18.8032  |paral   |2020yCat.1350....0G
2312|TYC 2027-1303-1                                                                                                                                                                                                                                      |Star                               |15 05 34.0451080128 +27 06 22.312670832|040.7100082510729 +60.2445118858921| 11.598 -16.431   |10.98    |M1e             |    ~     ~    |    1| 1420.455   pc  | -52.6617    +52.6617  |paral   |2020yCat.1350....0G
2313|TYC 2030-57-1                                                                                                                                                                                                                                        |High Proper Motion Star            |15 11 21.0943870224 +29 57 33.585971040|046.5966998870990 +59.2604889837757| -31.183 39.480   |9.82     |~               |    ~     ~    |    1|  232.856   pc  |  -0.7483     +0.7483  |paral   |2020yCat.1350....0G
2314|GSC 02030-00126                                                                                                                                                                                                                                      |Double or Multiple Star            |15 12 49.3379969088 +29 13 07.421197260|045.2044552373373 +58.8879394178204| -18.438 -2.305   |10.699   |~               |    ~     ~    |    1|  913.325   pc  | -11.1778    +11.1778  |paral   |2020yCat.1350....0G
2315|TYC 2030-176-1                                                                                                                                                                                                                                       |Star                               |15 09 45.9232450368 +28 56 36.456309708|044.5565354474637 +59.5296872139893|   -5.647 1.361   |10.95    |~               |    ~     ~    |    1|  912.492   pc  | -11.5737    +11.5737  |paral   |2020yCat.1350....0G
2316|TYC 2030-403-1                                                                                                                                                                                                                                       |Star                               |15 05 17.8422033912 +29 13 44.648608836|044.9705366042404 +60.5254980654227| 29.117 -34.693   |10.99    |~               |    ~     ~    |    1|  438.904   pc  |  -2.8510     +2.8510  |paral   |2020yCat.1350....0G
2317|TYC 2562-205-1                                                                                                                                                                                                                                       |Star                               |15 02 23.5111235688 +30 11 33.814255812|046.8767027827974 +61.2078550077849|  -5.834 -4.291   |10.76    |~               |    ~     ~    |    1| 1256.597   pc  | -21.0012    +21.0012  |paral   |2020yCat.1350....0G
2318|BD+32 2541                                                                                                                                                                                                                                           |High Proper Motion Star            |15 04 24.7422339984 +31 43 37.213986396|050.0546753074470 +60.7970469118466|-52.489 -50.663   |10.29    |~               |    ~     ~    |    1|  107.932   pc  |  -0.2085     +0.2085  |paral   |2020yCat.1350....0G
2319|BD+31 2698                                                                                                                                                                                                                                           |Spectroscopic Binary               |15 07 03.1776719160 +31 07 12.268492284|048.8273311115033 +60.2306712824075| -36.343 26.667   |10.17    |~               |    ~     ~    |    1|  133.590   pc  |  -0.8209     +0.8209  |paral   |2020yCat.1350....0G
2320|TYC 2562-863-1                                                                                                                                                                                                                                       |Star                               |15 11 31.1552999712 +30 58 11.150126364|048.5750730714107 +59.2706725033573|  -0.227 -4.061   |10.96    |~               |    ~     ~    |    1| 1396.258   pc  | -28.8531    +28.8531  |paral   |2020yCat.1350....0G
2321|BD+33 2547                                                                                                                                                                                                                                           |High Proper Motion Star            |15 09 01.7682756816 +32 50 20.505513156|052.2617966612660 +59.8003993696338| -55.152 90.968   |10.41    |~               |    ~     ~    |    1|  169.820   pc  |  -0.4383     +0.4383  |paral   |2020yCat.1350....0G
2322|TYC 2565-146-1                                                                                                                                                                                                                                       |Star                               |15 00 34.1261373552 +33 45 55.695877956|054.3513611769853 +61.5137819765010| -1.326 -14.797   |10.97    |~               |    ~     ~    |    1|  382.526   pc  |  -2.0925     +2.0925  |paral   |2020yCat.1350....0G
2323|TYC 2565-435-1                                                                                                                                                                                                                                       |Star                               |15 04 09.9217056312 +34 54 10.704325104|056.5489938878695 +60.6671506177560|  -7.373 -2.258   |10.60    |~               |    ~     ~    |    1| 1557.390   pc  | -36.1394    +36.1394  |paral   |2020yCat.1350....0G
2324|BD+34 2606                                                                                                                                                                                                                                           |High Proper Motion Star            |15 08 31.3834114512 +33 39 20.484200412|053.8946476242573 +59.8711043792487|-48.086 -43.109   |9.89     |~               |    ~     ~    |    1|  177.990   pc  |  -0.4784     +0.4784  |paral   |2020yCat.1350....0G
2325|TYC 2566-375-1                                                                                                                                                                                                                                       |Red Giant Branch star              |15 13 00.7193730312 +32 58 52.413612672|052.4964159871706 +58.9610010518315| -21.704 -5.609   |10.83    |~               |    ~     ~    |    1| 3580.380   pc  |-176.9038   +176.9038  |paral   |2020yCat.1350....0G
2326|BD+36 2577                                                                                                                                                                                                                                           |High Proper Motion Star            |15 10 06.8539287816 +36 25 47.116615332|059.2892850889997 +59.2844630020476| -78.580 34.068   |10.90    |~               |    ~     ~    |    1|  134.513   pc  |  -0.2207     +0.2207  |paral   |2020yCat.1350....0G
2327|BD+36 2570                                                                                                                                                                                                                                           |High Proper Motion Star            |15 05 00.6905259720 +36 09 26.273677392|059.0334460748294 +60.3403262768924|-120.582 69.818   |10.94    |~               |    ~     ~    |    1|  143.964   pc  |  -0.2383     +0.2383  |paral   |2020yCat.1350....0G
2328|TYC 2568-346-1                                                                                                                                                                                                                                       |Spectroscopic Binary               |15 00 34.0632824520 +36 27 40.075266780|059.9309160397168 +61.1779407999201|-53.217 -49.017   |10.53    |~               |    ~     ~    |    1|  152.943   pc  |  -0.3088     +0.3088  |paral   |2020yCat.1350....0G
2329|TYC 2568-629-1                                                                                                                                                                                                                                       |Star                               |15 01 14.5509687192 +36 39 59.717156400|060.3025641342481 +61.0097165172355|  -7.987 -4.327   |10.35    |~               |    ~     ~    |    1|  874.891   pc  |  -9.2617     +9.2617  |paral   |2020yCat.1350....0G
2330|TYC 3045-1379-1                                                                                                                                                                                                                                      |Double or Multiple Star            |15 12 07.283304 +39 26 48.79428        |064.902679203 +58.376109584        |     -25.0 16.2   |10.903   |~               |    ~     ~    |    0|                |                       |        |                   
2331|GSC 03047-00024                                                                                                                                                                                                                                      |Double or Multiple Star            |15 00 42.3723660192 +42 12 35.471463588|071.2129622607291 +59.7058613523389|  9.664 -19.500   |10.564   |~               |    ~     ~    |    1|  115.654   pc  |  -0.3237     +0.3237  |paral   |2020yCat.1350....0G
2332|2MASS J15060388+4054513                                                                                                                                                                                                                              |Red Giant Branch star              |15 06 03.8768611320 +40 54 51.229860120|068.1880926121057 +59.1434836577025|   -8.591 1.603   |10.91    |~               |    ~     ~    |    1| 1017.087   pc  | -22.9651    +22.9651  |paral   |2020yCat.1350....0G
2333|TYC 3050-742-1                                                                                                                                                                                                                                       |Star                               |15 02 13.8810080232 +43 22 33.392117676|073.1734687485779 +59.0419926525257|  -21.489 7.435   |10.29    |~               |    ~     ~    |    1|  196.963   pc  |  -0.5160     +0.5160  |paral   |2020yCat.1350....0G
2334|TYC 3051-590-1                                                                                                                                                                                                                                       |Star                               |15 14 11.7075255336 +44 58 46.846529112|074.5896978194618 +56.4726549963383|  -1.606 -4.444   |10.74    |~               |    ~     ~    |    1|  325.574   pc  |  -1.1978     +1.1978  |paral   |2020yCat.1350....0G
2335|TYC 3481-825-1                                                                                                                                                                                                                                       |Star                               |15 12 47.1100828440 +46 41 54.279618756|077.6342865709108 +56.0759271999445|   -8.828 8.336   |10.97    |~               |    ~     ~    |    1|  970.026   pc  |  -9.4095     +9.4095  |paral   |2020yCat.1350....0G
2336|TYC 3481-1004-1                                                                                                                                                                                                                                      |Star                               |15 08 25.9911545568 +46 06 54.342716580|077.1903720559077 +56.9941497382924|  -0.362 -7.409   |10.63    |~               |    ~     ~    |    1|  352.796   pc  |  -1.5060     +1.5060  |paral   |2020yCat.1350....0G
2337|TYC 3481-1306-1                                                                                                                                                                                                                                      |Spectroscopic Binary               |15 01 43.1952824136 +46 55 55.730373780|079.4607717751922 +57.7017482415810| -19.009 -2.669   |10.80    |~               |    ~     ~    |    1|  387.432   pc  |  -1.8913     +1.8913  |paral   |2020yCat.1350....0G
2338|TYC 3484-297-1                                                                                                                                                                                                                                       |Star                               |15 06 35.1626717424 +49 54 34.525686672|083.5843621146422 +55.6078086443075|  7.704 -12.565   |10.96    |~               |    ~     ~    |    1| 1286.670   pc  | -29.4683    +29.4683  |paral   |2020yCat.1350....0G
2339|TYC 3484-597-1                                                                                                                                                                                                                                       |Star                               |15 12 22.0109562624 +49 27 22.791712932|082.1167689521732 +54.9899319441006|  -17.654 7.383   |10.53    |~               |    ~     ~    |    1|  648.508   pc  |  -4.6262     +4.6262  |paral   |2020yCat.1350....0G
2340|TYC 3484-969-1                                                                                                                                                                                                                                       |Star                               |15 06 46.9667877144 +49 59 43.753570908|083.6904583198104 +55.5386574266973|   2.117 -8.209   |10.98    |~               |    ~     ~    |    1| 1003.814   pc  |  -9.9757     +9.9757  |paral   |2020yCat.1350....0G
2341|TYC 3484-1007-1                                                                                                                                                                                                                                      |Star                               |15 06 00.2355349656 +48 46 56.171123760|081.8907981714607 +56.2235772816082|  -2.854 -4.689   |10.66    |~               |    ~     ~    |    1| 1937.234   pc  | -43.1581    +43.1581  |paral   |2020yCat.1350....0G
2342|TYC 3484-1135-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 00 13.6124214384 +49 42 14.999493096|084.1748145966162 +56.6009950100984| 18.944 -46.614   |10.75    |~               |    ~     ~    |    1|  377.373   pc  |  -1.5095     +1.5095  |paral   |2020yCat.1350....0G
2343|TYC 3484-1246-1                                                                                                                                                                                                                                      |Spectroscopic Binary               |15 04 11.9334044472 +48 44 52.022909040|082.0859077411899 +56.5028319977361|   6.394 -5.664   |10.85    |~               |    ~     ~    |    1| 1308.044   pc  | -29.0867    +29.0867  |paral   |2020yCat.1350....0G
2344|TYC 3484-1478-1                                                                                                                                                                                                                                      |Star                               |15 04 14.4094738320 +48 08 34.663152552|081.1054883338241 +56.7770647059601|  -4.270 -6.242   |10.93    |~               |    ~     ~    |    1| 1363.141   pc  | -22.1120    +22.1120  |paral   |2020yCat.1350....0G
2345|TYC 3484-1494-1                                                                                                                                                                                                                                      |Star                               |15 00 56.6584133256 +49 04 23.858670396|083.0730261353390 +56.8152048006144| -12.968 13.190   |10.80    |~               |    ~     ~    |    1|  344.293   pc  | -24.5255    +24.5255  |paral   |2020yCat.1350....0G
2346|TYC 3484-1570-1                                                                                                                                                                                                                                      |High Proper Motion Star            |15 02 04.6300592616 +48 00 48.796301232|081.2001640412291 +57.1573361490834| -67.281 19.397   |10.91    |~               |    ~     ~    |    1|  293.376   pc  |  -0.8004     +0.8004  |paral   |2020yCat.1350....0G
2347|TYC 3487-117-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 11 03.4645902240 +50 37 48.863474724|084.0929021398624 +54.6355353912044|-85.742 -12.370   |10.98    |~               |    ~     ~    |    1|  363.636   pc  |  -1.5339     +1.5339  |paral   |2020yCat.1350....0G
2348|TYC 3487-165-1                                                                                                                                                                                                                                       |Star                               |15 10 07.8211588176 +50 29 23.615360232|084.0005356064030 +54.8318668946177|  -1.307 -6.370   |10.70    |~               |    ~     ~    |    1|  912.326   pc  |  -9.1557     +9.1557  |paral   |2020yCat.1350....0G
2349|TYC 3487-306-1                                                                                                                                                                                                                                       |Star                               |15 11 02.8876310160 +50 51 35.155088460|084.4421639594311 +54.5273071557285|    8.884 0.866   |10.79    |~               |    ~     ~    |    1|  123.080   pc  |  -0.2757     +0.2757  |paral   |2020yCat.1350....0G
2350|TYC 3487-517-1                                                                                                                                                                                                                                       |Star                               |15 04 52.8325419960 +51 21 23.530889016|086.0273677493739 +55.1188974321296|  -6.183 16.373   |9.68     |~               |    ~     ~    |    1|  256.358   pc  |  -1.4130     +1.4130  |paral   |2020yCat.1350....0G
2351|TYC 3487-873-1                                                                                                                                                                                                                                       |Star                               |15 08 51.7305831624 +51 38 23.701288020|085.9010670795904 +54.4414072696489|   3.973 -0.879   |10.76    |~               |    ~     ~    |    1| 1213.887   pc  | -15.3246    +15.3246  |paral   |2020yCat.1350....0G
2352|TYC 3487-878-1                                                                                                                                                                                                                                       |Star                               |15 08 26.7757073904 +51 38 28.228786008|085.9590127708843 +54.4964663908883|   -7.763 9.836   |10.81    |~               |    ~     ~    |    1|  190.953   pc  |  -2.5779     +2.5779  |paral   |2020yCat.1350....0G
2353|TYC 3487-915-1                                                                                                                                                                                                                                       |Star                               |15 07 47.4326059848 +50 08 55.425399036|083.7897949734724 +55.3231264640967|   24.448 0.460   |10.83    |~               |    ~     ~    |    1|  251.503   pc  |  -0.7843     +0.7843  |paral   |2020yCat.1350....0G
2354|TYC 3487-1023-1                                                                                                                                                                                                                                      |Star                               |15 03 57.9416663088 +50 00 13.855778388|084.0968819401563 +55.9293539216788| -5.870 -27.246   |10.94    |~               |    ~     ~    |    1|  305.502   pc  |  -0.8866     +0.8866  |paral   |2020yCat.1350....0G
2355|TYC 3487-1032-1                                                                                                                                                                                                                                      |Star                               |15 00 57.2279793048 +50 02 59.816591196|084.6053911781611 +56.3240614903143|    3.803 1.998   |10.85    |~               |    ~     ~    |    1|  731.368   pc  | -19.6843    +19.6843  |paral   |2020yCat.1350....0G
2356|TYC 3861-20-1                                                                                                                                                                                                                                        |Star                               |15 02 55.4832708744 +52 32 42.716168592|088.0577686693627 +54.7409581140767|  -0.882 -5.141   |10.89    |~               |    ~     ~    |    1| 2503.129   pc  |-137.8444   +137.8444  |paral   |2020yCat.1350....0G
2357|TYC 3861-527-1                                                                                                                                                                                                                                       |Star                               |15 01 06.2046626976 +54 08 19.380656256|090.5804339360749 +54.0646660632325|   17.673 6.722   |10.32    |~               |    ~     ~    |    1|  226.050   pc  |  -1.1242     +1.1242  |paral   |2020yCat.1350....0G
2358|TYC 3867-94-2                                                                                                                                                                                                                                        |Star                               |15 05 45.096 +58 41 01.90              |095.877910 +50.799751              |     -19.6 34.3   |10.16    |~               |    ~     ~    |    0|                |                       |        |                   
2359|TYC 3867-398-1                                                                                                                                                                                                                                       |Star                               |15 00 26.5390392120 +58 53 33.651076632|096.8322287334262 +51.1946743650311|   6.381 -8.525   |10.94    |~               |    ~     ~    |    1|  988.631   pc  | -10.8490    +10.8490  |paral   |2020yCat.1350....0G
2360|TYC 3868-37-1                                                                                                                                                                                                                                        |Star                               |15 12 31.0570020744 +53 54 49.401014472|088.7051814572489 +52.7950217511758|   0.674 -0.267   |10.76    |~               |    ~     ~    |    1| 2060.581   pc  | -52.6503    +52.6503  |paral   |2020yCat.1350....0G
2361|TYC 3874-1292-1                                                                                                                                                                                                                                      |Star                               |15 09 55.6526788296 +58 22 06.087899064|094.9556158285958 +50.5649312247011|   -5.382 0.505   |10.63    |~               |    ~     ~    |    1|  700.182   pc  |  -5.3438     +5.3438  |paral   |2020yCat.1350....0G
2362|TYC 4180-75-1                                                                                                                                                                                                                                        |Star                               |15 06 24.6698047872 +60 48 17.574300612|098.3379989546490 +49.3801310069555|   1.945 -6.374   |10.92    |~               |    ~     ~    |    1| 1995.211   pc  | -41.0029    +41.0029  |paral   |2020yCat.1350....0G
2363|TYC 4180-240-1                                                                                                                                                                                                                                       |Star                               |15 03 09.9740579568 +62 17 09.349511424|100.4161458086979 +48.6825955632997|   1.326 -8.596   |10.79    |~               |    ~     ~    |    1|  989.805   pc  | -11.3647    +11.3647  |paral   |2020yCat.1350....0G
2364|TYC 4180-440-1                                                                                                                                                                                                                                       |Star                               |15 05 48.9868943400 +62 29 50.171594460|100.3377296358651 +48.3134904825763|  -5.065 22.618   |10.84    |~               |    ~     ~    |    1|  121.280   pc  |  -0.5442     +0.5442  |paral   |2020yCat.1350....0G
2365|TYC 4180-577-1                                                                                                                                                                                                                                       |Star                               |15 14 12.8805787200 +60 31 38.291221164|097.0859496217658 +48.8158991489349|   6.498 -2.332   |10.58    |~               |    ~     ~    |    1|  452.284   pc  |  -3.2525     +3.2525  |paral   |2020yCat.1350....0G
2366|TYC 4180-675-1                                                                                                                                                                                                                                       |Star                               |15 04 03.1949758392 +60 11 21.807434832|097.9090928947721 +50.0015092185356|   -7.332 2.241   |10.94    |~               |    ~     ~    |    1|  680.226   pc  |  -5.0435     +5.0435  |paral   |2020yCat.1350....0G
2367|BD+62 1395                                                                                                                                                                                                                                           |Star                               |15 13 08.0816921592 +61 43 59.691392220|098.6300185314157 +48.1646087650731|-16.119 -40.940   |10.26    |~               |    ~     ~    |    1|  200.485   pc  |  -0.4663     +0.4663  |paral   |2020yCat.1350....0G
2368|TYC 4181-473-1                                                                                                                                                                                                                                       |Star                               |15 14 39.0072840648 +62 20 57.146764632|099.1721868181662 +47.6365561473147|  -3.628 -0.821   |10.91    |~               |    ~     ~    |    1|  244.355   pc  |  -1.8988     +1.8988  |paral   |2020yCat.1350....0G
2369|TYC 4183-147-1                                                                                                                                                                                                                                       |Star                               |15 11 05.9329557072 +64 37 26.832422964|102.0772962758102 +46.4475178690581|-11.360 -17.253   |10.95    |~               |    ~     ~    |    1| 2556.891   pc  | -64.0694    +64.0694  |paral   |2020yCat.1350....0G
2370|TYC 4183-251-1                                                                                                                                                                                                                                       |High Proper Motion Star            |15 13 04.2022173792 +63 37 08.729974812|100.7735993258569 +46.9544531914899|-10.241 -57.953   |10.81    |~               |    ~     ~    |    1|  168.418   pc  |  -0.3858     +0.3858  |paral   |2020yCat.1350....0G
