C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
1982|TYC 1476-1037-1                                                       |Star                           |14 28 45.0519351960 +16 40 41.452179492|013.0658626751395 +65.1904265406083| -0.681 -10.863    |10.61    |~                   |    ~     ~    
1983|TYC 1479-750-1                                                        |High Proper Motion Star        |14 27 38.6435547000 +17 59 20.323805244|015.5718026196259 +66.0377104790876| -42.306 28.705    |10.61    |~                   |    ~     ~    
1984|TYC 1479-1137-1                                                       |Star                           |14 28 54.0325219320 +17 55 40.917975780|015.7671142518696 +65.7433619734029|   -9.482 3.771    |10.89    |~                   |    ~     ~    
1985|TYC 1479-1138-1                                                       |Star                           |14 28 38.7763365504 +18 00 27.339949224|015.8745869259168 +65.8330485642038| -20.367 14.568    |10.47    |~                   |    ~     ~    
1986|BD+16 2648                                                            |Star                           |14 26 32.3854111296 +15 49 57.800924256|010.6866922053076 +65.2255287159746|  -12.018 2.694    |10.96    |K0                  |    ~     ~    
1987|HD 126752                                                             |Star                           |14 27 04.5088591992 +15 29 55.094729964|010.1687027224142 +64.9416264202970|   6.734 20.221    |8.88     |F5                  |    ~     ~    
1988|HD 126946                                                             |High Proper Motion Star        |14 28 17.9173961808 +15 40 15.470073984|010.8758149267338 +64.7795686029175| -68.145 23.643    |8.85     |F8                  |    ~     ~    
1989|BD+16 2654                                                            |High Proper Motion Star        |14 28 31.0889924136 +15 45 10.635200496|011.1045897852989 +64.7764366081940|-79.161 -92.965    |9.26     |K0                  |    ~     ~    
1990|BD+15 2713                                                            |Star                           |14 27 22.4414535504 +14 29 17.166589116|008.2687686421530 +64.3380279456805|  -7.861 12.950    |9.89     |G5                  |    ~     ~    
1991|HD 126812                                                             |Star                           |14 27 30.2051882112 +14 45 15.337418544|008.8243066191628 +64.4571559381651|  -12.904 5.909    |7.270    |K0                  |    ~     ~    
1992|BD+15 2716                                                            |Star                           |14 27 58.1434951296 +15 08 38.894275968|009.7291299149411 +64.5715112541147| -11.475 10.181    |10.36    |K0                  |    ~     ~    
1993|BD+15 2717                                                            |Star                           |14 28 03.7564401576 +14 46 52.760961264|009.0463727408078 +64.3581399567420|  7.402 -16.485    |9.99     |G5                  |    ~     ~    
1994|BD+15 2718                                                            |Star                           |14 28 16.5509476824 +14 28 39.426186360|008.5240984753603 +64.1497431441899|-25.622 -25.029    |9.32     |K0                  |    ~     ~    
1995|BD+16 2658                                                            |High Proper Motion Star        |14 29 29.6973782867 +15 31 57.501338204|010.9461155880533 +64.4614393726976|-1054.776 1299.313 |10.676   |M2/3V               |    ~     ~    
1996|BD+15 2720                                                            |Star                           |14 28 46.5803979456 +14 45 50.947967556|009.2274311891732 +64.2035772700888| -6.352 -13.705    |10.60    |F5                  |    ~     ~    
1997|BD+15 2721                                                            |High Proper Motion Star        |14 28 54.5118429792 +14 46 49.564104780|009.2984497815452 +64.1853981756701|  -53.131 1.579    |10.62    |F8                  |    ~     ~    
1998|BD+15 2722                                                            |Star                           |14 29 33.8635988712 +14 40 27.416907228|009.2888654756938 +63.9946157491591|  -10.550 7.859    |10.13    |F2                  |    ~     ~    
1999|BD+14 2738                                                            |Star                           |14 28 39.1739362944 +13 50 11.797461672|007.4254561949214 +63.7182138288133| 21.922 -30.223    |10.37    |K0                  |    ~     ~    
2000|TYC 915-347-1                                                         |Star                           |14 26 30.8769172392 +14 48 01.745260380|008.6121762457284 +64.6829262335049| -25.533 -3.717    |10.78    |~                   |    ~     ~    
2001|TYC 915-538-1                                                         |Star                           |14 27 51.8808782784 +14 26 26.637200736|008.3279679859252 +64.2127626877443|-27.927 -11.283    |10.78    |~                   |    ~     ~    
2002|TYC 915-730-1                                                         |Star                           |14 26 41.8502866488 +13 58 40.315818900|007.0826345223987 +64.1898736990201| -11.083 -3.859    |10.59    |~                   |    ~     ~    
2003|TYC 916-297-1                                                         |Star                           |14 28 35.0166581424 +14 25 06.570249060|008.5041965728849 +64.0550239880211|    9.767 6.107    |10.43    |~                   |    ~     ~    
2004|TYC 1476-624-1                                                        |Star                           |14 28 46.8916297488 +15 48 23.387427936|011.2885365819598 +64.7494065450275| -17.504 17.229    |10.82    |~                   |    ~     ~    
2005|TYC 1476-819-1                                                        |High Proper Motion Star        |14 28 14.8859840400 +15 37 05.801030580|010.7552373390383 +64.7627650698204| -57.546 17.640    |10.85    |~                   |    ~     ~    
2006|TYC 1476-1039-1                                                       |Star                           |14 27 07.9120110504 +15 17 39.322050720|009.7764133936418 +64.8223379862654|-34.761 -19.614    |10.58    |~                   |    ~     ~    
2007|TYC 1476-1175-1                                                       |Spectroscopic Binary           |14 26 26.3102571672 +15 30 27.040700124|009.9959969577843 +65.0768206033263| -7.707 -11.297    |10.68    |~                   |    ~     ~    
2008|HD 126646                                                             |Star                           |14 26 27.3068089224 +13 37 19.426224036|006.3359124422034 +64.0356921193907|  10.244 -6.181    |9.21     |F5                  |    ~     ~    
2009|HD 126764                                                             |Star                           |14 27 14.3546220960 +12 22 56.707155372|004.3314797160121 +63.1531677655354| 25.087 -18.270    |8.34     |G5                  |    ~     ~    
2010|HD 126864                                                             |Star                           |14 27 48.8770994400 +12 06 24.074877276|004.0328224889579 +62.8749194047955| 31.210 -10.543    |9.50     |F8                  |    ~     ~    
2011|HD 126696                                                             |High Proper Motion Star        |14 26 45.5908761576 +11 27 54.516560400|002.5785450054770 +62.6858259342964|-61.907 -40.343    |9.56     |G                   |    ~     ~    
2012|HD 127128                                                             |Double or Multiple Star        |14 29 20.6705598 +13 17 38.134628      |006.6375797285 +63.2719659939      |   24.82 -11.40    |9.13     |G5                  |0.0050  0.0    
2013|BD+13 2801                                                            |Red Giant Branch star Candidate|14 29 57.1497297192 +12 54 15.261725988|006.1220624937254 +62.9264640177257|   -2.184 7.963    |9.76     |K0                  |    ~     ~    
2014|HD 127246                                                             |Star                           |14 29 58.9508789688 +12 36 22.317811704|005.6009481341056 +62.7467865595855| -24.365 -1.101    |9.25     |G5                  |    ~     ~    
2015|V* HK Boo                                                             |RS CVn Variable                |14 29 01.1801380560 +12 07 20.253666252|004.4474811687969 +62.6491140892634|-109.122 65.173    |8.556    |G5IVe               |    ~     ~    
2016|BD+12 2701                                                            |Star                           |14 29 45.2215054152 +11 22 45.599875788|003.4093534912679 +62.0556189615184| -38.464 -7.012    |9.90     |F5                  |    ~     ~    
2017|TYC 912-981-1                                                         |Star                           |14 27 46.7010516096 +11 22 24.869107956|002.7587692994274 +62.4332787205047|  8.336 -21.274    |10.43    |~                   |    ~     ~    
2018|TYC 913-736-1                                                         |High Proper Motion Star        |14 29 03.3351248616 +12 11 44.395575900|004.5868899664984 +62.6860376235683| 52.914 -73.573    |10.71    |~                   |    ~     ~    
2019|TYC 913-825-1                                                         |Star                           |14 28 22.8225123504 +11 21 41.851769508|002.9354409904843 +62.3099801090495|  0.455 -32.695    |10.21    |~                   |    ~     ~    
2020|TYC 915-628-1                                                         |High Proper Motion Star        |14 27 44.3605096176 +13 32 56.132873664|006.6058505419901 +63.7379953281358| -48.262 34.994    |10.77    |~                   |    ~     ~    
2021|TYC 915-1190-1                                                        |Star                           |14 27 58.7558856384 +12 37 41.266220196|005.0067527280242 +63.1546040760276|-29.539 -17.524    |10.16    |~                   |    ~     ~    
2022|TYC 916-872-1                                                         |Star                           |14 28 19.5649189680 +12 44 06.455544324|005.3085516155388 +63.1494948738434| -0.565 -31.269    |10.62    |~                   |    ~     ~    
2023|HD 126845                                                             |Star                           |14 27 47.5328001600 +10 51 03.545999172|001.8866487472379 +62.1039933557681|-18.734 -16.098    |9.52     |F5                  |    ~     ~    
2024|HD 126721                                                             |Star                           |14 27 01.3515190560 +09 58 52.731979860|000.2108081373096 +61.6927962002030| 14.112 -42.679    |7.22     |K0                  |    ~     ~    
2025|BD+10 2686                                                            |Horizontal Branch Star         |14 27 54.9180154632 +09 49 47.632824156|000.2689355379578 +61.4272743237935|   2.141 -5.414    |9.62     |K5                  |    ~     ~    
2026|HD 126957                                                             |High Proper Motion Star        |14 28 32.1965373024 +10 19 33.692775168|001.2718392051394 +61.6296396768489|-42.287 -32.049    |7.79     |K0                  |    ~     ~    
2027|AG+09 1710                                                            |High Proper Motion Star        |14 26 35.0087555400 +09 38 37.571674560|359.5244954143577 +61.5540801205219| -69.292 49.769    |10.73    |G0                  |    ~     ~    
2028|BD+09 2894                                                            |Red Giant Branch star          |14 27 49.3473533736 +09 17 17.373190776|359.3860263052496 +61.0899790240263|   3.958 -2.517    |10.10    |K0                  |    ~     ~    
2029|V* HL Boo                                                             |Eclipsing Binary               |14 29 02.8278723792 +11 02 33.923380092|002.6170623588901 +61.9839606900609|  6.580 -21.806    |7.580    |K0                  |    ~     ~    
2030|HD 127166                                                             |Star                           |14 29 41.9915404368 +09 52 20.014241016|000.9270562547940 +61.1191275135671| -35.987 26.773    |9.43     |G5                  |    ~     ~    
2031|HD 127044                                                             |Star                           |14 28 59.4251763864 +09 33 03.396920904|000.1865187021135 +61.0446016753665|  4.834 -20.375    |8.63     |F5                  |    ~     ~    
2032|HD 127129                                                             |Star                           |14 29 27.8618302608 +09 23 46.000041864|000.1014826214505 +60.8550581628499|-22.761 -32.079    |8.65     |F8                  |    ~     ~    
2033|HD 127031                                                             |High Proper Motion Star        |14 28 52.0765511616 +09 10 08.882523480|359.5517602681409 +60.8174898929972|-37.354 -28.835    |7.90     |K0                  |    ~     ~    
2034|HD 127070                                                             |High Proper Motion Star        |14 29 05.7725552448 +09 02 48.764540760|359.4395315404443 +60.6945456252505|30.568 -109.522    |8.56     |F8                  |    ~     ~    
2035|TYC 909-350-1                                                         |Star                           |14 26 38.0926097376 +09 58 28.197155244|000.0688356337421 +61.7608699077847| -12.782 -3.996    |10.40    |~                   |    ~     ~    
2036|2MASS J14293230+0913535                                               |Red Giant Branch star          |14 29 32.3054838624 +09 13 53.638882284|359.8707340869252 +60.7336836860524|  -1.952 -0.123    |10.52    |~                   |    ~     ~    
2037|TYC 910-65-1                                                          |High Proper Motion Star        |14 28 59.5034189544 +09 15 45.453210732|359.7375592182714 +60.8559126745129| -75.880 74.827    |10.87    |~                   |    ~     ~    
2038|TYC 910-703-1                                                         |Star                           |14 28 10.1083460952 +09 59 34.960137756|000.6136170767728 +61.4853996145766|    5.776 6.187    |10.13    |~                   |    ~     ~    
2039|TYC 910-920-1                                                         |Red Giant Branch star          |14 29 16.9239684696 +09 07 37.731735984|359.6247204591829 +60.7128913493154|  -7.608 -0.327    |10.58    |~                   |    ~     ~    
2040|TYC 913-1531-1                                                        |Spectroscopic Binary           |14 29 12.5444276952 +10 44 43.720345032|002.1774669441585 +61.7671297047444|-121.267 63.482    |10.75    |~                   |    ~     ~    
2041|V* DW Boo                                                             |Eclipsing Binary               |14 26 47.3947248336 +08 22 54.241866984|357.6511009907029 +60.6728582905699|    4.489 2.131    |7.41     |A0                  |    ~     ~    
2042|BD+09 2893                                                            |Star                           |14 27 48.7268532744 +08 21 54.435575088|357.9747052558663 +60.4755739635863| 38.798 -17.131    |9.60     |K2                  |    ~     ~    
2043|BD+08 2866                                                            |Star                           |14 28 00.9771358632 +07 54 27.466889004|357.3660866597338 +60.1278171648930|  -3.860 -8.550    |10.02    |M0                  |    ~     ~    
2044|BD+08 2863                                                            |Star                           |14 26 22.7432089176 +07 38 53.077573212|356.4262677862249 +60.2440015824490|   3.164 -7.791    |9.08     |K0                  |    ~     ~    
2045|BD+08 2864                                                            |Star                           |14 26 38.9652820896 +07 32 23.215232364|356.3624628285314 +60.1206721512542| -24.445 -3.019    |9.28     |K0                  |    ~     ~    
2046|BD+08 2865                                                            |High Proper Motion Star        |14 27 51.4447429896 +07 25 19.384526136|356.6065491244478 +59.8230186242157|-26.136 -47.672    |9.64     |F8                  |    ~     ~    
2047|BD+07 2790                                                            |Star                           |14 27 55.1485362840 +06 57 05.887204416|355.9574700134685 +59.4853888122583| 23.752 -33.502    |9.24     |G0                  |    ~     ~    
2048|BD+09 2898                                                            |Star                           |14 28 50.8638230088 +08 44 44.876466384|358.8970739448774 +60.5409817526051| -35.094 -4.256    |10.14    |G0                  |    ~     ~    
2049|BD+09 2902                                                            |Star                           |14 29 40.5099292728 +08 37 39.161494740|358.9938817077512 +60.3096473633109|   8.476 -8.248    |10.26    |F8                  |    ~     ~    
2050|BD+07 2794                                                            |High Proper Motion Star        |14 28 50.2349356800 +07 17 19.811010048|356.7477754712665 +59.5552733693855|-94.525 -74.001    |9.76     |G0                  |    ~     ~    
2051|BD+07 2795                                                            |Star                           |14 29 02.4149565120 +07 07 05.918691324|356.5733996622349 +59.4010938924851| -21.366 10.365    |10.82    |F8                  |    ~     ~    
2052|TYC 324-217-1                                                         |Star                           |14 28 46.0194108528 +07 14 32.688070908|356.6577661841023 +59.5358475357173|  -2.052 -2.011    |10.64    |~                   |    ~     ~    
2053|TYC 324-585-1                                                         |Star                           |14 27 42.5558678904 +07 02 37.443062688|356.0160068891045 +59.5869447361080|  -17.778 1.001    |10.67    |~                   |    ~     ~    
2054|TYC 324-891-1                                                         |Star                           |14 28 26.3277708288 +06 45 29.548361124|355.8625704912710 +59.2579822848153|   -9.492 2.858    |10.17    |~                   |    ~     ~    
2055|TYC 909-462-1                                                         |Star                           |14 28 04.6082778024 +08 50 17.880139212|358.7789672244876 +60.7446515857032| -30.685 -1.606    |10.30    |~                   |    ~     ~    
2056|TYC 909-714-1                                                         |Star                           |14 27 46.3740769368 +08 33 05.735836980|358.2414859055205 +60.6084382436328|  18.022 -4.464    |10.39    |~                   |    ~     ~    
2057|TYC 909-743-1                                                         |Star                           |14 28 00.0622115280 +08 51 04.190415444|358.7730512917752 +60.7671780943556| -31.516 -1.657    |10.76    |~                   |    ~     ~    
2058|TYC 909-1164-1                                                        |Star                           |14 27 00.9065843304 +08 43 43.982352336|358.2523414267504 +60.8662837294977| -29.245 30.010    |9.92     |~                   |    ~     ~    
2059|TYC 910-949-1                                                         |Horizontal Branch Star         |14 28 18.0497487096 +08 34 22.803570228|358.4521192473668 +60.5261093719035|-10.783 -24.714    |9.86     |~                   |    ~     ~    
2060|TYC 910-1134-1                                                        |Star                           |14 28 30.8346676080 +08 37 48.202956084|358.6099235873525 +60.5251975959266|    4.026 3.955    |10.81    |~                   |    ~     ~    
2061|HD 126647                                                             |High Proper Motion Star        |14 26 42.2157144840 +05 56 05.864063496|354.1350068741114 +58.9796732606287| -4.723 -96.745    |7.20     |K0                  |    ~     ~    
2062|HD 126697                                                             |High Proper Motion Star        |14 27 01.5180796296 +05 57 43.621920396|354.2828533321331 +58.9432717725003|  1.344 -54.780    |7.41     |K0                  |    ~     ~    
2063|BD+06 2886                                                            |Star                           |14 27 15.8098078776 +06 20 27.965199732|354.8822879929085 +59.1716111190435|   19.904 3.323    |9.44     |F8                  |    ~     ~    
2064|HD 126813                                                             |Star                           |14 27 44.9720605392 +05 50 42.018949896|354.3734268737540 +58.7336198260840| -44.087 -0.968    |8.22     |K0                  |    ~     ~    
2065|BD+06 2889                                                            |Star                           |14 28 16.6099576776 +06 17 10.192877052|355.1534662715960 +58.9548510217245| -19.949 -1.776    |10.58    |G0                  |    ~     ~    
2066|BD+06 2890                                                            |Star                           |14 28 16.5621861432 +06 09 13.335853284|354.9719184746947 +58.8612772506792| -2.894 -24.706    |9.59     |F2                  |    ~     ~    
2067|HD 126958                                                             |Star                           |14 28 38.4393225048 +06 00 44.569946952|354.9035648633542 +58.6971644407480|   9.966 -8.386    |8.49     |K2                  |    ~     ~    
2068|V* NQ Vir                                                             |Long-Period Variable           |14 28 28.5612108312 +05 40 51.307882860|354.4009190808188 +58.4899539521085| -25.382 -6.411    |7.38     |M3III               |    ~     ~    
2069|HD 126735                                                             |Star                           |14 27 16.0034825520 +05 16 17.324694228|353.4436678702737 +58.4045261045743| 35.476 -29.442    |8.29     |F0                  |    ~     ~    
2070|HD 126959                                                             |Star                           |14 28 39.4026395496 +05 13 29.630993772|353.8574937271970 +58.1315011632384|   0.638 -4.390    |8.27     |K5                  |    ~     ~    
2071|V* RS Vir                                                             |Mira Variable                  |14 27 16.3912599864 +04 40 41.126332044|352.6740875167738 +57.9714540571304|   -4.286 5.974    |7.00     |M8                  |    ~     ~    
2072|TYC 321-369-1                                                         |Star                           |14 29 10.9027711176 +04 52 47.596666872|353.5851079126214 +57.7920222820609|  11.633 -7.525    |10.94    |~                   |    ~     ~    
2073|TYC 321-445-1                                                         |Star                           |14 27 28.0870543392 +04 52 59.481136992|353.0057157565178 +58.0880388992527|  -2.898 -3.168    |10.92    |~                   |    ~     ~    
2074|TYC 321-487-1                                                         |Star                           |14 26 26.0873168784 +04 48 03.541772808|352.5429614219011 +58.2036827601860|  -32.337 1.422    |10.79    |~                   |    ~     ~    
2075|TYC 324-116-1                                                         |Star                           |14 27 58.0304971968 +05 31 30.367556724|354.0195058718891 +58.4666584623920|  18.042 -0.491    |10.66    |~                   |    ~     ~    
2076|TYC 324-350-1                                                         |Star                           |14 26 44.0328063336 +05 49 06.290052060|353.9881458044637 +58.8908056751688|  -11.828 6.086    |10.30    |~                   |    ~     ~    
2077|TYC 324-352-1                                                         |Star                           |14 26 19.6539661872 +06 28 38.049736908|354.7469799166478 +59.4320468224540|  23.004 -7.422    |10.83    |~                   |    ~     ~    
2078|TYC 324-671-1                                                         |Star                           |14 26 41.5878219504 +06 43 07.918143456|355.2097091856463 +59.5389310048367| -10.398 -4.967    |10.53    |~                   |    ~     ~    
2079|TYC 324-683-1                                                         |Star                           |14 27 39.1169947296 +06 41 53.223133236|355.5103904504073 +59.3552382753579| 38.743 -11.838    |10.53    |~                   |    ~     ~    
2080|TYC 324-808-1                                                         |Star                           |14 27 09.7815977424 +05 36 01.136493036|353.8438495627142 +58.6597905889728|  -9.865 11.643    |10.68    |~                   |    ~     ~    
2081|TYC 324-812-1                                                         |Star                           |14 28 00.0461164272 +05 06 34.860189348|353.4830132049344 +58.1613171042276|-30.349 -32.446    |10.70    |~                   |    ~     ~    
2082|TYC 324-993-1                                                         |Star                           |14 27 17.9628755112 +06 41 36.890758860|355.3831922676797 +59.4142957410857| 19.277 -29.363    |10.29    |~                   |    ~     ~    
2083|TYC 324-1162-1                                                        |Star                           |14 28 48.0459273168 +05 58 47.055851904|354.9136095570023 +58.6459492512687| -7.053 -16.069    |10.47    |~                   |    ~     ~    
2084|TYC 324-1278-1                                                        |Star                           |14 27 49.9091578200 +06 20 10.773397536|355.0705575276181 +59.0685248370302| -9.473 -38.793    |10.62    |~                   |    ~     ~    
2085|TYC 324-1328-1                                                        |Star                           |14 28 44.2996230216 +05 44 41.311707828|354.5756472122802 +58.4898362426326| -1.227 -25.179    |10.33    |~                   |    ~     ~    
2086|TYC 324-1379-1                                                        |Star                           |14 28 29.3723119464 +05 56 14.754569064|354.7506978399526 +58.6704038185847| -3.929 -12.518    |10.92    |~                   |    ~     ~    
2087|BD+04 2863                                                            |Star                           |14 26 50.5990870560 +04 18 42.238748520|352.0588291520380 +57.7748743913169|  15.578 -4.633    |10.39    |A0                  |    ~     ~    
2088|HD 126865                                                             |Star                           |14 27 58.1947054656 +04 13 46.541111988|352.3416726745808 +57.5244214396321|   3.710 12.601    |8.44     |K0III               |    ~     ~    
2089|HD 126698                                                             |Double or Multiple Star        |14 26 58.46210 +03 41 14.6376          |351.32374841 +57.28994694          |  -51.55 -68.64    |8.5      |F6V                 |    ~     ~    
2090|HD 126827                                                             |Star                           |14 27 46.7326381464 +03 37 17.161659696|351.5182161910524 +57.1068052879454|  -31.339 2.534    |7.47     |K0III               |    ~     ~    
2091|HD 126960                                                             |Star                           |14 28 35.0501406768 +03 45 47.535341652|351.9674862379227 +57.0770669667327|  -11.802 7.654    |8.44     |M1III               |    ~     ~    
2092|HD 126600                                                             |Star                           |14 26 26.5024013904 +03 04 45.705641196|350.3992783025772 +56.9220891751371| 19.523 -15.967    |9.74     |F0V                 |    ~     ~    
2093|BD+03 2893                                                            |Star                           |14 27 52.6987875888 +02 23 45.273322752|350.0791333327301 +56.1706507393520|-21.601 -10.792    |9.40     |K2III               |    ~     ~    
2094|HD 126866                                                             |Star                           |14 27 59.2050392280 +02 50 23.855456652|350.6414902099323 +56.4879980779279|    8.008 0.292    |9.15     |K1III               |    ~     ~    
2095|BD+05 2883                                                            |Star                           |14 28 49.9280758200 +04 25 16.857237360|352.8779805242681 +57.5186686276018| 19.917 -24.282    |10.37    |F8                  |    ~     ~    
2096|V* NR Vir                                                             |Long-Period Variable           |14 28 56.4583992240 +03 43 10.583537808|352.0343616424109 +56.9848753636730|  -1.102 17.564    |6.85     |K4III               |    ~     ~    
2097|BD+03 2897                                                            |Star                           |14 28 46.9076777544 +03 19 08.580568260|351.4888574075205 +56.7146144103544| -8.938 -13.021    |10.80    |F8                  |    ~     ~    
2098|TYC 318-839-1                                                         |Star                           |14 28 47.5841868528 +02 15 25.118396244|350.2260744694713 +55.9161351182286|   -6.584 1.367    |10.80    |~                   |    ~     ~    
2099|TYC 318-943-1                                                         |High Proper Motion Star        |14 26 42.5393324064 +02 25 51.431688480|349.7209351617102 +56.3874267149830|-32.571 -101.073   |10.80    |~                   |    ~     ~    
2100|TYC 321-42-1                                                          |Star                           |14 29 00.0540417672 +02 53 03.283323108|351.0378850205161 +56.3537750528220| -31.894 34.806    |10.21    |~                   |    ~     ~    
2101|TYC 321-80-1                                                          |Star                           |14 28 15.9106801800 +02 36 34.333362792|350.4621320079293 +56.2687582239966|  -7.749 -7.532    |10.51    |~                   |    ~     ~    
2102|TYC 321-304-1                                                         |Star                           |14 29 06.6776162616 +03 16 55.580189988|351.5552071184478 +56.6321573495310|  -1.224 10.610    |10.68    |~                   |    ~     ~    
2103|TYC 321-432-1                                                         |High Proper Motion Star        |14 29 56.1142555896 +03 34 26.334968628|352.1893772778898 +56.7100023068385|-23.537 -62.016    |9.95     |~                   |    ~     ~    
2104|TYC 321-613-1                                                         |High Proper Motion Star        |14 28 25.7492115120 +03 57 08.696784060|352.1501868055124 +57.2428370703681| 22.671 -61.797    |10.44    |~                   |    ~     ~    
2105|TYC 321-618-1                                                         |Star                           |14 29 22.9658816112 +04 21 53.946938376|352.9924848638933 +57.3836868096815|  -11.452 3.983    |9.73     |~                   |    ~     ~    
2106|TYC 321-1026-1                                                        |High Proper Motion Star        |14 28 44.1390235680 +04 19 54.986234088|352.7317184193245 +57.4697346858315| 39.717 -43.048    |10.61    |~                   |    ~     ~    
2107|TYC 321-1236-1                                                        |Star                           |14 29 12.9780283464 +02 58 35.465201112|351.2211489452434 +56.3870189387637| -11.788 -9.933    |10.89    |~                   |    ~     ~    
2108|TYC 321-1543-1                                                        |Star                           |14 28 58.6566187248 +03 26 44.489728428|351.7096647994074 +56.7759763040276|  -31.186 6.209    |10.32    |~                   |    ~     ~    
2109|BD+02 2820A                                                           |High Proper Motion Star        |14 26 35.1547127664 +02 07 44.408374176|349.3267293452548 +56.1771030819165|-136.119 92.662    |10.11    |G5                  |    ~     ~    
2110|BD+02 2820B                                                           |High Proper Motion Star        |14 26 35.5225204200 +02 07 47.233484580|349.3297412836821 +56.1767151730813|-136.774 93.352    |10.71    |~                   |    ~     ~    
2111|BD+02 2818                                                            |Double or Multiple Star        |14 26 15.64070 +01 52 08.1986          |348.91542645 +56.03007202          |  -120.56 21.89    |10.05    |F8                  |    ~     ~    
2112|BD+02 2819                                                            |Star                           |14 26 33.3469804920 +02 01 35.593084020|349.1979459550235 +56.1035918186580| -5.988 -18.445    |9.17     |K5                  |    ~     ~    
2113|HD 126699                                                             |Star                           |14 27 02.0485808376 +01 42 53.786253240|349.0040695890585 +55.7879927864739|  -6.249 -2.837    |7.81     |A0/1IV/V            |    ~     ~    
2114|BD+01 2931                                                            |Star                           |14 26 27.7497581136 +00 54 34.040173176|347.9052925374800 +55.2566159859234|  -1.672 18.787    |9.88     |G5                  |    ~     ~    
2115|BD+01 2932                                                            |Star                           |14 26 55.1001774840 +00 30 06.778392264|347.6136633115094 +54.8677611236787|   0.525 10.279    |9.76     |F2                  |    ~     ~    
2116|HD 126677                                                             |High Proper Motion Star        |14 27 01.2892510128 +01 08 34.406194452|348.3546047762538 +55.3493503702989| 70.874 -52.724    |8.01     |G5V                 |    ~     ~    
2117|BD+01 2934                                                            |Star                           |14 27 11.0801928552 +00 33 38.527691004|347.7678864472212 +54.8718718582245| -14.206 -3.752    |10.38    |F5                  |    ~     ~    
2118|BD+01 2936                                                            |Star                           |14 27 29.7843855648 +01 01 01.381392012|348.3756307430371 +55.1767700767345| -15.363 -6.603    |10.80    |G0                  |    ~     ~    
2119|BD+01 2937                                                            |Star                           |14 27 37.6893334392 +01 16 34.958945676|348.7097554186520 +55.3559177389979|  -44.865 3.459    |10.38    |G0                  |    ~     ~    
2120|BD+00 3181                                                            |High Proper Motion Star        |14 26 22.5925568568 +00 09 04.580707464|347.0514269527668 +54.6777667349877| -72.536 20.295    |10.39    |G0                  |    ~     ~    
2121|BD+00 3182                                                            |Star                           |14 26 33.1965827448 +00 17 04.093500516|347.2545315749706 +54.7547748715812| 10.697 -27.855    |9.70     |G0                  |    ~     ~    
2122|HD 126814                                                             |Star                           |14 27 46.22177 +00 06 34.0067          |347.47706584 +54.42829497          |    -37.30 1.78    |9.32     |F3V                 |    ~     ~    
2123|BD+02 2831                                                            |Star                           |14 29 35.8767812808 +01 56 22.917177204|350.1277874813276 +55.5446014616034|  -14.254 6.066    |10.22    |F2                  |    ~     ~    
2124|TYC 318-903-1                                                         |Star                           |14 29 48.9022982952 +01 54 00.598572216|350.1546754493803 +55.4792309243785|-14.029 -36.454    |10.07    |F2                  |    ~     ~    
2125|HD 126992                                                             |Star                           |14 28 52.9526914248 +01 37 58.664588916|349.5361024626401 +55.4277637017796|   -6.150 1.584    |8.22     |B9V                 |    ~     ~    
2126|BD+02 2828                                                            |High Proper Motion Star        |14 29 00.6515721720 +01 26 39.934701816|349.3649573150369 +55.2631324408601| -4.506 -89.821    |9.66     |G0                  |    ~     ~    
2127|HD 127006                                                             |Star                           |14 28 57.3635988504 +01 03 21.257223444|348.9100557072175 +54.9742368726917|-24.628 -26.332    |8.61     |K2/3III             |    ~     ~    
2128|TYC 318-655-1                                                         |Star                           |14 29 46.1212098744 +00 51 42.727342824|348.9652117068575 +54.6951276462033|   12.592 7.364    |9.19     |F8                  |    ~     ~    
2129|HD 127167                                                             |Star                           |14 29 50.5176536400 +00 49 44.151127500|348.9530468699351 +54.6581016465573|   13.972 7.936    |5.966    |A5IV/V              |    ~     ~    
2130|HD 127118                                                             |Star                           |14 29 34.6902872568 +00 15 55.365132456|348.2482841848606 +54.2654951011538|-21.959 -27.192    |9.35     |F6V                 |    ~     ~    
2131|BD+00 3193                                                            |High Proper Motion Star        |14 29 38.5106317416 +00 16 22.485738972|348.2775480853797 +54.2612522635855| -66.842 21.192    |10.42    |G0                  |    ~     ~    
2132|UGP 352                                                               |Double or Multiple Star        |14 29 16.32465 +00 18 16.8324          |348.18929307 +54.34433165          |   81.25 -59.61    |10.895   |K7V                 |0.0100  0.0    
2133|TYC 318-90-1                                                          |Star                           |14 28 02.9071426728 +01 23 23.174910384|348.9794416553501 +55.3759299945565|  -12.681 9.641    |10.88    |~                   |    ~     ~    
2134|TYC 318-196-1                                                         |Star                           |14 29 52.0415617344 +00 41 29.607648360|348.8097547748256 +54.5484532765231|  -8.872 -1.643    |10.66    |~                   |    ~     ~    
