C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
122 |TYC 4416-362-1                                                        |High Proper Motion Star        |14 28 14.7131250840 +74 08 09.639946284|114.3481729176903 +41.3392764783566| -55.308 16.035    |10.87    |~                   |    ~     ~    
123 |TYC 4416-374-1                                                        |Star                           |14 27 43.0033530768 +73 13 32.364576912|113.7964587131075 +42.1521026781091| -22.369 24.399    |10.00    |~                   |    ~     ~    
124 |TYC 4416-568-1                                                        |Star                           |14 24 30.5261380752 +74 06 21.274469892|114.6284019146719 +41.4877997086071|  -47.301 3.630    |10.38    |~                   |    ~     ~    
125 |TYC 4416-772-1                                                        |Star                           |14 28 00.1436212896 +73 54 05.346145872|114.2155476684484 +41.5523464247493| -30.030 12.979    |10.38    |~                   |    ~     ~    
126 |TYC 4416-1050-1                                                       |High Proper Motion Star        |14 29 21.7923008088 +72 37 34.040621568|113.2522552987456 +42.6130338486725|-60.114 -53.546    |9.57     |~                   |    ~     ~    
127 |TYC 4559-728-1                                                        |Star                           |14 28 11.5902794328 +75 47 40.696643472|115.4021348030293 +39.8863385739446|   -9.132 3.130    |10.93    |~                   |    ~     ~    
128 |TYC 4559-819-1                                                        |Star                           |14 26 01.7810527704 +75 56 44.347943544|115.6463941859937 +39.8151050011858|   2.704 -8.039    |10.13    |~                   |    ~     ~    
129 |TYC 4559-1625-1                                                       |Star                           |14 24 16.8125502912 +75 21 31.448538972|115.4170468844865 +40.3855763339355| 18.606 -23.213    |10.67    |~                   |    ~     ~    
130 |TYC 4559-1875-1                                                       |Star                           |14 25 09.0445637640 +75 07 23.433230460|115.2090184511455 +40.5686674296502|    2.551 5.602    |10.30    |~                   |    ~     ~    
131 |TYC 4559-2347-1                                                       |Star                           |14 20 13.3504616232 +75 02 36.019498488|115.5335132424499 +40.7840514293238| 19.277 -23.402    |10.49    |~                   |    ~     ~    
132 |BD+76 523                                                             |Star                           |14 22 39.4770973536 +76 04 48.030262104|115.9621902619810 +39.7886729006011|  -21.703 6.722    |9.73     |F5                  |    ~     ~    
133 |BD+76 524                                                             |High Proper Motion Star        |14 23 14.0241514728 +76 07 04.866090276|115.9442727692670 +39.7391653808011| -92.515 14.142    |10.35    |G0                  |    ~     ~    
134 |BD+76 517                                                             |Star                           |14 15 31.3465477200 +75 46 24.092546520|116.2989239901837 +40.2530641336738|  -31.192 5.525    |10.75    |G5                  |    ~     ~    
135 |BD+76 522                                                             |Star                           |14 19 41.1683030904 +75 53 09.420742104|116.0605222612335 +40.0423475254645| 19.688 -19.585    |10.07    |F0                  |    ~     ~    
136 |BD+76 516                                                             |Star                           |14 15 20.0403373848 +75 36 02.647264140|116.2180613409708 +40.4147274693309|    1.168 2.329    |9.04     |K0                  |    ~     ~    
137 |BD+76 518                                                             |Star                           |14 16 10.5911027856 +75 26 06.284369292|116.0635955763633 +40.5428353965703| -28.567 13.752    |9.18     |F0                  |    ~     ~    
138 |HD 126125                                                             |Star                           |14 18 36.9117650664 +75 40 07.750850052|116.0144890472436 +40.2664781384252| -1.410 -21.154    |7.73     |K0                  |    ~     ~    
139 |TYC 4559-2014-1                                                       |High Proper Motion Star        |14 18 32.4457079280 +76 23 37.642127352|116.4271331930461 +39.6141678605106| 33.716 -53.493    |9.81     |~                   |    ~     ~    
140 |TYC 4559-2338-1                                                       |Star                           |14 18 31.9966325880 +76 17 15.616022460|116.3685334498387 +39.7102213549303|  -14.276 8.576    |10.12    |~                   |    ~     ~    
141 |BD+71 683                                                             |High Proper Motion Star        |14 17 33.9052476096 +70 21 30.739392036|112.8753248956502 +45.0505121471307| -93.096 33.565    |9.53     |G5                  |    ~     ~    
142 |BD+71 685                                                             |Star                           |14 23 15.4491970704 +70 27 55.568155320|112.3546583308812 +44.7296153408826|  -5.014 19.955    |9.19     |M0                  |    ~     ~    
143 |BD+71 686                                                             |Star                           |14 25 59.9407576032 +70 51 11.209420728|112.3461239569865 +44.2804211861629|  -9.912 -4.135    |9.68     |F8                  |    ~     ~    
144 |BD+71 687                                                             |Star                           |14 27 28.3608895608 +71 16 00.763455900|112.4901727629997 +43.8623445199151| -25.845 12.717    |9.94     |F8                  |    ~     ~    
145 |HD 127758                                                             |Star                           |14 29 14.8197072504 +71 06 47.430869328|112.2109845743649 +43.9223488075640|  -15.825 7.826    |8.41     |K0                  |    ~     ~    
