C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:59:55

dec< 0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5947

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
65  |HD 100601                                                                                                |Star                                  |11 34 36.4423036584 -04 18 17.626823784|269.4606559265711 +53.4989173654248| 18.796 -37.707   |9.620    |F2V                 |    ~     ~    |    1|  218.251   pc  |  -3.4030     +3.4030    |ST-L    |2020AJ....160...83S
66  |HD 100659                                                                                                |High Proper Motion Star               |11 34 58.9042468560 -04 21 40.638723876|269.6438732287063 +53.4956204422368|-45.342 -44.455   |6.41     |K1III               |    ~     ~    |    1|  158.043   pc  |  -0.6344     +0.6344    |paral   |2020yCat.1350....0G
67  |NAME Sagarmatha                    HD 100777                                                             |Star                                  |11 35 51.5232197976 -04 45 20.504631564|270.2852930997810 +53.2570653548888| -11.535 35.586   |8.42     |G8V                 |    ~     ~    |    1|   49.606   pc  |  -0.0701     +0.0701    |paral   |2020yCat.1350....0G
68  |HD 100845                                                                                                |High Proper Motion Star               |11 36 24.6957868728 -04 42 11.123194104|270.4451448680892 +53.3694105282281|-48.141 -50.374   |8.89     |K0IV                |    ~     ~    |    1|  270.643   pc  |  -1.4796     +1.4796    |paral   |2020yCat.1350....0G
69  |HD 100962                                                                                                |Star                                  |11 37 12.7114980864 -04 35 32.289848916|270.6503205759079 +53.5620724958036|  -12.628 4.874   |8.46     |K2/3III             |    ~     ~    |    1|  545.375   pc  |  -7.5548     +7.5548    |paral   |2020yCat.1350....0G
70  |HD 100130                                                                                                |Star                                  |11 31 20.4092572176 -05 15 33.512054472|269.0717653606054 +52.2666993601723| -3.573 -11.684   |9.06     |F3V                 |    ~     ~    |    1|  254.162   pc  |  -1.3049     +1.3049    |paral   |2020yCat.1350....0G
71  |BD-04 3085                                                                                               |Star                                  |11 31 36.1290035424 -04 54 40.422340872|268.8795591990872 +52.6008918306062|  10.375 -4.718   |9.62     |K2                  |    ~     ~    |    1|  810.504   pc  | -12.3500    +12.3500    |paral   |2020yCat.1350....0G
72  |BD-04 3088                                                                                               |Star                                  |11 32 28.9854544488 -04 58 48.492474708|269.2495612220056 +52.6503581257055| -15.816 -2.092   |9.90     |K5                  |    ~     ~    |    1| 1012.966   pc  | -16.4176    +16.4176    |paral   |2020yCat.1350....0G
73  |HD 100303                                                                                                |High Proper Motion Star               |11 32 30.8502584568 -05 24 04.083852060|269.6015367637093 +52.2879712975651| -51.870 -8.065   |8.52     |K0III               |    ~     ~    |    1|  297.168   pc  |  -2.2077     +2.2077    |paral   |2020yCat.1350....0G
74  |BD-04 3092                                                                                               |Spectroscopic Binary                  |11 32 53.9797027344 -05 16 57.930077604|269.6432779693187 +52.4382056691350|  -22.918 5.004   |9.64     |K0                  |    ~     ~    |    1|  584.556   pc  | -38.4077    +38.4077    |paral   |2020yCat.1350....0G
75  |HD 100565                                                                                                |Spectroscopic Binary                  |11 34 21.3524538912 -05 31 37.564410540|270.3573657123661 +52.4007980041026| -97.223 14.665   |6.76     |kA7hF1mF3(III)EuSrBa|    ~     ~    |    1|   90.777   pc  |  -0.2340     +0.2340    |paral   |2020yCat.1350....0G
76  |HD 100619                                                                                                |Double or Multiple Star               |11 34 40.3353 -05 35 24.765            |270.5201862 +52.3832603            |  -31.871 3.010   |8.69     |K0III               |    ~     ~    |    1|  375.197   pc  |  -8.3590     +8.3590    |ST-L    |2020AJ....160...83S
77  |HD 100630                                                                                                |Star                                  |11 34 45.2992223016 -04 57 15.928916256|270.0444195498676 +52.9501870468433|   3.660 -1.198   |7.88     |A0V                 |    ~     ~    |    1|  281.738   pc  |  -2.8734     +2.8734    |paral   |2020yCat.1350....0G
78  |BD-04 3103                                                                                               |Double or Multiple Star               |11 35 56.557 -05 03 27.78              |270.557504 +53.002158              |      -28.4 0.0   |9.539    |F5                  |    ~     ~    |    1|  364.121   pc  | -63.3700    +63.3700    |ST-L    |2020AJ....160...83S
79  |BD-02 3362                                                                                               |Star                                  |11 30 29.8819680144 -03 28 42.554095248|267.2662902023370 +53.6929222966463| 34.245 -33.162   |10.46    |~                   |    ~     ~    |    1|  154.443   pc  |  -0.5200     +0.5200    |paral   |2020yCat.1350....0G
80  |BD-03 3135                                                                                               |Star                                  |11 31 36.8555168736 -04 28 36.979052232|268.5231342284476 +52.9779296201815|   -7.193 5.981   |10.120   |~                   |    ~     ~    |    1|  202.514   pc  |  -4.4110     +4.4110    |ST-L    |2020AJ....160...83S
