C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
5735|TYC 6237-786-1                                                                                           |Star                           |17 16 14.6369505360 -18 39 15.728597316|005.0318348465415 +11.2103767724425|   5.305 -5.414    |10.38    |~                   |    ~     ~          
5736|TYC 6237-803-1                                                                                           |Star                           |17 16 29.8955101776 -16 55 13.627189884|006.5387061187573 +12.1227247300448|   0.223 -1.197    |10.38    |~                   |    ~     ~          
5737|TYC 6237-971-1                                                                                           |Star                           |17 19 34.8077004768 -17 58 40.919082348|006.0525984610951 +10.9261289566149|   2.141 -3.784    |10.91    |~                   |    ~     ~          
5738|TYC 6237-1197-1                                                                                          |Star                           |17 17 32.8093795608 -17 52 40.478313360|005.8654201775518 +11.3846176275290|  -3.049 -5.114    |10.95    |~                   |    ~     ~          
5739|TYC 6237-1249-1                                                                                          |Star                           |17 19 44.1356696136 -17 11 54.587542884|006.7369547937014 +11.3238030706425|   -2.495 1.019    |10.88    |~                   |    ~     ~          
5740|TYC 6237-1347-1                                                                                          |Star                           |17 17 55.9465408416 -17 12 39.013657812|006.4846921990698 +11.6766155777219|    1.572 5.893    |10.98    |~                   |    ~     ~          
5741|TYC 6237-1440-1                                                                                          |Star                           |17 17 05.8162373208 -17 51 44.892409104|005.8180306723853 +11.4822882804968|  -0.698 -1.772    |10.81    |~                   |    ~     ~          
5742|TYC 6237-2266-1                                                                                          |Star                           |17 17 07.7977638168 -18 10 45.545477772|005.5535389440001 +11.3000043870607|    1.173 0.093    |10.92    |~                   |    ~     ~          
5743|TYC 6238-84-1                                                                                            |Star                           |17 25 07.1690691000 -17 47 10.613179140|006.9483219539811 +09.9272806645896|  -2.749 -0.482    |10.89    |~                   |    ~     ~          
5744|TYC 6238-133-1                                                                                           |Star                           |17 24 27.3930518232 -18 20 19.137160860|006.3907895222380 +09.7594135628669|   -0.772 2.522    |10.77    |~                   |    ~     ~          
5745|TYC 6238-491-1                                                                                           |Star                           |17 22 14.4186880992 -17 24 20.712145500|006.8935132596966 +10.7099973999608|  -2.708 -7.883    |10.65    |~                   |    ~     ~          
5746|TYC 6238-535-1                                                                                           |Star                           |17 24 55.3490738904 -17 34 57.283167684|007.0962871139140 +10.0771584261848|  -3.852 -3.495    |10.92    |~                   |    ~     ~          
5747|TYC 6238-677-1                                                                                           |Star                           |17 20 58.3916482536 -18 00 47.653182792|006.2080759843003 +10.6301149713195|    1.943 1.014    |10.99    |~                   |    ~     ~          
5748|2MASS J17244553-1744240                                                                                  |Long-Period Variable Candidate |17 24 45.5339197056 -17 44 24.178217568|006.9404665266726 +10.0244791711080|  -1.284 -7.908    |10.83    |~                   |    ~     ~          
5749|TYC 6238-761-1                                                                                           |Star                           |17 22 26.2968550104 -17 35 04.787594844|006.7671746133136 +10.5728125304625|    0.960 2.851    |10.74    |~                   |    ~     ~          
5750|TYC 6238-874-1                                                                                           |High Proper Motion Star        |17 23 50.9612490888 -18 19 49.582842816|006.3180931384301 +09.8847103537717|-47.233 -54.950    |10.99    |~                   |    ~     ~          
5751|TYC 6238-886-1                                                                                           |Star                           |17 21 30.7080025320 -18 04 18.274671156|006.2297574856121 +10.4909733206587|   2.816 -1.983    |10.99    |~                   |    ~     ~          
5752|TYC 6238-921-1                                                                                           |Star                           |17 21 54.6793626792 -17 27 34.657645968|006.8039722365225 +10.7463302699305|  35.718 -6.205    |10.98    |~                   |    ~     ~          
5753|TYC 6238-1016-1                                                                                          |Star                           |17 23 04.6024525728 -18 26 40.514509212|006.1194009916844 +09.9759461601371|-17.710 -37.554    |10.78    |~                   |    ~     ~          
5754|TYC 6238-1181-1                                                                                          |Star                           |17 21 11.2194635064 -17 49 22.716103584|006.3983403976949 +10.6919517796938|   6.856 -3.222    |10.95    |~                   |    ~     ~          
5755|TYC 6238-1321-1                                                                                          |Star                           |17 24 14.4989843040 -18 11 00.417886620|006.4947174794176 +09.8867059008267| -9.301 -44.293    |10.96    |~                   |    ~     ~          
5756|TYC 6238-1437-1                                                                                          |Star                           |17 21 26.8221902352 -18 16 34.312527876|006.0473442860359 +10.3916920470763|  -4.466 26.823    |10.85    |~                   |    ~     ~          
5757|TYC 6238-1470-1                                                                                          |Star                           |17 20 57.5859130608 -18 26 59.178219792|005.8353162056649 +10.3929491267647| -4.972 -24.285    |10.50    |~                   |    ~     ~          
5758|TYC 6238-1532-1                                                                                          |Star                           |17 22 40.4207317176 -17 09 59.548294368|007.1550288187458 +10.7536444350417|  7.718 -11.898    |10.86    |~                   |    ~     ~          
5759|TYC 6238-1572-1                                                                                          |Star                           |17 21 09.7387254048 -17 55 42.851435736|006.3052047340081 +10.6389682406956|   -5.423 2.874    |10.99    |~                   |    ~     ~          
5760|TYC 6238-1619-1                                                                                          |Star                           |17 23 00.7032940392 -18 28 57.754990524|006.0784374766295 +09.9680028227134|   4.719 -3.794    |10.77    |~                   |    ~     ~          
5761|TYC 6238-1662-1                                                                                          |Star                           |17 26 14.7840293496 -18 04 13.241234136|006.8534177309095 +09.5480803383792|-12.685 -11.370    |10.77    |~                   |    ~     ~          
5762|TYC 6238-2063-1                                                                                          |Spectroscopic Binary           |17 26 07.3148543040 -17 28 34.613636340|007.3441651140994 +09.8942359761282|   0.283 -1.716    |10.86    |~                   |    ~     ~          
5763|TYC 6238-2184-1                                                                                          |Star                           |17 26 49.4305714944 -16 55 53.631784704|007.9017404829719 +10.0467034802986| -16.692 -2.275    |10.92    |~                   |    ~     ~          
5764|TYC 6238-2224-1                                                                                          |High Proper Motion Star        |17 26 20.4848697504 -17 31 54.233468436|007.3254871015842 +09.8202433145278|-83.414 -23.611    |10.98    |~                   |    ~     ~          
5765|TYC 6238-2268-1                                                                                          |Star                           |17 26 48.4283861376 -17 07 14.881726596|007.7376103116056 +09.9482177990581|   1.900 -0.612    |10.95    |~                   |    ~     ~          
5766|TYC 6238-2568-1                                                                                          |Star                           |17 26 41.5236397272 -17 13 42.607991892|007.6304565489221 +09.9133643786723|  -4.870 -0.197    |10.93    |~                   |    ~     ~          
5767|TYC 6238-3109-1                                                                                          |Star                           |17 25 49.7539824456 -17 08 00.286171764|007.5988991643960 +10.1381883207320| -15.112 -5.713    |10.44    |~                   |    ~     ~          
5768|TYC 6238-3268-1                                                                                          |Star                           |17 27 49.1256096696 -17 48 10.029331692|007.2864254608694 +09.3777140743571|    5.409 0.133    |10.58    |~                   |    ~     ~          
5769|TYC 6238-3293-1                                                                                          |Star                           |17 27 10.3237955400 -17 51 45.070213536|007.1513360123536 +09.4751599618503|  -9.214 -5.873    |10.96    |~                   |    ~     ~          
5770|TYC 6239-1424-1                                                                                          |Star                           |17 28 05.7426397680 -17 54 01.548564300|007.2389897283116 +09.2696092348798|  -3.592 -4.839    |10.79    |~                   |    ~     ~          
5771|TYC 6239-1430-1                                                                                          |Star                           |17 29 10.9368943776 -17 32 45.142235880|007.6828183765439 +09.2417825014390|    3.849 1.031    |10.53    |~                   |    ~     ~          
5772|TYC 6239-1491-1                                                                                          |Star                           |17 29 30.1468565592 -17 47 03.073168536|007.5204399408606 +09.0496634796440|    1.966 0.133    |10.58    |~                   |    ~     ~          
5773|IRAS 17140-1936                                                                                          |Star                           |17 16 55.8147045840 -19 39 58.412349072|004.2690768248102 +10.5111033962309|  -3.504 -8.350    |10.70    |~                   |    ~     ~          
5774|CPD-20 6513                                                                                              |Star                           |17 16 26.0536540272 -20 11 50.884575864|003.7551503212493 +10.3103232858951| -5.241 -22.991    |10.80    |F8                  |    ~     ~          
5775|BD-20 4717                                                                                               |Star                           |17 19 01.3743249480 -20 18 00.291112056|004.0132953512309 +09.7494564758923|   -1.735 3.055    |10.19    |~                   |    ~     ~          
5776|TYC 6241-211-1                                                                                           |Star                           |17 18 01.9894901328 -20 02 31.921274292|004.0992304081231 +10.0860296801594|  -0.921 -3.796    |10.92    |A5                  |    ~     ~          
5777|TYC 6241-269-1                                                                                           |Star                           |17 17 51.5782480776 -20 16 48.433466064|003.8756837780461 +09.9869895698825|   0.501 -7.809    |10.74    |~                   |    ~     ~          
5778|TYC 6241-326-1                                                                                           |Star                           |17 19 12.1949913384 -20 30 38.884015944|003.8596305433647 +09.5970016050049| -0.973 -19.794    |10.99    |~                   |    ~     ~          
5779|TYC 6241-383-1                                                                                           |Star                           |17 19 24.9197638368 -19 32 05.849095524|004.7110802054313 +10.0979957293734|  0.736 -11.232    |10.51    |~                   |    ~     ~          
5780|TYC 6241-500-1                                                                                           |Star                           |17 19 22.3709259720 -18 54 13.500403200|005.2395030234549 +10.4560210169009| -0.435 -15.335    |10.56    |~                   |    ~     ~          
5781|TYC 6241-602-1                                                                                           |Star                           |17 19 27.9410912712 -19 58 20.351869932|004.3483755624235 +09.8453773888297|  -0.880 -7.342    |10.95    |~                   |    ~     ~          
5782|TYC 6241-696-1                                                                                           |Star                           |17 17 20.7663500760 -20 30 02.208247200|003.6217590748433 +09.9634215574342|   3.004 -3.806    |10.80    |~                   |    ~     ~          
5783|TYC 6241-720-1                                                                                           |Star                           |17 18 18.5700435912 -19 43 49.932593940|004.3988947737289 +10.2057900676490|    5.897 0.931    |10.96    |~                   |    ~     ~          
5784|TYC 6241-749-1                                                                                           |Star                           |17 15 03.8015119632 -19 51 08.052905376|003.8618377955170 +10.7706117094932|   1.268 -5.337    |10.98    |~                   |    ~     ~          
5785|TYC 6241-763-1                                                                                           |Star                           |17 18 27.5105204496 -19 47 59.992824372|004.3601023497662 +10.1379966158075|-20.437 -35.192    |10.80    |~                   |    ~     ~          
5786|TYC 6241-809-1                                                                                           |Star                           |17 16 44.9765715024 -18 55 07.912408440|004.8760593455534 +10.9635720629769|-13.668 -10.227    |10.91    |~                   |    ~     ~          
5787|TYC 6241-1439-1                                                                                          |Star                           |17 19 46.6207644504 -19 13 25.508426700|005.0222860341188 +10.1993989084190|  -1.851 -0.838    |10.81    |~                   |    ~     ~          
5788|CPD-19 6193                                                                                              |Star                           |17 19 38.4387795768 -19 27 57.697942752|004.7992504519818 +10.0920186391905|   0.132 -9.759    |10.79    |F0                  |    ~     ~          
5789|TYC 6242-59-1                                                                                            |Star                           |17 22 54.2407309368 -18 45 19.650844188|005.8325287248099 +09.8400928247750|  -3.026 -5.547    |10.61    |~                   |    ~     ~          
5790|TYC 6242-79-1                                                                                            |Star                           |17 24 50.5162423008 -19 32 55.589426412|005.4130837394369 +09.0230265176793|   1.966 -2.622    |10.85    |~                   |    ~     ~          
5791|TYC 6242-408-2                                                                                           |Star                           |17 26 48.199 -19 59 17.16              |005.295049 +08.396667              |            ~ ~    |10.86    |~                   |    ~     ~          
5792|TYC 6242-587-1                                                                                           |Star                           |17 23 12.9787441992 -19 33 08.267236596|005.1976716570786 +09.3415575293682|  -3.958 -5.176    |10.97    |~                   |    ~     ~          
5793|TYC 6242-614-1                                                                                           |Star                           |17 24 09.1407280776 -20 04 02.847106056|004.8837747411174 +08.8748677334810|  -1.667 -6.965    |10.77    |~                   |    ~     ~          
5794|TYC 6242-659-1                                                                                           |Star                           |17 25 09.2811121896 -18 46 54.167316276|006.1052324420694 +09.3794238126461|  -2.668 -1.260    |10.76    |~                   |    ~     ~          
5795|TYC 6242-978-1                                                                                           |Star                           |17 20 41.7168771456 -20 31 26.292933696|004.0453842924547 +09.2992740211297|  -5.548 -2.092    |10.99    |~                   |    ~     ~          
5796|TYC 6242-1015-1                                                                                          |Star                           |17 22 31.0893622896 -20 02 11.085249876|004.6964488870655 +09.2125489271640|  -6.514 -5.184    |10.98    |~                   |    ~     ~          
5797|TYC 6245-6-1                                                                                             |Star                           |17 18 20.4713940888 -20 39 52.960044312|003.6159069772953 +09.6785831005421|  -6.952 -2.152    |10.92    |~                   |    ~     ~          
5798|TYC 6245-17-1                                                                                            |Star                           |17 15 29.5966896984 -20 58 42.620165040|002.9731603141667 +10.0531963760202|   0.896 -3.089    |10.60    |~                   |    ~     ~          
5799|TYC 6245-101-1                                                                                           |High Proper Motion Star        |17 17 26.7856523040 -21 33 32.214408156|002.7463459216891 +09.3503591616356|-39.949 -69.792    |10.91    |~                   |    ~     ~          
5800|TYC 6245-136-1                                                                                           |Star                           |17 15 18.5396081832 -21 23 23.575452576|002.6037922327427 +09.8564209531036| -12.847 -2.913    |10.40    |~                   |    ~     ~          
5801|TYC 6245-179-1                                                                                           |Star                           |17 18 49.3089854016 -20 45 58.400430948|003.5941523079560 +09.5286645675237|  -2.517 -2.310    |10.81    |~                   |    ~     ~          
5802|TYC 6245-183-1                                                                                           |Star                           |17 15 30.3253006008 -20 41 20.927872212|003.2175912300315 +10.2139438652143|   1.555 -3.188    |10.87    |~                   |    ~     ~          
5803|IRAS 17142-2121                                                                                          |Star                           |17 17 19.0324981032 -21 24 57.014253396|002.8492190939955 +09.4556396154690| -16.811 -2.267    |10.18    |~                   |    ~     ~          
5804|TYC 6245-782-1                                                                                           |Star                           |17 19 42.7838175960 -22 11 23.424730044|002.5159831733833 +08.5612014840506|   1.434 -7.788    |10.95    |~                   |    ~     ~          
5805|TYC 6245-1199-1                                                                                          |Star                           |17 15 13.0957531152 -22 26 25.166909364|001.7136756260382 +09.2789609018454|-14.546 -20.138    |10.83    |~                   |    ~     ~          
5806|TYC 6245-1224-1                                                                                          |Star                           |17 15 14.2952729112 -22 12 38.214486180|001.9080730367000 +09.4054246818092| -8.252 -21.675    |10.76    |~                   |    ~     ~          
5807|TYC 6246-93-1                                                                                            |Star                           |17 22 39.6249632184 -20 58 02.386692624|003.9290329907284 +08.6712338753932|    8.348 0.891    |10.84    |~                   |    ~     ~          
5808|TYC 6246-154-1                                                                                           |High Proper Motion Star        |17 25 53.2719591648 -21 08 00.920434020|004.2072632518765 +07.9509005934886|-29.076 -43.850    |10.93    |~                   |    ~     ~          
5809|CPD-20 6541                                                                                              |Star                           |17 21 08.5088142504 -20 52 45.097656024|003.8046652503430 +09.0153542208396|   7.437 -1.899    |10.97    |F0                  |    ~     ~          
5810|TYC 6246-163-1                                                                                           |Star                           |17 27 48.3544943088 -21 14 19.210483824|004.3648697401390 +07.5189846923328|   -3.701 3.253    |10.51    |~                   |    ~     ~          
5811|TYC 6246-205-1                                                                                           |Star                           |17 23 52.2252628416 -22 04 47.506504584|003.1490574042121 +07.8220681472334|    3.143 0.431    |10.59    |~                   |    ~     ~          
5812|IRAS 17234-2120                                                                                          |Double or Multiple Star        |17 26 22.7923212288 -21 22 49.433655000|004.0621149662157 +07.7198615683445|    3.966 0.652    |10.16    |~                   |    ~     ~          
5813|TYC 6246-337-1                                                                                           |Star                           |17 23 34.7153161344 -21 02 56.432041836|003.9797088649090 +08.4474516240305|  -1.852 -1.699    |10.72    |~                   |    ~     ~          
5814|TYC 6246-355-1                                                                                           |Star                           |17 20 02.7068028912 -20 39 06.364339236|003.8520494294426 +09.3548496042758|  1.203 -19.179    |10.79    |~                   |    ~     ~          
5815|TYC 6246-418-1                                                                                           |Star                           |17 20 56.8930061256 -21 12 08.841837780|003.5070902944040 +08.8734784327745| -6.553 -21.019    |10.96    |~                   |    ~     ~          
5816|TYC 6246-492-1                                                                                           |Star                           |17 26 28.9676733240 -22 17 46.855817556|003.3025332418190 +07.1980389031603|   1.185 -7.960    |10.93    |~                   |    ~     ~          
5817|TYC 6246-522-1                                                                                           |Star                           |17 25 18.3428238072 -22 03 15.197566356|003.3556159253454 +07.5587501600367|  -11.110 1.616    |10.53    |~                   |    ~     ~          
5818|TYC 6247-139-1                                                                                           |Star                           |17 29 21.2155229472 -21 37 48.218247156|004.2312188694517 +07.0038880937779|  -5.659 -6.985    |10.69    |~                   |    ~     ~          
5819|TYC 6247-491-1                                                                                           |Star                           |17 28 18.6262473240 -21 54 39.481104996|003.8609835720606 +07.0543059233239| -12.480 -7.196    |10.51    |~                   |    ~     ~          
5820|CPD-23 6563                                                                                              |Star                           |17 17 58.9536385248 -23 09 45.830018232|001.4755546436285 +08.3449644592303|-24.079 -18.677    |10.73    |F5                  |    ~     ~          
5821|TYC 6812-680-1                                                                                           |Star                           |17 15 29.1926212680 -23 33 50.748311304|000.8130691561447 +08.5896443533665|    3.744 2.463    |10.73    |~                   |    ~     ~          
5822|TYC 6812-732-1                                                                                           |Star                           |17 15 19.2771 -23 59 24.603            |000.4371999 +08.3780714            | -3.750 -27.934    |10.79    |~                   |    ~     ~          
5823|TYC 6816-8-1                                                                                             |Star                           |17 15 16.4883941496 -25 08 04.899543252|359.4821603975884 +07.7331877679375|  -5.206 -9.424    |10.71    |~                   |    ~     ~          
5824|TYC 6820-116-1                                                                                           |Star                           |17 15 44.4624899040 -27 14 35.873216448|357.8013740374762 +06.4388841005759|   0.696 -4.585    |10.93    |~                   |    ~     ~          
5825|TYC 6820-304-1                                                                                           |Star                           |17 15 30.8542472736 -26 41 41.511390252|358.2242380680460 +06.7951064833157| -4.597 -14.297    |10.91    |~                   |    ~     ~          
5826|CPD-28 5593                                                                                              |Star                           |17 16 51.4502090808 -28 43 52.903289784|356.7187365907067 +05.3827413717419|-26.001 -18.371    |10.67    |F8/G0               |    ~     ~          
5827|TYC 6824-381-1                                                                                           |Star                           |17 17 56.7181643736 -29 58 25.601302380|355.8336814409049 +04.4759571030249| -12.337 -3.765    |10.99    |~                   |    ~     ~          
5828|TYC 6824-697-1                                                                                           |Star                           |17 15 11.3311708752 -29 16 20.877394008|356.0633727374662 +05.3694402777891|  2.459 -11.143    |10.94    |~                   |    ~     ~          
5829|TYC 6824-730-1                                                                                           |Star                           |17 15 57.7949321232 -29 07 57.196696404|356.2760702012624 +05.3121217147335|   0.478 -0.713    |10.27    |~                   |    ~     ~          
5830|TYC 6825-29-1                                                                                            |Star                           |17 21 59.7434944464 -22 46 36.092732916|002.3212717537915 +07.7961646598542| -18.680 -6.258    |10.96    |~                   |    ~     ~          
5831|TYC 6825-50-1                                                                                            |Star                           |17 22 04.3589154408 -22 46 43.974255720|002.3293968052093 +07.7802152672795|  -0.240 -3.356    |10.99    |~                   |    ~     ~          
5832|TYC 6825-236-1                                                                                           |Star                           |17 25 08.9158646640 -22 48 35.716687524|002.6994582452257 +07.1728284145083|-14.484 -22.917    |10.97    |~                   |    ~     ~          
5833|TYC 6825-369-1                                                                                           |Star                           |17 23 17.2742434512 -24 05 18.933262512|001.3887662437043 +06.8197139799234|   2.514 -1.364    |10.99    |~                   |    ~     ~          
5834|TYC 6825-412-2                                                                                           |Star                           |17 18 55.589 -23 59 47.32              |000.903394 +07.696182              |            ~ ~    |10.92    |~                   |    ~     ~          
5835|TYC 6825-479-1                                                                                           |Star                           |17 21 08.3855771712 -23 52 33.639330432|001.2905161323659 +07.3454946197870|   1.935 -6.676    |10.95    |~                   |    ~     ~          
5836|TYC 6826-213-1                                                                                           |Star                           |17 27 04.7907347232 -23 32 20.153562648|002.3325690011011 +06.4009912305870|  -2.609 -1.985    |10.98    |~                   |    ~     ~          
5837|TYC 6826-227-1                                                                                           |Star                           |17 26 53.2106493048 -24 17 59.881946748|001.6688388939547 +06.0192324583246|  -2.574 -7.585    |10.40    |~                   |    ~     ~          
5838|TYC 6829-94-1                                                                                            |Star                           |17 22 49.8517912128 -25 58 07.334725404|359.7610560413107 +05.8561532460585|  -6.141 -8.227    |10.23    |~                   |    ~     ~          
5839|TYC 6829-119-1                                                                                           |Star                           |17 21 57.0183297000 -25 32 15.082002636|000.0084809377653 +06.2619768974187| -5.367 -10.204    |10.73    |~                   |    ~     ~          
5840|TYC 6829-207-1                                                                                           |Star                           |17 24 43.9802696016 -25 06 46.997805636|000.7156662415713 +05.9771046589678|-12.362 -22.607    |10.53    |~                   |    ~     ~          
5841|TYC 6829-248-1                                                                                           |Star                           |17 23 06.8480887728 -24 52 31.158402348|000.7089290954189 +06.4141695076213|  -7.020 -9.044    |10.90    |~                   |    ~     ~          
5842|TYC 6829-275-1                                                                                           |Star                           |17 22 02.3512487808 -25 32 25.553886108|000.0173677634819 +06.2437450487072| 11.239 -21.951    |10.94    |~                   |    ~     ~          
5843|TYC 6829-445-1                                                                                           |Star                           |17 20 22.5755396064 -25 56 56.337719352|359.4656377736644 +06.3236091936710|   -0.354 0.942    |10.75    |~                   |    ~     ~          
5844|TYC 6829-493-1                                                                                           |Star                           |17 25 32.7310476960 -24 56 34.301649192|000.9606830633257 +05.9183401716304|  -3.523 -8.104    |10.87    |~                   |    ~     ~          
5845|TYC 6829-555-1                                                                                           |Star                           |17 24 21.6494806560 -26 07 26.716048644|359.8244225219822 +05.4843211461505|  -0.373 -3.331    |10.79    |~                   |    ~     ~          
5846|TYC 6830-146-1                                                                                           |Star                           |17 29 56.7994915272 -25 51 20.175702912|000.7449930445949 +04.5861123737138|  21.864 -5.007    |10.76    |~                   |    ~     ~          
5847|TYC 6833-143-1                                                                                           |Star                           |17 18 20.2094285784 -28 01 13.117829916|357.4915701729637 +05.5227239145602|   0.239 -6.498    |10.87    |~                   |    ~     ~          
5848|TYC 6833-195-1                                                                                           |Star                           |17 24 20.3140256232 -27 56 14.872472124|358.3114626895471 +04.4760433561733| -20.966 -3.720    |10.98    |~                   |    ~     ~          
5849|TYC 6833-206-1                                                                                           |Star                           |17 25 51.4618134240 -27 40 26.095998072|358.7187760394495 +04.3441950617815| -10.809 -0.556    |10.80    |~                   |    ~     ~          
5850|TYC 6833-246-1                                                                                           |Star                           |17 19 24.5583723600 -26 52 56.568050400|358.5682739622977 +05.9742095993464|-10.346 -21.228    |10.88    |~                   |    ~     ~          
5851|TYC 6833-282-1                                                                                           |Star                           |17 24 38.2763486712 -27 47 43.455477696|358.4667197551983 +04.5005724781111|   1.040 -7.807    |10.98    |~                   |    ~     ~          
5852|TYC 6833-383-1                                                                                           |Star                           |17 20 54.6413264544 -26 29 53.215955556|359.0775731480359 +05.9149162497370|-24.827 -38.397    |10.88    |~                   |    ~     ~          
5853|TYC 6833-414-1                                                                                           |Star                           |17 18 38.9539024104 -26 26 04.995993876|358.8420906696260 +06.3680723005761|-24.014 -18.831    |10.90    |~                   |    ~     ~          
5854|TYC 6834-21-1                                                                                            |Star                           |17 27 54.2300675496 -27 58 52.572023004|358.7138183497828 +03.7973060910628|   0.996 -0.191    |10.76    |~                   |    ~     ~          
5855|TYC 6834-43-1                                                                                            |Star                           |17 29 45.5418616704 -27 47 04.006572252|359.1047537602646 +03.5636367190683|-15.892 -17.621    |10.75    |~                   |    ~     ~          
5856|TYC 6834-83-1                                                                                            |Star                           |17 26 39.1967635512 -27 18 37.879713540|359.1201329397791 +04.3992637914854|   1.450 -3.052    |10.82    |~                   |    ~     ~          
5857|TYC 6834-85-1                                                                                            |High Proper Motion Star        |17 26 58.8434132712 -27 07 32.106888408|359.3150025427657 +04.4411256523395| -14.992 55.988    |10.67    |~                   |    ~     ~          
5858|CPD-29 4665                                                                                              |Star                           |17 22 27.7574278052 -29 14 33.351829911|356.9966344356740 +04.0838689843596|-12.545 -24.954    |10.88    |F8                  |    ~     ~          
5859|CPD-28 5638                                                                                              |Star                           |17 26 04.0594264944 -28 26 58.973406864|358.0983037279781 +03.8740854684972|   3.783 -1.593    |10.90    |A3                  |    ~     ~          
5860|TYC 6837-106-1                                                                                           |Star                           |17 25 21.2086025256 -29 50 01.614361848|356.8601085917516 +03.2316413852598|    2.379 9.626    |10.90    |~                   |    ~     ~          
5861|TYC 6837-184-1                                                                                           |Star                           |17 26 18.9310330584 -28 41 42.918138744|357.9241714775363 +03.6922576798704|  -4.481 -4.559    |10.81    |~                   |    ~     ~          
5862|TYC 6837-199-1                                                                                           |Star                           |17 23 03.3838287576 -29 02 27.062116836|357.2369736954279 +04.0903696077235|  -9.058 -9.512    |10.60    |~                   |    ~     ~          
5863|TYC 6837-357-1                                                                                           |Star                           |17 18 32.1238470312 -29 38 50.903058804|356.1755710129605 +04.5577861445660|    1.916 0.654    |10.56    |~                   |    ~     ~          
5864|IRAS 17215-2932                                                                                          |Long-Period Variable           |17 24 39.2642018040 -29 34 37.839487260|356.9880982811617 +03.5010189961055|   -1.899 0.064    |10.51    |~                   |    ~     ~          
5865|TYC 6837-432-1                                                                                           |Star                           |17 25 15.4356939216 -28 08 32.652911436|358.2545103506204 +04.1934339646031|  -5.804 -7.365    |10.88    |~                   |    ~     ~          
5866|TYC 6837-450-1                                                                                           |Star                           |17 20 19.9628505216 -29 47 08.868196644|356.2846946381326 +04.1583130848836|  14.429 -2.923    |10.94    |~                   |    ~     ~          
5867|CPD-27 5611                                                                                              |Star                           |17 18 18.1396 -28 08 08.042            |357.3921117 +05.4632204            |  -2.930 -8.010    |10.91    |F                   |    ~     ~          
5868|TYC 6837-581-1                                                                                           |Star                           |17 23 06.5733349080 -29 02 59.096168700|357.2361506185982 +04.0757582953194|   6.334 -6.406    |10.97    |~                   |    ~     ~          
5869|TYC 6837-614-1                                                                                           |Star                           |17 24 00.9521722944 -28 29 12.235188048|357.8150896863650 +04.2274847941925|  -1.945 -2.353    |10.81    |~                   |    ~     ~          
5870|TYC 6837-636-1                                                                                           |Star                           |17 26 25.1490267600 -29 47 59.852392044|357.0173616461544 +03.0586671678538| -7.931 -10.319    |10.98    |~                   |    ~     ~          
5871|TYC 6837-748-1                                                                                           |Star                           |17 19 46.8495054000 -29 10 10.096840200|356.7246596800240 +04.6075855484965|  -4.291 -4.237    |10.83    |~                   |    ~     ~          
5872|TYC 6837-758-1                                                                                           |Star                           |17 26 09.5926412616 -29 37 27.583500180|357.1320373850012 +03.2032492351372|  -0.821 -1.600    |10.99    |~                   |    ~     ~          
5873|TYC 6837-768-1                                                                                           |Star                           |17 24 07.2985270680 -29 51 30.331364040|356.6898089813628 +03.4391327588553|   1.884 -8.565    |10.99    |~                   |    ~     ~          
5874|TYC 6838-5-1                                                                                             |Star                           |17 28 01.8024239784 -29 01 51.483127980|357.8529764847691 +03.1936947933768| -7.142 -10.387    |10.85    |~                   |    ~     ~          
5875|TYC 6838-174-1                                                                                           |Star                           |17 29 26.4244595640 -28 42 48.924649764|358.2887037017524 +03.1113594617148|    2.838 1.203    |10.84    |~                   |    ~     ~          
5876|TYC 6838-284-1                                                                                           |Star                           |17 29 59.6991473088 -28 44 23.245920996|358.3337494243270 +02.9954072606435|   9.186 -4.678    |10.93    |~                   |    ~     ~          
5877|TYC 6838-398-1                                                                                           |Star                           |17 27 02.2872356616 -28 51 28.980164592|357.8767028550278 +03.4701550654859|   -0.051 1.638    |10.72    |~                   |    ~     ~          
5878|TYC 6838-471-1                                                                                           |Star                           |17 28 31.7903904576 -29 19 22.788370596|357.6697055076548 +02.9413241523738|  7.185 -23.965    |10.75    |~                   |    ~     ~          
5879|TYC 6838-540-1                                                                                           |Star                           |17 28 41.1823657392 -28 48 50.246937936|358.1136107080588 +03.1939181121464|   4.978 -2.399    |10.71    |~                   |    ~     ~          
5880|CPD-28 5663                                                                                              |Star                           |17 28 34.5473999160 -28 25 13.367149032|358.4289562008835 +03.4313665950992|   0.450 -2.521    |10.60    |A5                  |    ~     ~          
5881|TYC 6838-585-1                                                                                           |Star                           |17 27 17.6375243424 -29 31 23.689585740|357.3535016970051 +03.0545193174089|   4.735 -1.277    |10.81    |~                   |    ~     ~          
5882|TYC 7362-25-1                                                                                            |Star                           |17 15 27.4687878816 -30 36 07.628412312|355.0081971570041 +04.5531539347352|  -7.133 -9.497    |10.88    |~                   |    ~     ~          
