C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
73  |CD-42 12119                                                                                              |Star                           |17 25 30.4247505936 -42 30 16.218178056|346.3715676717445 -03.8876259189291| -46.658 -0.030    |10.16    |F8                  |    ~     ~          
74  |HD 157505                                                                                                |Star                           |17 25 36.6058819968 -42 15 16.761823128|346.5900588786057 -03.7640920782041| -0.791 -18.449    |9.94     |A5IV/V              |    ~     ~          
75  |HD 157552                                                                                                |High Proper Motion Star        |17 25 56.7475988544 -42 17 00.345219144|346.6007950898809 -03.8316933975041| 40.624 -40.125    |9.65     |G0/2V               |    ~     ~          
76  |HD 157572                                                                                                |Star                           |17 25 59.5916489736 -42 33 27.058398048|346.3774463583625 -03.9915299665281|   1.936 -0.542    |8.64     |B2IV                |    ~     ~          
77  |HD 327346                                                                                                |Star                           |17 18 41.3764363776 -44 01 20.306182224|344.4137587310290 -03.7214019163329|  -3.417 -9.363    |10.38    |A2                  |    ~     ~          
78  |HD 327338                                                                                                |Star                           |17 18 58.9732740840 -43 46 18.216225300|344.6499604678301 -03.6213045079450|   8.729 -5.553    |9.94     |F2                  |    ~     ~          
79  |HD 156471                                                                                                |High Proper Motion Star        |17 19 48.0793629768 -44 00 58.265702388|344.5332237394587 -03.8819400660944|-22.962 -104.973   |9.58     |G2/3V               |    ~     ~          
80  |HD 156589                                                                                                |High Proper Motion Star        |17 20 30.3853906968 -43 52 19.575008220|344.7243704959267 -03.9042898995697|-38.091 -67.749    |8.31     |F3/5V               |    ~     ~          
81  |HD 156742                                                                                                |Star                           |17 21 25.3322265072 -43 59 58.830975780|344.7128005749792 -04.1124300299663|  -0.263 -2.238    |9.21     |K0III               |    ~     ~          
82  |CD-43 11622                                                                                              |Star                           |17 21 51.0645805440 -44 02 32.437040352|344.7212381827733 -04.2001455750988|-10.549 -18.984    |10.09    |G0                  |    ~     ~          
83  |HD 156903                                                                                                |Star                           |17 22 09.7482887112 -43 35 19.590133200|345.1282884574596 -03.9903000439815|  -3.907 -3.034    |8.56     |A0III               |    ~     ~          
84  |CD-43 11630                                                                                              |High Proper Motion Star        |17 22 27.4312162896 -43 09 23.052198636|345.5163099774865 -03.7904347899426|-144.974 -100.796  |10.44    |G0                  |    ~     ~          
85  |CD-43 11635                                                                                              |Star                           |17 22 36.7579497000 -43 26 01.684009320|345.3027106560190 -03.9702508613818|   0.184 -7.768    |10.42    |A0                  |    ~     ~          
86  |HD 157020                                                                                                |Star                           |17 22 54.2896200912 -43 55 17.859179064|344.9283824376167 -04.2886390964674|   2.376 -2.771    |9.39     |B3III/IV            |    ~     ~          
87  |HD 157129                                                                                                |Star                           |17 23 28.5851871360 -43 25 48.008117820|345.3943208865322 -04.0977485986419| -8.608 -19.217    |9.892    |F2V                 |    ~     ~          
