C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
67  |HD 87742                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 58.9296978168 -03 17 02.422116888|243.9002813124725 +40.0381703433593| -21.917 -0.718   |7.76     |A0V             |    ~     ~    
68  |HD 86874                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 15.4706302992 -03 50 59.270477784|243.2769347680506 +38.5795476264209| -12.828 -0.403   |9.27     |A5/7IV          |    ~     ~    
69  |HD 86948                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 51.1413074424 -03 56 10.036875912|243.4831893806733 +38.6384018916250|  -4.090 -9.123   |8.76     |K0III           |    ~     ~    
70  |BD-03 2845                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 04 16.2148921704 -04 11 05.356474476|244.2252289407283 +38.9398626808481| -16.079 -0.645   |9.51     |K2              |    ~     ~    
71  |HD 86732                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 15.6452520840 -04 15 34.878815280|243.4763751538716 +38.1263639454499|  -35.146 1.952   |9.42     |F0V             |    ~     ~    
72  |HD 86815                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 53.4668171040 -04 21 46.314228816|243.7051555926800 +38.1809028354774|  -31.710 1.104   |9.19     |F3/5V           |    ~     ~    
73  |HD 86814                                                                                                                                                                                                                                                                                                                                                      |Double or Multiple Star               |10 00 55.4825351088 -04 15 53.676044424|243.6163422968524 +38.2501569724922|   10.813 3.216   |8.61     |A7IV/V          |0.0033  0.0    
74  |HD 86970                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 01 54.1606745976 -04 22 11.165949768|243.9183534636436 +38.3696310408158| -14.826 16.656   |8.59     |K2III           |    ~     ~    
75  |BD-03 2844                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 03 58.1785535976 -04 38 33.791021124|244.6099302131634 +38.5858779706394|  -0.805 -3.266   |9.75     |G8              |    ~     ~    
76  |BD-03 2853                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 06 53.9695778256 -04 38 04.089495336|245.2141390060999 +39.1442156433106|   -8.967 7.596   |9.629    |F5              |    ~     ~    
77  |BD-04 2782                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 02 35.5562404584 -04 48 45.451776996|244.4905122913578 +38.2146379939484| -28.342 -1.074   |9.54     |G5              |    ~     ~    
78  |BD-03 2833                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 17.9292487848 -04 38 53.542582980|244.0659677555487 +38.0751339956292|  2.207 -11.243   |9.83     |~               |    ~     ~    
79  |BD-03 2827                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 00 13.8531572064 -04 04 37.382662632|243.2915872718450 +38.2373306939895|-38.955 -31.107   |10.487   |~               |    ~     ~    
80  |BD-04 2778                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 00 19.2950765136 -04 51 28.229794992|244.0701176558255 +37.7538657358254|-17.761 -13.172   |10.58    |~               |    ~     ~    
81  |BD-02 3035                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 27.7306951776 -03 05 35.648944908|242.5684307671963 +39.0995922956065| -28.881 -5.136   |9.919    |~               |    ~     ~    
82  |BD-03 2834                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 32.6572224744 -03 44 51.004897260|243.2344788606080 +38.6998404529640|  -36.558 7.156   |10.689   |~               |    ~     ~    
83  |BD-03 2838                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 40.4692864200 -04 30 15.600719088|244.0028394624504 +38.2394494451277|   0.299 -2.760   |10.02    |~               |    ~     ~    
84  |BD-02 3038                                                                                                                                                                                                                                                                                                                                                    |Star                                  |10 01 52.3235779056 -03 03 27.019237608|242.6162132012923 +39.2014429626047| -13.233 -5.424   |10.44    |~               |    ~     ~    
