C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:26

Vmag< 11&dec< 0&rah >=10.0&rah< 10.25
-------------------------------------

Number of objects : 6998

 #  |                                                                                                                                                                          identifier                                                                                                                                                                          |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
5494|TYC 8955-951-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 10 56.5692385344 -66 15 03.602168676|287.7287508197785 -08.2387839535705|  -15.716 1.669   |10.80    |~               |    ~     ~    
5495|TYC 8955-954-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 03 17.1100986096 -66 40 43.198998348|287.3612119528762 -09.0357477728833|  -17.896 7.143   |10.92    |~               |    ~     ~    
5496|HD 309879                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 10 13.0756495320 -66 07 38.779621392|287.5960850266508 -08.1806549249673|   -8.715 1.377   |10.59    |A               |    ~     ~    
5497|TYC 8955-998-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 03 56.1757707912 -66 19 44.164449948|287.2004740409590 -08.7174677291315|  -10.104 1.354   |10.74    |~               |    ~     ~    
5498|TYC 8955-1004-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 11 09.7098192456 -66 03 05.203586952|287.6302477170120 -08.0632717589273|  -11.545 4.078   |10.85    |~               |    ~     ~    
5499|TYC 8955-1021-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 10 02.9167419528 -66 20 40.945105068|287.7098493460546 -08.3672617935373|  17.087 46.760   |10.70    |~               |    ~     ~    
5500|TYC 8955-1025-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 07 00.6987411600 -66 11 32.200210284|287.3693500315359 -08.4232060675054|   -7.766 5.563   |10.849   |~               |    ~     ~    
5501|TYC 8955-1031-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 07 58.3134045288 -66 18 28.619059968|287.5172665620264 -08.4595349575932|  -19.401 8.491   |10.66    |~               |    ~     ~    
5502|TYC 8955-1057-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 00 16.7336396136 -66 07 14.597631264|286.7761767422485 -08.7754341520731|  -13.712 7.391   |10.70    |~               |    ~     ~    
5503|TYC 8955-1062-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 11 51.4110982632 -66 19 02.250229404|287.8432477058079 -08.2397368098849|   -6.251 4.694   |10.776   |~               |    ~     ~    
5504|TYC 8955-1092-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 09 46.6992596136 -66 32 25.983213468|287.8030825903408 -08.5421322070874| -26.978 10.484   |10.27    |~               |    ~     ~    
5505|HD 87138                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 00 15.0665084424 -68 08 59.847908892|288.0359520639163 -10.3800586938406| -16.432 -8.443   |7.99     |G8III           |    ~     ~    
5506|HD 87439                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 12.6869033112 -67 57 21.698058564|288.0626827700831 -10.1146022820457| -29.692 39.471   |9.34     |F3V             |    ~     ~    
5507|CD-67 823                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 00 16.1327967192 -68 11 47.741233200|288.0664244082696 -10.4158277491759|   -9.768 4.684   |9.86     |~               |    ~     ~    
5508|TYC 9210-94-1                                                                                                                                                                                                                                                                                                                                                 |Star                                  |10 02 12.6666228984 -67 49 00.920393400|287.9767039877403 -10.0042240074298| -11.663 -3.630   |10.52    |~               |    ~     ~    
5509|TYC 9210-922-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 00 17.4226247352 -68 00 49.500247212|287.9538058214270 -10.2703557305905| -14.587 10.904   |10.97    |~               |    ~     ~    
5510|TYC 9210-973-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 00 51.6497181168 -68 09 20.399279724|288.0850384471522 -10.3497479816009| -11.538 -1.619   |10.76    |~               |    ~     ~    
5511|HD 88472                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 09 34.4433453192 -67 35 02.400896652|288.4041403082122 -09.4004470107578| -65.123 90.074   |9.05     |G5V             |    ~     ~    
5512|HD 88572                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 10 21.2159440968 -67 15 48.218098608|288.2759597481525 -09.0965058186098|  -10.388 6.311   |6.88     |B9IV            |    ~     ~    
5513|HD 88997                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 13 34.9826699520 -66 46 30.582368436|288.2511908742906 -08.5158875628076|   -2.202 1.716   |8.41     |M0/1III         |    ~     ~    
5514|HD 89163                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 37.0278026928 -67 08 33.200525112|288.5472744354731 -08.7598708094884| -26.594 33.918   |7.82     |F3IV            |    ~     ~    
5515|HD 89204                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 14 57.3059078280 -67 17 42.804057048|288.6623750347413 -08.8668316243790|-162.160 51.646   |8.29     |G0V             |    ~     ~    
5516|HD 88591                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 10 29.8483978752 -67 50 28.741933752|288.6285894245527 -09.5581369835217|  -23.940 5.107   |7.09     |B5Vnn           |    ~     ~    
5517|HD 88608                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 10 31.8932569824 -68 00 08.107917912|288.7263955704760 -09.6870229065900| -48.985 30.283   |9.46     |F0/2IV/V        |    ~     ~    
5518|HD 88704                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 12.7146065808 -67 53 32.470066860|288.7142023899826 -09.5604858748509|  -31.321 3.015   |6.82     |K2III           |    ~     ~    
5519|HD 88720                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 23.7104575128 -67 59 13.603679484|288.7842085704335 -09.6276476556675|  -14.515 3.899   |9.69     |A1V             |    ~     ~    
5520|HD 88847                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 12 18.7312146144 -68 04 04.759650444|288.9026438110183 -09.6439227752359| -58.730 24.525   |8.26     |F5IV            |    ~     ~    
5521|HD 89049                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 13 49.2462267312 -68 03 35.382246804|289.0147632082803 -09.5561974962762|  -5.580 -0.417   |6.72     |B6V             |    ~     ~    
5522|HD 309944                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 13 54.6173981544 -67 59 22.063926876|288.9808612287871 -09.4937181716595|   -7.505 6.394   |9.40     |B9              |    ~     ~    
5523|CD-67 857                                                                                                                                                                                                                                                                                                                                                     |High Proper Motion Star               |10 14 21.2919013612 -68 09 40.184952560|289.1149660361981 -09.6108264546874|-304.810 319.965  |10.00    |~               |    ~     ~    
5524|HD 309890                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 51.4095181032 -66 59 26.214338076|288.2362141853096 -08.7895806753489|   -7.978 0.922   |10.29    |A0              |    ~     ~    
5525|IRAS 10118-6732                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 11.0094257808 -67 46 59.740678092|288.8041807750457 -09.3640297924591|   -8.691 6.975   |10.98    |~               |    ~     ~    
5526|CD-66 832                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 08 48.6924135696 -67 23 40.058362284|288.2315710499076 -09.2897363139365|  -39.806 6.763   |9.962    |~               |    ~     ~    
5527|HD 309945                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 04.3319961504 -67 57 01.705682952|288.8151690232326 -09.5610036398296| -27.285 14.110   |9.67     |K0              |    ~     ~    
5528|CD-67 852                                                                                                                                                                                                                                                                                                                                                     |High Proper Motion Star               |10 12 29.8985544528 -67 52 33.420952344|288.8046881722971 -09.4770313579793| -47.244 42.318   |9.90     |~               |    ~     ~    
5529|HD 309938                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 13 19.9117 -67 05 00.462            |288.4093335 -08.7827412            |       -3.0 7.1   |9.48     |G5              |    ~     ~    
5530|HD 309946                                                                                                                                                                                                                                                                                                                                                     |Long-Period Variable                  |10 14 38.1094862280 -68 13 57.899068968|289.1780977408847 -09.6547365200182| -16.874 19.608   |9.19     |M2              |    ~     ~    
5531|HD 88827                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 12 26.0762830056 -66 17 13.371099468|287.8736018781011 -08.1815808350232|   -0.098 0.872   |7.38     |A5IV/V          |    ~     ~    
5532|* M Car                                                                                                                                                                                                                                                                                                                                                       |Star                                  |10 13 30.6323089152 -66 22 22.120253724|288.0126672043154 -08.1899348213116| -34.517 11.575   |5.141    |A4mA6-F0        |    ~     ~    
5533|HD 87989                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 03.2483808360 -67 31 24.654977292|288.0930895766971 -09.5501650178154|  -10.501 9.277   |8.95     |B9V             |    ~     ~    
5534|HD 88423                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 09 14.8848236136 -67 04 56.771044896|288.0807896802791 -09.0122800470313| 36.545 -10.212   |8.73     |G8III           |    ~     ~    
5535|HD 309888                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 10 44.6615501304 -67 00 39.405842568|288.1585009843061 -08.8691068900446|   -5.030 1.786   |9.09     |K5              |    ~     ~    
5536|HD 309883                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 07.9524532488 -66 41 14.927781876|288.0000400456676 -08.5835300744282|   -4.186 2.899   |9.43     |K7              |    ~     ~    
5537|HD 88846                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 12 25.8587892888 -66 41 29.318258004|288.1084230194062 -08.5126168022632|  -3.560 -4.433   |7.49     |K3III           |    ~     ~    
5538|HD 87990                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 06.8285172960 -67 38 21.224086512|288.1676870218062 -09.6396738894241|   -5.851 2.834   |8.56     |K3III           |    ~     ~    
5539|CD-66 826                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 07 04.9742228400 -67 22 23.279676708|288.0828586996986 -09.3706042946944| -29.951 27.072   |10.04    |~               |    ~     ~    
5540|HD 309933                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 14 59.7799709472 -65 48 13.196568384|287.8106578225486 -07.6362585120693| -16.637 15.406   |9.76     |F2              |    ~     ~    
5541|TYC 8955-327-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 23.0037778392 -67 23 31.775584416|288.2752972047375 -09.2556320688662|  -21.765 3.337   |10.90    |~               |    ~     ~    
5542|TYC 8955-608-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 51.0420517224 -66 54 39.313936152|288.0276103213840 -08.8387179886767|   -4.133 2.503   |10.71    |~               |    ~     ~    
5543|TYC 8955-756-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 14 06.4954371096 -66 46 12.197892252|288.2912199230121 -08.4821194456723|  -2.415 -6.655   |10.82    |~               |    ~     ~    
5544|TYC 8955-796-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 12 36.5038404288 -66 56 41.333249796|288.2702825324122 -08.7097806834858| -28.655 11.741   |10.582   |~               |    ~     ~    
5545|TYC 8955-844-1                                                                                                                                                                                                                                                                                                                                                |Spectroscopic Binary                  |10 11 01.3131928128 -66 35 01.940435880|287.9302767686811 -08.5054569388496|   0.310 -3.475   |10.23    |~               |    ~     ~    
5546|HD 309937                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 12 50.8807168944 -66 16 25.012684308|287.9001913516615 -08.1467076348461| -13.389 11.684   |10.3     |A               |    ~     ~    
5547|HD 309889                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 11 00.8977747368 -66 54 37.643286132|288.1212730805191 -08.7719173471913|   -9.116 4.718   |10.94    |B9              |    ~     ~    
5548|TYC 8955-938-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 09 04.7660693016 -67 02 53.275075908|288.0469567068226 -08.9941117602077|  -1.716 -8.359   |10.53    |~               |    ~     ~    
5549|TYC 8955-1029-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 44.6997325752 -66 03 05.447214648|287.8469258531533 -07.9126982593336|  -12.515 0.651   |10.44    |~               |    ~     ~    
5550|TYC 8955-1058-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 13 55.9878497208 -66 17 56.746733748|288.0053120920548 -08.1052058966701|  -10.542 8.186   |10.73    |~               |    ~     ~    
5551|TYC 8955-1082-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 39.1363921536 -66 31 28.463920320|288.0295684416893 -08.3634349688906|   -6.098 2.332   |10.73    |~               |    ~     ~    
5552|HD 309893                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 05 43.3996503744 -67 46 40.162581768|288.2214695003975 -09.7729747498706|   -6.932 3.474   |10.30    |B9              |    ~     ~    
5553|TYC 9210-144-1                                                                                                                                                                                                                                                                                                                                                |Star                                  |10 06 02.6666607456 -67 46 38.656636572|288.2459298421298 -09.7545109384949| 11.960 -11.048   |10.620   |~               |    ~     ~    
5554|TYC 9210-1200-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 08 11.7005203032 -67 45 24.419292876|288.3996467002763 -09.6172223252095|  -3.456 -1.718   |10.92    |~               |    ~     ~    
5555|TYC 9210-1314-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 09 19.7450877672 -67 58 47.889203448|288.6204698919098 -09.7348452767515|  -14.698 5.342   |10.73    |~               |    ~     ~    
5556|TYC 9210-1796-1                                                                                                                                                                                                                                                                                                                                               |High Proper Motion Star               |10 12 13.2187153536 -67 55 20.481317436|288.8101996565862 -09.5300187969783| -86.690 -5.479   |10.80    |~               |    ~     ~    
5557|TYC 9210-1986-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 09 25.4970851400 -67 55 18.743448540|288.5932891785608 -09.6825163436820|  -16.967 8.052   |10.69    |~               |    ~     ~    
5558|HD 309892                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 10 43.1735725872 -67 53 28.824337428|288.6753880273915 -09.5866034455721|   -9.650 5.266   |9.74     |A5              |    ~     ~    
5559|TYC 9210-3260-1                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 53.4964959384 -68 07 55.106882724|288.9848498366918 -09.6650301074348|  -13.240 7.690   |10.70    |~               |    ~     ~    
5560|HD 88734                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 27.6398684160 -68 16 35.820798132|288.9597576535693 -09.8598446747227|   -7.025 1.797   |9.85     |A2IV            |    ~     ~    
5561|HD 88796                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 11 56.8474920528 -68 18 19.500786144|289.0139323427697 -09.8572069910764| -11.855 -7.950   |9.49     |A5IV            |    ~     ~    
5562|HD 89123                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 14 14.7104306736 -68 18 38.707711560|289.1932489663205 -09.7393773214065|    0.593 0.801   |8.67     |A2V             |    ~     ~    
5563|IRAS 10111-6755                                                                                                                                                                                                                                                                                                                                               |Star                                  |10 12 27.6155168712 -68 10 07.217237964|288.9730512041830 -09.7181542898562|   -7.683 4.432   |10.14    |~               |    ~     ~    
5564|HD 309897                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 06 27.7300224792 -67 59 30.323604732|288.4076450328631 -09.9031807215665| -26.280 10.033   |9.88     |B8              |    ~     ~    
5565|HD 309896                                                                                                                                                                                                                                                                                                                                                     |High Proper Motion Star               |10 05 32.9941656072 -67 59 34.214515332|288.3386960197643 -09.9550704678508| -55.114 51.684   |9.83     |F8              |    ~     ~    
5566|CD-67 833                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 05 36.4588942200 -68 00 16.590692808|288.3502464259944 -09.9612662077610|   14.450 9.442   |10.17    |~               |    ~     ~    
5567|CPD-67 1205                                                                                                                                                                                                                                                                                                                                                   |Star                                  |10 07 50.0590840824 -68 00 10.076498568|288.5192861116037 -09.8357896496616|  -17.712 9.429   |9.99     |~               |    ~     ~    
5568|HD 87969                                                                                                                                                                                                                                                                                                                                                      |High Proper Motion Star               |10 05 51.3594190368 -68 17 52.913924700|288.5472929765912 -10.1826057601150| -74.757 25.732   |7.17     |K2III           |    ~     ~    
5569|HD 88188                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 07 31.0964335104 -68 20 46.666890708|288.7017811453436 -10.1299830118866|   -7.550 3.518   |9.10     |B6III           |    ~     ~    
5570|HD 88267                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 08 01.7047367616 -68 19 25.391953668|288.7267442704357 -10.0839119626914|  -25.893 5.663   |8.34     |K2III           |    ~     ~    
5571|HD 88413                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 08 59.3779180080 -68 29 52.354401000|288.9036358480725 -10.1723729844592|    5.769 2.552   |9.03     |F8V             |    ~     ~    
5572|HD 88459                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 09 27.6660033960 -68 18 17.204080068|288.8240263103909 -09.9906437571566|  10.365 -9.317   |7.92     |K1III/IV        |    ~     ~    
5573|HD 87461                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 10.2231624192 -68 40 47.818702200|288.5079542485509 -10.6910375002847| 12.318 -38.874   |9.81     |G2V             |    ~     ~    
5574|HD 87496                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 02 26.0167833960 -69 19 38.094117384|288.9290668823804 -11.1896398772332|  -11.258 6.565   |9.02     |A3V             |    ~     ~    
5575|HD 309904                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 04 06.7073810448 -68 37 07.272127452|288.6130406840542 -10.5351248505242|  -15.348 6.588   |9.41     |K5              |    ~     ~    
5576|HD 87803                                                                                                                                                                                                                                                                                                                                                      |Eclipsing Binary                      |10 04 31.5178262088 -69 21 20.275873452|289.0960735798134 -11.1002464762023|  -10.854 5.524   |9.50     |B9.5V           |    ~     ~    
5577|HD 88095                                                                                                                                                                                                                                                                                                                                                      |Star                                  |10 06 41.7945729720 -69 03 50.699708496|289.0748539095491 -10.7514096844893|   -7.286 4.485   |9.84     |A0V             |    ~     ~    
5578|HD 309911                                                                                                                                                                                                                                                                                                                                                     |Star                                  |10 07 36.8159315568 -69 14 51.590743440|289.2528332577590 -10.8503646757595| -24.035 15.096   |9.03     |K7              |    ~     ~    
