C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
2906|HD 29834                                                                                                 |Star                           |04 43 29.2362897336 +33 14 40.184452068|168.7274428400569 -08.2981053537439|  7.061 -15.927    |8.73     |F2               |    ~     ~    
2907|HD 282409                                                                                                |Star                           |04 43 32.2892636760 +32 27 56.507478876|169.3356225660614 -08.7930088587365|  0.181 -23.232    |9.90     |A0               |    ~     ~    
2908|HD 29867                                                                                                 |High Proper Motion Star        |04 43 48.2520173952 +32 51 55.727115552|169.0632650468384 -08.4922460113458|-44.528 -37.473    |6.480    |A8V              |    ~     ~    
2909|BD+32 826                                                                                                |Long-Period Variable Candidate |04 43 51.5435679744 +33 07 26.307947748|168.8711984651204 -08.3166033955966|  -2.498 -3.832    |10.27    |K0               |    ~     ~    
2910|HD 282398                                                                                                |Star                           |04 43 45.1800140376 +33 20 09.641414292|168.6931536947681 -08.1965807146172| -16.625 14.975    |10.45    |K0               |    ~     ~    
2911|IRAS 04409+3424                                                                                          |Star                           |04 44 15.7826332272 +34 30 13.961172924|167.8628825612942 -07.3608783960305|   0.087 -6.745    |10.55    |~                |    ~     ~    
2912|HD 280133                                                                                                |Star                           |04 44 50.0280824208 +34 12 51.250350276|168.1625834412417 -07.4580411382702|  -1.712 -2.500    |10.35    |A0               |    ~     ~    
2913|HD 282399                                                                                                |Star                           |04 44 30.4619661000 +33 15 52.563609000|168.8510680862662 -08.1221992951347|   -3.105 3.774    |10.94    |A3               |    ~     ~    
2914|HD 282361                                                                                                |Star                           |04 42 32.7052181280 +32 11 10.136142420|169.4144069744255 -09.1337468646690|  -1.209 -5.763    |10.78    |A3               |    ~     ~    
2915|HD 282373                                                                                                |Star                           |04 42 01.5703054176 +31 01 37.037770212|170.2388299725652 -09.9674057991955|   0.233 -1.845    |10.49    |A2               |    ~     ~    
2916|HD 282426                                                                                                |Star                           |04 44 13.8876719808 +30 38 16.168669944|170.8504337425181 -09.8553570610576|  4.678 -11.589    |9.69     |A3               |    ~     ~    
2917|BD+30 710                                                                                                |Star                           |04 44 19.6943589312 +30 31 00.578626428|170.9582905599849 -09.9168716763666|   6.360 -0.634    |9.88     |K5               |    ~     ~    
2918|HD 282434                                                                                                |Star                           |04 43 42.1573754952 +30 16 14.130548364|171.0624778094151 -10.1782294356437|  9.223 -14.982    |10.97    |G0               |    ~     ~    
2919|HD 282376                                                                                                |Star                           |04 42 12.5794125456 +30 30 37.276092180|170.6655382278575 -10.2706722873536|  5.774 -33.077    |10.57    |G0               |    ~     ~    
2920|HD 282435                                                                                                |Double or Multiple Star        |04 43 23.3048 +29 56 53.397            |171.2696654 -10.4371192            |  4.776 -75.454    |10.97    |G5               |    ~     ~    
2921|HD 282415                                                                                                |Star                           |04 44 49.3754389056 +31 39 14.875265484|170.1418883933499 -09.1066996089216|   7.052 -8.002    |10.71    |A5               |    ~     ~    
2922|HD 282424                                                                                                |Star                           |04 44 08.8850894352 +30 51 57.658008024|170.6610624787371 -09.7228148452302|   0.665 -9.204    |10.42    |A0               |    ~     ~    
2923|HD 282388                                                                                                |Star                           |04 41 19.1637106584 +29 18 17.625767940|171.4772055596857 -11.1950142267400|   17.223 4.142    |9.75     |F8               |    ~     ~    
2924|HD 282437                                                                                                |Star                           |04 43 34.2598454400 +29 28 59.306633760|171.6587440839700 -10.7045751888223|    3.554 7.153    |10.68    |A3               |    ~     ~    
2925|HD 282389                                                                                                |Star                           |04 41 18.3219907104 +29 14 58.637450112|171.5183021168053 -11.2329560358297|-23.891 -26.161    |9.62     |G0               |    ~     ~    
2926|HD 29646                                                                                                 |Star                           |04 41 19.7614386744 +28 36 53.958282516|172.0174348729248 -11.6372416706986| 36.893 -29.394    |5.729    |A2V              |    ~     ~    
2927|TYC 1842-294-1                                                                                           |High Proper Motion Star        |04 41 22.4528262696 +28 37 18.718742244|172.0185137182011 -11.6252794468303| 36.703 -30.552    |10.6     |~                |    ~     ~    
2928|HD 282390                                                                                                |High Proper Motion Star        |04 41 42.5049196896 +29 12 29.304379188|171.6083630472096 -11.1923531836810| 25.966 -42.323    |9.55     |M0               |    ~     ~    
2929|HD 29696                                                                                                 |Star                           |04 41 47.2548948576 +28 39 35.911988460|172.0481553153768 -11.5312844996103| 11.684 -14.425    |8.85     |F8               |    ~     ~    
2930|HIP 21842                                                                                                |Star                           |04 41 45.9436296929 +28 39 12.693936964|172.0500618618580 -11.5391006259836|  9.159 -16.709    |10.963   |~                |    ~     ~    
2931|HD 29744                                                                                                 |Star                           |04 42 13.0536757728 +28 36 01.093834152|172.1566351667703 -11.4971677889834|-22.178 -12.108    |9.46     |F8               |    ~     ~    
2932|HD 283765                                                                                                |Star                           |04 42 31.7911925352 +28 22 58.798004880|172.3718324536705 -11.5836151498046|  -3.883 -0.747    |9.34     |K5               |    ~     ~    
2933|HD 283764                                                                                                |Star                           |04 43 06.5639589720 +28 17 09.483662256|172.5312025426475 -11.5475507954110| 19.402 -13.248    |10.8     |F5               |    ~     ~    
2934|HD 283788                                                                                                |Star                           |04 41 20.3978671872 +27 37 53.656620852|172.7899933590474 -12.2664247457532|  22.798 -8.748    |9.87     |K2               |    ~     ~    
2935|HD 283786                                                                                                |Star                           |04 41 23.5739656944 +27 26 34.188766872|172.9460850683620 -12.3782547477395|  6.944 -10.207    |9.72     |K5               |    ~     ~    
2936|HD 283783                                                                                                |Star                           |04 42 29.0964177960 +27 25 54.152531328|173.1132808403379 -12.1989636622891|  -6.654 -9.027    |10.23    |G5               |    ~     ~    
2937|HD 283784                                                                                                |Star                           |04 42 36.5435268312 +27 31 03.230309604|173.0635994910348 -12.1230013962057|  0.501 -17.762    |10.47    |G5               |    ~     ~    
2938|HD 283778                                                                                                |Star                           |04 42 58.0958181312 +27 54 51.144111648|172.8031752552498 -11.8087721441319|  6.602 -11.021    |9.90     |K7               |    ~     ~    
2939|HD 283798                                                                                                |T Tauri Star                   |04 41 55.1542944840 +26 58 49.419533856|173.3870021724758 -12.5837132943187| -1.790 -21.732    |9.55     |G2               |    ~     ~    
2940|HD 283777                                                                                                |Star                           |04 42 20.7685292952 +27 51 30.213980748|172.7573761952160 -11.9502092892339|  20.847 -5.194    |10.74    |G                |    ~     ~    
2941|HD 283787                                                                                                |Star                           |04 41 15.7045897104 +27 35 01.676905224|172.8161783318406 -12.3103322614945| 17.486 -21.181    |10.36    |G0               |    ~     ~    
2942|HD 283799                                                                                                |High Proper Motion Star        |04 42 07.1536312248 +27 03 11.016260784|173.3587693714078 -12.5030613342660| 58.193 -49.310    |9.90     |K0               |    ~     ~    
2943|HD 283800                                                                                                |Star                           |04 43 27.3199345200 +27 01 37.064197416|173.5732257882994 -12.2901682087173|   1.853 -5.334    |9.84     |B8               |    ~     ~    
2944|HD 283761                                                                                                |High Proper Motion Star        |04 44 45.8843434056 +28 55 12.887198796|172.2691282561646 -10.8632799008208|-5.651 -122.027    |10.08    |G5               |    ~     ~    
2945|HD 282440                                                                                                |Star                           |04 44 54.4735395720 +29 11 20.080032792|172.0784972682279 -10.6681203029815|   31.115 7.883    |9.86     |K0               |    ~     ~    
2946|HD 283801                                                                                                |Star                           |04 44 44.1379252992 +27 05 55.411076796|173.7012608462314 -12.0242252240437|   2.148 -5.745    |10.75    |K7               |    ~     ~    
2947|HD 283782                                                                                                |T Tauri Star                   |04 44 54.4590108624 +27 17 45.223813068|173.5699380178585 -11.8698475131144|  5.713 -25.564    |9.80     |K0               |    ~     ~    
2948|IRAS 04418+2839                                                                                          |Star                           |04 44 58.3891940784 +28 45 01.174016232|172.4322152773795 -10.9361485615069|   7.094 -4.436    |10.64    |~                |    ~     ~    
2949|HD 29835                                                                                                 |Star                           |04 43 05.0361201456 +26 14 35.059753032|174.1400569504205 -12.8516816365153|-11.950 -18.066    |8.66     |K2III            |    ~     ~    
2950|HD 283808                                                                                                |Star                           |04 42 19.9358423952 +25 51 48.329508564|174.3314603714325 -13.2229796568777|  -3.837 -4.945    |10.8     |F5               |    ~     ~    
2951|HD 283816                                                                                                |Star                           |04 41 47.1906619608 +24 38 47.218418232|175.2201055746234 -14.0893514045106| -6.108 -12.087    |9.35     |K7               |    ~     ~    
2952|HD 283814                                                                                                |Star                           |04 41 57.1689110592 +24 49 23.605773276|175.1035933186610 -13.9482961880259| -12.442 10.119    |9.98     |F8               |    ~     ~    
2953|HD 283815                                                                                                |Double or Multiple Star        |04 42 41.1835346766 +24 41 17.824143079|175.3197564304939 -13.9044274650132|   8.225 -21.49    |9.95     |A5               |    ~     ~    
2954|BD+23 734                                                                                                |Star                           |04 43 21.9794677152 +24 12 14.329145556|175.8079598918012 -14.0890803802829|-39.412 -11.249    |10.75    |K1III            |    ~     ~    
2955|HD 283809                                                                                                |Star                           |04 41 24.7252471464 +25 54 48.396346380|174.1566563147132 -13.3510076225051|   1.486 -8.375    |10.7     |B3V              |    ~     ~    
2956|HD 283818                                                                                                |Young Stellar Object           |04 41 26.7580411872 +24 10 12.378124416|175.5504082854254 -14.4505212313600| -1.976 -11.988    |10.79    |G5               |    ~     ~    
2957|HD 283804                                                                                                |High Proper Motion Star        |04 44 36.8031900960 +26 36 56.828593980|174.0664092617527 -12.3506963942450|  0.355 -55.213    |10.99    |G0               |    ~     ~    
2958|HD 283806                                                                                                |Spectroscopic Binary           |04 44 25.7609214336 +26 22 50.438244252|174.2264039412457 -12.5311436591655|  4.411 -45.805    |10.75    |G0               |    ~     ~    
2959|HD 283812                                                                                                |Star                           |04 44 24.9210299331 +25 31 42.390958427|174.9026193206105 -13.0710509641850|   12.870 1.551    |9.5      |A2               |    ~     ~    
2960|* 95 Tau                                                                                                 |Star                           |04 43 13.7564089344 +24 05 20.102409420|175.8800233014409 -14.1856912159325| 14.157 -19.279    |6.151    |G0               |    ~     ~    
2961|TYC 1834-580-1                                                                                           |Star                           |04 44 08.8553366016 +25 40 33.214189296|174.7460397301622 -13.0250232307401|   2.206 -6.546    |10.76    |~                |    ~     ~    
2962|BD+23 728                                                                                                |Star                           |04 41 58.6174173024 +23 24 00.874720728|176.2473390758614 -14.8413981260429|   5.284 -9.107    |10.73    |K3III            |    ~     ~    
2963|HD 29745                                                                                                 |Star                           |04 42 04.1002360464 +24 00 38.740575564|175.7706137252550 -14.4408682311945| -14.795 -8.259    |7.19     |F8p              |    ~     ~    
2964|HD 284647                                                                                                |Star                           |04 42 24.8075581272 +23 26 29.439877128|176.2792062840641 -14.7375681195172|  -1.026 -6.838    |10.79    |A0               |    ~     ~    
2965|HD 284636                                                                                                |Star                           |04 42 54.3913251456 +23 50 57.703695648|176.0245688135811 -14.3935426809634|   4.981 -4.670    |9.69     |K0               |    ~     ~    
2966|HD 284651                                                                                                |Star                           |04 43 56.0760289536 +23 21 13.735458828|176.5758117941482 -14.5204538640665|   7.545 -8.778    |10.52    |G5               |    ~     ~    
2967|HD 284645                                                                                                |Star                           |04 44 12.1670044080 +23 36 48.928493628|176.4061144365631 -14.3100913951686|  8.463 -10.490    |9.25     |K0               |    ~     ~    
2968|HD 284580                                                                                                |Star                           |04 41 19.6068233016 +22 25 17.658269400|176.9392798556806 -15.5724117494007|   6.616 -0.527    |10.48    |K0               |    ~     ~    
2969|HD 29681                                                                                                 |Star                           |04 41 23.8865540712 +22 40 36.461737704|176.7437660442126 -15.3994678497971|   1.267 -1.652    |9.67     |B9/A0:           |    ~     ~    
2970|AG+22 451                                                                                                |Star                           |04 41 27.1224817776 +22 11 57.075618264|177.1380965106339 -15.6891831079594|   -0.492 0.361    |10.829   |K0               |    ~     ~    
2971|HD 29714                                                                                                 |High Proper Motion Star        |04 41 42.6209425200 +22 37 23.824694316|176.8338591697136 -15.3769331846615| 65.537 -97.667    |9.32     |G5V              |    ~     ~    
2972|HD 284578                                                                                                |Star                           |04 41 43.3531584384 +22 43 53.714308800|176.7482102001425 -15.3068249725971|   5.083 -8.210    |8.62     |K0III            |    ~     ~    
2973|HD 284658                                                                                                |Star                           |04 42 05.8512204000 +23 03 36.607212072|176.5392283375561 -15.0334378659366| -1.110 -16.124    |8.96     |F5               |    ~     ~    
2974|HD 284659                                                                                                |Star                           |04 42 12.1931794440 +22 56 32.496731808|176.6500457844948 -15.0883847656827| -0.849 -15.087    |7.1      |A2               |    ~     ~    
2975|HD 284668                                                                                                |Star                           |04 42 09.6776195496 +22 13 55.527277080|177.2180650240517 -15.5405344253928|  -1.220 -6.743    |10.58    |K0               |    ~     ~    
2976|HD 284648                                                                                                |Star                           |04 42 17.3030506200 +23 16 06.680415828|176.3998307224364 -14.8685213905428|   4.146 -7.481    |9.99     |A0V              |    ~     ~    
2977|* tau Tau                                                                                                |Spectroscopic Binary           |04 42 14.6992451952 +22 57 24.850133388|176.6445551848683 -15.0717763908048|  3.181 -17.028    |4.258    |B3V              |    ~     ~    
2978|HD 284649                                                                                                |High Proper Motion Star        |04 42 41.6861192448 +23 14 08.819004084|176.4867828539916 -14.8163636096438| -0.536 -51.557    |9.54     |G0               |    ~     ~    
2979|HD 284660                                                                                                |Star                           |04 42 43.9961842464 +22 36 19.424586060|177.0015169009830 -15.2040346785707|  -2.607 -7.953    |10.88    |A0               |    ~     ~    
2980|HD 284650                                                                                                |Star                           |04 43 26.3109491760 +23 14 37.617161208|176.5909622477578 -14.6781474330318|  5.634 -17.367    |10.83    |F5               |    ~     ~    
2981|HD 29935                                                                                                 |Young Stellar Object           |04 43 54.0009414744 +22 56 39.882044328|176.9012314291597 -14.7822781099910| -0.601 -15.464    |6.92     |A0V              |    ~     ~    
2982|HD 284575                                                                                                |Variable Star                  |04 41 24.1676913480 +23 06 43.015506120|176.3935553993531 -15.1252204331609| 34.765 -17.841    |10.45    |G0               |    ~     ~    
2983|HD 284579                                                                                                |Star                           |04 41 31.2715826760 +22 29 33.571339080|176.9110317726696 -15.4928492330410|  -0.532 20.127    |10.85    |G0               |    ~     ~    
2984|TYC 1830-1133-1                                                                                          |Star                           |04 41 44.1112147320 +22 44 06.409443768|176.7472571315770 -15.3023442027554| 13.396 -15.970    |10.32    |~                |    ~     ~    
2985|HD 284669                                                                                                |Star                           |04 41 53.0495811432 +22 09 02.709826416|177.2423457317045 -15.6414519356986| -0.137 -35.309    |10.86    |G0               |    ~     ~    
2986|HD 284646                                                                                                |Star                           |04 42 18.9752083200 +23 37 27.003527400|176.1178331870226 -14.6401363031159|  9.727 -10.905    |9.92     |F8               |    ~     ~    
2987|HD 284677                                                                                                |Star                           |04 41 50.6701092888 +21 28 06.589585200|177.7904614308834 -16.0745350042614|  -2.733 -4.884    |10.27    |A3               |    ~     ~    
2988|HD 284676                                                                                                |Star                           |04 41 59.6490366120 +21 30 32.238258660|177.7801096646929 -16.0220971446843|   15.363 1.077    |8.99     |K0               |    ~     ~    
2989|HD 284673                                                                                                |Star                           |04 42 42.6780207048 +21 41 25.203085368|177.7404788026730 -15.7787173246193|  -5.353 -2.469    |9.39     |K2               |    ~     ~    
2990|HD 284671                                                                                                |High Proper Motion Star        |04 43 14.9500311024 +22 00 42.655090464|177.5598012162640 -15.4809367706046|-66.664 -46.092    |10.50    |F8               |    ~     ~    
2991|HD 284672                                                                                                |Star                           |04 43 44.6432196840 +21 48 49.923466344|177.7947801515828 -15.5140809639055|   1.011 -9.092    |10.91    |A0               |    ~     ~    
2992|HD 284675                                                                                                |High Proper Motion Star        |04 41 32.491152 +21 39 10.61028        |177.594729703 -16.014534516        |     36.9 -34.3    |10.985   |G5               |    ~     ~    
2993|HD 284674                                                                                                |Spectroscopic Binary           |04 41 43.7688572328 +21 40 59.658465900|177.5984699469212 -15.9615090821479|   29.723 0.381    |10.86    |F8               |    ~     ~    
2994|HD 284638                                                                                                |Star                           |04 44 18.9176259984 +23 55 26.972908320|176.1727474306556 -14.0957704384259| -11.907 -1.823    |10.46    |K                |    ~     ~    
2995|HD 29969                                                                                                 |High Proper Motion Star        |04 44 22.3000474848 +24 04 57.300272076|176.0536911436455 -13.9865734943921| 42.251 -69.472    |8.2      |G5V              |    ~     ~    
2996|HD 284661                                                                                                |Star                           |04 44 36.1822782000 +22 27 24.724007460|177.4004495949493 -14.9588679986105| 14.398 -17.652    |10.11    |F8               |    ~     ~    
2997|HD 284656                                                                                                |High Proper Motion Star        |04 44 54.6923090448 +23 02 15.264820680|176.9758220576580 -14.5421435509187|  9.890 -89.734    |9.94     |F8               |    ~     ~    
2998|HD 29976                                                                                                 |Star                           |04 44 22.7862688416 +21 39 27.251378496|178.0170305429853 -15.4951604855363| -4.470 -14.597    |8.26     |A2               |    ~     ~    
2999|HD 284678                                                                                                |Star                           |04 44 41.2408040256 +21 29 04.863117552|178.2039128901313 -15.5459399112757|  -1.277 -4.575    |10.82    |A0               |    ~     ~    
3000|HD 284637                                                                                                |Star                           |04 44 12.5183864352 +24 05 53.790883512|176.0170700591395 -14.0057553870687|   0.402 -4.412    |10.88    |A3               |    ~     ~    
3001|HD 284573                                                                                                |Star                           |04 41 49.4889298296 +23 33 51.901783920|176.0926350839954 -14.7652454685967|       0.7 -3.7    |10.92    |G5               |    ~     ~    
3002|HD 29697                                                                                                 |BY Dra Variable                |04 41 18.8552115035 +20 54 05.446927411|178.1724087857379 -16.5243757914179|-234.261 -254.314  |7.985    |K4V              |    ~     ~    
3003|HD 29682                                                                                                 |Star                           |04 41 23.9475584688 +20 36 13.228650864|178.4286817494097 -16.6940570779229| 37.058 -32.554    |9.30     |G5               |    ~     ~    
3004|HD 284694                                                                                                |Star                           |04 42 11.9386041240 +21 08 26.055158856|178.1111611063028 -16.2140189682669|   4.723 -1.777    |9.77     |K5               |    ~     ~    
3005|HD 284704                                                                                                |Double or Multiple Star        |04 42 53.072400 +20 37 37.52724        |178.634336467 -16.406839290        |     12.4 -18.1    |9.695    |G0               |    ~     ~    
3006|HD 29860                                                                                                 |High Proper Motion Star        |04 43 06.3478766448 +20 37 47.986563396|178.6653330191281 -16.3643653497039|  62.915 19.020    |8.68     |G0               |    ~     ~    
3007|HD 284713                                                                                                |Star                           |04 44 06.6889673856 +20 18 42.634653876|179.0777577657536 -16.3752732854076|-13.372 -30.150    |10.75    |G0               |    ~     ~    
3008|HD 284705                                                                                                |Star                           |04 41 26.3630081064 +20 16 42.799168200|178.7010411061632 -16.8884860830049| 13.521 -13.868    |9.94     |K0               |    ~     ~    
3009|HD 284706                                                                                                |Star                           |04 41 35.7985505424 +20 15 49.483374264|178.7370798399099 -16.8687339258747|  -2.757 -8.064    |9.07     |K2               |    ~     ~    
3010|HD 284708                                                                                                |Star                           |04 42 40.7949016488 +20 13 12.466707132|178.9371010374460 -16.6961293954646|   2.600 -5.090    |9.73     |A2               |    ~     ~    
3011|HD 284709                                                                                                |Double or Multiple Star        |04 43 06.023232 +20 14 34.76508        |178.981898412 -16.604429123        |    -11.4 -29.5    |9.74     |K1V              |    ~     ~    
3012|HD 284695                                                                                                |Star                           |04 41 26.9439659400 +20 47 14.928232020|178.2859863048854 -16.5706590578905|  3.364 -18.088    |10.94    |G                |    ~     ~    
3013|HD 284712                                                                                                |Star                           |04 43 59.7827835120 +20 08 58.374663468|179.1938091460319 -16.4964293205073|   8.555 -8.105    |9.76     |K2               |    ~     ~    
3014|HD 284693                                                                                                |Star                           |04 41 42.2111088144 +21 09 58.119953184|178.0154534027408 -16.2885568577898| 21.989 -18.007    |10.02    |F5               |    ~     ~    
3015|HD 284703                                                                                                |Star                           |04 43 33.6803424048 +20 39 15.273256248|178.7140943771271 -16.2655936683762|  4.327 -11.090    |9.98     |A0               |    ~     ~    
3016|HD 284690                                                                                                |Star                           |04 41 48.5352679800 +21 16 54.913995912|177.9370214382060 -16.1972486859787|  15.177 -6.723    |10.26    |K0               |    ~     ~    
3017|HD 284689                                                                                                |Spectroscopic Binary           |04 42 50.7140599416 +21 19 50.767194324|178.0534253977418 -15.9778484433628|    1.953 3.635    |10.47    |K7               |    ~     ~    
3018|HD 284726                                                                                                |Spectroscopic Binary           |04 41 35.6269823664 +19 35 33.130271436|179.2882490180937 -17.2845853172801|   0.669 -1.892    |10.35    |G0               |    ~     ~    
3019|BD+19 757                                                                                                |Star                           |04 41 35.6729924448 +19 46 13.826515944|179.1418681878095 -17.1744655903334|  -3.529 -0.530    |10.72    |K0               |    ~     ~    
3020|HD 284725                                                                                                |Star                           |04 41 37.3507559088 +19 51 13.190465844|179.0777324354175 -17.1178758524244|   3.790 -7.357    |10.94    |F0               |    ~     ~    
3021|HD 29725                                                                                                 |Spectroscopic Binary           |04 41 44.4608189520 +20 05 17.121556500|178.9031413001782 -16.9509496682640| 44.785 -23.289    |9.28     |G5               |    ~     ~    
3022|HD 284724                                                                                                |Star                           |04 42 10.4972141976 +19 48 18.723475332|179.2015789410310 -17.0456705264746|  -6.602 -0.357    |10.80    |F7V              |    ~     ~    
3023|HD 284723                                                                                                |Star                           |04 42 28.7840923176 +19 39 06.688150992|179.3741125528812 -17.0838001802245|-10.378 -16.689    |9.62     |K2               |    ~     ~    
3024|HD 29698                                                                                                 |Star                           |04 41 22.7457730440 +18 41 38.092151544|179.9978137843539 -17.8783477006519|   0.031 -7.278    |9.35     |G0               |    ~     ~    
3025|HD 29752                                                                                                 |Star                           |04 41 57.6415526568 +18 50 02.779597464|179.9705580499527 -17.6835829916462|-31.679 -10.203    |9.44     |G8V              |    ~     ~    
3026|HD 285968                                                                                                |High Proper Motion Star        |04 42 55.7750207949 +18 57 29.395947044|180.0153643472011 -17.4265144841244|656.647 -1116.594  |9.951    |M2.5V            |    ~     ~    
3027|HD 29836                                                                                                 |High Proper Motion Star        |04 42 51.7064810640 +18 43 13.567108476|180.2020403404142 -17.5848756321480|103.816 -91.259    |7.120    |G5               |    ~     ~    
3028|HD 285970                                                                                                |Spectroscopic Binary           |04 43 01.4322781176 +18 42 41.899160016|180.2339867767620 -17.5599166127039|100.617 -93.366    |9.86     |K7               |    ~     ~    
3029|HD 284729                                                                                                |Spectroscopic Binary           |04 42 10.8873161736 +19 18 19.227136716|179.6145607080161 -17.3526255983894|  6.446 -19.489    |10.49    |F5               |    ~     ~    
3030|HD 284731                                                                                                |High Proper Motion Star        |04 43 27.2977988232 +19 17 58.384734576|179.8126758714668 -17.1191342579089| 47.428 -31.346    |10.80    |G6V              |    ~     ~    
3031|HD 284721                                                                                                |Star                           |04 43 12.7614550392 +19 55 09.708219804|179.2648924588991 -16.7831818848445|  3.995 -10.887    |10.18    |A2               |    ~     ~    
3032|HD 284720                                                                                                |Star                           |04 43 48.1872198552 +19 47 47.473776816|179.4552359132432 -16.7492928276703|  2.394 -10.220    |10.41    |A7               |    ~     ~    
3033|IRAS 04397+1848                                                                                          |Star                           |04 42 42.2898433392 +18 53 49.166109528|180.0318519842126 -17.5060126317902|    2.005 1.619    |10.54    |~                |    ~     ~    
3034|HD 284722                                                                                                |Star                           |04 42 52.6296730176 +19 44 53.445133068|179.3550378612379 -16.9507772569069|  -0.923 -1.842    |10.13    |A0               |    ~     ~    
3035|HD 284697                                                                                                |Star                           |04 44 22.5894920640 +20 56 17.960022888|178.6038884197643 -15.9403481517145| 37.601 -11.169    |9.85     |F5               |    ~     ~    
3036|HD 284698                                                                                                |Star                           |04 44 55.9632211008 +20 52 24.673501524|178.7402119126383 -15.8780081721085| 25.814 -15.623    |10.28    |G0               |    ~     ~    
3037|HD 284718                                                                                                |Star                           |04 44 30.7299926376 +19 35 36.062768256|179.7297051853731 -16.7421331215225|   3.767 -5.663    |9.41     |K0               |    ~     ~    
3038|NGC 1647 57                        HD 284735                                                             |Star                           |04 44 41.0015698272 +19 17 32.382683160|180.0042383692725 -16.8943968950238|  -0.955 -1.414    |10.34    |A0               |    ~     ~    
3039|NGC 1647 59                        HD 284732                                                             |Star                           |04 44 29.8819402128 +19 15 06.743590704|180.0097572644032 -16.9537394847105|  -1.181 -1.759    |9.78     |B8               |    ~     ~    
3040|NGC 1647 66                        HD 286010                                                             |Star                           |04 44 30.9527051592 +18 58 26.828881536|180.2424380363158 -17.1200894720173|  -0.964 -1.522    |10.24    |B8               |    ~     ~    
3041|NGC 1647 70                        HD 286011                                                             |Star                           |04 44 35.1540879816 +18 51 23.013790776|180.3506227837848 -17.1788042247028|  -1.205 -1.484    |10.52    |B9               |    ~     ~    
3042|NGC 1647 65                        HD 286009                                                             |Star                           |04 44 37.2218140200 +19 00 34.533263232|180.2288147619630 -17.0788720532656| 30.017 -36.064    |9.57     |F9V              |    ~     ~    
3043|NGC 1647 71                        HD 286013                                                             |Star                           |04 44 41.8314904608 +18 49 31.353786336|180.3931597099789 -17.1768475926390|  -0.984 -1.506    |10.7     |A0               |    ~     ~    
3044|NGC 1647 316                       HD 286008                                                             |Star                           |04 44 56.2728140832 +19 03 34.418934576|180.2352996789275 -16.9889320128485|  -0.802 -1.509    |10.84    |A5               |    ~     ~    
3045|NGC 1647 69                        HD 286012                                                             |Star                           |04 44 22.7677004222 +18 48 21.670498046|180.3612143515248 -17.2482388670558|  12.496 -0.197    |10.13    |A3               |    ~     ~    
3046|NGC 1647 63                        NGC 1647 63                                                           |Star                           |04 44 33.4934767728 +19 03 37.792223784|180.1772612713932 -17.0594239917372| -1.544 -14.352    |10.85    |~                |    ~     ~    
3047|TYC 1271-323-1                                                                                           |Star                           |04 42 37.0584348360 +18 44 21.502438728|180.1492392734648 -17.6189946580047|  5.986 -29.358    |10.19    |~                |    ~     ~    
3048|HD 284717                                                                                                |Star                           |04 44 57.0385088328 +19 52 28.170077340|179.5637684128120 -16.4883558440490|-21.361 -16.250    |10.44    |K2               |    ~     ~    
3049|TYC 1275-1283-1                                                                                          |Star                           |04 43 53.2323521016 +19 14 43.157784768|179.9229170152197 -17.0717743165172|  5.948 -11.417    |10.64    |~                |    ~     ~    
3050|HD 29786                                                                                                 |Star                           |04 42 09.7457559264 +15 58 11.548870968|182.3975590472401 -19.3899627914234|-23.576 -29.108    |8.09     |F2               |    ~     ~    
3051|HD 29776                                                                                                 |Star                           |04 42 13.8059024592 +18 20 49.119319428|180.4157876287663 -17.9319372955397|  -4.209 -3.128    |9.33     |K0               |    ~     ~    
3052|HD 29895                                                                                                 |Star                           |04 43 22.9993978032 +18 36 43.747736616|180.3711578490886 -17.5534137433813|  -0.806 -9.123    |9.07     |A0               |    ~     ~    
3053|HD 29958                                                                                                 |Star                           |04 44 02.0191644216 +18 29 29.430848040|180.5700376401291 -17.5049668986864| 20.705 -11.372    |9.24     |A0               |    ~     ~    
3054|HD 285974                                                                                                |Star                           |04 42 37.2318375696 +18 06 00.490598712|180.6807205344322 -18.0095144354590|  0.288 -11.947    |10.29    |K5               |    ~     ~    
3055|HD 285973                                                                                                |High Proper Motion Star        |04 42 52.2635250864 +18 08 41.591835744|180.6816697537778 -17.9350495910275|59.282 -125.636    |10.31    |G6V              |    ~     ~    
3056|HD 285971                                                                                                |Star                           |04 41 41.8424113056 +18 33 18.205902792|180.1616191408928 -17.9041754329957|  19.760 22.721    |9.73     |F8               |    ~     ~    
3057|HD 285972                                                                                                |Star                           |04 42 27.4639389072 +18 17 40.745533056|180.4940307212161 -17.9212318222966|   1.079 -1.576    |10.88    |A                |    ~     ~    
3058|HD 29726                                                                                                 |Spectroscopic Binary           |04 41 32.6292695928 +17 24 46.550960568|181.0892960696270 -18.6320335788006|  -7.947 -3.510    |8.40     |A2               |    ~     ~    
