C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
64  |BD-01 541A                                                            |Star                           |03 49 40.7843312678 -01 12 46.582240810|189.3661359813130 -40.0634910447244|   17.777 0.879   |10.80    |~                   |    ~     ~    
65  |TYC 4717-1302-1                                                       |Star                           |03 47 30.5248932384 -01 52 10.114949532|189.6599481859400 -40.8853481523270|   13.579 8.559   |10.49    |~                   |    ~     ~    
66  |TYC 4718-5-1                                                          |High Proper Motion Star        |03 51 12.0000747672 -00 40 10.251127920|189.0765219849924 -39.4388764679893|-27.211 -52.927   |10.21    |~                   |    ~     ~    
67  |TYC 4718-79-1                                                         |Star                           |03 52 04.6248750096 -01 22 49.892735496|189.9938707442887 -39.6698331119936|   12.873 7.914   |10.76    |~                   |    ~     ~    
68  |TYC 4718-289-1                                                        |Star                           |03 54 25.7916085584 -01 06 24.441409476|190.1385072408677 -39.0309026365987|  16.116 -5.461   |10.31    |~                   |    ~     ~    
69  |TYC 4718-342-1                                                        |Star                           |03 51 19.1360723664 -02 05 50.289272916|190.6215769244634 -40.2338568436916|    3.233 0.372   |10.67    |~                   |    ~     ~    
70  |TYC 4718-369-1                                                        |High Proper Motion Star        |03 55 03.6353321208 -00 19 46.410364488|189.4390866476846 -38.4552606048855|63.235 -126.823   |10.4     |~                   |    ~     ~    
71  |TYC 4718-439-1                                                        |High Proper Motion Star        |03 50 31.5175206984 -01 46 29.620084944|190.1265587418029 -40.2134929452133| 87.445 -17.570   |10.33    |~                   |    ~     ~    
72  |TYC 4718-529-1                                                        |Star                           |03 50 59.0955669048 -00 18 27.624900528|188.6557082938370 -39.2717106916584| -1.370 -37.569   |10.8     |~                   |    ~     ~    
73  |TYC 4718-608-1                                                        |Star                           |03 50 24.2348265120 -00 11 03.258485952|188.4165031303334 -39.3171465477196| 32.203 -33.746   |10.7     |~                   |    ~     ~    
74  |TYC 4718-759-1                                                        |High Proper Motion Star        |03 54 12.5201641632 -01 59 21.348301740|191.0371087152158 -39.5771091463111| 60.566 -57.944   |10.93    |~                   |    ~     ~    
75  |TYC 4718-875-1                                                        |Star                           |03 52 47.4455098920 -00 56 24.204534216|189.6593579841045 -39.2708943012855|  -16.326 3.806   |10.687   |~                   |    ~     ~    
76  |TYC 4718-1090-1                                                       |Star                           |03 53 09.7555 -01 50 18.292            |190.6837393 -39.7076015            |   -8.00 -25.50   |10.25    |~                   |    ~     ~    
77  |GEN# +7.30950023                                                      |Star                           |03 49 05.0 -01 41 42                   |189.7699 -40.4631                  |            ~ ~   |10.534   |~                   |    ~     ~    
