C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
2049|CD-50 1174                                                            |Star                           |03 51 38.0052451416 -50 31 21.866922372|259.9106597613718 -48.7399172887802|   3.197 -5.740   |10.65    |~                   |    ~     ~    
2050|CD-50 1193                                                            |Star                           |03 53 28.4636929056 -50 06 34.284782304|259.1832388217830 -48.5779047356021|  6.226 -34.670   |10.50    |~                   |    ~     ~    
2051|CD-49 1079                                                            |High Proper Motion Star        |03 46 06.8958930072 -49 25 40.846260000|258.7123045250264 -49.9127876482392|  7.004 -68.631   |9.89     |~                   |    ~     ~    
2052|HD 24100                                                              |Star                           |03 48 14.7007235640 -49 04 56.358723504|258.0431834943451 -49.6809348287911|  -1.921 -2.504   |8.72     |F2V                 |    ~     ~    
2053|AKARI-IRC-V1 J0346384-493120                                          |Long-Period Variable Candidate |03 46 38.4587843112 -49 31 19.836194808|258.8121200944590 -49.8031140505248|   2.816 -9.230   |10.17    |~                   |    ~     ~    
2054|CD-50 1143                                                            |Double or Multiple Star        |03 46 46.439376 -49 51 41.72328        |259.302896076 -49.680327969        |     90.6 -49.9   |10.708   |~                   |    ~     ~    
2055|TYC 8070-918-1                                                        |Star                           |03 52 05.5662260208 -49 13 43.358298096|257.9914617286041 -49.0358954431034|  13.455 35.049   |10.59    |~                   |    ~     ~    
2056|GSC 08070-01401                                                       |Double or Multiple Star        |03 52 06.7907707344 -49 15 13.025617668|258.0266543496181 -49.0259420291341|     45.3 -10.1   |10.674   |~                   |    ~     ~    
2057|TYC 8070-1516-1                                                       |High Proper Motion Star        |03 56 30.8447268480 -49 15 45.276468588|257.7544612870169 -48.3306803295315|36.881 -103.408   |10.99    |~                   |    ~     ~    
2058|TYC 8073-695-1                                                        |Star                           |03 48 58.8654019608 -50 00 58.655547972|259.3653790360026 -49.2951032850384|  21.615 20.310   |10.56    |~                   |    ~     ~    
2059|TYC 8073-805-1                                                        |Star                           |03 55 01.7160346992 -51 20 07.694354148|260.8399601637999 -47.9879058098804|   13.739 6.552   |10.78    |~                   |    ~     ~    
2060|TYC 8073-871-1                                                        |Spectroscopic Binary           |03 58 22.3625650656 -50 21 28.031783256|259.2198625874865 -47.7565664727780|   7.500 22.226   |10.95    |~                   |    ~     ~    
2061|TYC 8073-1119-1                                                       |Star                           |03 57 40.4321851248 -50 49 31.076622768|259.9338074547600 -47.7363631320520|  20.577 12.210   |10.53    |~                   |    ~     ~    
2062|TYC 8073-1347-1                                                       |Star                           |03 49 47.5739392248 -51 07 43.224236040|260.9211283770731 -48.8314668933670|    9.068 8.955   |10.95    |~                   |    ~     ~    
2063|V* AH Hor                                                             |Long-Period Variable           |03 52 14.4045144672 -49 04 18.311515320|257.7509392195231 -49.0549048782904|   -4.498 0.700   |9.163    |~                   |    ~     ~    
2064|CD-49 1078                                                            |Spectroscopic Binary           |03 46 06.8333386320 -49 20 20.089852512|258.5802690736618 -49.9394987502410|   10.904 0.828   |10.47    |~                   |    ~     ~    
2065|CD-48 1075                                                            |Star                           |03 46 34.6637407848 -48 33 38.861167536|257.3866961813546 -50.0912958411661|  -4.346 38.349   |10.60    |G5                  |    ~     ~    
2066|CD-49 1082                                                            |Star                           |03 46 38.3154467640 -48 40 43.790607048|257.5587540171231 -50.0484287749546|-10.046 -26.810   |10.00    |G0                  |    ~     ~    
2067|CD-49 1088                                                            |Spectroscopic Binary           |03 47 06.2912083824 -48 55 32.015827560|257.8927500026518 -49.9047826548403|    0.784 6.788   |10.53    |~                   |    ~     ~    
2068|CD-49 1080                                                            |Star                           |03 46 11.7884655240 -49 17 35.681080092|258.5062996651284 -49.9401873266729|  14.196 -5.841   |10.438   |~                   |    ~     ~    
2069|CD-49 1075                                                            |Spectroscopic Binary           |03 45 17.7071894616 -48 49 58.053406224|257.8878724274345 -50.2164348772474|  15.173 -5.328   |9.97     |~                   |    ~     ~    
2070|CD-49 1091                                                            |Star                           |03 47 22.4299212576 -48 57 51.685333200|257.9309220664918 -49.8513908828901|   -0.718 2.591   |10.43    |~                   |    ~     ~    
2071|TYC 8070-477-1                                                        |Star                           |03 46 05.5056474912 -49 01 58.521876996|258.1270942349315 -50.0330004728795| -1.296 -30.881   |10.88    |~                   |    ~     ~    
2072|CD-55 798                                                             |Star                           |03 57 13.7237715984 -55 05 25.090006992|265.9135206315835 -46.4577127679030|    6.199 9.523   |10.40    |~                   |    ~     ~    
2073|CD-55 800                                                             |Star                           |03 58 03.4661339016 -55 07 02.439283116|265.8901419501394 -46.3371703337155| -0.076 -13.585   |9.86     |~                   |    ~     ~    
2074|HD 25359                                                              |High Proper Motion Star        |03 59 01.0418054976 -54 50 28.296037860|265.4461245290688 -46.3028565869839|  23.873 44.133   |9.40     |F5V                 |    ~     ~    
2075|CD-55 804                                                             |Star                           |03 59 56.4908495688 -55 03 03.451992840|265.6661566965161 -46.1068452933504|  31.250 -6.302   |10.01    |~                   |    ~     ~    
2076|TYC 8501-1516-1                                                       |Star                           |03 58 16.4710483704 -54 54 22.380521436|265.5875353776357 -46.3810593358750|   -1.218 3.295   |10.58    |~                   |    ~     ~    
2077|TYC 8504-1608-1                                                       |High Proper Motion Star        |03 59 16.7968479672 -55 00 04.559031972|265.6452441083438 -46.2128977761089|-42.628 -87.080   |10.983   |~                   |    ~     ~    
2078|HD 24185                                                              |Star                           |03 48 24.8135325240 -54 17 37.537012428|265.5027169818277 -47.9337376392232|  16.645 15.353   |6.90     |G0/3III/IV          |    ~     ~    
2079|CD-55 782                                                             |Star                           |03 53 24.0263649672 -54 47 36.928003740|265.7952907849525 -47.0771428140379|  25.456 27.471   |10.519   |~                   |    ~     ~    
2080|CD-55 797                                                             |Star                           |03 57 09.5588600808 -54 53 38.946134400|265.6516337238184 -46.5356408499017|   4.971 23.310   |10.31    |~                   |    ~     ~    
2081|CD-55 787                                                             |Star                           |03 54 25.2920101800 -54 54 07.509823056|265.8657625361939 -46.9009001108445|   6.026 -6.345   |9.67     |~                   |    ~     ~    
2082|CD-54 728                                                             |Star                           |03 45 14.3353122960 -53 43 14.460994956|264.9701179969777 -48.5819820079345|   5.617 -5.296   |9.71     |~                   |    ~     ~    
2083|HD 24617                                                              |Double or Multiple Star        |03 52 23.9777 -52 09 52.868            |262.2080075 -48.1180012            |      2.5 -18.1   |9.914    |A0/2+G/K            |    ~     ~    
2084|HD 25006                                                              |Star                           |03 55 47.8733922528 -52 14 52.361703420|262.0803945430542 -47.5977676256357|   -1.240 4.561   |7.86     |A0V                 |    ~     ~    
2085|CD-52 822                                                             |Double or Multiple Star        |03 58 38.1331584600 -52 22 26.681903868|262.0625690961106 -47.1462244833947|   4.097 19.043   |10.173   |~                   |    ~     ~    
2086|HD 24224                                                              |High Proper Motion Star        |03 48 47.3032672104 -53 10 56.215562412|263.9227885932950 -48.2882701585793| -57.467 -1.623   |8.32     |G4V                 |    ~     ~    
2087|CD-53 779                                                             |High Proper Motion Star        |03 48 52.2538026840 -52 44 45.770850204|263.3015278930004 -48.4298682264170|-24.265 -46.158   |10.08    |~                   |    ~     ~    
2088|CD-53 780                                                             |Star                           |03 48 56.7466645080 -52 55 07.660180704|263.5394262368480 -48.3590388047879|    2.932 2.852   |10.10    |~                   |    ~     ~    
2089|HD 24307                                                              |Star                           |03 49 23.8154685264 -53 14 35.399221116|263.9597871353766 -48.1815008893434|-10.821 -37.000   |7.51     |F3IV/V              |    ~     ~    
2090|CD-53 785                                                             |Star                           |03 50 11.0505540912 -52 55 07.035334176|263.4417591590298 -48.1840514288170| -14.362 32.473   |9.70     |~                   |    ~     ~    
2091|CD-53 786                                                             |Star                           |03 50 23.3327837520 -52 38 55.953029256|263.0454598943390 -48.2472174773052|-14.029 -35.138   |10.11    |~                   |    ~     ~    
2092|HD 24491                                                              |Star                           |03 51 14.1196002888 -53 37 04.390156380|264.3392339806500 -47.7930429998621|   0.897 -6.519   |9.62     |K0/1II/III          |    ~     ~    
2093|HD 24565                                                              |Star                           |03 51 53.2365618936 -52 55 12.521221248|263.3128458011188 -47.9422193925882|  4.670 -33.073   |9.775    |F3V                 |    ~     ~    
2094|HD 24686                                                              |Star                           |03 52 52.6766959176 -52 54 33.418404828|263.2229074029868 -47.8051712370373|   -0.459 0.216   |9.43     |K1III               |    ~     ~    
2095|CD-53 798                                                             |Star                           |03 53 01.6832855616 -53 15 14.021520732|263.6942856866592 -47.6681885614811|  15.545 13.028   |10.348   |~                   |    ~     ~    
2096|CPD-53 627                                                            |Spectroscopic Binary           |03 53 54.7657543392 -53 06 49.053173868|263.4322347427857 -47.5903821639572|   1.011 25.947   |9.978    |~                   |    ~     ~    
2097|HD 24863                                                              |Variable Star                  |03 54 33.9608747352 -52 41 25.535512896|262.7912255513321 -47.6358758568883| 26.471 -39.438   |6.461    |A4V                 |    ~     ~    
2098|HD 24904                                                              |Star                           |03 55 02.4333315336 -53 10 22.318946148|263.4322473585531 -47.4111895068221|  4.163 -19.172   |8.946    |K5III               |    ~     ~    
2099|HD 25061                                                              |High Proper Motion Star        |03 56 25.2983410040 -52 55 51.126291999|262.9951093999700 -47.2931776590516|238.916 242.985   |9.26     |K1V                 |    ~     ~    
2100|HD 25139                                                              |Star                           |03 57 04.2579800712 -53 14 26.784361320|263.3812754975350 -47.1016078808230|   25.700 9.349   |9.156    |K3III               |    ~     ~    
2101|HD 25149                                                              |Star                           |03 57 12.5921655744 -52 44 50.943100848|262.6833196722183 -47.2381104611185|  26.183 16.957   |8.21     |K2IIICNII           |    ~     ~    
2102|HD 24124                                                              |Star                           |03 48 03.2945374608 -53 45 08.396212356|264.7799926003908 -48.1839161502374|   15.611 1.554   |8.45     |K1III               |    ~     ~    
2103|CD-54 737                                                             |Star                           |03 49 44.2743112080 -54 16 46.251753564|265.3757251601006 -47.7596948730850| -11.666 21.911   |10.31    |~                   |    ~     ~    
2104|CD-54 738                                                             |Double or Multiple Star        |03 50 06.2729 -54 00 51.380            |264.9791772 -47.8069983            |       -4.4 0.7   |10.61    |~                   |    ~     ~    
2105|CD-54 745                                                             |Star                           |03 52 24.5053743984 -54 28 33.794891868|265.4361217286061 -47.3259090565647|-16.047 -29.400   |9.96     |~                   |    ~     ~    
2106|HD 24707                                                              |Star                           |03 53 01.2363309288 -54 06 22.763685456|264.8793112530562 -47.3745411457209|   1.096 -9.814   |8.67     |A2V                 |    ~     ~    
2107|HD 24864                                                              |Spectroscopic Binary           |03 54 25.3307835360 -54 32 01.179062340|265.3614069354418 -47.0323336681400|   -0.613 1.477   |9.08     |F5(IVp)             |    ~     ~    
2108|HD 24905                                                              |Star                           |03 54 51.8007543840 -54 26 52.349086320|265.2105420635487 -47.0026060462207|-36.252 -19.318   |8.54     |G0V                 |    ~     ~    
2109|V* UX Ret                                                             |Eclipsing Binary               |03 57 33.9744584016 -54 21 26.554635504|264.8884056114562 -46.6644792926781|-29.271 -12.163   |8.42     |F5V                 |    ~     ~    
2110|HD 25448                                                              |Star                           |03 59 54.1684533240 -54 09 40.177903068|264.4549244930325 -46.4075648817246|  12.913 35.440   |7.80     |F5V                 |    ~     ~    
2111|HD 25017                                                              |Star                           |03 55 42.6655570296 -54 38 19.723870860|265.4092436569218 -46.8205432620615| -5.944 -27.252   |9.69     |F6V                 |    ~     ~    
2112|CD-53 765                                                             |Star                           |03 45 44.9968453584 -53 34 56.180504712|264.7332172040048 -48.5640640489165|  -6.251 -1.718   |10.739   |~                   |    ~     ~    
2113|CD-53 772                                                             |Star                           |03 47 15.6477939720 -52 59 06.549288072|263.7685657763773 -48.5728856540193|-26.127 -12.737   |10.500   |~                   |    ~     ~    
2114|CD-53 777                                                             |High Proper Motion Star        |03 48 04.2240885480 -53 36 24.698000880|264.5756459851911 -48.2351290753973|  51.799 15.073   |10.37    |~                   |    ~     ~    
2115|CD-53 784                                                             |High Proper Motion Star        |03 50 06.5410394328 -53 25 58.762661412|264.1693341647207 -48.0149280092169|  -5.293 62.971   |10.62    |~                   |    ~     ~    
2116|CD-53 789                                                             |Star                           |03 51 06.7308709992 -53 08 56.711406084|263.6935678711827 -47.9736352252445|-15.152 -23.997   |10.624   |~                   |    ~     ~    
2117|CD-52 790                                                             |Star                           |03 51 45.6761730216 -52 36 29.942365932|262.8833050220181 -48.0647001188858|   -0.087 2.270   |10.774   |~                   |    ~     ~    
2118|CD-53 792                                                             |Star                           |03 51 52.2392726016 -53 09 50.982892992|263.6564502295545 -47.8616695918593|-31.114 -32.607   |10.401   |~                   |    ~     ~    
2119|CD-52 811                                                             |Star                           |03 56 15.6250811592 -52 21 40.676360652|262.2077197497014 -47.4954095308393|  -0.616 13.266   |10.092   |~                   |    ~     ~    
2120|CD-52 812                                                             |Star                           |03 57 00.0342807624 -52 33 01.827783576|262.4219303042020 -47.3295757686877|  19.541 10.201   |10.784   |~                   |    ~     ~    
2121|CD-53 816                                                             |High Proper Motion Star        |03 57 39.3574842408 -53 31 37.982345052|263.7376731537489 -46.9266476436148| 13.064 -46.197   |10.737   |~                   |    ~     ~    
2122|CD-54 762                                                             |Star                           |03 59 09.1384582152 -54 14 22.522281144|264.6145860847899 -46.4856286942245| -1.139 -14.967   |10.677   |~                   |    ~     ~    
2123|CD-54 730                                                             |Star                           |03 47 12.5585832024 -53 42 11.864958516|264.7809352912211 -48.3182528730394|   4.728 -1.496   |10.77    |~                   |    ~     ~    
2124|CD-53 773                                                             |Star                           |03 47 17.5485675096 -53 24 22.273754688|264.3582710896062 -48.4161223659932|   15.497 4.008   |10.53    |~                   |    ~     ~    
2125|CD-54 731                                                             |Star                           |03 47 46.6239646992 -54 05 40.975097568|265.2791229955542 -48.0947140715374|  13.514 28.487   |10.74    |~                   |    ~     ~    
2126|CD-54 732                                                             |Star                           |03 47 53.8213649856 -53 54 04.858885656|265.0005119125739 -48.1504913878941|   1.144 -7.399   |10.10    |~                   |    ~     ~    
2127|CD-52 779                                                             |Star                           |03 50 25.0408429176 -52 36 37.088550900|262.9887583123849 -48.2562236796300|  3.502 -29.187   |10.56    |~                   |    ~     ~    
2128|CD-52 797                                                             |Star                           |03 52 23.2600938144 -52 16 07.225101876|262.3562465321510 -48.0861123744097|   0.800 -4.638   |10.49    |~                   |    ~     ~    
2129|CD-53 795                                                             |Star                           |03 52 47.7424585224 -53 34 47.410788648|264.1663640393722 -47.5893330277840|  10.513 -6.635   |10.794   |~                   |    ~     ~    
2130|CD-53 796                                                             |Star                           |03 52 50.3479958184 -53 04 40.234677600|263.4621823263398 -47.7542434251896|    7.852 4.040   |10.188   |~                   |    ~     ~    
2131|CD-53 811                                                             |Star                           |03 56 25.6742983200 -53 06 43.556693724|263.2476463393227 -47.2342277421872|   4.668 12.495   |10.417   |~                   |    ~     ~    
2132|CD-52 824                                                             |Star                           |03 58 38.7328482168 -52 31 50.427552540|262.2813255434251 -47.0975615691249|   0.971 11.236   |10.554   |~                   |    ~     ~    
2133|V* SZ Ret                                                             |Long-Period Variable           |03 55 09.9291314856 -53 30 32.269742136|263.8911639173758 -47.2822562957789|   2.711 -1.773   |10.89    |~                   |    ~     ~    
2134|CD-52 814                                                             |Star                           |03 57 42.7962563808 -52 28 17.233462740|262.2618320902837 -47.2507327478384| -0.835 -11.635   |10.476   |~                   |    ~     ~    
2135|TYC 8073-418-1                                                        |Star                           |03 51 06.3126042576 -52 29 28.071334968|262.7675343298398 -48.1977748767669|    4.291 8.409   |10.740   |~                   |    ~     ~    
2136|TYC 8500-1518-1                                                       |High Proper Motion Star        |03 46 37.4331120192 -53 08 51.992351952|264.0500574835088 -48.6033989254578|  82.104 15.142   |10.81    |~                   |    ~     ~    
2137|TYC 8500-1583-1                                                       |Star                           |03 50 34.0682092704 -52 57 40.231062180|263.4718134838782 -48.1151350703223| 18.099 -40.214   |10.80    |~                   |    ~     ~    
2138|TYC 8501-721-1                                                        |Star                           |03 59 19.3441632528 -53 55 34.621505040|264.1723239142430 -46.5642962644537|-28.777 -21.861   |10.99    |~                   |    ~     ~    
2139|TYC 8501-850-1                                                        |Star                           |03 59 26.9725940400 -52 49 26.823307260|262.6369916790783 -46.8923490038922|  22.454 41.323   |10.984   |~                   |    ~     ~    
2140|TYC 8501-861-1                                                        |Star                           |03 57 10.4068216872 -53 43 24.218596416|264.0433982146060 -46.9302423767259|   6.596 10.800   |10.875   |~                   |    ~     ~    
2141|TYC 8501-993-1                                                        |Star                           |03 58 22.1081270112 -53 44 05.541629532|263.9748585157000 -46.7594421431225|   -3.649 0.800   |10.821   |~                   |    ~     ~    
2142|TYC 8501-1074-1                                                       |Star                           |03 58 39.1104 -52 53 15.089            |262.7794692 -46.9875214            |   4.363 28.942   |10.970   |~                   |    ~     ~    
2143|TYC 8501-1420-1                                                       |High Proper Motion Star        |03 59 06.9020496768 -53 01 42.686949216|262.9442708875077 -46.8776010938333|  46.453 58.299   |10.35    |~                   |    ~     ~    
2144|GSC 08501-01466                                                       |Double or Multiple Star        |03 53 27.8254856304 -54 30 48.144743244|265.4062454335818 -47.1695105912254|-29.056 -31.818   |10.671   |~                   |    ~     ~    
2145|TYC 8501-1601-1                                                       |Star                           |03 58 36.9445140480 -52 37 53.450136948|262.4244425339849 -47.0712483933284|  11.598 11.519   |10.774   |~                   |    ~     ~    
2146|TYC 8504-1067-1                                                       |High Proper Motion Star        |03 55 50.5045249224 -55 00 57.914541684|265.9146687725806 -46.6697455376849|  21.126 50.289   |10.832   |~                   |    ~     ~    
2147|HD 23720                                                              |Spectroscopic Binary           |03 45 02.1116216832 -51 18 59.940445176|261.5647441232788 -49.4741593576927|  53.943 21.914   |9.54     |G2V                 |    ~     ~    
2148|HD 23749                                                              |Star                           |03 45 12.6762198888 -51 15 35.518049316|261.4681928565476 -49.4673999351472|   9.547 18.663   |7.79     |G8III               |    ~     ~    
2149|CPD-52 448                                                            |Star                           |03 45 44.0109941448 -51 47 46.337348652|262.1998101360417 -49.2085569799312|  26.181 39.837   |10.613   |~                   |    ~     ~    
2150|CD-52 763                                                             |Spectroscopic Binary           |03 45 50.6297274456 -51 45 45.278642376|262.1425019720140 -49.2040786496697|   2.823 -4.133   |9.55     |~                   |    ~     ~    
2151|HD 24417                                                              |Star                           |03 50 33.9943847976 -51 50 39.481177704|261.8894105787475 -48.4885648900719|  21.348 10.839   |8.86     |K3/4                |    ~     ~    
2152|HD 23772                                                              |Star                           |03 45 20.3691408288 -52 06 24.848932284|262.6777965166523 -49.1575190220538|   0.103 11.591   |9.38     |K1/2                |    ~     ~    
2153|HD 23833                                                              |Star                           |03 45 43.3980468864 -52 20 53.850016572|262.9911103138261 -49.0174479240334|  -4.912 -4.725   |9.46     |F0IV/V              |    ~     ~    
2154|CD-52 764                                                             |Star                           |03 46 01.7073889536 -52 06 35.354861820|262.6254705625122 -49.0573897829521|  38.418 16.158   |10.512   |~                   |    ~     ~    
2155|CD-52 774                                                             |Star                           |03 49 00.6524031936 -52 16 49.691610768|262.6304944017884 -48.5695482961586|   -5.999 3.989   |9.73     |~                   |    ~     ~    
2156|V* WX Hor                                                             |Mira Variable                  |03 49 35.8198098288 -52 04 47.844936660|262.2995325443466 -48.5522101982428|  19.435 27.229   |7.56     |M5/6III             |    ~     ~    
2157|CD-52 775                                                             |Star                           |03 49 12.3441294384 -51 49 20.029907064|261.9618436567141 -48.6944524625924|-18.701 -44.921   |10.70    |~                   |    ~     ~    
2158|CD-53 763                                                             |Star                           |03 45 28.0633240224 -53 01 06.871265508|263.9638519924660 -48.8122008409802|   5.131 13.848   |10.736   |~                   |    ~     ~    
2159|CD-53 771                                                             |Star                           |03 46 51.9450345864 -52 49 21.030279204|263.5710018418888 -48.6866920616181|    8.264 3.188   |10.52    |~                   |    ~     ~    
2160|TYC 8073-295-1                                                        |High Proper Motion Star        |03 48 33.8979609336 -52 21 20.523785328|262.7724945474294 -48.6080308588682|   4.491 55.140   |10.52    |~                   |    ~     ~    
2161|TYC 8073-401-1                                                        |Star                           |03 45 43.0407861816 -52 01 59.528039088|262.5412094719389 -49.1288847993820|  13.679 17.939   |10.776   |~                   |    ~     ~    
2162|CD-57 753                                                             |Star                           |03 51 07.2141439632 -57 35 04.557715260|269.7225443505715 -46.2819091181661|  10.551 10.997   |9.44     |~                   |    ~     ~    
2163|CD-58 796                                                             |Star                           |03 55 41.4098258496 -57 49 25.732743780|269.6782855184155 -45.6270253648157|  -5.016 -3.125   |10.43    |F5                  |    ~     ~    
2164|HD 24930                                                              |Star                           |03 54 43.0521746688 -57 56 22.088945544|269.9042998129586 -45.6987103893451|   0.932 12.878   |8.94     |G8III               |    ~     ~    
2165|CD-58 805                                                             |Star                           |03 58 15.8590724928 -58 03 27.274822056|269.7910885329385 -45.2207536511823| 11.484 -15.921   |10.546   |~                   |    ~     ~    
2166|CD-58 787                                                             |Star                           |03 53 28.7679367824 -57 47 04.578602748|269.7976915383650 -45.9121810173808|    5.774 8.609   |10.17    |~                   |    ~     ~    
2167|HD 24566                                                              |Star                           |03 51 32.4865938792 -56 17 38.321562300|267.9740935275292 -46.7525159472091|  -7.282 17.145   |7.49     |G8III               |    ~     ~    
2168|CD-56 780                                                             |High Proper Motion Star        |03 51 45.0645656976 -56 25 50.623387032|268.1405857131273 -46.6718218548659|104.004 118.795   |9.76     |~                   |    ~     ~    
2169|CD-56 783                                                             |Star                           |03 53 18.9289295256 -56 11 32.294409324|267.6976882659166 -46.5652102931905|    7.697 2.587   |10.33    |~                   |    ~     ~    
2170|HD 24799                                                              |Star                           |03 53 34.6905777696 -56 24 46.571906736|267.9728828979598 -46.4463416003256|  -2.945 22.889   |7.92     |K0III(CNIII/IV)     |    ~     ~    
2171|CD-56 786                                                             |Star                           |03 53 53.5431719256 -56 03 07.306179696|267.4644788067501 -46.5446621237468|  -6.456 -5.240   |10.06    |~                   |    ~     ~    
2172|CD-56 788                                                             |Star                           |03 54 44.5485094248 -56 16 54.090454332|267.7073385188726 -46.3478275803760|  13.818 40.132   |10.059   |~                   |    ~     ~    
2173|CD-56 790                                                             |Star                           |03 54 53.1136508496 -56 09 38.326357944|267.5341406344786 -46.3753885227160|   7.746 24.076   |9.891    |~                   |    ~     ~    
2174|CD-56 791                                                             |Star                           |03 55 05.4800310936 -56 17 47.449636764|267.7005577597340 -46.2974217643290|-14.709 -25.131   |9.23     |~                   |    ~     ~    
2175|CPD-56 596                                                            |Star                           |03 56 17.8034758272 -56 19 44.386401972|267.6529565067856 -46.1303659226122|    5.671 9.875   |9.97     |~                   |    ~     ~    
2176|HD 25131                                                              |Star                           |03 56 34.5018516264 -56 19 30.577814292|267.6270057729861 -46.0960258077993|  -17.631 1.803   |8.65     |F0III/IV            |    ~     ~    
2177|HD 25262                                                              |Star                           |03 57 45.3850945056 -56 15 01.241431380|267.4394390978372 -45.9714768774076|  -5.647 15.612   |9.116    |A9III               |    ~     ~    
2178|HD 25449                                                              |Spectroscopic Binary           |03 59 37.4581877736 -56 28 22.171621152|267.6010791282571 -45.6494252160332|  29.512 42.521   |6.82     |A2mA5-F0            |    ~     ~    
2179|CD-56 810                                                             |Star                           |03 59 52.0055272776 -56 16 53.162550696|267.3283226681334 -45.6871989661376|  10.190 -2.319   |10.428   |~                   |    ~     ~    
2180|CD-57 744                                                             |Star                           |03 48 44.4718402800 -57 10 08.964582420|269.3689104323713 -46.7468562055204|   8.847 14.050   |10.564   |~                   |    ~     ~    
2181|HD 24292                                                              |Star                           |03 48 58.7103184536 -56 58 15.380049360|269.0862996073909 -46.8003995296497|   18.492 8.766   |9.28     |F6V                 |    ~     ~    
2182|CD-57 750                                                             |High Proper Motion Star        |03 50 15.0612252120 -56 51 55.316934864|268.8414541547663 -46.6857405527118|  34.812 52.798   |10.08    |~                   |    ~     ~    
2183|CD-57 752                                                             |Star                           |03 50 50.2673126808 -57 24 14.125020984|269.5073185310826 -46.3914665911721|   12.008 8.812   |10.40    |~                   |    ~     ~    
2184|HD 24593                                                              |Star                           |03 51 44.1263377944 -56 39 07.223024664|268.4375148292662 -46.5858555816762|   -1.292 0.217   |9.22     |A2V                 |    ~     ~    
2185|CD-57 756                                                             |Star                           |03 51 53.6534779296 -56 58 42.444595020|268.8592972519184 -46.4349262006736|   2.126 -0.127   |9.82     |~                   |    ~     ~    
2186|HD 24812                                                              |High Proper Motion Star        |03 53 48.8118465264 -57 05 03.995345148|268.8486008692520 -46.1532221588506|  33.666 43.356   |8.68     |K3III               |    ~     ~    
2187|CD-57 783                                                             |Star                           |03 57 18.7091323944 -57 25 47.735269644|269.0385776223178 -45.5826014087749|  16.618 30.101   |9.09     |~                   |    ~     ~    
2188|CD-57 784                                                             |Star                           |03 57 24.0338403840 -56 59 49.897946868|268.4602663504761 -45.7376299122461| 10.122 -23.594   |10.091   |~                   |    ~     ~    
2189|HD 25268                                                              |Star                           |03 57 54.5771015016 -56 45 50.656174920|268.1132852311417 -45.7612524155025| -15.715 39.784   |8.64     |F5V                 |    ~     ~    
2190|HD 25303                                                              |Star                           |03 58 18.0437816880 -56 45 32.491589688|268.0778767946407 -45.7134290183880| -7.472 -17.969   |8.44     |K2III               |    ~     ~    
2191|CD-57 788                                                             |Star                           |03 58 22.2500878152 -57 01 49.834443216|268.4328427498703 -45.6027847162570|  8.706 -10.103   |10.37    |~                   |    ~     ~    
2192|HD 25317                                                              |High Proper Motion Star        |03 58 27.3991375296 -56 52 43.167844380|268.2253114077026 -45.6489546756319|  49.793 44.154   |9.05     |F6V                 |    ~     ~    
2193|HD 25346                                                              |Star                           |03 58 42.9015817320 -57 06 08.500161780|268.5027537476565 -45.5323873953379|  25.123 10.398   |6.043    |F5IV/V              |    ~     ~    
2194|CD-57 796                                                             |High Proper Motion Star        |03 59 03.4932987480 -57 14 44.295942948|268.6670517184226 -45.4353179875478| -9.445 -67.795   |9.84     |~                   |    ~     ~    
2195|CD-57 798                                                             |Star                           |03 59 38.1330933528 -57 30 13.427589672|268.9652263078102 -45.2657396411000| -1.022 -13.220   |10.28    |~                   |    ~     ~    
2196|HD 24938                                                              |Star                           |03 54 47.9394956208 -57 43 30.139897404|269.6170189784035 -45.7754856308116|-24.114 -33.650   |9.733    |G0IV                |    ~     ~    
2197|V* RY Ret                                                             |Mira Variable                  |03 50 03.3754140408 -57 21 13.737750336|269.5047514995753 -46.5080919214141|  -6.144 -0.448   |9.47     |M5IIIe              |    ~     ~    
2198|CD-56 775                                                             |Star                           |03 51 02.4890125464 -56 30 24.692209128|268.2992744825428 -46.7314443777611|    9.953 9.167   |9.15     |~                   |    ~     ~    
2199|CD-58 800                                                             |Star                           |03 57 18.4587054480 -57 51 39.566526660|269.6050218165123 -45.4147303161597|   0.388 29.071   |10.54    |~                   |    ~     ~    
2200|CD-57 762                                                             |Star                           |03 52 37.8930139344 -57 01 35.034813408|268.8643699571331 -46.3237335449861| -23.760 31.080   |10.51    |~                   |    ~     ~    
2201|CD-57 769                                                             |High Proper Motion Star        |03 54 35.3198216064 -57 04 15.729560508|268.7707966039419 -46.0617751556305|  -7.267 71.183   |10.886   |~                   |    ~     ~    
2202|CD-57 779                                                             |Star                           |03 55 59.8476205488 -56 52 23.970849924|268.4010259844498 -45.9618314489173|-12.695 -13.894   |10.766   |~                   |    ~     ~    
2203|CD-58 810                                                             |Star                           |03 59 44.9642912328 -57 58 08.879517084|269.5671061200583 -45.0739666961253|  13.858 18.097   |9.76     |~                   |    ~     ~    
