C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4464|TYC 3281-318-1                                                                                           |High Proper Motion Star           |02 07 26.4321326424 +46 39 28.054272636|136.2610170995543 -14.2375621238949| 45.410 -27.964     |9.97     |~                  |    ~     ~    |    1|  155.960   pc  |  -0.3989     +0.3989  |paral   |2020yCat.1350....0G
4465|TYC 3281-702-1                                                                                           |Star                              |02 06 26.7333901488 +45 24 54.822634020|136.4734393709618 -15.4751501849462|   8.171 -6.066     |10.91    |~                  |    ~     ~    |    1| 1091.346   pc  | -17.7464    +17.7464  |paral   |2020yCat.1350....0G
4466|TYC 3281-718-1                                                                                           |Star                              |02 07 24.9729370512 +45 05 13.027125300|136.7445868609990 -15.7373531709258|   -5.411 1.699     |10.68    |~                  |    ~     ~    |    1|  689.085   pc  |  -9.1169     +9.1169  |paral   |2020yCat.1350....0G
4467|TYC 3281-769-1                                                                                           |Star                              |02 07 59.5177683672 +46 28 43.497657876|136.4097667720558 -14.3799135837812|   1.677 -0.916     |10.66    |~                  |    ~     ~    |    1| 2201.189   pc  |-121.6153   +121.6153  |paral   |2020yCat.1350....0G
4468|TYC 3281-897-1                                                                                           |Star                              |02 04 41.3598374592 +45 05 56.803842960|136.2630680451767 -15.8681154640592|  1.879 -10.043     |10.56    |~                  |    ~     ~    |    1|  945.895   pc  | -13.6892    +13.6892  |paral   |2020yCat.1350....0G
4469|TYC 3281-957-1                                                                                           |Star                              |02 03 51.7838540856 +46 41 32.001190836|135.6449755761788 -14.3839784158962|   6.751 -3.508     |10.97    |~                  |    ~     ~    |    1| 1259.922   pc  | -35.0816    +35.0816  |paral   |2020yCat.1350....0G
4470|TYC 3281-967-1                                                                                           |Star                              |02 08 37.2117395520 +45 18 09.421883928|136.8865994901814 -15.4675502845042|  -0.216 -4.686     |10.63    |~                  |    ~     ~    |    1|  767.990   pc  | -15.7479    +15.7479  |paral   |2020yCat.1350....0G
4471|TYC 3281-974-1                                                                                           |Star                              |02 08 14.4353360016 +45 44 28.060723824|136.6826953054620 -15.0700336482276|  -3.029 -6.962     |10.93    |~                  |    ~     ~    |    1|  399.664   pc  |  -2.9710     +2.9710  |paral   |2020yCat.1350....0G
4472|TYC 3281-1294-1                                                                                          |Star                              |02 13 48.2938847064 +45 45 24.696680796|137.6314880472842 -14.7508544837914|   1.202 -1.684     |10.90    |~                  |    ~     ~    |    1| 2053.388   pc  | -85.5930    +85.5930  |paral   |2020yCat.1350....0G
4473|TYC 3281-1341-1                                                                                          |Star                              |02 10 27.1723042200 +45 22 08.013010584|137.1831427934527 -15.3051488472869|  -1.307 -0.150     |10.99    |~                  |    ~     ~    |    1| 1228.199   pc  | -26.5491    +26.5491  |paral   |2020yCat.1350....0G
4474|TYC 3281-1562-1                                                                                          |Star                              |02 13 25.5678196584 +45 40 20.401182768|137.5950115354939 -14.8522077986116| -0.451 -10.156     |10.87    |~                  |    ~     ~    |    1| 1027.855   pc  | -15.1077    +15.1077  |paral   |2020yCat.1350....0G
4475|TYC 3281-1650-1                                                                                          |Star                              |02 11 08.0019285360 +45 14 33.405734328|137.3419899630296 -15.3875988832444|  -3.588 -1.583     |10.49    |~                  |    ~     ~    |    1| 1120.951   pc  | -26.7641    +26.7641  |paral   |2020yCat.1350....0G
4476|TYC 3281-1828-1                                                                                          |Star                              |02 13 02.0853747360 +45 30 04.115162412|137.5849302165051 -15.0363272358437|  -4.529 -4.508     |10.96    |~                  |    ~     ~    |    1| 1567.152   pc  | -42.4882    +42.4882  |paral   |2020yCat.1350....0G
4477|TYC 3281-1910-1                                                                                          |Star                              |02 14 27.3432677640 +46 51 27.565314228|137.3731118330641 -13.6730545960846|   2.763 -4.267     |10.52    |~                  |    ~     ~    |    1| 2145.002   pc  |-109.5046   +109.5046  |paral   |2020yCat.1350....0G
4478|TYC 3281-1947-1                                                                                          |Star                              |02 11 11.9877205224 +45 59 30.827847372|137.1096788433581 -14.6726002463236| -11.062 -3.486     |10.81    |~                  |    ~     ~    |    1|  862.069   pc  | -11.2961    +11.2961  |paral   |2020yCat.1350....0G
4479|TYC 3281-2077-1                                                                                          |Star                              |02 09 39.8732826912 +46 04 27.091015536|136.8214378726942 -14.6772138805605|  10.425 25.897     |10.72    |~                  |    ~     ~    |    1|  101.117   pc  |  -0.1575     +0.1575  |paral   |2020yCat.1350....0G
4480|TYC 3284-127-1                                                                                           |Star                              |02 01 06.4015074336 +47 11 42.266599692|135.0338203350062 -14.0330168986957|   5.848 -5.305     |10.78    |~                  |    ~     ~    |    1|  759.936   pc  | -11.2613    +11.2613  |paral   |2020yCat.1350....0G
4481|TYC 3284-740-1                                                                                           |High Proper Motion Star           |02 03 16.5442595904 +48 18 38.750722092|135.0749517720056 -12.8599605398629| 48.891 -56.550     |10.65    |~                  |    ~     ~    |    1|  121.702   pc  |  -0.2355     +0.2355  |paral   |2020yCat.1350....0G
4482|TYC 3284-747-1                                                                                           |Star                              |02 01 37.1573160816 +47 07 24.134134836|135.1405389182777 -14.0779287287638|   -3.274 2.032     |10.54    |~                  |    ~     ~    |    1| 2684.564   pc  |-182.3341   +182.3341  |paral   |2020yCat.1350....0G
4483|TYC 3284-1033-1                                                                                          |Star                              |02 01 05.4886918080 +46 56 49.036327980|135.1015455357788 -14.2723023342368|  -3.288 -1.405     |10.67    |~                  |    ~     ~    |    1| 2311.070   pc  |-192.2776   +192.2776  |paral   |2020yCat.1350....0G
4484|TYC 3284-1088-1                                                                                          |Star                              |02 00 02.8255475880 +48 26 03.332539032|134.5113235190464 -12.8888933927010|  -3.279 -3.952     |9.98     |~                  |    ~     ~    |    1|  711.794   pc  |  -9.1197     +9.1197  |paral   |2020yCat.1350....0G
4485|TYC 3285-21-1                                                                                            |Star                              |02 08 31.9869531912 +47 02 32.584264800|136.3254378524581 -13.8145957202914|  -4.086 -3.583     |10.84    |~                  |    ~     ~    |    1|  985.319   pc  | -14.6599    +14.6599  |paral   |2020yCat.1350....0G
4486|TYC 3285-180-1                                                                                           |Star                              |02 09 06.7983440904 +48 08 48.135482520|136.0774986963812 -12.7325339471599|   0.724 -4.877     |10.44    |~                  |    ~     ~    |    1| 2044.154   pc  |-107.3891   +107.3891  |paral   |2020yCat.1350....0G
4487|TYC 3285-264-1                                                                                           |Star                              |02 08 25.8475724760 +48 16 36.020738532|135.9261566381088 -12.6429759528431|   4.854 -4.477     |10.62    |~                  |    ~     ~    |    1|  768.994   pc  | -11.4131    +11.4131  |paral   |2020yCat.1350....0G
4488|TYC 3285-284-1                                                                                           |Star                              |02 08 00.8000196000 +48 00 27.336931128|135.9408294709644 -12.9205520717316|   0.462 -3.438     |10.95    |~                  |    ~     ~    |    1|  611.172   pc  |  -7.9189     +7.9189  |paral   |2020yCat.1350....0G
4489|TYC 3285-360-1                                                                                           |Star                              |02 05 54.1839815304 +47 53 48.319087560|135.6279946344913 -13.1308814222974|  -1.143 -2.071     |10.85    |~                  |    ~     ~    |    1| 2025.111   pc  | -70.1284    +70.1284  |paral   |2020yCat.1350....0G
4490|TYC 3285-485-1                                                                                           |Star                              |02 05 21.9389148360 +48 40 37.145314524|135.3080233874569 -12.4102065743357|  -5.971 -4.093     |10.18    |~                  |    ~     ~    |    1|  569.801   pc  | -10.9415    +10.9415  |paral   |2020yCat.1350....0G
4491|2MASS J02084127+4807322                                                                                  |Red Giant Branch star             |02 08 41.2820723088 +48 07 32.249180316|136.0147012112019 -12.7740942547325|  -3.435 -4.052     |9.88     |~                  |    ~     ~    |    1|  533.817   pc  |  -4.7873     +4.7873  |paral   |2020yCat.1350....0G
4492|TYC 3285-574-1                                                                                           |Star                              |02 05 41.3085165312 +48 00 26.251619688|135.5596511334310 -13.0356033446836|  -1.304 -1.550     |10.91    |~                  |    ~     ~    |    1| 2077.706   pc  | -72.5233    +72.5233  |paral   |2020yCat.1350....0G
4493|TYC 3285-608-1                                                                                           |Star                              |02 05 01.0061605272 +47 24 22.630367700|135.6275699181412 -13.6435586282765|   5.433 -9.377     |10.85    |~                  |    ~     ~    |    1|  868.282   pc  | -12.8165    +12.8165  |paral   |2020yCat.1350....0G
4494|TYC 3285-614-1                                                                                           |Star                              |02 09 48.3920482800 +47 26 18.133070568|136.4131285470263 -13.3715891139160|   2.422 -2.860     |10.93    |~                  |    ~     ~    |    1| 1337.614   pc  | -64.2327    +64.2327  |paral   |2020yCat.1350....0G
4495|TYC 3285-616-1                                                                                           |Star                              |02 06 54.2874982728 +47 22 56.865852588|135.9491109884604 -13.5728684824792|  -1.440 -1.878     |10.60    |~                  |    ~     ~    |    1|  894.294   pc  | -14.4757    +14.4757  |paral   |2020yCat.1350....0G
4496|TYC 3285-642-1                                                                                           |Star                              |02 06 19.3205163336 +48 15 25.876499868|135.5885530481132 -12.7657364288127|  -2.745 -5.734     |10.87    |~                  |    ~     ~    |    1| 1838.573   pc  | -61.1844    +61.1844  |paral   |2020yCat.1350....0G
4497|TYC 3285-686-1                                                                                           |Star                              |02 09 09.4495567032 +47 49 05.544639876|136.1870439216617 -13.0432784109966|   3.873 -0.100     |10.81    |~                  |    ~     ~    |    1| 1486.768   pc  | -38.6834    +38.6834  |paral   |2020yCat.1350....0G
4498|TYC 3285-803-1                                                                                           |Star                              |02 07 40.6242439296 +47 16 57.139851144|136.1082308270678 -13.6293303790923| 40.452 -10.561     |9.98     |~                  |    ~     ~    |    1|  196.692   pc  |  -2.3870     +2.3870  |paral   |2020yCat.1350....0G
4499|TYC 3285-1054-1                                                                                          |Star                              |02 09 21.8157979368 +47 36 41.584346964|136.2855503830173 -13.2295741186288|  -0.964 -1.161     |10.95    |~                  |    ~     ~    |    1| 1989.258   pc  | -92.2015    +92.2015  |paral   |2020yCat.1350....0G
4500|TYC 3285-1159-1                                                                                          |Star                              |02 07 14.1068148048 +47 24 30.786046380|135.9960637355220 -13.5313702346772|   5.559 -6.645     |10.57    |~                  |    ~     ~    |    1|  941.265   pc  | -15.5932    +15.5932  |paral   |2020yCat.1350....0G
4501|TYC 3285-1165-1                                                                                          |Star                              |02 07 45.6080836752 +47 17 42.923720796|136.1181449304594 -13.6129808411368|   6.908 -1.564     |10.15    |~                  |    ~     ~    |    1|  448.471   pc  | -13.9581    +13.9581  |paral   |2020yCat.1350....0G
4502|TYC 3285-1178-1                                                                                          |Star                              |02 06 45.4445281584 +47 45 08.232445368|135.8123283050149 -13.2269158122264|   7.905 -8.288     |10.75    |~                  |    ~     ~    |    1| 1127.523   pc  |-108.5697   +108.5697  |paral   |2020yCat.1350....0G
4503|TYC 3285-1245-1                                                                                          |Emission-line Star                |02 12 45.5153758896 +48 32 40.237479780|136.5410299225663 -12.1666425498290|  -0.639 -3.095     |10.13    |~                  |    ~     ~    |    1|  995.818   pc  | -44.4260    +44.4260  |paral   |2020yCat.1350....0G
4504|TYC 3285-1346-1                                                                                          |Star                              |02 12 08.4940106472 +47 11 05.127701532|136.8809889796557 -13.4894295632752|   2.080 -0.585     |10.92    |~                  |    ~     ~    |    1| 1126.888   pc  | -19.5561    +19.5561  |paral   |2020yCat.1350....0G
4505|TYC 3285-1417-1                                                                                          |Star                              |02 12 45.7802620992 +48 19 27.554093184|136.6130481775227 -12.3752852129384|  -4.905 -2.281     |10.81    |~                  |    ~     ~    |    1|  726.956   pc  |  -8.0327     +8.0327  |paral   |2020yCat.1350....0G
4506|TYC 3285-1540-1                                                                                          |Star                              |02 10 59.9270941680 +47 26 05.215723728|136.6113348067306 -13.3127135862220|    4.507 1.070     |10.95    |~                  |    ~     ~    |    1| 2241.147   pc  |-101.9617   +101.9617  |paral   |2020yCat.1350....0G
4507|TYC 3285-1759-1                                                                                          |Star                              |02 12 28.7485364952 +47 33 39.193523820|136.8145527923331 -13.1145166213802|   4.820 -6.686     |10.87    |~                  |    ~     ~    |    1| 1317.697   pc  | -25.8712    +25.8712  |paral   |2020yCat.1350....0G
4508|TYC 3285-1765-1                                                                                          |Star                              |02 13 56.5017973224 +47 51 57.289848084|136.9539711623505 -12.7469565924420|   -1.882 3.235     |10.57    |~                  |    ~     ~    |    1| 2908.668   pc  |-170.8990   +170.8990  |paral   |2020yCat.1350....0G
4509|TYC 3285-1775-1                                                                                          |Star                              |02 11 10.3992680904 +47 25 52.424999904|136.6412942184633 -13.3068961902450|   1.827 -0.632     |10.82    |~                  |    ~     ~    |    1| 1349.346   pc  | -27.1289    +27.1289  |paral   |2020yCat.1350....0G
4510|TYC 3285-1783-1                                                                                          |Star                              |02 11 58.0102200648 +47 17 01.213729908|136.8199829837284 -13.4049131672643| 12.284 -28.268     |10.76    |~                  |    ~     ~    |    1|  148.730   pc  |  -0.3871     +0.3871  |paral   |2020yCat.1350....0G
4511|TYC 3285-1806-1                                                                                          |Star                              |02 14 14.7627374856 +46 54 08.185098816|137.3233464650339 -13.6424620399398| -3.519 -13.699     |10.96    |~                  |    ~     ~    |    1|  538.851   pc  |  -5.0523     +5.0523  |paral   |2020yCat.1350....0G
4512|TYC 3285-1818-1                                                                                          |Star                              |02 13 10.0081700208 +46 58 51.897793080|137.1177812471238 -13.6271081746719|   2.972 -4.193     |10.90    |~                  |    ~     ~    |    1| 1521.838   pc  | -34.2767    +34.2767  |paral   |2020yCat.1350....0G
4513|TYC 3285-1846-1                                                                                          |Star                              |02 11 07.0315431576 +47 12 38.983692060|136.7026579321872 -13.5192730362765|  -3.271 -3.206     |10.89    |~                  |    ~     ~    |    1|  919.879   pc  | -11.4234    +11.4234  |paral   |2020yCat.1350....0G
4514|TYC 3288-215-1                                                                                           |Star                              |02 00 32.3314165776 +50 28 04.059455232|134.0305569792973 -10.9089022989903|  -1.471 -5.086     |10.95    |~                  |    ~     ~    |    1| 1222.942   pc  | -30.5100    +30.5100  |paral   |2020yCat.1350....0G
4515|TYC 3288-1343-1                                                                                          |Star                              |02 00 11.1093983232 +50 05 54.526569396|134.0762036796913 -11.2798192990553|   6.083 -6.537     |10.86    |~                  |    ~     ~    |    1|  772.678   pc  | -11.9406    +11.9406  |paral   |2020yCat.1350....0G
4516|TYC 3289-212-1                                                                                           |Star                              |02 04 35.0374460760 +50 18 57.471600924|134.7042472452014 -10.8763602182970|  -1.696 -1.773     |10.92    |~                  |    ~     ~    |    1| 2765.487   pc  |-140.7217   +140.7217  |paral   |2020yCat.1350....0G
4517|TYC 3289-272-1                                                                                           |Star                              |02 05 18.9162954192 +50 22 38.228663424|134.8002464466397 -10.7842633195231|  -1.762 -2.160     |10.65    |~                  |    ~     ~    |    1| 1641.767   pc  | -55.2556    +55.2556  |paral   |2020yCat.1350....0G
4518|TYC 3289-596-1                                                                                           |Star                              |02 07 46.9073 +50 29 21.573            |135.1493397 -10.5625860            |   9.015 -8.481     |10.52    |~                  |    ~     ~    |    0|                |                       |        |                   
4519|TYC 3289-858-1                                                                                           |Star                              |02 04 01.2723154416 +49 44 45.160239156|134.7806936250841 -11.4486720205954|  -3.631 -5.937     |10.75    |~                  |    ~     ~    |    1| 1581.778   pc  | -43.5352    +43.5352  |paral   |2020yCat.1350....0G
4520|TYC 3289-968-1                                                                                           |Star                              |02 07 17.2848534408 +50 15 43.683919848|135.1410617116671 -10.8028896552711|   3.929 -3.479     |10.59    |~                  |    ~     ~    |    1|  642.797   pc  | -36.6498    +36.6498  |paral   |2020yCat.1350....0G
4521|2MASS J02064761+4950137                                                                                  |Red Giant Branch star             |02 06 47.6072108688 +49 50 13.771439808|135.1908978116041 -11.2324430304690|   0.356 -0.766     |10.67    |~                  |    ~     ~    |    1| 1760.563   pc  | -53.0029    +53.0029  |paral   |2020yCat.1350....0G
4522|TYC 3289-1999-1                                                                                          |Star                              |02 11 03.1722373944 +49 36 52.503257052|135.9284659532441 -11.2375169483018|   1.715 -3.835     |10.96    |~                  |    ~     ~    |    1| 2164.502   pc  |-172.4106   +172.4106  |paral   |2020yCat.1350....0G
4523|GSC 03289-02206                                                                                          |Red Giant Branch star             |02 11 53.1105586008 +49 17 50.593087572|136.1600979827911 -11.4970147597528|  -5.351 -3.636     |10.71    |~                  |    ~     ~    |    1| 1167.951   pc  | -23.8719    +23.8719  |paral   |2020yCat.1350....0G
4524|TYC 3289-2257-1                                                                                          |Star                              |02 13 14.4301429392 +49 31 45.465583944|136.2990932797499 -11.2075231479774|  -1.048 -2.937     |10.70    |~                  |    ~     ~    |    1| 1276.487   pc  | -42.0390    +42.0390  |paral   |2020yCat.1350....0G
4525|TYC 3289-2368-1                                                                                          |Star                              |02 13 54.3047403312 +49 24 51.128971236|136.4407953842564 -11.2822682989472|  -5.323 -2.021     |10.90    |~                  |    ~     ~    |    1| 1518.142   pc  | -38.0284    +38.0284  |paral   |2020yCat.1350....0G
4526|TYC 3289-2404-1                                                                                          |Star                              |02 13 47.8547292312 +49 29 46.238742024|136.3972276161550 -11.2101632777354|   0.639 -2.783     |10.98    |~                  |    ~     ~    |    1| 2329.916   pc  |-101.5131   +101.5131  |paral   |2020yCat.1350....0G
4527|TYC 3292-203-1                                                                                           |Star                              |02 02 00.3583077216 +51 18 53.745460380|134.0230759970062 -10.0307757892069|  -1.326 -3.708     |10.87    |~                  |    ~     ~    |    1| 1160.766   pc  | -23.3096    +23.3096  |paral   |2020yCat.1350....0G
4528|TYC 3292-2050-1                                                                                          |Star                              |02 01 46.8808026672 +52 23 58.106109516|133.6889514588843 -08.9969219833618|  -0.999 -0.989     |10.73    |~                  |    ~     ~    |    1| 1642.036   pc  | -43.6798    +43.6798  |paral   |2020yCat.1350....0G
4529|TYC 3293-27-1                                                                                            |Star                              |02 06 21.5976013032 +51 08 57.322127976|134.7345441112060 -09.9974659265817|   4.342 -5.287     |10.39    |~                  |    ~     ~    |    1|  859.697   pc  | -13.6730    +13.6730  |paral   |2020yCat.1350....0G
4530|TYC 3293-59-1                                                                                            |Star                              |02 06 07.6868697312 +51 11 10.053122568|134.6883765193002 -09.9727087419749| 10.870 -10.329     |9.89     |~                  |    ~     ~    |    1|  611.583   pc  |  -6.6952     +6.6952  |paral   |2020yCat.1350....0G
4531|TYC 3293-414-1                                                                                           |Red Giant Branch star Candidate   |02 07 26.4293715216 +50 53 47.347991448|134.9746401827281 -10.1895300401107|  -2.790 -3.052     |10.20    |~                  |    ~     ~    |    1| 1679.543   pc  | -49.9293    +49.9293  |paral   |2020yCat.1350....0G
4532|TYC 3293-592-1                                                                                           |Star                              |02 08 52.4366066904 +50 55 40.448456184|135.1843384999004 -10.0924164491541|  -2.750 -6.239     |10.77    |~                  |    ~     ~    |    1|  873.973   pc  | -14.4364    +14.4364  |paral   |2020yCat.1350....0G
4533|TYC 3293-734-1                                                                                           |Star                              |02 03 46.5662339376 +51 24 44.020558728|134.2652290885043 -09.8607068242764|    0.176 6.711     |10.54    |~                  |    ~     ~    |    1| 2896.871   pc  |-172.8724   +172.8724  |paral   |2020yCat.1350....0G
4534|2MASS J02143714+5130074                                                                                  |Long-Period Variable              |02 14 37.1503425120 +51 30 07.373677320|135.8715830165513 -09.2677332794753|  -0.845 -1.846     |10.94    |~                  |    ~     ~    |    1| 2503.756   pc  |-190.5713   +190.5713  |paral   |2020yCat.1350....0G
4535|TYC 3293-1230-1                                                                                          |Star                              |02 11 35.3138996112 +51 21 43.887258180|135.4617309998996 -09.5491297433930|    0.986 4.563     |10.96    |~                  |    ~     ~    |    1|  846.740   pc  | -13.0488    +13.0488  |paral   |2020yCat.1350....0G
4536|TYC 3293-1245-1                                                                                          |Star                              |02 14 04.0102445136 +50 50 40.221419928|136.0014054067760 -09.9184796699578|   1.369 -1.264     |9.93     |~                  |    ~     ~    |    1|  596.338   pc  |  -5.9388     +5.9388  |paral   |2020yCat.1350....0G
4537|TYC 3293-1315-1                                                                                          |Star                              |02 14 56.2139190792 +51 46 08.532085296|135.8321805428996 -08.9990329385516|  -0.257 -0.921     |10.79    |~                  |    ~     ~    |    1|  973.994   pc  | -13.0916    +13.0916  |paral   |2020yCat.1350....0G
4538|TYC 3293-1678-1                                                                                          |Star                              |02 07 35.6365673832 +51 52 24.337508736|134.7061810311127 -09.2487998499019|  -2.614 -2.222     |10.77    |~                  |    ~     ~    |    1|  850.051   pc  |  -9.9717     +9.9717  |paral   |2020yCat.1350....0G
4539|TYC 3293-1912-1                                                                                          |High Proper Motion Star           |02 05 18.0307612584 +52 17 02.691565404|134.2441151917855 -08.9578710582931| 53.730 -64.887     |10.78    |~                  |    ~     ~    |    1|   77.242   pc  |  -0.0847     +0.0847  |paral   |2020yCat.1350....0G
4540|TYC 3293-1965-1                                                                                          |Star                              |02 03 53.6150866272 +51 48 58.486609332|134.1680410195126 -09.4677893591836|  -0.758 -0.811     |10.92    |~                  |    ~     ~    |    1| 2888.504   pc  |-156.8569   +156.8569  |paral   |2020yCat.1350....0G
4541|TYC 3293-2068-1                                                                                          |Star                              |02 04 58.8462996864 +51 38 48.940908540|134.3802917612081 -09.5826324265491|   4.616 -3.953     |10.92    |~                  |    ~     ~    |    1| 1711.450   pc  | -55.0663    +55.0663  |paral   |2020yCat.1350....0G
4542|TYC 3293-2084-1                                                                                          |Star                              |02 04 59.6645157240 +51 32 15.032105520|134.4139545544771 -09.6869185096858|  11.364 -7.548     |10.94    |~                  |    ~     ~    |    1|  948.587   pc  | -13.5872    +13.5872  |paral   |2020yCat.1350....0G
4543|TYC 3293-2123-1                                                                                          |Star                              |02 14 39.4616463168 +52 23 54.169809936|135.5871342425623 -08.4165876131778|  -0.063 -1.373     |10.99    |~                  |    ~     ~    |    1| 1646.633   pc  | -42.2978    +42.2978  |paral   |2020yCat.1350....0G
4544|TYC 3293-2275-1                                                                                          |Star                              |02 04 45.2019213744 +51 27 11.961047304|134.4017550370220 -09.7782984871287| 17.878 -11.650     |9.48     |~                  |    ~     ~    |    1|  379.838   pc  |  -3.0010     +3.0010  |paral   |2020yCat.1350....0G
4545|TYC 3685-99-1                                                                                            |Star                              |02 03 22.1392788576 +52 37 01.734864276|133.8634030381237 -08.7211863811734|   -8.338 2.427     |10.53    |~                  |    ~     ~    |    1|  966.370   pc  | -13.4478    +13.4478  |paral   |2020yCat.1350....0G
4546|TYC 3685-199-1                                                                                           |Star                              |02 03 14.0089689432 +52 35 24.103283172|133.8510271885339 -08.7529534714780| -9.518 -14.467     |10.45    |~                  |    ~     ~    |    1|  471.520   pc  |  -4.0020     +4.0020  |paral   |2020yCat.1350....0G
4547|BD+53 446                                                                                                |Star                              |02 04 42.1895739264 +54 16 58.838909412|133.5851917588914 -07.0663154575460|  -3.263 -1.183     |10.40    |~                  |    ~     ~    |    1|  762.660   pc  | -70.7287    +70.7287  |paral   |2020yCat.1350....0G
4548|TYC 3685-307-1                                                                                           |Star                              |02 10 03.1258742664 +52 54 51.810773292|134.7541943879125 -08.1433754360791|  15.534 -2.326     |10.66    |~                  |    ~     ~    |    1|  431.574   pc  |  -5.0103     +5.0103  |paral   |2020yCat.1350....0G
4549|TYC 3685-334-1                                                                                           |Star                              |02 09 00.4427101536 +53 47 21.583096836|134.3390662275464 -07.3555808605175|  -2.942 -0.825     |10.98    |~                  |    ~     ~    |    1| 2151.926   pc  | -72.7033    +72.7033  |paral   |2020yCat.1350....0G
4550|TYC 3685-492-1                                                                                           |Star                              |02 12 50.9425918320 +53 57 28.551163356|134.8307820067003 -07.0223535971606|    0.484 0.469     |10.77    |~                  |    ~     ~    |    1| 1508.523   pc  | -36.4103    +36.4103  |paral   |2020yCat.1350....0G
4551|BD+53 466                                                                                                |Star                              |02 11 32.8119786648 +54 10 13.328959548|134.5815355822551 -06.8794626661145|   3.162 -1.799     |9.67     |~                  |    ~     ~    |    1|  466.527   pc  |  -3.6565     +3.6565  |paral   |2020yCat.1350....0G
4552|TYC 3685-809-1                                                                                           |Spectroscopic Binary              |02 07 15.8904269376 +52 38 45.258014040|134.4281722137826 -08.5250494016918|   5.518 -1.365     |10.94    |~                  |    ~     ~    |    1| 1635.056   pc  | -84.2123    +84.2123  |paral   |2020yCat.1350....0G
4553|BD+52 526                                                                                                |Star                              |02 10 19.3271373528 +53 34 56.779455252|134.5889769623367 -07.4944327084780|   -4.051 0.167     |10.36    |~                  |    ~     ~    |    1|  637.511   pc  |  -9.1851     +9.1851  |paral   |2020yCat.1350....0G
4554|TYC 3685-1073-1                                                                                          |Star                              |02 11 32.8139765856 +53 03 17.378965548|134.9273096617848 -07.9410020121155|  -0.624 -1.278     |10.31    |~                  |    ~     ~    |    1| 1280.738   pc  | -31.3295    +31.3295  |paral   |2020yCat.1350....0G
4555|TYC 3685-1159-1                                                                                          |Star                              |02 00 30.7370842200 +52 49 32.912931216|133.3848565316704 -08.6383529226199|    1.397 1.768     |10.77    |~                  |    ~     ~    |    1|  594.955   pc  |  -5.7697     +5.7697  |paral   |2020yCat.1350....0G
4556|TYC 3685-1266-1                                                                                          |Star                              |02 06 16.3625470680 +53 40 42.368573604|133.9818583035511 -07.5800904048471|   2.598 -4.580     |10.08    |~                  |    ~     ~    |    1|  606.465   pc  |  -6.2526     +6.2526  |paral   |2020yCat.1350....0G
4557|TYC 3685-1273-1                                                                                          |Star                              |02 00 23.0206362624 +52 38 06.770148864|133.4173693327641 -08.8272256386216|  39.699 -5.897     |9.91     |~                  |    ~     ~    |    1|  294.516   pc  |  -1.5960     +1.5960  |paral   |2020yCat.1350....0G
4558|TYC 3685-1289-1                                                                                          |Star                              |02 04 31.7943370848 +52 42 03.984742548|134.0105559874109 -08.5912801334632|   0.361 -3.208     |10.97    |~                  |    ~     ~    |    1| 2477.701   pc  |-152.8611   +152.8611  |paral   |2020yCat.1350....0G
4559|TYC 3685-1671-1                                                                                          |Star                              |02 12 58.0022250384 +53 37 18.021883476|134.9532302980526 -07.3363792728076|  -2.562 -0.623     |10.42    |~                  |    ~     ~    |    1| 1060.445   pc  | -15.9685    +15.9685  |paral   |2020yCat.1350....0G
4560|TYC 3685-1729-1                                                                                          |Star                              |02 13 02.5177610304 +53 54 40.630126068|134.8726357545748 -07.0578005934958|   -6.883 0.781     |10.45    |~                  |    ~     ~    |    1| 1723.544   pc  | -51.6885    +51.6885  |paral   |2020yCat.1350....0G
4561|TYC 3685-1841-1                                                                                          |Star                              |02 01 56.0282938680 +53 59 43.623078144|133.2725440496438 -07.4549009595153|    9.280 0.333     |10.26    |~                  |    ~     ~    |    1|  515.703   pc  |  -4.3084     +4.3084  |paral   |2020yCat.1350....0G
4562|TYC 3685-1918-1                                                                                          |Star                              |02 03 14.1668823840 +53 18 24.258277152|133.6505415426739 -08.0642311067282|   -2.695 1.069     |10.98    |~                  |    ~     ~    |    1| 2657.454   pc  |-250.7032   +250.7032  |paral   |2020yCat.1350....0G
4563|TYC 3685-2124-1                                                                                          |Star                              |02 01 15.1976049120 +53 30 10.166584572|133.3093579691675 -07.9563690903964|  -0.702 -4.100     |10.78    |~                  |    ~     ~    |    1| 1550.868   pc  | -70.9532    +70.9532  |paral   |2020yCat.1350....0G
4564|TYC 3686-1628-1                                                                                          |Star                              |02 14 21.5742357792 +53 15 45.619822296|135.2658737414112 -07.6117105604048|  -2.243 -2.620     |10.70    |~                  |    ~     ~    |    1| 1833.853   pc  | -63.5610    +63.5610  |paral   |2020yCat.1350....0G
