C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
70  |TYC 2837-855-1                                                                                           |Star                              |02 02 10.1776538928 +42 39 35.846077572|136.5423916179141 -18.3347444821521| 15.364 -27.992     |10.00    |~                  |    ~     ~    |    1|  201.126   pc  |  -0.6917     +0.6917  |paral   |2020yCat.1350....0G
71  |TYC 2837-937-1                                                                                           |Star                              |02 00 29.2185178968 +42 54 21.259935324|136.1575418947379 -18.1856105944854| -27.831 -8.028     |10.78    |~                  |    ~     ~    |    1|  328.818   pc  |  -4.6492     +4.6492  |paral   |2020yCat.1350....0G
72  |TYC 2837-963-1                                                                                           |Star                              |02 01 32.5301886864 +42 30 50.106815604|136.4693344985888 -18.5075484650304|   -0.013 0.193     |10.31    |~                  |    ~     ~    |    1|  900.657   pc  | -15.3314    +15.3314  |paral   |2020yCat.1350....0G
73  |TYC 2837-1024-1                                                                                          |Star                              |02 07 00.0202706880 +41 51 53.294130972|137.6906168618952 -18.8312527201028| -24.213 -5.891     |10.65    |~                  |    ~     ~    |    1|  440.937   pc  |  -3.5774     +3.5774  |paral   |2020yCat.1350....0G
74  |TYC 2837-1025-1                                                                                          |Star                              |02 06 23.1288140976 +42 28 48.639131796|137.3795629486031 -18.2792504410037| -8.227 -28.415     |10.93    |~                  |    ~     ~    |    1|  314.031   pc  |  -3.2050     +3.2050  |paral   |2020yCat.1350....0G
75  |TYC 2837-1067-1                                                                                          |Star                              |02 01 06.4453633416 +43 00 22.951601820|136.2427388746066 -18.0574495877345|  -9.238 -5.754     |9.87     |~                  |    ~     ~    |    1|  610.091   pc  |  -7.0348     +7.0348  |paral   |2020yCat.1350....0G
76  |TYC 2837-1191-1                                                                                          |Star                              |02 07 14.2811220456 +42 34 30.597393576|137.5069020393756 -18.1411852244095|   7.671 -1.514     |10.36    |~                  |    ~     ~    |    1| 1074.229   pc  | -24.3487    +24.3487  |paral   |2020yCat.1350....0G
77  |TYC 2837-1267-1                                                                                          |Star                              |02 07 50.4214475136 +42 51 55.005734304|137.5246337892348 -17.8311522392178|  27.343 -4.885     |10.10    |~                  |    ~     ~    |    1|  618.123   pc  |  -6.9920     +6.9920  |paral   |2020yCat.1350....0G
78  |TYC 2837-1473-1                                                                                          |Star                              |02 07 19.1459337264 +42 29 40.916594616|137.5476539326868 -18.2132887137193| 19.623 -22.339     |10.78    |~                  |    ~     ~    |    1|  358.025   pc  |  -3.7942     +3.7942  |paral   |2020yCat.1350....0G
79  |TYC 2837-1600-1                                                                                          |Star                              |02 04 08.8727088816 +41 45 40.713498540|137.1870902793037 -19.0889932143228|   6.045 -4.698     |10.87    |~                  |    ~     ~    |    1| 1004.621   pc  | -23.3140    +23.3140  |paral   |2020yCat.1350....0G
80  |TYC 2837-1649-1                                                                                          |Star                              |02 00 31.2172189080 +42 31 13.627115904|136.2767855753483 -18.5541280609321|  23.987 -2.337     |10.83    |~                  |    ~     ~    |    1|  940.026   pc  | -11.2223    +11.2223  |paral   |2020yCat.1350....0G
81  |TYC 2837-1666-1                                                                                          |Star                              |02 01 08.7585220080 +41 27 32.756336280|136.7100895270857 -19.5401479634224|  0.249 -11.265     |10.76    |~                  |    ~     ~    |    1|  293.988   pc  |  -1.1236     +1.1236  |paral   |2020yCat.1350....0G
82  |TYC 2837-1685-1                                                                                          |Star                              |02 09 10.8861681000 +42 18 22.417868484|137.9532179049769 -18.2866075123141|  10.088 -4.820     |10.32    |~                  |    ~     ~    |    1|  477.578   pc  | -23.3782    +23.3782  |paral   |2020yCat.1350....0G
83  |TYC 2837-1733-1                                                                                          |Spectroscopic Binary              |02 07 36.1902986496 +42 22 20.170985880|137.6395656584819 -18.3138783030949|   1.895 -4.877     |10.51    |~                  |    ~     ~    |    1| 1073.307   pc  | -31.7949    +31.7949  |paral   |2020yCat.1350....0G
84  |TYC 2837-2193-1                                                                                          |Star                              |02 07 29.6621401008 +42 35 04.568793612|137.5511726654721 -18.1178226306338|  11.704 -1.698     |10.77    |~                  |    ~     ~    |    1|  414.645   pc  |  -3.3011     +3.3011  |paral   |2020yCat.1350....0G
85  |TYC 2837-2276-1                                                                                          |Star                              |02 05 06.5795578368 +41 18 54.840683628|137.5090955958424 -19.4618022749997|  -3.536 -0.104     |10.23    |~                  |    ~     ~    |    1| 1002.205   pc  | -20.4901    +20.4901  |paral   |2020yCat.1350....0G
86  |TYC 2838-1343-1                                                                                          |Star                              |02 12 15.2790031824 +42 38 45.183472188|138.4050024640408 -17.7846775757482|  -1.918 -3.746     |10.45    |~                  |    ~     ~    |    1|  801.218   pc  | -21.6337    +21.6337  |paral   |2020yCat.1350....0G
87  |TYC 2838-1965-1                                                                                          |Star                              |02 12 15.4832397480 +42 24 09.419897700|138.4882021105379 -18.0147020979968| 18.617 -21.178     |10.47    |~                  |    ~     ~    |    1|  236.703   pc  |  -1.1262     +1.1262  |paral   |2020yCat.1350....0G
88  |TYC 2838-2076-1                                                                                          |Star                              |02 10 27.3518165400 +42 17 34.434239388|138.1931973085386 -18.2251958245776|-26.942 -18.643     |10.81    |~                  |    ~     ~    |    1|  237.074   pc  |  -7.2896     +7.2896  |paral   |2020yCat.1350....0G
89  |TYC 2841-696-1                                                                                           |Star                              |02 04 46.3525930584 +43 18 44.817959412|136.8230182509107 -17.5724691238082| -7.505 -11.910     |10.14    |~                  |    ~     ~    |    1|  252.461   pc  |  -2.4347     +2.4347  |paral   |2020yCat.1350....0G
90  |TYC 2841-890-1                                                                                           |Star                              |02 01 57.8853887976 +43 17 17.633618232|136.3170056932832 -17.7429626598503|  -5.350 -4.673     |10.95    |~                  |    ~     ~    |    1|  492.005   pc  |  -6.3906     +6.3906  |paral   |2020yCat.1350....0G
91  |TYC 2841-1302-1                                                                                          |Star                              |02 03 46.8111089280 +43 21 41.883491916|136.6269224916738 -17.5780651655708| 40.374 -13.100     |9.88     |~                  |    ~     ~    |    1|  218.212   pc  |  -0.9238     +0.9238  |paral   |2020yCat.1350....0G
92  |TYC 2841-1544-1                                                                                          |Star                              |02 03 29.9993919984 +43 12 59.626153044|136.6197618024897 -17.7316849064654|-13.615 -13.082     |10.21    |~                  |    ~     ~    |    1|  656.858   pc  |  -7.6369     +7.6369  |paral   |2020yCat.1350....0G
93  |TYC 2841-1802-1                                                                                          |Star                              |02 01 28.5921688704 +43 19 55.003780020|136.2146015235360 -17.7260760963040| 36.320 -17.269     |10.33    |~                  |    ~     ~    |    1|  202.959   pc  |  -0.6838     +0.6838  |paral   |2020yCat.1350....0G
94  |TYC 2841-1908-1                                                                                          |Star                              |02 00 34.2938044392 +43 10 12.778791888|136.0958887035227 -17.9274184833798|  -3.030 -1.550     |10.72    |~                  |    ~     ~    |    1| 1115.822   pc  | -31.5000    +31.5000  |paral   |2020yCat.1350....0G
95  |TYC 2841-1928-1                                                                                          |Double or Multiple Star           |02 01 50.750064 +43 08 14.67924        |136.339997009 -17.893751491        |      -1.1 -3.1     |10.537   |~                  |    ~     ~    |    0|                |                       |        |                   
96  |TYC 2841-1957-1                                                                                          |Star                              |02 04 42.2271756816 +43 16 15.441961404|136.8232491085675 -17.6158071846966|  10.333 -3.355     |10.24    |~                  |    ~     ~    |    1|  305.334   pc  |  -2.2748     +2.2748  |paral   |2020yCat.1350....0G
