C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
4554|CD-43 9803                                                            |Spectroscopic Binary              |15 19 54.6942946752 -44 24 03.706144056|328.9705897604425 +10.8353997707843|  -8.970 -4.867    |10.14    |~              |    ~     ~          |    1|  964.506   pc  | -17.4891    +17.4891    |paral   |2020yCat.1350....0G
4555|CD-43 9849                                                            |Star                              |15 22 45.1809942264 -44 07 31.882363644|329.5573158901929 +10.7848355999608|    6.863 3.834    |9.96     |~              |    ~     ~          |    1| 1291.156   pc  | -30.6743    +30.6743    |paral   |2020yCat.1350....0G
4556|HD 136648                                                             |Star                              |15 23 27.7398251712 -44 05 54.978293220|329.6802267237305 +10.7363171479911|-10.528 -18.468    |10.36    |A8/9(V)        |    ~     ~          |    1|  512.059   pc  |  -9.3083     +9.3083    |paral   |2020yCat.1350....0G
4557|HD 136857                                                             |Spectroscopic Binary              |15 24 31.4158757544 -43 55 38.550866304|329.9387174304256 +10.7714928178693| -9.343 -10.951    |7.99     |A0V            |    ~     ~          |    1|  335.345   pc  |  -3.3400     +3.3400    |paral   |2020yCat.1350....0G
4558|HD 136935                                                             |Star                              |15 24 54.6825127488 -44 09 14.667570756|329.8678615613516 +10.5447770115364|   -7.210 0.171    |8.11     |B6II           |    ~     ~          |    1|  542.7998  pc  | -41.6609    +41.6609    |paral   |2018yCat.1345....0G
4559|HD 137323                                                             |Spectroscopic Binary              |15 26 57.4083584184 -44 06 27.320932620|330.2025337914106 +10.3757907427668|-12.488 -15.291    |7.76     |A3mF2-F2       |    ~     ~          |    1|  165.036   pc  |  -1.9692     +1.9692    |paral   |2020yCat.1350....0G
4560|HD 137768                                                             |Star                              |15 29 31.2643814544 -44 08 22.557751728|330.5676408380173 +10.0864902113761|  -4.929 -9.185    |8.66     |A0Vn           |    ~     ~          |    1|  425.713   pc  |  -5.3645     +5.3645    |paral   |2020yCat.1350....0G
4561|CD-43 9844                                                            |Star                              |15 22 33.1266135336 -44 19 04.505878560|329.4181329505923 +10.6448022102560|-16.886 -15.054    |10.48    |~              |    ~     ~          |    1|  237.631   pc  |  -1.3270     +1.3270    |paral   |2020yCat.1350....0G
4562|HD 136486                                                             |Star                              |15 22 33.2025741480 -44 17 34.504574388|329.4324378500117 +10.6654767103971| -2.394 -23.518    |6.733    |A1/2V          |    ~     ~          |    1|  158.283   pc  |  -0.6789     +0.6789    |paral   |2020yCat.1350....0G
4563|HD 136936                                                             |Star                              |15 24 59.2905918480 -44 13 57.733172400|329.8345016627633 +10.4720018653278|-26.942 -22.549    |9.67     |G5III/IV       |    ~     ~          |    1|  201.227   pc  |  -0.6722     +0.6722    |paral   |2020yCat.1350....0G
4564|HD 136965                                                             |Spectroscopic Binary              |15 25 09.9952867656 -44 21 04.209953148|329.7936307448075 +10.3560812953811|  8.789 -66.649    |8.84     |K0III          |    ~     ~          |    1|  238.498   pc  |  -9.6642     +9.6642    |paral   |2020yCat.1350....0G
4565|HD 137038                                                             |Star                              |15 25 28.5873621240 -44 17 37.458674088|329.8730609311039 +10.3723564378307|  -6.399 -5.716    |9.70     |A1V            |    ~     ~          |    1|  409.970   pc  | -24.2365    +24.2365    |paral   |2020yCat.1350....0G
4566|HD 135537                                                             |Star                              |15 17 15.5960311320 -45 06 16.413957720|328.1798593344504 +10.4996395136829|   4.627 -2.385    |10.40    |F0(IV)         |    ~     ~          |    1|  274.748   pc  |  -1.7362     +1.7362    |paral   |2020yCat.1350....0G
4567|HD 135585                                                             |Star                              |15 17 33.3769042056 -45 03 15.459034788|328.2522190477286 +10.5138381935020| -12.400 -2.447    |9.75     |K0/1(III)      |    ~     ~          |    1|  393.020   pc  |  -2.5487     +2.5487    |paral   |2020yCat.1350....0G
4568|HD 135645                                                             |Star                              |15 17 49.0927390608 -44 56 59.537901804|328.3491604317759 +10.5768066639166| -10.401 -5.185    |9.44     |K1/2(III)      |    ~     ~          |    1|  810.570   pc  | -12.8777    +12.8777    |paral   |2020yCat.1350....0G
4569|HD 135710                                                             |Star                              |15 18 12.0035649288 -44 58 06.167540964|328.3968072039423 +10.5247352562448|   3.722 -4.299    |9.61     |G8(III)        |    ~     ~          |    1|  622.316   pc  |  -8.7137     +8.7137    |paral   |2020yCat.1350....0G
4570|HD 135766                                                             |Star                              |15 18 24.3475148664 -44 50 41.332119180|328.4960010690675 +10.6089188042797| -7.682 -16.712    |9.63     |A2/3II/III     |    ~     ~          |    1|  260.031   pc  |  -6.1598     +6.1598    |paral   |2020yCat.1350....0G
4571|HD 135767                                                             |Star                              |15 18 26.0127938448 -45 10 25.706580276|328.3190428449046 +10.3296694838364| -10.171 -7.288    |9.11     |B9.5/A0V       |    ~     ~          |    1|  488.663   pc  |  -6.5668     +6.5668    |paral   |2020yCat.1350....0G
4572|HD 135828                                                             |Star                              |15 18 52.1020787784 -44 55 17.843810160|328.5236601688032 +10.4999497429663|  -1.222 -0.628    |8.85     |K3/4(III)      |    ~     ~          |    1|  805.997   pc  | -21.5028    +21.5028    |paral   |2020yCat.1350....0G
4573|HD 135850                                                             |Star                              |15 19 00.5843957352 -45 25 12.145928484|328.2699797614535 +10.0678175846873| -13.699 -2.663    |10.16    |A8/9V          |    ~     ~          |    1|  378.530   pc  |  -2.5075     +2.5075    |paral   |2020yCat.1350....0G
4574|CD-44 10023                                                           |Star                              |15 19 29.7428055360 -45 10 32.803684176|328.4777289264011 +10.2263963636156| -18.633 -4.843    |9.55     |M0             |    ~     ~          |    1| 1143.903   pc  | -34.1522    +34.1522    |paral   |2020yCat.1350....0G
4575|HD 135955                                                             |Star                              |15 19 36.9534620808 -45 12 51.097513464|328.4745149367366 +10.1826474875034|  -9.167 -7.147    |8.55     |G8/K0III       |    ~     ~          |    1|  351.210   pc  |  -2.5533     +2.5533    |paral   |2020yCat.1350....0G
4576|HD 136018                                                             |Star                              |15 19 57.8234134968 -44 43 40.312734996|328.7966801729126 +10.5566438614417|-27.404 -20.560    |10.15    |G0             |    ~     ~          |    1|  206.894   pc  |  -0.8347     +0.8347    |paral   |2020yCat.1350....0G
4577|HD 136019                                                             |Star                              |15 19 58.8544392096 -44 52 36.713384400|328.7164776823291 +10.4301872942709|    2.779 5.050    |9.40     |F3V            |    ~     ~          |    1|  327.858   pc  |  -1.9133     +1.9133    |paral   |2020yCat.1350....0G
4578|HD 136168                                                             |Star                              |15 20 45.5833268040 -44 48 07.996131144|328.8754993864474 +10.4170550819460|  -3.800 -6.007    |9.53     |B9IV/V         |    ~     ~          |    1|  793.777   pc  | -12.9797    +12.9797    |paral   |2020yCat.1350....0G
4579|HD 136185                                                             |Star                              |15 20 53.1736396008 -44 37 16.046586300|328.9957260369606 +10.5560719032236|-29.311 -21.557    |9.42     |F2/3V          |    ~     ~          |    1|  167.098   pc  |  -0.4719     +0.4719    |paral   |2020yCat.1350....0G
4580|HD 136209                                                             |Star                              |15 20 57.4609026024 -44 34 38.289549252|329.0310330882956 +10.5856939669149| -26.153 -2.422    |9.23     |G6/K0(III)     |    ~     ~          |    1|  527.955   pc  |  -6.8569     +6.8569    |paral   |2020yCat.1350....0G
4581|HD 136263                                                             |Star                              |15 21 20.5220719512 -44 30 45.210145032|329.1254511720168 +10.6020695729607| -9.607 -29.390    |8.75     |M1/2(III)      |    ~     ~          |    1| 1037.775   pc  | -30.0477    +30.0477    |paral   |2020yCat.1350....0G
4582|HD 136300                                                             |Variable Star                     |15 21 34.2818087016 -44 56 17.524013280|328.9215914034637 +10.2244056857714|-22.351 -12.012    |6.676    |A0V            |    ~     ~          |    1|  225.555   pc  |  -1.3736     +1.3736    |paral   |2020yCat.1350....0G
4583|HD 136350                                                             |Star                              |15 21 51.8934288744 -44 43 26.230695672|329.0858144333917 +10.3744173475800| -17.005 -8.092    |9.36     |G8/K0(III)     |    ~     ~          |    1|  448.712   pc  |  -4.1678     +4.1678    |paral   |2020yCat.1350....0G
4584|CD-44 10058                                                           |Star                              |15 22 15.7720694064 -44 33 40.096654596|329.2373136672830 +10.4709533096111| 19.190 -21.196    |10.60    |F5             |    ~     ~          |    1|  313.352   pc  |  -1.9540     +1.9540    |paral   |2020yCat.1350....0G
4585|HD 136449                                                             |Star                              |15 22 22.2495438024 -45 01 16.120641540|328.9948259574879 +10.0771977226445|-16.202 -16.792    |9.68     |G8/K0(III)     |    ~     ~          |    1|  591.576   pc  |  -9.0990     +9.0990    |paral   |2020yCat.1350....0G
4586|HD 136464                                                             |Star                              |15 22 31.2574714848 -45 07 01.592169528|328.9633225880218 +09.9825961628345|-14.177 -18.994    |10.10    |F2IV/V         |    ~     ~          |    1|  403.470   pc  |  -2.7674     +2.7674    |paral   |2020yCat.1350....0G
4587|* eps Lup                                                             |beta Cep Variable                 |15 22 40.8682566 -44 41 22.614637      |329.2279288729 +10.3227647598      |  -22.86 -18.87    |3.366    |B3IV+B3:V      |0.0033  0.0          |    0|                |                         |        |                   
4588|HD 136536                                                             |High Proper Motion Star           |15 22 58.5616521768 -45 09 18.705989880|329.0097191837422 +09.9064191173409|-50.554 -32.778    |9.79     |F6/7V          |    ~     ~          |    1|  145.590   pc  |  -0.4006     +0.4006    |paral   |2020yCat.1350....0G
4589|HD 136589                                                             |Star                              |15 23 10.9974220872 -44 55 13.466339940|329.1730178229259 +10.0813566134154|  -3.011 -6.845    |9.15     |B7III          |    ~     ~          |    1|  801.089   pc  | -13.8617    +13.8617    |paral   |2020yCat.1350....0G
4590|HD 136588                                                             |Star                              |15 23 11.0310574056 -44 45 16.967273904|329.2666676746413 +10.2190397980745|-45.024 -17.370    |9.78     |F8             |    ~     ~          |    1|  208.646   pc  |  -1.5716     +1.5716    |paral   |2020yCat.1350....0G
4591|HD 136606                                                             |Star                              |15 23 19.4978638872 -44 47 31.928729964|329.2666308640264 +10.1739549015578|  -6.508 -0.389    |9.79     |K0/1III        |    ~     ~          |    1|  465.008   pc  |  -3.2435     +3.2435    |paral   |2020yCat.1350....0G
4592|CD-44 10084                                                           |High Proper Motion Star           |15 23 39.7886464080 -45 01 37.873980696|329.1842998575849 +09.9454128906726|-50.214 -72.282    |9.86     |G0             |    ~     ~          |    1|  160.516   pc  |  -0.4638     +0.4638    |paral   |2020yCat.1350....0G
4593|HD 136715                                                             |Star                              |15 23 52.0681980144 -44 57 19.484973108|329.2554192174787 +09.9848391265912|   2.662 -2.690    |8.44     |K2III          |    ~     ~          |    1|  598.910   pc  | -12.1597    +12.1597    |paral   |2020yCat.1350....0G
4594|HD 136992                                                             |Star                              |15 25 21.8899374384 -44 35 49.357156848|329.6828063127240 +10.1328969212658|  -6.277 -1.603    |10.60    |A5/7V          |    ~     ~          |    1|  507.614   pc  |  -4.9473     +4.9473    |paral   |2020yCat.1350....0G
4595|HD 135936                                                             |Star                              |15 19 31.8813240744 -45 27 58.366890324|328.3224995303241 +09.9793404506196|  -5.346 -3.283    |9.17     |A5V            |    ~     ~          |    1|  278.435   pc  |  -1.5893     +1.5893    |paral   |2020yCat.1350....0G
4596|CD-45 9831                                                            |Star                              |15 19 36.8114476008 -45 39 29.508687576|328.2287090370589 +09.8104388470674|-12.622 -11.369    |10.09    |F8             |    ~     ~          |    1|  555.093   pc  |  -5.6079     +5.6079    |paral   |2020yCat.1350....0G
4597|CD-45 9833                                                            |Star                              |15 19 59.1430059024 -45 31 05.154345228|328.3615945641375 +09.8924512550336|  -6.978 -1.915    |10.98    |A              |    ~     ~          |    1|  862.292   pc  | -15.9863    +15.9863    |paral   |2020yCat.1350....0G
4598|CD-45 9843                                                            |Star                              |15 20 25.2853787112 -45 43 43.983693264|328.3095927253949 +09.6742587580767|  -2.373 -2.329    |10.54    |A0             |    ~     ~          |    1|  975.515   pc  | -18.8422    +18.8422    |paral   |2020yCat.1350....0G
4599|HD 136186                                                             |Star                              |15 20 54.9299885520 -45 41 01.647456288|328.4078620861643 +09.6648027425107|  -6.417 -2.272    |10.42    |A3             |    ~     ~          |    1|  541.301   pc  |  -8.1456     +8.1456    |paral   |2020yCat.1350....0G
4600|CD-45 9856                                                            |Long-Period Variable Candidate    |15 21 23.5329648192 -45 40 36.880992264|328.4823022804071 +09.6248689148520|   3.433 -2.254    |10.4     |~              |    ~     ~          |    1|  633.593   pc  | -31.6736    +31.6736    |paral   |2020yCat.1350....0G
4601|HD 136336                                                             |High Proper Motion Star           |15 21 51.1840682112 -45 44 20.278048308|328.5158297978201 +09.5287917540441|-46.052 -57.231    |8.21     |K2/3III        |    ~     ~          |    1|  220.595   pc  |  -1.3285     +1.3285    |paral   |2020yCat.1350....0G
4602|CD-45 9877                                                            |High Proper Motion Star           |15 23 00.9213219312 -45 36 50.372888328|328.7574326256579 +09.5207956550360|-73.736 -104.303   |10.402   |K1V            |    ~     ~          |    1|  100.827   pc  |  -1.3836     +1.3836    |paral   |2020yCat.1350....0G
4603|CD-45 9881                                                            |Star                              |15 23 26.0439097824 -45 50 38.819160024|328.6896601795407 +09.2887917100489|  -4.132 -9.699    |10.47    |A0             |    ~     ~          |    1|  507.228   pc  |  -5.3257     +5.3257    |paral   |2020yCat.1350....0G
4604|HD 136717                                                             |Star                              |15 23 58.1163610296 -45 50 41.945355960|328.7675698854758 +09.2363124217459|-20.216 -18.694    |9.19     |A1/2mA7-A9     |    ~     ~          |    1|  274.363   pc  |  -3.6283     +3.6283    |paral   |2020yCat.1350....0G
4605|HD 136716                                                             |Star                              |15 23 58.2589095264 -45 41 58.861803624|328.8499095318097 +09.3567684861773|   -2.240 6.504    |9.12     |K0/2(III)      |    ~     ~          |    1|  489.213   pc  |  -4.2840     +4.2840    |paral   |2020yCat.1350....0G
4606|HD 136763                                                             |Star                              |15 24 09.0185628240 -45 56 39.369780024|328.7381511562222 +09.1362446540619|   5.063 -0.995    |9.81     |A8V            |    ~     ~          |    1|  493.389   pc  |  -4.6009     +4.6009    |paral   |2020yCat.1350....0G
4607|HD 137061                                                             |Star                              |15 25 39.8084829576 -45 41 52.299253464|329.0991340018762 +09.1929479940017|   1.728 -5.077    |9.36     |B9.5V          |    ~     ~          |    1|  543.154   pc  |  -5.5463     +5.5463    |paral   |2020yCat.1350....0G
4608|CD-45 9909                                                            |Star                              |15 25 48.5735775768 -45 34 02.149872960|329.1949219482854 +09.2865908780768|   -3.197 2.047    |10.60    |A0             |    ~     ~          |    1|  886.368   pc  | -16.1058    +16.1058    |paral   |2020yCat.1350....0G
4609|HD 137636                                                             |Star                              |15 28 47.3015167752 -44 16 03.466022808|330.3837870890507 +10.0570489162185|  -6.416 -2.774    |10.47    |K0/1(III)      |    ~     ~          |    1| 1823.154   pc  | -66.4778    +66.4778    |paral   |2020yCat.1350....0G
4610|HD 137194                                                             |Star                              |15 26 22.2641553792 -45 08 55.369416516|329.5166583936417 +09.5767278522465|  -3.580 -7.308    |9.83     |B9IV           |    ~     ~          |    1|  750.976   pc  | -14.7195    +14.7195    |paral   |2020yCat.1350....0G
4611|HD 137234                                                             |Star                              |15 26 30.5669423472 -44 50 52.587462264|329.7095740898503 +09.8110385164922|-37.932 -25.012    |8.81     |G6III          |    ~     ~          |    1|  365.564   pc  |  -2.5658     +2.5658    |paral   |2020yCat.1350....0G
4612|HD 137309                                                             |alpha2 CVn Variable               |15 26 55.0803053928 -44 36 22.478693148|329.9092262217474 +09.9691467865340|  -8.919 -8.496    |8.56     |B9IV(pSi)      |    ~     ~          |    1|  544.336   pc  | -10.2817    +10.2817    |paral   |2020yCat.1350....0G
4613|CD-44 10124                                                           |Star                              |15 27 08.3073479976 -44 51 00.106130268|329.8016026209760 +09.7461645137612|-10.207 -13.813    |10.50    |F5             |    ~     ~          |    1|  577.467   pc  | -10.0707    +10.0707    |paral   |2020yCat.1350....0G
4614|HD 137352                                                             |Star                              |15 27 16.1703924024 -45 18 07.190146116|329.5609393550145 +09.3608244490096| -16.575 -6.845    |9.29     |G8III          |    ~     ~          |    1|  279.018   pc  |  -1.3079     +1.3079    |paral   |2020yCat.1350....0G
4615|HD 137480                                                             |Double or Multiple Star           |15 28 02.5344 -45 25 17.868            |329.6052451 +09.1852563            |-21.508 -31.817    |10.41    |F5/6           |    ~     ~          |    0|                |                         |        |                   
4616|HD 137479                                                             |Star                              |15 28 06.5690053272 -45 09 50.485449456|329.7637452273343 +09.3902758699662|  -3.105 -0.043    |10.64    |A              |    ~     ~          |    1| 1387.540   pc  | -41.3932    +41.3932    |paral   |2020yCat.1350....0G
4617|HD 137501                                                             |Star                              |15 28 06.9221143200 -45 06 18.713648484|329.7985858842161 +09.4380264992618|-14.959 -19.160    |10.12    |F0             |    ~     ~          |    1|  419.974   pc  |  -3.3159     +3.3159    |paral   |2020yCat.1350....0G
4618|HD 137518                                                             |Be Star                           |15 28 17.4201569136 -45 08 05.880898608|329.8070887356730 +09.3959732511966|  -1.466 -0.845    |7.75     |B1Vne          |    ~     ~          |    1| 1470.372   pc  | -61.1844    +61.1844    |paral   |2020yCat.1350....0G
4619|HD 137562                                                             |High Proper Motion Star           |15 28 24.4310233920 -44 37 47.134533144|330.1168031689092 +09.7989703295057|-44.229 -57.812    |10.13    |F8/G2          |    ~     ~          |    1|  232.493   pc  |  -1.0811     +1.0811    |paral   |2020yCat.1350....0G
4620|HD 137620                                                             |Star                              |15 28 45.0590002176 -44 53 34.081816416|330.0150617621298 +09.5482594414469|  -3.302 -2.362    |7.75     |B8III          |    ~     ~          |    1|  580.383   pc  | -11.1496    +11.1496    |paral   |2020yCat.1350....0G
4621|HD 137675                                                             |Star                              |15 29 05.4049055400 -44 51 50.424219540|330.0817221541466 +09.5374787240637|  -0.045 -0.450    |10.04    |F2/3V          |    ~     ~          |    1|  271.459   pc  |  -1.3043     +1.3043    |paral   |2020yCat.1350....0G
4622|HD 137752                                                             |Star                              |15 29 26.0654082576 -44 32 39.252606756|330.3186405390097 +09.7642906390691|-14.849 -18.038    |8.85     |A2/3III/IV     |    ~     ~          |    1|  485.649   pc  | -40.3076    +40.3076    |paral   |2020yCat.1350....0G
4623|HD 137247                                                             |Star                              |15 26 41.5648419360 -45 30 48.046784328|329.3551333065011 +09.2439210226130|  5.787 -23.320    |7.60     |G8III          |    ~     ~          |    1|  231.911   pc  |  -1.1994     +1.1994    |paral   |2020yCat.1350....0G
4624|HD 137361                                                             |High Proper Motion Star           |15 27 22.8995515584 -45 28 04.336879188|329.4820426641205 +09.2130427608155|-54.179 -41.076    |8.77     |F8/G0V         |    ~     ~          |    1|   99.601   pc  |  -0.3700     +0.3700    |paral   |2020yCat.1350....0G
4625|HD 137400                                                             |Star                              |15 27 33.6938838120 -45 45 53.378578944|329.3376760390250 +08.9506496557580| -13.487 -4.873    |9.62     |F5V            |    ~     ~          |    1|  397.235   pc  |  -3.2190     +3.2190    |paral   |2020yCat.1350....0G
4626|HD 137621                                                             |Star                              |15 28 46.5353980680 -45 32 46.942843560|329.6401550122607 +09.0094867397988|-12.589 -16.438    |9.19     |K2/3(III)      |    ~     ~          |    1|  574.515   pc  |  -7.2615     +7.2615    |paral   |2020yCat.1350....0G
4627|IRAS 15226-4504                                                       |Star                              |15 26 03.4148381664 -45 15 15.627262824|329.4098935592722 +09.5207410701152|  -5.111 -7.508    |10.70    |~              |    ~     ~          |    1| 1235.483   pc  | -45.0293    +45.0293    |paral   |2020yCat.1350....0G
4628|IRAS 15255-4351                                                       |Long-Period Variable Candidate    |15 28 55.2895898328 -44 01 42.803834088|330.5429100629398 +10.2392359948780|   -1.701 2.823    |10.32    |~              |    ~     ~          |    1| 1780.63    pc  |-107.167    +107.167     |paral   |2020yCat.1350....0G
4629|IRAS 15259-4430                                                       |Star                              |15 29 24.1959875880 -44 40 28.352793144|330.2381152080051 +09.6607989610938|  -2.255 -3.687    |9.48     |~              |    ~     ~          |    1|  635.445   pc  |  -7.9951     +7.9951    |paral   |2020yCat.1350....0G
4630|V* MS Lup                                                             |T Tauri Star                      |15 25 59.6471855904 -45 01 15.821666004|329.5340020134443 +09.7196610413800|-18.934 -21.491    |10.969   |G7IV           |    ~     ~          |    1|  150.732   pc  |  -0.3067     +0.3067    |paral   |2020yCat.1350....0G
4631|CD-44 9972                                                            |Star                              |15 15 43.3324618032 -45 14 48.054061212|327.8696758900651 +10.5247007373845| -16.097 -7.484    |9.71     |~              |    ~     ~          |    1|  719.891   pc  | -17.8794    +17.8794    |paral   |2020yCat.1350....0G
4632|CD-44 10027                                                           |Star                              |15 20 00.5524738584 -45 25 46.276217436|328.4141530983617 +09.9644416135274| -1.404 -24.676    |9.99     |~              |    ~     ~          |    1|  581.260   pc  |  -5.0004     +5.0004    |paral   |2020yCat.1350....0G
4633|CD-45 9846                                                            |Star                              |15 20 44.3363729760 -45 43 45.878349792|328.3563576678048 +09.6435142112998|   1.735 -2.382    |9.97     |~              |    ~     ~          |    1|  924.044   pc  | -17.9310    +17.9310    |paral   |2020yCat.1350....0G
4634|CD-44 10057                                                           |Star                              |15 22 09.7073022456 -45 15 24.627742560|328.8313534404531 +09.9011507820406|   -4.684 1.093    |10.52    |~              |    ~     ~          |    1| 1439.470   pc  | -50.3514    +50.3514    |paral   |2020yCat.1350....0G
4635|CD-45 9876                                                            |Star                              |15 23 00.5465689776 -45 47 28.755971052|328.6568956908069 +09.3737878817331|   1.373 -1.761    |10.20    |~              |    ~     ~          |    1| 1176.056   pc  | -26.0024    +26.0024    |paral   |2020yCat.1350....0G
4636|CD-45 9879                                                            |Star                              |15 23 10.2417002496 -45 48 22.944060936|328.6721988208661 +09.3456496026246|  -7.234 -3.242    |10.02    |~              |    ~     ~          |    1| 1005.328   pc  | -17.7881    +17.7881    |paral   |2020yCat.1350....0G
4637|CD-44 10083                                                           |Star                              |15 23 40.4234832672 -45 13 00.481814328|329.0786978762395 +09.7868811104942| -20.045 -6.234    |10.43    |~              |    ~     ~          |    1|  931.272   pc  | -11.4479    +11.4479    |paral   |2020yCat.1350....0G
4638|CD-44 10087                                                           |Star                              |15 23 50.8130567280 -45 15 56.783720412|329.0767081416804 +09.7292304361408|  -1.871 -2.019    |10.48    |~              |    ~     ~          |    1| 1183.712   pc  | -17.9350    +17.9350    |paral   |2020yCat.1350....0G
4639|CD-45 9901                                                            |Star                              |15 25 02.6621052096 -45 33 09.739693584|329.0908803097909 +09.3738352485838|  -8.315 -9.754    |9.98     |~              |    ~     ~          |    1|  659.848   pc  |  -7.0099     +7.0099    |paral   |2020yCat.1350....0G
4640|CD-45 9900                                                            |Star                              |15 25 03.4846068888 -45 49 22.936886688|328.9394610570167 +09.1485543200436|   -2.172 4.428    |10.43    |~              |    ~     ~          |    1|  803.019   pc  |  -9.9950     +9.9950    |paral   |2020yCat.1350....0G
4641|CD-43 9893                                                            |Star                              |15 25 44.2146224928 -43 50 29.266369512|330.1718565606499 +10.7194215083605|  -1.708 -2.869    |10.86    |~              |    ~     ~          |    1| 1927.897   pc  | -65.4154    +65.4154    |paral   |2020yCat.1350....0G
4642|CD-45 9911                                                            |Star                              |15 26 00.5908738584 -46 02 53.806805124|328.9501370688103 +08.8692580177880|   -2.459 0.200    |9.94     |~              |    ~     ~          |    1|  645.078   pc  |  -6.3667     +6.3667    |paral   |2020yCat.1350....0G
4643|CD-43 9901                                                            |Star                              |15 26 25.3228388160 -44 06 48.261339324|330.1188007415420 +10.4254395462454|  -4.600 -4.049    |9.73     |~              |    ~     ~          |    1|  875.274   pc  | -12.9472    +12.9472    |paral   |2020yCat.1350....0G
4644|CD-43 9902                                                            |Star                              |15 26 29.3370714168 -44 22 41.660631912|329.9764097904101 +10.2003733211158|   0.375 -1.783    |10.24    |~              |    ~     ~          |    1|  539.200   pc  |  -4.1285     +4.1285    |paral   |2020yCat.1350....0G
4645|CD-43 9920                                                            |Star                              |15 27 46.4537452440 -43 51 54.421139124|330.4658055605735 +10.4914327414839|   -4.307 0.778    |10.06    |~              |    ~     ~          |    1|  912.076   pc  | -14.5579    +14.5579    |paral   |2020yCat.1350....0G
4646|CD-44 10153                                                           |Star                              |15 29 45.9385537464 -44 46 16.089243960|330.2352552567720 +09.5447572445115|  -1.050 -1.567    |10.25    |~              |    ~     ~          |    1| 1084.363   pc  | -25.0455    +25.0455    |paral   |2020yCat.1350....0G
4647|HD 135155                                                             |Star                              |15 15 15.0891590784 -45 24 13.820916744|327.7133860892574 +10.4356734765429|  11.360 -2.292    |10.43    |A9V            |    ~     ~          |    1|  473.889   pc  |  -5.6367     +5.6367    |paral   |2020yCat.1350....0G
4648|HD 135309                                                             |High Proper Motion Star           |15 16 06.7604605704 -45 28 52.672998216|327.8014218550459 +10.2896641481535|-96.177 -27.790    |8.52     |G2IV           |    ~     ~          |    1|   60.656   pc  |  -0.0912     +0.0912    |paral   |2020yCat.1350....0G
4649|CD-45 9790                                                            |Star                              |15 16 49.8538434768 -45 27 50.324698044|327.9189510176116 +10.2369428783753| -13.250 -3.585    |10.22    |F2             |    ~     ~          |    1|  252.213   pc  |  -1.1768     +1.1768    |paral   |2020yCat.1350....0G
4650|HD 135733                                                             |Star                              |15 18 19.4546045640 -45 39 34.214400288|328.0358517700198 +09.9314818156809|  -6.789 -8.993    |8.92     |A1V            |    ~     ~          |    1|  363.425   pc  |  -4.2793     +4.2793    |paral   |2020yCat.1350....0G
4651|HD 135883                                                             |Star                              |15 19 14.0870060784 -45 48 15.218732484|328.0918853921212 +09.7237715993930|-11.279 -11.347    |9.45     |A1/2mA3-A5/7   |    ~     ~          |    1|  404.367   pc  |  -3.7281     +3.7281    |paral   |2020yCat.1350....0G
4652|HD 136000                                                             |Star                              |15 19 54.7444310976 -45 52 00.328626984|328.1578767711350 +09.6071151991967|-17.345 -12.676    |10.26    |G0             |    ~     ~          |    1|  170.576   pc  |  -0.4801     +0.4801    |paral   |2020yCat.1350....0G
4653|HD 136391                                                             |High Proper Motion Star           |15 22 11.8748141136 -46 05 22.680103200|328.3707535454529 +09.2030995010958| -2.185 -60.684    |8.990    |K1V            |    ~     ~          |    1|   53.273   pc  |  -0.0877     +0.0877    |paral   |2020yCat.1350....0G
4654|HD 136607                                                             |Star                              |15 23 24.9798461184 -46 08 25.496691036|328.5204972133096 +09.0440205787209| -28.130 -9.351    |6.49     |G8III          |    ~     ~          |    1|  159.363   pc  |  -0.6603     +0.6603    |paral   |2020yCat.1350....0G
4655|CD-43 9817                                                            |Star                              |15 20 49.0553816208 -44 07 19.023533508|329.2645911918822 +10.9798163966892|  -7.196 -9.800    |10.27    |~              |    ~     ~          |    1|  800.897   pc  | -22.7068    +22.7068    |paral   |2020yCat.1350....0G
4656|TYC 7834-24-1                                                         |Star                              |15 16 39.9372133032 -44 59 38.909793336|328.1501009469775 +10.6491557267595| -11.374 -4.627    |10.16    |~              |    ~     ~          |    1|  634.236   pc  |  -8.3267     +8.3267    |paral   |2020yCat.1350....0G
4657|TYC 7834-120-1                                                        |Star                              |15 16 55.4817799704 -44 56 04.134911352|328.2220279951992 +10.6749044453916| -10.244 -7.337    |10.71    |~              |    ~     ~          |    1|  552.792   pc  |  -6.0810     +6.0810    |paral   |2020yCat.1350....0G
4658|TYC 7834-423-1                                                        |Star                              |15 15 35.4101189472 -44 54 24.220123380|328.0340036608074 +10.8247590193634|  -6.117 -0.550    |10.94    |~              |    ~     ~          |    1|  766.518   pc  | -11.3985    +11.3985    |paral   |2020yCat.1350....0G
