C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
55  |CD-35 10227                                                           |Star                              |15 21 24.7431510792 -35 58 37.625827404|334.0608413073190 +17.6720315259136| -12.838 -0.747    |10.86    |~              |    ~     ~          |    1|  633.352   pc  | -12.4352    +12.4352    |paral   |2020yCat.1350....0G
56  |CD-34 10329                                                           |High Proper Motion Star           |15 21 26.5303961640 -34 57 44.391225024|334.6745118014906 +18.5024205343545|-45.205 -39.923    |10.65    |G7V            |    ~     ~          |    1|  120.552   pc  |  -0.2761     +0.2761    |paral   |2020yCat.1350....0G
57  |CD-35 10230                                                           |Star                              |15 21 34.0326779136 -36 15 00.529940232|333.9250541661839 +17.4296247152275|  -15.225 6.194    |9.8      |~              |    ~     ~          |    1|  861.846   pc  | -13.3700    +13.3700    |paral   |2020yCat.1350....0G
58  |HD 135343                                                             |High Proper Motion Star           |15 15 52.7190465576 -36 59 56.011641036|332.4944035373708 +17.4469679220878|-28.176 -56.496    |7.96     |F3V            |    ~     ~          |    1|   88.528   pc  |  -0.1983     +0.1983    |paral   |2020yCat.1350....0G
59  |CD-36 10058                                                           |Star                              |15 19 18.6137362041 -37 20 54.669914035|332.8868419904502 +16.7770150210435|   -1.221 0.159    |10.30    |G2             |    ~     ~          |    0|                |                         |        |                   
60  |HD 136106                                                             |Star                              |15 20 05.8300108080 -37 19 55.205692500|333.0318073272350 +16.7030798087410|  -8.756 -3.121    |9.96     |A3/5III/IV     |    ~     ~          |    1|  541.155   pc  |  -7.5848     +7.5848    |paral   |2020yCat.1350....0G
61  |HD 136143                                                             |Star                              |15 20 21.1387291536 -37 27 21.283406712|333.0029486785580 +16.5720935483051|   0.759 -6.005    |10.11    |G5             |    ~     ~          |    1|  645.245   pc  |  -8.2019     +8.2019    |paral   |2020yCat.1350....0G
62  |HD 136423                                                             |Star                              |15 21 52.1039511504 -37 32 55.531797324|333.2072901719870 +16.3258686807457|-19.664 -24.612    |8.11     |A7IV           |    ~     ~          |    1|  130.702   pc  |  -1.0250     +1.0250    |paral   |2020yCat.1350....0G
63  |HD 136482                                                             |Star                              |15 22 11.2555089192 -37 38 08.244115296|333.2103359527641 +16.2184679587087|-19.707 -23.198    |6.64     |B8/9V          |    ~     ~          |    1|  144.313   pc  |  -0.9830     +0.9830    |paral   |2020yCat.1350....0G
64  |CD-36 10047                                                           |High Proper Motion Star           |15 18 29.3006622096 -37 12 23.403805200|332.8278665610335 +16.9860968725660|-45.428 -23.397    |10.84    |~              |    ~     ~          |    1|  113.388   pc  |  -0.2404     +0.2404    |paral   |2020yCat.1350....0G
65  |AKARI-IRC-V1 J1515152-355921                                          |Long-Period Variable Candidate    |15 15 15.2998286040 -35 59 21.107884848|332.9681922844467 +18.3590738006358|  -0.619 -5.853    |10.67    |~              |    ~     ~          |    1| 1300.05    pc  | -69.2955    +69.2955    |paral   |2020yCat.1350....0G
66  |CD-35 10148                                                           |Star                              |15 15 20.0188860504 -36 20 16.622783376|332.7801366634536 +18.0591239413355|   -7.352 1.371    |10.41    |~              |    ~     ~          |    1| 1312.164   pc  | -41.8391    +41.8391    |paral   |2020yCat.1350....0G
67  |TYC 7320-897-1                                                        |Star                              |15 15 02.4787462656 -34 52 16.596920424|333.5815904064544 +19.3154306233414|  -6.433 -6.388    |10.88    |~              |    ~     ~          |    1|  559.848   pc  |  -7.4283     +7.4283    |paral   |2020yCat.1350....0G
68  |TYC 7321-400-1                                                        |Star                              |15 18 41.2326309480 -35 31 34.381032096|333.8491965155373 +18.3565064579533|-10.881 -15.600    |10.89    |~              |    ~     ~          |    1|  266.951   pc  |  -1.1758     +1.1758    |paral   |2020yCat.1350....0G
69  |TYC 7324-1043-1                                                       |Star                              |15 17 56.3015243472 -37 01 47.958081852|332.8352985118858 +17.1937669103507|   -4.730 1.146    |10.81    |~              |    ~     ~          |    1| 1156.069   pc  | -36.8873    +36.8873    |paral   |2020yCat.1350....0G
70  |TYC 7324-1295-1                                                       |Star                              |15 17 07.9537774920 -36 41 25.329730200|332.8923263863729 +17.5657316000270|  26.262 -6.104    |10.89    |~              |    ~     ~          |    1|  294.551   pc  |  -3.5745     +3.5745    |paral   |2020yCat.1350....0G
71  |TYC 7324-1423-1                                                       |Star                              |15 15 29.9360171520 -35 57 11.091340260|333.0325557079769 +18.3620193471109|-18.324 -10.428    |10.85    |~              |    ~     ~          |    1|  395.335   pc  |  -2.7038     +2.7038    |paral   |2020yCat.1350....0G
72  |TYC 7324-1489-1                                                       |Star                              |15 16 20.7483594816 -36 34 34.758619356|332.8205650358662 +17.7480596174474|   11.894 1.851    |10.82    |~              |    ~     ~          |    1|  282.773   pc  |  -1.4953     +1.4953    |paral   |2020yCat.1350....0G
73  |TYC 7325-627-1                                                        |Star                              |15 21 30.6677367216 -35 52 29.670496644|334.1391304946777 +17.7447248935479|  -6.397 -0.665    |10.680   |~              |    ~     ~          |    1|  417.436   pc  | -14.5000    +14.5000    |ST-L    |2020AJ....160...83S
74  |TYC 7325-805-1                                                        |Star                              |15 19 40.2646586400 -36 59 43.071627876|333.1558107097951 +17.0294128451390|  -2.338 -2.391    |10.20    |~              |    ~     ~          |    1| 1388.889   pc  | -40.1235    +40.1235    |paral   |2020yCat.1350....0G
75  |TYC 7325-903-1                                                        |Star                              |15 21 48.8321471304 -35 41 48.403859712|334.2987175023087 +17.8561329241373|  -2.420 -2.908    |10.79    |~              |    ~     ~          |    1| 3057.169   pc  |-156.0829   +156.0829    |paral   |2020yCat.1350....0G
76  |TYC 7325-1291-1                                                       |High Proper Motion Star           |15 20 02.9421882456 -37 00 03.540453084|333.2177746915136 +16.9823369572121|-55.445 -37.624    |10.42    |~              |    ~     ~          |    1|  139.078   pc  |  -0.5087     +0.5087    |paral   |2020yCat.1350....0G
77  |TYC 7325-1313-1                                                       |Star                              |15 20 51.5728533408 -36 21 50.435580312|333.7343041885467 +17.4166965733481|-28.813 -32.622    |10.82    |~              |    ~     ~          |    1|  217.846   pc  |  -0.9539     +0.9539    |paral   |2020yCat.1350....0G
78  |TYC 7325-1519-1                                                       |Star                              |15 21 05.0753945136 -36 24 58.274081028|333.7424637597042 +17.3480453894279| -15.695 -5.944    |10.64    |~              |    ~     ~          |    1|  516.476   pc  |  -5.2282     +5.2282    |paral   |2020yCat.1350....0G
79  |HD 136839                                                             |Star                              |15 24 01.4856750480 -35 40 24.598691688|334.6988305491541 +17.6176855829287|-14.689 -11.529    |10.77    |A8/9V          |    ~     ~          |    1|  447.387   pc  |  -4.1832     +4.1832    |paral   |2020yCat.1350....0G
80  |HD 136853                                                             |Star                              |15 24 06.7161259368 -36 01 01.246450080|334.5063656304220 +17.3268074906479|-12.544 -29.726    |8.69     |G6V            |    ~     ~          |    1|  174.697   pc  |  -0.8393     +0.8393    |paral   |2020yCat.1350....0G
81  |HD 136961                                                             |Star                              |15 24 41.8736604792 -35 55 01.491361536|334.6682127353363 +17.3399983391435|  28.264 -5.709    |6.75     |A0/1V          |    ~     ~          |    1|  129.091   pc  |  -0.5916     +0.5916    |paral   |2020yCat.1350....0G
82  |HD 136960                                                             |Star                              |15 24 41.1776352480 -35 48 42.606437544|334.7299654427235 +17.4272290739242|  -9.692 -4.686    |9.73     |F2             |    ~     ~          |    1|  386.967   pc  |  -6.4090     +6.4090    |paral   |2020yCat.1350....0G
83  |HD 137096                                                             |High Proper Motion Star           |15 25 18.2898172392 -35 46 39.058665888|334.8579482642330 +17.3825576114190|40.557 -174.383    |10.21    |G6V            |    ~     ~          |    1|  105.747   pc  |  -0.2304     +0.2304    |paral   |2020yCat.1350....0G
84  |HD 137118                                                             |Star                              |15 25 28.4502396792 -35 43 12.582582744|334.9221537543331 +17.4093190792388| -7.038 -11.844    |9.45     |K1III          |    ~     ~          |    1|  345.805   pc  |  -2.4634     +2.4634    |paral   |2020yCat.1350....0G
85  |CD-35 10278                                                           |Star                              |15 25 27.5982850752 -36 06 47.124547056|334.6809791907088 +17.0909625322417| -2.859 -17.397    |9.70     |~              |    ~     ~          |    1|  587.682   pc  |  -9.2559     +9.2559    |paral   |2020yCat.1350....0G
