C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
65  |TYC 4939-262-1                                                        |High Proper Motion Star           |12 09 43.7782515624 -01 50 35.894940180|282.1579567288043 +59.3357528537613|-79.293 -29.424   |10.96    |~               |    ~     ~    |    1|  177.865   pc  |  -4.5160     +4.5160    |ST-L    |2020AJ....160...83S
66  |TYC 4939-269-1                                                        |Star                              |12 01 56.4704047536 -01 55 21.040639428|278.6614782353395 +58.5972829883303|   -7.524 1.998   |10.681   |~               |    ~     ~    |    1| 1306.960   pc  |-124.0000   +124.0000    |ST-L    |2020AJ....160...83S
67  |TYC 4939-405-1                                                        |Star                              |12 05 57.5157535704 -02 16 12.694560672|280.7002449226174 +58.6246569358197| -17.516 -6.459   |10.69    |~               |    ~     ~    |    1|  475.082   pc  | -21.1258    +21.1258    |paral   |2020yCat.1350....0G
68  |TYC 4939-629-1                                                        |Star                              |12 05 20.7624293688 -01 15 20.857525020|279.7419924509324 +59.5246360922936|-23.130 -40.409   |10.74    |~               |    ~     ~    |    1|  227.314   pc  |  -1.7052     +1.7052    |paral   |2020yCat.1350....0G
69  |TYC 4940-922-1                                                        |Star                              |12 10 49.4417946648 -00 19 58.803838500|281.7116914463486 +60.8544256782874| -22.598 -2.300   |10.9     |~               |    ~     ~    |    1|  266.113   pc  |  -1.5721     +1.5721    |paral   |2020yCat.1350....0G
70  |TYC 4942-11-1                                                         |Star                              |12 05 46.2957725304 -02 31 43.341700080|280.7825040261419 +58.3654987832138|  -33.190 8.136   |10.20    |~               |    ~     ~    |    1|  802.894   pc  | -45.2700    +45.2700    |ST-L    |2020AJ....160...83S
71  |TYC 4939-121-1                                                        |Star                              |12 01 32.5800195528 -00 40 47.380953684|277.5759186718334 +59.7128447415902|  -1.336 -5.311   |10.7     |~               |    ~     ~    |    1| 1081.783   pc  | -26.3307    +26.3307    |paral   |2020yCat.1350....0G
72  |HD 104303                                                             |Star                              |12 00 41.8880935896 -02 55 51.037891212|278.8110358397070 +57.5452012913492| -17.855 12.186   |9.19     |F5V             |    ~     ~    |    1|  141.215   pc  |  -1.6630     +1.6630    |ST-L    |2020AJ....160...83S
73  |HD 104368                                                             |Star                              |12 01 08.7720580032 -03 34 20.415305028|279.4309451821890 +56.9869320892607|-22.117 -13.818   |8.99     |G6(IV)          |    ~     ~    |    1|  200.353   pc  |  -0.9473     +0.9473    |paral   |2020yCat.1350....0G
74  |BD-03 3223                                                            |Star                              |12 01 25.9380708576 -04 09 08.863897032|279.9250925874104 +56.4691017242242|  -2.162 -3.881   |10.078   |K0              |    ~     ~    |    1|  738.003   pc  | -23.7800    +23.7800    |ST-L    |2020AJ....160...83S
75  |HD 104410                                                             |Double or Multiple Star           |12 01 26.1883 -04 11 55.460            |279.9560394 +56.4260894            |-33.615 -19.248   |8.94     |K1III(+K)       |    ~     ~    |    0|                |                         |        |                   
76  |HD 104263                                                             |High Proper Motion Star           |12 00 27.4568057184 -04 32 55.714550892|279.7651473286035 +56.0127841945984|-108.589 -146.189 |8.23     |G8/K0V          |    ~     ~    |    1|   41.954   pc  |  -0.0532     +0.0532    |paral   |2020yCat.1350....0G
77  |HD 104336                                                             |High Proper Motion Star           |12 00 55.4870614536 -04 29 14.297123868|279.9219256376989 +56.1111584322295|-93.583 -52.442   |9.45     |G8V             |    ~     ~    |    1|  138.916   pc  |  -0.3319     +0.3319    |paral   |2020yCat.1350....0G
78  |HD 104293                                                             |Star                              |12 00 38.2271082864 -05 07 14.277122328|280.1935432966848 +55.4923411098400| -22.223 -6.055   |9.11     |F0V             |    ~     ~    |    1|  196.209   pc  |  -0.8547     +0.8547    |paral   |2020yCat.1350....0G
79  |BD-04 3177                                                            |Star                              |12 00 05.1122104296 -05 17 49.300073556|280.0741450984392 +55.2792766682194| -12.592 -4.542   |10.40    |~               |    ~     ~    |    1|  744.103   pc  | -13.5100    +13.5100    |paral   |2020yCat.1350....0G
80  |BD-04 3182                                                            |Spectroscopic Binary              |12 00 53.8812175704 -05 32 18.021758568|280.5523835186233 +55.1222294549107|-17.410 -11.166   |10.260   |~               |    ~     ~    |    1|  346.467   pc  |  -6.6720     +6.6720    |ST-L    |2020AJ....160...83S
81  |BD-03 3221                                                            |High Proper Motion Star           |12 00 59.1297612240 -04 35 39.239688588|280.0140465715962 +56.0161966217167|-75.796 -36.127   |10.74    |~               |    ~     ~    |    1|  109.361   pc  |  -0.2691     +0.2691    |paral   |2020yCat.1350....0G
82  |BD-03 3225                                                            |Star                              |12 01 38.7094059528 -04 37 25.262653044|280.3083331709788 +56.0453679003807|-17.144 -10.271   |10.57    |~               |    ~     ~    |    1| 2501.670   pc  |-417.7000   +417.7000    |ST-L    |2020AJ....160...83S
83  |BD-02 3451                                                            |Star                              |12 01 44.1712911600 -03 41 55.752631620|279.7654084592668 +56.9205968535639|  -2.954 -7.716   |10.960   |~               |    ~     ~    |    1|  464.104   pc  | -14.6100    +14.6100    |ST-L    |2020AJ....160...83S
84  |BD-03 3226                                                            |Star                              |12 01 55.2053180496 -04 15 08.496141264|280.1941395081968 +56.4175892111653| -12.852 11.108   |10.05    |~               |    ~     ~    |    1|  266.987   pc  |  -5.8736     +5.8736    |paral   |2020yCat.1350....0G
85  |HD 104832                                                             |High Proper Motion Star           |12 04 15.1722706704 -02 49 51.086930880|280.3006429237898 +57.9525620407493| -66.229 20.700   |9.56     |F7/8V           |    ~     ~    |    1|  193.274   pc  |  -2.9280     +2.9280    |ST-L    |2020AJ....160...83S
86  |BD-02 3464                                                            |Star                              |12 07 07.5885457944 -02 55 12.789059664|281.6345427397668 +58.1074590418181|    2.522 4.129   |10.36    |G5              |    ~     ~    |    1|  604.303   pc  |  -6.2081     +6.2081    |paral   |2020yCat.1350....0G
87  |BD-02 3467                                                            |Star                              |12 08 04.7360313408 -03 02 51.838822248|282.1378820807232 +58.0627543495351| -24.315 10.707   |10.787   |~               |    ~     ~    |    1|  475.307   pc  | -19.2700    +19.2700    |ST-L    |2020AJ....160...83S
