C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
54  |HD 16552                                                                                                                                                                                                                                                                                |Star                              |02 38 10.6130732376 -37 30 54.335976732|244.4940049966741 -65.2885656200222|  -0.541 -2.410   |8.47     |K0III          |    ~     ~    |    1|  356.570   pc  |  -2.1868     +2.1868    |paral   |2020yCat.1350....0G
55  |CD-37 985                                                                                                                                                                                                                                                                               |Star                              |02 38 36.2879438688 -36 57 18.280582668|243.1494328719800 -65.3650357768709| 26.868 -16.335   |9.64     |~              |    ~     ~    |    1| 1215.805   pc  | -21.8771    +21.8771    |paral   |2020yCat.1350....0G
56  |CD-37 982                                                                                                                                                                                                                                                                               |Star                              |02 37 36.9425698512 -37 06 54.991287792|243.6511744691345 -65.5103863160280|  1.557 -10.647   |10.31    |~              |    ~     ~    |    1|  292.851   pc  |  -1.0978     +1.0978    |paral   |2020yCat.1350....0G
57  |CD-36 1005                                                                                                                                                                                                                                                                              |Star                              |02 39 26.3023394520 -36 24 42.540631848|241.7872000355025 -65.3450187366058|  17.015 -4.185   |10.55    |~              |    ~     ~    |    1|  768.403   pc  |  -8.2072     +8.2072    |paral   |2020yCat.1350....0G
58  |HD 16715                                                                                                                                                                                                                                                                                |Star                              |02 39 46.9356842040 -35 01 27.531039324|238.4919312742046 -65.5862545887393|    2.118 6.759   |7.32     |K3III          |    ~     ~    |    1|  401.155   pc  |  -2.4783     +2.4783    |paral   |2020yCat.1350....0G
59  |CD-35 926                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 41 13.9706473968 -35 25 09.366875184|239.2781915977430 -65.2165994904455| 59.733 -30.284   |10.25    |F8             |    ~     ~    |    1|  163.749   pc  |  -0.5068     +0.5068    |paral   |2020yCat.1350....0G
60  |CD-35 928                                                                                                                                                                                                                                                                               |Star                              |02 41 19.0117543536 -35 16 40.110918456|238.9393762517292 -65.2285035719432|  2.446 -21.724   |9.75     |K0             |    ~     ~    |    1|  625.626   pc  |  -5.3623     +5.3623    |paral   |2020yCat.1350....0G
61  |HD 16949                                                                                                                                                                                                                                                                                |Star                              |02 42 01.6311007632 -34 49 58.592860932|237.8321902906034 -65.1705608899547|   -9.264 1.085   |8.35     |A3V            |    ~     ~    |    1|  196.028   pc  |  -0.8531     +0.8531    |paral   |2020yCat.1350....0G
62  |CD-35 933                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 42 54.9909557256 -35 17 42.948750840|238.8272905598604 -64.9050315972857|-21.621 -58.970   |10.12    |G8             |    ~     ~    |    1|  103.576   pc  |  -0.1320     +0.1320    |paral   |2020yCat.1350....0G
63  |CD-35 935                                                                                                                                                                                                                                                                               |Star                              |02 43 21.8817335160 -34 52 51.255515784|237.8273769622991 -64.8920239608534|-21.228 -28.379   |10.36    |F8             |    ~     ~    |    1|  273.418   pc  |  -2.1381     +2.1381    |paral   |2020yCat.1350....0G
64  |CD-35 944                                                                                                                                                                                                                                                                               |Star                              |02 44 48.3744777720 -35 22 27.148253412|238.8353885715113 -64.5116416186457|  31.848 13.018   |10.23    |F5             |    ~     ~    |    1|  254.056   pc  |  -3.5060     +3.5060    |ST-L    |2020AJ....160...83S
65  |HD 16724                                                                                                                                                                                                                                                                                |Star                              |02 39 47.8836770472 -35 30 45.921879612|239.6444975703726 -65.4825820086420| 13.389 -10.269   |8.54     |K0III          |    ~     ~    |    1|  373.706   pc  |  -2.8909     +2.8909    |paral   |2020yCat.1350....0G
66  |HD 16918                                                                                                                                                                                                                                                                                |Star                              |02 41 45.9602527800 -35 36 09.114723828|239.6510659258942 -65.0724012466296|    9.433 0.192   |9.35     |K0/1III        |    ~     ~    |    1|  404.891   pc  |  -2.2951     +2.2951    |paral   |2020yCat.1350....0G
67  |CD-36 1012                                                                                                                                                                                                                                                                              |High Proper Motion Star           |02 40 21.4205796120 -36 04 32.481931512|240.8999072761444 -65.2461516871381|134.953 -11.187   |9.76     |K0             |    ~     ~    |    1|   95.117   pc  |  -0.1239     +0.1239    |paral   |2020yCat.1350....0G
68  |HD 16838                                                                                                                                                                                                                                                                                |Star                              |02 40 56.9616754320 -35 53 40.443484308|240.4141377230303 -65.1708267109288|-15.303 -19.939   |9.45     |G1V            |    ~     ~    |    1|  239.332   pc  |  -7.4349     +7.4349    |paral   |2020yCat.1350....0G
69  |HD 16960                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 42 06.9722286984 -36 14 48.567142752|241.0992142471989 -64.8610551957482|  49.087 13.997   |9.27     |F2V            |    ~     ~    |    1|  259.766   pc  |  -3.8590     +3.8590    |ST-L    |2020AJ....160...83S
70  |HD 17136                                                                                                                                                                                                                                                                                |Star                              |02 43 51.7230751656 -36 20 12.696167472|241.1154892446098 -64.4979896807995|   16.741 7.730   |9.52     |F5V            |    ~     ~    |    1|  283.107   pc  |  -3.7150     +3.7150    |ST-L    |2020AJ....160...83S
71  |HD 17169                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 44 12.9808536048 -36 18 26.710981128|241.0115361214840 -64.4351260524817|  35.451 -7.286   |7.12     |G2V            |    ~     ~    |    1|  102.870   pc  |  -2.7175     +2.7175    |paral   |2020yCat.1350....0G
72  |HD 16716                                                                                                                                                                                                                                                                                |Star                              |02 39 40.9211976504 -36 53 10.434367392|242.8529381663306 -65.1760646099789|-29.850 -25.344   |8.14     |K0III          |    ~     ~    |    1|  171.324   pc  |  -0.5342     +0.5342    |paral   |2020yCat.1350....0G
73  |CD-37 1002                                                                                                                                                                                                                                                                              |Star                              |02 40 22.1368511352 -37 14 47.452502256|243.5884149215089 -64.9471183009117|  2.757 -35.843   |10.78    |G0             |    ~     ~    |    1|  212.328   pc  |  -0.7754     +0.7754    |paral   |2020yCat.1350....0G
74  |HD 16789                                                                                                                                                                                                                                                                                |Star                              |02 40 31.8131439936 -36 29 37.901582808|241.8470698953876 -65.1119807282423|  23.119 10.399   |7.80     |G8/K0III       |    ~     ~    |    1|  253.975   pc  |  -1.0966     +1.0966    |paral   |2020yCat.1350....0G
75  |HD 16829                                                                                                                                                                                                                                                                                |Star                              |02 40 50.8522478976 -36 42 50.375543508|242.3146593703573 -64.9952753122517|  -7.259 -1.409   |9.41     |K0III          |    ~     ~    |    1|  485.838   pc  |  -2.8561     +2.8561    |paral   |2020yCat.1350....0G
76  |HD 16850                                                                                                                                                                                                                                                                                |Star                              |02 41 05.3619359712 -36 56 16.181067084|242.7961572817307 -64.8910643219067|  -3.792 -0.704   |9.28     |K0III          |    ~     ~    |    1|  499.925   pc  |  -3.1241     +3.1241    |paral   |2020yCat.1350....0G
77  |CD-37 1020                                                                                                                                                                                                                                                                              |Star                              |02 43 22.3927648152 -37 02 52.578986568|242.7710772614990 -64.4220500112117|  33.190 -3.783   |10.386   |G0             |    ~     ~    |    1|  329.004   pc  |  -6.0580     +6.0580    |ST-L    |2020AJ....160...83S
78  |HD 17153                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 44 00.5377994544 -36 29 04.417581300|241.4332680002092 -64.4353221056123|-59.273 -135.037  |9.84     |G3V            |    ~     ~    |    1|  133.103   pc  |  -0.8895     +0.8895    |ST-L    |2020AJ....160...83S
79  |CD-37 999                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 40 04.0351999920 -36 35 46.841707968|242.1383947952176 -65.1764330218089| -8.040 -55.177   |10.79    |~              |    ~     ~    |    1|  258.873   pc  |  -0.8444     +0.8444    |paral   |2020yCat.1350....0G
80  |CPD-37 272                                                                                                                                                                                                                                                                              |High Proper Motion Star           |02 40 33.4293622608 -36 33 41.594396652|241.9996413264737 -65.0899505628927|   83.349 3.541   |10.95    |~              |    ~     ~    |    1|  233.798   pc  |  -0.7106     +0.7106    |paral   |2020yCat.1350....0G
81  |CD-35 925                                                                                                                                                                                                                                                                               |Star                              |02 41 02.9578694520 -35 17 51.791713260|239.0121772739289 -65.2779905629772| 19.382 -11.201   |10.80    |~              |    ~     ~    |    1|  314.189   pc  |  -1.9052     +1.9052    |paral   |2020yCat.1350....0G
82  |CD-36 1018                                                                                                                                                                                                                                                                              |Star                              |02 41 13.5930318888 -35 58 23.112886368|240.5661327382124 -65.0985158961091|-29.753 -36.195   |10.86    |~              |    ~     ~    |    1|  256.647   pc  |  -1.3371     +1.3371    |paral   |2020yCat.1350....0G
83  |CD-37 1024                                                                                                                                                                                                                                                                              |Star                              |02 43 29.0759131392 -36 45 30.339972000|242.1081258273496 -64.4724564173514|  3.319 -10.671   |10.666   |~              |    ~     ~    |    1|  498.468   pc  | -11.7500    +11.7500    |ST-L    |2020AJ....160...83S
