C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1800|HD 17278                                                                                                                                                                                                                                                                                |Star                              |02 44 29.2297192056 -52 47 15.403165872|271.3547132690421 -56.8477495380604|  -9.430 -9.286   |8.04     |F0III/IV       |    ~     ~    |    1|  226.819   pc  |  -1.1833     +1.1833    |paral   |2020yCat.1350....0G
1801|CD-53 523                                                                                                                                                                                                                                                                               |Star                              |02 36 29.3090177544 -52 31 00.501925368|272.4469825541588 -57.9425256485329|  -7.337 -6.271   |10.084   |~              |    ~     ~    |    1|  642.501   pc  | -21.0800    +21.0800    |ST-L    |2020AJ....160...83S
1802|CD-52 541                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 39 11.1060474720 -52 06 39.117094452|271.3604399868075 -57.9015708584596|-49.309 -61.776   |10.71    |~              |    ~     ~    |    1|  180.141   pc  |  -0.4284     +0.4284    |paral   |2020yCat.1350....0G
1803|CD-52 551                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 41 38.1588661104 -52 24 53.093923632|271.3387508182715 -57.4190366558434|  35.125 18.866   |10.65    |~              |    ~     ~    |    1|  566.527   pc  | -15.6700    +15.6700    |ST-L    |2020AJ....160...83S
1804|CD-53 544                                                                                                                                                                                                                                                                               |Eruptive Variable                 |02 41 46.8336541680 -52 59 52.395906048|272.1319848915877 -57.0239280491418| 97.940 -14.129   |10.281   |K6Ve           |    ~     ~    |    1|   43.597   pc  |  -0.0872     +0.0872    |paral   |2020yCat.1350....0G
1805|CD-53 549                                                                                                                                                                                                                                                                               |Star                              |02 42 59.8537459224 -53 22 40.362419244|272.4401398833340 -56.6376593708232|-10.040 -36.278   |10.82    |~              |    ~     ~    |    1|  142.499   pc  |  -0.2010     +0.2010    |paral   |2020yCat.1350....0G
1806|CD-54 554                                                                                                                                                                                                                                                                               |Star                              |02 43 56.3688132312 -53 46 18.647491584|272.8138429105946 -56.2741773928282|   15.350 4.956   |10.834   |~              |    ~     ~    |    1|  379.888   pc  |  -7.1190     +7.1190    |ST-L    |2020AJ....160...83S
1807|CD-52 543                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 40 01.7013403896 -52 15 36.388696248|271.4153260913776 -57.7063175786580|120.010 -39.639   |10.70    |~              |    ~     ~    |    1|   77.877   pc  |  -0.0673     +0.0673    |paral   |2020yCat.1350....0G
1808|TYC 8056-129-1                                                                                                                                                                                                                                                                          |Star                              |02 44 13.2735527328 -51 44 53.939781420|269.9115871749887 -57.5336259137883|   3.329 10.646   |10.742   |~              |    ~     ~    |    1| 1580.240   pc  |-154.5000   +154.5000    |ST-L    |2020AJ....160...83S
1809|TYC 8484-1211-1                                                                                                                                                                                                                                                                         |Star                              |02 38 35.4692486784 -52 38 54.290162940|272.2316808191089 -57.6167008249691|  10.622 -7.631   |10.96    |~              |    ~     ~    |    1| 1273.074   pc  | -16.5313    +16.5313    |paral   |2020yCat.1350....0G
1810|EUVE J0241-52.9                                                                                                                                                                                                                                                                         |Star                              |02 41 45.30 -52 59 37.6                |272.13088 -57.02952                |            ~ ~   |10.7     |MV:e           |    ~     ~    |    0|                |                         |        |                   
1811|HD 15818                                                                                                                                                                                                                                                                                |Star                              |02 30 56.7288532656 -52 00 01.129622040|272.8242873231851 -58.9157531296716|  26.443 27.324   |8.39     |F0IV           |    ~     ~    |    1|  134.528   pc  |  -0.3656     +0.3656    |paral   |2020yCat.1350....0G
1812|CD-52 523                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 33 13.4836694616 -52 10 43.100606820|272.6129669572125 -58.5384710511824|  43.812 67.085   |10.48    |~              |    ~     ~    |    1|  293.419   pc  | -25.1654    +25.1654    |paral   |2020yCat.1350....0G
1813|CD-52 525                                                                                                                                                                                                                                                                               |Star                              |02 33 14.5628667072 -52 17 51.900669528|272.7762014148638 -58.4552879954830|-12.466 -11.189   |9.47     |~              |    ~     ~    |    1|  569.573   pc  |  -4.1525     +4.1525    |paral   |2020yCat.1350....0G
1814|CD-53 510                                                                                                                                                                                                                                                                               |Star                              |02 33 28.6599145680 -52 29 47.727815928|273.0063818018920 -58.2932570425834| -7.322 -13.676   |10.999   |~              |    ~     ~    |    1|  265.076   pc  |  -3.4220     +3.4220    |ST-L    |2020AJ....160...83S
1815|HD 15751                                                                                                                                                                                                                                                                                |Star                              |02 30 14.0822677200 -49 55 42.335369364|269.9422012112040 -60.3944890333504| -0.103 -22.507   |9.16     |G8III/IV       |    ~     ~    |    1|  504.127   pc  | -11.8600    +11.8600    |ST-L    |2020AJ....160...83S
1816|CD-50 744                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 32 31.1082568440 -50 25 24.175034256|270.2088898537706 -59.7936583323127|-17.341 -51.876   |9.62     |~              |    ~     ~    |    1|  223.300   pc  | -11.6100    +11.6100    |ST-L    |2020AJ....160...83S
1817|HD 16049                                                                                                                                                                                                                                                                                |Star                              |02 32 58.0503889416 -49 47 10.991447448|269.1469677538838 -60.1522409442005|    2.522 8.553   |8.74     |F0V            |    ~     ~    |    1|  152.581   pc  |  -0.3283     +0.3283    |paral   |2020yCat.1350....0G
1818|CD-50 757                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 34 43.6493868312 -50 00 17.944707348|269.1203059236498 -59.7945497801340|-52.212 -77.634   |10.33    |~              |    ~     ~    |    1|   77.328   pc  |  -0.0777     +0.0777    |paral   |2020yCat.1350....0G
1819|HD 15773                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 30 22.9172010024 -51 22 38.516600208|272.0558082874112 -59.4061718316947|-41.773 -50.059   |7.42     |F5V            |    ~     ~    |    1|   61.929   pc  |  -0.5504     +0.5504    |paral   |2020yCat.1350....0G
1820|CD-51 599                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 30 42.2084308824 -50 46 42.632465556|271.1165669518433 -59.7738098192388| 247.264 99.165   |10.490   |F5             |    ~     ~    |    1|  148.839   pc  |  -1.6100     +1.6100    |ST-L    |2020AJ....160...83S
1821|CD-51 600                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 30 46.1827025352 -51 26 18.228028884|272.0626640849561 -59.3203291067435|   12.731 0.627   |8.92     |~              |    ~     ~    |    1|  514.615   pc  |  -8.2627     +8.2627    |paral   |2020yCat.1350....0G
1822|HD 15933                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 31 58.1099645640 -51 01 33.991137120|271.2163158907491 -59.4599015783127|   71.035 0.278   |9.552    |G1V            |    ~     ~    |    1|   94.638   pc  |  -0.4414     +0.4414    |ST-L    |2020AJ....160...83S
1823|CD-51 608                                                                                                                                                                                                                                                                               |Star                              |02 32 31.6641629184 -51 17 14.895884292|271.4821598327808 -59.2198567562632| -0.339 -22.809   |9.17     |~              |    ~     ~    |    1|  274.018   pc  |  -0.8785     +0.8785    |paral   |2020yCat.1350....0G
1824|HD 16170                                                                                                                                                                                                                                                                                |Star                              |02 33 54.6040971024 -51 05 36.774818304|270.9179699996189 -59.1870482202622| -7.420 -25.870   |6.242    |F6V            |    ~     ~    |    1|   68.400   pc  |  -2.4254     +2.4254    |paral   |2020yCat.1350....0G
1825|CD-51 612                                                                                                                                                                                                                                                                               |Star                              |02 33 59.9928118920 -51 07 31.934694144|270.9467015874326 -59.1553432949954|-18.695 -10.362   |9.68     |~              |    ~     ~    |    1|  153.946   pc  | -13.4730    +13.4730    |paral   |2020yCat.1350....0G
1826|HD 16346                                                                                                                                                                                                                                                                                |Star                              |02 35 31.5338131440 -50 51 12.226882428|270.2389455798093 -59.1517903025698| 35.392 -19.611   |6.96     |G8III          |    ~     ~    |    1|  190.149   pc  |  -1.7310     +1.7310    |ST-L    |2020AJ....160...83S
1827|HD 15774                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 30 23.6781530016 -51 42 27.940398084|272.5250409320785 -59.1786858812973|  16.011 -2.779   |8.54     |M0III          |    ~     ~    |    1|  597.729   pc  | -12.0046    +12.0046    |paral   |2020yCat.1350....0G
1828|CD-52 516                                                                                                                                                                                                                                                                               |Star                              |02 31 25.7080514376 -51 40 48.167505840|272.2720547392925 -59.0807817807870|-19.380 -21.230   |10.571   |~              |    ~     ~    |    1|  327.993   pc  |  -5.4130     +5.4130    |ST-L    |2020AJ....160...83S
1829|HD 15911                                                                                                                                                                                                                                                                                |Star                              |02 31 45.4214781192 -51 39 41.280518916|272.1781317245019 -59.0560944909158|    2.664 5.960   |9.44     |A0V            |    ~     ~    |    1|  689.227   pc  | -15.3911    +15.3911    |paral   |2020yCat.1350....0G
1830|CPD-52 314                                                                                                                                                                                                                                                                              |Star                              |02 32 23.7834674232 -51 27 03.579430716|271.7454734062835 -59.1252398408173|  16.590 -5.488   |9.76     |F5             |    ~     ~    |    1|  224.396   pc  |  -0.9114     +0.9114    |paral   |2020yCat.1350....0G
1831|CD-52 521                                                                                                                                                                                                                                                                               |Star                              |02 32 33.2307204408 -51 34 28.230459384|271.8909589720792 -59.0239205009467|  24.306 33.719   |9.945    |~              |    ~     ~    |    1|  216.531   pc  |  -2.3380     +2.3380    |ST-L    |2020AJ....160...83S
1832|HD 16135                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 33 43.0902764712 -51 41 01.011712056|271.8120274238182 -58.8168161989222|  61.516 14.448   |9.38     |F5/6V          |    ~     ~    |    1|  220.129   pc  |  -0.6687     +0.6687    |paral   |2020yCat.1350....0G
1833|CD-52 534                                                                                                                                                                                                                                                                               |Star                              |02 36 45.3027451920 -51 29 16.620087768|270.9286671250427 -58.5926122900891|   1.479 29.676   |10.60    |~              |    ~     ~    |    1|  345.171   pc  |  -5.7210     +5.7210    |ST-L    |2020AJ....160...83S
1834|CD-50 780                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 40 07.2432177120 -50 18 25.210439892|268.5193484482776 -58.9321851546342| 14.719 -93.551   |10.09    |~              |    ~     ~    |    1|  103.076   pc  |  -0.1360     +0.1360    |paral   |2020yCat.1350....0G
1835|HD 16931                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 41 06.5662752981 -51 26 27.246209988|270.0300823911738 -58.1028998061611|316.626 119.156   |8.55     |G3V            |    ~     ~    |    1|   47.1411  pc  |  -0.0366     +0.0366    |paral   |2020yCat.1350....0G
1836|CD-51 637                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 41 18.9412783200 -51 20 36.885546924|269.8485846573192 -58.1392165294076|137.141 -21.691   |9.90     |G5             |    ~     ~    |    1|  401.735   pc  |  -2.1142     +2.1142    |paral   |2020yCat.1350....0G
1837|CD-51 645                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 43 09.723744 -51 07 24.09312        |269.182109431 -58.050012455        |     -45.4 80.4   |10.326   |K0             |    ~     ~    |    0|                |                         |        |                   
1838|CD-52 545                                                                                                                                                                                                                                                                               |Star                              |02 40 27.6723850920 -51 43 04.466260416|270.5553425308586 -58.0047611214384|  -2.727 19.462   |10.48    |~              |    ~     ~    |    1|  286.311   pc  |  -0.9099     +0.9099    |paral   |2020yCat.1350....0G
1839|HD 15878                                                                                                                                                                                                                                                                                |Star                              |02 31 26.9853424872 -51 49 21.344924424|272.4701765235121 -58.9810938729425|   27.179 2.447   |8.51     |K1IIICNIa      |    ~     ~    |    1|  354.007   pc  |  -2.3310     +2.3310    |paral   |2020yCat.1350....0G
1840|HD 16077                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 33 13.3641214272 -51 56 17.625337332|272.2743012221848 -58.7018699236654|-50.493 152.837   |8.41     |G9VFe+0.4      |0.0100  0.0    |    1|   38.110   pc  |  -0.1268     +0.1268    |paral   |2020yCat.1350....0G
1841|HD 16216                                                                                                                                                                                                                                                                                |Star                              |02 34 22.0148090016 -51 47 43.358093700|271.8422960709571 -58.6673815549858|  22.111 44.479   |8.93     |K2III          |    ~     ~    |    1|  291.647   pc  |  -1.1398     +1.1398    |paral   |2020yCat.1350....0G
1842|HD 16878                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 40 31.8636400008 -51 47 18.151620540|270.6444915758165 -57.9513933809790|  0.571 -81.300   |8.06     |F5V            |    ~     ~    |    1|   96.457   pc  |  -0.1414     +0.1414    |paral   |2020yCat.1350....0G
1843|CD-50 782                                                                                                                                                                                                                                                                               |Star                              |02 40 41.5234298808 -50 25 38.753933700|268.5942822069646 -58.7862323174153|  15.621 10.924   |9.45     |~              |    ~     ~    |    1|  992.556   pc  | -24.3336    +24.3336    |paral   |2020yCat.1350....0G
1844|CD-50 770                                                                                                                                                                                                                                                                               |Star                              |02 37 59.4067944840 -49 58 30.993882780|268.4227361558620 -59.4056049651541|  24.251 -0.476   |10.92    |~              |    ~     ~    |    1|  433.539   pc  |  -2.0487     +2.0487    |paral   |2020yCat.1350....0G
1845|CD-51 607                                                                                                                                                                                                                                                                               |Star                              |02 32 23.8767993336 -50 30 04.429477800|270.3505577976569 -59.7570176558151|  -23.073 0.624   |10.390   |~              |    ~     ~    |    1|  493.843   pc  | -13.2500    +13.2500    |ST-L    |2020AJ....160...83S
1846|CD-51 610                                                                                                                                                                                                                                                                               |Star                              |02 33 32.4915240408 -50 50 33.705560472|270.6232989706553 -59.3959734206059|  13.901 14.889   |10.16    |~              |    ~     ~    |    1|  631.353   pc  |  -4.4245     +4.4245    |paral   |2020yCat.1350....0G
1847|CD-51 619                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 36 22.8348872760 -50 33 33.148362204|269.6291635730491 -59.2375316683346| 11.762 -13.948   |10.08    |~              |    ~     ~    |    1|  767.908   pc  | -30.1000    +30.1000    |ST-L    |2020AJ....160...83S
1848|CD-51 627                                                                                                                                                                                                                                                                               |Star                              |02 38 21.4991897112 -50 30 43.145794260|269.1697780237826 -59.0243736813716|   31.914 0.025   |10.64    |~              |    ~     ~    |    1|  201.252   pc  |  -1.0004     +1.0004    |paral   |2020yCat.1350....0G
1849|CD-52 542                                                                                                                                                                                                                                                                               |Star                              |02 39 50.2473218736 -51 39 52.447065480|270.5948138560187 -58.1131732709696|  -5.839 -2.124   |9.86     |~              |    ~     ~    |    1|  239.246   pc  |  -0.7269     +0.7269    |paral   |2020yCat.1350....0G
1850|CD-51 633                                                                                                                                                                                                                                                                               |Star                              |02 40 56.5482924288 -51 05 50.457106608|269.5539727522656 -58.3392065275218|  -4.800 37.824   |10.23    |~              |    ~     ~    |    1|  154.454   pc  |  -0.5869     +0.5869    |paral   |2020yCat.1350....0G
1851|CD-51 639                                                                                                                                                                                                                                                                               |Star                              |02 41 59.8601376936 -50 59 42.047216736|269.2049807281501 -58.2731749890440|  -1.874 13.563   |9.85     |~              |    ~     ~    |    1|  630.261   pc  | -15.3600    +15.3600    |ST-L    |2020AJ....160...83S
1852|TYC 8053-764-1                                                                                                                                                                                                                                                                          |Star                              |02 33 38.4758671440 -49 48 25.054425756|269.0388907948661 -60.0555806769635|  7.676 -31.189   |10.83    |~              |    ~     ~    |    1| 1607.976   pc  | -31.5441    +31.5441    |paral   |2020yCat.1350....0G
1853|TYC 8056-767-1                                                                                                                                                                                                                                                                          |Star                              |02 35 37.5619557648 -51 31 30.501052140|271.2040736147434 -58.7008382672699|    5.742 8.767   |10.484   |~              |    ~     ~    |    1| 1299.880   pc  | -79.7200    +79.7200    |ST-L    |2020AJ....160...83S
1854|CD-52 540                                                                                                                                                                                                                                                                               |Star                              |02 39 09.7987340088 -51 41 59.985668580|270.7735104448386 -58.1704299928724|   7.297 15.108   |10.66    |~              |    ~     ~    |    1|  767.460   pc  |  -5.8899     +5.8899    |paral   |2020yCat.1350....0G
1855|TYC 8056-167-1                                                                                                                                                                                                                                                                          |Star                              |02 34 22.5547569501 -52 00 40.858989083|272.1478565315712 -58.5214586534648|   7.748 -2.361   |10.92    |~              |    ~     ~    |    0|                |                         |        |                   
1856|TYC 8056-588-1                                                                                                                                                                                                                                                                          |High Proper Motion Star           |02 35 16.4709741672 -50 49 13.328266332|270.2400496979778 -59.2033800367766|  74.655 -7.474   |10.77    |K3.8           |    ~     ~    |    1|   55.072   pc  |  -0.1687     +0.1687    |ST-L    |2020AJ....160...83S
1857|TYC 8056-869-1                                                                                                                                                                                                                                                                          |Star                              |02 39 38.7157987440 -51 21 33.438055536|270.1851753771928 -58.3312396896103|-16.584 -17.923   |10.776   |~              |    ~     ~    |    1|  179.812   pc  |  -1.6080     +1.6080    |ST-L    |2020AJ....160...83S
1858|TYC 8056-1114-1                                                                                                                                                                                                                                                                         |Star                              |02 36 13.5154893264 -50 54 32.866963416|270.1826683757950 -59.0315785374866|  19.573 20.724   |10.84    |~              |    ~     ~    |    1|  584.419   pc  |  -4.0302     +4.0302    |paral   |2020yCat.1350....0G
1859|* iot Hor                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 42 33.4666679022 -50 48 01.055138166|268.8095911002851 -58.3236241204180|333.716 219.423   |5.40     |F8V            |    ~     ~    |    1|   17.3572  pc  |  -0.0115     +0.0115    |paral   |2020yCat.1350....0G
1860|CD-50 750                                                                                                                                                                                                                                                                               |Star                              |02 33 20.6178196560 -49 32 00.619998648|268.6771598909454 -60.2670108450406|-35.202 -30.852   |10.30    |~              |    ~     ~    |    1|  230.218   pc  |  -0.6943     +0.6943    |paral   |2020yCat.1350....0G
1861|HD 15801                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 30 46.8067088952 -49 22 16.208011380|268.9659674491271 -60.6908928296858|-19.202 -69.239   |10.33    |A0III/IV       |    ~     ~    |    1|  958.727   pc  | -49.0600    +49.0600    |ST-L    |2020AJ....160...83S
1862|CD-49 702                                                                                                                                                                                                                                                                               |Star                              |02 32 02.1444944904 -49 11 49.773282288|268.4253950672647 -60.6452418825700|  18.757 12.137   |9.943    |G5             |    ~     ~    |    1|  257.131   pc  |  -3.9030     +3.9030    |ST-L    |2020AJ....160...83S
1863|CD-49 695                                                                                                                                                                                                                                                                               |Star                              |02 30 20.4387979440 -49 25 00.499611972|269.1316392775696 -60.7158699464201|    2.115 4.276   |10.729   |~              |    ~     ~    |    1| 2360.860   pc  |-306.9000   +306.9000    |ST-L    |2020AJ....160...83S
1864|CD-56 526                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 33 46.5277191576 -56 08 04.080303096|277.6640007459444 -55.6839208873596|-13.456 -131.510  |9.69     |~              |    ~     ~    |    1|  134.715   pc  |  -0.2250     +0.2250    |paral   |2020yCat.1350....0G
1865|HD 16625                                                                                                                                                                                                                                                                                |Star                              |02 37 44.5895348112 -56 35 01.463551224|277.5059948855663 -54.9798502720610|  8.095 -26.120   |9.46     |F6V            |    ~     ~    |    1|  225.129   pc  |  -5.4383     +5.4383    |paral   |2020yCat.1350....0G
1866|CD-57 533                                                                                                                                                                                                                                                                               |Star                              |02 41 30.8860510080 -57 21 18.986723460|277.7981988798321 -54.0684605247380|  -1.604 12.839   |10.46    |~              |    ~     ~    |    1|  364.193   pc  |  -2.1089     +2.1089    |paral   |2020yCat.1350....0G
1867|HD 17344                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 44 38.1347746776 -57 29 25.991810808|277.4560918653223 -53.6759190525837|  48.471 10.149   |9.64     |F5/6(V)        |    ~     ~    |    1|  246.306   pc  |  -6.2980     +6.2980    |ST-L    |2020AJ....160...83S
1868|CD-56 532                                                                                                                                                                                                                                                                               |Star                              |02 34 48.9275247048 -56 15 11.127684456|277.6205465365185 -55.4984616351775|   22.160 4.858   |10.890   |~              |    ~     ~    |    1|  349.275   pc  |  -6.1350     +6.1350    |ST-L    |2020AJ....160...83S
1869|TYC 8487-173-1                                                                                                                                                                                                                                                                          |High Proper Motion Star           |02 38 30.4740785616 -56 46 58.922138820|277.6151167487423 -54.7635104097110|   9.679 56.255   |10.46    |~              |    ~     ~    |    1|   46.380   pc  |  -0.0269     +0.0269    |paral   |2020yCat.1350....0G
1870|CD-55 573                                                                                                                                                                                                                                                                               |Star                              |02 41 22.5628613448 -55 27 09.232255944|275.4735957121014 -55.4178417857089|   6.771 11.636   |10.64    |~              |    ~     ~    |    1|  635.324   pc  | -11.0596    +11.0596    |paral   |2020yCat.1350....0G
1871|HD 17233                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 43 52.1003919912 -54 47 27.537270648|274.1891049278869 -55.6066636797958|  65.431 92.320   |9.04     |G8wG0IV/V      |    ~     ~    |    1|  165.579   pc  |  -0.3729     +0.3729    |paral   |2020yCat.1350....0G
1872|CD-55 583                                                                                                                                                                                                                                                                               |Star                              |02 44 05.8719714168 -54 57 26.456652720|274.3680389197534 -55.4705888705606|  36.952 30.028   |10.06    |~              |    ~     ~    |    1|  211.115   pc  |  -2.2200     +2.2200    |ST-L    |2020AJ....160...83S
1873|HD 16447                                                                                                                                                                                                                                                                                |Star                              |02 36 13.9253868984 -55 31 02.781554700|276.4620463616034 -55.8913196737553| 20.769 -35.159   |8.69     |F2IV           |    ~     ~    |    1|  149.145   pc  |  -0.3559     +0.3559    |paral   |2020yCat.1350....0G
1874|HD 16573                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 37 19.8879060696 -55 29 11.109549048|276.2260665174777 -55.8038921050232|  64.498 -9.313   |9.20     |G2IV           |    ~     ~    |    1|  117.269   pc  |  -0.6612     +0.6612    |ST-L    |2020AJ....160...83S
1875|HD 16991                                                                                                                                                                                                                                                                                |Star                              |02 41 22.7648467608 -55 58 33.395506356|276.1342552723708 -55.0544915197400|  35.833 31.741   |8.87     |F6IV           |    ~     ~    |    1|  161.640   pc  |  -0.3632     +0.3632    |paral   |2020yCat.1350....0G
1876|HD 17014                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 41 36.5847489648 -56 17 49.830720864|276.4953214521863 -54.8071414452056| 52.166 -23.275   |7.07     |K4III          |    ~     ~    |    1|  181.646   pc  |  -0.7853     +0.7853    |paral   |2020yCat.1350....0G
1877|CD-56 551                                                                                                                                                                                                                                                                               |Star                              |02 42 25.9199670744 -56 07 15.873955356|276.1377916671874 -54.8479534479489|    2.046 1.364   |9.35     |~              |    ~     ~    |    1|  891.424   pc  |  -8.5821     +8.5821    |paral   |2020yCat.1350....0G
1878|HD 17111                                                                                                                                                                                                                                                                                |Star                              |02 42 31.1777765328 -56 38 24.743693112|276.7664420475908 -54.4772260080265|  22.006 -1.574   |8.02     |K0III          |    ~     ~    |    1|  312.334   pc  |  -1.4926     +1.4926    |paral   |2020yCat.1350....0G
1879|CD-57 542                                                                                                                                                                                                                                                                               |Star                              |02 44 39.1391473512 -57 10 23.500408512|277.0697620824276 -53.8964343511425|    6.230 4.155   |10.03    |~              |    ~     ~    |    1|  401.880   pc  |  -8.8860     +8.8860    |ST-L    |2020AJ....160...83S
1880|CD-57 543                                                                                                                                                                                                                                                                               |Star                              |02 44 38.6913227136 -57 21 20.147499144|277.2919622643063 -53.7696405402501| -24.828 -9.810   |10.295   |~              |    ~     ~    |    1|  139.782   pc  |  -0.9630     +0.9630    |ST-L    |2020AJ....160...83S
1881|CD-56 527                                                                                                                                                                                                                                                                               |Star                              |02 33 55.6284655704 -55 48 54.610131996|277.2479155814336 -55.9022896931668|  -4.272 -0.530   |10.03    |~              |    ~     ~    |    1| 1484.340   pc  | -24.2359    +24.2359    |paral   |2020yCat.1350....0G
1882|CD-56 542                                                                                                                                                                                                                                                                               |Star                              |02 38 38.7308412264 -55 49 59.213147340|276.4276104556852 -55.4276153750658|   24.377 1.494   |10.58    |~              |    ~     ~    |    1|  418.883   pc  |  -2.0354     +2.0354    |paral   |2020yCat.1350....0G
1883|CD-55 571                                                                                                                                                                                                                                                                               |Star                              |02 40 56.5023935832 -55 17 02.218695972|275.3333017123075 -55.5788511820666|   10.259 0.658   |10.92    |~              |    ~     ~    |    1|  487.424   pc  |  -3.0648     +3.0648    |paral   |2020yCat.1350....0G
