C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
98  |BD-03 3623                                                            |Horizontal Branch Star                |14 25 02.5236126360 -04 24 15.038867808|342.1289112022954 +51.2017084395102|   9.077 -3.928   |9.79     |G0             |    ~     ~          
99  |HD 126498                                                             |Star                                  |14 26 06.8879023344 -04 27 17.941616244|342.4341840289558 +51.0084867030082| 15.219 -23.238   |8.43     |K0III/IV       |    ~     ~          
100 |BD-03 3611                                                            |Star                                  |14 21 14.5044080904 -04 15 01.649537856|341.0021005742805 +51.8572834374786|  -30.996 2.369   |10.86    |~              |    ~     ~          
101 |BD-03 3612                                                            |Star                                  |14 21 16.2546945888 -04 00 37.254565944|341.2268557819942 +52.0535496922145| -22.412 -5.955   |10.81    |~              |    ~     ~          
102 |BD-02 3827                                                            |Spectroscopic Binary                  |14 21 39.5239814376 -03 20 31.011380952|341.9673162290116 +52.5546791760026|  0.535 -26.817   |9.826    |~              |    ~     ~          
103 |BD-02 3829                                                            |Star                                  |14 21 46.1064073536 -03 16 36.352699104|342.0648626604253 +52.5932034146051|   -1.523 0.655   |9.90     |~              |    ~     ~          
104 |BD-02 3832                                                            |Long-Period Variable Candidate        |14 22 02.9319595752 -03 20 07.010881980|342.1058315304277 +52.5054418563646|  -2.260 -3.340   |10.58    |~              |    ~     ~          
105 |BD-03 3615                                                            |Star                                  |14 22 13.5775013880 -04 11 22.954385868|341.3873322684200 +51.7722553456674|-33.218 -21.315   |9.93     |~              |    ~     ~          
106 |BD-03 3616                                                            |Long-Period Variable                  |14 22 16.4861693808 -04 02 07.137092256|341.5424736777869 +51.8938794948801|  -3.630 -4.630   |10.23    |~              |    ~     ~          
107 |BD-02 3838                                                            |Star                                  |14 23 49.5338310360 -02 52 39.795303180|343.1342608831635 +52.6292072119861|   4.816 -1.195   |10.70    |~              |    ~     ~          
