C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
4235|HD 125866                                                             |Star                                  |14 23 16.4429021568 -42 15 10.762415892|320.5495336690507 +17.4554537090464| -12.675 -8.379   |7.074    |B9IV           |    ~     ~          
4236|CD-41 8671                                                            |Star                                  |14 20 26.8660824480 -42 29 01.427093664|319.9520073353298 +17.4272553619839|-26.421 -24.370   |10.861   |G:wl:          |    ~     ~          
4237|CD-42 9186                                                            |High Proper Motion Star               |14 17 00.6994356312 -42 38 11.608318032|319.2743052708939 +17.5033677273782|-36.909 -47.075   |10.33    |~              |    ~     ~          
4238|CD-41 8632                                                            |Star                                  |14 17 53.8135457712 -42 24 26.367874236|319.5173716523844 +17.6629381335163|   -8.680 1.700   |10.36    |~              |    ~     ~          
4239|TYC 7812-43-1                                                         |Star                                  |14 18 07.2040219032 -42 40 43.141157076|319.4599005989576 +17.3940436851254|  -0.083 -4.237   |10.21    |~              |    ~     ~          
4240|CD-41 8650                                                            |Star                                  |14 18 55.3028495088 -42 26 17.207721852|319.6923806717887 +17.5686290367039|  11.459 -1.779   |10.465   |~              |    ~     ~          
4241|CD-41 8651                                                            |Star                                  |14 18 59.4921405072 -42 31 38.910908676|319.6724442269322 +17.4803688747942|  -8.551 -6.380   |10.77    |~              |    ~     ~          
4242|CD-41 8658                                                            |Star                                  |14 19 25.2257682024 -42 15 57.278368080|319.8460205196080 +17.6978745142853|   1.996 -1.777   |10.06    |~              |    ~     ~          
4243|CD-41 8669                                                            |Star                                  |14 20 18.4448452896 -42 11 37.325497992|320.0340207902830 +17.7077471483354|-31.499 -16.094   |10.01    |~              |    ~     ~          
4244|HD 124523                                                             |High Proper Motion Star               |14 15 14.9760020088 -42 48 16.756312176|318.8954627962581 +17.4541742078020|-273.760 34.831   |9.46     |G8V+G          |    ~     ~          
4245|TYC 7812-795-1                                                        |Star                                  |14 15 36.4982145792 -42 42 35.697743316|318.9937356859712 +17.5214442079918| -11.386 -0.951   |10.75    |~              |    ~     ~          
4246|HD 125950                                                             |Star                                  |14 23 45.8151181416 -42 17 12.207791580|320.6250137713956 +17.3910087247961|   -8.732 6.945   |7.67     |K3III          |    ~     ~          
4247|HD 126019                                                             |Star                                  |14 24 06.0765189912 -42 22 59.836925316|320.6488117497062 +17.2783008051670|-34.096 -19.594   |9.15     |K1/2IV/V       |    ~     ~          
4248|HD 126340                                                             |Star                                  |14 25 59.7162474960 -42 16 28.417313280|321.0314865429808 +17.2497248247961|   -4.976 0.360   |9.27     |K0III          |    ~     ~          
4249|HD 126386                                                             |High Proper Motion Star               |14 26 13.4434908576 -42 19 06.959502084|321.0553182502868 +17.1930575436706|-112.790 -52.831  |6.333    |K2III          |    ~     ~          
4250|HD 126855                                                             |Star                                  |14 29 10.7492604480 -42 23 16.135799244|321.5561616670196 +16.9217661383461|  -0.229 -5.778   |10.42    |A1IV           |    ~     ~          
4251|HD 126951                                                             |Star                                  |14 29 45.8212891632 -42 18 48.130414272|321.6903424292278 +16.9487654253683|   8.466 -0.568   |9.80     |A5V            |    ~     ~          
4252|HD 126952                                                             |Star                                  |14 29 51.2807506896 -42 33 22.558118004|321.6083159566275 +16.7182951527654|  -3.703 -4.076   |8.53     |G8/K0III       |    ~     ~          
4253|HD 125084                                                             |Star                                  |14 18 21.6645816264 -42 57 29.336299596|319.4024935977678 +17.1164339490461|  0.659 -24.458   |10.21    |F7/G0          |    ~     ~          
4254|HD 125114                                                             |Star                                  |14 18 31.7560643424 -43 00 25.401630744|319.4150435987219 +17.0599166380042|  -6.232 -2.954   |9.63     |K2III          |    ~     ~          
4255|HD 125202                                                             |Star                                  |14 18 59.7817938240 -43 09 31.038503472|319.4438706939386 +16.8882017506497|  8.249 -13.769   |9.65     |G8(IV)         |    ~     ~          
4256|HR 5362                                                               |Double or Multiple Star               |14 20 09.70145 -43 03 31.8356          |319.68857373 +16.90748520          |    -10.26 7.72   |5.56     |G8III          |    ~     ~          
4257|HD 125478                                                             |Star                                  |14 20 45.9568087320 -43 17 20.622925680|319.7116139121594 +16.6532196898478|  -4.704 -9.403   |10.12    |A9V            |    ~     ~          
4258|HD 125496                                                             |Star                                  |14 20 47.5207772496 -42 45 00.921055788|319.9153387073791 +17.1555546058567| -29.497 -4.690   |9.14     |G0V            |    ~     ~          
4259|HD 125566                                                             |High Proper Motion Star               |14 21 19.8077690568 -43 29 18.600108432|319.7380079822161 +16.4304161316542|-272.994 -24.359  |8.15     |G6V            |    ~     ~          
4260|HD 125582                                                             |Star                                  |14 21 24.0862727640 -43 18 03.634088760|319.8200571290805 +16.6010985969298|-15.555 -25.802   |9.18     |A(3/5)mA8-F0   |    ~     ~          
4261|HD 125626                                                             |Star                                  |14 21 47.9890255032 -43 08 08.857233672|319.9522693930185 +16.7296349441747| -41.850 -7.789   |9.76     |F3V            |    ~     ~          
4262|HD 125635                                                             |Star                                  |14 21 50.2826722224 -43 20 23.295902964|319.8830696763337 +16.5365737811714| -44.916 -5.604   |9.58     |A5/7II         |    ~     ~          
4263|HD 125684                                                             |Star                                  |14 22 07.2350960544 -43 11 08.220141096|319.9907052155541 +16.6621914457029|  -4.047 -3.858   |10.39    |A3III          |    ~     ~          
4264|HD 125700                                                             |Star                                  |14 22 18.5110228872 -43 18 10.015391880|319.9802402197943 +16.5405425825850| -9.305 -14.616   |9.87     |K0/1III        |    ~     ~          
4265|HD 125719                                                             |Star                                  |14 22 24.7797198648 -43 30 36.482858640|319.9211937774571 +16.3401735569304| -13.109 -8.218   |10.21    |F3V            |    ~     ~          
4266|HD 125761                                                             |Star                                  |14 22 40.7998337400 -42 55 07.660307820|320.1904409892264 +16.8744744672536|  10.279 -7.231   |9.76     |K0III          |    ~     ~          
4267|HD 125807                                                             |Star                                  |14 22 58.1536441728 -43 29 44.630475540|320.0246643967754 +16.3173450102309|  -25.321 2.777   |10.01    |G5III          |    ~     ~          
4268|HD 125826                                                             |Star                                  |14 23 08.2254304128 -42 40 45.644017332|320.3627005468065 +17.0674015925952|  -4.614 -0.136   |10.310   |G6V            |    ~     ~          
4269|HD 125845                                                             |Star                                  |14 23 09.2050427424 -43 08 34.688289264|320.1901268291055 +16.6341849547508|  -3.672 -8.014   |10.51    |F3/5(V)        |    ~     ~          
4270|HD 125893                                                             |Star                                  |14 23 26.6469538896 -42 48 42.176345400|320.3673653093931 +16.9235986585475|   7.258 11.092   |10.070   |G8(III)        |    ~     ~          
4271|HD 125911                                                             |Star                                  |14 23 32.0153784888 -42 49 51.553801884|320.3760145978651 +16.8996802089803|-28.840 -38.367   |9.41     |G8V            |    ~     ~          
4272|HD 125936                                                             |Double or Multiple Star               |14 23 41.5 -42 46 21                   |320.4265 +16.9436                  |            ~ ~   |10.2     |F5V            |    ~     ~          
4273|HD 126092                                                             |Star                                  |14 24 33.9746184384 -42 35 38.123476188|320.6512809728531 +17.0509042510011| -5.886 -20.585   |9.48     |F6V            |    ~     ~          
4274|HD 126258                                                             |Star                                  |14 25 34.4302551360 -43 30 31.507621884|320.4776235815833 +16.1327021986073| -14.476 -2.517   |8.88     |K3III          |    ~     ~          
4275|HD 126372                                                             |Star                                  |14 26 14.1312721752 -43 24 28.264017564|320.6326994789417 +16.1818213549504|   7.722 -5.903   |9.48     |K1/2III        |    ~     ~          
4276|HD 126486                                                             |Star                                  |14 27 01.0661651328 -42 34 47.214055884|321.0946449364539 +16.8960062146972|-15.608 -30.239   |10.17    |F8/G0V         |    ~     ~          
4277|HD 126545                                                             |Star                                  |14 27 19.2244168848 -43 33 47.731962816|320.7620721907881 +15.9640574456299|  -3.770 -6.222   |9.93     |K0(III)        |    ~     ~          
4278|HD 126687                                                             |Star                                  |14 28 12.4870449864 -42 35 08.078267868|321.3042267678366 +16.8076245945824| -15.018 -8.644   |10.51    |A7/9           |    ~     ~          
4279|HD 126689                                                             |Star                                  |14 28 12.4526461224 -43 21 54.302115384|320.9950419356893 +16.0867223561400| -6.406 -10.040   |9.72     |F2V            |    ~     ~          
4280|HD 126688                                                             |Star                                  |14 28 12.9735260208 -42 45 19.328451876|321.2381420576278 +16.6500615931610| 15.441 -40.661   |9.26     |K1(III)        |    ~     ~          
4281|HD 126744                                                             |Star                                  |14 28 29.9339655240 -42 45 02.037144888|321.2901229552878 +16.6347201797586| -10.754 -3.983   |8.56     |K0/1(III)      |    ~     ~          
4282|HD 125701                                                             |Star                                  |14 22 17.9095069920 -43 39 16.606014120|319.8471076668256 +16.2127119014704|  1.238 -16.135   |9.14     |K3III          |    ~     ~          
4283|HD 125912                                                             |Star                                  |14 23 37.8770562 -43 57 42.857587      |319.9653951745 +15.8394540385      |  -29.41 -29.20   |8.13     |F7V            |    ~     ~          
4284|CD-43 9026                                                            |High Proper Motion Star               |14 24 38.7479035368 -44 06 30.621629844|320.0864217410140 +15.6365532938921|-132.724 -84.319  |10.20    |K5             |    ~     ~          
4285|HD 126177                                                             |Star                                  |14 25 04.6044742848 -43 41 15.121353336|320.3219411636056 +15.9997289893851|  7.636 -45.373   |9.35     |G6IV(w)        |    ~     ~          
4286|HD 126238                                                             |Chemically Peculiar Star              |14 25 29.9571431040 -43 38 36.948515460|320.4126896701599 +16.0124018388868|26.385 -106.302   |7.68     |G3/8wF0/2      |    ~     ~          
4287|HD 126317                                                             |Star                                  |14 25 55.0493275752 -43 56 44.019652308|320.3694542395987 +15.7039412311761|  43.232 -5.929   |9.51     |G8/K0III/IV    |    ~     ~          
4288|HD 126353                                                             |Star                                  |14 26 11.6205891264 -44 03 52.288751700|320.3715421822744 +15.5750427754685|-10.909 -19.337   |10.10    |F5V            |    ~     ~          
4289|HD 126373                                                             |Star                                  |14 26 17.4654273168 -44 03 51.767067348|320.3884650427456 +15.5686784658766| -8.787 -17.883   |10.18    |F5/6(V)        |    ~     ~          
4290|HD 126433                                                             |Star                                  |14 26 39.5490515568 -43 46 05.079872712|320.5669948729250 +15.8189734743322|-20.607 -27.620   |9.61     |G8V            |    ~     ~          
4291|HD 126590                                                             |Star                                  |14 27 39.6770509344 -43 48 39.206145960|320.7245106107314 +15.7114447329409|-29.005 -26.889   |10.00    |F0V            |    ~     ~          
4292|HD 126709                                                             |Star                                  |14 28 22.9486727568 -44 04 12.048186216|320.7476274055568 +15.4224752223142|  -5.436 -9.448   |9.84     |G8/K0(III)     |    ~     ~          
4293|HD 126822                                                             |Star                                  |14 29 00.8565716472 -43 41 29.121098136|321.0064469590271 +15.7292887831553| -10.753 -0.533   |8.97     |B8IV/V         |    ~     ~          
4294|HD 126856                                                             |Star                                  |14 29 16.3773367992 -43 39 49.883380488|321.0622970830870 +15.7368767656536| -15.272 -7.393   |10.20    |A9/F2V         |    ~     ~          
4295|CD-43 9089                                                            |Long-Period Variable Candidate        |14 29 32.0942836104 -43 46 48.869286600|321.0613789927405 +15.6112400178784|-12.912 -49.982   |8.09     |M6III          |    ~     ~          
4296|V* RW Lup                                                             |Mira Variable                         |14 26 21.2619651744 -44 09 11.198952936|320.3651892829986 +15.4820801485057| -16.129 -2.182   |9.90     |M3/5           |    ~     ~          
4297|IRAS 14263-4318                                                       |Long-Period Variable                  |14 29 31.6911697176 -43 31 43.359410064|321.1604979183269 +15.8439767838015| -17.102 -2.910   |10.91    |~              |    ~     ~          
4298|CD-41 8686                                                            |Star                                  |14 21 01.1035716360 -42 31 43.153101696|320.0383878229749 +17.3479903008619|   -2.282 2.368   |10.201   |~              |    ~     ~          
4299|CD-42 9248                                                            |Star                                  |14 21 08.9871332160 -43 20 36.992649948|319.7596366939806 +16.5775075312255| -11.995 -5.954   |10.25    |~              |    ~     ~          
4300|CD-43 8994                                                            |Star                                  |14 21 37.1328462696 -43 38 13.235794368|319.7340140793310 +16.2730099514718|  -4.429 -4.284   |10.427   |~              |    ~     ~          
4301|CD-43 9052                                                            |Star                                  |14 26 21.9887936760 -43 53 28.237488108|320.4684202589645 +15.7244195566312| -8.205 -16.869   |10.01    |~              |    ~     ~          
4302|CD-42 9337                                                            |Star                                  |14 27 35.5814900328 -43 27 41.128668756|320.8496073378556 +16.0397751649351|  -9.570 -5.371   |10.62    |~              |    ~     ~          
4303|CD-42 9350                                                            |Star                                  |14 28 14.0352616800 -42 52 58.746749124|321.1905889946505 +16.5308161109645| -25.308 -5.669   |10.420   |~              |    ~     ~          
4304|CD-42 9355                                                            |Star                                  |14 28 41.2778545032 -42 38 43.064019024|321.3656299537714 +16.7187247188257|  -1.123 -8.317   |10.541   |~              |    ~     ~          
4305|CD-42 9358                                                            |Star                                  |14 28 49.1267921040 -43 28 11.398958184|321.0603552479313 +15.9476136624201|  6.539 -11.009   |10.29    |~              |    ~     ~          
4306|CD-43 9087                                                            |Star                                  |14 29 17.7982137744 -43 44 30.193140984|321.0354418215083 +15.6633057197181| -11.647 -8.728   |10.09    |~              |    ~     ~          
4307|CD-41 8810                                                            |Star                                  |14 29 19.7996505384 -42 31 13.672910676|321.5296360820304 +16.7886290644541|    0.134 0.578   |10.52    |~              |    ~     ~          
4308|HD 124873                                                             |High Proper Motion Star               |14 17 04.3372646160 -42 51 45.305295084|319.2046662122877 +17.2870440768121|-71.986 -47.517   |8.52     |F8/G0V         |    ~     ~          
4309|HD 125085                                                             |Star                                  |14 18 18.3687058824 -43 14 33.127326924|319.2902294363562 +16.8529032966140|-24.987 -11.770   |9.25     |F5V            |    ~     ~          
4310|HD 125133                                                             |High Proper Motion Star               |14 18 36.263952 -43 19 54.48900        |319.311324814 +16.750400844        |    -48.7 -54.1   |10.294   |G6V            |    ~     ~          
4311|HD 125223                                                             |Star                                  |14 19 06.8546134272 -43 34 27.123600036|319.3144672752321 +16.4909600553090|  19.050 -2.769   |9.44     |K1III          |    ~     ~          
4312|HD 126093                                                             |High Proper Motion Star               |14 24 40.8128242176 -44 18 40.085661384|320.0155121927064 +15.4456886846394|-37.087 -41.684   |6.43     |K0/1III        |    ~     ~          
4313|HD 126196                                                             |Star                                  |14 25 18.2741417112 -44 23 12.161721192|320.0945056722684 +15.3344680091796|  -8.629 -3.036   |8.59     |K4III          |    ~     ~          
4314|CD-42 9192                                                            |Star                                  |14 17 16.8133590096 -42 58 48.394271820|319.2002418585267 +17.1635802988159| -17.751 -8.036   |10.143   |~              |    ~     ~          
4315|TYC 7812-292-1                                                        |Star                                  |14 17 57.0849106248 -42 27 36.287527824|319.5082342596679 +17.6099426699016|  -3.061 -2.802   |10.676   |~              |    ~     ~          
4316|TYC 7812-372-1                                                        |Star                                  |14 19 15.2108160408 -42 33 28.432689660|319.7087533729856 +17.4350439501713|  -5.835 -1.605   |10.78    |~              |    ~     ~          
4317|TYC 7812-426-1                                                        |Star                                  |14 19 47.8806272568 -42 13 39.221169888|319.9288288349994 +17.7092893716057|  -20.126 2.072   |10.51    |~              |    ~     ~          
4318|TYC 7812-822-1                                                        |Star                                  |14 17 57.1220980248 -42 54 29.372800284|319.3469242563789 +17.1891326729892|   0.119 -0.021   |10.78    |~              |    ~     ~          
4319|TYC 7812-915-1                                                        |Star                                  |14 18 33.6304246824 -42 24 55.024431732|319.6351161861687 +17.6131754914904|  -14.315 0.544   |10.760   |~              |    ~     ~          
4320|TYC 7812-1138-1                                                       |Star                                  |14 16 19.9705405944 -42 59 50.153435628|319.0235489351388 +17.2061786247487|  -1.715 -3.391   |10.44    |~              |    ~     ~          
4321|TYC 7812-1154-1                                                       |Star                                  |14 18 19.5681617928 -42 39 38.845375416|319.5036143818898 +17.3977482135239| -15.717 -3.062   |10.91    |~              |    ~     ~          
4322|TYC 7812-1329-1                                                       |Star                                  |14 16 19.3736121120 -42 56 36.841882632|319.0407190046252 +17.2573431675122|  -3.021 -2.948   |10.72    |~              |    ~     ~          
4323|TYC 7813-106-1                                                        |Star                                  |14 20 39.9867634272 -42 40 09.486927372|319.9227419089946 +17.2394330270105| -7.689 -10.868   |10.887   |~              |    ~     ~          
4324|TYC 7813-191-1                                                        |Star                                  |14 22 16.4006181624 -42 22 14.000381040|320.3241656877198 +17.4128325693047|-18.933 -11.601   |10.70    |~              |    ~     ~          
4325|TYC 7813-331-1                                                        |High Proper Motion Star               |14 23 34.4556166632 -42 15 27.487773072|320.6019824249802 +17.4308814398935|-45.567 -22.336   |10.85    |~              |    ~     ~          
4326|TYC 7813-378-1                                                        |Star                                  |14 27 54.0561157320 -43 01 00.554493504|321.0787959448017 +16.4301543604271|  -41.429 0.136   |10.81    |~              |    ~     ~          
4327|TYC 7813-416-1                                                        |High Proper Motion Star               |14 24 02.7930071040 -42 04 37.329870576|320.7566849874332 +17.5669173539930|-46.862 -19.196   |10.27    |~              |    ~     ~          
4328|TYC 7813-610-1                                                        |Star                                  |14 28 59.5630736856 -42 42 32.411815236|321.3941653816013 +16.6384197839094| -21.310 -8.101   |10.55    |~              |    ~     ~          
4329|TYC 7813-743-1                                                        |Star                                  |14 29 34.4200140336 -43 02 48.689657592|321.3612442670655 +16.2856074270226|   3.192 -0.515   |10.702   |~              |    ~     ~          
4330|TYC 7813-788-1                                                        |Star                                  |14 22 20.0881675632 -42 17 09.145318560|320.3672534019166 +17.4877356312153|  2.468 -20.384   |10.72    |~              |    ~     ~          
4331|TYC 7813-2300-1                                                       |Star                                  |14 20 48.9317638464 -42 09 26.382806784|320.1399605441851 +17.7084154645235|  8.272 -33.780   |10.58    |~              |    ~     ~          
4332|TYC 7813-2553-1                                                       |Star                                  |14 24 49.9901444808 -42 00 23.472891648|320.9263575100645 +17.5786486965642|  12.991 -0.917   |10.731   |~              |    ~     ~          
4333|TYC 7816-1515-1                                                       |Star                                  |14 19 36.0411071856 -43 38 57.026563512|319.3734073463782 +16.3900738033215|-16.860 -12.322   |10.46    |~              |    ~     ~          
4334|GSC 07817-00075                                                       |Double or Multiple Star               |14 20 36.4674429456 -43 20 46.972561776|319.6624239721907 +16.6097269984620|  -3.003 -6.423   |10.359   |~              |    ~     ~          
4335|TYC 7817-398-1                                                        |Star                                  |14 26 15.1635808968 -44 14 50.574914268|320.3113216731239 +15.4013158191009| -10.273 -5.586   |10.55    |~              |    ~     ~          
4336|TYC 7817-460-1                                                        |Star                                  |14 23 17.0601396648 -44 11 50.712794556|319.8166083415159 +15.6423710467730|  -6.640 -3.530   |10.97    |~              |    ~     ~          
4337|TYC 7817-655-1                                                        |Star                                  |14 21 03.5690244576 -43 15 45.504063972|319.7735307787280 +16.6590467358165| -7.973 -10.462   |10.31    |~              |    ~     ~          
4338|TYC 7817-658-1                                                        |High Proper Motion Star               |14 25 15.6591827712 -44 20 54.277210860|320.1015878913020 +15.3729519352924| -55.604 -4.067   |10.94    |~              |    ~     ~          
4339|TYC 7817-999-1                                                        |Star                                  |14 21 34.5242203464 -43 46 06.795819480|319.6776934381330 +16.1528394293910| -11.943 -4.005   |10.9     |~              |    ~     ~          
4340|TYC 7817-1071-1                                                       |Star                                  |14 22 07.5773493984 -43 27 36.507136464|319.8892434550967 +16.4054740118435|   -2.581 1.984   |10.92    |~              |    ~     ~          
4341|TYC 7817-1159-1                                                       |Star                                  |14 25 56.5554848928 -43 53 07.850294916|320.3969304514213 +15.7580396208363|   -7.519 6.465   |10.50    |~              |    ~     ~          
4342|TYC 7817-1169-1                                                       |High Proper Motion Star               |14 23 05.1802153776 -44 00 27.577838484|319.8532026753080 +15.8321909469471| 51.485 -72.098   |10.72    |~              |    ~     ~          
4343|TYC 7817-1467-1                                                       |Star                                  |14 24 08.9374980600 -43 35 51.782825040|320.1936356261316 +16.1447801785570|-36.819 -22.333   |10.34    |~              |    ~     ~          
4344|TYC 7817-1473-1                                                       |Star                                  |14 29 26.2638685488 -43 25 46.905987504|321.1842671680005 +15.9417038818432|  12.385 -5.809   |10.826   |~              |    ~     ~          
4345|TYC 7817-1667-1                                                       |Star                                  |14 22 49.4263488984 -43 21 10.280204604|320.0526672846467 +16.4601352741626|-10.310 -19.537   |10.826   |~              |    ~     ~          
4346|TYC 7817-1693-1                                                       |Star                                  |14 21 17.9170723896 -43 22 53.140897056|319.7720376894920 +16.5325548901033|  -19.357 1.849   |10.47    |~              |    ~     ~          
4347|TYC 7817-1789-1                                                       |Star                                  |14 24 53.9568967560 -43 36 26.893977516|320.3214999722462 +16.0859872981698|  -20.600 9.115   |10.33    |~              |    ~     ~          
4348|TYC 7817-1815-1                                                       |Star                                  |14 22 29.5743991728 -44 01 53.829660216|319.7407604008099 +15.8481360672713|   4.184 -0.212   |10.38    |~              |    ~     ~          
4349|TYC 7817-1828-1                                                       |Star                                  |14 24 49.5637573944 -44 20 51.015535944|320.0269023845377 +15.4023011042810|  -3.129 -4.793   |10.31    |~              |    ~     ~          
4350|TYC 7817-1899-1                                                       |Star                                  |14 24 51.1684091232 -43 58 39.248540688|320.1721671778745 +15.7447836928949|-12.681 -10.481   |10.54    |~              |    ~     ~          
4351|TYC 7817-1941-1                                                       |Star                                  |14 25 22.9989971856 -44 05 19.584077244|320.2218393868796 +15.6063244372830|  12.896 -2.434   |10.668   |~              |    ~     ~          
4352|TYC 7817-2101-1                                                       |Star                                  |14 28 46.7308864536 -44 01 33.946932720|320.8332795131013 +15.4360574265562|  -6.393 -1.923   |10.69    |~              |    ~     ~          
4353|TYC 7817-2124-1                                                       |High Proper Motion Star               |14 25 14.2859211216 -44 07 36.626732724|320.1821313467588 +15.5805201966382|-35.360 -67.628   |10.51    |~              |    ~     ~          
4354|IC 4406                                                               |Planetary Nebula                      |14 22 26.1440976888 -44 09 02.185112988|319.6865574839042 +15.7406970448309|  -3.736 -1.193   |10.90    |~              |0.51975501 0.51887000
4355|HD 126546                                                             |Star                                  |14 27 26.7962838168 -44 32 39.701983380|320.4015920143206 +15.0462228961345|   5.570 -5.442   |9.23     |A0V            |    ~     ~          
4356|HD 126606                                                             |High Proper Motion Star               |14 27 45.4580874792 -44 19 48.928117584|320.5382035446173 +15.2237967830188|-41.500 -27.367   |6.98     |A1V            |    ~     ~          
4357|HD 126670                                                             |Young Stellar Object                  |14 28 09.2968560360 -44 14 17.490215544|320.6424527166770 +15.2822497344203|-25.762 -24.708   |9.791    |G8V            |    ~     ~          
4358|HD 126690                                                             |Star                                  |14 28 17.6671261056 -44 31 31.728323568|320.5538864059544 +15.0068458415040|  -4.615 -5.144   |10.45    |A2/3IV         |    ~     ~          
4359|HD 126297                                                             |High Proper Motion Star               |14 25 52.7189630736 -44 40 06.888205020|320.0855085393367 +15.0347295121882|-52.629 -13.619   |9.49     |ApCrEuSr       |    ~     ~          
4360|CD-44 9356                                                            |Long-Period Variable Candidate        |14 28 38.6166929376 -44 41 07.107272052|320.5508295785365 +14.8353864420885| -11.648 -4.318   |9.77     |M3/5           |    ~     ~          
4361|HD 126886                                                             |Star                                  |14 29 29.5852860024 -44 57 20.529195660|320.5885906147843 +14.5280257712811| -18.058 -0.885   |9.65     |K1III          |    ~     ~          
4362|HD 126936                                                             |Star                                  |14 29 52.9445049576 -45 06 13.699599624|320.5958078611668 +14.3648777989952| -27.207 -8.139   |9.56     |A(pCrEuSr)     |    ~     ~          
4363|HD 126801                                                             |Star                                  |14 29 02.3482830456 -45 08 50.277660036|320.4367345849293 +14.3813491855257|   3.252 -1.529   |8.32     |M1III          |    ~     ~          
4364|CD-44 9372                                                            |Star                                  |14 29 20.1048955944 -45 17 40.553528748|320.4287233152627 +14.2252962153219|-20.029 -11.399   |10.14    |F2             |    ~     ~          
4365|HD 126922                                                             |Star                                  |14 29 42.8198065560 -45 10 04.832654124|320.5420925393240 +14.3169256866050|  26.076 -8.085   |7.91     |A9V            |    ~     ~          
4366|GSPC S272-A                                                           |Star                                  |14 29 52.9 -45 06 11                   |320.5960 +14.3656                  |            ~ ~   |9.62     |~              |    ~     ~          
4367|GSPC S272-B                                                           |Star                                  |14 29 20.2 -45 17 38                   |320.4293 +14.2258                  |            ~ ~   |10.27    |~              |    ~     ~          
4368|TYC 7817-588-1                                                        |Star                                  |14 26 19.2794846448 -44 38 27.150714168|320.1718525781446 +15.0313492155923|  12.047 -0.304   |10.56    |~              |    ~     ~          
4369|TYC 7817-610-1                                                        |Star                                  |14 26 39.4561891296 -44 40 26.029596108|320.2166454503313 +14.9784848116439| -15.054 -5.003   |10.59    |~              |    ~     ~          
4370|TYC 7817-626-1                                                        |High Proper Motion Star               |14 28 48.8745526320 -44 39 14.425470792|320.5922061176797 +14.8528220645248|-49.670 -32.711   |10.74    |~              |    ~     ~          
4371|TYC 7817-798-1                                                        |Star                                  |14 27 52.4870585808 -44 20 36.341079612|320.5531752423749 +15.2037084135444|    9.907 1.649   |10.4     |~              |    ~     ~          
4372|TYC 7817-870-1                                                        |Star                                  |14 27 19.1956058808 -44 24 18.876400200|320.4338946453238 +15.1836712075903|   4.821 -8.387   |10.83    |~              |    ~     ~          
4373|TYC 7817-1064-1                                                       |Star                                  |14 29 58.6707385752 -44 51 42.402405960|320.7076342644846 +14.5819904049946|  -4.860 -7.814   |10.38    |~              |    ~     ~          
4374|TYC 7817-1308-1                                                       |High Proper Motion Star               |14 27 04.3743183168 -44 40 59.614110120|320.2839620524221 +14.9423207143445|-79.624 -51.183   |10.542   |~              |    ~     ~          
4375|TYC 8278-593-1                                                        |Star                                  |14 29 39.5826798768 -45 14 48.488899740|320.5019904732287 +14.2477273877408|   3.275 -2.795   |10.76    |~              |    ~     ~          
4376|HD 124827                                                             |Star                                  |14 16 43.9447124016 -39 44 55.138953804|320.2678233815259 +20.2345140797018|   4.932 -0.247   |9.39     |K2/3III        |    ~     ~          
4377|HD 124905                                                             |Star                                  |14 17 13.8578293200 -39 52 25.759563132|320.3174269977285 +20.0839607656769|  -5.163 -2.924   |9.78     |B9V            |    ~     ~          
4378|CD-39 8807                                                            |Star                                  |14 16 03.7752911016 -39 54 14.082325560|320.0823824679252 +20.1328558219764| -27.890 -1.262   |10.33    |~              |    ~     ~          
4379|TYC 7808-1579-1                                                       |Star                                  |14 17 02.4699993888 -39 55 41.501519256|320.2610347589174 +20.0455465567948|  -9.075 -7.321   |10.61    |~              |    ~     ~          
4380|CD-39 8819                                                            |Star                                  |14 17 25.2129055152 -39 43 24.209888808|320.4093446431474 +20.2124296054733| -15.331 -5.206   |9.93     |~              |    ~     ~          
4381|HD 125251                                                             |High Proper Motion Star               |14 19 17.0792004840 -39 28 23.216218032|320.8615120676559 +20.3206148610749| -88.650 28.211   |9.75     |G8/K0V         |    ~     ~          
4382|HD 125890                                                             |Star                                  |14 23 21.3549254880 -39 26 35.837687580|321.6534025258320 +20.0635981782771| -12.581 -1.009   |9.74     |K1(III)        |    ~     ~          
4383|HD 126220                                                             |Star                                  |14 25 18.2223142008 -39 14 38.508230868|322.1046053714094 +20.1077088367757|-11.876 -15.328   |9.53     |K1/2(III)      |    ~     ~          
4384|HD 126432                                                             |Double or Multiple Star               |14 26 31.2246083496 -39 01 03.638352612|322.4287255380586 +20.2274660334357| -37.281 -2.753   |9.25     |F6V            |0.0050  0.0          
4385|HD 126461                                                             |Star                                  |14 26 44.8015184496 -39 08 36.764210436|322.4206490974884 +20.0943731002100|  -9.231 -0.945   |9.32     |K2/3III        |    ~     ~          
4386|* a Cen                                                               |Rotating Variable                     |14 23 02.2390294 -39 30 42.549250      |321.5656480948 +20.0226112618      |  -24.15 -21.90   |4.42     |B2V            |    ~     ~          
4387|CD-39 8828                                                            |Star                                  |14 18 15.2336193192 -39 46 27.486596784|320.5503865506674 +20.1087943048799|   0.193 -5.842   |10.61    |~              |    ~     ~          
