C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:33:38

dec< 0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2679

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
58  |CD-35 1011                                                                                               |Star                              |02 56 12.3129918096 -35 09 50.156346456|237.5134012509006 -62.2517742389649|   11.875 7.220   |9.22     |~                |    ~     ~    |    1|  737.029   pc  | -27.2600    +27.2600    |ST-L    |2020AJ....160...83S
59  |CD-35 1012                                                                                               |Star                              |02 56 13.4200949280 -35 29 24.415396908|238.2046718639864 -62.2003113716265|  6.272 -18.321   |10.08    |~                |    ~     ~    |    1|  117.963   pc  |  -0.7364     +0.7364    |ST-L    |2020AJ....160...83S
60  |HD 18446                                                                                                 |Star                              |02 56 48.4515418104 -35 22 40.049204736|237.9290321114438 -62.0994166170934|  -12.639 1.976   |6.57     |G8III/IV         |    ~     ~    |    1|  154.689   pc  |  -0.4068     +0.4068    |paral   |2020yCat.1350....0G
61  |CD-35 1023                                                                                               |High Proper Motion Star           |02 57 48.3850092368 -35 24 43.208402218|237.9383615009015 -61.8930396463745|-84.080 -300.299  |10.05    |F8               |    ~     ~    |    1|  138.208   pc  |  -0.9650     +0.9650    |ST-L    |2020AJ....160...83S
62  |HD 18324                                                                                                 |Star                              |02 55 32.3177630136 -35 33 41.269454064|238.4022616296919 -62.3270436896686|    4.180 7.611   |8.63     |K0III            |    ~     ~    |    1|  361.651   pc  |  -2.3412     +2.3412    |paral   |2020yCat.1350....0G
63  |HD 18168                                                                                                 |High Proper Motion Star           |02 54 02.7864341651 -35 54 16.878894538|239.2419448491348 -62.5692320821310|516.149 -174.127  |8.25     |K3V              |    ~     ~    |    1|   28.8996  pc  |  -0.0370     +0.0370    |paral   |2020yCat.1350....0G
64  |CD-34 1039                                                                                               |High Proper Motion Star           |02 52 23.4383735544 -33 56 26.265767496|235.0838908412542 -63.1865202690175| 56.930 -69.252   |10.26    |~                |    ~     ~    |    1|  173.313   pc  |  -0.4265     +0.4265    |paral   |2020yCat.1350....0G
65  |CD-34 1046                                                                                               |High Proper Motion Star           |02 54 34.9278538152 -33 51 17.514045144|234.7881164985000 -62.7437080262546|   71.938 6.552   |10.09    |~                |    ~     ~    |    1|  347.174   pc  |  -1.8321     +1.8321    |paral   |2020yCat.1350....0G
66  |CD-35 1008                                                                                               |Star                              |02 56 05.0787279552 -34 35 34.101729564|236.3024366796007 -62.3516670711563|    7.083 3.341   |9.71     |~                |    ~     ~    |    1|  651.773   pc  | -17.6200    +17.6200    |ST-L    |2020AJ....160...83S
67  |CD-35 1014                                                                                               |High Proper Motion Star           |02 56 24.4466 -34 56 40.874            |237.0348443 -62.2408568            |    63.50 77.10   |10.265   |~                |    ~     ~    |    1|  219.179   pc  | +43.563      +1         |ST-L    |2017AJ....153...75K
68  |CD-33 1027                                                                                               |High Proper Motion Star           |02 56 54.6951353568 -33 24 20.545075620|233.7218939391133 -62.3022691820892| 165.214 44.565   |10.544   |~                |    ~     ~    |    1|  106.102   pc  |  -0.5925     +0.5925    |ST-L    |2020AJ....160...83S
69  |CD-33 1028                                                                                               |High Proper Motion Star           |02 57 02.4259100496 -33 06 59.176812348|233.0969932698556 -62.2974534051972| 47.587 -18.082   |10.56    |~                |    ~     ~    |    1| 1453.090   pc  |-101.4000   +101.4000    |ST-L    |2020AJ....160...83S
70  |CD-34 1060                                                                                               |Star                              |02 57 29.5960242072 -34 27 31.666959072|235.9433042640897 -62.0794367563214|   8.097 15.029   |10.456   |~                |    ~     ~    |    1|  327.945   pc  |  -5.6700     +5.6700    |ST-L    |2020AJ....160...83S
71  |CD-34 1066                                                                                               |Star                              |02 58 30.9010482624 -34 29 04.456681728|235.9473198370143 -61.8672893883349|  16.568 27.452   |10.30    |~                |    ~     ~    |    1|  359.609   pc  | -12.5698    +12.5698    |paral   |2020yCat.1350....0G
72  |CD-35 1027                                                                                               |Star                              |02 58 45.2761111224 -34 40 32.460146472|236.3376000931464 -61.7964863951388| -28.460 -3.472   |10.75    |~                |    ~     ~    |    1|  329.468   pc  |  -1.4871     +1.4871    |paral   |2020yCat.1350....0G
73  |CD-33 1038                                                                                               |Star                              |02 58 51.5315609592 -32 59 57.435531324|232.7927493489097 -61.9251032665401|  10.602 -9.300   |10.28    |~                |    ~     ~    |    1|  270.387   pc  |  -1.0235     +1.0235    |paral   |2020yCat.1350....0G
74  |CD-35 1034                                                                                               |High Proper Motion Star           |02 59 36.3534257568 -34 41 07.037706408|236.3150471036661 -61.6215375800179|   8.943 71.332   |10.574   |~                |    ~     ~    |    1|  122.720   pc  |  -0.7839     +0.7839    |ST-L    |2020AJ....160...83S
75  |CD-33 1043                                                                                               |Star                              |02 59 42.7017213480 -33 20 48.712370460|233.5020428376799 -61.7238687062272|  37.080 33.254   |10.476   |~                |    ~     ~    |    1|  241.048   pc  |  -3.2010     +3.2010    |ST-L    |2020AJ....160...83S
76  |CD-34 1033                                                                                               |Star                              |02 51 26.6309768952 -34 23 52.060058232|236.1454453470836 -63.3249138482942|   4.411 31.748   |10.64    |~                |    ~     ~    |    1|  151.190   pc  |  -0.2903     +0.2903    |paral   |2020yCat.1350....0G
77  |CD-36 1089                                                                                               |Star                              |02 53 43.3547525088 -35 57 11.352612240|239.3704649216227 -62.6253425102163|   9.469 -3.745   |10.576   |~                |    ~     ~    |    1|  926.012   pc  | -45.7600    +45.7600    |ST-L    |2020AJ....160...83S
78  |TYC 7015-141-1                                                                                           |Star                              |02 59 45.3422467656 -34 27 03.199025520|235.8177671475658 -61.6167600950444|  17.261 41.715   |10.943   |~                |    ~     ~    |    1|  365.568   pc  |  -6.5230     +6.5230    |ST-L    |2020AJ....160...83S
79  |TYC 7015-204-1                                                                                           |Spectroscopic Binary              |02 52 11.1500751648 -33 48 21.976712100|234.7977026706204 -63.2437153383679| -3.263 -64.559   |10.85    |~                |    ~     ~    |    1|  277.901   pc  | -13.0903    +13.0903    |paral   |2020yCat.1350....0G
80  |TYC 7015-273-1                                                                                           |High Proper Motion Star           |02 58 33.5758555104 -33 09 09.106839216|233.1266368709950 -61.9776786731656| 43.542 -47.056   |10.71    |~                |    ~     ~    |    1|  390.503   pc  |  -2.0739     +2.0739    |paral   |2020yCat.1350....0G
81  |TYC 7015-709-1                                                                                           |Star                              |02 54 40.4250633696 -34 01 26.084804700|235.1505441685173 -62.7069114166922| -16.615 -2.413   |10.81    |~                |    ~     ~    |    1|  161.556   pc  |  -0.3471     +0.3471    |paral   |2020yCat.1350....0G
82  |TYC 7015-746-1                                                                                           |Spectroscopic Binary              |02 51 07.3773080160 -34 05 08.290398876|235.4732637157167 -63.4303392862361| -2.759 -21.690   |10.827   |~                |    ~     ~    |    1|  846.312   pc  | -41.0400    +41.0400    |ST-L    |2020AJ....160...83S
83  |TYC 7015-962-1                                                                                           |Star                              |02 57 31.8770893416 -34 40 36.015363336|236.4031743778533 -62.0460953273233| -0.118 -35.117   |10.959   |~                |    ~     ~    |    1|  276.030   pc  |  -3.7600     +3.7600    |ST-L    |2020AJ....160...83S
84  |TYC 7015-976-1                                                                                           |Spectroscopic Binary              |02 54 17.2343579760 -34 33 36.091995876|236.3324278301452 -62.7228410936870| -2.932 -12.864   |10.831   |~                |    ~     ~    |    1|  390.999   pc  |  -8.7470     +8.7470    |ST-L    |2020AJ....160...83S
85  |TYC 7015-987-1                                                                                           |Star                              |02 53 03.6053216088 -33 50 25.283050764|234.8295418749623 -63.0594997989464|   4.125 29.042   |10.987   |~                |    ~     ~    |    1|  309.137   pc  |  -4.9520     +4.9520    |ST-L    |2020AJ....160...83S
86  |TYC 7018-328-1                                                                                           |Star                              |02 55 22.0882355664 -35 28 58.400873832|238.2466138873224 -62.3735209718872|  -5.200 -5.639   |10.185   |~                |    ~     ~    |    1|  482.744   pc  | -11.7600    +11.7600    |ST-L    |2020AJ....160...83S
87  |TYC 7018-395-1                                                                                           |Star                              |02 50 32.0876204136 -35 39 33.550966548|238.9854722335079 -63.3134263547778|   -2.467 2.513   |10.9     |~                |    ~     ~    |    1|  449.216   pc  |  -3.0269     +3.0269    |paral   |2020yCat.1350....0G
88  |TYC 7018-660-1                                                                                           |Star                              |02 52 45.3312738168 -35 59 58.292451346|239.5460919400865 -62.8095939860653|  43.132 -9.076   |10.91    |~                |    ~     ~    |    1|  227.435   pc  | -19.2100    +19.2100    |ST-L    |2020AJ....160...83S
89  |TYC 7018-793-1                                                                                           |Star                              |02 51 12.6192632928 -35 19 59.507866668|238.2187035170126 -63.2337482985396|   -5.812 3.834   |10.941   |~                |    ~     ~    |    1|  175.178   pc  |  -2.3190     +2.3190    |ST-L    |2020AJ....160...83S
90  |TYC 7018-865-1                                                                                           |Spectroscopic Binary              |02 58 16.8456105840 -35 26 28.301448048|237.9702552956792 -61.7932238872692| 37.014 -13.563   |10.54    |~                |    ~     ~    |    1|  231.685   pc  |  -6.6829     +6.6829    |paral   |2020yCat.1350....0G
91  |TYC 7018-1134-1                                                                                          |High Proper Motion Star           |02 55 28.5975027936 -35 30 42.452508384|238.3008057711782 -62.3472350616513|-73.311 -43.991   |10.52    |~                |    ~     ~    |    1|  106.697   pc  |  -0.6306     +0.6306    |ST-L    |2020AJ....160...83S
92  |HD 17563                                                                                                 |High Proper Motion Star           |02 48 08.9752720248 -31 25 23.286052632|229.5625076700812 -64.2665404900388|-12.199 -79.024   |7.21     |K0III            |    ~     ~    |    1|  189.322   pc  |  -0.6954     +0.6954    |paral   |2020yCat.1350....0G
93  |HD 17342                                                                                                 |Star                              |02 45 57.9391097928 -31 53 04.754619492|230.6848226570900 -64.7085313288935|   4.840 -3.162   |10.25    |A3III/IV         |    ~     ~    |    1|  458.085   pc  |  -7.3025     +7.3025    |paral   |2020yCat.1350....0G
94  |HD 17493                                                                                                 |Star                              |02 47 23.4150618888 -32 25 15.445679592|231.8823653847611 -64.3715766544641|    0.981 2.479   |9.52     |G6/8(III)        |    ~     ~    |    1|  826.651   pc  |  -9.1569     +9.1569    |paral   |2020yCat.1350....0G
95  |HD 17550                                                                                                 |Star                              |02 48 00.9493916040 -32 17 10.500224172|231.5505572941083 -64.2494641496616|  -2.984 29.746   |8.45     |A9V              |    ~     ~    |    1|  144.791   pc  |  -0.3941     +0.3941    |paral   |2020yCat.1350....0G
96  |CD-32 1015                                                                                               |Star                              |02 48 12.5006785584 -31 53 09.742718904|230.6256343045662 -64.2331422283258|  26.151 -0.893   |9.37     |F0               |    ~     ~    |    1|  229.954   pc  |  -0.7403     +0.7403    |paral   |2020yCat.1350....0G
97  |HD 17407                                                                                                 |High Proper Motion Star           |02 46 34.2154743576 -32 32 04.820440524|232.1766558043440 -64.5350751245972|-65.202 -45.363   |8.18     |F3/5V            |    ~     ~    |    1|   64.612   pc  |  -0.0877     +0.0877    |paral   |2020yCat.1350....0G
