C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:48:36

dec >=0&rah >=22.5&rah< 22.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5857

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
60  |TYC 3209-1005-1                                                                                          |Star                                |22 30 27.3412775016 +42 56 33.433543788|097.2612224944232 -12.7929196927401|  4.899 -10.199   |10.57    |~                    |    ~     ~          |    1|  477.646   pc  |  -4.1294     +4.1294  |paral   |2020yCat.1350....0G
61  |TYC 3209-1042-1                                                                                          |Star                                |22 30 56.5875920808 +42 57 15.659488944|097.3453510374174 -12.8298535346973| -7.375 -15.849   |10.66    |~                    |    ~     ~          |    1|  703.878   pc  |  -7.2335     +7.2335  |paral   |2020yCat.1350....0G
62  |TYC 3209-1097-1                                                                                          |Star                                |22 30 11.6384245368 +43 00 55.720892196|097.2588800077580 -12.7057742533152|  3.604 -10.613   |10.27    |~                    |    ~     ~          |    1|  414.800   pc  |  -2.4088     +2.4088  |paral   |2020yCat.1350....0G
63  |TYC 3209-1432-1                                                                                          |Star                                |22 30 42.0849237984 +42 48 13.137084720|097.2254456056318 -12.9347765146460|-38.421 -29.714   |10.76    |~                    |    ~     ~          |    1|  237.034   pc  |  -0.7192     +0.7192  |paral   |2020yCat.1350....0G
64  |TYC 3213-60-1                                                                                            |Star                                |22 32 15.7008917688 +43 25 55.328798856|097.8113036973664 -12.5482471890858|  -1.137 -4.961   |10.41    |~                    |    ~     ~          |    1|  547.825   pc  |  -5.6721     +5.6721  |paral   |2020yCat.1350....0G
65  |TYC 3213-100-1                                                                                           |High Proper Motion Star             |22 32 38.8190462040 +43 08 35.937818304|097.7188226832157 -12.8313293075076|-43.248 -49.262   |9.94     |~                    |    ~     ~          |    1|  125.797   pc  |  -0.2864     +0.2864  |paral   |2020yCat.1350....0G
66  |GSC 03213-00118                                                                                          |Double or Multiple Star             |22 34 12.827160 +43 10 45.45912        |097.988775972 -12.948295125        |    -19.7 -14.9   |10.607   |~                    |    ~     ~          |    0|                |                       |        |                   
67  |TYC 3213-171-1                                                                                           |Star                                |22 32 31.0421613720 +43 25 03.235353600|097.8442268118873 -12.5847445591946| -13.548 -3.541   |10.00    |~                    |    ~     ~          |    1|  443.262   pc  |  -4.0475     +4.0475  |paral   |2020yCat.1350....0G
68  |TYC 3213-176-1                                                                                           |Star                                |22 35 52.6428659448 +43 25 20.492124240|098.3831997341605 -12.8944318781067|  -9.875 -8.909   |10.39    |~                    |    ~     ~          |    1|  457.519   pc  |  -2.8887     +2.8887  |paral   |2020yCat.1350....0G
69  |TYC 3213-178-1                                                                                           |Star                                |22 37 00.7228181856 +43 08 24.502976052|098.4188039397532 -13.2424120418403|   4.170 -0.389   |10.07    |~                    |    ~     ~          |    1| 1199.185   pc  | -23.8715    +23.8715  |paral   |2020yCat.1350....0G
70  |TYC 3213-200-1                                                                                           |Star                                |22 33 38.5842180816 +43 09 26.181797976|097.8856424537743 -12.9135092545930|   3.222 -6.575   |10.60    |~                    |    ~     ~          |    1|  456.558   pc  |  -6.8996     +6.8996  |paral   |2020yCat.1350....0G
71  |TYC 3213-220-1                                                                                           |Star                                |22 38 32.4071238600 +43 20 42.555029280|098.7718241773401 -13.2053860826717|  -5.844 -7.970   |10.63    |~                    |    ~     ~          |    1|  408.113   pc  |  -2.1153     +2.1153  |paral   |2020yCat.1350....0G
72  |TYC 3213-269-1                                                                                           |Star                                |22 38 56.3090374128 +43 24 21.813647220|098.8674986785272 -13.1888575927018| -5.344 -10.306   |10.23    |~                    |    ~     ~          |    1|  876.885   pc  | -10.9957    +10.9957  |paral   |2020yCat.1350....0G
73  |TYC 3213-291-1                                                                                           |Spectroscopic Binary                |22 30 17.6138146776 +43 23 31.086547836|097.4778960806104 -12.3953365736323|  -2.667 -3.849   |10.55    |~                    |    ~     ~          |    1|  641.149   pc  | -17.5117    +17.5117  |paral   |2020yCat.1350....0G
74  |TYC 3213-302-1                                                                                           |Star                                |22 35 19.1364890928 +43 15 17.047903068|098.2058534145192 -12.9868088056331|  8.629 -11.449   |9.83     |~                    |    ~     ~          |    1|  550.116   pc  |  -4.0552     +4.0552  |paral   |2020yCat.1350....0G
75  |TYC 3213-342-1                                                                                           |Star                                |22 36 53.6595946176 +43 15 59.932648908|098.4655629260855 -13.1224460072865|  -4.501 -2.659   |10.72    |~                    |    ~     ~          |    1| 1325.732   pc  | -27.4180    +27.4180  |paral   |2020yCat.1350....0G
76  |TYC 3213-365-1                                                                                           |Star                                |22 33 36.1484749200 +43 23 18.913204788|098.0016443112727 -12.7116027162873|  -0.807 -3.104   |10.93    |~                    |    ~     ~          |    1|  309.837   pc  |  -1.2480     +1.2480  |paral   |2020yCat.1350....0G
77  |TYC 3213-366-1                                                                                           |Star                                |22 34 37.8840149256 +43 16 33.260792772|098.1066744443122 -12.9045190697501|  0.794 -16.097   |10.87    |~                    |    ~     ~          |    1| 1384.850   pc  | -24.7397    +24.7397  |paral   |2020yCat.1350....0G
78  |TYC 3213-367-1                                                                                           |Star                                |22 37 08.4222988296 +43 19 10.067918916|098.5326466640218 -13.0995272977574|   -8.458 1.588   |10.64    |~                    |    ~     ~          |    1|  383.966   pc  |  -2.5358     +2.5358  |paral   |2020yCat.1350....0G
79  |TYC 3213-408-1                                                                                           |Star                                |22 33 48.5516143896 +43 17 58.794736596|097.9876103662685 -12.8071656933301|      -1.3 -1.3   |10.76    |~                    |    ~     ~          |    0|                |                       |        |                   
80  |TYC 3213-419-1                                                                                           |Spectroscopic Binary                |22 31 44.1695171016 +43 22 19.524874584|097.6958374953380 -12.5496637568224|  -1.330 -0.617   |10.16    |~                    |    ~     ~          |    1| 1910.950   pc  | -58.4277    +58.4277  |paral   |2020yCat.1350....0G
81  |TYC 3213-447-1                                                                                           |Star                                |22 36 45.6386847528 +43 40 50.566176804|098.6590910603973 -12.7530378926723|  -7.725 -3.515   |10.70    |~                    |    ~     ~          |    1|  888.336   pc  | -10.2588    +10.2588  |paral   |2020yCat.1350....0G
82  |TYC 3213-473-1                                                                                           |Star                                |22 35 09.9627040320 +43 38 35.312467560|098.3849474549664 -12.6387674311450|  -0.683 -4.317   |10.70    |~                    |    ~     ~          |    1|  599.988   pc  | -10.9796    +10.9796  |paral   |2020yCat.1350....0G
83  |GSC 03213-00480                                                                                          |Double or Multiple Star             |22 31 49.7097259560 +43 38 15.025647660|097.8522442195989 -12.3319511693632|  -6.826 -9.557   |10.443   |~                    |    ~     ~          |    1|  692.809   pc  |  -5.4238     +5.4238  |paral   |2020yCat.1350....0G
84  |TYC 3213-649-1                                                                                           |Star                                |22 39 16.3635508656 +43 28 54.019390404|098.9602421209631 -13.1535979013250|-13.012 -19.123   |10.44    |~                    |    ~     ~          |    1|  304.804   pc  |  -1.1242     +1.1242  |paral   |2020yCat.1350....0G
85  |TYC 3213-651-1                                                                                           |Star                                |22 37 56.2032116976 +43 48 30.883419468|098.9132607818147 -12.7496345070192| -4.247 -12.623   |10.57    |~                    |    ~     ~          |    1|  886.918   pc  |  -9.5181     +9.5181  |paral   |2020yCat.1350....0G
86  |GSC 03213-00655                                                                                          |Double or Multiple Star             |22 34 51.7067522592 +43 48 23.226067080|098.4220864114936 -12.4703109385556|  -2.970 -4.774   |10.811   |~                    |    ~     ~          |    1|  415.507   pc  |  -7.0439     +7.0439  |paral   |2020yCat.1350....0G
