C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
43  |BD+82 267                                                                                                                                   |Star                                |09 26 48.0721040784 +82 15 29.079344808|130.0239234999865 +31.8042227308694|   -9.362 1.240   |10.85    |F8             |    ~     ~    |    1|  280.702   pc  |  -1.3946     +1.3946  |paral   |2020yCat.1350....0G
44  |HD 79869                                                                                                                                    |High Proper Motion Star             |09 26 57.2954196504 +81 52 02.902687068|130.3960447690396 +32.0340842895628| 32.929 -65.207   |8.48     |F2             |    ~     ~    |    1|   79.251   pc  |  -0.1482     +0.1482  |paral   |2020yCat.1350....0G
45  |AG+82 267                                                                                                                                   |Long-Period Variable Candidate      |09 28 04.3416698736 +82 16 36.478809984|129.9767582535955 +31.8281500136135| -10.386 -6.038   |9.04     |M2             |    ~     ~    |    1| 1181.06    pc  | -28.8743    +28.8743  |paral   |2020yCat.1350....0G
46  |BD+82 264                                                                                                                                   |Star                                |09 16 50.4561096504 +81 42 30.459019572|130.7885468630231 +31.8226099175882|    5.796 8.727   |10.31    |G5             |    ~     ~    |    1|  239.894   pc  |  -0.7251     +0.7251  |paral   |2020yCat.1350....0G
47  |BD+82 266                                                                                                                                   |Star                                |09 22 56.6130819648 +81 45 02.815236432|130.6050276442224 +31.9828485692855|    4.575 0.335   |10.67    |K0             |    ~     ~    |    1|  997.407   pc  | -12.2363    +12.2363  |paral   |2020yCat.1350....0G
48  |BD+81 288                                                                                                                                   |Star                                |09 21 17.4509111472 +81 23 22.145770824|130.9991134507629 +32.1333560256993| 10.959 -18.723   |10.30    |~              |    ~     ~    |    1|  192.023   pc  |  -1.2057     +1.2057  |paral   |2020yCat.1350....0G
49  |HD 79005                                                                                                                                    |Star                                |09 21 24.2328283464 +81 23 03.286214160|131.0015167499013 +32.1397757407451|  9.644 -23.223   |9.14     |F8             |    ~     ~    |    1|  189.093   pc  |  -0.5006     +0.5006  |paral   |2020yCat.1350....0G
50  |BD+81 292                                                                                                                                   |Star                                |09 25 18.8149501848 +81 16 38.957332512|131.0088507934502 +32.3216061638313|      30.8 10.0   |9.34     |F8             |    ~     ~    |    0|                |                       |        |                   
51  |BD+81 293                                                                                                                                   |Spectroscopic Binary                |09 26 17.7878854752 +81 10 15.843044028|131.0874431690854 +32.4128430554343|  9.556 -10.162   |10.42    |F5             |    ~     ~    |    1|  486.121   pc  | -10.6105    +10.6105  |paral   |2020yCat.1350....0G
52  |TYC 4547-1367-1                                                                                                                             |Star                                |09 23 23.8568064168 +81 34 21.649593216|130.7681267874604 +32.0963226776182|   2.816 -8.364   |10.97    |~              |    ~     ~    |    1|  222.806   pc  |  -0.5411     +0.5411  |paral   |2020yCat.1350....0G
53  |TYC 4631-788-1                                                                                                                              |Star                                |09 16 39.3300234576 +82 33 07.377245280|129.9589026318391 +31.3618713079797|   6.692 -1.578   |10.55    |~              |    ~     ~    |    1| 1100.958   pc  | -17.5756    +17.5756  |paral   |2020yCat.1350....0G
54  |HD 78087                                                                                                                                    |Star                                |09 16 03.8123939472 +81 00 09.851706828|131.5111433789177 +32.1738482438729|   -3.500 4.495   |8.91     |A3             |    ~     ~    |    1|  371.471   pc  |  -2.5114     +2.5114  |paral   |2020yCat.1350....0G
55  |HD 78122                                                                                                                                    |Star                                |09 15 46.5231485400 +80 31 58.753345620|131.9909345278220 +32.4111277072903| 24.011 -10.832   |9.46     |K0             |    ~     ~    |    1|  521.458   pc  |  -3.4806     +3.4806  |paral   |2020yCat.1350....0G
56  |BD+81 287                                                                                                                                   |Star                                |09 18 54.7895105928 +80 38 54.999655188|131.7942254404930 +32.4585729046312|-14.146 -25.456   |9.61     |F5             |    ~     ~    |    1|  153.351   pc  |  -0.3128     +0.3128  |paral   |2020yCat.1350....0G
57  |BD+81 290                                                                                                                                   |Star                                |09 21 29.1115435008 +80 54 26.636153508|131.4704310981548 +32.4047288745970|  -7.993 -0.368   |10.49    |F0             |    ~     ~    |    1|  306.382   pc  |  -2.2904     +2.2904  |paral   |2020yCat.1350....0G
58  |BD+81 291                                                                                                                                   |Star                                |09 22 46.6054710480 +80 51 14.915609712|131.4897079999167 +32.4767728834214|  -16.812 3.860   |9.84     |G5             |    ~     ~    |    1|  539.928   pc  |  -4.1105     +4.1105  |paral   |2020yCat.1350....0G
59  |HD 80113                                                                                                                                    |Star                                |09 26 45.3997030296 +80 32 41.146095984|131.6874294248798 +32.7831034551957|  -2.363 -7.307   |8.64     |K0             |    ~     ~    |    1|  381.563   pc  |  -2.5769     +2.5769  |paral   |2020yCat.1350....0G
60  |BD+81 296                                                                                                                                   |Star                                |09 27 08.3083198752 +80 40 00.845238684|131.5572802588282 +32.7267092862266|   0.409 -2.914   |10.57    |K              |    ~     ~    |    1| 1507.386   pc  | -29.0843    +29.0843  |paral   |2020yCat.1350....0G
61  |BD+80 284                                                                                                                                   |Double or Multiple Star             |09 17 28.06759 +79 48 37.4127          |132.67681437 +32.85125509          |  -16.00 -17.38   |9.948    |F8             |    ~     ~    |    0|                |                       |        |                   
62  |HD 79632                                                                                                                                    |High Proper Motion Star             |09 23 51.9288949080 +80 07 40.153211472|132.1797550274958 +32.9153471285495| -20.456 66.929   |8.26     |F8             |    ~     ~    |    1|  101.064   pc  |  -0.4852     +0.4852  |paral   |2020yCat.1350....0G
63  |BD+79 299                                                                                                                                   |Star                                |09 15 03.7321943760 +79 14 39.724664964|133.3214649417751 +33.0505005154958|    3.845 4.333   |10.21    |A5             |    ~     ~    |    1|  336.553   pc  |  -1.6424     +1.6424  |paral   |2020yCat.1350....0G
