C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:23:08

dec >=0&rah >=14.75&rah< 15.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
61  |BD+82 441                                                                                                |High Proper Motion Star            |14 53 01.7515266288 +81 53 46.708869552|117.9944214034680 +34.0310142175961| -20.355 46.588   |9.69     |G0             |    ~     ~    |    1|  141.167   pc  |  -0.2511     +0.2511  |paral   |2020yCat.1350....0G
62  |TYC 4565-1438-1                                                                                          |Star                               |14 48 54.3659801568 +81 40 08.380424100|117.9975322359698 +34.3018745597140|  1.735 -13.229   |10.73    |~              |    ~     ~    |    1|  998.303   pc  | -11.6603    +11.6603  |paral   |2020yCat.1350....0G
63  |BD+78 503                                                                                                |Star                               |14 59 36.7410595704 +78 07 53.542020684|115.0821237012989 +36.9694192941235| 10.520 -11.076   |9.99     |F8             |    ~     ~    |    1|  181.904   pc  |  -0.3772     +0.3772  |paral   |2020yCat.1350....0G
64  |HD 132187                                                                                                |Star                               |14 51 14.4525955224 +77 28 17.440365612|115.0579063704628 +37.7635629358656|   9.154 -3.714   |8.97     |F5             |    ~     ~    |    1|  247.378   pc  |  -0.6609     +0.6609  |paral   |2020yCat.1350....0G
65  |HD 132294                                                                                                |Star                               |14 51 46.3202125104 +77 24 41.198808816|114.9849128548439 +37.7969290880976|  -1.959 -2.341   |8.23     |G5             |    ~     ~    |    1|  268.471   pc  |  -1.1893     +1.1893  |paral   |2020yCat.1350....0G
66  |BD+77 560                                                                                                |Star                               |14 47 32.9037491232 +76 49 15.310539732|114.8145573828578 +38.4183415062248|-28.443 -38.906   |9.21     |G5             |    ~     ~    |    1|  461.553   pc  |  -2.7268     +2.7268  |paral   |2020yCat.1350....0G
67  |BD+77 562                                                                                                |Star                               |14 53 48.1357483320 +76 31 03.143326908|114.2159944670709 +38.4650219507236| -28.096 -6.588   |10.46    |F8             |    ~     ~    |    1|  155.804   pc  |  -3.3135     +3.3135  |paral   |2020yCat.1350....0G
68  |HD 133541                                                                                                |Star                               |14 58 48.2331517632 +76 31 40.669731804|113.9232462852877 +38.2851375522296|   28.137 4.284   |7.47     |K0             |    ~     ~    |    1|   99.425   pc  |  -0.1671     +0.1671  |paral   |2020yCat.1350....0G
69  |HD 131358                                                                                                |Star                               |14 47 10.1696203728 +76 02 32.138280708|114.2862599973952 +39.0794398025550|  -28.554 8.994   |7.38     |A2             |    ~     ~    |    1|  105.003   pc  |  -0.2889     +0.2889  |paral   |2020yCat.1350....0G
70  |BD+76 537                                                                                                |Star                               |14 47 07.3166842008 +76 21 05.642978328|114.5094612374722 +38.8234138578812| -37.968 19.635   |9.96     |F5             |    ~     ~    |    1|  177.472   pc  |  -0.3339     +0.3339  |paral   |2020yCat.1350....0G
71  |BD+76 539                                                                                                |Star                               |14 49 31.3210409784 +75 51 54.591635772|114.0060207296047 +39.1462073316045|   -7.103 3.771   |9.94     |K2             |    ~     ~    |    1|  774.713   pc  |  -7.2022     +7.2022  |paral   |2020yCat.1350....0G
72  |BD+76 542                                                                                                |Star                               |14 51 54.3825518496 +76 19 02.406186660|114.1851238603175 +38.6928131696552| -39.884 27.267   |9.35     |G5             |    ~     ~    |    1|  483.606   pc  |  -2.9234     +2.9234  |paral   |2020yCat.1350....0G
73  |V* TU UMi                                                                                                |delta Sct Variable                 |14 55 43.8006431 +76 18 23.651382      |113.9412222100 +38.5704187608      |  -22.58 -31.18   |8.75     |F2             |0.0033  0.0    |    0|                |                       |        |                   
74  |BD+77 567                                                                                                |Star                               |14 59 29.8720477656 +77 13 30.307602396|114.4114783972936 +37.7024803934853|    4.349 2.519   |9.92     |F8             |    ~     ~    |    1|  400.032   pc  |  -2.0643     +2.0643  |paral   |2020yCat.1350....0G
75  |HD 131948                                                                                                |High Proper Motion Star            |14 50 45.7740702168 +75 42 51.985027260|113.8146433731153 +39.2269138336267| -73.343 31.256   |8.87     |G5             |    ~     ~    |    1|  148.054   pc  |  -0.2893     +0.2893  |paral   |2020yCat.1350....0G
76  |BD+76 545                                                                                                |Star                               |14 58 42.1858672632 +75 31 28.775334432|113.1565233543389 +39.0904335274901|   6.081 -2.323   |10.07    |A2             |    ~     ~    |    1|  408.397   pc  |  -2.5519     +2.5519  |paral   |2020yCat.1350....0G
77  |BD+75 544                                                                                                |Star                               |14 51 39.2295957432 +75 03 01.763431020|113.2599582305145 +39.7375087627419| -28.451 -1.235   |10.87    |G0             |    ~     ~    |    1|  215.550   pc  | -12.2938    +12.2938  |paral   |2020yCat.1350....0G
78  |V* TT UMi                                                                                                |Long-Period Variable               |14 55 00.1555756848 +74 52 52.360867812|112.9020900680549 +39.7470850357167|  -14.352 2.124   |6.90     |M0             |    ~     ~    |    1|  436.605   pc  |  -3.9459     +3.9459  |paral   |2020yCat.1350....0G
79  |BD+75 546                                                                                                |Star                               |14 56 51.2827908480 +74 46 27.076981476|112.6924977198506 +39.7603238053902|   3.553 -1.925   |9.16     |K2             |    ~     ~    |    1|  716.538   pc  |  -7.4960     +7.4960  |paral   |2020yCat.1350....0G
80  |NAME Baekdu                        * 8 UMi                                                               |Star                               |14 56 48.3523031832 +74 54 03.321176292|112.7949672268002 +39.6610362557666|   13.139 3.578   |6.835    |K0             |    ~     ~    |    1|  163.191   pc  |  -0.3782     +0.3782  |paral   |2020yCat.1350....0G
81  |CSI+75 547 2                                                                                             |Star                               |14 57 12.7 +74 56 26                   |112.7986 +39.6135                  |            ~ ~   |8.8      |~              |    ~     ~    |    0|                |                       |        |                   
82  |BD+75 548                                                                                                |High Proper Motion Star            |14 57 12.5570682408 +74 42 15.179209668|112.6133504119525 +39.8020469259877| 22.210 -52.198   |10.56    |G5             |    ~     ~    |    1|  265.632   pc  |  -0.7973     +0.7973  |paral   |2020yCat.1350....0G
83  |BD+75 549                                                                                                |High Proper Motion Star            |14 57 11.2723437312 +74 56 28.741450596|112.8007798009205 +39.6138248653084| -52.961 29.762   |8.80     |G5             |    ~     ~    |    1|  383.362   pc  |  -2.2339     +2.2339  |paral   |2020yCat.1350....0G
84  |TYC 4416-258-1                                                                                           |Star                               |14 53 17.0145337296 +74 46 39.884637360|112.9405481899659 +39.8970201458611|  -10.740 1.813   |10.66    |~              |    ~     ~    |    1|  288.850   pc  |  -4.4888     +4.4888  |paral   |2020yCat.1350....0G
85  |TYC 4417-2036-1                                                                                          |Star                               |14 56 09.0683558832 +74 49 43.962296160|112.7831837191577 +39.7443105393373| -31.627 14.355   |10.74    |~              |    ~     ~    |    1|  368.256   pc  |  -1.5324     +1.5324  |paral   |2020yCat.1350....0G
86  |TYC 4559-54-1                                                                                            |Star                               |14 52 29.4446691192 +77 27 19.780224660|114.9756702716585 +37.7384872907340|  -0.891 -7.478   |10.25    |~              |    ~     ~    |    1|  677.415   pc  |  -5.3231     +5.3231  |paral   |2020yCat.1350....0G
87  |TYC 4559-104-1                                                                                           |Star                               |14 49 41.6667523296 +77 05 32.260921332|114.8779665625681 +38.1253804443333|-10.800 -13.860   |10.87    |~              |    ~     ~    |    1|  825.355   pc  |  -7.2208     +7.2208  |paral   |2020yCat.1350....0G
88  |TYC 4559-189-1                                                                                           |Star                               |14 50 54.4257462264 +76 12 35.505665676|114.1689791305749 +38.8149226608446|  9.724 -27.470   |10.47    |~              |    ~     ~    |    1|  388.515   pc  | -21.0416    +21.0416  |paral   |2020yCat.1350....0G
89  |TYC 4559-363-1                                                                                           |Star                               |14 45 51.9527287200 +76 52 37.923752496|114.9561027914919 +38.4236484870225|  -1.758 -0.739   |10.87    |~              |    ~     ~    |    1|  757.060   pc  |  -5.6168     +5.6168  |paral   |2020yCat.1350....0G
90  |TYC 4559-404-1                                                                                           |Star                               |14 48 21.0923199192 +76 32 30.806206692|114.5678456251526 +38.6250771750249|  -16.934 3.315   |9.95     |~              |    ~     ~    |    1| 1015.435   pc  | -11.0328    +11.0328  |paral   |2020yCat.1350....0G
91  |TYC 4559-472-1                                                                                           |Star                               |14 50 38.5720170192 +77 20 59.235104580|115.0055639279644 +37.8825965419237| 12.630 -11.081   |10.93    |~              |    ~     ~    |    1|  291.596   pc  |  -1.0629     +1.0629  |paral   |2020yCat.1350....0G
92  |TYC 4559-903-1                                                                                           |High Proper Motion Star            |14 46 33.9335466288 +75 39 23.429303316|114.0496152507110 +39.4208851217178|126.019 -31.258   |10.75    |~              |    ~     ~    |    1|   81.311   pc  |  -0.0721     +0.0721  |paral   |2020yCat.1350....0G
93  |TYC 4559-991-1                                                                                           |Star                               |14 59 28.4713425600 +76 36 44.711123148|113.9479872152789 +38.1941899667816|   -0.946 2.590   |10.67    |~              |    ~     ~    |    1| 1075.269   pc  | -14.3369    +14.3369  |paral   |2020yCat.1350....0G
94  |TYC 4559-1399-1                                                                                          |Star                               |14 45 46.4944800696 +76 46 29.193464460|114.8904849947668 +38.5124082237154|  -2.378 10.131   |10.07    |~              |    ~     ~    |    1|  668.941   pc  |  -4.8328     +4.8328  |paral   |2020yCat.1350....0G
95  |TYC 4559-2456-1                                                                                          |Star                               |14 45 07.9940676648 +76 44 05.228114820|114.9021829346407 +38.5659472736179|  -11.078 9.728   |9.91     |~              |    ~     ~    |    1|  251.534   pc  |  -0.7782     +0.7782  |paral   |2020yCat.1350....0G
96  |BD+77 564                                                                                                |Hot Subdwarf                       |14 54 40.1605938912 +76 53 16.438653132|114.4374296203617 +38.1341848623754|   -6.884 9.591   |10.09    |sdB3           |    ~     ~    |    0|                |                       |        |                   
97  |TYC 4559-2598-1                                                                                          |Star                               |14 48 23.4803540784 +76 03 21.943260936|114.2174332130965 +39.0269229458879|  -21.115 7.713   |10.68    |~              |    ~     ~    |    1|  330.229   pc  |  -3.9477     +3.9477  |paral   |2020yCat.1350....0G
98  |TYC 4559-2615-1                                                                                          |Star                               |14 54 42.5478416232 +76 35 21.657557220|114.2143424550360 +38.3759470010095|  7.457 -18.334   |10.25    |~              |    ~     ~    |    1|  375.926   pc  |  -1.8230     +1.8230  |paral   |2020yCat.1350....0G
