C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:35:45

dec< 0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3999

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
64  |HD 200835                                                                                                |Pulsating Variable                  |21 07 04.8113618376 -35 52 11.310314700|007.8104740593564 -42.0315022188699|  21.452 -4.225   |8.39     |A0V            |    ~     ~    |    1|  186.017   pc  |  -2.9640     +2.9640    |ST-L    |2020AJ....160...83S
65  |CD-36 14618                                                                                              |High Proper Motion Star             |21 08 40.9235559744 -36 11 45.146544612|007.4168852870212 -42.3867598155349|-24.256 -74.928   |10.96    |G0             |    ~     ~    |    1|  206.728   pc  |  -2.4750     +2.4750    |ST-L    |2020AJ....160...83S
66  |CD-36 14597                                                                                              |Star                                |21 05 57.1635824712 -35 52 39.419114376|007.7672089976508 -41.8052489793851| -5.084 -26.470   |9.69     |~              |    ~     ~    |    1|  566.893   pc  |  -4.9491     +4.9491    |paral   |2020yCat.1350....0G
67  |CD-36 14634                                                                                              |Star                                |21 10 21.7215211056 -36 18 19.856274696|007.3120685050098 -42.7342884693017| -8.055 -13.078   |10.753   |~              |    ~     ~    |    1|  377.748   pc  | -84.1500    +84.1500    |ST-L    |2020AJ....160...83S
68  |CD-35 14541                                                                                              |Star                                |21 03 51.4574972376 -35 14 56.070450204|008.5361972995914 -41.3095643934730|   4.792 -0.542   |10.153   |~              |    ~     ~    |    1|  617.424   pc  | -17.6400    +17.6400    |ST-L    |2020AJ....160...83S
69  |TYC 7475-503-1                                                                                           |Spectroscopic Binary                |21 00 28.8483455376 -33 01 28.169159196|011.3139752661972 -40.3015971491072|-22.432 -20.193   |10.75    |~              |    ~     ~    |    1|  229.470   pc  |  -3.4120     +3.4120    |ST-L    |2020AJ....160...83S
70  |TYC 7479-94-1                                                                                            |Star                                |21 02 20.6769963960 -34 19 35.288759604|009.6958155091738 -40.8809649247978|  25.920 10.870   |10.62    |~              |    ~     ~    |    1|  276.886   pc  |  -4.5360     +4.5360    |ST-L    |2020AJ....160...83S
71  |TYC 7479-271-1                                                                                           |Star                                |21 06 18.0351832344 -34 58 59.427593436|008.9698280819799 -41.7730864271252|  13.619 -3.762   |10.777   |~              |    ~     ~    |    1|  717.324   pc  | -24.2500    +24.2500    |ST-L    |2020AJ....160...83S
72  |TYC 7479-453-1                                                                                           |Star                                |21 01 22.8486770400 -34 39 43.375196700|009.2205711010272 -40.7304730014931|     13.8 -10.3   |10.87    |~              |    ~     ~    |    0|                |                         |        |                   
73  |TYC 7479-827-1                                                                                           |Star                                |21 05 29.1463033608 -34 59 20.463550440|008.9348006293870 -41.6081527624490| 30.317 -18.538   |10.50    |~              |    ~     ~    |    1|  112.499   pc  |  -0.9167     +0.9167    |ST-L    |2020AJ....160...83S
74  |TYC 7479-830-1                                                                                           |High Proper Motion Star             |21 01 58.3680601200 -35 10 03.169882812|008.5795313311313 -40.9174139961566| 32.343 -49.599   |10.987   |~              |    ~     ~    |    1|  217.885   pc  |  -3.1750     +3.1750    |ST-L    |2020AJ....160...83S
75  |TYC 7479-965-1                                                                                           |Star                                |21 06 48.0173106648 -34 31 21.932933484|009.5997141717672 -41.8177567616160| -6.640 -20.697   |10.860   |~              |    ~     ~    |    0|                |                         |        |                   
76  |TYC 7480-636-1                                                                                           |Star                                |21 10 56.7133925112 -34 57 28.944468000|009.1532440930594 -42.7151867953679| 12.254 -26.644   |10.826   |~              |    ~     ~    |    1|  181.295   pc  |  -1.9880     +1.9880    |ST-L    |2020AJ....160...83S
77  |TYC 7480-817-1                                                                                           |Star                                |21 09 26.6969415432 -35 14 14.738790084|008.7298546535487 -42.4412706720952| 15.591 -23.827   |10.88    |~              |    ~     ~    |    1|  299.347   pc  |  -1.4606     +1.4606    |paral   |2020yCat.1350....0G
78  |TYC 7480-862-1                                                                                           |High Proper Motion Star             |21 10 50.4248676792 -35 31 37.011735984|008.3800378332789 -42.7549819320112| 81.444 -27.364   |10.85    |~              |    ~     ~    |    1|   95.024   pc  |  -0.5398     +0.5398    |ST-L    |2020AJ....160...83S
79  |TYC 7484-268-1                                                                                           |Spectroscopic Binary                |21 09 22.5708972384 -35 38 08.074804596|008.1912951463295 -42.4701347062069|  11.883 -0.547   |10.91    |~              |    ~     ~    |    1|  227.988   pc  |  -4.2882     +4.2882    |paral   |2020yCat.1350....0G
80  |BPS CS 30314-0013                                                                                        |Horizontal Branch Star              |21 00 29.2986525624 -34 02 16.018938456|010.0000450822074 -40.4596800559858|   5.827 -1.484   |10.97    |B              |    ~     ~    |    1| 1846.722   pc  |-164.0394   +164.0394    |paral   |2020yCat.1350....0G
81  |HD 201606                                                                                                |Star                                |21 11 40.2988661448 -34 51 00.532614060|009.3220274507417 -42.8511205195417|-32.603 -11.463   |10.167   |G2V            |    ~     ~    |    1|  210.517   pc  |  -2.9970     +2.9970    |ST-L    |2020AJ....160...83S
82  |HD 201756                                                                                                |Star                                |21 12 37.3884117264 -34 42 02.181169656|009.5549446356250 -43.0285042234531| -8.874 -26.253   |9.777    |G2/3V          |    ~     ~    |    1|  124.336   pc  |  -1.8040     +1.8040    |ST-L    |2020AJ....160...83S
83  |HD 201813                                                                                                |High Proper Motion Star             |21 13 03.8502350424 -34 49 43.913466912|009.3941715769106 -43.1327408225964| 46.405 -82.553   |9.18     |G8IV           |    ~     ~    |    1|  125.868   pc  |  -1.0240     +1.0240    |ST-L    |2020AJ....160...83S
84  |CD-35 14636                                                                                              |High Proper Motion Star             |21 13 15.4029745800 -35 05 46.729401000|009.0353763092333 -43.2005776291227| 42.502 -49.392   |9.68     |G2             |    ~     ~    |    1|   82.016   pc  |  -0.4499     +0.4499    |ST-L    |2020AJ....160...83S
85  |HD 201850                                                                                                |Double or Multiple Star             |21 13 14.6662422168 -34 29 26.088513036|009.8604896758971 -43.1317234177537| 45.907 -13.146   |9.29     |F8V            |0.0050  0.0    |    1|  116.951   pc  |  -4.6220     +4.6220    |ST-L    |2020AJ....160...83S
86  |CD-35 14644                                                                                              |Star                                |21 13 53.8126941672 -35 17 21.521461020|008.7900733913179 -43.3504338244857|   -4.238 1.221   |9.744    |G8             |    ~     ~    |    1|  541.683   pc  | -19.9400    +19.9400    |ST-L    |2020AJ....160...83S
87  |HD 202009                                                                                                |Spectroscopic Binary                |21 14 14.4832949112 -35 22 27.055889148|008.6834333619179 -43.4287574619156|   -7.944 2.362   |8.08     |A0IV/V         |    ~     ~    |    1|  384.660   pc  |  -5.4450     +5.4450    |paral   |2020yCat.1350....0G
88  |HD 201771                                                                                                |High Proper Motion Star             |21 12 46.8200263872 -35 45 46.129247064|008.1125669408329 -43.1704914256863| 29.658 -44.294   |7.47     |K0III          |    ~     ~    |    1|  199.279   pc  |  -0.9729     +0.9729    |paral   |2020yCat.1350....0G
89  |HD 201962                                                                                                |Star                                |21 13 57.8410243848 -35 33 11.783605284|008.4305406390862 -43.3898801917569| 12.658 -21.819   |9.41     |F3V            |    ~     ~    |    1|  336.811   pc  |  -8.1730     +8.1730    |ST-L    |2020AJ....160...83S
90  |CD-36 14651                                                                                              |Star                                |21 11 34.3296686328 -35 59 24.359806464|007.7712717977099 -42.9482898435312|    7.612 1.159   |9.87     |K0             |    ~     ~    |    1|  668.003   pc  |  -6.6488     +6.6488    |paral   |2020yCat.1350....0G
91  |HD 201971                                                                                                |Star                                |21 14 03.2815627224 -36 05 21.440785452|007.6979015827234 -43.4570435339064|  -0.123 -8.836   |9.606    |F8V            |    ~     ~    |    1|  257.254   pc  |  -5.5400     +5.5400    |ST-L    |2020AJ....160...83S
92  |CD-36 14656                                                                                              |Star                                |21 12 03.0381755208 -35 52 09.433028064|007.9481908728519 -43.0333234962427|  -6.639 -8.413   |9.83     |~              |    ~     ~    |    1|  472.880   pc  |  -3.7567     +3.7567    |paral   |2020yCat.1350....0G
93  |CD-36 14659                                                                                              |Star                                |21 12 14.8141267272 -36 05 31.295318568|007.6496713400283 -43.0935130512322|  -4.300 21.720   |10.95    |~              |    ~     ~    |    1|  310.241   pc  |  -1.5207     +1.5207    |paral   |2020yCat.1350....0G
94  |CD-36 14663                                                                                              |Star                                |21 12 26.0182643688 -35 50 04.599569364|008.0054965231049 -43.1073036900200|   0.840 -3.771   |10.88    |~              |    ~     ~    |    1|  422.315   pc  |  -4.0485     +4.0485    |paral   |2020yCat.1350....0G
95  |CD-35 14640                                                                                              |Star                                |21 13 31.9696495896 -35 02 24.394601868|009.1202091928700 -43.2508747550750|   9.604 -5.154   |10.141   |~              |    ~     ~    |    1|  358.295   pc  |  -8.8540     +8.8540    |ST-L    |2020AJ....160...83S
96  |CD-36 14664                                                                                              |High Proper Motion Star             |21 12 26.6160348960 -35 36 33.823215972|008.3127639735865 -43.0876348004316|-32.316 -39.449   |10.55    |~              |    ~     ~    |    1|  133.994   pc  |  -0.4130     +0.4130    |paral   |2020yCat.1350....0G
