C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:45:56

Vmag< 11&dec< 0&rah >=1.0&rah< 1.25
-----------------------------------

Number of objects : 2309

 #  |                                                                                                                                                                                           identifier                                                                                                                                                                                            |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
50  |HD 7469                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 09.3434747424 -40 41 08.489838336|285.3005263693489 -75.6552501172958|   9.696 10.504   |9.28     |F7V                   |    ~     ~    
51  |CD-41 312B                                                                                                                                                                                                                                                                                                                                                                                       |Star                          |01 14 09.0 -40 40 59                   |285.3008 -75.6581                  |            ~ ~   |10.0     |~                     |    ~     ~    
52  |HD 7143                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 11 09.6048241056 -41 21 56.273228820|288.3075592133170 -75.1977748482586|  72.631 35.103   |9.95     |F6/7V                 |    ~     ~    
53  |HD 7246                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 12 08.8591957248 -41 31 21.256155516|287.8082383343776 -74.9918944903686| -7.789 -58.022   |9.93     |F7V                   |    ~     ~    
54  |HD 7425                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 41.3569261488 -42 13 23.702620152|287.6100925065698 -74.2365493271729| 21.746 -15.757   |9.01     |K0III                 |    ~     ~    
55  |HD 7498                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 14 25.0630200000 -41 53 39.184351728|286.7380335213745 -74.5036561847457|-109.742 -54.321  |8.49     |G0V                   |    ~     ~    
56  |HD 7080                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 31.1782846488 -42 57 04.110873732|290.3988759483071 -73.7096576226664|   1.820 11.632   |8.62     |G8III/IV              |    ~     ~    
57  |HD 7094                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 37.9018349472 -42 24 01.047950676|289.7904683836311 -74.2346812880143| 13.681 -16.257   |8.55     |K2III                 |    ~     ~    
58  |HD 7095                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 40.8258528048 -42 47 02.907262608|290.1379543233113 -73.8627903360913|   8.171 10.364   |9.956    |A9V                   |    ~     ~    
59  |CD-43 344                                                                                                                                                                                                                                                                                                                                                                                        |Long-Period Variable Candidate|01 11 09.1731793032 -42 41 26.891364840|289.7453769328154 -73.9289700871742|  5.258 -15.868   |9.43     |M2                    |    ~     ~    
60  |HD 7151                                                                                                                                                                                                                                                                                                                                                                                          |Variable Star                 |01 11 14.6948435040 -42 40 47.469478152|289.6757074862017 -73.9348092753518|  -3.019 45.788   |9.733    |F6V                   |    ~     ~    
61  |HD 7337                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 12 57.4668808656 -42 39 44.675275680|288.5707437292622 -73.8605401155859|  21.598 -5.833   |9.93     |F2V                   |    ~     ~    
62  |HD 7430                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 49.3976315832 -42 22 18.380781588|287.6965274756282 -74.0878337022361|    8.506 7.874   |8.52     |K0III                 |    ~     ~    
63  |HD 7453                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 03.5306636136 -42 32 18.029149188|287.7383134781845 -73.9160771781233|   11.417 0.183   |9.12     |K0III                 |    ~     ~    
64  |CD-44 343                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 45.9768381384 -43 20 52.369533996|289.3983353387617 -73.2154692801623|    9.446 1.507   |10.725   |~                     |    ~     ~    
65  |CD-42 404                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 09 55.2021710064 -41 37 58.119725244|289.4720434758027 -75.0088716663961|-13.220 -33.579   |10.53    |~                     |    ~     ~    
66  |CD-42 410                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 11 06.3350666280 -42 15 23.178369132|289.3318394208230 -74.3484658284173|   16.957 9.234   |9.88     |~                     |    ~     ~    
67  |CD-43 345                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 11 12.4857701856 -43 18 50.045520816|290.3115974327508 -73.3265677786483| 40.854 -26.697   |10.861   |~                     |    ~     ~    
68  |CD-42 422                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 12 20.9282913216 -41 21 19.176722424|287.4660916085678 -75.1389214301776| 105.610 33.055   |10.92    |~                     |    ~     ~    
69  |CD-43 351                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 37.3057677456 -42 44 16.380078396|288.8630554894450 -73.8068396828745|  -2.212 -3.952   |10.82    |~                     |    ~     ~    
70  |CD-42 427                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 36.1170728064 -41 54 45.859151988|287.2980445689208 -74.5359271556863|   8.969 -2.281   |9.91     |~                     |    ~     ~    
71  |CD-43 358                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 58.9293673896 -42 58 02.922729708|288.2638803724020 -73.5127922248372|   13.922 5.347   |10.88    |~                     |    ~     ~    
72  |CD-42 426                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 13 24.4356696024 -41 33 25.876108404|286.9908363326766 -74.8840269174798| 13.617 -15.814   |10.43    |~                     |    ~     ~    
73  |CD-44 334                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 11 22.3016802934 -43 26 51.661905376|290.3362930863812 -73.1897074764543|-59.219 -360.441  |10.71    |K3                    |    ~     ~    
74  |CD-44 330                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 10 30.0560204280 -43 31 26.864646348|290.9319603698664 -73.1571823787662| 29.900 -22.503   |10.44    |~                     |    ~     ~    
75  |CD-44 333                                                                                                                                                                                                                                                                                                                                                                                        |Spectroscopic Binary          |01 11 14.9310061944 -43 33 21.453692868|290.5095528830750 -73.0912453353917|-15.037 -47.958   |10.72    |~                     |    ~     ~    
76  |TYC 7537-105-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 11 02.6904520488 -41 34 29.704674756|288.6292110957934 -75.0043127131328|  24.502 -7.073   |10.52    |~                     |    ~     ~    
77  |TYC 7537-288-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 13 42.2415739416 -42 10 17.588966844|287.5399144867690 -74.2846925734011|  32.105 25.990   |10.524   |~                     |    ~     ~    
78  |HD 5964                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 28.6969661472 -41 06 49.747835124|295.9309751220285 -75.8913072813053| -9.913 -48.081   |9.994    |G2/3V                 |    ~     ~    
79  |HD 6056                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 16.5487426752 -41 03 59.877072432|295.2918706680599 -75.9153466045706|   5.800 -6.020   |9.61     |F2V                   |    ~     ~    
