C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:45:56

Vmag< 11&dec< 0&rah >=1.0&rah< 1.25
-----------------------------------

Number of objects : 2309

 #  |                                                                                                                                                                                           identifier                                                                                                                                                                                            |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
1716|TYC 8479-618-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 07 50.7090956688 -58 00 29.377390320|298.7141284460492 -58.9855259823970|    8.445 5.389   |10.818   |~                     |    ~     ~    
1717|TYC 8480-468-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 14 39.8830127280 -59 57 30.680015724|297.6060862905268 -56.9289057175188| -1.182 -16.191   |10.84    |~                     |    ~     ~    
1718|TYC 8480-648-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 13 04.0576158312 -58 18 47.693339136|297.4823515228790 -58.5855586696693|    5.287 5.764   |10.64    |~                     |    ~     ~    
1719|HD 7082                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 10 07.3730005176 -57 41 39.802474032|298.0478431458386 -59.2563233488781|-7.211 -114.870   |6.418    |G6II/III              |    ~     ~    
1720|CD-58 216                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 05 45.775 -57 53 57.35              |299.223111 -59.125714              |    -29.5 -22.0   |9.9      |F5                    |    ~     ~    
1721|HD 6780                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 07 26.0460 -57 51 14.907            |298.7828301 -59.1450616            |   16.629 7.941   |10.12    |F2III                 |    ~     ~    
1722|CPD-58 78                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 47.8785839589 -57 46 10.239727344|298.4103378201011 -59.2060750999208|  10.434 -4.842   |10.477   |~                     |    ~     ~    
1723|CD-58 248                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 13.4679388080 -57 40 09.179862780|297.2394254110112 -59.2175921628652|   3.962 -0.704   |10.65    |~                     |    ~     ~    
1724|CD-56 191                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 13.9121808936 -55 40 45.006574908|300.3417906388640 -61.4048361467396| -5.908 -28.634   |10.708   |~                     |    ~     ~    
1725|CD-56 192                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 22.2479106240 -55 20 48.746558616|300.2501392739343 -61.7348398973924|  28.080 14.002   |10.589   |~                     |    ~     ~    
1726|CD-56 195                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 01 29.5455838536 -55 43 45.396133500|299.9802300392286 -61.3413147556075|  14.554 -9.332   |10.164   |~                     |    ~     ~    
1727|CD-56 201                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 02 24.6557399712 -55 28 15.024366372|299.6634205768529 -61.5877203390049|  86.369 22.150   |10.90    |~                     |    ~     ~    
1728|CD-56 202                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 40.5889565112 -55 35 18.863719584|299.6072590281978 -61.4670718176609|  34.048 19.881   |10.938   |~                     |    ~     ~    
1729|HD 6467                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 04 42.8696098296 -55 27 15.236545176|298.9773140876997 -61.5719605066225|-13.303 -15.837   |9.36     |K0III                 |    ~     ~    
1730|CD-56 210                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 21.5622217872 -55 22 18.168172428|298.7667766580175 -61.6438114003268|  -38.570 0.617   |9.72     |~                     |    ~     ~    
1731|HD 6089                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 01 11.9369835648 -56 09 33.464423448|300.1360069542867 -60.9159358767665|-51.329 -20.453   |9.12     |G0IV                  |    ~     ~    
1732|CD-56 198                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 01 47.4968134632 -56 10 33.075721956|299.9696423578171 -60.8928071347075|  -5.574 -3.196   |10.299   |~                     |    ~     ~    
1733|HD 6220                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 21.4753810680 -56 15 07.695163512|299.8218621356327 -60.8101244698884|  9.387 -25.002   |8.63     |G8III/IV              |    ~     ~    
1734|HD 6282                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 52.2759978192 -56 03 16.828230888|299.6392130941153 -61.0004217928672|  -7.040 -7.089   |8.16     |K1IIICNIb/II          |    ~     ~    
1735|CD-56 208                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 13.2216092088 -56 18 57.588327576|299.0254535270203 -60.7075946556742|  -15.607 6.810   |10.32    |~                     |    ~     ~    
1736|CD-56 209                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 15.2699286264 -55 56 03.197220972|298.9292995144410 -61.0865246086383|   14.006 5.540   |10.39    |~                     |    ~     ~    
1737|CD-56 211                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 27.5446796808 -56 04 04.051559172|298.9013760704062 -60.9505982623178|    4.090 1.808   |9.85     |~                     |    ~     ~    
1738|CD-56 214                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 06 27.2411868072 -56 09 38.496569400|298.6402991007233 -60.8422585346013|   16.453 7.656   |10.70    |~                     |    ~     ~    
1739|HD 6684                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 06 32.9253797256 -56 06 07.871287104|298.5989480730884 -60.8987572456064| 85.248 -39.958   |9.42     |F6V                   |    ~     ~    
1740|CD-56 218                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 32.1602086416 -55 52 21.505046484|298.2572138763446 -61.1092582418366|   -0.963 7.396   |10.75    |~                     |    ~     ~    
1741|HD 6819                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 07 48.6880354056 -55 58 11.613750240|298.2043136324975 -61.0078101022635| 26.458 -49.463   |8.33     |G2V                   |    ~     ~    
1742|CPD-56 228                                                                                                                                                                                                                                                                                                                                                                                       |Star                          |01 07 48.8632794600 -56 00 49.426024320|298.2153182309936 -60.9642975965294| -1.981 -17.021   |10.75    |~                     |    ~     ~    
1743|HD 5994                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 21.9742587816 -56 55 48.256716540|300.4843438377395 -60.1557306707882| 41.274 -16.650   |7.90     |K0III                 |    ~     ~    
1744|* ome Phe                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 01.8204200136 -57 00 08.594480880|300.0415867818657 -60.0663809859598|   6.018 17.224   |6.100    |G8/K0III              |    ~     ~    
1745|HD 6310                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 03 02.9643149160 -56 54 29.067802920|299.7475157798459 -60.1483270402907|  0.998 -24.367   |9.31     |F5IV/V                |    ~     ~    
1746|CD-57 209                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 40.2329238864 -57 09 08.209290240|299.3553796744487 -59.8839860118172|  10.977 -5.854   |9.46     |~                     |    ~     ~    
1747|CD-57 210                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 53.9321636352 -56 42 35.370198864|299.2009754030302 -60.3208082776297|   19.620 3.293   |10.02    |~                     |    ~     ~    
1748|CD-57 213                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 20.3799443808 -56 42 23.815696464|299.0788270030448 -60.3175131039566|  25.227 24.889   |10.87    |~                     |    ~     ~    
1749|HD 6642                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 06 06.7257620880 -56 21 18.571180320|298.7837099850744 -60.6547474826877|  18.933 -2.670   |9.53     |G8III                 |    ~     ~    
1750|CD-57 219                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 34.6606868784 -56 44 41.426893464|298.4729884034515 -60.2434624216009|    3.639 1.798   |9.97     |~                     |    ~     ~    
1751|CPD-57 245                                                                                                                                                                                                                                                                                                                                                                                       |Spectroscopic Binary          |01 07 50.7830892552 -56 54 23.201840304|298.4409267314130 -60.0785000631649|  -6.683 -7.082   |10.49    |~                     |    ~     ~    
1752|HD 6996                                                                                                                                                                                                                                                                                                                                                                                          |Double or Multiple Star       |01 09 22.23529 -56 35 42.5988          |297.94002519 -60.35893878          |  135.41 -20.08   |7.15     |F5IV/V                |0.0067  0.0    
1753|HD 7065                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 04.7348 -57 00 19.229            |297.8646456 -59.9391325            | 23.329 -19.386   |9.33     |F5V                   |    ~     ~    
1754|HD 7097                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 10 15.5720017680 -56 51 46.670591160|297.7744842825405 -60.0764167714999|-48.836 -64.993   |6.98     |F0IV                  |    ~     ~    
1755|HD 6043                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 46.7093016912 -57 43 08.811085476|300.4844453306799 -59.3647286344522|   0.959 -5.776   |8.97     |K1III                 |    ~     ~    
1756|HD 6247                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 02 32.7524629128 -57 20 28.960389456|299.9595258026830 -59.7227210655736| 277.388 -0.586   |8.45     |G1V                   |    ~     ~    
1757|HD 7329                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 12 21.7543569528 -57 21 44.375970492|297.3656509671658 -59.5392121262037|  26.984 28.543   |8.60     |F2II                  |    ~     ~    
1758|HD 6521                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 05 14.2603807656 -57 47 41.495849304|299.3370283887084 -59.2369672859485|   4.193 -5.105   |7.81     |A5V                   |    ~     ~    
1759|CD-58 230                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 08 37.6057904784 -57 33 49.420152540|298.4018630014031 -59.4130826161859| 179.826 46.385   |10.27    |~                     |    ~     ~    
1760|TYC 8476-431-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 03 50.5273056168 -57 20 47.351220324|299.6151514084295 -59.7018121790137| 27.953 -10.901   |10.36    |~                     |    ~     ~    
1761|TYC 8476-1081-1                                                                                                                                                                                                                                                                                                                                                                                  |High Proper Motion Star       |01 04 01.5357132264 -56 10 45.348902580|299.3342142008405 -60.8609718683253|  0.293 -67.912   |10.96    |~                     |    ~     ~    
1762|TYC 8479-157-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 10 22.9451860056 -57 45 00.303161940|297.9963406812609 -59.1962558129222| 19.773 -25.615   |10.93    |~                     |    ~     ~    
1763|TYC 8479-251-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 05 45.8676 -57 53 57.126            |299.2227007 -59.1257532            |-25.279 -20.541   |10.37    |~                     |    ~     ~    
1764|CD-55 226                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 53.6692917984 -55 16 51.412487016|300.0825869340906 -61.7949562390053|  -3.331 -7.239   |9.40     |~                     |    ~     ~    
1765|CD-55 233                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 37.9116340344 -55 14 11.487451596|299.5525903132621 -61.8182190314642| -20.329 -8.996   |9.859    |~                     |    ~     ~    
1766|HD 6430                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 04 16.2112113552 -55 03 16.365458700|299.0198695227909 -61.9761284705556| 118.014 10.900   |9.27     |G3V                   |    ~     ~    
1767|CPD-55 223                                                                                                                                                                                                                                                                                                                                                                                       |Star                          |01 04 31.5199274952 -54 59 45.347187444|298.9290473277798 -62.0304892320772|  -2.822 14.850   |10.50    |~                     |    ~     ~    
1768|HD 6494                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 04 59.1481508088 -55 03 20.844946728|298.8033958395488 -61.9637284804053| 40.716 -11.106   |9.57     |F6V                   |    ~     ~    
1769|HD 5978                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 00 23.6016213264 -52 49 45.174303732|299.8181273440462 -64.2448601165822| 17.072 -21.338   |9.67     |K1III                 |    ~     ~    
1770|HD 6143                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 42.2184800136 -53 19 09.987195252|299.4660249292634 -63.7396735425284|-23.167 -33.344   |8.39     |F0V                   |    ~     ~    
1771|HD 6096                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 01 25.5551964864 -53 34 34.526878572|299.6098225405390 -63.4875217698006|  -1.238 -6.175   |8.46     |K5III                 |    ~     ~    
1772|HD 6246                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 02 39.6872789880 -53 40 26.571157392|299.2221261606509 -63.3732864266127|  5.449 -14.772   |10.63    |A1V                   |    ~     ~    
1773|CD-54 224                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 56.2981740072 -54 16 24.289568652|299.8974369606895 -62.7988279507468|  10.549 22.655   |10.898   |~                     |    ~     ~    
1774|CD-54 230                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 42.5514934176 -54 11 47.559323076|299.3182127202035 -62.8525522098332|-12.228 -24.178   |10.447   |~                     |    ~     ~    
1775|CD-54 231                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 02 46.8659710320 -53 45 16.849946304|299.2004056104538 -63.2913108211560|-26.623 -64.561   |10.642   |~                     |    ~     ~    
1776|HD 6325                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 03 24.5122575000 -54 09 44.066081916|299.0875284775920 -62.8765676915624|   15.194 7.814   |9.20     |K3III                 |    ~     ~    
1777|CD-55 224                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 17.2987865592 -54 41 19.953602340|300.1718099684486 -62.3919203357892|  11.521 14.791   |10.466   |~                     |    ~     ~    
1778|HD 6003                                                                                                                                                                                                                                                                                                                                                                                          |Pulsating Variable            |01 00 30.2993685144 -54 57 13.262837040|300.1474581031420 -62.1255206271377| -13.821 -4.610   |9.72     |A3V                   |    ~     ~    
1779|CD-55 236                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 02 45.5078420784 -54 28 42.097440792|299.3614107326962 -62.5713410877282|  28.402 30.153   |10.639   |~                     |    ~     ~    
1780|HD 6281                                                                                                                                                                                                                                                                                                                                                                                          |Double or Multiple Star       |01 02 53.4328 -54 54 58.837            |299.4103799 -62.1335316            |   15.492 3.285   |9.27     |A3mA6-A8              |    ~     ~    
1781|HD 6309                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 03 11.9965294920 -54 56 49.651976436|299.3221387465127 -62.0986115564490|   16.179 0.223   |9.86     |A9V                   |    ~     ~    
1782|CD-55 246                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 21.5221594848 -54 52 37.550729892|298.9525019572034 -62.1512092224865|   15.661 1.844   |9.95     |~                     |    ~     ~    
1783|CD-55 247                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 28.8439415184 -54 47 40.721684280|298.8959725385029 -62.2312818420799|  5.940 -17.818   |10.867   |~                     |    ~     ~    
1784|CD-53 198                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 00 17.5997442960 -53 15 00.050819724|299.9282733880607 -63.8265628784272|  15.126 -1.409   |10.92    |~                     |    ~     ~    
1785|HD 7707                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 14 32.5497160656 -72 45 26.963868312|300.5444754548586 -44.2635011798104| -54.564 91.193   |10.17    |G0/2                  |    ~     ~    
1786|Flo 647                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 37.4925501144 -72 28 08.501132604|300.5900819826177 -44.5582006583955|   31.230 4.295   |10.80    |F6V                   |    ~     ~    
1787|HD 6781                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 06 36.6553762608 -70 26 57.641236404|301.0846495200215 -46.6244476986826|-29.835 -13.391   |10.32    |F0/3III/IV            |    ~     ~    
1788|CD-71 52                                                                                                                                                                                                                                                                                                                                                                                         |Star                          |01 08 54.3574792368 -71 07 44.804117604|300.9027210012658 -45.9302541442282| -21.772 -4.727   |10.73    |F5                    |    ~     ~    
1789|HD 6693                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 05 55.1488006704 -69 35 15.395058096|301.0642700681948 -47.4880943556080| 11.917 -69.311   |10.01    |G2/3V                 |    ~     ~    
1790|HD 7042                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 55.6668167424 -69 33 58.966550964|300.6746305586697 -47.4851433302714|    1.122 0.941   |8.37     |K4III                 |    ~     ~    
1791|HD 7175                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 13.6236694560 -69 39 32.402443752|300.5225020239794 -47.3812543272361|   -0.897 3.743   |9.19     |K1/2III               |    ~     ~    
1792|HD 6982                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 24.8102104560 -70 17 31.635914208|300.8439961476722 -46.7672514129680|   45.317 1.193   |10.013   |F7/8V                 |    ~     ~    
1793|HD 7249                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 56.5098934488 -69 57 18.494578008|300.4799050409854 -47.0801485467368|   2.388 -1.090   |9.803    |K3/5                  |    ~     ~    
1794|HD 7008                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 33.7844528280 -70 40 00.594113520|300.8783697055304 -46.3930777243578|  -11.613 2.804   |8.39     |K0III                 |    ~     ~    
1795|HD 7053                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 09 03.5229863112 -70 28 24.121545132|300.7912831175708 -46.5815778589220|  91.864 -1.309   |9.24     |F3V                   |    ~     ~    
