C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
82  |BD-04 2448                                                                                               |Star                                  |08 46 23.3101692768 -04 34 13.830057480|231.2554036380434 +22.9675577007708|   -1.897 8.857   |8.90     |K2                 |    ~     ~    |    1|  888.731   pc  | -18.4823    +18.4823    |paral   |2020yCat.1350....0G
83  |HD 75014                                                                                                 |Star                                  |08 47 26.0752115568 -05 08 01.746375288|231.9237407417811 +22.8879501150381|  -3.400 -2.825   |10.12    |A0V                |    ~     ~    |    1|  822.978   pc  | -20.4542    +20.4542    |paral   |2020yCat.1350....0G
84  |HD 75095                                                                                                 |Star                                  |08 47 50.6750664360 -05 26 03.761098152|232.2584619761049 +22.8130496990324|  -34.596 6.760   |9.07     |F5V                |    ~     ~    |    1|  195.714   pc  |  -0.6933     +0.6933    |paral   |2020yCat.1350....0G
85  |BD-05 2623                                                                                               |Star                                  |08 46 12.7307222904 -06 09 23.732671248|232.6809824841629 +22.0823318799499|    0.293 7.684   |9.50     |K0                 |    ~     ~    |    1|  481.061   pc  | -11.8700    +11.8700    |ST-L    |2020AJ....160...83S
86  |HD 74850                                                                                                 |Star                                  |08 46 18.3518164632 -06 00 35.528437692|232.5610399759468 +22.1809512574364| -7.326 -17.623   |8.88     |G8/K0III           |    ~     ~    |    1|  409.167   pc  |  -9.5600     +9.5600    |ST-L    |2020AJ....160...83S
87  |HD 74962                                                                                                 |Star                                  |08 46 58.7717341680 -05 32 52.750303692|232.2371290850574 +22.5704363973636| -16.298 -0.577   |9.93     |A0III/IV           |    ~     ~    |    1|  383.877   pc  |  -2.9030     +2.9030    |paral   |2020yCat.1350....0G
88  |HD 75016                                                                                                 |Star                                  |08 47 20.6276735832 -06 00 10.256122872|232.7048836618567 +22.4021513114013| -0.436 -27.225   |8.78     |K0IV               |    ~     ~    |    1|  184.922   pc  |  -0.6942     +0.6942    |paral   |2020yCat.1350....0G
89  |HD 75015                                                                                                 |Star                                  |08 47 23.0633987688 -05 54 13.517256384|232.6204721118911 +22.4640692518914| -20.871 -1.513   |8.79     |K1III              |    ~     ~    |    1|  448.873   pc  |  -3.4656     +3.4656    |paral   |2020yCat.1350....0G
90  |HD 75036                                                                                                 |Star                                  |08 47 30.3049357920 -05 44 50.799756444|232.4953856980613 +22.5735334075872|   2.794 -3.750   |8.70     |K3III              |    ~     ~    |    1|  495.319   pc  |  -5.8637     +5.8637    |paral   |2020yCat.1350....0G
91  |BD-05 2636                                                                                               |Star                                  |08 48 20.7719922096 -05 40 45.527096352|232.5552747320438 +22.7865302027428| -13.273 20.827   |9.97     |F8                 |    ~     ~    |    1|  187.196   pc  |  -0.6483     +0.6483    |paral   |2020yCat.1350....0G
92  |HD 75194                                                                                                 |Star                                  |08 48 26.2585632384 -05 32 17.720238012|232.4396011520239 +22.8816588283410|  -3.986 -7.824   |8.62     |K1III              |    ~     ~    |    1|  505.740   pc  |  -7.6220     +7.6220    |paral   |2020yCat.1350....0G
93  |BD-04 2445                                                                                               |Star                                  |08 45 44.0913528960 -04 45 38.092923036|231.3363815074839 +22.7286315606933|  -0.784 14.601   |10.85    |~                  |    ~     ~    |    1|  527.816   pc  |  -4.3181     +4.3181    |paral   |2020yCat.1350....0G
94  |BD-04 2442                                                                                               |Star                                  |08 45 13.1478364920 -05 26 28.922299260|231.8860843257814 +22.2574450246622|   -6.476 1.387   |9.75     |~                  |    ~     ~    |    1|  684.135   pc  |  -6.6462     +6.6462    |paral   |2020yCat.1350....0G
95  |BD-05 2627                                                                                               |Star                                  |08 46 44.1216340536 -05 44 58.674652332|232.3859557468726 +22.4109284060923|  -4.762 10.652   |9.30     |~                  |    ~     ~    |    1| 1162.520   pc  | -22.1638    +22.1638    |paral   |2020yCat.1350....0G
96  |BD-04 2458                                                                                               |Star                                  |08 48 18.0530681136 -04 46 43.737868020|231.7229369294050 +23.2600420824242| -29.573 -8.639   |9.79     |~                  |    ~     ~    |    1|  355.973   pc  |  -1.7107     +1.7107    |paral   |2020yCat.1350....0G
