C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
105 |HD 130177                                                             |Star                           |14 47 05.7599417184 -11 33 04.054832028|342.6970277662461 +42.2183861942379|    8.945 3.843    |8.85     |G8/K0IV        |    ~     ~    
106 |HD 130193                                                             |Star                           |14 47 05.5858561248 -11 22 09.209294868|342.8392948450926 +42.3667565189025|-26.801 -25.078    |7.96     |A7V            |    ~     ~    
107 |HD 130323                                                             |High Proper Motion Star        |14 47 51.9843967344 -11 32 41.599903200|342.9088989368713 +42.1135703273085| -9.919 -83.874    |9.62     |G2V            |    ~     ~    
108 |HD 130397                                                             |High Proper Motion Star        |14 48 20.4923126784 -10 59 49.044269580|343.4709356844796 +42.4890747635685|-30.874 -39.972    |9.26     |F8/G0V         |    ~     ~    
109 |HD 129940                                                             |Star                           |14 45 44.4076605600 -12 21 13.057672104|341.7105803398344 +41.7532446237287| -33.914 -6.885    |8.89     |F0V            |    ~     ~    
110 |HD 130126                                                             |Star                           |14 46 47.8972114512 -12 35 13.224919884|341.8156233092167 +41.4141119598504| -3.457 -10.983    |10.22    |F2V            |    ~     ~    
111 |HD 130273                                                             |Star                           |14 47 34.9791905904 -12 21 45.633016440|342.1967478742233 +41.4876699480201| 21.167 -38.732    |10.52    |F3/5           |    ~     ~    
112 |HD 130308                                                             |Star                           |14 47 43.6894717896 -12 22 18.456160944|342.2283767868611 +41.4597724371752|-31.780 -15.013    |8.54     |F5V            |    ~     ~    
113 |BD-10 3954                                                            |Star                           |14 45 07.6776016056 -10 59 58.762984416|342.5974460839690 +42.9474680332414|  -12.714 8.482    |10.055   |~              |    ~     ~    
114 |BD-10 3955                                                            |Star                           |14 45 20.8676311800 -11 06 30.519772992|342.5715409443357 +42.8275046366668| 16.822 -39.036    |10.070   |~              |    ~     ~    
115 |BD-11 3799                                                            |Star                           |14 45 36.9634459032 -12 16 49.898314308|341.7331570459767 +41.8305657619709|    4.685 4.588    |10.539   |~              |    ~     ~    
