C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
82  |BD+38 4123                                                                                                                                                                     |Pulsating Variable             |20 30 29.1947069352 +38 51 19.125118116|077.9294081569270 -00.2421904952730|  -0.918 -4.373   |9.17     |B8                    |    ~     ~    
83  |BD+38 4124                                                                                                                                                                     |Star                           |20 30 32.5460622096 +38 59 07.772131392|078.0410086762002 -00.1742914314705|   0.784 -4.141   |9.47     |A0                    |    ~     ~    
84  |BD+38 4125                                                                                                                                                                     |Star                           |20 30 34.2411249216 +39 16 51.977842572|078.2831048420930 -00.0045666183926|   3.417 -2.595   |9.35     |A2                    |    ~     ~    
85  |BD+38 4134                                                                                                                                                                     |Star                           |20 31 51.5620060488 +39 20 14.119665612|078.4756373235904 -00.1725621955757| -7.421 -14.995   |10.00    |F0                    |    ~     ~    
86  |BD+38 4134B                                                                                                                                                                    |Star                           |20 31 51.2001392664 +39 20 18.767773284|078.4759874898838 -00.1708579861691| -7.777 -14.988   |10.89    |A                     |    ~     ~    
87  |BD+38 4135                                                                                                                                                                     |Star                           |20 31 56.1411233088 +38 37 00.629862276|077.9038462917417 -00.6110687382028|  -9.575 -6.844   |8.95     |K0                    |    ~     ~    
88  |BD+38 4137                                                                                                                                                                     |Star                           |20 32 20.6703244080 +39 11 22.944387300|078.4124282965039 -00.3356365352917|    0.682 4.680   |9.03     |K2                    |    ~     ~    
89  |HD 195918                                                                                                                                                                      |Star                           |20 32 43.5113583720 +39 16 15.777965928|078.5216510530321 -00.3466874756183|   2.818 -0.308   |8.22     |B9                    |    ~     ~    
90  |BD+38 4139                                                                                                                                                                     |Star                           |20 32 44.4473442456 +39 13 15.146001696|078.4830789769593 -00.3789204088605| -9.899 -14.888   |9.27     |~                     |    ~     ~    
91  |BD+38 4141                                                                                                                                                                     |Star                           |20 33 06.1501613808 +39 11 39.814884096|078.5034333122722 -00.4510083846562|    6.867 1.959   |9.58     |A2                    |    ~     ~    
92  |BD+38 4142                                                                                                                                                                     |Star                           |20 33 12.0948417552 +39 11 04.034367240|078.5068654723298 -00.4723523283438|   0.354 -0.685   |9.34     |A0                    |    ~     ~    
93  |BD+38 4144                                                                                                                                                                     |Star                           |20 33 12.8105095176 +39 22 09.555105144|078.6568198657651 -00.3642044042766|   3.031 -0.619   |9.61     |A0                    |    ~     ~    
94  |BD+38 4146                                                                                                                                                                     |Star                           |20 33 25.8019378920 +38 44 04.418982600|078.1717719618350 -00.7758355065573|  11.425 -4.053   |10.00    |~                     |    ~     ~    
95  |HD 196092                                                                                                                                                                      |Double or Multiple Star        |20 33 42.81763 +38 34 59.2686          |078.08312427 -00.91051895          |      7.90 0.11   |8.12     |A0                    |    ~     ~    
96  |HD 196091                                                                                                                                                                      |Star                           |20 33 42.8794992672 +38 50 04.769301408|078.2852209075767 -00.7607457218043|  11.092 -6.073   |8.74     |A0                    |    ~     ~    
97  |HD 196119                                                                                                                                                                      |Star                           |20 33 53.2208167824 +38 41 20.634333360|078.1883689365759 -00.8745341938983|    0.396 0.210   |8.51     |A0                    |    ~     ~    
98  |BD+38 4153                                                                                                                                                                     |Star                           |20 34 39.1770980472 +39 26 16.928424204|078.8778810895448 -00.5463445898107|   9.086 15.598   |9.54     |K0                    |    ~     ~    
99  |BD+38 4155                                                                                                                                                                     |Star                           |20 34 51.7506076992 +38 48 55.072195560|078.4032619080290 -00.9515977896343|    3.342 3.949   |9.59     |B8                    |    ~     ~    
100 |BD+38 4155B                                                                                                                                                                    |Star                           |20 34 52.0799706384 +38 49 14.634699060|078.4082553683051 -00.9492010877668|    5.750 4.325   |10.9     |~                     |    ~     ~    
101 |BD+38 4160                                                                                                                                                                     |Star                           |20 36 09.9424114224 +39 29 48.781455324|079.1001423917250 -00.7446062644381|  -0.997 -0.527   |9.37     |A0                    |    ~     ~    
102 |HD 196489                                                                                                                                                                      |Star                           |20 36 24.2595610656 +39 11 40.705373040|078.8865281307432 -00.9633719659609|  -1.166 -2.150   |8.48     |B3V                   |    ~     ~    
