C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
6625|HD 335068                                                                                                                                                                      |Star                           |20 44 01.0010397912 +29 19 01.483697244|071.9648704582458 -08.2082080757184| 22.211 -18.625   |9.92     |G0                    |    ~     ~    
6626|HD 335070                                                                                                                                                                      |Rotating Variable              |20 44 58.0985674776 +29 16 21.149417316|072.0571777267125 -08.3997522693361| -0.730 -18.718   |10.84    |K0                    |    ~     ~    
6627|HD 335064                                                                                                                                                                      |Star                           |20 43 08.1398214360 +29 22 15.702452040|071.8900905082469 -08.0230272378122|  -3.018 -6.685   |10.57    |K0                    |    ~     ~    
6628|HD 335059                                                                                                                                                                      |Star                           |20 43 58.2581287464 +29 35 44.610324000|072.1818749913690 -08.0304689437812|  1.211 -13.488   |10.64    |K                     |    ~     ~    
6629|HD 334945                                                                                                                                                                      |Star                           |20 42 08.1120324048 +29 29 04.331438124|071.8477076596562 -07.7809982736309| 45.908 -14.776   |10.78    |F8                    |    ~     ~    
6630|HD 334932                                                                                                                                                                      |Star                           |20 40 51.9478749312 +29 42 59.979121308|071.8658030786130 -07.4208610043879|  10.632 -8.480   |9.97     |G5                    |    ~     ~    
6631|HD 335063                                                                                                                                                                      |Star                           |20 43 12.0432752952 +29 25 49.787857488|071.9464745282026 -07.9981309734009|  12.175 13.129   |10.03    |K2                    |    ~     ~    
6632|HD 335067                                                                                                                                                                      |Star                           |20 43 25.1567669400 +29 18 42.085394928|071.8804608062419 -08.1081761628302|   18.756 1.457   |10.75    |F8                    |    ~     ~    
6633|HD 335061                                                                                                                                                                      |Star                           |20 44 02.6183272320 +29 26 49.573585284|072.0726242847797 -08.1336116615794|  -0.158 -5.761   |10.29    |A2                    |    ~     ~    
6634|HD 334943                                                                                                                                                                      |Star                           |20 41 32.5932918720 +29 35 00.089359368|071.8484040105662 -07.6186849228260|   3.798 11.862   |10.16    |F5                    |    ~     ~    
6635|HD 335060                                                                                                                                                                      |Star                           |20 43 40.9744832352 +29 37 12.032076360|072.1627821742701 -07.9660291815757|   2.557 -3.847   |10.56    |A0                    |    ~     ~    
6636|HD 335057                                                                                                                                                                      |Star                           |20 44 22.2711258192 +29 32 00.351870648|072.1856469285236 -08.1374283531572|  -7.076 -8.143   |10.69    |G5                    |    ~     ~    
6637|TYC 2182-767-1                                                                                                                                                                 |Star                           |20 44 15.4342477320 +29 24 43.642440612|072.0732692385484 -08.1918039155417| -7.731 -15.806   |10.89    |~                     |    ~     ~    
6638|TYC 2686-20-1                                                                                                                                                                  |Star                           |20 40 53.7715227672 +31 39 46.866499092|073.4303955002334 -06.2481897314605|   1.309 -9.939   |10.17    |~                     |    ~     ~    
6639|TYC 2686-23-1                                                                                                                                                                  |Star                           |20 40 30.2030621568 +31 51 53.932603788|073.5410488791056 -06.0593599638014|  17.633 -7.518   |10.78    |~                     |    ~     ~    
6640|TYC 2686-43-1                                                                                                                                                                  |Star                           |20 41 56.7135959664 +31 20 41.647105428|073.3127187537576 -06.6190294704231|    5.456 1.008   |10.44    |~                     |    ~     ~    
6641|TYC 2686-97-1                                                                                                                                                                  |Star                           |20 40 58.3656076560 +31 31 09.840411120|073.3254551690395 -06.3482505070156|   2.652 -1.213   |10.35    |~                     |    ~     ~    
6642|TYC 2686-108-1                                                                                                                                                                 |Star                           |20 39 34.9265970720 +30 37 35.261736960|072.4283571585383 -06.6507988136659| -5.087 -12.643   |10.59    |~                     |    ~     ~    
6643|TYC 2686-113-1                                                                                                                                                                 |Star                           |20 39 01.9055934744 +31 40 55.780055616|073.2045407608911 -05.9206387325710|   0.919 -3.418   |10.80    |~                     |    ~     ~    
6644|TYC 2686-133-1                                                                                                                                                                 |High Proper Motion Star        |20 39 10.4708090784 +31 16 40.229658048|072.8985168715897 -06.1885791719253|  60.013 45.308   |10.94    |~                     |    ~     ~    
6645|TYC 2686-164-1                                                                                                                                                                 |Star                           |20 39 02.8302856224 +31 41 25.733033340|073.2132021352911 -05.9182399082684|    3.122 0.333   |9.66     |~                     |    ~     ~    
6646|TYC 2686-193-1                                                                                                                                                                 |Star                           |20 41 04.3504718568 +31 26 44.643807888|073.2794969836307 -06.4098362878987|  3.795 -32.904   |10.95    |~                     |    ~     ~    
6647|TYC 2686-215-1                                                                                                                                                                 |Star                           |20 39 01.2432052032 +31 37 53.274775476|073.1624445853726 -05.9493171724181|-14.185 -12.562   |10.28    |~                     |    ~     ~    
6648|TYC 2686-284-1                                                                                                                                                                 |Star                           |20 40 49.8184068960 +31 40 23.208560508|073.4299190474307 -06.2309209210744|  -1.551 -5.047   |10.71    |~                     |    ~     ~    
6649|GSC 02686-00304                                                                                                                                                                |Double or Multiple Star        |20 40 50.4759101568 +31 15 00.529407900|073.0928320644688 -06.4891320372983|  -5.277 12.838   |10.690   |~                     |    ~     ~    
6650|IRAS 20397+3015                                                                                                                                                                |Star                           |20 41 46.8930869640 +30 25 55.510605480|072.5608356158606 -07.1455835348222|  -0.239 -1.395   |10.53    |~                     |    ~     ~    
6651|TYC 2686-421-1                                                                                                                                                                 |Star                           |20 41 30.0783737232 +30 51 27.884859876|072.8649214315391 -06.8394434557940| -5.768 -10.346   |10.94    |~                     |    ~     ~    
6652|TYC 2686-510-1                                                                                                                                                                 |Star                           |20 40 35.0886198000 +30 21 17.309983932|072.3414295825398 -06.9869619570802|  -3.193 -6.306   |10.45    |~                     |    ~     ~    
6653|TYC 2686-933-1                                                                                                                                                                 |Star                           |20 37 52.5239720952 +31 30 40.407699528|072.9183771184167 -05.8267308465577|   11.294 2.719   |10.7     |~                     |    ~     ~    
6654|TYC 2687-175-1                                                                                                                                                                 |Spectroscopic Binary           |20 43 07.4432507304 +31 48 59.740002720|073.8431625627300 -06.5304676317031|  19.026 -1.300   |10.67    |~                     |    ~     ~    
6655|TYC 2687-189-1                                                                                                                                                                 |Star                           |20 42 21.7518679992 +30 59 20.114391516|073.0828966011385 -06.9064416198199|  14.838 25.367   |10.96    |~                     |    ~     ~    
6656|GSC 02687-00222                                                                                                                                                                |Spectroscopic Binary           |20 43 29.5857652176 +31 26 54.685109184|073.5982249050434 -06.8176308617023|  -1.244 -6.948   |10.740   |~                     |    ~     ~    
6657|TYC 2687-229-1                                                                                                                                                                 |Star                           |20 43 39.8680661952 +31 45 53.966583288|073.8727731301213 -06.6528798354378|   -2.191 1.314   |10.98    |~                     |    ~     ~    
6658|TYC 2687-250-1                                                                                                                                                                 |Star                           |20 44 00.3111423048 +31 39 22.965636060|073.8310082271256 -06.7766816884033|   7.802 -2.105   |10.82    |~                     |    ~     ~    
6659|TYC 2687-268-1                                                                                                                                                                 |Star                           |20 43 33.6087632424 +31 45 19.963463256|073.8515887682619 -06.6411246525054|  -0.182 -8.536   |10.89    |~                     |    ~     ~    
6660|TYC 2687-430-1                                                                                                                                                                 |Star                           |20 42 37.1270198064 +31 40 48.097111188|073.6682867242782 -06.5287766682121|   0.123 -4.393   |9.83     |~                     |    ~     ~    
6661|TYC 2687-529-1                                                                                                                                                                 |Star                           |20 42 57.5502006960 +31 44 18.768211872|073.7594201125732 -06.5504068635006|    5.402 0.758   |10.20    |~                     |    ~     ~    
6662|TYC 2687-862-1                                                                                                                                                                 |High Proper Motion Star        |20 43 23.8366314720 +31 37 12.135117036|073.7223214169675 -06.6966054991588|  31.421 47.809   |10.53    |~                     |    ~     ~    
6663|TYC 2687-1021-1                                                                                                                                                                |Spectroscopic Binary           |20 42 21.8519844840 +31 33 39.817970064|073.5401080824940 -06.5583389644320|   3.608 -4.666   |10.65    |~                     |    ~     ~    
6664|TYC 2687-1316-1                                                                                                                                                                |Star                           |20 43 24.4762580376 +31 36 26.863348248|073.7136994880206 -06.7060906851574|   2.446 -0.255   |10.78    |~                     |    ~     ~    
6665|TYC 2687-1418-1                                                                                                                                                                |Star                           |20 42 10.5396631968 +31 29 37.731354828|073.4617898648885 -06.5674298836482|   0.482 -1.847   |10.34    |~                     |    ~     ~    
6666|TYC 2687-1839-1                                                                                                                                                                |Spectroscopic Binary           |20 42 18.3807544368 +30 51 25.000965612|072.9699974401776 -06.9771722279974|-12.303 -11.722   |10.80    |~                     |    ~     ~    
6667|TYC 2687-1882-1                                                                                                                                                                |Star                           |20 44 26.0377743624 +31 11 29.102984232|073.5173456569926 -07.1339147550421|-11.375 -22.506   |10.94    |~                     |    ~     ~    
6668|TYC 2687-2450-1                                                                                                                                                                |Star                           |20 43 48.6395995872 +31 26 53.453877072|073.6396824311725 -06.8714180280806|  10.188 -0.055   |10.30    |~                     |    ~     ~    
6669|TYC 2690-437-1                                                                                                                                                                 |Star                           |20 41 15.5148385296 +32 01 20.249174172|073.7645557806333 -06.0912598712212|    0.322 5.716   |10.79    |~                     |    ~     ~    
6670|TYC 2690-453-1                                                                                                                                                                 |Horizontal Branch Star         |20 39 51.3403281120 +32 01 17.749196364|073.5827585306683 -05.8551826813984|-10.013 -14.595   |10.65    |~                     |    ~     ~    
6671|TYC 2690-1029-1                                                                                                                                                                |Star                           |20 38 20.0373997896 +32 17 21.491059704|073.6020052207377 -05.4368159416310|  17.355 -4.259   |10.12    |~                     |    ~     ~    
6672|GSC 02690-01496                                                                                                                                                                |Double or Multiple Star        |20 38 26.538000 +32 15 02.58300        |073.584907790 -05.478333154        |       7.5 10.7   |10.886   |~                     |    ~     ~    
6673|HD 334904                                                                                                                                                                      |High Proper Motion Star        |20 41 01.4826047832 +30 33 20.660099220|072.5604018384045 -06.9409580430945|  2.610 -58.315   |10.19    |G5                    |    ~     ~    
6674|BD+34 4048                                                                                                                                                                     |Double or Multiple Star        |20 30 02.7951965928 +34 47 26.126011032|074.5888110120728 -02.5613122181303|-10.641 -18.413   |9.63     |G5                    |    ~     ~    
6675|BD+34 4052                                                                                                                                                                     |Star                           |20 30 27.8137002168 +34 54 16.888640184|074.7315470674189 -02.5635361090447|   -0.954 0.803   |10.08    |A5                    |    ~     ~    
6676|BD+34 4055                                                                                                                                                                     |Star                           |20 30 39.6144544152 +34 40 58.929245688|074.5758254500914 -02.7265207283920|-13.445 -23.097   |8.98     |K0                    |    ~     ~    
6677|NAME HD 195530BC                   NAME HD 195530BC                                                                                                                            |Double or Multiple Star        |20 30 41.0467094891 +35 20 46.067565144|075.1154383587583 -02.3403789624255|  12.299 -7.519   |9.228    |~                     |    ~     ~    
6678|BD+34 4061                                                                                                                                                                     |Star                           |20 31 33.5578603992 +34 51 28.394289324|074.8261692753215 -02.7727133021117|   22.389 4.067   |9.50     |F8                    |    ~     ~    
6679|BD+34 4062                                                                                                                                                                     |Star                           |20 31 32.8370369280 +35 19 43.957957764|075.2053339126143 -02.4927573571262|   2.956 -6.029   |9.64     |A2                    |    ~     ~    
6680|BD+34 4065                                                                                                                                                                     |Star                           |20 31 50.3256939696 +35 16 42.226749732|075.1997134687558 -02.5705604967454|  5.106 -13.712   |8.62     |K0                    |    ~     ~    
6681|BD+34 4065B                                                                                                                                                                    |Star                           |20 31 48.8852665440 +35 17 00.548563344|075.2009257888631 -02.5636006415699|  7.768 -21.242   |10.90    |~                     |    ~     ~    
6682|HD 195854                                                                                                                                                                      |High Proper Motion Star        |20 32 32.0773150272 +34 55 14.035497852|074.9951571422811 -02.8969846647352|  47.995 43.819   |8.11     |F8                    |    ~     ~    
6683|HD 195940                                                                                                                                                                      |Star                           |20 33 08.5484961288 +35 24 41.539816980|075.4647343591861 -02.7059050929570|    7.109 0.039   |9.04     |A0                    |    ~     ~    
6684|BD+34 4076                                                                                                                                                                     |Star                           |20 33 37.7870782368 +35 14 04.698548088|075.3814083154482 -02.8909653907960| -7.323 -10.291   |10.55    |F0                    |    ~     ~    
6685|* 47 Cyg                                                                                                                                                                       |Red Supergiant                 |20 33 54.1880917512 +35 15 03.039046848|075.4276982427431 -02.9261846369168|  -3.612 -4.166   |4.636    |K6:Ib+B2.5:           |0.0050  0.0    
6686|TYC 2694-1186-1                                                                                                                                                                |Star                           |20 33 52.5376682640 +35 13 07.280348448|075.3984773488152 -02.9408093359061|  -2.446 -5.779   |10.04    |K5                    |    ~     ~    
6687|HD 196120                                                                                                                                                                      |Star                           |20 34 01.9646273516 +34 40 44.473735410|074.9833401523013 -03.2878668909277|   7.729 -1.288   |6.77     |B8                    |    ~     ~    
6688|BD+34 4083                                                                                                                                                                     |Star                           |20 34 22.2354998640 +34 47 58.517316456|075.1217565166558 -03.2718201325238|   13.616 6.448   |10.41    |F5                    |    ~     ~    
6689|AG+34 2060                                                                                                                                                                     |Long-Period Variable Candidate |20 34 48.1858641336 +34 53 14.413587720|075.2453196790758 -03.2907155272787|   -0.311 4.071   |8.03     |M2                    |    ~     ~    
6690|BD+34 4088                                                                                                                                                                     |Star                           |20 35 01.1171082408 +34 50 22.023277440|075.2332850651002 -03.3547720079334|  -1.004 -1.830   |8.53     |K0                    |    ~     ~    
6691|HD 196344                                                                                                                                                                      |Double or Multiple Star        |20 35 34.9343437080 +35 10 10.783336116|075.5675191413176 -03.2498028684673|    9.107 0.699   |8.69     |A0                    |    ~     ~    
6692|BD+34 4094                                                                                                                                                                     |Star                           |20 37 10.4183014848 +34 37 25.485094704|075.3262662972951 -03.8384630501595|   4.772 -0.412   |8.83     |K2                    |    ~     ~    
6693|HD 195431                                                                                                                                                                      |Star                           |20 30 06.6291175368 +34 13 59.275534224|074.1446337007645 -02.8990812804778| -6.847 -10.185   |8.10     |K0                    |    ~     ~    
6694|HD 195690                                                                                                                                                                      |High Proper Motion Star        |20 31 36.2637370968 +34 19 49.340546544|074.4051645008941 -03.0914253094921| -7.342 -53.036   |6.467    |F2                    |    ~     ~    
6695|BD+33 3942                                                                                                                                                                     |Star                           |20 32 40.5985851384 +34 17 21.784358076|074.5031025221208 -03.2942662083995|  4.583 -19.616   |9.40     |G5                    |    ~     ~    
6696|HD 195893                                                                                                                                                                      |Star                           |20 32 49.5466436640 +34 22 53.982932988|074.5958407805016 -03.2644215327603| -4.270 -14.214   |8.52     |A2                    |    ~     ~    
6697|HD 196439                                                                                                                                                                      |Star                           |20 36 11.6250552456 +34 13 28.223856696|074.8846719292302 -03.9166332070781|    2.683 2.968   |9.04     |A0                    |    ~     ~    
6698|BD+34 4053                                                                                                                                                                     |Star                           |20 30 31.4968 +35 25 58.089            |075.1664795 -02.2631556            |      -3.9 -5.4   |10.15    |~                     |    ~     ~    
6699|BD+33 3930                                                                                                                                                                     |BY Dra Variable                |20 31 07.76836 +33 32 34.4593          |073.70967960 -03.47573869          |    66.81 95.57   |8.35     |G8V                   |0.0033  0.0    
6700|BD+33 3931                                                                                                                                                                     |Star                           |20 31 10.2440797152 +34 08 29.701873320|074.1995202030727 -03.1302784422551|  -9.139 -3.323   |8.82     |K2                    |    ~     ~    
6701|HD 195609                                                                                                                                                                      |Star                           |20 31 13.0256566344 +34 02 32.729003772|074.1249145820631 -03.1964268120205| -7.330 -16.157   |8.70     |A0                    |    ~     ~    
6702|BD+33 3935                                                                                                                                                                     |Star                           |20 31 23.4665053344 +33 41 14.864225568|073.8588714683441 -03.4346727528367|   6.064 -0.276   |9.47     |A2                    |    ~     ~    
6703|BD+33 3936                                                                                                                                                                     |High Proper Motion Star        |20 31 32.0718640320 +33 46 33.134277540|073.9480333403251 -03.4066783407254| 141.896 16.716   |9.20     |K4V                   |    ~     ~    
6704|BD+33 3940                                                                                                                                                                     |Spectroscopic Binary           |20 31 55.6616188536 +33 54 36.053544060|074.1047866881676 -03.3934842018202| -4.790 -11.234   |9.18     |K0                    |    ~     ~    
6705|BD+33 3943                                                                                                                                                                     |Star                           |20 32 42.9726075432 +34 00 49.648268448|074.2854621104803 -03.4640188593764|  -9.903 18.420   |8.85     |A5                    |    ~     ~    
6706|HD 195966                                                                                                                                                                      |High Proper Motion Star        |20 33 14.7798174528 +34 01 15.180667392|074.3563958792383 -03.5483072424739| 17.051 -55.447   |8.30     |F5                    |    ~     ~    
6707|BD+33 3952                                                                                                                                                                     |Spectroscopic Binary           |20 34 12.1868895096 +33 42 26.734489020|074.2219020909991 -03.8942732140521|-10.562 -85.153   |8.79     |K0                    |    ~     ~    
6708|BD+33 3953                                                                                                                                                                     |Star                           |20 34 14.9824935360 +33 41 33.752839200|074.2158226098090 -03.9108176431593| -1.414 -14.616   |9.65     |G5                    |    ~     ~    
6709|V* V2127 Cyg                                                                                                                                                                   |alpha2 CVn Variable            |20 35 06.2034078432 +33 33 08.543326356|074.2089595594007 -04.1371586128601|    8.136 3.715   |8.18     |~                     |    ~     ~    
6710|BD+33 3960                                                                                                                                                                     |Emission-line Star             |20 35 20.7811339728 +34 00 45.874818828|074.6094166011405 -03.9028263488209|  -2.131 -5.947   |10.01    |B1III-IVne            |    ~     ~    
6711|BD+33 3962                                                                                                                                                                     |Star                           |20 35 47.4750282360 +33 52 12.932806368|074.5502171790843 -04.0619748675457|  12.650 18.000   |8.94     |K0                    |    ~     ~    
6712|HD 196461                                                                                                                                                                      |Star                           |20 36 25.4133568272 +34 08 28.316804784|074.8464006105957 -04.0046173050845|   -1.335 3.910   |9.00     |B9                    |    ~     ~    
6713|BD+32 3858                                                                                                                                                                     |Star                           |20 33 10.2846869592 +33 24 19.751582412|073.8504660971848 -03.9005459069790| 42.720 -22.646   |8.83     |F8                    |    ~     ~    
6714|BD+32 3858B                                                                                                                                                                    |Star                           |20 33 11.9317488480 +33 24 19.527003504|073.8538179698411 -03.9051980378635| 13.584 -14.418   |10.34    |~                     |    ~     ~    
6715|TYC 2690-636-1                                                                                                                                                                 |Star                           |20 33 16.5824260272 +33 22 47.544481668|073.8427982533888 -03.9333712221630|   1.802 -8.896   |10.96    |~                     |    ~     ~    
6716|BD+32 3867                                                                                                                                                                     |Star                           |20 35 01.4030927232 +33 22 50.107395504|074.0607216444936 -04.2262192693231|  -9.350 -7.409   |9.67     |G0                    |    ~     ~    
6717|BD+32 3867B                                                                                                                                                                    |Star                           |20 35 00.8295372120 +33 22 35.302140948|074.0562179192148 -04.2270692065729|  -9.182 -7.474   |9.32     |F0                    |    ~     ~    
6718|BD+32 3871                                                                                                                                                                     |Spectroscopic Binary           |20 36 25.2850190232 +32 53 43.148263020|073.8457875207754 -04.7508338203464|   7.409 -1.733   |8.24     |K2                    |    ~     ~    
6719|BD+32 3872                                                                                                                                                                     |Star                           |20 36 25.9328235264 +33 05 32.865099936|074.0055730260965 -04.6346004424097|   12.710 3.496   |8.87     |A0                    |    ~     ~    
6720|BD+32 3873                                                                                                                                                                     |Star                           |20 36 39.4125474288 +32 59 51.375584904|073.9576652539282 -04.7291243492258|  -1.440 -7.441   |8.39     |K5                    |    ~     ~    
6721|BD+32 3863                                                                                                                                                                     |Star                           |20 33 44.0287981200 +33 12 08.828497656|073.7564236880170 -04.1155588968411| -17.582 -5.100   |10.23    |~                     |    ~     ~    
6722|BD+33 3933                                                                                                                                                                     |Spectroscopic Binary           |20 31 17.4168946896 +33 37 15.338335080|073.7926207654033 -03.4568954138048|    6.923 1.676   |10.25    |~                     |    ~     ~    
6723|BD+33 3939                                                                                                                                                                     |Star                           |20 31 52.9161320184 +33 31 47.638961040|073.7917039946885 -03.6101016187999|  -1.122 -1.987   |9.71     |~                     |    ~     ~    
6724|IRAS 20325+3335                                                                                                                                                                |Star                           |20 34 33.2701599312 +33 45 33.289911900|074.3072256819928 -03.9221359698807|  -1.918 -4.185   |10.85    |~                     |    ~     ~    
6725|TYC 2689-244-1                                                                                                                                                                 |Double or Multiple Star        |20 30 02.3151 +33 33 26.835            |073.5877694 -03.2832274            |  -0.801 -4.823   |10.55    |~                     |    ~     ~    
6726|BD+35 4145                                                                                                                                                                     |Star                           |20 30 28.6535365632 +35 39 54.366184188|075.3488095365036 -02.1187249966298|   2.197 -1.325   |10.42    |~                     |    ~     ~    
6727|TYC 2697-1410-1                                                                                                                                                                |Star                           |20 30 30.3927867960 +35 39 58.878989568|075.3532895498687 -02.1227489460444|  -0.466 -8.980   |9.564    |~                     |    ~     ~    
6728|TYC 2694-1972-1                                                                                                                                                                |Star                           |20 33 58.3329137088 +35 03 56.583088164|075.2871542653218 -03.0477258565899|-15.400 -26.807   |10.83    |~                     |    ~     ~    
6729|CCDM J20340+3504B                                                                                                                                                              |Star                           |20 33 56.6302694376 +35 03 53.161540164|075.2829282294009 -03.0436255769245|    2.792 8.349   |10.8     |~                     |    ~     ~    
6730|BD+32 3868                                                                                                                                                                     |Star                           |20 35 05.7155408448 +32 59 06.705452040|073.7513477832929 -04.4740046257823|   1.877 -6.176   |9.79     |~                     |    ~     ~    
6731|BDS 10349 B                                                                                                                                                                    |Star                           |20 35 04.7488459632 +32 58 56.257619412|073.7469903583911 -04.4730214700553|   1.680 -7.067   |10.9     |~                     |    ~     ~    
6732|BD+32 3842                                                                                                                                                                     |Star                           |20 30 07.6483812048 +33 19 38.429394960|073.4118979914342 -03.4331310574625| 25.823 -17.874   |8.86     |F0                    |    ~     ~    
6733|HD 195649                                                                                                                                                                      |Star                           |20 31 29.9113115136 +33 05 53.814452856|073.3949722637708 -03.7997633879597|-18.861 -27.444   |7.17     |K0                    |    ~     ~    
6734|HD 196006                                                                                                                                                                      |Star                           |20 33 30.3887263176 +32 54 27.785499804|073.4901623824878 -04.2520125450771|   1.861 -7.431   |7.306    |B2V                   |    ~     ~    
6735|BD+32 3864                                                                                                                                                                     |Star                           |20 34 17.5574681856 +32 54 30.151693404|073.5889070294912 -04.3844153298026|  16.276 10.198   |9.12     |F2                    |    ~     ~    
6736|TYC 2690-1528-1                                                                                                                                                                |Star                           |20 33 50.9735862144 +32 57 05.280061644|073.5683001253836 -04.2840257794406|  23.871 20.288   |10.034   |~                     |    ~     ~    
6737|TYC 2689-14-1                                                                                                                                                                  |Star                           |20 30 21.0401731416 +33 41 54.765647052|073.7403963747770 -03.2530948122169|  34.890 20.532   |10.79    |~                     |    ~     ~    
6738|TYC 2689-35-1                                                                                                                                                                  |Star                           |20 32 35.1391347864 +33 21 22.849167276|073.7382304315743 -03.8310624936916|  2.486 -12.378   |10.92    |~                     |    ~     ~    
6739|TYC 2689-58-1                                                                                                                                                                  |Star                           |20 30 35.9427655800 +33 30 43.794819504|073.6196701126301 -03.4043782744329| -26.459 -9.236   |10.74    |~                     |    ~     ~    
6740|TYC 2689-102-1                                                                                                                                                                 |Star                           |20 30 00.7469298984 +33 39 45.383685444|073.6699073086087 -03.2171843742235|  -5.616 -9.275   |10.77    |~                     |    ~     ~    
6741|TYC 2689-216-1                                                                                                                                                                 |Star                           |20 30 15.6615398424 +33 43 00.773242176|073.7443101844804 -03.2272396505696|    8.966 6.638   |10.67    |~                     |    ~     ~    
6742|TYC 2689-221-1                                                                                                                                                                 |Star                           |20 30 21.9524162952 +33 18 38.861779896|073.4277283831643 -03.4831757628949|  -1.284 -7.078   |10.97    |~                     |    ~     ~    
6743|TYC 2689-294-1                                                                                                                                                                 |Star                           |20 30 18.1998346008 +33 41 58.758070596|073.7355086429629 -03.2444714870765|  20.016 23.190   |10.33    |~                     |    ~     ~    
6744|TYC 2689-368-1                                                                                                                                                                 |Star                           |20 30 35.6867581056 +33 29 09.164176260|073.5978325999709 -03.4190946662975|   8.622 -2.291   |10.72    |~                     |    ~     ~    
6745|TYC 2689-407-1                                                                                                                                                                 |Star                           |20 30 11.1003867408 +33 38 41.509510224|073.6765992355146 -03.2566767535575|  -5.234 -6.349   |10.95    |~                     |    ~     ~    
6746|TYC 2689-418-1                                                                                                                                                                 |Star                           |20 31 20.7116776632 +33 33 32.912199468|073.7493339673516 -03.5025169672443|  -0.248 -6.289   |10.02    |~                     |    ~     ~    
6747|TYC 2689-505-1                                                                                                                                                                 |Star                           |20 31 53.3380632912 +33 05 43.101274632|073.4408512494675 -03.8675893428250|  -0.233 -2.395   |10.57    |~                     |    ~     ~    
6748|TYC 2689-518-1                                                                                                                                                                 |Star                           |20 30 06.6999057072 +33 07 55.788341880|073.2515192158817 -03.5448419506177|   -5.476 0.721   |10.84    |~                     |    ~     ~    
6749|TYC 2689-574-1                                                                                                                                                                 |Pulsating Variable             |20 31 41.2053512880 +33 17 04.817048388|073.5691644045485 -03.7217918141667|  -7.677 -5.601   |10.68    |~                     |    ~     ~    
6750|TYC 2689-594-1                                                                                                                                                                 |Star                           |20 30 03.6412442688 +33 16 09.269953104|073.3565433093820 -03.4558744334817|   -6.190 1.189   |10.25    |~                     |    ~     ~    
