C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
63  |TYC 4534-72-1                                                                                                                               |Star                                |07 00 24.4648463784 +79 33 30.024947880|134.6640262120888 +27.0484608901417| -5.246 -35.469   |10.37    |~                 |    ~     ~    |    1|  200.670   pc  |  -0.6765     +0.6765  |paral   |2020yCat.1350....0G
64  |TYC 4534-813-1                                                                                                                              |Star                                |07 00 24.4020535200 +79 50 51.718183800|134.3395631543850 +27.0637653666526|    4.895 4.139   |10.08    |~                 |    ~     ~    |    1|  933.271   pc  | -10.2777    +10.2777  |paral   |2020yCat.1350....0G
65  |TYC 4534-1281-1                                                                                                                             |Star                                |07 02 33.9429168072 +79 50 24.871305912|134.3529774740969 +27.1584814910557| -8.939 -43.957   |10.37    |~                 |    ~     ~    |    1|  478.744   pc  |  -6.9217     +6.9217  |paral   |2020yCat.1350....0G
66  |BD+81 236                                                                                                                                   |Star                                |07 14 50.5807272576 +81 00 51.024132792|133.0372958441938 +27.6816756099936|-15.640 -20.180   |9.30     |K0                |    ~     ~    |    1|  533.134   pc  |  -3.1550     +3.1550  |paral   |2020yCat.1350....0G
67  |BD+81 237                                                                                                                                   |Star                                |07 14 57.7618225968 +81 02 56.147971056|132.9979433527581 +27.6856024085042|-23.951 -32.850   |9.08     |K                 |    ~     ~    |    1|  378.730   pc  |  -1.7786     +1.7786  |paral   |2020yCat.1350....0G
68  |BD+80 226                                                                                                                                   |Star                                |07 07 50.3802443952 +80 06 32.524623036|134.0584887002068 +27.3959947010819|   -9.419 4.868   |9.09     |K0                |    ~     ~    |    1|  362.332   pc  |  -1.5885     +1.5885  |paral   |2020yCat.1350....0G
69  |HD 51661                                                                                                                                    |Star                                |07 11 17.4501970008 +80 32 41.770367916|133.5685661155029 +27.5445410263381| -4.576 -22.616   |8.23     |A0                |    ~     ~    |    1|  330.633   pc  |  -8.9094     +8.9094  |paral   |2020yCat.1350....0G
70  |BD+79 220                                                                                                                                   |Star                                |07 00 17.5010818848 +78 50 59.363210400|135.4577153380890 +27.0021338447300|  -5.001 14.129   |9.37     |A5                |    ~     ~    |    1|  200.554   pc  |  -0.5028     +0.5028  |paral   |2020yCat.1350....0G
71  |HD 49985                                                                                                                                    |High Proper Motion Star             |07 02 28.5459757224 +79 09 51.858419508|135.1114336817426 +27.1234202524859| -6.227 -80.962   |8.29     |G0                |    ~     ~    |    1|   49.879   pc  |  -0.0612     +0.0612  |paral   |2020yCat.1350....0G
72  |BD+79 223                                                                                                                                   |Star                                |07 04 11.5445758488 +79 10 10.466866128|135.1097411905107 +27.2042310817963|   -0.462 8.104   |8.83     |K0                |    ~     ~    |    1|  557.787   pc  |  -4.9469     +4.9469  |paral   |2020yCat.1350....0G
73  |TYC 4534-396-1                                                                                                                              |Star                                |07 06 17.1755634936 +79 04 27.403956768|135.2210390308312 +27.2993625995397|   2.797 -1.662   |10.09    |K0                |    ~     ~    |    1|  776.217   pc  |  -8.1339     +8.1339  |paral   |2020yCat.1350....0G
74  |TYC 4534-1309-1                                                                                                                             |Star                                |07 07 22.2810390072 +79 46 08.752491300|134.4407769244122 +27.3686963398151|   -1.095 3.805   |10.64    |A5                |    ~     ~    |    1|  312.695   pc  | -15.0285    +15.0285  |paral   |2020yCat.1350....0G
75  |HD 51321                                                                                                                                    |Star                                |07 08 32.6862928824 +79 26 22.351004664|134.8131508886579 +27.4144787669956|    4.843 6.772   |9.86     |A                 |    ~     ~    |    1|  444.267   pc  |  -4.6580     +4.6580  |paral   |2020yCat.1350....0G
76  |AG+79 212                                                                                                                                   |Long-Period Variable Candidate      |07 08 26.9468421696 +79 15 43.956181656|135.0127546308490 +27.4062214854097|  -7.907 -0.403   |8.59     |M1                |    ~     ~    |    1|  932.488   pc  | -16.695     +16.695   |paral   |2020yCat.1350....0G
77  |BD+79 224                                                                                                                                   |Star                                |07 06 45.5209373256 +78 51 43.594803828|135.4605362345903 +27.3148341713054|  -6.332 -2.771   |10.16    |K2                |    ~     ~    |    1| 1089.087   pc  | -14.3519    +14.3519  |paral   |2020yCat.1350....0G
78  |BD+79 227                                                                                                                                   |Star                                |07 08 36.7185285168 +79 09 49.191660540|135.1239281136430 +27.4115975354494|   1.219 -2.688   |9.85     |G5                |    ~     ~    |    1|  675.539   pc  |  -5.7044     +5.7044  |paral   |2020yCat.1350....0G
79  |TYC 4534-1637-1                                                                                                                             |Star                                |07 09 43.1709074376 +79 08 10.796686872|135.1559276838618 +27.4631435866267|   -4.860 0.374   |10.12    |G5                |    ~     ~    |    1| 1498.576   pc  | -25.3768    +25.3768  |paral   |2020yCat.1350....0G
80  |HD 52881                                                                                                                                    |Star                                |07 13 55.1158632744 +78 45 08.833034052|135.5914313782134 +27.6601626182146|  10.578 29.951   |6.923    |A5                |    ~     ~    |    1|   96.854   pc  |  -0.1876     +0.1876  |paral   |2020yCat.1350....0G
