C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
9507 |TYC 2152-1833-1                                                       |Star                           |19 52 47.2759629888 +28 34 18.067839528|065.0455372352389 +00.6497463233058|  -3.073 -5.715  |10.97    |~                      |    ~     ~    
9508 |TYC 2152-2045-1                                                       |Star                           |19 56 34.4325001152 +29 16 32.860388820|066.0763313002827 +00.3039463113230|  -8.841 -3.544  |10.91    |~                      |    ~     ~    
9509 |TYC 2152-2980-1                                                       |Star                           |19 49 35.5095730512 +29 15 22.989416436|065.2776670116796 +01.6006062433206|  -1.807 -7.552  |10.82    |~                      |    ~     ~    
9510 |TYC 2152-3087-1                                                       |Star                           |19 52 59.9541907104 +28 38 16.803522708|065.1262605178199 +00.6439795766848|  -1.171 -4.264  |10.89    |~                      |    ~     ~    
9511 |TYC 2152-3186-1                                                       |Star                           |19 50 39.4543365528 +29 00 33.275191968|065.1830611909407 +01.2745720194497|  -0.619 -2.645  |10.92    |~                      |    ~     ~    
9512 |TYC 2152-3620-1                                                       |Star                           |19 54 33.0336328104 +29 00 50.884820172|065.6236647650520 +00.5463183866166| -3.335 -13.984  |10.63    |~                      |    ~     ~    
9513 |TYC 2152-3658-1                                                       |Star                           |19 57 07.7385527520 +29 13 28.339466520|066.0955565858973 +00.1738768377073|  -6.647 -4.073  |10.10    |~                      |    ~     ~    
9514 |TYC 2152-4975-1                                                       |Star                           |19 50 09.2203466400 +28 35 27.572313768|064.7667340462432 +01.1568013253572|  -3.734 -6.546  |10.90    |~                      |    ~     ~    
9515 |TYC 2152-5001-1                                                       |Star                           |19 57 11.0354694672 +28 09 56.179135728|065.1978660166618 -00.3879470727747|  -0.651 -7.893  |10.92    |~                      |    ~     ~    
9516 |TYC 2152-5403-1                                                       |Star                           |19 55 45.9169499376 +28 14 32.639825616|065.1010716350166 -00.0809992243340|  -2.199 -9.886  |10.41    |~                      |    ~     ~    
9517 |TYC 2152-5412-1                                                       |Star                           |19 49 25.9922160096 +28 52 47.076366684|064.9353518530182 +01.4394733569920|  -9.352 -9.004  |10.91    |~                      |    ~     ~    
9518 |TYC 2152-5549-1                                                       |Star                           |19 51 38.6348007144 +28 27 20.940565248|064.8173044600191 +00.8062776099645|  -1.468 -5.731  |10.48    |~                      |    ~     ~    
9519 |TYC 2153-41-1                                                         |Star                           |19 58 20.3918385168 +28 31 54.721888248|065.6430343664462 -00.4137326382815|   6.908 -0.248  |10.15    |~                      |    ~     ~    
9520 |2MASS J19592180+2958177                                               |Long-Period Variable           |19 59 21.8192074320 +29 58 17.760190836|066.9863535923960 +00.1503685922660|   0.332 14.522  |10.78    |~                      |    ~     ~    
9521 |TYC 2153-230-1                                                        |Star                           |19 58 41.4878585376 +28 28 10.526441196|065.6303851251285 -00.5121478607556|  -3.203 -0.444  |10.24    |~                      |    ~     ~    
9522 |TYC 2153-631-1                                                        |Star                           |19 59 51.5458446648 +29 46 37.541032248|066.8772691118924 -00.0431983303091|    5.265 1.440  |10.73    |~                      |    ~     ~    
9523 |TYC 2153-1073-1                                                       |Star                           |19 57 41.4531140832 +28 09 03.553864092|065.2436446922833 -00.4909227062175|  -3.667 -6.308  |10.82    |~                      |    ~     ~    
9524 |TYC 2153-1399-1                                                       |Star                           |19 58 48.1459478016 +29 40 02.860708548|066.6635496729191 +00.0945457354781|   0.754 -1.752  |10.62    |~                      |    ~     ~    
9525 |TYC 2153-1627-1                                                       |Star                           |19 58 39.6651984432 +29 03 18.244610928|066.1257230010831 -00.1999325119831|   1.304 -4.200  |10.83    |~                      |    ~     ~    
9526 |TYC 2153-1698-1                                                       |Star                           |19 59 40.8744183552 +29 59 28.763169576|067.0392544118039 +00.1022005535226| -9.135 -12.025  |10.87    |~                      |    ~     ~    
9527 |TYC 2153-1791-1                                                       |Star                           |19 59 04.2127292160 +28 58 32.629195488|066.1050097342772 -00.3176850025793|   1.033 -4.024  |10.30    |~                      |    ~     ~    
9528 |TYC 2656-317-1                                                        |Star                           |19 47 50.8860815400 +31 06 12.783259080|066.6824969851319 +02.8589871763972|   -1.539 2.960  |10.99    |~                      |    ~     ~    
9529 |TYC 2656-415-1                                                        |Star                           |19 47 43.0400821176 +31 27 14.154478884|066.9716955941199 +03.0593232746338|  -9.666 -9.866  |10.87    |~                      |    ~     ~    
9530 |TYC 2656-489-1                                                        |Star                           |19 47 52.1458377480 +30 16 04.236358584|065.9618817002516 +02.4344277986165|  -9.411 -7.501  |10.64    |~                      |    ~     ~    
9531 |TYC 2656-708-1                                                        |Star                           |19 46 53.4919694184 +30 52 06.377911680|066.3758306183964 +02.9181774550740|  -5.956 -5.528  |10.63    |~                      |    ~     ~    
9532 |HD 186789A                                                            |Star                           |19 45 20.1102350586 +30 48 02.083869370|066.1496858272864 +03.1735712639919|   2.169 -5.010  |8.80     |~                      |    ~     ~    
9533 |HD 186789B                                                            |Pulsating Variable             |19 45 20.2263261669 +30 48 00.215780415|066.1494428228204 +03.1729523682704|   5.027 -5.218  |9.58     |~                      |    ~     ~    
9534 |TYC 2656-4488-1                                                       |Star                           |19 45 37.2954899256 +30 02 26.605695912|065.5212410438733 +02.7407866611521|   1.506 -6.707  |10.81    |~                      |    ~     ~    
9535 |TYC 2656-4496-1                                                       |Star                           |19 45 48.9167300112 +30 22 02.302692132|065.8253973670740 +02.8677424829188|  -1.138 -2.406  |10.90    |~                      |    ~     ~    
9536 |TYC 2660-403-1                                                        |Star                           |19 46 29.9063459016 +33 36 37.904865948|068.7137458742459 +04.3612444599715|   2.635 -2.528  |10.49    |~                      |    ~     ~    
9537 |TYC 2660-493-1                                                        |Star                           |19 46 41.5065348792 +33 29 19.273189452|068.6279784252040 +04.2655694691919|   1.788 -5.315  |10.87    |~                      |    ~     ~    
9538 |TYC 2660-539-1                                                        |Star                           |19 46 00.0029888496 +33 43 56.679597228|068.7679858613796 +04.5118538403522| -11.793 -4.846  |10.20    |~                      |    ~     ~    
9539 |TYC 2660-567-1                                                        |Star                           |19 45 04.6024708656 +33 23 08.280892140|068.3702336755671 +04.5066181530509|  -2.395 -5.369  |10.59    |~                      |    ~     ~    
9540 |2MASS J19463259+3244015                                               |Long-Period Variable           |19 46 32.5913975784 +32 44 01.538038572|067.9565737275410 +03.9157223216704|   12.073 3.743  |10.49    |~                      |    ~     ~    
9541 |TYC 2660-1111-1                                                       |Star                           |19 46 39.3486670752 +32 50 04.571808036|068.0559959417278 +03.9455756617843|  -5.728 -8.173  |10.91    |~                      |    ~     ~    
9542 |TYC 2660-1264-1                                                       |Star                           |19 47 10.7093200896 +32 42 59.473269036|068.0085624400771 +03.7913857758885| -1.202 -20.366  |10.91    |~                      |    ~     ~    
9543 |TYC 2660-1376-1                                                       |Star                           |19 46 39.8358784368 +32 37 50.261256804|067.8797430563881 +03.8421978675391|    3.860 0.518  |10.96    |~                      |    ~     ~    
9544 |GSC 02660-01386                                                       |Double or Multiple Star        |19 46 34.5252992736 +32 43 16.871878164|067.9491921734600 +03.9036534570341|   0.315 -4.242  |10.068   |~                      |    ~     ~    
9545 |TYC 2660-1678-1                                                       |Star                           |19 45 42.4551420600 +32 16 54.077191680|067.4757741612950 +03.8429553924481| 10.280 -32.317  |10.98    |~                      |    ~     ~    
9546 |TYC 2660-1768-1                                                       |Star                           |19 46 08.3723642616 +32 14 34.483879392|067.4877139928987 +03.7444651495099|  -2.520 -2.820  |10.97    |~                      |    ~     ~    
9547 |TYC 2660-2235-1                                                       |Star                           |19 45 45.4203821808 +33 03 38.363118696|068.1582248971939 +04.2217238338464|  -3.998 -3.407  |10.94    |~                      |    ~     ~    
9548 |TYC 2660-2639-1                                                       |Star                           |19 45 02.9807426568 +33 00 38.705112756|068.0409356985665 +04.3255809989004|  -1.127 -2.838  |10.94    |~                      |    ~     ~    
9549 |TYC 2660-3454-1                                                       |Star                           |19 45 45.5421957552 +32 19 35.656645656|067.5202078837173 +03.8558875408451|-14.165 -14.381  |10.56    |~                      |    ~     ~    
9550 |TYC 2660-3791-1                                                       |Star                           |19 46 08.7041094144 +32 32 28.714529580|067.7474878014093 +03.8923138858270|  -2.406 -3.167  |10.98    |~                      |    ~     ~    
9551 |TYC 2660-3918-1                                                       |Star                           |19 45 28.4696012592 +32 32 01.406753844|067.6703304997568 +04.0110860316691|  -2.492 -1.713  |10.81    |~                      |    ~     ~    
9552 |TYC 2660-4173-1                                                       |Star                           |19 46 05.4536931072 +32 24 45.108880344|067.6299026831917 +03.8379887148064|  -4.072 -8.399  |10.92    |~                      |    ~     ~    
9553 |TYC 2664-339-1                                                        |Star                           |19 46 48.1283620152 +34 05 21.478224336|069.1615775655574 +04.5452365826373|   2.660 -2.291  |10.81    |~                      |    ~     ~    
9554 |TYC 2664-527-1                                                        |Star                           |19 47 40.4911220424 +34 57 45.899018136|070.0110630738685 +04.8252623806915|   0.342 -5.996  |10.64    |~                      |    ~     ~    
9555 |TYC 2664-797-1                                                        |Star                           |19 46 31.2973534728 +35 05 34.323414108|070.0062765111182 +05.0947898032645|  -0.040 -4.211  |10.90    |~                      |    ~     ~    
9556 |TYC 2664-927-1                                                        |Star                           |19 45 20.8050511800 +35 09 30.740349816|069.9439952682453 +05.3359867422745|   3.626 -4.654  |10.97    |~                      |    ~     ~    
9557 |TYC 2664-1189-1                                                       |Star                           |19 46 13.0518088045 +35 22 24.189124320|070.2198493648530 +05.2879388963693|  13.670 -1.312  |10.96    |~                      |    ~     ~    
9558 |TYC 2664-1272-1                                                       |Star                           |19 47 58.3264775472 +35 25 49.113809040|070.4480797403854 +05.0061458101684|   4.891 -4.895  |9.79     |~                      |    ~     ~    
9559 |TYC 2668-575-1                                                        |Star                           |19 46 27.4224704832 +36 05 04.190931384|070.8644469596764 +05.5982227307515|  -0.948 -0.916  |10.32    |~                      |    ~     ~    
9560 |TYC 2668-637-1                                                        |Star                           |19 46 30.4288144032 +36 07 03.577136088|070.8984294968035 +05.6058648437396|   2.461 -5.021  |10.88    |~                      |    ~     ~    
9561 |TYC 2668-674-1                                                        |Star                           |19 46 06.8083038312 +37 06 52.713163836|071.7303234631361 +06.1675153065650|  6.515 -12.001  |10.72    |~                      |    ~     ~    
9562 |TYC 2668-692-1                                                        |Star                           |19 47 35.4522324312 +36 09 08.595324468|071.0378944620353 +05.4331974065007|   -0.649 0.795  |10.92    |~                      |    ~     ~    
9563 |TYC 2668-746-1                                                        |Star                           |19 45 16.2861379632 +37 00 10.742650488|071.5493413114644 +06.2587145040744|  -6.273 -9.773  |10.27    |~                      |    ~     ~    
9564 |TYC 2668-958-1                                                        |Star                           |19 45 52.9303256760 +36 59 21.506323092|071.5977674041979 +06.1458430994195|   -1.415 0.705  |10.57    |~                      |    ~     ~    
9565 |TYC 2669-37-1                                                         |Star                           |19 51 23.0819709288 +30 02 46.257880848|066.1561452051959 +01.6669949195808|    7.737 2.316  |10.88    |~                      |    ~     ~    
9566 |TYC 2669-59-1                                                         |Star                           |19 48 31.6513783224 +30 57 05.926287024|066.6245315075811 +02.6567292173180|  -3.250 -4.005  |10.78    |~                      |    ~     ~    
9567 |TYC 2669-328-1                                                        |Star                           |19 48 10.7626183296 +31 48 46.227855744|067.3319048219882 +03.1548151226293|   1.572 -2.200  |10.71    |~                      |    ~     ~    
9568 |BD+31 3792                                                            |Star                           |19 48 59.0190190944 +31 47 59.450051652|067.4069084511588 +03.0006798038960|   1.558 -2.173  |10.22    |~                      |    ~     ~    
9569 |TYC 2669-420-1                                                        |Star                           |19 48 53.6321919216 +31 48 53.287141356|067.4101975130451 +03.0246941770898|  -2.472 -5.631  |10.98    |~                      |    ~     ~    
9570 |TYC 2669-920-1                                                        |Star                           |19 51 33.4207007784 +31 49 38.207795844|067.7081812228720 +02.5434390521040|  -4.893 -3.958  |10.65    |~                      |    ~     ~    
9571 |TYC 2669-1072-1                                                       |Star                           |19 54 56.4381368976 +31 46 00.966968652|068.0253550559807 +01.8953008059347|  -4.969 -8.149  |10.91    |~                      |    ~     ~    
9572 |TYC 2669-1156-1                                                       |Star                           |19 48 37.5269612760 +30 06 13.856604408|065.9026604381847 +02.2105800755199|   8.458 -8.727  |10.38    |~                      |    ~     ~    
9573 |TYC 2669-1455-1                                                       |Star                           |19 54 51.9433915776 +30 56 48.396939216|067.3143588368019 +01.4856156568417|    1.211 0.533  |10.77    |~                      |    ~     ~    
9574 |TYC 2669-1619-1                                                       |Star                           |19 52 23.3333553552 +31 27 05.617223820|067.4753087300334 +02.1993780723041|  -7.059 -1.591  |10.96    |~                      |    ~     ~    
9575 |TYC 2669-1723-1                                                       |Star                           |19 49 57.9505490520 +30 12 44.698452660|066.1431405437692 +02.0156851134539| -14.931 -7.069  |10.98    |~                      |    ~     ~    
9576 |TYC 2669-1739-1                                                       |Star                           |19 48 34.4296870032 +31 37 27.010392204|067.2109859889923 +02.9873215853599| -7.658 -19.856  |10.79    |~                      |    ~     ~    
9577 |TYC 2669-2016-1                                                       |Star                           |19 53 17.3938612920 +30 58 36.902709696|067.1662226815413 +01.7907474264586|  -8.281 -7.262  |10.99    |~                      |    ~     ~    
9578 |TYC 2669-2080-2                                                       |Star                           |19 54 23.013 +30 01 29.05              |066.470727 +01.098835              |        2.5 3.3  |10.05    |~                      |    ~     ~    
9579 |TYC 2669-2093-1                                                       |Star                           |19 53 33.8770701336 +31 34 28.083437832|067.7094328304057 +02.0471960641138|  -2.784 -6.300  |10.90    |~                      |    ~     ~    
9580 |TYC 2669-2325-1                                                       |Star                           |19 52 47.4996414504 +30 44 14.905932432|066.9057049522006 +01.7597255990547|  -2.088 -4.512  |10.84    |~                      |    ~     ~    
9581 |TYC 2669-2348-1                                                       |Star                           |19 52 18.8174153904 +31 38 34.274887440|067.6316294371107 +02.3109672099762| -6.792 -19.506  |10.07    |~                      |    ~     ~    
9582 |TYC 2669-2985-1                                                       |Star                           |19 53 09.3653043096 +31 14 23.414253972|067.3773019410944 +01.9502473993493|   -1.700 2.831  |10.67    |~                      |    ~     ~    
9583 |TYC 2669-3033-1                                                       |Star                           |19 56 09.8893150848 +31 20 54.673358676|067.8021237254036 +01.4556526794963|   6.913 -9.732  |10.84    |~                      |    ~     ~    
9584 |TYC 2669-3361-1                                                       |Star                           |19 56 27.7086183264 +31 30 24.224669424|067.9702970390860 +01.4835844510492|  -2.770 -5.106  |9.96     |~                      |    ~     ~    
9585 |TYC 2669-3514-1                                                       |Star                           |19 48 12.2155286952 +30 34 31.316247264|066.2641337225279 +02.5270814888097| -13.197 -5.116  |10.87    |~                      |    ~     ~    
9586 |TYC 2669-4009-1                                                       |Star                           |19 51 56.3844284040 +31 10 00.095297196|067.1812135767331 +02.1362535374167|   5.391 -3.965  |10.82    |~                      |    ~     ~    
9587 |TYC 2669-4022-1                                                       |Star                           |19 53 47.5927217016 +30 39 23.399699868|066.9467817540759 +01.5333932417351|   1.241 -5.570  |10.89    |~                      |    ~     ~    
9588 |TYC 2669-4533-1                                                       |Star                           |19 56 02.6029728984 +31 13 55.711310916|067.6891248552454 +01.4174914115998|   2.122 -3.341  |10.93    |~                      |    ~     ~    
9589 |TYC 2669-4777-1                                                       |Star                           |19 49 48.2514316704 +30 17 28.035189600|066.1932863737527 +02.0856973534954|  -1.049 -7.563  |10.98    |~                      |    ~     ~    
9590 |TYC 2670-14-1                                                         |Star                           |19 58 02.0316931440 +31 41 17.840988924|068.2996809715372 +01.2922984993462|   -5.602 5.878  |10.97    |~                      |    ~     ~    
9591 |TYC 2670-561-1                                                        |Star                           |19 58 51.7814710704 +30 41 24.924452928|067.5416502999987 +00.6191948178476|-10.290 -24.039  |10.97    |~                      |    ~     ~    
9592 |TYC 2670-1204-1                                                       |Spectroscopic Binary           |19 59 36.6871338600 +31 46 53.639503320|068.5548312005259 +01.0553584882149|   2.519 -0.831  |10.98    |~                      |    ~     ~    
9593 |TYC 2670-2231-1                                                       |Star                           |19 59 40.3804123128 +30 25 59.997309924|067.4143997449954 +00.3359606425458| -2.735 -26.854  |10.92    |~                      |    ~     ~    
9594 |TYC 2670-2320-1                                                       |Star                           |19 59 06.7123043904 +30 58 30.770630796|067.8123539262736 +00.7230402302979|-13.114 -16.078  |10.97    |~                      |    ~     ~    
9595 |TYC 2670-4063-1                                                       |Star                           |19 58 58.4354746584 +30 07 59.929488840|067.0798062334186 +00.3069901252012|  -3.351 -6.087  |10.75    |~                      |    ~     ~    
9596 |TYC 2673-91-1                                                         |Star                           |19 52 13.5252113424 +33 08 20.935871016|068.9100402605324 +03.0910730846124| -0.790 -12.839  |10.99    |~                      |    ~     ~    
9597 |TYC 2673-218-1                                                        |Star                           |19 56 21.8643419520 +33 12 36.399259800|069.4167833111004 +02.3847153734964|  -1.462 -4.436  |10.97    |~                      |    ~     ~    
9598 |TYC 2673-244-1                                                        |Star                           |19 55 06.3658205760 +33 17 24.920587356|069.3493279665854 +02.6513436783713| -4.240 -11.670  |10.59    |~                      |    ~     ~    
9599 |TYC 2673-274-1                                                        |Star                           |19 54 37.1415046608 +33 40 50.168620056|069.6319387083803 +02.9394507770593|  -3.188 -6.585  |10.84    |~                      |    ~     ~    
9600 |TYC 2673-286-1                                                        |Star                           |19 53 24.0228775368 +33 21 31.792889016|069.2248678559342 +02.9922366230524|  1.421 -22.076  |10.73    |~                      |    ~     ~    
9601 |TYC 2673-307-1                                                        |Star                           |19 48 24.0437255952 +33 17 13.623560736|068.6321182070252 +03.8558525174474|   0.002 -9.221  |10.64    |~                      |    ~     ~    
9602 |TYC 2673-315-1                                                        |Star                           |19 54 20.1383765256 +33 09 49.772862612|069.1577683209183 +02.7243554960660|  -2.442 -3.428  |10.60    |~                      |    ~     ~    
9603 |TYC 2673-383-1                                                        |Star                           |19 48 12.3429137928 +33 10 33.300217488|068.5152168739940 +03.8352555693482| -7.427 -11.871  |10.61    |~                      |    ~     ~    
9604 |TYC 2673-398-1                                                        |Star                           |19 52 14.5544216832 +33 23 32.237196828|069.1299425351185 +03.2170958741560| -6.791 -11.227  |10.83    |~                      |    ~     ~    
9605 |TYC 2673-525-1                                                        |Star                           |19 54 35.2850021280 +32 22 56.580646548|068.5144839549451 +02.2766470611346| -7.047 -36.372  |10.88    |~                      |    ~     ~    
9606 |TYC 2673-921-1                                                        |Star                           |19 52 17.7409077648 +31 57 18.694186344|067.8983796541910 +02.4738731725031|   1.168 -6.817  |10.88    |~                      |    ~     ~    
9607 |TYC 2673-1628-1                                                       |Star                           |19 55 44.7669040632 +32 53 53.711442852|069.0826143860546 +02.3341163444804| 11.134 -17.700  |10.98    |~                      |    ~     ~    
9608 |TYC 2673-2012-1                                                       |Star                           |19 55 53.4754276992 +32 55 46.116260328|069.1251282680989 +02.3241989547814|   -1.201 1.847  |10.72    |~                      |    ~     ~    
9609 |TYC 2673-2548-1                                                       |High Proper Motion Star        |19 51 05.9145946488 +32 00 39.485404368|067.8168637256439 +02.7206893175487|   86.394 7.252  |10.89    |~                      |    ~     ~    
9610 |TYC 2673-2663-1                                                       |Star                           |19 48 49.9418439912 +32 58 02.780730624|068.4007956651229 +03.6169422379605|  17.590 43.808  |10.97    |~                      |    ~     ~    
9611 |TYC 2673-2896-1                                                       |Star                           |19 51 03.0974991360 +32 00 26.808557580|067.8087603770054 +02.7274681202727|  -1.919 -7.641  |10.70    |~                      |    ~     ~    
9612 |TYC 2673-2988-1                                                       |Star                           |19 56 55.3608118728 +31 58 59.648895048|068.4285314028786 +01.6474041739095|-10.650 -21.363  |10.74    |~                      |    ~     ~    
9613 |TYC 2673-3152-1                                                       |Star                           |19 51 40.4468902992 +31 57 23.928229260|067.8322754424875 +02.5879934524664|    1.110 0.533  |10.80    |~                      |    ~     ~    
9614 |TYC 2673-3388-1                                                       |Star                           |19 54 50.6180318136 +32 02 26.050805016|068.2492614577706 +02.0541249064446|   1.698 -5.784  |10.44    |~                      |    ~     ~    
9615 |TYC 2673-3469-1                                                       |Star                           |19 55 14.1313816992 +32 53 33.299840004|069.0223319248577 +02.4229548069070|  -0.740 -6.044  |10.84    |~                      |    ~     ~    
9616 |TYC 2673-3482-1                                                       |Star                           |19 55 30.6455433504 +32 22 34.116525660|068.6097397496190 +02.1065662141012| -2.795 -11.553  |10.65    |~                      |    ~     ~    
9617 |TYC 2673-3838-1                                                       |Star                           |19 56 01.1021692824 +32 39 35.750236464|068.9081623314860 +02.1618209314343|   -2.359 0.085  |10.94    |~                      |    ~     ~    
9618 |TYC 2673-4202-1                                                       |Star                           |19 55 50.1550989072 +32 35 47.929068024|068.8340793338432 +02.1619296058153|  -0.581 -5.275  |10.54    |~                      |    ~     ~    
9619 |TYC 2673-4264-1                                                       |Star                           |19 56 23.4656824944 +32 32 41.756064216|068.8504481632432 +02.0350920548428|-10.324 -12.435  |10.64    |~                      |    ~     ~    
9620 |TYC 2673-4661-1                                                       |Star                           |19 48 01.3718691120 +32 06 19.775970216|067.5685289065975 +03.3307004345022|  -4.893 -9.246  |10.98    |~                      |    ~     ~    
9621 |TYC 2674-992-1                                                        |Star                           |19 58 38.4155807736 +32 47 22.279055100|069.3059965617501 +01.7583531732749|  -1.957 -6.138  |10.99    |~                      |    ~     ~    
9622 |TYC 2674-1793-1                                                       |Star                           |19 58 26.2028939280 +32 38 23.332350192|069.1559213167026 +01.7165979946732| -13.480 -3.229  |9.70     |~                      |    ~     ~    
9623 |TYC 2674-2222-1                                                       |Star                           |19 59 48.8425670016 +33 31 45.220474596|070.0651575725601 +01.9366373504365|   -0.398 0.014  |10.90    |~                      |    ~     ~    
9624 |TYC 2674-2701-1                                                       |Star                           |19 58 32.5541395680 +32 57 47.056300452|069.4432904243475 +01.8665627119753|   1.926 -4.601  |10.97    |~                      |    ~     ~    
9625 |TYC 2674-3238-1                                                       |Star                           |19 59 25.8501732200 +33 17 48.247071275|069.8251394232508 +01.8827586198038|  -5.163 -7.760  |10.97    |~                      |    ~     ~    
9626 |TYC 2674-4176-1                                                       |Star                           |19 59 59.4690863520 +33 10 43.999240548|069.7862976394005 +01.7211800758605|    3.318 3.842  |10.80    |~                      |    ~     ~    
9627 |TYC 2674-4731-1                                                       |Star                           |19 58 55.5267769584 +32 11 42.237579768|068.8307090937308 +01.3960440690183| -6.577 -13.933  |10.82    |~                      |    ~     ~    
9628 |TYC 2674-4920-1                                                       |Star                           |19 57 02.5396644168 +33 12 23.653951884|069.4873931183787 +02.2616596525354|  -3.097 -5.587  |10.97    |~                      |    ~     ~    
9629 |TYC 2677-46-1                                                         |Star                           |19 50 47.7852986376 +33 59 03.367005612|069.4875103730641 +03.7770566274515| -4.382 -13.263  |10.86    |~                      |    ~     ~    
9630 |TYC 2677-54-1                                                         |Star                           |19 53 07.7859625320 +34 24 09.774212652|070.0944824737024 +03.5745641646489|  -5.100 -6.267  |10.93    |~                      |    ~     ~    
9631 |TYC 2677-102-1                                                        |Star                           |19 50 39.3409429152 +34 18 07.291304820|069.7473731854093 +03.9630575385953|  -0.868 14.032  |10.90    |~                      |    ~     ~    
9632 |TYC 2677-134-1                                                        |Star                           |19 49 44.1320464248 +34 20 42.485635788|069.6884726560093 +04.1487961935838|  -0.995 -3.927  |10.60    |~                      |    ~     ~    
9633 |TYC 2677-144-1                                                        |Star                           |19 52 34.6113345480 +34 29 21.261614316|070.1107473829378 +03.7167501716315|   0.647 -0.395  |10.93    |~                      |    ~     ~    
9634 |TYC 2677-166-1                                                        |Star                           |19 50 23.2955710416 +35 04 33.605561244|070.3891459472564 +04.4016706780959| -8.952 -13.964  |10.84    |~                      |    ~     ~    
9635 |TYC 2677-227-1                                                        |Star                           |19 54 16.0829895504 +34 34 24.594857616|070.3617833654227 +03.4605355450768|   2.795 -0.791  |10.67    |~                      |    ~     ~    
9636 |TYC 2677-484-1                                                        |Star                           |19 51 51.3652957680 +34 50 35.886909840|070.3406456075639 +04.0245038652303|  -9.583 -7.164  |10.99    |~                      |    ~     ~    
9637 |TYC 2677-501-1                                                        |Star                           |19 48 15.8559402624 +34 44 33.856815228|069.8805635076068 +04.6105247402529|  -0.912 -3.672  |10.74    |~                      |    ~     ~    
9638 |TYC 2677-545-1                                                        |Star                           |19 54 34.9035172704 +35 26 02.631573636|071.1349665030752 +03.8469513260895| -3.663 -12.738  |10.95    |~                      |    ~     ~    
9639 |TYC 2677-552-1                                                        |Star                           |19 50 17.6241468384 +34 47 27.176418456|070.1325079024402 +04.2744619551600|   0.076 -1.185  |10.68    |~                      |    ~     ~    
9640 |TYC 2677-618-1                                                        |Star                           |19 51 30.8662384200 +35 23 18.772280340|070.7762129283538 +04.3613573537785|   1.387 -8.239  |10.91    |~                      |    ~     ~    
9641 |TYC 2677-646-1                                                        |Star                           |19 48 07.1888897640 +33 51 54.736580880|069.1039079949742 +04.1966169166253|    4.359 7.724  |10.89    |~                      |    ~     ~    
9642 |TYC 2677-664-1                                                        |Star                           |19 49 12.8043940728 +34 57 10.405991628|070.1609424079120 +04.5474865289519| -1.550 -10.759  |10.96    |~                      |    ~     ~    
9643 |TYC 2677-677-1                                                        |Star                           |19 50 36.9487940568 +34 08 27.347413308|069.6039227989546 +03.8886388435874|  -1.383 -0.056  |10.95    |~                      |    ~     ~    
9644 |TYC 2677-837-1                                                        |Star                           |19 48 07.1075534616 +35 29 03.279778836|070.5099266505461 +05.0072717559125|  -3.075 -6.429  |10.97    |~                      |    ~     ~    
9645 |TYC 2677-926-1                                                        |Spectroscopic Binary           |19 53 26.8196167704 +35 21 58.131946152|070.9578338690761 +04.0108255335020|  -1.712 -3.209  |10.63    |~                      |    ~     ~    
9646 |TYC 2677-1208-1                                                       |Star                           |19 50 14.2965449304 +34 25 24.698129232|069.8088051281493 +04.0988058778880|  -1.757 -1.334  |10.81    |~                      |    ~     ~    
9647 |TYC 2677-1269-1                                                       |Star                           |19 50 47.9873673552 +34 30 21.359616696|069.9387489303315 +04.0406183808906|  -2.584 -4.994  |10.00    |~                      |    ~     ~    
9648 |TYC 2678-86-1                                                         |Star                           |19 57 14.5361983560 +35 06 11.816480160|071.1317832846299 +03.2110978072086|   1.444 -3.585  |10.77    |~                      |    ~     ~    
9649 |TYC 2678-374-1                                                        |Star                           |19 58 02.2556077464 +34 40 38.113614444|070.8521991502193 +02.8503345407875|-13.681 -14.639  |10.88    |~                      |    ~     ~    
9650 |TYC 2678-1328-1                                                       |Star                           |19 58 35.2142973624 +33 53 14.589156300|070.2367891607213 +02.3415946390862|   1.384 -5.549  |10.50    |~                      |    ~     ~    
9651 |TYC 2678-1434-1                                                       |Star                           |19 58 53.1847831968 +33 51 43.947793332|070.2478196022612 +02.2754340120515|    4.381 2.706  |10.81    |~                      |    ~     ~    
9652 |TYC 2678-1472-1                                                       |Star                           |19 57 09.2056853976 +33 56 11.094569340|070.1236375012482 +02.6210169050489|  -3.117 -8.505  |10.93    |~                      |    ~     ~    
9653 |TYC 2678-2337-1                                                       |Star                           |19 58 14.1962168760 +34 11 07.721193984|070.4533992213629 +02.5590608648436|   2.059 -3.769  |10.79    |~                      |    ~     ~    
9654 |TYC 2678-2503-1                                                       |Star                           |19 59 16.2809534688 +34 09 02.959648416|070.5357524675156 +02.3584554120063|  -2.753 -6.623  |10.96    |~                      |    ~     ~    
9655 |TYC 2678-2513-1                                                       |Star                           |19 58 38.5522709304 +34 10 14.995130052|070.4847467943057 +02.4797987360977| -6.267 -13.152  |10.79    |~                      |    ~     ~    
