C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:53:35

dec< 0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8404

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
43  |CF 17336                                                                                                 |Star                           |17 48 10.3186883280 -44 04 13.754319132|347.2345264997961 -08.2140487295576|  -2.160 -4.625     |10.52    |~               |    ~     ~          |    1|  694.444   pc  |  -8.7288     +8.7288    |paral   |2020yCat.1350....0G
44  |HD 161533                                                                                                |Star                           |17 48 13.5293028912 -44 25 34.895487108|346.9281403263233 -08.4006614965767|   8.788 -4.812     |9.42     |K2III           |    ~     ~          |    1|  643.791   pc  |  -6.4242     +6.4242    |paral   |2020yCat.1350....0G
45  |HD 161597                                                                                                |Star                           |17 48 34.8896526528 -44 20 30.131928672|347.0344048230917 -08.4133793315841| -7.324 -13.567     |8.59     |F0IV/V          |    ~     ~          |    1|  239.561   pc  |  -1.1707     +1.1707    |paral   |2020yCat.1350....0G
46  |IRAS 17421-4215                                                                                          |Star                           |17 45 42.1288189416 -42 16 54.978342312|348.5608879306715 -06.9206213006214|  -0.852 -0.767     |10.66    |~               |    ~     ~          |    1| 1195.743   pc  | -49.4711    +49.4711    |paral   |2020yCat.1350....0G
47  |CD-43 11991                                                                                              |Star                           |17 45 43.8536889336 -43 38 10.667013648|347.3886276102700 -07.6149768925941|  2.754 -11.881     |10.03    |~               |    ~     ~          |    1| 1024.275   pc  | -20.4582    +20.4582    |paral   |2020yCat.1350....0G
48  |CD-44 12054                                                                                              |Star                           |17 46 45.7625725680 -44 52 38.397856764|346.4018662406769 -08.4020709867181|-20.296 -18.362     |10.31    |~               |    ~     ~          |    1|  559.034   pc  |  -5.0941     +5.0941    |paral   |2020yCat.1350....0G
49  |CD-44 12064                                                                                              |Star                           |17 47 20.6753464560 -44 14 04.916720400|347.0157537250811 -08.1682112167921|   3.070 -0.134     |9.94     |~               |    ~     ~          |    1|  886.054   pc  | -10.6772    +10.6772    |paral   |2020yCat.1350....0G
50  |CD-44 12066                                                                                              |Star                           |17 47 27.7589072376 -44 55 41.925462276|346.4202688476711 -08.5348466929130|  0.494 -10.897     |10.05    |~               |    ~     ~          |    1|  627.235   pc  |  -6.0587     +6.0587    |paral   |2020yCat.1350....0G
51  |CD-42 12475                                                                                              |High Proper Motion Star        |17 47 34.6786280040 -42 24 57.873444264|348.6219489713914 -07.2872852767152|-54.995 -35.795     |9.67     |~               |    ~     ~          |    1|  471.098   pc  |  -3.4400     +3.4400    |paral   |2020yCat.1350....0G
52  |CD-44 12053                                                                                              |Star                           |17 46 38.2369583808 -44 56 46.563980244|346.3303563396490 -08.4175915919966|  2.826 -13.819     |10.05    |~               |    ~     ~          |    1|  644.912   pc  |  -5.9059     +5.9059    |paral   |2020yCat.1350....0G
53  |CD-42 12478                                                                                              |Star                           |17 47 49.0716304656 -43 00 28.292606820|348.1292771219222 -07.6241992762774| -5.819 -13.567     |9.70     |~               |    ~     ~          |    1|  497.290   pc  |  -3.4622     +3.4622    |paral   |2020yCat.1350....0G
54  |TYC 7893-1295-1                                                                                          |Star                           |17 45 55.6745589024 -42 32 14.515865736|348.3609378947718 -07.0867357267867|  5.453 -33.923     |10.41    |~               |    ~     ~          |    1|  171.321   pc  |  -6.3897     +6.3897    |paral   |2020yCat.1350....0G
55  |TYC 7893-1357-1                                                                                          |Star                           |17 45 52.0623880008 -42 36 26.838944748|348.2944724627006 -07.1129130718522|   1.664 -2.233     |10.15    |~               |    ~     ~          |    1|  615.233   pc  |  -5.8669     +5.8669    |paral   |2020yCat.1350....0G
56  |TYC 7893-1454-1                                                                                          |Star                           |17 48 21.4704200160 -42 24 19.890102240|348.7044166423594 -07.4062089851297| -7.023 -13.848     |10.67    |~               |    ~     ~          |    1|  257.938   pc  |  -1.0645     +1.0645    |paral   |2020yCat.1350....0G
57  |TYC 7893-1514-1                                                                                          |Star                           |17 48 44.2987980216 -42 59 20.067048060|348.2312569420963 -07.7601036369916|  2.757 -11.631     |10.84    |~               |    ~     ~          |    1|  282.717   pc  |  -1.1909     +1.1909    |paral   |2020yCat.1350....0G
58  |TYC 7893-1630-1                                                                                          |Star                           |17 47 51.7731687840 -42 39 46.407854592|348.4339244857912 -07.4572877985882|  -1.887 -6.273     |10.45    |~               |    ~     ~          |    1|  852.660   pc  | -15.1949    +15.1949    |paral   |2020yCat.1350....0G
59  |TYC 7893-1703-1                                                                                          |Star                           |17 45 08.5761494592 -43 02 24.055769400|347.8511651696317 -07.2192433858758|  -1.818 -2.090     |9.67     |~               |    ~     ~          |    1| 1094.092   pc  | -18.7935    +18.7935    |paral   |2020yCat.1350....0G
60  |TYC 7893-1717-1                                                                                          |Star                           |17 45 37.4358858384 -43 03 24.311466720|347.8818297495944 -07.3033677246971|  -1.860 -5.278     |10.50    |~               |    ~     ~          |    1|  806.322   pc  | -11.4427    +11.4427    |paral   |2020yCat.1350....0G
61  |TYC 7897-123-1                                                                                           |Star                           |17 47 01.2205979952 -43 54 11.425038912|347.2753315915434 -07.9508515386735|    0.618 1.745     |10.76    |~               |    ~     ~          |    1| 1101.322   pc  | -28.5034    +28.5034    |paral   |2020yCat.1350....0G
62  |TYC 7897-176-1                                                                                           |Star                           |17 45 58.6793435160 -44 52 16.439420100|346.3363213037449 -08.2789482017066|   1.311 -2.503     |10.86    |~               |    ~     ~          |    1| 1017.191   pc  | -97.3631    +97.3631    |paral   |2020yCat.1350....0G
63  |TYC 7897-418-1                                                                                           |Star                           |17 46 14.9684542176 -44 47 45.350014128|346.4265639437468 -08.2824562302074|  8.791 -22.591     |10.14    |~               |    ~     ~          |    1|  641.149   pc  |  -5.9605     +5.9605    |paral   |2020yCat.1350....0G
64  |TYC 7897-833-1                                                                                           |Star                           |17 45 12.2709078120 -43 59 05.053283772|347.0371719353689 -07.7103912887714| -8.580 -18.445     |10.94    |~               |    ~     ~          |    1|  700.673   pc  |  -7.7569     +7.7569    |paral   |2020yCat.1350....0G
65  |TYC 7897-926-1                                                                                           |Star                           |17 45 40.2260834928 -44 06 49.558164732|346.9679491776783 -07.8480625900610|   0.769 -7.838     |10.53    |~               |    ~     ~          |    1|  897.263   pc  | -11.2711    +11.2711    |paral   |2020yCat.1350....0G
66  |IRAS 17433-4332                                                                                          |Star                           |17 46 53.8939748640 -43 33 35.432867736|347.5632196392897 -07.7584163875261|  0.582 -13.870     |10.08    |~               |    ~     ~          |    1|  844.381   pc  | -23.3144    +23.3144    |paral   |2020yCat.1350....0G
67  |TYC 7897-1159-1                                                                                          |Star                           |17 46 19.5836661384 -44 03 21.318094584|347.0785535333341 -07.9203028189774|-22.449 -33.072     |10.31    |~               |    ~     ~          |    1|   87.101   pc  |  -0.1146     +0.1146    |paral   |2020yCat.1350....0G
68  |TYC 7897-1257-1                                                                                          |Star                           |17 45 35.2734988536 -43 25 33.561766380|347.5579999148041 -07.4857129306519|  -2.239 -4.446     |10.84    |~               |    ~     ~          |    1|  731.475   pc  | -19.9041    +19.9041    |paral   |2020yCat.1350....0G
69  |TYC 7897-1263-1                                                                                          |Star                           |17 45 47.0620386288 -44 08 03.929079264|346.9604487561826 -07.8761627489309| -8.003 -15.262     |10.73    |~               |    ~     ~          |    1|  426.876   pc  |  -2.6240     +2.6240    |paral   |2020yCat.1350....0G
70  |TYC 7897-1275-1                                                                                          |Star                           |17 47 33.9051015120 -43 15 29.114810100|347.8877863506986 -07.7105784852831|   2.117 -9.250     |10.81    |~               |    ~     ~          |    1| 1387.347   pc  | -30.0258    +30.0258    |paral   |2020yCat.1350....0G
71  |TYC 7897-1345-1                                                                                          |Star                           |17 47 20.5257692942 -44 02 29.496107223|347.1841312583649 -08.0705878329597|   5.719 13.717     |10.50    |~               |    ~     ~          |    0|                |                         |        |                   
72  |TYC 7897-1431-1                                                                                          |Star                           |17 45 56.5691915760 -44 30 49.765451040|346.6446399100483 -08.0928097991310|  -2.138 -4.081     |10.86    |~               |    ~     ~          |    1|  685.824   pc  | -10.6770    +10.6770    |paral   |2020yCat.1350....0G
73  |TYC 7897-1585-1                                                                                          |Star                           |17 48 13.7325054504 -44 41 01.025754864|346.7032619888280 -08.5299205794395| -4.852 -11.755     |10.50    |~               |    ~     ~          |    1|  824.810   pc  |  -8.3678     +8.3678    |paral   |2020yCat.1350....0G
74  |TYC 7897-1752-1                                                                                          |Star                           |17 46 15.7490554728 -44 39 40.670614476|346.5451687511419 -08.2164718645964|   -0.896 6.974     |10.88    |~               |    ~     ~          |    1|  227.604   pc  |  -0.6993     +0.6993    |paral   |2020yCat.1350....0G
75  |TYC 7897-1778-1                                                                                          |Star                           |17 45 34.4481554112 -44 43 08.839067484|346.4322566555792 -08.1401853984970|  -2.476 12.437     |10.58    |~               |    ~     ~          |    1|  210.155   pc  |  -1.1306     +1.1306    |paral   |2020yCat.1350....0G
76  |HD 324371                                                                                                |Star                           |17 48 53.1198393000 -42 21 26.325215604|348.7958830144851 -07.4661034383917|  -2.466 -8.621     |10.29    |A2              |    ~     ~          |    1|  744.325   pc  | -11.1358    +11.1358    |paral   |2020yCat.1350....0G
77  |CD-42 12501                                                                                              |High Proper Motion Star        |17 48 58.8340909752 -42 47 59.107658748|348.4188314776170 -07.7035258296612|  49.929 34.822     |10.89    |F5              |    ~     ~          |    1|  120.434   pc  |  -0.2234     +0.2234    |paral   |2020yCat.1350....0G
78  |HD 161809                                                                                                |Star                           |17 49 39.8313859320 -42 29 29.931294264|348.7513965838646 -07.6577862840860|  -0.665 -2.464     |9.68     |B3/5II/III      |    ~     ~          |    1| 1025.431   pc  | -44.3736    +44.3736    |paral   |2020yCat.1350....0G
79  |V* V1088 Sco                                                                                             |Long-Period Variable           |17 49 44.8711491384 -42 36 19.026485280|348.6599428004043 -07.7280635826168|  -4.798 -5.581     |8.32     |M3/4(III)       |    ~     ~          |    1|  334.079   pc  | -15.8596    +15.8596    |paral   |2020yCat.1350....0G
80  |HD 161878                                                                                                |Double or Multiple Star        |17 50 02.19354 -42 38 08.0321          |348.66027999 -07.78919922          |   -1.34 -28.32     |9.519    |F8/G1V          |    ~     ~          |    0|                |                         |        |                   
81  |HD 161932                                                                                                |Star                           |17 50 19.6031387280 -42 48 53.876980620|348.5302022358222 -07.9249215025925| 15.144 -10.081     |9.19     |A9V             |    ~     ~          |    1|  215.643   pc  |  -6.5056     +6.5056    |paral   |2020yCat.1350....0G
82  |HD 161970                                                                                                |Star                           |17 50 28.9109394864 -42 18 06.803862516|348.9934094145448 -07.6936994587598| -3.293 -16.928     |7.66     |A0III/IV        |    ~     ~          |    1|  299.536   pc  |  -9.3849     +9.3849    |paral   |2020yCat.1350....0G
83  |HD 324512                                                                                                |Star                           |17 50 30.1528238688 -42 15 09.315347184|349.0384446484276 -07.6724048470572|   2.554 -2.416     |9.32     |F5              |    ~     ~          |    1|  435.711   pc  |  -3.1514     +3.1514    |paral   |2020yCat.1350....0G
84  |HD 161996                                                                                                |Star                           |17 50 44.3631601920 -42 27 40.508308152|348.8779457580990 -07.8144017161728| -7.731 -32.895     |8.60     |F3V             |    ~     ~          |    1|  130.663   pc  |  -0.3261     +0.3261    |paral   |2020yCat.1350....0G
85  |HD 162021                                                                                                |High Proper Motion Star        |17 50 51.7554804312 -42 19 48.437943060|349.0041382388556 -07.7687857799587|-25.679 -63.563     |6.679    |K0III           |    ~     ~          |    1|  147.519   pc  |  -0.4635     +0.4635    |paral   |2020yCat.1350....0G
86  |HD 162086                                                                                                |Star                           |17 51 18.4487461920 -42 57 07.629148908|348.5002717821383 -08.1489983230325|   1.115 -5.206     |9.68     |A0IV/V          |    ~     ~          |    1|  525.072   pc  |  -6.3411     +6.3411    |paral   |2020yCat.1350....0G
87  |CD-43 12038                                                                                              |Star                           |17 48 55.2369582912 -43 11 08.689684524|348.0762392103654 -07.8876517191377|  -1.480 -2.157     |10.36    |B3              |    ~     ~          |    0|                |                         |        |                   
88  |CD-43 12046                                                                                              |High Proper Motion Star        |17 49 22.2692283048 -43 04 22.298606796|348.2164464916857 -07.9022571875827| -130.209 4.186     |9.81     |K5              |    ~     ~          |    1|   40.382   pc  |  -0.0240     +0.0240    |paral   |2020yCat.1350....0G
