C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:17:26

dec >=0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
59  |TYC 4561-416-1                                                                                                                              |Star                                |14 11 53.3459260512 +78 18 18.859727412|117.8560525815655 +38.0184817962051|-12.149 -15.103  |10.71    |~              |    ~     ~    |    1|  496.303   pc  |  -2.9804     +2.9804  |paral   |2020yCat.1350....0G
60  |TYC 4561-539-1                                                                                                                              |Star                                |14 10 23.8586309448 +79 07 38.854471260|118.3390700702811 +37.2869596101693|   5.680 -2.660  |10.33    |~              |    ~     ~    |    1| 1027.116   pc  | -29.0116    +29.0116  |paral   |2020yCat.1350....0G
61  |TYC 4561-778-1                                                                                                                              |Spectroscopic Binary                |14 03 45.8095314360 +77 46 31.573558452|118.1037036493577 +38.6666031141678|  1.206 -16.307  |10.22    |~              |    ~     ~    |    1|  369.331   pc  |  -1.8960     +1.8960  |paral   |2020yCat.1350....0G
62  |TYC 4561-859-1                                                                                                                              |Star                                |14 05 46.8190402776 +78 56 34.558431324|118.5106769141613 +37.5392959473600|  -4.421 -5.690  |10.67    |~              |    ~     ~    |    1|  327.944   pc  |  -1.3766     +1.3766  |paral   |2020yCat.1350....0G
63  |TYC 4561-1129-1                                                                                                                             |Star                                |14 06 54.3227629992 +79 21 04.879053936|118.6331283952089 +37.1391279916201|  10.545 -2.366  |9.76     |~              |    ~     ~    |    1|  376.676   pc  |  -1.6317     +1.6317  |paral   |2020yCat.1350....0G
64  |TYC 4561-1544-1                                                                                                                             |Star                                |14 07 22.6899044352 +78 07 57.123655932|118.0438730502562 +38.2655010792170| -32.732 18.212  |9.66     |~              |    ~     ~    |    1|  181.386   pc  |  -0.3751     +0.3751  |paral   |2020yCat.1350....0G
65  |TYC 4561-1819-1                                                                                                                             |Star                                |14 04 11.0692583976 +78 40 00.801857964|118.4784676458978 +37.8248637994566| -2.943 -32.307  |9.94     |~              |    ~     ~    |    1|  177.358   pc  |  -0.4278     +0.4278  |paral   |2020yCat.1350....0G
66  |TYC 4561-2052-1                                                                                                                             |Star                                |14 00 55.0074137592 +78 46 21.194638968|118.7143644404296 +37.7806059632114|  -0.307 11.994  |10.77    |~              |    ~     ~    |    1|  789.328   pc  | -10.7163    +10.7163  |paral   |2020yCat.1350....0G
67  |BD+79 436                                                                                                                                   |Star                                |14 02 51.9763942296 +79 12 54.830019384|118.7936614729540 +37.3326497180191|  -16.026 5.165  |9.67     |K0             |    ~     ~    |    1|  801.025   pc  | -14.6294    +14.6294  |paral   |2020yCat.1350....0G
68  |TYC 4561-345-1                                                                                                                              |High Proper Motion Star             |14 03 08.2165479720 +79 35 05.924521824|118.9381466801839 +36.9810692379304|-109.776 21.449  |10.41    |~              |    ~     ~    |    1|  149.249   pc  |  -2.5082     +2.5082  |paral   |2020yCat.1350....0G
69  |TYC 4561-609-1                                                                                                                              |High Proper Motion Star             |14 10 38.9615271840 +79 40 55.499329632|118.5876288290890 +36.7689196100281| -64.472 41.007  |10.13    |~              |    ~     ~    |    1|  127.766   pc  |  -0.1763     +0.1763  |paral   |2020yCat.1350....0G
70  |TYC 4561-739-1                                                                                                                              |Star                                |14 12 26.5646766696 +79 52 48.166556052|118.5896729829243 +36.5555821263693|  11.823 -6.848  |10.54    |~              |    ~     ~    |    1|  948.497   pc  | -14.3044    +14.3044  |paral   |2020yCat.1350....0G
71  |TYC 4561-813-1                                                                                                                              |Star                                |14 07 03.2917142040 +79 53 05.741034504|118.8655635868680 +36.6389415827351|   2.116 -6.022  |10.15    |~              |    ~     ~    |    1| 1352.265   pc  | -20.4806    +20.4806  |paral   |2020yCat.1350....0G
72  |BD+75 530                                                                                                                                   |Star                                |14 11 25.5152964288 +74 32 44.602574928|115.9457479755457 +41.4796351113399|   5.805 -2.175  |9.26     |G5             |    ~     ~    |    1|  666.800   pc  | -17.2069    +17.2069  |paral   |2020yCat.1350....0G
73  |BD+74 568                                                                                                                                   |Star                                |14 06 16.5409419312 +74 08 52.310943204|116.1626470173058 +41.9823520589814|    2.969 2.782  |9.45     |K0             |    ~     ~    |    1|  544.573   pc  |  -4.0036     +4.0036  |paral   |2020yCat.1350....0G
74  |HD 124491                                                                                                                                   |Star                                |14 09 53.3903172672 +73 30 13.022831484|115.5070394790278 +42.4750120588775|   -1.301 7.361  |9.21     |F8             |    ~     ~    |    1|  229.132   pc  |  -1.2810     +1.2810  |paral   |2020yCat.1350....0G
75  |TYC 4409-47-1                                                                                                                               |Star                                |14 09 17.4548125344 +73 47 39.096216780|115.7175998011109 +42.2260217859923| -17.617 13.081  |10.81    |~              |    ~     ~    |    1|  755.915   pc  |  -7.3140     +7.3140  |paral   |2020yCat.1350....0G
76  |TYC 4409-223-1                                                                                                                              |Star                                |14 06 55.1715009600 +74 04 55.761472380|116.0738372349901 +42.0259784491961|   -9.516 3.084  |10.24    |~              |    ~     ~    |    1|  729.448   pc  |  -5.9062     +5.9062  |paral   |2020yCat.1350....0G
77  |TYC 4409-471-1                                                                                                                              |Star                                |14 08 17.5387652256 +73 51 30.281324004|115.8382323127591 +42.1947764400254| -15.191 13.402  |10.52    |~              |    ~     ~    |    1|  137.597   pc  |  -0.2878     +0.2878  |paral   |2020yCat.1350....0G
78  |TYC 4409-673-1                                                                                                                              |Star                                |14 08 05.7630448992 +74 16 52.178517912|116.0788420401202 +41.8114625514688| -21.824 12.147  |10.93    |~              |    ~     ~    |    1|  342.794   pc  |  -1.5981     +1.5981  |paral   |2020yCat.1350....0G
79  |BD+77 534                                                                                                                                   |Double or Multiple Star             |14 12 29.3875 +76 26 02.277            |116.8688488 +39.7249807            |        5.6 0.9  |9.83     |F2             |    ~     ~    |    0|                |                       |        |                   
80  |HD 123690                                                                                                                                   |Star                                |14 04 24.3689155368 +76 40 44.996106468|117.5548576692577 +39.6775630438192|  -18.226 6.134  |8.99     |F2             |    ~     ~    |    1|  261.616   pc  |  -1.0677     +1.0677  |paral   |2020yCat.1350....0G
81  |BD+76 513                                                                                                                                   |Star                                |14 10 04.8416581368 +76 04 44.547950280|116.8568329350373 +40.1075465325744|   0.394 -4.786  |9.10     |K0             |    ~     ~    |    1|  419.094   pc  |  -2.0901     +2.0901  |paral   |2020yCat.1350....0G
82  |BD+76 510                                                                                                                                   |Spectroscopic Binary                |14 04 15.8625547728 +75 23 05.719677180|116.9462514379724 +40.8857017738318| -23.498 -2.574  |10.35    |F8             |    ~     ~    |    1|  264.564   pc  |  -1.1129     +1.1129  |paral   |2020yCat.1350....0G
83  |BD+76 511                                                                                                                                   |High Proper Motion Star             |14 04 44.5898852784 +75 25 20.619504156|116.9274541685548 +40.8397455865683|-120.210 58.669  |10.05    |G5             |    ~     ~    |    1|  141.117   pc  |  -0.2250     +0.2250  |paral   |2020yCat.1350....0G
84  |BD+76 514                                                                                                                                   |High Proper Motion Star             |14 14 20.5023702456 +75 24 29.464203204|116.1867785792368 +40.6156398053915|  95.514 36.362  |9.51     |G0             |    ~     ~    |    1|  142.189   pc  |  -1.4334     +1.4334  |paral   |2020yCat.1350....0G
85  |BD+76 515                                                                                                                                   |Star                                |14 14 52.4378353584 +75 37 01.266883176|116.2611036070013 +40.4118584131967| 14.805 -14.115  |8.64     |G5             |    ~     ~    |    1|  404.498   pc  |  -2.7652     +2.7652  |paral   |2020yCat.1350....0G
86  |BD+75 525                                                                                                                                   |Star                                |14 02 50.1827606040 +75 13 01.265712780|116.9768270585689 +41.0750806500319|   -7.315 6.819  |10.13    |G0             |    ~     ~    |    1|  718.959   pc  |  -6.1511     +6.1511  |paral   |2020yCat.1350....0G
87  |HD 123802                                                                                                                                   |High Proper Motion Star             |14 05 30.4902227952 +74 42 55.195929288|116.5159026621970 +41.4772075633826|54.073 -133.298  |7.49     |K0             |    ~     ~    |    1|  206.181   pc  |  -0.7014     +0.7014  |paral   |2020yCat.1350....0G
88  |BD+75 528                                                                                                                                   |Star                                |14 06 01.7777964888 +74 34 57.582678792|116.4060904065969 +41.5869117166529|   18.423 1.698  |9.83     |F8             |    ~     ~    |    1|  240.593   pc  |  -6.7610     +6.7610  |paral   |2020yCat.1350....0G
89  |* 3 UMi                                                                                                                                     |High Proper Motion Star             |14 06 56.3646413832 +74 35 37.618422360|116.3371327613750 +41.5535101175298| -53.525 13.389  |6.440    |A7V            |    ~     ~    |    1|  127.559   pc  |  -0.3222     +0.3222  |paral   |2020yCat.1350....0G
90  |BD+74 564                                                                                                                                   |Star                                |14 00 46.7153929656 +73 53 09.866229756|116.5054683680299 +42.3659703466727|   7.647 -1.811  |9.59     |K2             |    ~     ~    |    1|  969.744   pc  | -21.1591    +21.1591  |paral   |2020yCat.1350....0G
91  |TYC 4409-1624-1                                                                                                                             |Star                                |14 00 41.9707724304 +74 43 24.042753624|116.9137199576025 +41.5856234676692|   -2.606 1.190  |10.42    |K0             |    ~     ~    |    1| 1053.741   pc  | -14.5458    +14.5458  |paral   |2020yCat.1350....0G
