C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
52  |HD 2000                                                                                                  |Star                                |00 24 06.0370026096 -43 12 12.144389976|320.1874093035709 -72.9970711072935| -23.002 -7.391   |9.15     |F3V            |    ~     ~    |    1|  154.466   pc  |  -0.4152     +0.4152    |paral   |2020yCat.1350....0G
53  |CD-43 94                                                                                                 |High Proper Motion Star             |00 24 23.5863484824 -42 33 07.507221696|320.8458700046646 -73.6226095865657|112.637 -81.217   |9.99     |G0             |    ~     ~    |    1|  461.617   pc  |  -2.9619     +2.9619    |paral   |2020yCat.1350....0G
54  |HD 2081                                                                                                  |High Proper Motion Star             |00 24 50.2468490184 -42 30 39.742960140|320.6293966178337 -73.6909855108858|72.384 -113.996   |9.540    |K0/1(IV)(+F)   |    ~     ~    |    1|   93.993   pc  |  -0.5348     +0.5348    |ST-L    |2020AJ....160...83S
55  |HD 1982                                                                                                  |High Proper Motion Star             |00 23 49.8310730544 -44 17 41.013918816|319.0565749408755 -71.9589876319539| 35.707 -50.082   |10.09    |G0V            |    ~     ~    |    1|  165.022   pc  |  -0.4847     +0.4847    |paral   |2020yCat.1350....0G
56  |HD 2016                                                                                                  |Star                                |00 24 13.7204607984 -44 08 25.666424196|319.0116688865274 -72.1283829214134|-21.898 -35.195   |9.665    |F2/3V          |    ~     ~    |    1|  209.420   pc  |  -2.4520     +2.4520    |ST-L    |2020AJ....160...83S
57  |HD 1990                                                                                                  |Star                                |00 23 55.1918838456 -44 35 26.846411532|318.6836825126076 -71.6862656850965|  -13.863 0.896   |10.03    |F5IV/V         |    ~     ~    |    1|  356.366   pc  |  -2.1970     +2.1970    |paral   |2020yCat.1350....0G
58  |CD-45 106                                                                                                |Star                                |00 24 14.6865691080 -44 25 49.601387388|318.6831222649612 -71.8567534670272|   15.971 1.330   |10.768   |~              |    ~     ~    |    1|  331.734   pc  |  -5.9590     +5.9590    |ST-L    |2020AJ....160...83S
59  |CD-43 96                                                                                                 |Star                                |00 24 27.1254749136 -42 43 12.510217452|320.5910119264618 -73.4704581377205|   11.896 2.995   |10.215   |~              |    ~     ~    |    1|  658.444   pc  | -18.7200    +18.7200    |ST-L    |2020AJ....160...83S
60  |CD-44 95                                                                                                 |High Proper Motion Star             |00 24 47.1531183000 -43 38 39.495365448|319.2653044816288 -72.6287392549634| 101.252 13.851   |10.379   |~              |    ~     ~    |    1|  101.939   pc  |  -0.5893     +0.5893    |ST-L    |2020AJ....160...83S
61  |CD-43 95                                                                                                 |Star                                |00 24 27.1988808672 -42 34 41.721714876|320.7749681597011 -73.6024190030396|  -2.470 -9.829   |10.56    |~              |    ~     ~    |    1|  733.030   pc  |  -8.3824     +8.3824    |paral   |2020yCat.1350....0G
62  |HD 2099                                                                                                  |Spectroscopic Binary                |00 25 01.8220587576 -42 09 12.368412648|320.9856691719564 -74.0364543893748|-27.741 -153.338  |10.067   |F5V            |    ~     ~    |    1|  137.594   pc  |  -1.2810     +1.2810    |ST-L    |2020AJ....160...83S
63  |CD-42 115                                                                                                |High Proper Motion Star             |00 26 14.2170099864 -42 00 38.117667780|320.4144351266236 -74.2513228720292|-81.783 -23.918   |10.65    |~              |    ~     ~    |    1|  132.522   pc  |  -3.3491     +3.3491    |paral   |2020yCat.1350....0G
64  |NAME Ankaa                         * alf Phe                                                             |Spectroscopic Binary                |00 26 17.05140 -42 18 21.5539          |319.99977774 -73.97845492          | 233.05 -356.30   |2.38     |K0.5IIIb       |    ~     ~    |    1|   25.0512  pc  |  -0.4570     +0.4570    |paral   |2020yCat.1350....0G
65  |HD 2260                                                                                                  |Star                                |00 26 18.6239767872 -42 00 25.861772124|320.3720221643216 -74.2594035051058|   8.191 -9.229   |9.23     |K2III          |    ~     ~    |    1|  478.560   pc  |  -3.4353     +3.4353    |paral   |2020yCat.1350....0G
66  |CD-43 103                                                                                                |Star                                |00 25 39.039600 -42 29 07.18512        |320.163955234 -73.769253277        |      0.9 -10.1   |10.139   |G0             |    ~     ~    |    1|  412.691   pc  |  -6.7380     +6.7380    |ST-L    |2020AJ....160...83S
67  |CD-43 106                                                                                                |Star                                |00 26 29.3336405496 -42 20 29.447784996|319.8262904811682 -73.9584986112738|   29.353 3.790   |9.36     |~              |    ~     ~    |    1|  149.078   pc  |  -0.4245     +0.4245    |paral   |2020yCat.1350....0G
68  |CD-43 107                                                                                                |Star                                |00 26 37.3355739792 -43 12 57.141123516|318.6925746931696 -73.1447921384125| 16.082 -11.806   |9.87     |~              |    ~     ~    |    1|  846.740   pc  |  -9.6791     +9.6791    |paral   |2020yCat.1350....0G
69  |CD-43 110                                                                                                |High Proper Motion Star             |00 27 37.5182420904 -43 15 17.376215076|318.0526479122000 -73.1673743935962|-45.341 -29.391   |10.475   |G5             |    ~     ~    |    1|  278.655   pc  |  -4.3000     +4.3000    |ST-L    |2020AJ....160...83S
70  |CD-43 118                                                                                                |High Proper Motion Star             |00 28 46.4264133552 -42 36 27.829716372|318.0736842189379 -73.8477332926582| 37.616 -32.569   |9.62     |~              |    ~     ~    |    1|  182.251   pc  |  -2.0720     +2.0720    |ST-L    |2020AJ....160...83S
71  |* kap Phe                                                                                                |High Proper Motion Star             |00 26 12.2013436436 -43 40 47.390371480|318.4155659263561 -72.6817429588334| 106.394 32.491   |3.94     |A5IVn          |    ~     ~    |    1|   23.9677  pc  |  -0.0780     +0.0780    |paral   |2020yCat.1350....0G
72  |CD-44 114                                                                                                |Star                                |00 29 38.5632016944 -43 43 23.825820576|316.3749808580670 -72.8315580261581| 39.221 -19.958   |9.96     |~              |    ~     ~    |    1|  147.590   pc  |  -1.3200     +1.3200    |ST-L    |2020AJ....160...83S
73  |HD 2180                                                                                                  |Spectroscopic Binary                |00 25 42.1460844912 -43 50 59.750474352|318.5132660619361 -72.4913265274983| 63.480 -39.821   |9.43     |F5V            |    ~     ~    |    1|  140.480   pc  |  -2.8700     +2.8700    |ST-L    |2020AJ....160...83S
74  |CD-44 107                                                                                                |Star                                |00 28 15.3409779912 -43 43 58.074992724|317.1748158085298 -72.7486247777500|  21.959 21.816   |10.18    |F5             |    ~     ~    |    1|  199.696   pc  |  -0.5743     +0.5743    |paral   |2020yCat.1350....0G
75  |CD-44 112                                                                                                |Star                                |00 29 28.6039092168 -44 00 12.195316800|316.2028804141541 -72.5545534426079|   8.217 16.387   |10.289   |F8             |    ~     ~    |    1|  260.213   pc  |  -3.7560     +3.7560    |ST-L    |2020AJ....160...83S
76  |HD 2652                                                                                                  |High Proper Motion Star             |00 29 52.8750546816 -44 04 59.043942228|315.8959694910951 -72.4985096264846|102.253 -59.253   |9.643    |G1V            |    ~     ~    |    1|  109.068   pc  |  -0.6532     +0.6532    |ST-L    |2020AJ....160...83S
