C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
5439|TYC 8295-388-1                                                        |Star                           |15 31 28.9618310832 -45 48 28.182969828|329.8795595227848 +08.5237147752119|  -6.244 -8.425     |10.95    |~                  |    ~     ~          
5440|TYC 8295-522-1                                                        |Star                           |15 33 20.8803371280 -45 47 11.832234936|330.1594738275307 +08.3519892018271|  -5.331 -9.239     |10.99    |~                  |    ~     ~          
5441|TYC 8295-551-1                                                        |High Proper Motion Star        |15 31 46.5550554408 -46 15 35.866040796|329.6570478243319 +08.1255417780551|-60.205 -43.670     |10.77    |~                  |    ~     ~          
5442|TYC 8295-989-1                                                        |Star                           |15 30 19.0406945208 -46 17 59.071222248|329.4258774181496 +08.2384049796022|  -9.469 -8.795     |10.97    |~                  |    ~     ~          
5443|TYC 8295-1359-1                                                       |Star                           |15 30 25.7441052816 -46 40 11.023347432|329.2270454851622 +07.9245462613211| 10.524 -16.114     |10.94    |~                  |    ~     ~          
5444|TYC 8295-2137-1                                                       |Star                           |15 32 07.6736557512 -46 10 01.218005328|329.7615923431209 +08.1660209711136|-19.690 -10.816     |10.69    |~                  |    ~     ~          
5445|TYC 8296-101-1                                                        |Star                           |15 42 34.7072639376 -46 40 45.895704276|330.9148873070748 +06.6835108975736|  -5.945 -4.211     |10.68    |~                  |    ~     ~          
5446|TYC 8296-279-1                                                        |Star                           |15 42 10.6751955984 -46 45 47.480533056|330.8087311249647 +06.6587464378959|  0.467 -11.418     |10.89    |~                  |    ~     ~          
5447|TYC 8296-903-1                                                        |Star                           |15 40 17.5075172064 -46 14 17.739573900|330.8684351414286 +07.2730623102548|  -6.204 -2.540     |10.95    |~                  |    ~     ~          
5448|TYC 8296-986-1                                                        |Star                           |15 43 48.1574930712 -45 00 22.438238292|332.1159926667895 +07.8774745685459|  -1.280 -1.968     |10.98    |~                  |    ~     ~          
5449|TYC 8296-1048-1                                                       |Star                           |15 34 41.2717079136 -46 39 34.010576712|329.8333761206712 +07.5086531721000|   2.427 -3.171     |10.87    |~                  |    ~     ~          
5450|TYC 8296-1062-1                                                       |Star                           |15 43 49.4930761008 -46 42 59.681468808|331.0624742923139 +06.5236332029374| -6.486 -13.620     |10.43    |~                  |    ~     ~          
5451|TYC 8296-1222-1                                                       |Star                           |15 39 47.5544079192 -46 25 24.205658196|330.6867277576523 +07.1771247469241|   -1.098 1.212     |10.93    |~                  |    ~     ~          
5452|TYC 8296-1280-1                                                       |Star                           |15 41 11.7103231176 -46 18 10.833857424|330.9544199726527 +07.1271606480111|  -4.868 -1.098     |10.64    |~                  |    ~     ~          
5453|TYC 8296-1553-1                                                       |Star                           |15 40 56.2748959992 -46 23 55.505611320|330.8604381895846 +07.0777674270774| -18.634 -2.793     |10.87    |~                  |    ~     ~          
5454|TYC 8296-1755-1                                                       |Star                           |15 39 18.1988445576 -46 10 32.317634424|330.7686554804986 +07.4259537864847|  -1.168 -8.735     |10.67    |~                  |    ~     ~          
5455|TYC 8296-1856-1                                                       |Star                           |15 38 03.6595969968 -46 24 06.557506812|330.4587842641311 +07.3731367944586|  -5.301 -2.723     |10.91    |~                  |    ~     ~          
5456|TYC 8296-1884-1                                                       |Star                           |15 41 35.2388301384 -46 10 36.617047500|331.0858293942883 +07.1864594370008|   -2.105 0.144     |10.95    |~                  |    ~     ~          
5457|TYC 8296-2088-1                                                       |Star                           |15 40 45.6517951680 -45 57 39.910588056|331.1025019559913 +07.4449616469028|  -0.987 -2.381     |10.90    |~                  |    ~     ~          
5458|TYC 8296-2169-1                                                       |Star                           |15 39 53.5893655224 -46 00 29.828895516|330.9525359306369 +07.4982373388418|  -8.863 -5.705     |10.94    |~                  |    ~     ~          
5459|TYC 8296-2407-1                                                       |Star                           |15 34 56.5269622776 -46 04 53.302353492|330.2118099885195 +07.9506455667654|  -4.585 -3.653     |10.78    |~                  |    ~     ~          
5460|TYC 8296-2462-1                                                       |Star                           |15 39 33.7068868920 -46 25 15.651200856|330.6561241778547 +07.2029252992704|   1.082 -5.096     |10.83    |~                  |    ~     ~          
5461|TYC 8296-2658-1                                                       |Star                           |15 39 46.2775502712 -45 35 20.065880040|331.1901891419967 +07.8458827394822|  -1.516 -5.774     |10.79    |~                  |    ~     ~          
5462|TYC 8296-2751-1                                                       |Star                           |15 40 07.5358090968 -45 42 44.673726636|331.1649587509768 +07.7100091216338|  -5.241 -5.324     |10.90    |~                  |    ~     ~          
5463|HD 139737B                                                            |Star                           |15 41 39.7412979148 -45 31 26.171139212|331.4959274681372 +07.6974324278047|-20.894 -21.331     |10.18    |~                  |    ~     ~          
5464|TYC 8296-2870-1                                                       |Star                           |15 34 06.6226132152 -46 33 44.236784196|329.8097334963630 +07.6454980190220|   -3.264 0.062     |10.83    |~                  |    ~     ~          
5465|TYC 8296-3000-1                                                       |Star                           |15 39 33.1632600744 -45 32 38.625012132|331.1865939834486 +07.9047195110978|  -0.261 -4.725     |10.94    |~                  |    ~     ~          
5466|TYC 8296-3023-1                                                       |Star                           |15 39 33.3545285616 -45 32 23.806533480|331.1895441238968 +07.9076718603264|-11.920 -18.044     |10.49    |~                  |    ~     ~          
5467|TYC 8296-3141-1                                                       |Star                           |15 35 48.5844882768 -45 29 11.639548824|330.6895889449200 +08.3419317663675|  -3.334 -8.091     |10.96    |~                  |    ~     ~          
5468|TYC 8296-3219-1                                                       |Star                           |15 39 48.7066130232 -45 30 01.975241160|331.2496205542301 +07.9121530309512|  -4.308 -2.366     |10.96    |~                  |    ~     ~          
5469|TYC 8296-3463-1                                                       |Star                           |15 37 17.8865273376 -46 26 53.426581404|330.3244452112506 +07.4141660578040| -13.448 -6.005     |10.99    |~                  |    ~     ~          
5470|TYC 8296-3477-1                                                       |Star                           |15 39 48.5830249104 -45 57 02.334700692|330.9758523995722 +07.5529899716844|  -5.454 -6.300     |10.78    |~                  |    ~     ~          
5471|TYC 8296-3583-1                                                       |Star                           |15 36 00.5663564904 -46 00 24.829667424|330.4072367641897 +07.9016744414558| -10.847 -8.393     |10.95    |~                  |    ~     ~          
5472|TYC 8296-3868-1                                                       |Star                           |15 44 11.2970265960 -46 30 01.897390116|331.2453708188295 +06.6561577494111|  -5.277 -6.506     |10.81    |~                  |    ~     ~          
5473|TYC 8296-4151-1                                                       |Spectroscopic Binary           |15 43 16.8379059624 -45 37 37.125271956|331.6590401212701 +07.4431334589964| -19.195 -8.043     |10.99    |~                  |    ~     ~          
5474|TYC 8299-360-1                                                        |Star                           |15 31 17.4511686960 -47 08 50.358895008|329.0711430055536 +07.4492698864471|   -2.618 5.555     |10.80    |~                  |    ~     ~          
5475|TYC 8299-564-1                                                        |Star                           |15 31 38.1528507480 -47 27 49.768554924|328.9352507858432 +07.1569913801061| -10.690 -7.662     |10.86    |~                  |    ~     ~          
5476|TYC 8299-1192-1                                                       |Star                           |15 32 18.5485873608 -46 53 10.070859516|329.3662886271470 +07.5620544061019|  -1.274 -2.683     |10.90    |~                  |    ~     ~          
5477|TYC 8299-1331-1                                                       |Star                           |15 32 39.0659007720 -48 15 02.139003720|328.6170314159153 +06.4166147088102|  -5.640 -3.207     |10.90    |~                  |    ~     ~          
5478|TYC 8299-1662-1                                                       |Star                           |15 30 58.5802504008 -47 21 46.801625292|328.9018974446747 +07.3036900665410| -11.977 -9.086     |10.54    |~                  |    ~     ~          
5479|TYC 8299-1902-1                                                       |Star                           |15 31 44.6773932192 -47 00 44.997809256|329.2132586859343 +07.5147721436040|  -6.632 -6.054     |10.78    |~                  |    ~     ~          
5480|TYC 8299-2196-1                                                       |Star                           |15 33 30.8502447216 -47 10 56.361463752|329.3611569496435 +07.2016912356223|-11.642 -13.382     |10.72    |~                  |    ~     ~          
5481|TYC 8299-2317-1                                                       |Star                           |15 33 08.8469881152 -47 55 23.162107368|328.8762269089523 +06.6352661888894|  -4.966 -4.808     |10.68    |~                  |    ~     ~          
5482|TYC 8299-2427-1                                                       |Star                           |15 31 34.3236593640 -47 50 41.020557072|328.7050204443839 +06.8520565715194|    5.285 4.055     |10.10    |~                  |    ~     ~          
5483|TYC 8299-2472-1                                                       |Star                           |15 30 29.4369386928 -47 36 16.214873148|328.6943276423801 +07.1531736710144|  -4.815 -2.746     |10.75    |~                  |    ~     ~          
5484|TYC 8299-2761-1                                                       |Star                           |15 32 19.7300684160 -48 23 53.716364124|328.4870817388000 +06.3272037070579|  -2.706 -6.917     |10.84    |~                  |    ~     ~          
5485|TYC 8300-421-1                                                        |Star                           |15 39 55.7519602896 -46 53 18.543264252|330.4238967165488 +06.7913743662517| -0.015 -17.296     |10.85    |~                  |    ~     ~          
5486|TYC 8300-667-1                                                        |Star                           |15 36 53.1996380304 -46 53 02.388895944|330.0064311953403 +07.1052865149532|   1.454 -2.558     |10.68    |~                  |    ~     ~          
5487|TYC 8300-899-1                                                        |Double or Multiple Star        |15 42 22.014792 -46 58 10.60716        |330.708296768 +06.475172744        |       5.4 -1.5     |10.935   |~                  |    ~     ~          
5488|TYC 8300-1011-1                                                       |Star                           |15 33 53.9893824912 -48 00 41.750632008|328.9274571924025 +06.4900011133655|  -9.817 -3.855     |10.52    |~                  |    ~     ~          
5489|TYC 8300-1364-1                                                       |Star                           |15 43 45.5008396776 -47 47 40.118791056|330.3906558089146 +05.6776070711387|  -1.584 -2.398     |10.78    |~                  |    ~     ~          
5490|TYC 8300-1469-1                                                       |Star                           |15 38 30.3543545856 -48 10 53.188789872|329.4515824011914 +05.8994045079985|  -3.177 -2.423     |10.76    |~                  |    ~     ~          
5491|TYC 8300-1536-1                                                       |Star                           |15 36 35.8624038264 -48 01 17.153753304|329.2891847258277 +06.2172359571245|   1.373 -5.576     |10.82    |~                  |    ~     ~          
5492|TYC 8300-1664-1                                                       |Star                           |15 40 49.5593043576 -47 29 33.233629380|330.1802528969002 +06.2173318809646|  -9.951 -5.399     |10.93    |~                  |    ~     ~          
5493|TYC 8300-2121-1                                                       |Star                           |15 43 42.9039402960 -47 25 54.880683780|330.6075183684450 +05.9690899884292| -10.563 -4.629     |10.71    |~                  |    ~     ~          
5494|TYC 8300-2158-1                                                       |Star                           |15 40 07.0684367376 -47 30 03.240904428|330.0791259638427 +06.2826952505716|  -3.071 -0.413     |10.83    |~                  |    ~     ~          
5495|TYC 8300-2268-1                                                       |Star                           |15 40 18.8999128128 -47 15 50.556445344|330.2493052467805 +06.4518418106513|  26.765 11.332     |10.95    |~                  |    ~     ~          
5496|TYC 8300-2334-1                                                       |Star                           |15 35 08.2694882376 -47 28 23.077011036|329.4146123552781 +06.8049310403363|   1.389 -2.372     |10.92    |~                  |    ~     ~          
5497|TYC 8300-2467-1                                                       |Star                           |15 34 13.0027999416 -47 12 02.714788296|329.4479745750752 +07.1170469177563|   5.733 -5.961     |10.90    |~                  |    ~     ~          
5498|TYC 8300-2546-1                                                       |Star                           |15 36 03.3837096768 -47 11 13.273251828|329.7109405455814 +06.9445789737615|   8.412 -6.332     |10.51    |~                  |    ~     ~          
5499|TYC 8300-2703-1                                                       |Star                           |15 41 41.6111823096 -47 07 13.857140208|330.5243819083324 +06.4248374243556|  -3.545 -6.085     |10.99    |~                  |    ~     ~          
5500|TYC 8300-2746-1                                                       |Star                           |15 44 55.0093175712 -47 04 44.508808056|330.9870308569276 +06.1229562997417|  -4.268 -5.299     |10.89    |~                  |    ~     ~          
5501|TYC 8300-3147-1                                                       |Star                           |15 44 31.2209865912 -48 18 55.335460032|330.1717685662644 +05.1876462561377|   -5.151 0.212     |10.88    |~                  |    ~     ~          
5502|TYC 8300-3239-1                                                       |Star                           |15 38 32.9991842544 -48 35 32.307693684|329.2114363754910 +05.5650841605605|  -5.061 -8.055     |10.84    |~                  |    ~     ~          
5503|TYC 8300-3279-1                                                       |Star                           |15 43 03.6321912816 -48 20 38.519123820|329.9612200003112 +05.3130835579312|-14.964 -13.957     |9.98     |~                  |    ~     ~          
5504|GSC 08300-03342                                                       |Double or Multiple Star        |15 37 49.9509252816 -48 34 18.962843196|329.1277619187288 +05.6520366223260|   -4.952 6.208     |10.197   |~                  |    ~     ~          
5505|TYC 8300-3402-1                                                       |Star                           |15 37 41.3640011544 -48 37 16.587993504|329.0791978409057 +05.6263717166357|  -7.702 -3.994     |9.85     |~                  |    ~     ~          
5506|TYC 8303-179-1                                                        |Star                           |15 30 12.7218252024 -49 24 09.634868820|327.6203422460982 +05.7051981789711|  -4.289 -8.109     |10.42    |~                  |    ~     ~          
5507|TYC 8303-366-1                                                        |Star                           |15 32 51.5575537032 -49 01 24.102625620|328.1950526005184 +05.7667732405792|   -0.150 5.623     |10.72    |~                  |    ~     ~          
5508|TYC 8303-437-1                                                        |Star                           |15 31 48.1810240032 -48 52 31.624729968|328.1386666382105 +05.9876942852038|  -3.975 -2.654     |10.87    |~                  |    ~     ~          
5509|TYC 8303-481-1                                                        |Star                           |15 33 38.8945367592 -50 18 23.415587964|327.5523573141287 +04.6473504727968|  -6.660 -5.636     |10.91    |~                  |    ~     ~          
5510|TYC 8303-786-1                                                        |Star                           |15 31 19.5683989392 -49 37 11.118912708|327.6443593587641 +05.4236711430952| -13.146 -8.472     |10.79    |~                  |    ~     ~          
5511|TYC 8303-1259-1                                                       |Star                           |15 32 12.8944351152 -50 13 04.672277724|327.4162564597346 +04.8520881183028|  -2.194 -2.164     |10.93    |~                  |    ~     ~          
5512|TYC 8304-111-1                                                        |Star                           |15 41 11.4039661008 -49 02 08.349416880|329.2940290714784 +04.9497100438915| -9.114 -12.372     |10.94    |~                  |    ~     ~          
5513|TYC 8304-248-1                                                        |Star                           |15 35 47.8979619336 -49 59 02.991989112|328.0217633559458 +04.7079988902210|  -5.384 -6.401     |10.43    |~                  |    ~     ~          
5514|TYC 8304-321-1                                                        |Star                           |15 39 44.2058437656 -49 11 46.814641764|329.0063095594069 +04.9641042926721|  -2.413 -1.266     |10.90    |~                  |    ~     ~          
5515|TYC 8304-416-1                                                        |Star                           |15 38 20.3678931576 -49 04 21.242889264|328.8963233324117 +05.1998068716052| -5.630 -11.694     |10.62    |~                  |    ~     ~          
5516|TYC 8304-419-1                                                        |Star                           |15 40 41.8810294296 -49 46 43.595905080|328.7811428766253 +04.4044227625936|    1.546 0.858     |10.84    |~                  |    ~     ~          
5517|TYC 8304-475-1                                                        |Star                           |15 44 33.7616678832 -48 47 46.267442052|329.8817426922626 +04.8032574902299|  -7.027 -4.275     |10.48    |~                  |    ~     ~          
5518|TYC 8304-489-1                                                        |Star                           |15 36 38.8872113688 -49 21 19.987826076|328.5045725489646 +05.1353986803682| -17.080 -7.383     |10.74    |~                  |    ~     ~          
5519|TYC 8304-587-1                                                        |Star                           |15 38 15.4122990624 -49 33 52.810075152|328.5917882222741 +04.8121080054316| -29.002 -1.910     |10.81    |~                  |    ~     ~          
5520|TYC 8304-595-1                                                        |Star                           |15 37 18.7898484024 -50 31 20.310738780|327.9001908912135 +04.1304687904618|  -0.401 -3.971     |10.98    |~                  |    ~     ~          
5521|TYC 8304-645-1                                                        |Star                           |15 39 53.9813427288 -50 17 10.360834008|328.3731516343345 +04.0752136725913|  -4.051 -3.933     |10.89    |~                  |    ~     ~          
5522|TYC 8304-864-1                                                        |Star                           |15 39 05.2340812488 -50 34 00.868599300|328.1010804945605 +03.9273228024189|  -7.046 -8.877     |10.88    |~                  |    ~     ~          
5523|TYC 8304-871-1                                                        |Star                           |15 41 40.4729358528 -50 08 25.018774008|328.6885922616465 +04.0212333182768|  -4.081 -4.659     |10.91    |~                  |    ~     ~          
5524|TYC 8304-894-1                                                        |Star                           |15 36 49.7051337192 -49 15 45.960692364|328.5833692415064 +05.1929671919835|-16.480 -23.387     |10.80    |~                  |    ~     ~          
5525|TYC 8304-977-1                                                        |Star                           |15 37 12.1582026768 -49 54 16.412177880|328.2520049637543 +04.6392697514095|-14.775 -14.870     |10.97    |~                  |    ~     ~          
5526|TYC 8304-1021-1                                                       |Star                           |15 39 44.2900494720 -49 53 50.355269988|328.5856294785076 +04.4023326623735|    2.806 5.518     |10.92    |~                  |    ~     ~          
5527|TYC 8304-1041-1                                                       |Star                           |15 34 45.6924534384 -50 26 57.457025556|327.6137587260432 +04.4279283350704|   0.444 -0.937     |10.70    |~                  |    ~     ~          
5528|TYC 8304-1053-1                                                       |Star                           |15 39 27.3967108344 -49 58 24.865747392|328.5034888530569 +04.3682813845590|    3.513 3.144     |10.69    |~                  |    ~     ~          
5529|TYC 8304-1110-1                                                       |Star                           |15 35 49.0301275488 -49 42 25.415786808|328.1874844186259 +04.9305445365125|  -1.116 -1.467     |10.75    |~                  |    ~     ~          
5530|TYC 8304-1111-1                                                       |Star                           |15 42 56.0300207040 -49 23 34.757714616|329.3045585405112 +04.4929042056181|  -7.234 -6.147     |10.91    |~                  |    ~     ~          
5531|TYC 8304-1267-1                                                       |Star                           |15 38 30.2964899904 -49 58 53.531746824|328.3755019924107 +04.4530705512960|  -2.847 -3.094     |10.46    |~                  |    ~     ~          
5532|TYC 8304-1541-1                                                       |Star                           |15 35 37.6013664648 -49 36 48.814391088|328.2175186465573 +05.0243381864543|   1.553 -3.143     |10.66    |~                  |    ~     ~          
5533|TYC 8304-1560-1                                                       |Star                           |15 38 25.2027510864 -50 29 09.500091108|328.0639201434888 +04.0554639215964|   0.971 -1.312     |10.97    |~                  |    ~     ~          
5534|TYC 8304-1584-1                                                       |Star                           |15 37 31.5124151496 -50 28 52.565527632|327.9517826737072 +04.1436343227912|  -8.519 -9.454     |10.32    |~                  |    ~     ~          
5535|TYC 8304-1590-1                                                       |Star                           |15 41 16.7587687320 -50 01 33.806313120|328.7069231645959 +04.1505900306428| -11.418 -5.397     |10.97    |~                  |    ~     ~          
5536|TYC 8304-1674-1                                                       |Star                           |15 37 06.4435045944 -50 18 53.367665940|327.9965572904732 +04.3172520772359|  -2.796 -5.895     |10.90    |~                  |    ~     ~          
5537|TYC 8304-1685-1                                                       |Star                           |15 34 53.1778508352 -49 52 19.202267424|327.9682954488096 +04.8848738119213|  -8.390 -9.285     |10.98    |~                  |    ~     ~          
5538|TYC 8307-164-1                                                        |Star                           |15 33 27.3376325112 -52 22 18.678417564|326.3279233078202 +02.9817929393926|  -7.392 -8.094     |10.60    |~                  |    ~     ~          
5539|TYC 8307-314-1                                                        |Star                           |15 32 11.0739655536 -52 22 01.268274396|326.1720301365075 +03.0976880449749|  -2.084 -1.637     |10.92    |~                  |    ~     ~          
5540|TYC 8307-546-1                                                        |Star                           |15 33 37.4975496528 -52 16 12.565630704|326.4080231476989 +03.0497178769260|   0.955 -5.360     |10.84    |~                  |    ~     ~          
5541|TYC 8307-619-1                                                        |Star                           |15 32 41.3663784168 -52 04 52.723988472|326.4001394921436 +03.2867220997601|  -5.707 -7.370     |10.90    |~                  |    ~     ~          
5542|TYC 8307-919-1                                                        |Star                           |15 31 15.9780749712 -50 46 50.522142972|326.9678351393855 +04.4783562040214|-12.599 -28.497     |10.59    |~                  |    ~     ~          
5543|TYC 8307-1097-1                                                       |Star                           |15 31 01.5146923008 -50 48 51.219917820|326.9172527095625 +04.4727018122912|  -9.729 -6.994     |10.47    |~                  |    ~     ~          
5544|TYC 8307-1509-1                                                       |Star                           |15 31 29.3749776504 -51 08 24.147661812|326.7900402492102 +04.1638245214001|  -6.858 -1.895     |10.71    |~                  |    ~     ~          
5545|TYC 8307-1519-1                                                       |Star                           |15 33 28.3849899096 -51 11 24.727292340|327.0157346157379 +03.9435433808432| -5.987 -13.930     |10.77    |~                  |    ~     ~          
5546|TYC 8307-1611-1                                                       |Star                           |15 30 26.2929869856 -51 14 49.552677312|326.5931721653976 +04.1702726816481|  -7.888 -3.413     |10.74    |~                  |    ~     ~          
5547|TYC 8307-1825-1                                                       |Star                           |15 32 47.5956481008 -51 24 23.268473964|326.8034688025838 +03.8286004818039|  -8.282 -6.530     |10.89    |~                  |    ~     ~          
5548|TYC 8307-1855-1                                                       |Star                           |15 30 10.3652527968 -50 48 28.148715432|326.8100585449211 +04.5549034364926|  -2.601 -7.846     |10.82    |~                  |    ~     ~          
5549|TYC 8307-2023-1                                                       |Star                           |15 30 42.7340589288 -51 28 39.486603612|326.4964232454771 +03.9565821711943|   0.952 -3.231     |10.91    |~                  |    ~     ~          
5550|TYC 8307-2160-1                                                       |Star                           |15 31 00.4275781992 -51 31 23.009114748|326.5081367815778 +03.8930772790834|   2.661 -2.548     |10.94    |~                  |    ~     ~          
5551|TYC 8308-66-1                                                         |Star                           |15 42 49.0685946792 -52 20 37.723429104|327.4973492579489 +02.1577092982164|   6.593 15.619     |10.89    |~                  |    ~     ~          
5552|TYC 8308-226-1                                                        |Star                           |15 39 50.8406389032 -52 16 42.699679176|327.1736352489782 +02.4829345639540|  -3.616 -6.671     |10.78    |~                  |    ~     ~          
5553|TYC 8308-336-1                                                        |Star                           |15 38 31.4773484256 -52 16 12.834177924|327.0158520971743 +02.6100669049918|   3.622 -5.467     |10.73    |~                  |    ~     ~          
5554|TYC 8308-339-1                                                        |Star                           |15 42 49.8309252120 -51 57 45.604338300|327.7299547420658 +02.4597975497702|  -4.267 -3.768     |10.90    |~                  |    ~     ~          
5555|TYC 8308-353-1                                                        |Star                           |15 42 48.1168918152 -51 55 44.930754156|327.7467734038213 +02.4891345495526| -6.100 -10.276     |10.70    |~                  |    ~     ~          
5556|TYC 8308-398-1                                                        |Star                           |15 40 27.4514324928 -52 00 13.481905932|327.4132673786765 +02.6471343618934|   18.320 1.041     |10.89    |~                  |    ~     ~          
5557|TYC 8308-452-1                                                        |Star                           |15 36 49.2526302912 -51 59 24.509525172|326.9704642566693 +02.9905410155744|  -4.697 -4.217     |10.84    |~                  |    ~     ~          
5558|TYC 8308-564-1                                                        |Star                           |15 39 53.9909372592 -52 03 02.623005936|327.3163178768230 +02.6608107086486| -5.057 -14.658     |10.78    |~                  |    ~     ~          
5559|TYC 8308-708-1                                                        |Star                           |15 40 13.4249460024 -51 56 52.729924776|327.4178288549709 +02.7133535232347|  -5.354 -3.827     |10.97    |~                  |    ~     ~          
5560|TYC 8308-1062-1                                                       |Star                           |15 42 02.3755950384 -50 57 07.788956076|328.2437594901538 +03.3389911988553| -5.169 -10.698     |10.38    |~                  |    ~     ~          
5561|TYC 8308-1134-1                                                       |Star                           |15 35 03.1695770184 -50 59 54.771226692|327.3297192447458 +03.9551090601014| -16.294 -4.716     |10.10    |~                  |    ~     ~          
5562|HD 140274B                                                            |High Proper Motion Star        |15 44 59.5129952424 -50 47 09.800775492|328.7152916731418 +03.1875630555216|-49.557 -19.885     |8.40     |~                  |    ~     ~          
5563|TYC 8308-1359-1                                                       |Star                           |15 36 53.2241916720 -51 26 48.967244520|327.2991851118421 +03.4235067995560|  0.805 -14.225     |10.67    |~                  |    ~     ~          
5564|TYC 8308-1371-1                                                       |Star                           |15 35 47.8156819032 -51 14 44.791876248|327.2796278479415 +03.6863030174696|  -4.416 -0.014     |10.72    |~                  |    ~     ~          
5565|TYC 8308-1397-1                                                       |Star                           |15 38 26.884903 -50 44 47.49868        |327.912361053 +03.843219715        |      -0.4 -4.0     |10.51    |~                  |    ~     ~          
5566|TYC 8308-1477-1                                                       |Star                           |15 36 40.0387007352 -51 09 41.897102112|327.4397157608275 +03.6743077029254|-15.529 -15.029     |10.78    |~                  |    ~     ~          
5567|HD 139932B                                                            |Star                           |15 43 16.3047609642 -51 24 53.669034910|328.1169700351479 +02.8538260482996|  -5.357 -1.608     |10.87    |~                  |    ~     ~          
5568|TYC 8308-1701-1                                                       |Star                           |15 41 16.8137940696 -50 37 33.689466912|328.3448841988578 +03.6715290504500|  -8.259 -8.117     |10.82    |~                  |    ~     ~          
5569|TYC 8308-1735-1                                                       |Star                           |15 35 04.8409910856 -51 18 25.591724388|327.1526388574819 +03.7021040765253|   -3.376 2.047     |10.88    |~                  |    ~     ~          
5570|TYC 8308-1963-1                                                       |Star                           |15 42 36.7815368040 -50 38 40.299730476|328.5024638421022 +03.5291545855535|  -8.733 -8.466     |10.85    |~                  |    ~     ~          
5571|TYC 8308-2077-1                                                       |Star                           |15 38 33.9268223976 -51 43 55.473256056|327.3407854322808 +03.0393994079212|  -3.899 -3.202     |10.92    |~                  |    ~     ~          
5572|TYC 8308-2124-1                                                       |Star                           |15 43 55.4865759024 -51 20 29.054452596|328.2427189197866 +02.8501990786763|  -7.797 -9.425     |10.71    |~                  |    ~     ~          
5573|TYC 8308-2216-1                                                       |Star                           |15 37 12.1815029664 -51 55 10.905759660|327.0596680430150 +03.0127591515062|  -4.097 -5.347     |10.55    |~                  |    ~     ~          
5574|TYC 8308-2239-1                                                       |Star                           |15 44 19.3708714968 -51 41 53.389611564|328.0741450887834 +02.5296407792115|  -2.984 -2.697     |10.90    |~                  |    ~     ~          
5575|TYC 8308-2249-1                                                       |Star                           |15 42 12.2242485432 -51 53 40.396660944|327.6941844521025 +02.5724858669291|  -6.334 -2.785     |10.39    |~                  |    ~     ~          
5576|TYC 9026-14-1                                                         |Star                           |15 30 44.0191584384 -62 59 03.933350844|319.9244672892126 -05.4944207082173|  -6.561 -0.751     |10.70    |~                  |    ~     ~          
5577|TYC 9026-156-1                                                        |Star                           |15 38 18.0052905048 -62 58 02.327266200|320.6356264268964 -05.9825409224960|   1.202 -5.326     |10.94    |~                  |    ~     ~          
5578|TYC 9026-730-1                                                        |Star                           |15 32 42.6285088272 -63 01 25.727297304|320.0859958930273 -05.6557624494785| -11.678 -5.307     |10.46    |~                  |    ~     ~          
5579|TYC 9026-949-1                                                        |Star                           |15 39 44.5210900488 -62 05 03.996862620|321.2995622314732 -05.3737560982270|  -7.284 -6.233     |10.96    |~                  |    ~     ~          
5580|TYC 9026-1115-1                                                       |Star                           |15 34 23.2428299832 -62 08 01.399217928|320.7631177567801 -05.0433710912134| -11.046 -5.348     |10.98    |~                  |    ~     ~          
5581|TYC 9026-1453-1                                                       |Star                           |15 42 24.8297577768 -62 29 09.039134652|321.3052690797024 -05.8812849419418| -10.524 -4.866     |10.34    |~                  |    ~     ~          
5582|TYC 9026-1629-1                                                       |Star                           |15 36 42.5301271464 -62 31 38.656407396|320.7503352343388 -05.5202904727740|  -3.901 -0.640     |10.66    |~                  |    ~     ~          
5583|TYC 9026-1934-1                                                       |Star                           |15 40 58.6363682616 -63 04 48.626631084|320.8119656830680 -06.2548851298145|  -8.756 -5.260     |10.92    |~                  |    ~     ~          
5584|TYC 9026-2148-1                                                       |Star                           |15 34 12.7620051888 -63 07 07.512907008|320.1696890798519 -05.8318510620242|-14.290 -16.541     |10.91    |~                  |    ~     ~          
5585|TYC 9026-2263-1                                                       |Star                           |15 37 43.7912676384 -62 22 11.338408020|320.9396365715181 -05.4631338109103| -17.470 -7.119     |10.66    |~                  |    ~     ~          
5586|TYC 9026-2619-1                                                       |High Proper Motion Star        |15 36 00.3120167016 -62 43 07.093689744|320.5714357172077 -05.6271079531237|-28.414 -46.790     |10.32    |~                  |    ~     ~          
5587|TYC 9026-3662-1                                                       |Star                           |15 33 53.0131377408 -63 34 23.641330944|319.8731068021613 -06.1795820921679|  -5.533 -7.115     |10.87    |~                  |    ~     ~          
5588|TYC 9026-4053-1                                                       |Star                           |15 36 45.1536849504 -62 35 14.907214320|320.7187867506601 -05.5717466188720|-10.750 -10.148     |10.84    |~                  |    ~     ~          
5589|TYC 9026-4269-1                                                       |Star                           |15 34 18.3053332584 -62 54 10.342466100|320.3048169270169 -05.6626236286531|  -3.999 -2.186     |10.95    |~                  |    ~     ~          
