C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
72  |HD 139096                                                             |Spectroscopic Binary           |15 37 35.1251489664 -36 35 47.820797916|336.4224170518747 +15.2480686118085|-80.991 -38.051     |9.67     |G3V                |    ~     ~          
73  |HD 139594                                                             |Star                           |15 40 22.7064323568 -37 20 38.538388032|336.4025347149788 +14.3156127160395| -8.503 -31.491     |9.75     |G2V                |    ~     ~          
74  |HD 139808                                                             |Star                           |15 41 35.9557123296 -37 07 49.686655980|336.7359428761022 +14.3328452924827| -4.130 -11.909     |10.53    |A0III/IV           |    ~     ~          
75  |HD 139845                                                             |Star                           |15 41 48.6573159168 -37 07 10.004437884|336.7771352147805 +14.3152630916155|  -6.003 -2.599     |10.26    |F0/2V              |    ~     ~          
76  |HD 139942                                                             |Star                           |15 42 24.3471797400 -37 01 34.903528824|336.9327691221254 +14.3142506194225|  -4.422 -4.899     |9.16     |K3(III)            |    ~     ~          
77  |HD 139958                                                             |Star                           |15 42 29.8686192744 -36 56 26.931706296|337.0026612206605 +14.3696669712406|-13.092 -10.020     |10.50    |F3/5V              |    ~     ~          
78  |HD 140056                                                             |Spectroscopic Binary           |15 42 59.3650892928 -37 02 11.843987892|337.0200669625268 +14.2335349808912|  -6.875 -6.918     |10.05    |A8/9V              |    ~     ~          
79  |HD 140218                                                             |Star                           |15 43 47.6537317320 -37 18 54.774497664|336.9693165339322 +13.9159017168904|  -2.359 -2.985     |9.03     |M1/2III            |    ~     ~          
80  |HD 140391                                                             |High Proper Motion Star        |15 44 40.4479410912 -37 20 15.098142192|337.0951783222305 +13.7887681243734|-34.021 -69.857     |8.15     |F3V                |    ~     ~          
81  |HD 139232                                                             |Star                           |15 38 25.7889852936 -37 30 24.993110304|335.9841515369484 +14.4249060549596| -3.118 -30.952     |9.81     |G3V                |    ~     ~          
