C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
4011|BD+38 67                                                                                                                                                                                                                                             |Star                                |00 32 07.4347331952 +39 10 12.365210280|118.8498300218924 -23.5485126771363|-19.382 -13.703   |9.34     |K0             |    ~     ~    |    1|  514.377   pc  |  -4.4450     +4.4450  |paral   |2020yCat.1350....0G
4012|BD+40 103                                                                                                                                                                                                                                            |Star                                |00 30 42.8294537712 +41 00 12.266082612|118.7257211114949 -21.6990238362603|  0.421 -13.008   |8.78     |K2             |    ~     ~    |    1|  685.260   pc  | -14.7449    +14.7449  |paral   |2020yCat.1350....0G
4013|HD 2702                                                                                                                                                                                                                                              |Star                                |00 30 52.2900558840 +41 31 17.887981260|118.8053295638175 -21.1852651105532|-27.449 -23.144   |7.64     |A0             |    ~     ~    |    1|  190.964   pc  |  -1.0575     +1.0575  |paral   |2020yCat.1350....0G
4014|BD+40 105                                                                                                                                                                                                                                            |Star                                |00 30 55.1402337216 +41 39 52.574145516|118.8279038296850 -21.0435775253075|  9.288 -16.903   |8.50     |K0             |    ~     ~    |    1|  346.693   pc  |  -2.6924     +2.6924  |paral   |2020yCat.1350....0G
4015|BD+40 106                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 31 02.5855158096 +41 34 25.158928692|118.8443814850201 -21.1361687775889|-40.708 -27.372   |9.54     |A2             |    ~     ~    |    1|  269.840   pc  |  -1.5072     +1.5072  |paral   |2020yCat.1350....0G
4016|BD+40 107                                                                                                                                                                                                                                            |Star                                |00 31 07.2232315680 +41 31 37.940686860|118.8556163923247 -21.1836757585729|    7.447 2.935   |9.26     |K2             |    ~     ~    |    1|  780.518   pc  | -19.0073    +19.0073  |paral   |2020yCat.1350....0G
4017|BD+40 109                                                                                                                                                                                                                                            |Star                                |00 31 32.4426959760 +41 42 21.028854888|118.9555298912296 -21.0122318113625|    6.841 2.303   |10.17    |F2             |    ~     ~    |    1|  329.663   pc  |  -2.2931     +2.2931  |paral   |2020yCat.1350....0G
4018|BD+40 110                                                                                                                                                                                                                                            |Star                                |00 31 34.4021009760 +41 47 28.003166448|118.9695714905607 -20.9277553652898| 13.090 -12.582   |9.51     |F2             |    ~     ~    |    1|  221.744   pc  |  -1.0768     +1.0768  |paral   |2020yCat.1350....0G
4019|BD+40 113                                                                                                                                                                                                                                            |Star                                |00 33 11.1730799520 +41 43 28.392103776|119.2850406229217 -21.0179170781141|   3.943 -9.120   |9.96     |M0             |    ~     ~    |    1| 1734.305   pc  | -65.8711    +65.8711  |paral   |2020yCat.1350....0G
4020|V* V353 And                                                                                                                                                                                                                                          |Long-Period Variable Candidate      |00 30 26.2268341728 +40 22 08.959556640|118.6096537953012 -22.3262782253429|  -5.292 -4.416   |9.43     |M0             |    ~     ~    |    1| 1017.501   pc  | -24.3297    +24.3297  |paral   |2020yCat.1350....0G
4021|BD+39 104                                                                                                                                                                                                                                            |Star                                |00 30 42.9787390608 +40 31 52.768679700|118.6821364176205 -22.1693722852541|-24.077 -19.452   |9.42     |F5             |    ~     ~    |    1|  140.885   pc  |  -0.3215     +0.3215  |paral   |2020yCat.1350....0G
4022|BD+39 105                                                                                                                                                                                                                                            |Star                                |00 31 00.8238488856 +40 29 53.164215240|118.7398658306560 -22.2073428139648| 36.699 -10.400   |9.93     |F8             |    ~     ~    |    1|  290.040   pc  |  -1.5310     +1.5310  |paral   |2020yCat.1350....0G
4023|BD+39 101                                                                                                                                                                                                                                            |Star                                |00 30 17.0692871568 +39 48 18.337809744|118.5240595273854 -22.8855401153475|  3.893 -16.592   |10.35    |A5             |    ~     ~    |    1|  252.258   pc  |  -1.2600     +1.2600  |paral   |2020yCat.1350....0G
4024|BD+39 102                                                                                                                                                                                                                                            |Star                                |00 30 21.2226058776 +40 14 31.751118780|118.5804015419150 -22.4513817251706|-10.743 -16.416   |9.93     |G0             |    ~     ~    |    1|  714.286   pc  |  -8.5204     +8.5204  |paral   |2020yCat.1350....0G
4025|HD 2993                                                                                                                                                                                                                                              |Double or Multiple Star             |00 33 29.9593385 +40 06 20.316516      |119.2167003543 -22.6366644456      |   -12.60 11.11   |7.75     |F8             |0.0050  0.0    |    0|                |                       |        |                   
4026|BD+39 116                                                                                                                                                                                                                                            |Star                                |00 33 33.1050274680 +40 10 40.448054028|119.2334140131905 -22.5653648342313| -2.126 -21.992   |9.88     |K2             |    ~     ~    |    1|  771.843   pc  |  -9.2340     +9.2340  |paral   |2020yCat.1350....0G
4027|V* V354 And                                                                                                                                                                                                                                          |Long-Period Variable                |00 33 36.8215780584 +39 53 03.227247600|119.2223261730315 -22.8590985356141|   6.044 -3.901   |8.58     |K0             |    ~     ~    |    1|  452.530   pc  | -10.0139    +10.0139  |paral   |2020yCat.1350....0G
4028|BD+38 61                                                                                                                                                                                                                                             |High Proper Motion Star             |00 30 59.1076621224 +39 31 11.179247556|118.6428396325472 -23.1815837897518| 94.156 -26.347   |10.20    |F8             |    ~     ~    |    1|  170.999   pc  |  -0.4328     +0.4328  |paral   |2020yCat.1350....0G
4029|BD+38 62                                                                                                                                                                                                                                             |Star                                |00 31 04.8261291144 +39 29 25.341002088|118.6600126771105 -23.2124569196006| 17.827 -12.952   |8.67     |K5             |    ~     ~    |    1|  411.980   pc  |  -3.7170     +3.7170  |paral   |2020yCat.1350....0G
4030|TYC 2784-9-1                                                                                                                                                                                                                                         |Star                                |00 30 51.2075856552 +39 20 54.054005964|118.5991070031305 -23.3501610663383|   6.431 -5.017   |10.09    |~              |    ~     ~    |    1|  318.056   pc  |  -1.9321     +1.9321  |paral   |2020yCat.1350....0G
4031|TYC 2788-75-1                                                                                                                                                                                                                                        |High Proper Motion Star             |00 32 22.3335046608 +39 52 43.674044880|118.9641951927167 -22.8460212048243| 85.281 -51.272   |10.98    |~              |    ~     ~    |    1|  142.088   pc  |  -0.5774     +0.5774  |paral   |2020yCat.1350....0G
4032|V* V491 And                                                                                                                                                                                                                                          |BY Dra Variable                     |00 30 19.9413590544 +41 10 40.483157484|118.6650811528088 -21.5189142326860|  2.936 -14.250   |10.63    |~              |    ~     ~    |    1|  696.524   pc  |  -8.1505     +8.1505  |paral   |2020yCat.1350....0G
4033|TYC 2788-623-1                                                                                                                                                                                                                                       |Star                                |00 31 12.3871404504 +39 49 30.950145012|118.7174031038417 -22.8808673315254|   4.512 -6.541   |10.35    |~              |    ~     ~    |    1|  441.306   pc  |  -4.1677     +4.1677  |paral   |2020yCat.1350....0G
4034|TYC 2788-632-1                                                                                                                                                                                                                                       |Star                                |00 30 05.8739593248 +41 11 05.742665268|118.6185159509644 -21.5080228388132|    4.393 0.920   |10.04    |~              |    ~     ~    |    1|  703.383   pc  | -10.8845    +10.8845  |paral   |2020yCat.1350....0G
4035|TYC 2788-639-1                                                                                                                                                                                                                                       |Star                                |00 32 31.6691578128 +39 48 55.536045336|118.9910076510441 -22.9115774476893|  17.705 -4.531   |10.38    |~              |    ~     ~    |    1|  837.731   pc  | -13.4744    +13.4744  |paral   |2020yCat.1350....0G
4036|TYC 2788-848-1                                                                                                                                                                                                                                       |Star                                |00 32 32.6277436440 +41 05 07.848146796|119.1030413462271 -21.6457249542929| 14.893 -10.260   |10.75    |~              |    ~     ~    |    1|  282.781   pc  |  -1.0635     +1.0635  |paral   |2020yCat.1350....0G
4037|TYC 2788-882-1                                                                                                                                                                                                                                       |Star                                |00 30 43.3093268208 +40 55 14.340986184|118.7196333702509 -21.7816011942169|  -9.800 -1.151   |10.72    |~              |    ~     ~    |    1|  381.519   pc  |  -2.6928     +2.6928  |paral   |2020yCat.1350....0G
4038|TYC 2788-1399-1                                                                                                                                                                                                                                      |Star                                |00 32 20.3286685992 +40 19 27.048420588|118.9959867954431 -22.4015612954735| -16.106 -7.665   |10.78    |~              |    ~     ~    |    1|  492.271   pc  |  -4.1923     +4.1923  |paral   |2020yCat.1350....0G
4039|TYC 2788-1646-1                                                                                                                                                                                                                                      |Star                                |00 31 53.8993019496 +40 07 45.979064724|118.8881891892016 -22.5888419733059| 26.171 -13.825   |10.89    |~              |    ~     ~    |    1|  247.985   pc  |  -1.0946     +1.0946  |paral   |2020yCat.1350....0G
4040|TYC 2788-1928-1                                                                                                                                                                                                                                      |Star                                |00 32 00.7243692048 +39 28 04.707065172|118.8529098326539 -23.2498689815632|    9.723 3.376   |9.99     |~              |    ~     ~    |    1|  737.191   pc  |  -9.3474     +9.3474  |paral   |2020yCat.1350....0G
4041|TYC 2788-2126-1                                                                                                                                                                                                                                      |Star                                |00 30 03.5498938104 +39 30 54.178448076|118.4488883871827 -23.1705318224200|   4.030 -7.753   |10.71    |~              |    ~     ~    |    1|  513.479   pc  |  -4.9832     +4.9832  |paral   |2020yCat.1350....0G
4042|TYC 2792-112-1                                                                                                                                                                                                                                       |Star                                |00 32 30.0060704688 +41 32 22.702871076|119.1327034456316 -21.1923646895272|  -5.101 -6.292   |10.09    |~              |    ~     ~    |    1|  802.439   pc  | -11.5260    +11.5260  |paral   |2020yCat.1350....0G
4043|TYC 2792-1547-1                                                                                                                                                                                                                                      |Star                                |00 30 40.1394650568 +41 27 35.917432128|118.7591137988475 -21.2434347844086|  -4.957 -8.382   |10.36    |~              |    ~     ~    |    1|  727.855   pc  |  -8.3174     +8.3174  |paral   |2020yCat.1350....0G
4044|TYC 2792-1650-1                                                                                                                                                                                                                                      |Star                                |00 32 45.1794011808 +41 43 05.592308556|119.1981743679078 -21.0180275375335| 16.712 -12.734   |9.85     |~              |    ~     ~    |    1|  630.159   pc  |  -6.5522     +6.5522  |paral   |2020yCat.1350....0G
4045|TYC 2792-1995-1                                                                                                                                                                                                                                      |Star                                |00 31 55.0045586352 +41 50 31.909334676|119.0422991423822 -20.8820722689870|  -0.596 -3.072   |10.14    |~              |    ~     ~    |    1|  715.205   pc  |  -8.7981     +8.7981  |paral   |2020yCat.1350....0G
4046|TYC 2792-2051-1                                                                                                                                                                                                                                      |Star                                |00 31 16.1764918152 +41 40 25.324477464|118.8986296093148 -21.0400476109186|  20.455 -5.093   |10.54    |~              |    ~     ~    |    1|  427.204   pc  |  -4.8181     +4.8181  |paral   |2020yCat.1350....0G
4047|BD+38 72                                                                                                                                                                                                                                             |Star                                |00 35 05.1504535536 +39 10 04.644865740|119.4742110427309 -23.5939821327337|  -4.968 -6.032   |8.46     |K0             |    ~     ~    |    1|  685.354   pc  | -11.6958    +11.6958  |paral   |2020yCat.1350....0G
4048|BD+38 74                                                                                                                                                                                                                                             |Star                                |00 36 48.0260869080 +39 17 33.499986036|119.8445332626195 -23.4913456329689|   -8.193 1.672   |9.12     |K2             |    ~     ~    |    1|  680.735   pc  | -10.2875    +10.2875  |paral   |2020yCat.1350....0G
4049|BD+38 95                                                                                                                                                                                                                                             |Star                                |00 41 54.9088507056 +39 02 57.378901056|120.9116233834327 -23.7851174814908| -10.760 -0.763   |8.53     |K0             |    ~     ~    |    1|  686.436   pc  | -10.6019    +10.6019  |paral   |2020yCat.1350....0G
4050|BD+38 103                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 44 40.3014287688 +39 05 39.445276200|121.4975884354016 -23.7586126474352| -25.821 -2.630   |10.09    |~              |    ~     ~    |    1|  135.536   pc  |  -1.6460     +1.6460  |paral   |2020yCat.1350....0G
4051|BD+38 101                                                                                                                                                                                                                                            |High Proper Motion Star             |00 43 47.4727147080 +38 52 43.936167072|121.3033767610371 -23.9686957276037|  54.865 -3.466   |10.25    |~              |    ~     ~    |    1|  147.658   pc  |  -0.3423     +0.3423  |paral   |2020yCat.1350....0G
4052|TYC 2797-791-1                                                                                                                                                                                                                                       |Spectroscopic Binary                |00 44 04.4380527696 +38 58 59.389655052|121.3671376707094 -23.8662090338845|  0.204 -13.264   |10.57    |A3             |    ~     ~    |    1|  596.161   pc  | -22.7816    +22.7816  |paral   |2020yCat.1350....0G
4053|TYC 2797-1207-1                                                                                                                                                                                                                                      |Star                                |00 40 47.0016899736 +39 07 28.899831108|120.6754415196797 -23.7003676277197| 37.777 -15.263   |10.33    |G4             |    ~     ~    |    1|  112.649   pc  |  -0.2107     +0.2107  |paral   |2020yCat.1350....0G
4054|TYC 2797-951-1                                                                                                                                                                                                                                       |High Proper Motion Star             |00 40 06.3271696608 +38 58 36.547583448|120.5242482404008 -23.8419449718347|   56.882 1.676   |10.26    |G3             |    ~     ~    |    1|  166.326   pc  |  -0.4786     +0.4786  |paral   |2020yCat.1350....0G
4055|BD+40 115                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 35 00.2088764616 +41 22 21.180682236|119.6215436202314 -21.3935385307375|   11.525 1.712   |8.17     |K5             |    ~     ~    |    1|  750.356   pc  | -14.4700    +14.4700  |paral   |2020yCat.1350....0G
4056|BD+40 116                                                                                                                                                                                                                                            |Star                                |00 35 35.2771487400 +41 47 25.514302884|119.7686081510934 -20.9839543591489|   3.117 -5.983   |9.61     |M0             |    ~     ~    |    1| 2234.138   pc  |-198.6566   +198.6566  |paral   |2020yCat.1350....0G
4057|BD+40 118                                                                                                                                                                                                                                            |Star                                |00 35 44.1176914224 +41 45 24.533253036|119.7956105540145 -21.0192892232466|  -8.475 -3.128   |9.53     |K0             |    ~     ~    |    1|  720.929   pc  |  -8.5237     +8.5237  |paral   |2020yCat.1350....0G
4058|BD+40 119                                                                                                                                                                                                                                            |Star                                |00 35 52.0520777640 +41 33 47.337864120|119.8085285493519 -21.2141510039868|  -2.270 -5.021   |10.12    |G5             |    ~     ~    |    1|  761.905   pc  | -18.6340    +18.6340  |paral   |2020yCat.1350....0G
4059|HD 3201                                                                                                                                                                                                                                              |Star                                |00 35 34.3708453896 +40 27 01.328237208|119.6700989507314 -22.3208777838061| -2.361 -10.293   |8.97     |A0             |    ~     ~    |    1|  305.670   pc  |  -2.6162     +2.6162  |paral   |2020yCat.1350....0G
4060|BD+39 128                                                                                                                                                                                                                                            |Star                                |00 35 50.6970092328 +40 23 48.990981912|119.7221568289224 -22.3776056681490|  13.620 -4.014   |9.24     |F0             |    ~     ~    |    1|  253.749   pc  |  -1.1783     +1.1783  |paral   |2020yCat.1350....0G
4061|BD+39 131                                                                                                                                                                                                                                            |Star                                |00 36 20.9973828384 +40 18 56.885890968|119.8203637513398 -22.4647728265163|   1.378 -3.083   |10.53    |G5             |    ~     ~    |    1|  865.726   pc  | -13.0410    +13.0410  |paral   |2020yCat.1350....0G
4062|BD+39 124                                                                                                                                                                                                                                            |Star                                |00 35 06.6165050544 +39 53 21.604005744|119.5334911680174 -22.8746487169842| -16.419 -3.431   |9.63     |F2             |    ~     ~    |    1|  290.436   pc  |  -1.5521     +1.5521  |paral   |2020yCat.1350....0G
4063|BD+38 69                                                                                                                                                                                                                                             |Star                                |00 33 52.2981445560 +39 36 11.350209600|119.2532703386211 -23.1430905414942|  15.018 -5.310   |9.14     |K0             |    ~     ~    |    1|  658.415   pc  |  -8.8869     +8.8869  |paral   |2020yCat.1350....0G
4064|BD+40 124                                                                                                                                                                                                                                            |Star                                |00 36 43.4290971072 +41 24 34.774022628|119.9699124830853 -21.3774485561005|  3.563 -14.203   |9.54     |A5             |    ~     ~    |    1|  319.581   pc  |  -2.0733     +2.0733  |paral   |2020yCat.1350....0G
4065|BD+40 126                                                                                                                                                                                                                                            |Star                                |00 37 30.3067590168 +41 05 32.029725264|120.1071131154193 -21.7030855371169|    1.459 5.123   |9.57     |K5             |    ~     ~    |    1|  880.980   pc  | -13.9703    +13.9703  |paral   |2020yCat.1350....0G
4066|BD+40 127                                                                                                                                                                                                                                            |Star                                |00 37 33.9844803552 +41 25 06.671106156|120.1398248105393 -21.3780138525868|  5.003 -37.036   |8.65     |K2             |    ~     ~    |    1|  296.991   pc  |  -2.3462     +2.3462  |paral   |2020yCat.1350....0G
4067|BD+40 128                                                                                                                                                                                                                                            |Star                                |00 37 50.7345483096 +40 52 17.916470688|120.1625405027267 -21.9270038779012|    7.871 6.254   |8.45     |K0             |    ~     ~    |    1|  516.209   pc  |  -6.7684     +6.7684  |paral   |2020yCat.1350....0G
4068|BD+40 129                                                                                                                                                                                                                                            |Star                                |00 38 06.7783102056 +41 23 27.171932604|120.2480390352495 -21.4114172076982|   -3.565 5.545   |9.77     |F8             |    ~     ~    |    1|  219.020   pc  |  -1.0505     +1.0505  |paral   |2020yCat.1350....0G
4069|BD+40 131                                                                                                                                                                                                                                            |Star                                |00 38 26.4751990944 +40 59 09.270351168|120.2904391543072 -21.8191714630064| 19.956 -15.353   |9.03     |K0             |    ~     ~    |    1|  401.623   pc  |  -3.0808     +3.0808  |paral   |2020yCat.1350....0G
4070|BD+40 131B                                                                                                                                                                                                                                           |Star                                |00 38 25.3850801040 +40 59 09.986071380|120.2867629416821 -21.8187865138909|  -7.010 -2.341   |9.76     |K              |    ~     ~    |    1|  714.235   pc  | -14.3857    +14.3857  |paral   |2020yCat.1350....0G
4071|BD+40 149                                                                                                                                                                                                                                            |Star                                |00 43 14.1357406992 +41 00 33.954990480|121.2650772185606 -21.8357677844070|   7.583 11.095   |9.18     |G5             |    ~     ~    |    1|  478.515   pc  |  -4.0300     +4.0300  |paral   |2020yCat.1350....0G
4072|BD+40 150                                                                                                                                                                                                                                            |High Proper Motion Star             |00 43 38.2874400912 +40 54 15.018450300|121.3431362874108 -21.9435131364191|  59.223 -4.270   |10.27    |K2             |    ~     ~    |    1|   58.665   pc  |  -0.9275     +0.9275  |paral   |2020yCat.1350....0G
4073|BD+40 151                                                                                                                                                                                                                                            |Star                                |00 44 03.8932786944 +41 34 15.009282228|121.4521095615785 -21.2797258532119|  9.592 -11.056   |9.04     |K0             |    ~     ~    |    1|  433.915   pc  |  -3.6903     +3.6903  |paral   |2020yCat.1350....0G
4074|BD+40 154                                                                                                                                                                                                                                            |Star                                |00 44 47.4610427568 +41 18 48.873439152|121.5901368849373 -21.5408538974208|   3.490 -2.058   |9.15     |G5             |    ~     ~    |    1|  521.812   pc  |  -4.3838     +4.3838  |paral   |2020yCat.1350....0G
4075|BD+39 137                                                                                                                                                                                                                                            |Star                                |00 37 22.8952791024 +40 43 38.881270380|120.0589981453530 -22.0658576973400| -11.530 11.978   |9.42     |F5             |    ~     ~    |    1|  145.266   pc  |  -0.3693     +0.3693  |paral   |2020yCat.1350....0G
4076|HD 3431                                                                                                                                                                                                                                              |Star                                |00 37 26.4001435512 +40 19 56.553916044|120.0458587393657 -22.4609174198633| -15.247 -2.491   |6.842    |A0             |    ~     ~    |    1|  195.461   pc  |  -1.4518     +1.4518  |paral   |2020yCat.1350....0G
4077|BD+39 144                                                                                                                                                                                                                                            |Star                                |00 38 38.7391236936 +40 26 14.288227296|120.3002013922481 -22.3690688587349|-10.052 -12.194   |8.89     |K0             |    ~     ~    |    1|  387.192   pc  |  -2.8035     +2.8035  |paral   |2020yCat.1350....0G
4078|BD+39 145                                                                                                                                                                                                                                            |Star                                |00 38 49.1080752120 +40 25 51.684868848|120.3353503651353 -22.3770923736134|  2.870 -20.268   |8.93     |K5             |    ~     ~    |    1|  899.604   pc  | -16.1858    +16.1858  |paral   |2020yCat.1350....0G
4079|BD+39 148                                                                                                                                                                                                                                            |Double or Multiple Star             |00 39 00.3166231439 +40 40 16.027319328|120.3872685341665 -22.1391929460490|  -7.857 -7.447   |9.717    |A2             |    ~     ~    |    0|                |                       |        |                   
4080|BD+39 157                                                                                                                                                                                                                                            |Star                                |00 41 51.4808186016 +40 18 32.882419548|120.9549401031680 -22.5258370488066|  -8.668 -5.481   |9.33     |M0e            |    ~     ~    |    1| 1321.877   pc  | -40.1893    +40.1893  |paral   |2020yCat.1350....0G
4081|HD 3914                                                                                                                                                                                                                                              |High Proper Motion Star             |00 42 01.4270397336 +40 41 17.716533432|121.0053213430902 -22.1482739393813|-10.481 -60.096   |7.03     |F5             |    ~     ~    |    1|   49.578   pc  |  -0.0708     +0.0708  |paral   |2020yCat.1350....0G
4082|BD+39 164                                                                                                                                                                                                                                            |Star                                |00 42 58.7871773352 +40 24 07.493397696|121.1898752070543 -22.4410550553664|-22.143 -12.121   |9.31     |G0             |    ~     ~    |    1|  356.201   pc  |  -4.4154     +4.4154  |paral   |2020yCat.1350....0G
4083|HD 4127                                                                                                                                                                                                                                              |Star                                |00 44 05.1059452632 +40 26 02.061279492|121.4184873967305 -22.4162338917267| 28.347 -21.415   |8.39     |G5             |    ~     ~    |    1|  291.095   pc  |  -1.9574     +1.9574  |paral   |2020yCat.1350....0G
4084|HD 4143                                                                                                                                                                                                                                              |Star                                |00 44 16.7293862544 +40 41 06.620519256|121.4665038468299 -22.1662042695569|  3.988 -17.966   |8.61     |M1III          |    ~     ~    |    1|  733.353   pc  | -12.9074    +12.9074  |paral   |2020yCat.1350....0G
4085|BD+39 168                                                                                                                                                                                                                                            |Star                                |00 44 46.1582245920 +40 38 24.413552844|121.5655055825666 -22.2139394548456|   2.280 -4.892   |10.12    |K0             |    ~     ~    |    1|  524.521   pc  |  -4.4020     +4.4020  |paral   |2020yCat.1350....0G
4086|BD+40 143                                                                                                                                                                                                                                            |Star                                |00 41 29.7779645976 +41 22 11.114175108|120.9279636447980 -21.4633075409250| -11.632 -3.143   |10.00    |~              |    ~     ~    |    1|  970.780   pc  | -15.3613    +15.3613  |paral   |2020yCat.1350....0G
4087|BD+39 142                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 38 29.4293999088 +39 58 15.988652580|120.2408348475998 -22.8329772777776|  21.374 -9.074   |10.05    |F2             |    ~     ~    |    1|  227.635   pc  |  -1.0674     +1.0674  |paral   |2020yCat.1350....0G
4088|BD+39 146                                                                                                                                                                                                                                            |Star                                |00 38 53.5129201752 +39 57 46.897472016|120.3236945462835 -22.8451751403870|  7.073 -12.267   |9.29     |A2             |    ~     ~    |    1|  301.960   pc  |  -1.9968     +1.9968  |paral   |2020yCat.1350....0G
4089|BD+39 159                                                                                                                                                                                                                                            |Double or Multiple Star             |00 42 17.4454 +40 15 02.719            |121.0417537 -22.5874193            |       13.3 0.8   |9.46     |F8             |    ~     ~    |    0|                |                       |        |                   
4090|BD+39 163                                                                                                                                                                                                                                            |Star                                |00 42 55.9618493376 +40 08 45.429753912|121.1702636286816 -22.6967006455199| -8.091 -10.380   |9.24     |F5             |    ~     ~    |    1|  133.181   pc  |  -0.3086     +0.3086  |paral   |2020yCat.1350....0G
4091|HD 3361                                                                                                                                                                                                                                              |Star                                |00 36 49.2886104024 +39 37 02.874118728|119.8708156576299 -23.1673917873096|  -9.293 -7.220   |9.19     |A5             |    ~     ~    |    1|  300.363   pc  |  -6.3063     +6.3063  |paral   |2020yCat.1350....0G
4092|HD 3466                                                                                                                                                                                                                                              |Star                                |00 37 55.4524723176 +39 21 00.260865180|120.0847812249660 -23.4469570840528|  -8.766 -5.968   |8.91     |F0             |    ~     ~    |    1|  223.040   pc  |  -1.0447     +1.0447  |paral   |2020yCat.1350....0G
4093|HD 3482                                                                                                                                                                                                                                              |Star                                |00 38 04.6121344368 +39 40 56.778416832|120.1373248081417 -23.1167988025666|  -8.453 -8.311   |8.60     |F0             |    ~     ~    |    1|  349.223   pc  |  -2.8172     +2.8172  |paral   |2020yCat.1350....0G
4094|BD+38 81                                                                                                                                                                                                                                             |Star                                |00 39 05.6426616072 +39 42 39.240028944|120.3514209104978 -23.0989910318826| 23.847 -21.416   |10.36    |G0             |    ~     ~    |    1|  334.001   pc  |  -1.8742     +1.8742  |paral   |2020yCat.1350....0G
4095|BD+38 82                                                                                                                                                                                                                                             |Star                                |00 39 22.3476155544 +39 42 25.355234736|120.4093424899758 -23.1056005524058|  12.010 -3.189   |10.42    |K2             |    ~     ~    |    1|  506.842   pc  |  -4.1873     +4.1873  |paral   |2020yCat.1350....0G
4096|HD 3701                                                                                                                                                                                                                                              |Star                                |00 40 06.9027308832 +39 26 26.360421684|120.5505661493034 -23.3787316286592|   17.652 1.734   |8.10     |K2             |    ~     ~    |    1|  469.814   pc  |  -4.8560     +4.8560  |paral   |2020yCat.1350....0G
4097|BD+38 87                                                                                                                                                                                                                                             |Star                                |00 40 30.4572230208 +39 22 42.986135892|120.6299233452706 -23.4442801719069|  -5.988 -2.432   |10.40    |A2             |    ~     ~    |    1|  729.820   pc  | -10.3864    +10.3864  |paral   |2020yCat.1350....0G
4098|HD 3741                                                                                                                                                                                                                                              |Spectroscopic Binary                |00 40 32.3384969400 +39 31 47.532599472|120.6441150291846 -23.2934578179250|   -7.856 1.649   |7.71     |K2             |    ~     ~    |    1|  545.197   pc  | -20.1231    +20.1231  |paral   |2020yCat.1350....0G
4099|* 32 And                                                                                                                                                                                                                                             |Star                                |00 41 07.1845805160 +39 27 31.189510836|120.7625351338342 -23.3696175325160| -14.297 -3.274   |5.33     |G8III          |    ~     ~    |    1|  105.648   pc  |  -0.7422     +0.7422  |paral   |2020yCat.1350....0G
4100|HD 3827                                                                                                                                                                                                                                              |Star                                |00 41 12.1630838496 +39 36 13.712288400|120.7868023967917 -23.2253042404352|  -1.262 -7.010   |7.95     |B0.7V((n))     |    ~     ~    |    1| 1743.071   pc  |-156.1685   +156.1685  |paral   |2020yCat.1350....0G
