C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:10:40

dec< 0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6795

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
3562|TYC 5128-688-1                                                                                           |High Proper Motion Star               |19 06 02.6633461488 -00 30 10.012438980|034.1506877183838 -03.4789674808941|-16.187 -48.493   |10.26    |~              |    ~     ~    |    1|  190.208   pc  |  -0.4812     +0.4812    |paral   |2020yCat.1350....0G
3563|TYC 5128-717-1                                                                                           |Star                                  |19 04 16.0204295088 -01 22 57.201859632|033.1632904477573 -03.4846242679828|  -17.236 2.006   |10.79    |~              |    ~     ~    |    1|  173.886   pc  |  -0.5291     +0.5291    |paral   |2020yCat.1350....0G
3564|TYC 5128-766-1                                                                                           |Star                                  |19 07 06.1837121544 -00 01 19.953726600|034.7001013704469 -03.4950297680712|  -1.539 -4.153   |10.8     |~              |    ~     ~    |    1| 1484.340   pc  | -47.3702    +47.3702    |paral   |2020yCat.1350....0G
3565|TYC 5128-775-1                                                                                           |Star                                  |19 06 33.5896920120 -00 35 39.620751936|034.1279675541134 -03.6354025795886|     1.00 -3.80   |10.55    |~              |    ~     ~    |    0|                |                         |        |                   
3566|TYC 5128-787-1                                                                                           |Star                                  |19 00 05.7455305416 -00 18 55.645958196|033.6383623309012 -02.0701508886860|  -1.400 -2.809   |10.6     |~              |    ~     ~    |    1|  598.444   pc  |  -6.7329     +6.7329    |paral   |2020yCat.1350....0G
3567|TYC 5128-812-1                                                                                           |Star                                  |19 06 45.2778309048 -00 55 57.966370104|033.8484115949136 -03.8331038209015|  11.257 40.638   |10.15    |~              |    ~     ~    |    1|  184.339   pc  |  -0.5845     +0.5845    |paral   |2020yCat.1350....0G
3568|TYC 5128-876-1                                                                                           |Star                                  |19 06 07.9107475968 -00 16 52.647869820|034.3581154896271 -03.3973318179227|   8.204 -2.904   |10.37    |~              |    ~     ~    |    1|  545.613   pc  |  -6.1623     +6.1623    |paral   |2020yCat.1350....0G
3569|TYC 5128-928-1                                                                                           |Star                                  |19 06 08.8251973488 -00 21 29.043045864|034.2914251848002 -03.4357679702995| -17.813 17.924   |10.6     |~              |    ~     ~    |    1|  237.530   pc  |  -0.8971     +0.8971    |paral   |2020yCat.1350....0G
3570|TYC 5128-932-1                                                                                           |Star                                  |19 00 21.8277197616 -00 42 05.407053228|033.3251150943038 -02.3058195775318|  9.614 -11.493   |10.2     |~              |    ~     ~    |    1|  627.077   pc  |  -7.2354     +7.2354    |paral   |2020yCat.1350....0G
3571|TYC 5128-1095-1                                                                                          |Star                                  |19 02 42.2140102320 -01 46 05.041687620|032.6412403026073 -03.3122992315829| -2.477 -12.438   |10.49    |~              |    ~     ~    |    1|  308.328   pc  |  -1.6922     +1.6922    |paral   |2020yCat.1350....0G
3572|TYC 5132-332-1                                                                                           |High Proper Motion Star               |19 01 37.5126594264 -01 53 32.542926504|032.4075483491238 -03.1289512248039|-52.095 -42.867   |10.69    |~              |    ~     ~    |    1|  147.347   pc  |  -0.3083     +0.3083    |paral   |2020yCat.1350....0G
3573|TYC 5132-1342-1                                                                                          |Star                                  |19 07 23.9860231920 -02 09 07.902110736|032.8334736477370 -04.5319510558167| -0.669 -20.289   |10.17    |~              |    ~     ~    |    1|  654.322   pc  | -21.7494    +21.7494    |paral   |2020yCat.1350....0G
3574|TYC 5132-1414-1                                                                                          |Star                                  |19 02 34.7393463600 -02 16 19.253811720|032.1774884381254 -03.5138652558488|   5.251 22.904   |10.38    |~              |    ~     ~    |    1|  131.1596  pc  | -10.4335    +10.4335    |paral   |2018yCat.1345....0G
3575|TYC 5132-1439-1                                                                                          |Star                                  |19 01 36.7948673712 -02 31 21.185206104|031.8440575675561 -03.4129341143777|  -1.469 -1.303   |10.65    |~              |    ~     ~    |    1|  226.860   pc  |  -0.7977     +0.7977    |paral   |2020yCat.1350....0G
3576|TYC 5132-1475-1                                                                                          |Star                                  |19 02 53.2423294728 -02 17 14.993761524|032.1987713161234 -03.5895148572736| 10.310 -15.222   |10.40    |~              |    ~     ~    |    1|  338.192   pc  |  -2.4019     +2.4019    |paral   |2020yCat.1350....0G
3577|BD-01 3651                                                                                               |Long-Period Variable Candidate        |19 06 43.4262016608 -01 02 54.891450636|033.7415772925798 -03.8790396154750|   0.689 -3.523   |10.10    |M4             |    ~     ~    |    1|  787.402   pc  | -40.7961    +40.7961    |paral   |2020yCat.1350....0G
3578|HD 178283                                                                                                |Star                                  |19 08 00.6510779904 -00 10 32.529094464|034.6671591874132 -03.7670302006065|   8.816 16.713   |10.13    |F5V            |    ~     ~    |    1|  245.773   pc  |  -0.8698     +0.8698    |paral   |2020yCat.1350....0G
3579|HD 178360                                                                                                |Star                                  |19 08 21.9426410424 -00 32 11.173488720|034.3860885399133 -04.0106738026127|   0.554 -4.891   |10.00    |F2V            |    ~     ~    |    1|  230.075   pc  |  -1.1487     +1.1487    |paral   |2020yCat.1350....0G
3580|HD 178514                                                                                                |Star                                  |19 08 58.8441812520 -00 43 41.048627052|034.2854886393023 -04.2349346669839|  4.420 -18.771   |9.94     |K1(III)        |    ~     ~    |    1|  471.231   pc  |  -5.3294     +5.3294    |paral   |2020yCat.1350....0G
3581|HD 178545                                                                                                |Star                                  |19 09 03.9165401064 -00 10 03.643352004|034.7950133864436 -03.9978552389832|  15.306 -0.584   |9.97     |A9III          |    ~     ~    |    1|  261.342   pc  |  -1.2157     +1.2157    |paral   |2020yCat.1350....0G
3582|HD 178743                                                                                                |Double or Multiple Star               |19 09 50.1068831 -00 17 12.358067      |034.7769651488 -04.2234608981      |    17.60 -2.58   |9.253    |F2             |    ~     ~    |    0|                |                         |        |                   
3583|HD 178744                                                                                                |Star                                  |19 09 51.5959121424 -00 25 41.205466020|034.6537206699531 -04.2935456946048|   2.706 -6.332   |6.321    |B7IV           |    ~     ~    |    1|  257.221   pc  |  -5.4452     +5.4452    |paral   |2020yCat.1350....0G
3584|HD 178776                                                                                                |High Proper Motion Star               |19 09 56.8890207552 -00 33 58.270127688|034.5406315162872 -04.3762172027951|-24.535 -114.190  |8.75     |F5V            |    ~     ~    |    1|  110.650   pc  |  -0.2840     +0.2840    |paral   |2020yCat.1350....0G
3585|HD 178166                                                                                                |Star                                  |19 07 35.9986297320 -01 43 31.829702232|033.2374188579409 -04.3823589125300|  -0.033 -2.253   |10.64    |A0             |    ~     ~    |    1|  675.037   pc  | -14.8550    +14.8550    |paral   |2020yCat.1350....0G
3586|HD 178167                                                                                                |Star                                  |19 07 39.1327962624 -01 44 23.550060444|033.2305486815702 -04.4005210614100| -11.628 28.940   |9.36     |G8/K0V         |    ~     ~    |    1|  153.464   pc  |  -3.3631     +3.3631    |paral   |2020yCat.1350....0G
3587|BD-01 3660                                                                                               |Star                                  |19 07 45.1591689816 -01 17 36.933102384|033.6404502344267 -04.2196123139519|  2.058 -18.413   |9.60     |F2             |    ~     ~    |    1|  380.981   pc  |  -2.4094     +2.4094    |paral   |2020yCat.1350....0G
3588|HD 178242                                                                                                |Star                                  |19 07 53.9239065576 -01 01 59.983720176|033.8894088826640 -04.1334804260465|   1.415 -2.697   |10.31    |B8/9II         |    ~     ~    |    1|  866.401   pc  | -13.4366    +13.4366    |paral   |2020yCat.1350....0G
3589|HD 178266                                                                                                |High Proper Motion Star               |19 07 56.5299954096 -01 16 53.315379408|033.6729081173374 -04.2562541061188| 15.341 -73.115   |7.946    |K2III          |    ~     ~    |    1|  165.426   pc  |  -0.5719     +0.5719    |paral   |2020yCat.1350....0G
3590|HD 178284                                                                                                |Star                                  |19 08 07.3363226544 -00 56 07.361091780|034.0023570324154 -04.1385441854245|  13.275 -7.037   |9.66     |F0IV/V         |    ~     ~    |    1|  295.972   pc  |  -1.5593     +1.5593    |paral   |2020yCat.1350....0G
3591|HD 178457                                                                                                |Star                                  |19 08 46.3027912680 -01 20 11.673654540|033.7184719396802 -04.4659173486351|   7.379 14.295   |9.50     |F5V            |    ~     ~    |    1|  160.630   pc  |  -0.9598     +0.9598    |paral   |2020yCat.1350....0G
3592|HD 178575                                                                                                |Star                                  |19 09 15.7149259824 -01 42 42.002613648|033.4394458603869 -04.7458247276413|  -2.391 -2.432   |9.62     |B8/9II         |    ~     ~    |    1| 1009.591   pc  | -17.8373    +17.8373    |paral   |2020yCat.1350....0G
3593|HD 178641                                                                                                |Star                                  |19 09 27.9545543760 -00 49 45.122322324|034.2507409546881 -04.3890007126656|   4.144 -4.010   |10.20    |F5V            |    ~     ~    |    1|  264.250   pc  |  -1.3337     +1.3337    |paral   |2020yCat.1350....0G
3594|HD 178642                                                                                                |High Proper Motion Star               |19 09 31.1360101656 -01 10 04.215457560|033.9545180592729 -04.5552422174448|-36.251 -97.004   |9.61     |G1V            |    ~     ~    |    1|   94.183   pc  |  -0.1508     +0.1508    |paral   |2020yCat.1350....0G
3595|HD 178666                                                                                                |Star                                  |19 09 38.5122363312 -01 10 50.115803736|033.9571872504887 -04.5884037110930|   2.582 -5.711   |10.25    |A(2/3)V        |    ~     ~    |    1|  470.699   pc  |  -9.1060     +9.1060    |paral   |2020yCat.1350....0G
3596|BD-01 3673                                                                                               |Star                                  |19 09 57.9914252976 -01 42 48.042877536|033.5183955544380 -04.9033547233718|  4.264 -18.426   |10.55    |K0             |    ~     ~    |    1|  242.618   pc  |  -0.8888     +0.8888    |paral   |2020yCat.1350....0G
3597|BD-01 3674                                                                                               |Star                                  |19 09 59.5432639752 -01 20 13.667235108|033.8574562382770 -04.7377357715700| -9.353 -16.341   |9.87     |K5             |    ~     ~    |    1|  611.770   pc  | -23.8780    +23.8780    |paral   |2020yCat.1350....0G
3598|BD-01 3675                                                                                               |Star                                  |19 10 04.5495193464 -01 41 41.842602528|033.5473100433236 -04.9192999758406|  -0.257 -2.933   |10.35    |A5             |    ~     ~    |    1| 1913.143   pc  | -69.9082    +69.9082    |paral   |2020yCat.1350....0G
3599|HD 178745                                                                                                |Star                                  |19 09 54.2219942712 -01 53 58.321926456|033.3448238068705 -04.9741274475380| -8.515 -42.481   |10.16    |G3(V)          |    ~     ~    |    1|  162.348   pc  |  -1.3943     +1.3943    |paral   |2020yCat.1350....0G
3600|HD 178168                                                                                                |Star                                  |19 07 32.7654024360 -02 29 54.645720972|032.5406639201188 -04.7219308788358|  -0.337 -1.616   |8.96     |K3/4           |    ~     ~    |    1|  677.048   pc  |  -9.5346     +9.5346    |paral   |2020yCat.1350....0G
3601|HD 178217                                                                                                |Star                                  |19 07 43.3819182672 -02 27 11.550465612|032.6013091514251 -04.7407132741619|  -9.659 -7.354   |9.04     |M4III          |    ~     ~    |    1|  480.492   pc  |  -6.0489     +6.0489    |paral   |2020yCat.1350....0G
3602|HD 178313                                                                                                |Star                                  |19 08 12.9582405264 -02 27 26.028269964|032.6538582858872 -04.8522165707277|    5.363 2.280   |9.37     |K1(III)        |    ~     ~    |    1|  492.708   pc  |  -5.0009     +5.0009    |paral   |2020yCat.1350....0G
3603|HD 178484                                                                                                |Red Giant Branch star                 |19 08 52.2470089728 -02 17 13.879989852|032.8804848096313 -04.9206262995286|  11.664 19.861   |6.587    |K2III          |    ~     ~    |    1|  201.662   pc  |  -1.0574     +1.0574    |paral   |2020yCat.1350....0G
3604|BD-02 4862                                                                                               |Star                                  |19 07 30.3252177288 -02 17 00.860785080|032.7281273466802 -04.6151938583164|   -1.893 1.235   |10.56    |~              |    ~     ~    |    1|  841.822   pc  | -16.2993    +16.2993    |paral   |2020yCat.1350....0G
3605|BD-02 4863                                                                                               |Star                                  |19 07 30.7707718584 -01 55 52.490168616|033.0437371367497 -04.4566064187105|  -1.616 12.932   |10.44    |~              |    ~     ~    |    1|  547.795   pc  |  -4.6812     +4.6812    |paral   |2020yCat.1350....0G
3606|BD-00 3661                                                                                               |Star                                  |19 09 49.1609598216 -00 04 04.578501540|034.9703195286291 -04.1199571979333|   1.634 -2.919   |10.01    |~              |    ~     ~    |    1|  940.203   pc  | -11.8454    +11.8454    |paral   |2020yCat.1350....0G
3607|HD 178831                                                                                                |Star                                  |19 10 07.8705260952 -00 26 23.368529112|034.6743305295194 -04.3592181718969|   -4.399 4.294   |9.05     |K2III          |    ~     ~    |    1|  459.770   pc  |  -4.3546     +4.3546    |paral   |2020yCat.1350....0G
3608|HD 178832                                                                                                |Star                                  |19 10 10.4082176232 -00 45 36.741560472|034.3932755220821 -04.5149003615490|   0.566 -4.147   |9.71     |B9III/IV       |    ~     ~    |    1|  508.078   pc  | -11.8230    +11.8230    |paral   |2020yCat.1350....0G
3609|HD 178918                                                                                                |Star                                  |19 10 34.7042424384 -00 41 44.690610480|034.4971584300491 -04.5755433928495|  0.461 -17.883   |7.80     |K3III          |    ~     ~    |    1|  221.141   pc  |  -1.1003     +1.1003    |paral   |2020yCat.1350....0G
3610|BD-00 3667                                                                                               |Star                                  |19 10 49.9578548928 -00 11 58.714923084|034.9689602640275 -04.4054656900629|   1.096 -6.243   |10.5     |F2             |    ~     ~    |    1|  234.176   pc  |  -4.7709     +4.7709    |paral   |2020yCat.1350....0G
3611|HD 179078                                                                                                |Star                                  |19 11 08.1278782368 -00 38 24.419153256|034.6106010033612 -04.6740390776181|   0.853 -5.807   |9.66     |G8III          |    ~     ~    |    1|  422.797   pc  |  -2.9853     +2.9853    |paral   |2020yCat.1350....0G
3612|BD-00 3670                                                                                               |Star                                  |19 11 08.6581333728 -00 15 29.909381436|034.9523437431298 -04.5015814720913|  -4.198 -8.931   |9.34     |M0             |    ~     ~    |    1|  735.024   pc  | -16.9642    +16.9642    |paral   |2020yCat.1350....0G
3613|HD 179190                                                                                                |Star                                  |19 11 35.3124036408 -00 04 12.857660256|035.1710587552520 -04.5143738749999|   -6.106 6.804   |8.82     |K0III          |    ~     ~    |    1|  322.654   pc  |  -3.7166     +3.7166    |paral   |2020yCat.1350....0G
3614|HD 179344                                                                                                |Star                                  |19 12 15.1200254304 -00 36 19.603018800|034.7694728399197 -04.9065136656260|   12.972 1.233   |9.95     |A2IV           |    ~     ~    |    1|  340.843   pc  |  -2.8811     +2.8811    |paral   |2020yCat.1350....0G
3615|HD 179626                                                                                                |High Proper Motion Star               |19 13 20.7189797919 -00 35 42.325251766|034.9040644405757 -05.1449080865250|-317.540 -447.813 |9.187    |F5V            |    ~     ~    |    1|   99.930   pc  |  -1.6370     +1.6370    |ST-L    |2020AJ....160...83S
3616|HD 179797                                                                                                |Star                                  |19 13 56.4113618976 -00 24 27.969467940|035.1396032349253 -05.1915583014622|  6.893 -10.335   |10.23    |A8V            |    ~     ~    |    1|  408.230   pc  |  -7.8826     +7.8826    |paral   |2020yCat.1350....0G
3617|HD 179843                                                                                                |Star                                  |19 14 06.9280157664 -00 32 13.505425044|035.0442247493611 -05.2896468233577| -9.401 -44.782   |10.13    |G8V            |    ~     ~    |    1|  214.087   pc  |  -0.8387     +0.8387    |paral   |2020yCat.1350....0G
3618|HD 178804                                                                                                |High Proper Motion Star               |19 10 05.1256734408 -00 58 38.732017044|034.1892990193731 -04.5944280877762|-25.598 -172.004  |9.875    |B9V            |    ~     ~    |    1|  407.515   pc  |  -3.6701     +3.6701    |paral   |2020yCat.1350....0G
3619|HD 178833                                                                                                |Star                                  |19 10 08.8582841688 -01 04 18.302134692|034.1121979720741 -04.6512880899519|   29.687 3.387   |8.57     |F3V            |    ~     ~    |    1|  172.631   pc  |  -0.9060     +0.9060    |paral   |2020yCat.1350....0G
3620|HD 179191                                                                                                |Star                                  |19 11 42.6262355616 -01 25 54.813731700|033.9692083689384 -05.1631269690791| -24.150 -9.847   |10.18    |G5/6V          |    ~     ~    |    1|  104.443   pc  |  -3.3729     +3.3729    |paral   |2020yCat.1350....0G
3621|HD 179822                                                                                                |High Proper Motion Star               |19 14 07.1799879816 -01 42 23.163901164|033.9992792672882 -05.8241704990081| 62.165 -39.108   |9.72     |G3/5V          |    ~     ~    |    1|  160.891   pc  |  -0.6497     +0.6497    |paral   |2020yCat.1350....0G
3622|HD 179872                                                                                                |Star                                  |19 14 18.1289638512 -01 08 27.539082672|034.5259555010128 -05.6069635622694| 21.111 -35.504   |7.49     |K2/3III        |    ~     ~    |    1|  230.702   pc  |  -1.1443     +1.1443    |paral   |2020yCat.1350....0G
3623|HD 179919                                                                                                |Star                                  |19 14 29.747304 -01 30 41.44500        |034.216740306 -05.819019772        |        4.3 1.2   |10.085   |G0/1V          |    ~     ~    |    0|                |                         |        |                   
3624|HD 179941                                                                                                |Star                                  |19 14 34.5896829048 -01 18 12.895496424|034.4119877928557 -05.7421624258306|  -3.340 -9.849   |9.29     |G8V            |    ~     ~    |    1|  630.199   pc  | -10.7628    +10.7628    |paral   |2020yCat.1350....0G
3625|V* V1686 Aql                                                                                             |Eclipsing Binary                      |19 13 47.7254794704 -01 50 06.571885128|033.8469958106421 -05.8106613423391|  -1.129 -5.125   |8.95     |B6III          |    ~     ~    |    1| 1333.156   pc  | -52.6082    +52.6082    |paral   |2020yCat.1350....0G
3626|HD 179798                                                                                                |Star                                  |19 14 00.3170422872 -01 48 41.643583380|033.8921097885247 -05.8466062549341|   10.035 9.732   |9.30     |F3/5V          |    ~     ~    |    1|  278.327   pc  |  -1.5416     +1.5416    |paral   |2020yCat.1350....0G
3627|HD 178805                                                                                                |Star                                  |19 10 06.4972277280 -01 59 24.565714044|033.2871639633783 -05.0608818963697|  -5.276 -5.436   |10.49    |B9V            |    ~     ~    |    1|  470.500   pc  | -12.1532    +12.1532    |paral   |2020yCat.1350....0G
3628|HD 178895                                                                                                |Star                                  |19 10 27.1925951376 -02 26 55.392503294|032.9163931392105 -05.3461266924914|-26.226 -30.607   |9.95     |F8/G0V         |    ~     ~    |    0|                |                         |        |                   
3629|HD 178919                                                                                                |Star                                  |19 10 38.9286325080 -02 12 12.119949540|033.1581822925288 -05.2781213664949|  -9.616 -7.398   |10.55    |A1/2IV         |    ~     ~    |    1|  326.958   pc  |  -2.2235     +2.2235    |paral   |2020yCat.1350....0G
3630|HD 179246                                                                                                |Star                                  |19 11 49.8265028280 -02 22 47.757421776|033.1349967299519 -05.6212962282787|  17.142 -8.189   |9.82     |ApEuCr(Sr)     |    ~     ~    |    1|  250.664   pc  |  -7.0687     +7.0687    |paral   |2020yCat.1350....0G
3631|HD 179287                                                                                                |Star                                  |19 12 02.6400196536 -02 31 53.129827344|033.0237380718517 -05.7376486879778| -0.111 -22.984   |9.91     |F5V            |    ~     ~    |    1|  143.068   pc  |  -0.3664     +0.3664    |paral   |2020yCat.1350....0G
3632|HD 179627                                                                                                |Star                                  |19 13 24.8 -02 22 54                   |033.3141 -05.9743                  |            ~ ~   |10.3     |A0IV           |    ~     ~    |    0|                |                         |        |                   
3633|HD 179844                                                                                                |Star                                  |19 14 14.4527467296 -02 07 13.653816996|033.6425169860254 -06.0396099686714|  -1.063 -2.079   |9.89     |B2/3II/III     |    ~     ~    |    1| 1097.815   pc  | -17.3549    +17.3549    |paral   |2020yCat.1350....0G
3634|HD 179920                                                                                                |Star                                  |19 14 29.8372878840 -02 24 51.861183048|033.4085020086605 -06.2303184090653|   0.577 -3.346   |9.19     |K0III          |    ~     ~    |    1|  241.488   pc  |  -1.2771     +1.2771    |paral   |2020yCat.1350....0G
3635|HD 179942                                                                                                |Star                                  |19 14 36.1662294432 -01 56 04.280762256|033.8503842963103 -06.0355071475255|   0.732 -0.007   |9.49     |G6/8III        |    ~     ~    |    1| 1222.046   pc  | -26.4331    +26.4331    |paral   |2020yCat.1350....0G
3636|BD-02 4907                                                                                               |High Proper Motion Star               |19 14 41.6701853976 -01 55 33.554171820|033.8685184096386 -06.0520292868014|  62.305 29.090   |9.65     |G0             |    ~     ~    |    1|  143.821   pc  |  -0.3372     +0.3372    |paral   |2020yCat.1350....0G
3637|TYC 5129-1236-1                                                                                          |Star                                  |19 11 17.4278339616 -00 43 09.538214520|034.5576510292597 -04.7446728840475|  -0.948 -3.161   |10.8     |A0             |    ~     ~    |    1| 1316.482   pc  | -28.5966    +28.5966    |paral   |2020yCat.1350....0G
3638|TYC 5133-1077-1                                                                                          |Star                                  |19 12 36.0501604800 -02 35 29.971277664|033.0332980988774 -05.8889036383330|   2.958 -1.155   |10.64    |A0             |    ~     ~    |    1|  408.614   pc  |  -2.6380     +2.6380    |paral   |2020yCat.1350....0G
3639|TYC 5133-898-1                                                                                           |Star                                  |19 13 21.5447109384 -02 10 53.811036012|033.4870114801269 -05.8712410829462|   0.235 -4.085   |10.91    |B8             |    ~     ~    |    1| 1006.543   pc  | -43.9697    +43.9697    |paral   |2020yCat.1350....0G
3640|TYC 5129-2589-1                                                                                          |Star                                  |19 14 01.9470602976 -01 43 39.886640508|033.9702298086796 -05.8144760789038|    1.983 0.577   |10.64    |A0             |    ~     ~    |    1| 1134.430   pc  | -52.2494    +52.2494    |paral   |2020yCat.1350....0G
3641|TYC 5129-3024-1                                                                                          |Star                                  |19 14 59.8289653032 -00 55 36.230008800|034.7971953567768 -05.6637236616273|  -0.909 -1.863   |10.7     |B3             |    ~     ~    |    0|                |                         |        |                   
3642|TYC 5129-3393-1                                                                                          |Star                                  |19 12 17.8497866040 -01 35 40.207344468|033.8909779850703 -05.3678175205318|    3.830 2.430   |10.96    |~              |    ~     ~    |    1|  907.853   pc  | -13.1047    +13.1047    |paral   |2020yCat.1350....0G
3643|BD-02 4890                                                                                               |Star                                  |19 12 51.9405918552 -02 25 48.964619496|033.2080428147193 -05.8745064713233|   7.738 -0.980   |10.58    |~              |    ~     ~    |    1|  542.182   pc  |  -4.2036     +4.2036    |paral   |2020yCat.1350....0G
3644|TYC 5129-1-1                                                                                             |Star                                  |19 07 34.1386258848 -01 16 46.494802272|033.6319801139280 -04.1723637774011|  12.745 13.398   |10.87    |~              |    ~     ~    |    1|  194.337   pc  |  -0.5514     +0.5514    |paral   |2020yCat.1350....0G
3645|TYC 5129-125-1                                                                                           |Star                                  |19 08 48.0679838112 -01 16 36.769654812|033.7751307927431 -04.4452588050358|    3.114 1.316   |10.38    |~              |    ~     ~    |    1|  601.576   pc  |  -7.0207     +7.0207    |paral   |2020yCat.1350....0G
3646|TYC 5129-173-1                                                                                           |Star                                  |19 10 20.3518569648 -01 11 03.139161036|034.0336843716500 -04.7451794635952|  -1.763 -2.955   |10.98    |~              |    ~     ~    |    0|                |                         |        |                   
3647|TYC 5129-194-1                                                                                           |Star                                  |19 08 31.1857242288 -01 33 25.729966332|033.4927400799920 -04.5103440313674|   2.140 -4.813   |10.70    |~              |    ~     ~    |    1|  755.002   pc  | -38.4769    +38.4769    |paral   |2020yCat.1350....0G
3648|TYC 5129-204-1                                                                                           |Star                                  |19 09 18.8109486024 -00 30 53.507527920|034.5137802561392 -04.2116346491143|  -3.428 -8.732   |10.52    |~              |    ~     ~    |    1|  578.838   pc  |  -5.3273     +5.3273    |paral   |2020yCat.1350....0G
3649|TYC 5129-216-1                                                                                           |High Proper Motion Star               |19 08 45.5226241968 -00 59 01.951904580|034.0318285148195 -04.3022417665809| 17.084 -58.397   |10.9     |~              |    ~     ~    |    1|  208.169   pc  |  -1.8764     +1.8764    |paral   |2020yCat.1350....0G
3650|TYC 5129-239-1                                                                                           |Star                                  |19 09 09.5672540760 -00 55 06.989521512|034.1358973054441 -04.3616198982928|   17.667 2.538   |10.53    |~              |    ~     ~    |    1|  248.874   pc  |  -0.9786     +0.9786    |paral   |2020yCat.1350....0G
3651|HD 178433                                                                                                |Star                                  |19 08 37.9962302640 -00 00 18.146551716|034.8905509832619 -03.8274720342613|   -6.777 4.223   |10.53    |F6/8           |    ~     ~    |    1|  186.195   pc  |  -0.6379     +0.6379    |paral   |2020yCat.1350....0G
3652|TYC 5129-278-1                                                                                           |Star                                  |19 12 42.7649558592 -00 00 12.672779796|035.3595607809258 -04.7337812960458|   2.279 -8.359   |10.8     |~              |    ~     ~    |    1|  279.869   pc  |  -1.5822     +1.5822    |paral   |2020yCat.1350....0G
3653|TYC 5129-284-1                                                                                           |Star                                  |19 09 09.8445899040 -01 29 03.564695040|033.6313527483374 -04.6205238650007|  1.748 -14.900   |10.36    |~              |    ~     ~    |    1|  804.376   pc  | -10.7405    +10.7405    |paral   |2020yCat.1350....0G
3654|IRAS 19054-0130                                                                                          |Star                                  |19 08 00.3296878200 -01 25 47.000924328|033.5478029408240 -04.3378871384927|   0.846 -2.335   |10.15    |~              |    ~     ~    |    1|  865.501   pc  | -27.1171    +27.1171    |paral   |2020yCat.1350....0G
3655|TYC 5129-1631-1                                                                                          |Star                                  |19 14 11.3228975304 -01 14 16.586382732|034.4262630107363 -05.6259698651859|  -1.414 -5.841   |10.67    |~              |    ~     ~    |    1| 1220.852   pc  | -27.1267    +27.1267    |paral   |2020yCat.1350....0G
3656|TYC 5129-2278-1                                                                                          |Star                                  |19 10 34.8682446264 -00 39 06.117376356|034.5367861401249 -04.5560421261238|  33.558 13.222   |10.8     |~              |    ~     ~    |    1|  266.553   pc  |  -1.0658     +1.0658    |paral   |2020yCat.1350....0G
3657|TYC 5129-2469-1                                                                                          |Star                                  |19 11 01.8571145592 -01 40 09.307673112|033.6793854864564 -05.1200931356649|   0.090 -0.825   |10.85    |~              |    ~     ~    |    1|  867.002   pc  | -70.8094    +70.8094    |paral   |2020yCat.1350....0G
3658|TYC 5129-2806-1                                                                                          |Star                                  |19 10 50.8561917192 -00 26 03.652029492|034.7612726921878 -04.5160420950114| 25.231 -28.904   |10.6     |~              |    ~     ~    |    1|  191.208   pc  |  -0.6435     +0.6435    |paral   |2020yCat.1350....0G
3659|TYC 5129-2973-1                                                                                          |Star                                  |19 13 33.1106174016 -01 31 26.892161220|034.0973917909583 -05.6147966813372|  -2.576 -6.135   |10.87    |~              |    ~     ~    |    1|  515.597   pc  | -19.3266    +19.3266    |paral   |2020yCat.1350....0G
3660|TYC 5129-3149-1                                                                                          |Star                                  |19 08 46.0029261960 -01 47 31.840235736|033.3109973210541 -04.6722977269643|    9.638 2.235   |10.80    |~              |    ~     ~    |    1|  480.538   pc  |  -6.0500     +6.0500    |paral   |2020yCat.1350....0G
3661|TYC 5129-3231-1                                                                                          |Star                                  |19 07 39.2333695008 -01 46 34.822996716|033.1981754952759 -04.4174922319219| -22.081 -8.836   |10.53    |~              |    ~     ~    |    1|  505.894   pc  |  -4.5555     +4.5555    |paral   |2020yCat.1350....0G
3662|TYC 5129-3273-1                                                                                          |Star                                  |19 10 28.5985263144 -01 29 01.910416884|033.7817199352399 -04.9123296853074|  4.097 -19.770   |10.38    |~              |    ~     ~    |    1|  239.057   pc  |  -0.8287     +0.8287    |paral   |2020yCat.1350....0G
3663|TYC 5129-3476-1                                                                                          |Star                                  |19 13 12.5114416608 -01 42 50.320798380|033.8883044132708 -05.6249116247171|-24.035 -10.051   |10.90    |~              |    ~     ~    |    1|  178.622   pc  |  -0.4914     +0.4914    |paral   |2020yCat.1350....0G
3664|TYC 5129-3509-1                                                                                          |Star                                  |19 14 59.2821328152 -01 32 36.463803864|034.2445220966364 -05.9430782211866|-14.603 -16.623   |10.22    |~              |    ~     ~    |    1|  558.191   pc  |  -4.5802     +4.5802    |paral   |2020yCat.1350....0G
3665|TYC 5133-205-1                                                                                           |Star                                  |19 11 14.5216222920 -02 08 14.778758868|033.2848403423522 -05.3801272766127|  6.623 -18.302   |10.88    |~              |    ~     ~    |    1|  266.880   pc  |  -1.6809     +1.6809    |paral   |2020yCat.1350....0G
