C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
3795|TYC 3081-273-1                                                                                                                                                                                                                                       |Star                           |17 15 00.1714374216 +42 42 35.461646388|067.7696662107834 +35.1985140107569|  -0.613 -1.250    |10.07    |~               |    ~     ~    
3796|TYC 3081-298-1                                                                                                                                                                                                                                       |Star                           |17 19 45.3499708584 +42 31 38.730490932|067.6723015717550 +34.3088834252024|   2.753 -6.952    |10.04    |~               |    ~     ~    
3797|TYC 3081-322-1                                                                                                                                                                                                                                       |Star                           |17 19 49.5785173728 +43 01 37.915025304|068.2750038191180 +34.3561897491454|   8.040 -5.752    |10.80    |~               |    ~     ~    
3798|2MASS J17184392+4250068                                                                                                                                                                                                                              |Red Giant Branch star          |17 18 43.9417792944 +42 50 06.897772392|068.0154027260833 +34.5325615353710|  -0.185 -6.243    |10.69    |~               |    ~     ~    
3799|TYC 3081-513-1                                                                                                                                                                                                                                       |Star                           |17 19 54.8704262616 +42 42 19.710905472|067.8905510011039 +34.3016950980909|  10.459 13.503    |10.65    |~               |    ~     ~    
3800|TYC 3081-628-1                                                                                                                                                                                                                                       |Star                           |17 15 12.1943189184 +41 51 41.168313576|066.7441412134506 +35.0652384512667| -4.705 -17.379    |10.59    |~               |    ~     ~    
3801|TYC 3081-1111-1                                                                                                                                                                                                                                      |Star                           |17 17 14.6071764888 +41 52 03.610795656|066.8080431975451 +34.6889728765662|  -2.423 16.936    |9.97     |~               |    ~     ~    
3802|2MASS J17183425+4221121                                                                                                                                                                                                                              |Red Giant Branch star          |17 18 34.2586038504 +42 21 12.143970792|067.4304419358126 +34.5044886770002|   0.230 -8.023    |10.49    |~               |    ~     ~    
3803|TYC 3081-1445-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 16 14.8817976216 +41 53 41.850478104|066.8132942310442 +34.8762023541522| -1.294 104.087    |10.13    |~               |    ~     ~    
3804|TYC 3085-119-1                                                                                                                                                                                                                                       |Red Giant Branch star          |17 16 36.9803928600 +44 10 43.443746256|069.5927437296430 +35.0563454255507|  1.187 -12.348    |10.62    |~               |    ~     ~    
3805|TYC 3085-161-1                                                                                                                                                                                                                                       |Star                           |17 17 03.1917722640 +44 15 09.168765444|069.6915515804612 +34.9854392326743|  -14.251 4.197    |10.58    |~               |    ~     ~    
3806|TYC 3085-293-1                                                                                                                                                                                                                                       |Star                           |17 18 05.8162146024 +44 07 42.516418332|069.5632423980490 +34.7871438518380|   3.962 -4.667    |10.74    |~               |    ~     ~    
3807|2MASS J17171014+4354291                                                                                                                                                                                                                              |Red Giant Branch star          |17 17 10.1582366544 +43 54 29.102421312|069.2757343173828 +34.9311156451857|   11.422 5.581    |10.60    |~               |    ~     ~    
3808|2MASS J17163704+4346117                                                                                                                                                                                                                              |Red Giant Branch star          |17 16 37.0496545728 +43 46 11.678371932|069.0958362720134 +35.0163375922004|   -5.307 7.864    |10.76    |~               |    ~     ~    
3809|TYC 3094-16-1                                                                                                                                                                                                                                        |Star                           |17 20 07.8882923616 +42 25 22.009640952|067.5570759684153 +34.2271487234173|  -2.656 -6.486    |10.99    |~               |    ~     ~    
3810|TYC 3094-42-1                                                                                                                                                                                                                                        |Star                           |17 20 59.5678016448 +41 57 20.250334656|067.0224434713788 +34.0085581784687|  -2.199 -2.492    |10.81    |~               |    ~     ~    
3811|TYC 3094-209-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 21 48.1283858328 +42 54 58.232936196|068.1945745230793 +33.9840005003603|-117.626 -52.736   |10.43    |~               |    ~     ~    
3812|TYC 3094-305-1                                                                                                                                                                                                                                       |Star                           |17 26 06.6800536632 +42 37 53.614700328|067.9807329041354 +33.1626701671023|  -2.502 -0.753    |10.68    |~               |    ~     ~    
3813|TYC 3094-639-1                                                                                                                                                                                                                                       |Star                           |17 21 43.4287656408 +42 33 08.665672356|067.7572691035070 +33.9523907756495| -3.942 -31.159    |10.04    |~               |    ~     ~    
3814|TYC 3094-739-1                                                                                                                                                                                                                                       |Star                           |17 22 33.4881835992 +42 44 40.766181756|068.0106302839891 +33.8248693464486|   3.413 -3.786    |10.13    |~               |    ~     ~    
3815|TYC 3094-970-1                                                                                                                                                                                                                                       |Star                           |17 24 33.7654473888 +41 52 06.446646336|067.0290191407629 +33.3387225487565| -21.762 19.336    |10.07    |~               |    ~     ~    
3816|TYC 3094-1055-1                                                                                                                                                                                                                                      |Star                           |17 22 11.7368563104 +42 59 41.262222984|068.2993993614638 +33.9223272575505|  -6.481 -1.713    |10.86    |~               |    ~     ~    
3817|TYC 3094-1119-1                                                                                                                                                                                                                                      |Star                           |17 25 22.6423360992 +43 01 33.242767248|068.4261195964235 +33.3494831013048| -5.124 -16.004    |10.75    |~               |    ~     ~    
3818|TYC 3094-1121-1                                                                                                                                                                                                                                      |Star                           |17 22 36.8387 +42 32 19.116            |067.7663787 +33.7880328            |  -9.913 12.312    |10.43    |~               |    ~     ~    
3819|TYC 3094-1229-1                                                                                                                                                                                                                                      |Star                           |17 21 37.0416588528 +42 25 14.898750924|067.5968893460686 +33.9549107152178| -6.677 -17.649    |10.76    |~               |    ~     ~    
3820|TYC 3094-1377-1                                                                                                                                                                                                                                      |Star                           |17 24 35.4692512176 +42 11 42.021266712|067.4169409245633 +33.3797220330393|    7.587 8.536    |9.58     |~               |    ~     ~    
3821|TYC 3094-1571-1                                                                                                                                                                                                                                      |Star                           |17 24 58.5663688248 +42 09 04.448773800|067.3770609844668 +33.3029564662769|-15.325 -10.083    |9.90     |~               |    ~     ~    
3822|TYC 3094-1605-1                                                                                                                                                                                                                                      |Red Giant Branch star          |17 21 56.6755406352 +43 01 40.723330908|068.3322492179639 +33.9719685406048| -1.973 -14.021    |10.40    |~               |    ~     ~    
3823|TYC 3094-1747-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 22 34.6192486440 +42 12 42.009701796|067.3754169599409 +33.7514932033351|   7.733 20.342    |10.55    |~               |    ~     ~    
3824|TYC 3094-1774-1                                                                                                                                                                                                                                      |Star                           |17 22 21.3843632112 +42 48 54.866835324|068.0892442651150 +33.8705787830115| -18.032 28.313    |10.91    |~               |    ~     ~    
3825|TYC 3098-270-1                                                                                                                                                                                                                                       |Star                           |17 20 11.7774739920 +43 13 15.339736416|068.5175563694221 +34.3117817978909|  -2.891 23.749    |10.46    |~               |    ~     ~    
3826|TYC 3098-313-1                                                                                                                                                                                                                                       |Star                           |17 20 05.4933530568 +43 31 30.013033872|068.8807650680815 +34.3654443469688|  1.054 -12.271    |10.66    |~               |    ~     ~    
3827|TYC 3098-855-1                                                                                                                                                                                                                                       |Star                           |17 23 34.9163100168 +43 07 30.787017564|068.4933285552790 +33.6874520002540|   -0.301 2.405    |10.69    |~               |    ~     ~    
3828|TYC 3098-958-1                                                                                                                                                                                                                                       |Star                           |17 22 36.9803717736 +44 36 10.715475420|070.2363244970694 +34.0326988785198| -24.337 13.232    |10.75    |~               |    ~     ~    
3829|TYC 3098-971-1                                                                                                                                                                                                                                       |Star                           |17 24 53.4833106552 +43 40 38.078685372|069.1866386665527 +33.5205380281640|  -2.657 -5.303    |10.82    |~               |    ~     ~    
3830|TYC 3098-1157-1                                                                                                                                                                                                                                      |Star                           |17 25 37.3291422648 +43 36 57.322853604|069.1335403672714 +33.3817086034977|   -4.252 5.399    |10.40    |~               |    ~     ~    
3831|TYC 3098-1297-1                                                                                                                                                                                                                                      |Star                           |17 25 05.7821590248 +43 08 25.982882664|068.5541564697007 +33.4154135539727|   6.308 -0.801    |10.46    |~               |    ~     ~    
3832|TYC 3098-1446-1                                                                                                                                                                                                                                      |Star                           |17 24 51.6818244192 +43 56 48.404592276|069.5067986676722 +33.5588424302573|   3.428 -1.142    |10.81    |~               |    ~     ~    
3833|TYC 3098-1610-1                                                                                                                                                                                                                                      |Star                           |17 24 48.7719702960 +43 58 41.690449848|069.5430291413810 +33.5712930685117|   -4.562 0.336    |10.21    |~               |    ~     ~    
3834|TYC 3098-1839-1                                                                                                                                                                                                                                      |Star                           |17 23 42.1114086240 +43 48 49.683936276|069.3181353163340 +33.7503543667582|   4.102 -2.011    |10.99    |~               |    ~     ~    
3835|TYC 3081-1072-1                                                                                                                                                                                                                                      |Star                           |17 19 18.1022164752 +41 56 01.550243616|066.9464586589285 +34.3174375186796|   3.551 -6.899    |9.48     |~               |    ~     ~    
3836|TYC 3081-510-1                                                                                                                                                                                                                                       |Star                           |17 16 32.7022900032 +43 02 28.824860580|068.2097388917241 +34.9535541457722| -12.091 15.123    |10.88    |~               |    ~     ~    
3837|M 92                               NGC 6341                           M 92                                                                                                                                                                           |Globular Cluster               |17 17 07.39 +43 08 09.4                |068.33840 +34.85891                |  -4.935 -0.625    |6.52     |~               |11.2  11.2     
3838|HD 158871                                                                                                                                                                                                                                            |High Proper Motion Star        |17 29 34.3576330152 +44 39 57.562401168|070.4835491412084 +32.8108899005150|-69.017 -43.493    |10.75    |G               |    ~     ~    
3839|HD 158403                                                                                                                                                                                                                                            |Star                           |17 27 00.6664062936 +43 57 43.196313240|069.5820780558635 +33.1767861298626|  -9.902 -0.864    |9.10     |K2              |    ~     ~    
3840|HD 158316                                                                                                                                                                                                                                            |Star                           |17 26 32.4684195432 +42 56 33.752188428|068.3617747271215 +33.1273940198162|   -2.722 3.765    |9.54     |K0              |    ~     ~    
3841|BD+42 2846                                                                                                                                                                                                                                           |Star                           |17 26 45.2205433752 +42 32 32.410401684|067.8950610022416 +33.0331001430948|-15.131 -41.809    |9.16     |K0              |    ~     ~    
3842|HD 158415                                                                                                                                                                                                                                            |High Proper Motion Star        |17 27 13.9405051152 +42 13 04.986284268|067.5277340233172 +32.8989490873873|  76.248 -6.166    |8.30     |G3V             |    ~     ~    
3843|BD+42 2850                                                                                                                                                                                                                                           |Star                           |17 27 17.6246259096 +42 43 57.121223124|068.1362855167641 +32.9616175400946|    1.189 6.105    |9.16     |K0              |    ~     ~    
3844|HD 158589                                                                                                                                                                                                                                            |Star                           |17 28 08.3256183888 +44 21 57.651837372|070.0908749314168 +33.0269123272270|  -8.530 29.277    |10.04    |K0              |    ~     ~    
3845|HD 158609                                                                                                                                                                                                                                            |Star                           |17 28 10.1981866080 +44 39 28.088139132|070.4371196066667 +33.0573788021415| -12.975 19.815    |10.53    |F8              |    ~     ~    
3846|HD 158635                                                                                                                                                                                                                                            |Star                           |17 28 21.0512104848 +44 01 00.511161924|069.6837045938856 +32.9447963221186|    3.459 7.720    |9.91     |A5              |    ~     ~    
3847|HD 158733                                                                                                                                                                                                                                            |Star                           |17 28 49.4281939776 +44 13 51.740613876|069.9498048139064 +32.8882347624513|   5.498 -6.870    |10.00    |F0              |    ~     ~    
3848|HD 158636                                                                                                                                                                                                                                            |Star                           |17 28 22.0031294928 +43 56 25.950499368|069.5940410746124 +32.9320633697874|   3.798 17.024    |9.74     |F8              |    ~     ~    
3849|HD 158554                                                                                                                                                                                                                                            |Star                           |17 27 55.0844368128 +43 13 37.252731396|068.7386705741532 +32.9172216193329| -11.555 -2.270    |10.15    |G5              |    ~     ~    
3850|HD 158571                                                                                                                                                                                                                                            |High Proper Motion Star        |17 27 54.2717959536 +43 48 57.526165080|069.4339026408647 +32.9984038381460| -24.374 92.335    |9.78     |G0              |    ~     ~    
3851|HD 158822                                                                                                                                                                                                                                            |Star                           |17 29 14.7675147552 +43 28 11.096901552|069.0642338019345 +32.7114362237545|   3.533 -9.895    |8.43     |G5              |    ~     ~    
3852|HD 158953                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 29 57.0727941744 +43 41 39.911001468|069.3494425410889 +32.6158773445182|  0.479 -25.523    |8.89     |G5              |    ~     ~    
3853|BD+42 2853                                                                                                                                                                                                                                           |Star                           |17 27 51.6181616112 +42 44 20.218395912|068.1613893769153 +32.8595396400251|   4.610 13.264    |10.41    |K0              |    ~     ~    
3854|HD 158590                                                                                                                                                                                                                                            |Star                           |17 28 09.6963565248 +42 51 58.818323448|068.3208124582098 +32.8229140989419|   7.233 -0.550    |8.42     |G0              |    ~     ~    
3855|BD+42 2863                                                                                                                                                                                                                                           |Star                           |17 29 44.3088492792 +42 51 32.733589572|068.3616459730726 +32.5359175111296|  18.320 -5.579    |10.38    |F8V             |    ~     ~    
3856|BD+42 2864                                                                                                                                                                                                                                           |Star                           |17 29 42.8399231544 +42 43 22.348640568|068.2010476045955 +32.5203916493805| 27.426 -38.426    |9.23     |F2              |    ~     ~    
3857|TYC 3094-417-1                                                                                                                                                                                                                                       |Star                           |17 28 28.1757902088 +42 38 29.141874816|068.0657012992844 +32.7347349364249| -3.114 -12.580    |10.40    |~               |    ~     ~    
3858|TYC 3094-513-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 26 17.8511267208 +42 26 34.821028608|067.7635296153409 +33.1022914490361| 15.724 -48.854    |10.85    |F9V             |    ~     ~    
3859|TYC 3094-553-1                                                                                                                                                                                                                                       |Star                           |17 26 53.1937966968 +42 19 59.617147476|067.6524429838810 +32.9789635405306| -1.813 -20.731    |10.46    |~               |    ~     ~    
3860|TYC 3094-555-1                                                                                                                                                                                                                                       |Star                           |17 28 29.5719016488 +42 29 06.558851292|067.8826794901600 +32.7077099436615| -11.121 26.234    |10.21    |~               |    ~     ~    
3861|TYC 3094-563-1                                                                                                                                                                                                                                       |Star                           |17 29 43.0875700824 +42 36 53.204510556|068.0744054519163 +32.5036542164528|   -2.430 8.369    |9.90     |~               |    ~     ~    
3862|TYC 3094-649-1                                                                                                                                                                                                                                       |Star                           |17 26 24.3970578624 +42 23 14.906061636|067.7013289611504 +33.0744805806316|  1.366 -21.233    |10.90    |~               |    ~     ~    
3863|TYC 3094-743-1                                                                                                                                                                                                                                       |Star                           |17 26 45.2354796336 +42 43 38.682137568|068.1136718712548 +33.0590539413669|  6.614 -20.930    |10.71    |~               |    ~     ~    
3864|TYC 3094-965-1                                                                                                                                                                                                                                       |Star                           |17 27 28.0454426544 +42 34 03.039599856|067.9470582943815 +32.9065783967923| -15.473 16.430    |10.71    |F7V             |    ~     ~    
3865|TYC 3094-1153-1                                                                                                                                                                                                                                      |Star                           |17 28 27.5930678352 +42 29 16.318634640|067.8848070317170 +32.7141220318781| -10.935 20.918    |10.81    |~               |    ~     ~    
3866|TYC 3094-1157-1                                                                                                                                                                                                                                      |Star                           |17 29 18.4697112360 +42 07 26.385690000|067.4855662078791 +32.5046494037200|  -7.920 37.515    |10.83    |~               |    ~     ~    
3867|TYC 3094-1341-1                                                                                                                                                                                                                                      |Star                           |17 28 33.9689466936 +42 24 19.302234696|067.7912614776712 +32.6825896556491|  -1.134 -1.989    |10.54    |~               |    ~     ~    
3868|TYC 3094-1349-1                                                                                                                                                                                                                                      |Star                           |17 29 11.0322079320 +42 24 52.213883400|067.8221036034261 +32.5711902288450|    2.249 0.305    |9.86     |~               |    ~     ~    
3869|TYC 3094-1353-1                                                                                                                                                                                                                                      |Star                           |17 27 16.1173903248 +42 31 24.142097352|067.8887756968990 +32.9365022182367|  -7.790 -6.324    |10.88    |~               |    ~     ~    
3870|TYC 3094-1414-1                                                                                                                                                                                                                                      |Star                           |17 28 56.6799224088 +41 57 43.649919324|067.2835996628637 +32.5464851113603|  0.421 -10.100    |10.90    |~               |    ~     ~    
3871|TYC 3094-1593-1                                                                                                                                                                                                                                      |Star                           |17 26 47.0791832760 +42 03 39.698126280|067.3281783551936 +32.9580174738640|  10.928 -5.531    |10.61    |~               |    ~     ~    
3872|TYC 3094-1717-1                                                                                                                                                                                                                                      |Star                           |17 27 53.2042633584 +42 02 13.133010228|067.3360351119316 +32.7521207448414|   2.572 -6.388    |10.89    |~               |    ~     ~    
3873|TYC 3094-1728-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 27 03.0937819656 +42 14 07.845386100|067.5424898104471 +32.9346062738473|  76.954 -6.036    |10.70    |K5Ve            |    ~     ~    
3874|TYC 3094-1781-1                                                                                                                                                                                                                                      |Star                           |17 29 03.5032646208 +41 58 57.488583648|067.3114920012449 +32.5287495729005| -8.873 -30.433    |10.41    |G8V             |    ~     ~    
3875|TYC 3098-902-1                                                                                                                                                                                                                                       |Star                           |17 28 39.1831829952 +44 09 30.622745412|069.8594508662497 +32.9092672458139|  6.186 -13.576    |10.43    |~               |    ~     ~    
3876|TYC 3098-908-1                                                                                                                                                                                                                                       |Star                           |17 29 58.9294826208 +44 32 42.230680476|070.3518950993047 +32.7232505437628| -0.933 -14.532    |10.57    |~               |    ~     ~    
3877|TYC 3098-983-1                                                                                                                                                                                                                                       |Star                           |17 29 19.9679932752 +43 28 57.449948484|069.0819666554793 +32.6976384202476|   -3.174 8.152    |10.98    |~               |    ~     ~    
3878|TYC 3098-1735-1                                                                                                                                                                                                                                      |Star                           |17 28 05.0524966080 +44 11 00.593260692|069.8734644710750 +33.0136268430807|  2.588 -12.711    |10.58    |~               |    ~     ~    
3879|BD+38 2938                                                                                                                                                                                                                                           |Double or Multiple Star        |17 27 26.5887479544 +38 47 09.989719188|063.5178526227529 +32.2919256504077| 15.982 -49.917    |10.17    |~               |    ~     ~    
3880|GSC 00404-00254                                                                                                                                                                                                                                      |Star                           |17 17 45.8436839328 +02 07 05.959825680|023.7510675158885 +21.7361552931013|   31.358 0.240    |10.79    |~               |    ~     ~    
3881|HD 157105                                                                                                                                                                                                                                            |Star                           |17 21 14.1872363736 +01 33 23.648323752|023.6653231424921 +20.7056255250264|   -7.051 6.040    |8.05     |F3/5V           |    ~     ~    
3882|TYC 2082-1158-1                                                                                                                                                                                                                                      |Star                           |17 19 30.5401967280 +27 17 49.564718412|049.9205184686918 +31.1922715650512|  10.353 -1.539    |10.47    |~               |    ~     ~    
3883|HD 158388A                                                                                                                                                                                                                                           |Star                           |17 27 46.1761141536 +30 23 43.834252488|053.9692720535660 +30.3167751087865|  15.141 13.044    |8.79     |~               |    ~     ~    
3884|HD 158868A                                                                                                                                                                                                                                           |Star                           |17 28 58.167 +50 52 13.04              |077.853907 +33.468953              |     -11.7 11.1    |7.761    |~               |    ~     ~    
3885|HD 158868B                                                                                                                                                                                                                                           |Star                           |17 28 57.8444723232 +50 52 12.506290788|077.8536751805972 +33.4697916286238| -14.634 10.066    |8.022    |~               |    ~     ~    
3886|SN 2009jb                                                                                                                                                                                                                                            |SuperNova                      |17 23 41.71 +30 29 50.6                |053.81204 +31.19042                |            ~ ~    |1.07     |SNIa            |    ~     ~    
3887|[NSC64] 2-1                                                                                                                                                                                                                                          |Star                           |17 17 45.1442180616 +02 06 58.763264328|023.7476814849987 +21.7377633576635|   30.622 3.377    |10.79    |M1e             |    ~     ~    
3888|HD 157906A                                                                                                                                                                                                                                           |Star                           |17 23 44.5951854132 +47 16 14.543561661|073.4646032099898 +34.0852215343465| -17.312 33.132    |8.10     |F8              |    ~     ~    
3889|IRAS 17196+3925                                                                                                                                                                                                                                      |Long-Period Variable Candidate |17 21 18.0184114968 +39 22 30.295130556|063.9620620330414 +33.5682282911109|  -8.228 -2.917    |10.08    |~               |    ~     ~    
3890|TYC 2592-459-2                                                                                                                                                                                                                                       |Star                           |17 22 11.8543829112 +30 09 42.724528776|053.3338344648913 +31.4141503730555|   -6.734 0.647    |10.98    |~               |    ~     ~    
3891|TYC 2592-459-1                                                                                                                                                                                                                                       |Star                           |17 22 11.8468897248 +30 09 36.760956444|053.3319534480081 +31.4137406465529|   -6.943 0.633    |10.98    |~               |    ~     ~    
3892|2MASS J17165933+5931567                                                                                                                                                                                                                              |Red Giant Branch star          |17 16 59.3285257296 +59 31 56.603440812|088.3720833603207 +35.0137935373754|  -10.085 3.273    |10.57    |K2V             |    ~     ~    
3893|2MASS J17195996+5836121                                                                                                                                                                                                                              |Red Giant Branch star          |17 19 59.9594857728 +58 36 12.213711756|087.2053167027314 +34.7038563877791|   -0.103 5.983    |10.97    |K4V             |    ~     ~    
3894|TYC 4198-1777-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 22 47.7500318064 +60 08 00.122564868|089.0241942420788 +34.2357245938524| 24.944 -43.524    |10.49    |G4              |    ~     ~    
3895|TYC 3900-1043-1                                                                                                                                                                                                                                      |Star                           |17 27 30.4703664768 +59 44 49.527593232|088.5125279408111 +33.6724882683521|  -5.701 -1.659    |10.81    |M0              |    ~     ~    
3896|TYC 400-503-1                                                                                                                                                                                                                                        |Star                           |17 19 17.3965709664 +01 50 39.864595668|023.6876309840767 +21.2704391183946|  -1.298 -4.946    |10.87    |~               |    ~     ~    
3897|TYC 400-510-1                                                                                                                                                                                                                                        |Star                           |17 19 36.7291615680 +00 47 30.487713144|022.7397899238687 +20.6948797088499|    4.564 1.043    |10.90    |~               |    ~     ~    
3898|TYC 401-60-1                                                                                                                                                                                                                                         |Star                           |17 24 29.8665775440 +01 40 09.441067368|024.1850328525926 +20.0426122548022|  4.575 -15.076    |10.96    |~               |    ~     ~    
3899|TYC 401-259-1                                                                                                                                                                                                                                        |Spectroscopic Binary           |17 29 15.3031940064 +00 26 24.889272252|023.6408111872011 +18.4115211735271|  20.205 -3.451    |10.58    |~               |    ~     ~    
3900|TYC 401-462-1                                                                                                                                                                                                                                        |Star                           |17 29 24.8289134688 +01 23 28.999833864|024.5435083321308 +18.8292108318256|    6.278 2.424    |10.31    |~               |    ~     ~    
3901|TYC 401-569-1                                                                                                                                                                                                                                        |Star                           |17 28 52.9348262592 +00 15 41.662027404|023.4284558967694 +18.4078517796856|  -0.853 -8.754    |10.60    |~               |    ~     ~    
