C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
72   |BD-00 1822                                                                                                                                  |Star                                  |07 47 18.5446359936 -00 21 19.060082028|219.7241079340290 +12.2390221017908|  -21.461 9.505   |9.82     |~              |    ~     ~    
73   |TYC 4832-2342-1                                                                                                                             |Star                                  |07 47 34.8051022152 -00 44 31.280598888|220.1060951171220 +12.1176641877415|  -4.003 -0.315   |10.6     |~              |    ~     ~    
74   |BD-00 1823                                                                                                                                  |Red Giant Branch star                 |07 47 38.5898255424 -00 44 30.715778328|220.1135208641408 +12.1316626407412|   -4.154 4.184   |9.77     |~              |    ~     ~    
75   |BD-02 2304                                                                                                                                  |Star                                  |07 49 34.4561076408 -02 26 03.783457500|221.8714347668979 +11.7579875747603|    1.634 0.850   |9.75     |~              |    ~     ~    
76   |TYC 4832-169-1                                                                                                                              |Star                                  |07 50 14.7076869024 -01 42 39.035012976|221.3014135398271 +12.2486344313300|   0.304 -3.132   |9.68     |~              |    ~     ~    
77   |BD+00 2106                                                                                                                                  |Star                                  |07 50 46.7576107272 -00 02 44.572609644|219.8600668326112 +13.1505521266452|  -4.269 -0.032   |9.87     |G8III          |    ~     ~    
78   |HD 63906                                                                                                                                    |Star                                  |07 51 17.8187664048 -00 06 17.277878304|219.9759748211683 +13.2371901313019|  -4.084 -2.153   |9.19     |A6IV           |    ~     ~    
79   |TYC 4832-1768-1                                                                                                                             |Star                                  |07 46 18.5390546400 -01 05 47.284610136|220.2735027694902 +11.6707282342694|  -8.378 -6.527   |9.94     |~              |    ~     ~    
80   |AKARI-IRC-V1 J0746491-001113                                                                                                                |Long-Period Variable Candidate        |07 46 49.1212225416 -00 11 13.855680348|219.5134035953867 +12.2092622598868|   -1.271 2.743   |10.0     |~              |    ~     ~    
81   |BD-00 1825                                                                                                                                  |Star                                  |07 47 42.0 -00 56 12                   |220.2962 +12.0527                  |            ~ ~   |9.3      |~              |    ~     ~    
82   |BD-01 1866                                                                                                                                  |Star                                  |07 51 58.3047839328 -02 02 16.387173636|221.8056246239698 +12.4733663052857|   -5.615 1.875   |10.61    |~              |    ~     ~    
83   |TYC 4832-122-1                                                                                                                              |Star                                  |07 49 50.5640149320 -00 28 30.755388432|220.1366522690178 +12.7423524654631|-11.401 -15.767   |10.5     |~              |    ~     ~    
84   |TYC 4832-183-1                                                                                                                              |Star                                  |07 47 05.0810245440 -01 33 50.004022464|220.7877612753507 +11.6218896184872| -10.304 -2.133   |10.38    |~              |    ~     ~    
85   |TYC 4832-197-1                                                                                                                              |Star                                  |07 51 05.4194857008 -01 21 44.692840764|221.0893663854830 +12.5995402187601| -16.304 -6.099   |10.51    |~              |    ~     ~    
86   |TYC 4832-273-1                                                                                                                              |Star                                  |07 47 59.0956734912 -01 24 27.018479088|220.7551896340789 +11.8940251774972|-11.486 -14.921   |10.63    |~              |    ~     ~    
87   |TYC 4832-321-1                                                                                                                              |Star                                  |07 48 23.9780329344 -01 44 05.685307440|221.1001241293042 +11.8309046526681|   -4.365 0.687   |10.71    |~              |    ~     ~    
88   |TYC 4832-338-1                                                                                                                              |Star                                  |07 45 32.3291399856 -00 24 04.482395604|219.5540283840494 +11.8263520741927|   -2.963 0.540   |10.1     |~              |    ~     ~    
89   |TYC 4832-345-1                                                                                                                              |Star                                  |07 51 43.2759107832 -01 22 24.469073292|221.1757698866827 +12.7332625225123|  -10.866 1.717   |10.92    |~              |    ~     ~    
90   |TYC 4832-346-1                                                                                                                              |Star                                  |07 45 48.5934342912 -00 55 25.935761856|220.0581041018056 +11.6415642669284|  -5.563 -4.386   |10.4     |~              |    ~     ~    
91   |TYC 4832-460-1                                                                                                                              |Star                                  |07 47 54.0031420608 -00 24 10.935785880|219.8380724346862 +12.3472235281741|  -7.641 -4.610   |10.03    |~              |    ~     ~    
92   |TYC 4832-465-1                                                                                                                              |High Proper Motion Star               |07 45 50.1535574688 -01 43 07.474725804|220.7770730749859 +11.2736696612223|-12.088 -64.806   |10.08    |~              |    ~     ~    
93   |TYC 4832-486-1                                                                                                                              |Star                                  |07 47 24.1164867408 -00 06 56.580903864|219.5184679020495 +12.3715713689385|   0.607 -3.862   |9.92     |~              |    ~     ~    
94   |TYC 4832-488-1                                                                                                                              |Star                                  |07 48 35.9393095032 -00 32 25.208017440|220.0460958275743 +12.4372225189576|   1.661 -3.940   |10.3     |~              |    ~     ~    
95   |TYC 4832-543-1                                                                                                                              |Star                                  |07 45 38.1395120424 -01 48 35.090344296|220.8348694690976 +11.1866550520194|  -4.784 -3.675   |10.99    |~              |    ~     ~    
96   |TYC 4832-557-1                                                                                                                              |Star                                  |07 48 04.8318146328 -01 20 58.692641244|220.7145329674188 +11.9423695475950|  -6.910 -2.168   |10.61    |~              |    ~     ~    
97   |TYC 4832-783-1                                                                                                                              |Star                                  |07 46 35.0158334376 -01 43 11.515462932|220.8679048381212 +11.4379275597826|  9.473 -11.345   |10.39    |~              |    ~     ~    
98   |TYC 4832-858-1                                                                                                                              |Star                                  |07 47 23.5051233816 -01 00 49.356636804|220.3287574129242 +11.9485284075782|   -2.869 2.630   |10.26    |~              |    ~     ~    
