C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
8922 |TYC 5424-2378-1                                                                                                                             |Star                                  |07 57 35.3205224496 -14 35 34.683690336|233.5934618632844 +07.4854102612421|   -3.709 1.029   |10.54    |~              |    ~     ~    
8923 |TYC 5424-2531-1                                                                                                                             |Star                                  |07 57 10.3037583072 -13 23 44.736532944|232.5009810476523 +08.0066701829464|  -6.857 -7.855   |9.58     |F5V            |    ~     ~    
8924 |TYC 5981-18-1                                                                                                                               |Star                                  |07 45 00.0388335120 -16 27 39.757184676|233.6821046082380 +03.9252520962805|    4.230 6.644   |10.80    |~              |    ~     ~    
8925 |TYC 5981-20-1                                                                                                                               |Star                                  |07 46 08.6443876440 -15 14 51.583539552|232.7631594842787 +04.7668644354545|  -4.546 -6.776   |10.63    |~              |    ~     ~    
8926 |TYC 5981-106-1                                                                                                                              |Star                                  |07 49 53.4044500896 -16 51 18.111925152|234.6115171178637 +04.7424002892391|  -20.520 5.700   |10.99    |~              |    ~     ~    
8927 |TYC 5981-130-1                                                                                                                              |Star                                  |07 51 51.5299178760 -16 45 58.093388460|234.7730182195651 +05.1940676047417|  -2.577 -0.104   |10.50    |~              |    ~     ~    
8928 |TYC 5981-214-1                                                                                                                              |Star                                  |07 49 58.6315176240 -16 49 15.406157100|234.5924882324450 +04.7775673400240|   -3.179 1.393   |10.95    |~              |    ~     ~    
8929 |TYC 5981-293-1                                                                                                                              |Star                                  |07 49 50.0324526264 -15 17 59.226365256|233.2544852883829 +05.5119280309667|    0.320 1.497   |10.837   |~              |    ~     ~    
8930 |TYC 5981-350-1                                                                                                                              |Star                                  |07 47 53.4791900088 -15 06 42.640583184|232.8556335740659 +05.2000865285866|   5.504 -3.049   |10.87    |~              |    ~     ~    
8931 |TYC 5981-438-1                                                                                                                              |Star                                  |07 48 57.4156596792 -16 20 36.726767772|234.0550080454116 +04.8060542799577|   1.645 -9.801   |10.61    |~              |    ~     ~    
8932 |TYC 5981-455-1                                                                                                                              |Star                                  |07 49 07.8394490832 -15 17 06.554481576|233.1564357317861 +05.3724863670940|   -1.735 0.246   |10.25    |~              |    ~     ~    
8933 |TYC 5981-627-1                                                                                                                              |Star                                  |07 49 47.8040797272 -16 03 22.317022152|233.9071064892218 +05.1246445368012|   -3.919 2.828   |10.97    |~              |    ~     ~    
8934 |TYC 5981-874-1                                                                                                                              |Star                                  |07 47 07.6365971832 -16 51 04.955431932|234.2758233476123 +04.1723383825270|  -3.785 -4.609   |10.97    |~              |    ~     ~    
8935 |TYC 5981-914-1                                                                                                                              |Star                                  |07 45 07.2382660152 -15 17 53.715488856|232.6842870666810 +04.5274885127021|  -12.783 8.450   |10.81    |~              |    ~     ~    
8936 |TYC 5981-964-1                                                                                                                              |Star                                  |07 45 44.3184514224 -16 33 07.681168620|233.8495117214529 +04.0334137362491|   -3.068 2.342   |10.35    |~              |    ~     ~    
8937 |TYC 5981-1050-1                                                                                                                             |Star                                  |07 50 14.3699610936 -16 12 07.698242484|234.0874398886472 +05.1432312492923|   -3.416 1.742   |10.60    |~              |    ~     ~    
8938 |2MASS J07512621-1520051                                                                                                                     |Long-Period Variable Candidate        |07 51 26.2105469208 -15 20 05.216786772|233.4799927664071 +05.8285590842961|   -4.627 5.293   |10.92    |~              |    ~     ~    
8939 |TYC 5981-1223-2                                                                                                                             |Star                                  |07 51 47.448 -15 15 28.98              |233.456539 +05.940938              |     -17.5 -4.1   |10.44    |~              |    ~     ~    
8940 |TYC 5981-1264-1                                                                                                                             |Star                                  |07 48 11.9412553248 -16 32 24.769023432|234.1343933192265 +04.5502271859377|   -2.087 1.192   |10.94    |~              |    ~     ~    
8941 |TYC 5981-1335-1                                                                                                                             |Star                                  |07 48 16.9893664656 -16 05 07.377265068|233.7494860569491 +04.7953978745696|  -3.177 -2.404   |10.87    |~              |    ~     ~    
8942 |TYC 5981-1381-1                                                                                                                             |Star                                  |07 46 42.9015182568 -16 31 43.883356080|233.9462103231481 +04.2478750919041|   -4.645 0.356   |10.90    |~              |    ~     ~    
8943 |TYC 5981-1401-1                                                                                                                             |Star                                  |07 50 40.1238046488 -15 59 51.380349792|233.9620119722834 +05.3352262424138|   -2.537 0.334   |10.73    |~              |    ~     ~    
8944 |TYC 5981-1411-1                                                                                                                             |Star                                  |07 49 45.6063759408 -16 31 40.269725184|234.3120252455387 +04.8800592022736|   -2.230 5.820   |10.64    |~              |    ~     ~    
8945 |TYC 5981-1566-1                                                                                                                             |Star                                  |07 45 07.3877938992 -16 08 38.386395996|233.4209075335371 +04.1082650071910| 11.965 -12.177   |10.94    |~              |    ~     ~    
8946 |TYC 5981-1609-1                                                                                                                             |Star                                  |07 45 42.4485782088 -16 33 56.173764600|233.8574960908064 +04.0202311379354|  -6.425 -4.163   |10.78    |~              |    ~     ~    
8947 |TYC 5981-2011-1                                                                                                                             |Star                                  |07 49 29.4341793216 -16 15 19.951461684|234.0431056123694 +04.9609689041253|   -4.950 0.668   |10.72    |~              |    ~     ~    
8948 |TYC 5981-2118-1                                                                                                                             |Star                                  |07 46 01.3340705544 -16 37 00.622221600|233.9396876735945 +04.0601104099494|   -2.485 2.194   |10.41    |~              |    ~     ~    
8949 |TYC 5981-2246-1                                                                                                                             |Star                                  |07 45 01.7439480384 -15 40 22.973605644|232.9997234257559 +04.3224287411159|  -2.589 -4.074   |10.37    |~              |    ~     ~    
8950 |TYC 5981-2255-1                                                                                                                             |Star                                  |07 51 31.7181150984 -15 48 43.523828676|233.9055976509999 +05.6072676798159| -16.028 -7.449   |10.81    |~              |    ~     ~    
8951 |TYC 5981-2387-1                                                                                                                             |Star                                  |07 46 58.0922190106 -15 58 45.407928035|233.4988925159364 +04.5747049186537|       -4.9 1.6   |10.77    |~              |    ~     ~    
8952 |TYC 5981-2427-1                                                                                                                             |Star                                  |07 46 55.6239441024 -16 12 01.381274064|233.6861752184467 +04.4558475343523|   1.283 -1.910   |10.84    |~              |    ~     ~    
8953 |TYC 5981-2514-1                                                                                                                             |Star                                  |07 51 21.8172002640 -16 09 31.535965224|234.1862950510883 +05.3982545102507|   0.662 -6.341   |10.21    |~              |    ~     ~    
8954 |TYC 5981-2587-1                                                                                                                             |Star                                  |07 48 27.2261022072 -15 51 31.807845720|233.5732257260709 +04.9442646220658|   5.596 -3.259   |10.62    |~              |    ~     ~    
8955 |HD 64023                                                                                                                                    |Star                                  |07 51 11.6374503120 -16 09 47.212335468|234.1694433951377 +05.3608755330470|   -3.351 0.645   |10.03    |B9IV           |    ~     ~    
8956 |TYC 5981-2695-1                                                                                                                             |Star                                  |07 49 38.7940314720 -15 34 53.528118060|233.4766228998827 +05.3316057952529|   -2.833 0.345   |10.04    |~              |    ~     ~    
8957 |TYC 5981-2710-1                                                                                                                             |Star                                  |07 48 40.3819465728 -15 50 15.981635508|233.5814136075307 +05.0004589880947|   -5.741 2.645   |10.21    |~              |    ~     ~    
8958 |TYC 5981-2717-1                                                                                                                             |Star                                  |07 48 12.1207727376 -15 47 56.853074868|233.4909297770428 +04.9216975505278|  -1.435 -1.910   |10.71    |~              |    ~     ~    
8959 |TYC 5981-2811-1                                                                                                                             |Star                                  |07 47 04.4339451600 -16 02 43.625242320|233.5691361104668 +04.5637091278172|   12.649 5.874   |10.93    |~              |    ~     ~    
8960 |TYC 5981-2839-1                                                                                                                             |Star                                  |07 45 04.4479169664 -15 33 57.404073708|232.9118609645752 +04.3849858089114|   -5.779 8.953   |9.93     |~              |    ~     ~    
8961 |2MASS J07505249-1524310                                                                                                                     |Long-Period Variable                  |07 50 52.4968751880 -15 24 30.941837568|233.4756384552515 +05.6743651065546|  8.694 -19.234   |10.829   |~              |    ~     ~    
8962 |TYC 5982-261-1                                                                                                                              |Star                                  |07 52 04.6716625152 -16 09 56.820895632|234.2793356533476 +05.5427700904747|   -3.102 2.152   |10.608   |~              |    ~     ~    
8963 |TYC 5982-335-1                                                                                                                              |Star                                  |07 53 07.4344505832 -16 48 54.013146228|234.9693300341095 +05.4304126673951|   -1.441 2.270   |10.87    |~              |    ~     ~    
8964 |TYC 5982-526-1                                                                                                                              |Star                                  |07 53 23.0544666456 -15 52 35.658664752|234.1881289252167 +05.9598402648112|  -1.999 -0.467   |10.833   |~              |    ~     ~    
8965 |TYC 5982-994-1                                                                                                                              |Star                                  |07 53 38.1336171912 -15 55 44.650267212|234.2644146952516 +05.9853489688821|    2.712 0.751   |10.757   |~              |    ~     ~    
8966 |TYC 5982-1038-1                                                                                                                             |Star                                  |07 52 24.5068096224 -15 39 10.855833696|233.8748837724170 +05.8703135283025|   -0.361 1.032   |10.02    |~              |    ~     ~    
8967 |TYC 5982-1092-1                                                                                                                             |Star                                  |07 53 59.2703551368 -15 33 34.484025816|233.9872338185506 +06.2456398491602|   -9.223 1.656   |10.63    |~              |    ~     ~    
8968 |TYC 5982-1098-1                                                                                                                             |Red Giant Branch star                 |07 54 02.4199839672 -15 22 21.699426108|233.8315645500819 +06.3512077402880|  -12.297 2.651   |10.769   |~              |    ~     ~    
8969 |TYC 5982-1121-1                                                                                                                             |Star                                  |07 52 55.3569808320 -15 43 33.135443544|234.0009481322739 +05.9403045586386|   -0.601 0.680   |10.75    |~              |    ~     ~    
8970 |TYC 5982-1304-1                                                                                                                             |Star                                  |07 52 18.9981603984 -15 25 18.311806308|233.6629387395539 +05.9679264084907|   -3.946 0.968   |10.92    |~              |    ~     ~    
8971 |TYC 5982-1337-1                                                                                                                             |Star                                  |07 54 59.1645734688 -15 44 31.468207020|234.2681170694050 +06.3601270202743|   -2.648 0.801   |10.85    |~              |    ~     ~    
8972 |TYC 5982-1397-1                                                                                                                             |Star                                  |07 56 57.0267912264 -15 16 31.650715884|234.1062018662821 +07.0049501691100|  -1.035 -1.929   |10.830   |~              |    ~     ~    
8973 |TYC 5982-1447-1                                                                                                                             |Star                                  |07 55 55.9374109224 -15 17 30.034650228|233.9943254575823 +06.7853700800519|  -8.407 -0.739   |10.87    |~              |    ~     ~    
8974 |TYC 5982-1666-1                                                                                                                             |Star                                  |07 59 00.0182372544 -16 32 12.126510780|235.4516353148949 +06.7824465345301|  -1.674 -0.010   |10.98    |~              |    ~     ~    
8975 |TYC 5982-1728-1                                                                                                                             |Star                                  |07 59 03.5398466904 -16 10 57.906082344|235.1531275517379 +06.9764841042131|   -1.132 2.977   |10.92    |~              |    ~     ~    
8976 |TYC 5982-1754-1                                                                                                                             |Star                                  |07 57 40.5201610488 -16 41 10.778027064|235.4167673479305 +06.4332446423116|   -4.844 3.601   |10.73    |~              |    ~     ~    
8977 |TYC 5982-1853-1                                                                                                                             |Star                                  |07 58 28.6080397872 -15 27 35.611022376|234.4554150482698 +07.2270327512776|  -11.338 5.013   |10.230   |~              |    ~     ~    
8978 |TYC 5982-1939-1                                                                                                                             |Star                                  |07 58 23.4008301792 -15 14 07.022642424|234.2500832735534 +07.3239941801782|   -6.821 7.287   |10.32    |~              |    ~     ~    
8979 |TYC 5982-2100-1                                                                                                                             |Star                                  |07 59 31.2819444768 -16 37 57.145715544|235.5991058623538 +06.8401525431231|   -2.458 2.096   |10.94    |~              |    ~     ~    
8980 |TYC 5982-2103-1                                                                                                                             |Star                                  |07 55 32.4527927400 -15 10 28.496242344|233.8444501670725 +06.7635741566469|   -8.911 1.571   |10.200   |~              |    ~     ~    
8981 |TYC 5982-2116-1                                                                                                                             |Star                                  |07 59 35.6608623912 -16 02 05.686717920|235.0919548266886 +07.1627751341581|  -11.934 9.089   |10.51    |~              |    ~     ~    
8982 |TYC 5982-2440-1                                                                                                                             |Star                                  |07 59 22.2753067944 -16 14 02.254847280|235.2362058636766 +07.0144560624424|  -13.151 4.001   |10.91    |~              |    ~     ~    
8983 |TYC 5982-2464-1                                                                                                                             |Eclipsing Binary                      |07 59 46.6325823024 -16 28 00.131274552|235.4877468728793 +06.9781370752081|   -5.518 4.111   |10.38    |~              |    ~     ~    
8984 |TYC 5982-2504-1                                                                                                                             |Star                                  |07 56 20.9192396640 -16 26 30.812921340|235.0417566459310 +06.2852408272907|  -2.970 -1.742   |10.97    |~              |    ~     ~    
8985 |TYC 5982-2613-1                                                                                                                             |Star                                  |07 58 42.6118021920 -16 12 11.838750984|235.1275481465658 +06.8940856247721|   -2.917 4.194   |10.82    |~              |    ~     ~    
8986 |TYC 5982-2847-1                                                                                                                             |Star                                  |07 58 26.6874477840 -16 25 29.933038920|235.2862118676144 +06.7256141525348|  -4.077 -0.005   |10.83    |~              |    ~     ~    
8987 |TYC 5982-3005-1                                                                                                                             |Star                                  |07 55 34.4960681880 -16 42 46.190463696|235.1808850106178 +05.9875137378582|   -3.215 2.090   |10.83    |~              |    ~     ~    
8988 |TYC 5982-3120-1                                                                                                                             |Star                                  |07 57 56.1946491888 -16 23 58.260874488|235.2012435829079 +06.6340698193903|  5.004 -15.865   |10.90    |~              |    ~     ~    
8989 |TYC 5985-8-1                                                                                                                                |Star                                  |07 49 03.2696546016 -18 16 04.898506548|235.7353321299352 +03.8590045777391|   1.718 -4.615   |10.86    |~              |    ~     ~    
8990 |TYC 5985-66-1                                                                                                                               |Star                                  |07 50 48.2384798112 -18 01 59.959633296|235.7424183378365 +04.3362521287420|   0.104 -1.323   |10.23    |~              |    ~     ~    
8991 |TYC 5985-114-1                                                                                                                              |Star                                  |07 49 12.3426495600 -17 56 06.930892608|235.4652676188262 +04.0575971965107|   -1.732 4.602   |10.78    |~              |    ~     ~    
8992 |TYC 5985-202-1                                                                                                                              |Star                                  |07 49 34.1260090368 -17 50 55.803052032|235.4340243253942 +04.1757437015803|  -1.249 -0.329   |10.70    |~              |    ~     ~    
8993 |TYC 5985-212-1                                                                                                                              |Star                                  |07 48 32.0437518480 -17 50 50.609684868|235.3085698947891 +03.9636821831780|  -1.065 -4.502   |10.99    |~              |    ~     ~    
8994 |TYC 5985-399-1                                                                                                                              |Star                                  |07 48 01.0516105152 -18 06 55.707866568|235.4790720942918 +03.7228204302142|  -1.967 -1.628   |10.54    |~              |    ~     ~    
8995 |TYC 5985-467-1                                                                                                                              |Star                                  |07 51 25.0470324480 -18 18 19.410904944|236.0517037570810 +04.3242251546615|  -4.018 -0.591   |10.94    |~              |    ~     ~    
8996 |TYC 5985-487-1                                                                                                                              |Star                                  |07 50 00.8656763472 -17 20 59.261810280|235.0553843256157 +04.5189267066737|  -3.687 -0.338   |10.14    |~              |    ~     ~    
8997 |TYC 5985-529-1                                                                                                                              |Star                                  |07 47 40.8522196440 -18 00 20.189642580|235.3436021399960 +03.7087380241600|   -2.547 0.763   |10.92    |~              |    ~     ~    
8998 |TYC 5985-547-1                                                                                                                              |Star                                  |07 50 10.3010690256 -17 54 10.426248612|235.5533691016163 +04.2723640724689|   -3.739 0.443   |10.91    |~              |    ~     ~    
8999 |TYC 5985-746-1                                                                                                                              |Star                                  |07 48 51.5004583584 -17 58 53.087770056|235.4635748803006 +03.9629817804739|  -0.840 -0.077   |10.87    |~              |    ~     ~    
9000 |TYC 5985-811-1                                                                                                                              |Star                                  |07 48 32.5958458656 -17 25 27.993482004|234.9430290291591 +04.1780277966805|  -2.962 -5.139   |10.04    |~              |    ~     ~    
9001 |GSC 05985-00872                                                                                                                             |Double or Multiple Star               |07 49 12.2414885640 -17 18 24.508450656|234.9204805883695 +04.3734484198065|   -2.803 3.423   |10.646   |~              |    ~     ~    
9002 |TYC 5985-883-1                                                                                                                              |Star                                  |07 51 13.7888911128 -17 19 33.077882388|235.1815037663213 +04.7814061897418|   -8.658 9.922   |10.55    |~              |    ~     ~    
9003 |TYC 5985-986-1                                                                                                                              |Star                                  |07 51 28.1295512592 -17 35 37.666438584|235.4423739053965 +04.6950775873526|   -4.570 2.180   |10.97    |~              |    ~     ~    
9004 |TYC 5985-1005-1                                                                                                                             |Star                                  |07 50 52.5460223088 -17 23 38.318945568|235.1976655025096 +04.6740835526682|   5.802 -4.874   |10.56    |~              |    ~     ~    
9005 |TYC 5985-1081-1                                                                                                                             |Star                                  |07 45 55.3588246368 -18 09 35.006180724|235.2677657105405 +03.2698566227430|   -0.945 3.026   |10.89    |~              |    ~     ~    
9006 |TYC 5985-1173-1                                                                                                                             |Star                                  |07 49 19.8762241032 -17 42 07.561667052|235.2783667064666 +04.2007926916634|  -0.053 -6.160   |10.99    |~              |    ~     ~    
9007 |TYC 5985-1215-1                                                                                                                             |Star                                  |07 45 46.9366179456 -17 53 59.572525344|235.0255532765620 +03.3706617448628|  -1.823 -0.361   |10.81    |~              |    ~     ~    
9008 |TYC 5985-1388-1                                                                                                                             |Star                                  |07 46 13.6304160696 -17 41 45.185568288|234.9014390448637 +03.5642632935348|   0.809 -3.935   |10.98    |~              |    ~     ~    
9009 |TYC 5985-1503-1                                                                                                                             |Star                                  |07 45 08.5669086456 -17 04 12.285606900|234.2286312475674 +03.6519476820317|   1.666 -6.046   |10.98    |~              |    ~     ~    
9010 |TYC 5985-1655-1                                                                                                                             |Star                                  |07 47 19.0968905856 -17 26 56.688122724|234.8175514397836 +03.9128752324232|  -1.184 -0.017   |10.14    |~              |    ~     ~    
9011 |TYC 5985-1779-1                                                                                                                             |Star                                  |07 45 44.4916437168 -17 20 06.209699424|234.5302345897234 +03.6439699316121|   -6.668 2.398   |10.01    |~              |    ~     ~    
9012 |TYC 5985-1779-2                                                                                                                             |Star                                  |07 45 44.7963664152 -17 20 03.718150008|234.5302388613105 +03.6453656205973|   -7.779 1.961   |10.06    |~              |    ~     ~    
9013 |TYC 5985-1828-1                                                                                                                             |Star                                  |07 49 35.7838890816 -17 09 43.077910320|234.8421864482387 +04.5272785774861|  -11.803 1.053   |10.77    |~              |    ~     ~    
9014 |TYC 5985-1853-1                                                                                                                             |Star                                  |07 47 28.4542800048 -17 03 54.973137096|234.5031376265609 +04.1372129350963|   -1.304 0.358   |10.31    |~              |    ~     ~    
9015 |TYC 5985-1952-1                                                                                                                             |Star                                  |07 51 45.9965244864 -17 38 28.029966756|235.5193648787928 +04.7323118396239|  -9.321 -8.966   |10.42    |~              |    ~     ~    
9016 |TYC 5985-2255-1                                                                                                                             |Star                                  |07 50 32.8099199736 -16 56 43.628379396|234.7693091310194 +04.8325726208203|   -4.269 0.968   |10.70    |~              |    ~     ~    
9017 |TYC 5985-2640-1                                                                                                                             |Star                                  |07 49 26.1427321080 -17 28 26.735117484|235.0933624385229 +04.3370643136266|  -1.995 -0.124   |10.13    |~              |    ~     ~    
9018 |TYC 5985-3094-1                                                                                                                             |Star                                  |07 50 23.9605464024 -18 29 52.050676308|236.0955322232881 +04.0185535902476|   -8.325 3.897   |10.59    |~              |    ~     ~    
9019 |TYC 5985-3171-1                                                                                                                             |Star                                  |07 51 22.2491533152 -18 25 38.237173320|236.1514661129934 +04.2529214348963|  -1.452 -2.383   |10.88    |~              |    ~     ~    
9020 |TYC 5985-3207-1                                                                                                                             |Star                                  |07 45 04.5177408888 -18 20 10.039386552|235.3203417862727 +03.0074913268990|  -0.250 -4.806   |10.85    |~              |    ~     ~    
9021 |TYC 5985-3461-1                                                                                                                             |Star                                  |07 51 44.0604411456 -18 35 57.194134836|236.3438819230471 +04.2400194207666|  -7.417 -7.119   |10.93    |~              |    ~     ~    
9022 |TYC 5985-3488-1                                                                                                                             |Star                                  |07 48 18.5477364672 -18 37 36.490221480|235.9568833980434 +03.5257108735477|   -6.177 8.085   |10.88    |~              |    ~     ~    
9023 |TYC 5986-101-1                                                                                                                              |Star                                  |07 54 07.8859928016 -17 08 23.114831208|235.3732657908391 +05.4729130007956|  -3.343 -0.057   |10.98    |~              |    ~     ~    
9024 |2MASS J07524384-1706528                                                                                                                     |Red Giant Branch star                 |07 52 43.8434981952 -17 06 52.719017292|235.1808025385131 +05.1974172743773|   3.329 15.767   |10.91    |~              |    ~     ~    
9025 |TYC 5986-191-1                                                                                                                              |Star                                  |07 52 27.2562315720 -16 57 06.631314588|235.0062457351729 +05.2229622773181|  -5.091 -2.815   |10.86    |~              |    ~     ~    
9026 |TYC 5986-213-1                                                                                                                              |Star                                  |07 52 45.4756223520 -17 45 06.437658024|235.7352438497664 +04.8796729685964|    2.598 3.811   |10.48    |~              |    ~     ~    
9027 |2MASS J07543950-1703420                                                                                                                     |Red Giant Branch star                 |07 54 39.4988446800 -17 03 42.044453712|235.3701623991000 +05.6210216634007|    2.904 0.930   |10.86    |~              |    ~     ~    
9028 |TYC 5986-324-1                                                                                                                              |Star                                  |07 54 59.6332273920 -17 09 11.263130892|235.4902912501036 +05.6433856511328|   -2.265 1.049   |10.26    |~              |    ~     ~    
9029 |TYC 5986-329-1                                                                                                                              |Star                                  |07 52 30.4878124776 -16 58 53.091186168|235.0384001613862 +05.2190849734586|   -8.675 5.773   |10.72    |~              |    ~     ~    
9030 |TYC 5986-400-1                                                                                                                              |High Proper Motion Star               |07 56 31.3821162552 -18 35 51.987217920|236.9239670394410 +05.2163551656039| 65.491 -59.755   |10.75    |~              |    ~     ~    
9031 |TYC 5986-412-1                                                                                                                              |Star                                  |07 55 17.0592370392 -18 43 36.126599232|236.8839467570744 +04.8983702496593|   -4.392 2.538   |10.83    |~              |    ~     ~    
9032 |TYC 5986-435-1                                                                                                                              |Star                                  |07 56 26.1375574224 -17 33 20.313141516|236.0146877707762 +05.7332817629206|   -6.533 4.963   |10.63    |~              |    ~     ~    
9033 |TYC 5986-512-1                                                                                                                              |Star                                  |07 54 52.7287531416 -18 28 22.819856340|236.6158358006769 +04.9456910230128|   -7.917 7.242   |10.52    |~              |    ~     ~    
9034 |TYC 5986-669-1                                                                                                                              |Star                                  |07 57 31.2090362808 -17 56 49.570418904|236.4855539827570 +05.7539007733013| 11.167 -11.309   |10.88    |~              |    ~     ~    
9035 |TYC 5986-733-1                                                                                                                              |Star                                  |07 56 15.9993194760 -17 44 23.060927472|236.1528242525759 +05.6043767562608|  -3.026 -0.114   |10.94    |~              |    ~     ~    
9036 |TYC 5986-888-1                                                                                                                              |Star                                  |07 55 28.8362086632 -18 32 43.751606676|236.7516458100272 +05.0311429235364| -24.683 12.502   |10.98    |~              |    ~     ~    
9037 |TYC 5986-974-1                                                                                                                              |Star                                  |07 55 43.8731539296 -18 21 40.417044372|236.6233608914166 +05.1765975072904|    0.774 0.005   |10.98    |~              |    ~     ~    
9038 |TYC 5986-1088-1                                                                                                                             |Star                                  |07 55 34.3726063032 -18 08 05.822829708|236.4088788815716 +05.2602174845623|   -4.415 0.341   |10.99    |~              |    ~     ~    
9039 |TYC 5986-1306-1                                                                                                                             |Star                                  |07 55 10.7772024168 -18 34 55.396163388|236.7465003193718 +04.9511490350209|   1.130 -1.666   |10.96    |~              |    ~     ~    
9040 |TYC 5986-1344-1                                                                                                                             |Star                                  |07 52 09.9817459392 -18 35 22.405721496|236.3876470326670 +04.3331204752433|   1.330 -0.466   |10.74    |~              |    ~     ~    
9041 |TYC 5986-1395-1                                                                                                                             |Star                                  |07 54 46.6940495472 -17 56 27.423255552|236.1444675129943 +05.1970893552711|   -3.202 0.350   |10.92    |~              |    ~     ~    
9042 |2MASS J07563310-1757052                                                                                                                     |Red Giant Branch star                 |07 56 33.1103155632 -17 57 05.316602076|236.3704373313123 +05.5540704479475|   -6.187 1.992   |10.88    |~              |    ~     ~    
9043 |TYC 5986-1550-1                                                                                                                             |Star                                  |07 53 11.2662350616 -18 40 46.401256020|236.5888109177735 +04.4956623968677|   -6.053 7.196   |10.78    |~              |    ~     ~    
9044 |TYC 5986-1774-1                                                                                                                             |Star                                  |07 56 29.0837710032 -18 04 27.171767856|236.4680506275118 +05.4773974846228|   -2.025 1.116   |10.84    |~              |    ~     ~    
9045 |TYC 5986-1780-1                                                                                                                             |Star                                  |07 53 21.9123030264 -18 01 15.009180420|236.0414880511374 +04.8673059319452|   -3.963 0.662   |10.98    |~              |    ~     ~    
9046 |TYC 5986-2044-1                                                                                                                             |Star                                  |07 57 59.1855648168 -18 21 04.392666612|236.8910159223701 +05.6407572835208| -6.643 -10.872   |10.84    |~              |    ~     ~    
9047 |TYC 5986-2048-1                                                                                                                             |Star                                  |07 58 18.8333670000 -18 04 27.031805688|236.6927253205059 +05.8502232961298|   -4.404 2.574   |10.91    |~              |    ~     ~    
9048 |TYC 5986-2159-1                                                                                                                             |Star                                  |07 57 34.3618688112 -16 53 14.482333896|235.5777311988169 +06.3090438473918|   5.859 -7.239   |10.96    |~              |    ~     ~    
9049 |TYC 5986-2261-1                                                                                                                             |Star                                  |07 57 08.7731890824 -17 03 15.545252916|235.6693066775949 +06.1358735343423|   3.236 -5.329   |10.96    |~              |    ~     ~    
9050 |TYC 5986-2411-1                                                                                                                             |Star                                  |07 59 33.5021642736 -17 10 58.911261600|236.0786289060251 +06.5639134084789|   -0.297 1.972   |10.36    |~              |    ~     ~    
9051 |TYC 5986-2445-1                                                                                                                             |Star                                  |07 59 40.3447066296 -17 08 51.222755796|236.0621975668037 +06.6055507312894|   -3.542 0.413   |10.827   |~              |    ~     ~    
9052 |TYC 5986-2705-1                                                                                                                             |Star                                  |07 57 29.9646588576 -17 05 23.649433764|235.7435780954429 +06.1900781338067|   -4.756 4.651   |10.39    |~              |    ~     ~    
9053 |TYC 5986-2927-1                                                                                                                             |Star                                  |07 57 41.8575098208 -16 54 34.065750924|235.6122484491550 +06.3233508015589|   -0.932 0.950   |10.97    |~              |    ~     ~    
9054 |TYC 5986-2964-1                                                                                                                             |High Proper Motion Star               |07 59 30.1491352296 -18 07 00.757595028|236.8761510316628 +06.0700422466562|-98.153 -55.407   |10.32    |~              |    ~     ~    
9055 |TYC 5986-3031-1                                                                                                                             |Star                                  |07 57 45.6324731664 -17 19 47.041068252|235.9827729754721 +06.1204273349531|  -4.754 18.942   |10.65    |~              |    ~     ~    
9056 |HD 65308                                                                                                                                    |Star                                  |07 57 30.3118603776 -17 06 25.526216016|235.7591301375305 +06.1824438847822|   -3.850 1.123   |9.86     |A0III          |    ~     ~    
9057 |TYC 5986-3092-1                                                                                                                             |Star                                  |07 58 37.8484149864 -18 09 44.386293492|236.8076902241542 +05.8692545989725|   -3.180 9.010   |10.472   |~              |    ~     ~    
9058 |TYC 5986-3136-1                                                                                                                             |Star                                  |07 57 34.4711485824 -17 33 03.339440316|236.1506583639680 +05.9686962740528|   -7.726 7.901   |10.52    |~              |    ~     ~    
9059 |TYC 5986-3163-1                                                                                                                             |Star                                  |07 58 46.8493527384 -17 45 52.916438376|236.4837206337221 +06.1049843337334|  -1.599 -4.139   |10.771   |~              |    ~     ~    
9060 |TYC 5986-3292-1                                                                                                                             |Double or Multiple Star               |07 57 44.411232 -18 27 06.00516        |236.947255197 +05.538929466        |       8.2 -8.6   |10.983   |~              |    ~     ~    
