C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
69  |CD-43 15215                                                                                              |Star                                  |22 58 52.0067662104 -42 59 18.614413212|350.7430076522047 -62.2471522648481| -13.557 -1.423     |10.581   |~              |    ~     ~    |    1|  779.678   pc  | -40.9000    +40.9000    |ST-L    |2020AJ....160...83S
70  |CD-44 15078                                                                                              |Star                                  |22 53 01.1184849936 -43 23 59.658410544|350.9096859039240 -61.1073934498062| -17.693 -8.954     |10.17    |K0             |    ~     ~    |    1|  703.383   pc  |  -7.4707     +7.4707    |paral   |2020yCat.1350....0G
71  |HD 216751                                                                                                |Star                                  |22 56 04.5489311256 -43 37 04.387212264|350.0077821353627 -61.5164716524008|   22.971 1.379     |10.45    |F5V            |    ~     ~    |    1|  289.475   pc  |  -5.7270     +5.7270    |ST-L    |2020AJ....160...83S
72  |HD 217138                                                                                                |Star                                  |22 59 01.2642447120 -43 56 07.825884936|348.9077475148783 -61.8500488002192|    9.157 0.889     |9.44     |F3V            |    ~     ~    |    1|  323.960   pc  |  -6.3285     +6.3285    |paral   |2020yCat.1350....0G
73  |TYC 8008-115-1                                                                                           |Star                                  |22 59 23.6621154120 -42 19 41.750400324|351.9451742113772 -62.6156542762687| 17.649 -15.795     |10.805   |~              |    ~     ~    |    1|  464.878   pc  |  -3.1336     +3.1336    |paral   |2020yCat.1350....0G
74  |TYC 8008-136-1                                                                                           |Star                                  |22 58 41.6306231448 -42 22 21.743418540|351.9743855231185 -62.4794722870526| 33.336 -37.544     |10.953   |~              |    ~     ~    |    1|  247.305   pc  | -16.9200    +16.9200    |ST-L    |2020AJ....160...83S
75  |TYC 8008-294-1                                                                                           |Star                                  |22 57 36.6986580960 -42 06 27.019811016|352.6745079840257 -62.4050658557362|   13.504 9.321     |10.813   |~              |    ~     ~    |    1|  367.868   pc  |  -9.0320     +9.0320    |ST-L    |2020AJ....160...83S
76  |TYC 8008-321-1                                                                                           |Star                                  |22 55 33.1857898032 -42 18 26.944296984|352.6085211341631 -61.9756982151976|   9.326 23.582     |10.81    |~              |    ~     ~    |    1|  206.821   pc  |  -0.7143     +0.7143    |paral   |2020yCat.1350....0G
77  |TYC 8011-1052-1                                                                                          |Star                                  |22 56 33.9086911800 -43 01 59.761604424|351.0405634772278 -61.8476737614361| -12.196 22.899     |10.79    |~              |    ~     ~    |    1|  314.139   pc  |  -1.5888     +1.5888    |paral   |2020yCat.1350....0G
78  |CD-41 15034                                                                                              |High Proper Motion Star               |22 48 09.7887101304 -40 45 14.157135504|356.7020919385438 -61.2415598862397| 68.518 -59.682     |10.577   |F8             |    ~     ~    |    1|  158.883   pc  |  -1.6650     +1.6650    |ST-L    |2020AJ....160...83S
79  |CD-41 15016                                                                                              |High Proper Motion Star               |22 46 05.3052400992 -40 34 20.718683976|357.3125282536542 -60.9243494046007|-33.455 -41.299     |10.78    |~              |    ~     ~    |    1|  242.548   pc  |  -7.8655     +7.8655    |paral   |2020yCat.1350....0G
