C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
2321|HD 217172                                                                                                |Star                                  |22 59 14.8209946848 -45 11 21.200241156|346.5499626224473 -61.2899997820095|   26.773 5.886     |7.29     |A3V            |    ~     ~    |    1|  103.818   pc  |  -0.2662     +0.2662    |paral   |2020yCat.1350....0G
2322|CD-46 14485                                                                                              |Star                                  |22 57 10.6724856888 -45 29 12.487348572|346.3813754893073 -60.8272791026698|    1.026 7.542     |10.468   |G0             |    ~     ~    |    1|  173.209   pc  |  -2.5620     +2.5620    |ST-L    |2020AJ....160...83S
2323|CD-46 14494                                                                                              |High Proper Motion Star               |22 58 24.0974849304 -45 29 48.965635392|346.1466155528216 -61.0091520873817| 44.573 -66.931     |10.259   |G5             |    ~     ~    |    1|  194.554   pc  |  -3.6360     +3.6360    |ST-L    |2020AJ....160...83S
2324|CD-46 14496                                                                                              |Star                                  |22 58 33.2253123024 -45 40 38.973433944|345.7963613803923 -60.9425825877041|    9.823 3.642     |10.352   |F5             |    ~     ~    |    1|  297.777   pc  |  -7.6600     +7.6600    |ST-L    |2020AJ....160...83S
2325|HD 217084                                                                                                |Double or Multiple Star               |22 58 36.40986 -45 31 09.5538          |346.06974559 -61.02931470          |    74.64 55.69     |8.94     |G3V            |    ~     ~    |    1|   49.3474  pc  |  -3.2380     +3.2380    |paral   |2018yCat.1345....0G
2326|HD 217139                                                                                                |High Proper Motion Star               |22 59 02.0667840000 -45 27 21.624419808|346.1065546595156 -61.1257961725524|  70.400 -9.064     |8.27     |F2V            |    ~     ~    |    1|  129.735   pc  |  -0.3636     +0.3636    |paral   |2020yCat.1350....0G
2327|CD-46 14454                                                                                              |Star                                  |22 49 58.7212086240 -45 55 01.552171080|346.8202203337872 -59.5167886632580|  16.976 16.419     |10.48    |G5             |    ~     ~    |    1|  219.722   pc  |  -1.4194     +1.4194    |paral   |2020yCat.1350....0G
2328|HD 216010                                                                                                |Star                                  |22 49 59.0857229736 -45 45 10.042138332|347.1071591443298 -59.5933312437771| -7.567 -22.385     |9.86     |F5/7           |    ~     ~    |    1|  245.116   pc  |  -0.9553     +0.9553    |paral   |2020yCat.1350....0G
2329|HD 216291                                                                                                |Star                                  |22 52 26.4452340432 -45 59 29.251371588|346.2924630865692 -59.8598694180318|-11.870 -30.191     |7.27     |K4/5III        |    ~     ~    |    1|  339.478   pc  |  -2.2588     +2.2588    |paral   |2020yCat.1350....0G
2330|CD-46 14462                                                                                              |Star                                  |22 52 34.9552183320 -45 52 52.230051336|346.4626120770149 -59.9339489799857|  4.805 -25.837     |10.25    |G0             |    ~     ~    |    1|  125.940   pc  |  -0.2252     +0.2252    |paral   |2020yCat.1350....0G
2331|CD-46 14467                                                                                              |High Proper Motion Star               |22 53 44.3255842728 -45 47 36.614672448|346.4251310084702 -60.1527822996973| -54.643 -5.253     |10.458   |F5             |    ~     ~    |    1|  150.373   pc  |  -1.4490     +1.4490    |ST-L    |2020AJ....160...83S
2332|HD 216531                                                                                                |High Proper Motion Star               |22 54 16.2387595536 -45 53 19.276901376|346.1678596013796 -60.1883405984840| 71.633 -43.765     |9.289    |G0V            |    ~     ~    |    1|   50.989   pc  |  -0.1634     +0.1634    |ST-L    |2020AJ....160...83S
2333|CD-46 14476                                                                                              |Star                                  |22 55 49.3057949976 -45 56 00.030387156|345.8240058137805 -60.4022502641319| -20.715 -6.564     |9.72     |K0             |    ~     ~    |    1|  646.371   pc  |  -5.8491     +5.8491    |paral   |2020yCat.1350....0G
2334|CD-46 14487                                                                                              |Star                                  |22 57 28.9304586168 -46 13 46.639767000|345.0119906988410 -60.5039350525175|   31.439 7.744     |10.65    |G5             |    ~     ~    |    1|  249.619   pc  |  -1.6076     +1.6076    |paral   |2020yCat.1350....0G
2335|HD 217028                                                                                                |Star                                  |22 58 12.9137576856 -46 01 15.906255744|345.2475456452114 -60.7190146153184| 21.178 -19.167     |9.36     |F8V            |    ~     ~    |    1|  225.933   pc  |  -0.9443     +0.9443    |paral   |2020yCat.1350....0G
2336|HD 217046                                                                                                |High Proper Motion Star               |22 58 18.8054240040 -45 55 35.998970916|345.3967540858497 -60.7813900466554|  3.174 -49.169     |9.935    |F8/G0V         |    ~     ~    |    1|  213.298   pc  |  -3.4250     +3.4250    |ST-L    |2020AJ....160...83S
2337|NGC 7400                           NGC 7400                                                              |Galaxy                                |22 54 20.8420580328 -45 20 49.397413200|347.1168372187040 -60.4581561903811|            ~ ~     |     ~   |~              |0.957 0.383    |    1|   44.26    Mpc |                         |        |2016AJ....152...50T
2338|CD-47 14411                                                                                              |Star                                  |22 57 51.9375840744 -46 21 56.380536180|344.7057523202203 -60.4916850702422| 34.739 -30.298     |10.788   |~              |    ~     ~    |    1|  293.537   pc  |  -7.0340     +7.0340    |ST-L    |2020AJ....160...83S
2339|CD-46 14489                                                                                              |Star                                  |22 58 02.5393054968 -45 32 55.359741948|346.1178787868440 -60.9288588623081|    4.548 1.511     |10.947   |~              |    ~     ~    |    1| 1174.350   pc  |-114.1000   +114.1000    |ST-L    |2020AJ....160...83S
2340|CD-45 14882                                                                                              |Star                                  |22 58 29.4500274888 -44 43 00.723490284|347.5471636087370 -61.4011890581055| 42.332 -15.657     |10.65    |~              |    ~     ~    |    1|  134.784   pc  |  -0.2870     +0.2870    |paral   |2020yCat.1350....0G
2341|CD-46 14464                                                                                              |Star                                  |22 52 54.4658684088 -45 49 01.178996808|346.5218988027062 -60.0142330993159|   6.281 -1.852     |10.30    |~              |    ~     ~    |    1|  576.768   pc  |  -5.4556     +5.4556    |paral   |2020yCat.1350....0G
2342|CD-45 14849                                                                                              |Star                                  |22 53 24.3492285744 -44 42 56.532459528|348.4118226349696 -60.6009700885425| 14.301 -12.706     |10.454   |~              |    ~     ~    |    1|  707.895   pc  | -29.8600    +29.8600    |ST-L    |2020AJ....160...83S
2343|TYC 8011-724-1                                                                                           |Star                                  |22 59 19.6779216384 -44 07 35.353201512|348.4949598546173 -61.8107816689554|   -6.334 0.894     |10.96    |~              |    ~     ~    |    1| 1120.323   pc  | -18.8268    +18.8268    |paral   |2020yCat.1350....0G
2344|TYC 8010-1183-1                                                                                          |Star                                  |22 50 16.6234687200 -44 49 10.242897816|348.7216168272594 -60.0572323898706|  -5.013 -1.112     |10.80    |~              |    ~     ~    |    1| 1877.582   pc  | -65.9234    +65.9234    |paral   |2020yCat.1350....0G
2345|TYC 8010-1325-1                                                                                          |Spectroscopic Binary                  |22 51 08.1252391800 -44 57 28.868852088|348.3377921607212 -60.1325924092603|-33.102 -28.805     |10.99    |~              |    ~     ~    |    1|  126.502   pc  |  -4.0420     +4.0420    |ST-L    |2020AJ....160...83S
2346|TYC 8447-160-1                                                                                           |Star                                  |22 56 45.7732828656 -45 04 56.431475976|347.1822801873749 -60.9581708817275|    4.163 0.463     |10.738   |~              |    ~     ~    |    1| 1806.830   pc  |-228.1000   +228.1000    |ST-L    |2020AJ....160...83S
2347|TYC 8447-365-1                                                                                           |Star                                  |22 51 08.0598375480 -45 02 37.934015784|348.1837452099022 -60.0941409916734|   -2.522 4.439     |10.791   |~              |    ~     ~    |    1|  756.545   pc  | -31.5600    +31.5600    |ST-L    |2020AJ....160...83S
2348|HD 215628                                                                                                |High Proper Motion Star               |22 47 13.8749352888 -43 36 22.120821036|351.3875381134918 -60.0639395734942|  93.847 -1.515     |8.83     |F8V            |    ~     ~    |    1|   95.101   pc  |  -0.1366     +0.1366    |paral   |2020yCat.1350....0G
2349|HD 215544                                                                                                |Star                                  |22 46 35.9894896176 -43 53 08.708618364|350.9640681108214 -59.8489147459816|    0.007 0.170     |9.24     |K0III          |    ~     ~    |    1|  535.361   pc  |  -8.6270     +8.6270    |paral   |2020yCat.1350....0G
2350|HD 215559                                                                                                |Pulsating Variable                    |22 46 42.9145618632 -44 17 00.846515148|350.2236974674822 -59.7081553645549|  4.084 -32.303     |9.693    |A7V            |    ~     ~    |    1|  404.793   pc  | -12.6600    +12.6600    |ST-L    |2020AJ....160...83S
2351|HD 215629                                                                                                |Star                                  |22 47 08.7709782240 -43 53 45.703974120|350.8672333662262 -59.9351438407257|  14.056 -3.898     |8.72     |K0III          |    ~     ~    |    1|  433.369   pc  |  -4.1881     +4.1881    |paral   |2020yCat.1350....0G
2352|HD 215756                                                                                                |Star                                  |22 48 06.5555687184 -44 15 22.631302656|350.0697379917110 -59.9469681613556|  14.733 -6.405     |9.52     |K3(III)        |    ~     ~    |    1| 1391.401   pc  | -30.5888    +30.5888    |paral   |2020yCat.1350....0G
2353|CD-44 15050                                                                                              |High Proper Motion Star               |22 48 32.4516208224 -44 05 49.324806996|350.2963396121974 -60.0830721068582| 68.973 -40.455     |10.87    |G5             |    ~     ~    |    1|  167.281   pc  |  -1.4950     +1.4950    |ST-L    |2020AJ....160...83S
2354|HD 216090                                                                                                |Star                                  |22 50 34.4364617736 -44 02 43.125362916|350.0855913354397 -60.4367695737936| -3.324 -35.958     |10.82    |B8/A0III/IV    |    ~     ~    |    1|  868.508   pc  | -53.2540    +53.2540    |paral   |2020yCat.1350....0G
2355|CD-44 15062                                                                                              |High Proper Motion Star               |22 50 36.4839546000 -44 06 08.137901196|349.9756635190201 -60.4184021257313| 54.836 -79.440     |10.9     |~              |    ~     ~    |    1|   65.714   pc  |  -0.0980     +0.0980    |paral   |2020yCat.1350....0G
2356|CD-44 15068                                                                                              |Star                                  |22 51 35.9680728144 -43 49 57.158501592|350.3212022716012 -60.6935704797855|  3.280 -21.742     |10.549   |F5             |    ~     ~    |    1|  569.543   pc  | -29.4100    +29.4100    |ST-L    |2020AJ....160...83S
2357|CD-45 14791                                                                                              |Star                                  |22 45 06.2503866000 -44 38 49.197478596|349.8005067576009 -59.2975674645588|   33.921 4.442     |10.58    |G5             |    ~     ~    |    1|  169.719   pc  |  -0.6539     +0.6539    |paral   |2020yCat.1350....0G
2358|CD-45 14794                                                                                              |Star                                  |22 46 08.3301775584 -45 12 07.281123444|348.6640296679374 -59.2323665601470|-12.360 -16.942     |10.656   |F8             |    ~     ~    |    1|  277.829   pc  |  -4.9270     +4.9270    |ST-L    |2020AJ....160...83S
2359|HD 215571                                                                                                |High Proper Motion Star               |22 46 52.0824649848 -45 03 04.536573624|348.8238017871348 -59.4129983154829|  85.446 -0.884     |8.24     |F2V            |    ~     ~    |    1|  123.257   pc  |  -0.3555     +0.3555    |paral   |2020yCat.1350....0G
2360|CD-45 14802                                                                                              |Star                                  |22 47 11.8868013408 -45 01 33.712807800|348.8197181661319 -59.4764979714925| 20.717 -38.304     |10.37    |G0             |    ~     ~    |    1|  293.143   pc  |  -1.6671     +1.6671    |paral   |2020yCat.1350....0G
2361|HD 215657                                                                                                |Variable Star                         |22 47 26.7373247448 -44 57 54.582561756|348.8913408624361 -59.5420654750154| -33.767 12.569     |7.23     |G0V            |    ~     ~    |    1|   32.382   pc  |  -0.0638     +0.0638    |paral   |2020yCat.1350....0G
2362|HD 215800                                                                                                |Star                                  |22 48 21.0053328312 -44 30 04.470044580|349.5897119685204 -59.8840840701783|-15.252 -19.110     |8.89     |K1IIICNII      |    ~     ~    |    1|  446.628   pc  |  -3.5108     +3.5108    |paral   |2020yCat.1350....0G
2363|HD 215877                                                                                                |High Proper Motion Star               |22 48 58.5109734864 -44 36 15.010817760|349.3097258628855 -59.9414779510764|36.326 -121.072     |8.53     |G3V            |    ~     ~    |    1|   75.903   pc  |  -0.4266     +0.4266    |ST-L    |2020AJ....160...83S
2364|HD 216009                                                                                                |Star                                  |22 49 51.1525462440 -44 25 24.746394576|349.5038392884800 -60.1598786977466|   5.695 -3.086     |8.06     |A0V            |    ~     ~    |    1|  304.590   pc  |  -5.5016     +5.5016    |paral   |2020yCat.1350....0G
2365|HD 215342                                                                                                |High Proper Motion Star               |22 45 09.9975811992 -45 35 05.616281292|348.1333881952668 -58.9140151809101|  55.912 -2.521     |8.79     |F6V            |    ~     ~    |    1|   94.970   pc  |  -0.6016     +0.6016    |paral   |2020yCat.1350....0G
2366|HD 215355                                                                                                |High Proper Motion Star               |22 45 14.4953592864 -45 32 46.867074216|348.1898353764608 -58.9424554814978|  52.147 -2.271     |8.93     |F6/7V          |    ~     ~    |    1|   95.026   pc  |  -0.1273     +0.1273    |paral   |2020yCat.1350....0G
2367|CD-46 14426                                                                                              |Star                                  |22 45 52.758 -45 35 42.06              |348.011013 -59.022033              |     41.1 -21.2     |10.92    |K0             |    ~     ~    |    0|                |                         |        |                   
2368|HD 215468                                                                                                |High Proper Motion Star               |22 46 04.3862005776 -45 50 30.670029672|347.5516244372518 -58.9443340503560|  75.964 15.139     |8.04     |F2V            |    ~     ~    |    1|  129.358   pc  |  -0.9554     +0.9554    |ST-L    |2020AJ....160...83S
2369|CD-45 14801                                                                                              |Spectroscopic Binary                  |22 47 01.5046065168 -45 08 29.615181504|348.6401395915115 -59.3994125317549|  25.137 -4.032     |10.78    |~              |    ~     ~    |    1|  287.513   pc  |  -4.7532     +4.7532    |paral   |2020yCat.1350....0G
2370|CD-45 14790                                                                                              |S Star                                |22 45 01.4125571952 -44 52 38.448535764|349.4013150990664 -59.1899043736428|   2.553 -4.468     |9.74     |S6,6           |    ~     ~    |    1| 1372.684   pc  | -40.3232    +40.3232    |paral   |2020yCat.1350....0G
2371|TYC 8010-490-1                                                                                           |Star                                  |22 46 19.9509966288 -43 57 58.297950252|350.8551856083748 -59.7728249838456|   7.497 -4.649     |10.73    |~              |    ~     ~    |    1|  568.376   pc  |  -5.2334     +5.2334    |paral   |2020yCat.1350....0G
2372|TYC 8010-1069-1                                                                                          |Star                                  |22 49 54.9790649664 -44 37 06.808697976|349.1402425360656 -60.0866905776706| -8.603 -10.844     |10.69    |~              |    ~     ~    |    1| 1092.299   pc  | -16.2264    +16.2264    |paral   |2020yCat.1350....0G
2373|TYC 8447-115-1                                                                                           |Star                                  |22 45 23.5599862416 -45 34 07.607339292|348.1284996491211 -58.9566511769154|  27.806 -7.265     |10.994   |~              |    ~     ~    |    1|  197.688   pc  |  -2.3970     +2.3970    |ST-L    |2020AJ....160...83S
2374|TYC 8447-221-1                                                                                           |Star                                  |22 46 03.3489659736 -45 24 43.797173544|348.3057040580893 -59.1290648382742|   3.652 -2.837     |10.448   |~              |    ~     ~    |    1| 2233.010   pc  |-271.9000   +271.9000    |ST-L    |2020AJ....160...83S
2375|TYC 8447-261-1                                                                                           |Star                                  |22 45 18.2981148576 -45 39 56.455169796|347.9720733574242 -58.9009059592117| 16.998 -18.057     |10.58    |~              |    ~     ~    |    1| 1423.488   pc  | -27.1526    +27.1526    |paral   |2020yCat.1350....0G
2376|TYC 6397-575-1                                                                                           |Star                                  |22 56 29.9020765152 -19 35 04.461989172|042.7492035959170 -62.6338089235865|   8.072 26.298     |10.929   |~              |    ~     ~    |    1|  258.820   pc  |  -3.9930     +3.9930    |ST-L    |2020AJ....160...83S
2377|TYC 5813-258-1                                                                                           |Star                                  |22 57 14.7030311496 -08 13 17.088161412|062.5745477359346 -57.0293871035564|  6.373 -21.811     |10.994   |~              |    ~     ~    |    1| 2388.360   pc  |-391.8000   +391.8000    |ST-L    |2020AJ....160...83S
2378|TYC 6387-268-1                                                                                           |Star                                  |22 52 59.2661846712 -15 40 54.181153128|049.4532188932466 -60.2493282584062| -12.128 -5.033     |10.88    |~              |    ~     ~    |    1| 1057.610   pc  | -39.3700    +39.3700    |ST-L    |2020AJ....160...83S
2379|TYC 6393-526-1                                                                                           |Star                                  |22 49 18.6966017688 -22 17 38.623523928|036.0707633595923 -61.9173411635365| 22.567 -42.188     |10.982   |~              |    ~     ~    |    1|  251.795   pc  |  -4.0470     +4.0470    |ST-L    |2020AJ....160...83S
2380|TYC 7505-895-1                                                                                           |Star                                  |22 58 23.3797618848 -31 51 02.806606728|015.2135485521173 -65.0241336423601|   22.812 4.043     |10.894   |~              |    ~     ~    |    1|  985.337   pc  | -49.3600    +49.3600    |ST-L    |2020AJ....160...83S
2381|TYC 8011-580-1                                                                                           |Star                                  |22 56 20.7902086488 -42 37 09.582827376|351.8754647822236 -61.9835736159897|  26.653 -7.668     |10.881   |~              |    ~     ~    |    1|  389.063   pc  | -10.3800    +10.3800    |ST-L    |2020AJ....160...83S
2382|TYC 8447-376-1                                                                                           |Star                                  |22 53 51.3793612296 -45 03 33.459008400|347.7155734567550 -60.5155335644798|  21.889 -7.904     |10.979   |~              |    ~     ~    |    1|  629.117   pc  | -24.4000    +24.4000    |ST-L    |2020AJ....160...83S
2383|TYC 8453-1059-1                                                                                          |High Proper Motion Star               |22 53 15.0328410744 -50 19 46.825579776|339.0244659652759 -57.6977058170917| 59.625 -13.657     |10.96    |~              |    ~     ~    |    1|  158.858   pc  |  -1.8120     +1.8120    |ST-L    |2020AJ....160...83S
2384|TYC 8823-322-1                                                                                           |High Proper Motion Star               |22 47 54.7805615520 -54 29 19.942451700|333.8829507608588 -54.5719159255422| -0.258 -58.043     |10.809   |~              |    ~     ~    |    1|  356.523   pc  | -10.4300    +10.4300    |ST-L    |2020AJ....160...83S
2385|TYC 8824-1073-1                                                                                          |Star                                  |22 54 17.4545758248 -54 14 41.391547296|333.1961092492045 -55.4478842502428|  -6.273 -0.470     |10.671   |~              |    ~     ~    |    1| 3213.030   pc  |-794.0000   +794.0000    |ST-L    |2020AJ....160...83S
2386|TYC 8824-1121-1                                                                                          |Star                                  |22 50 38.3834482320 -54 52 07.727019420|332.9456141526367 -54.6423270950133|    7.587 0.587     |10.955   |~              |    ~     ~    |    1| 2160.970   pc  |-260.3000   +260.3000    |ST-L    |2020AJ....160...83S
2387|HD 217274A                                                                                               |Star                                  |22 59 41.2665977211 -04 21 51.731887134|068.4914426268251 -54.9536547996710|-13.989 -42.133     |8.24     |F3/5V          |    ~     ~    |    1|   82.752   pc  |  -1.6900     +1.6900    |paral   |2020yCat.1350....0G
2388|HD 217004A                                                                                               |High Proper Motion Star               |22 57 48.1974512618 -26 06 29.677117484|028.7140432369170 -64.6356440207022|166.560 -279.009    |7.60     |G3V            |    ~     ~    |    1|   64.3459  pc  |  -0.0881     +0.0881    |paral   |2020yCat.1350....0G
2389|HD 216237                                                                                                |High Proper Motion Star               |22 51 45.6978604104 -35 53 18.910036248|006.4247597558176 -63.1564404750210| 48.099 -12.966     |7.48     |A5mA7-A8       |    ~     ~    |    1|  114.637   pc  |  -0.5940     +0.5940    |paral   |2020yCat.1350....0G
2390|HD 216718A                                                                                               |Star                                  |22 55 10.960869 -04 59 16.43270        |066.379285958 -54.549790955        |      28.5 -8.7     |5.92     |~              |    ~     ~    |    0|                |                         |        |                   
2391|HD 216718B                                                                                               |Star                                  |22 55 10.932544 -04 59 15.89782        |066.379341784 -54.549604272        |      28.5 -8.7     |7.70     |~              |    ~     ~    |    0|                |                         |        |                   
2392|HD 216655A                                                                                               |High Proper Motion Star               |22 55 16.146 -48 27 56.65              |341.625357 -59.009511              |    -224.1 57.9     |7.29     |~              |    ~     ~    |    0|                |                         |        |                   
2393|HD 216655B                                                                                               |High Proper Motion Star               |22 55 16.152 -48 27 57.18              |341.625100 -59.009445              |    -224.1 57.9     |8.91     |~              |    ~     ~    |    0|                |                         |        |                   
2394|TYC 8450-1201-1                                                                                          |High Proper Motion Star               |22 55 15.995 -48 29 30.33              |341.583408 -58.994999              |    -226.5 55.5     |6.71     |~              |    ~     ~    |    0|                |                         |        |                   
2395|HD 217084A                                                                                               |High Proper Motion Star               |22 58 36.414 -45 31 09.62              |346.069700 -61.029316              |      73.0 48.3     |8.03     |~              |    ~     ~    |    0|                |                         |        |                   
2396|HD 217084B                                                                                               |High Proper Motion Star               |22 58 36.462 -45 31 09.59              |346.069572 -61.029442              |      73.0 48.3     |9.24     |~              |    ~     ~    |    0|                |                         |        |                   
2397|TYC 5234-153-1                                                                                           |Star                                  |22 48 13.1051 -00 16 38.634            |070.0342593 -50.0516856            |   5.731 -6.164     |10.37    |~              |    ~     ~    |    0|                |                         |        |                   
2398|TYC 5234-281-1                                                                                           |Star                                  |22 48 51.2575259208 -00 04 28.660174716|070.4325529714366 -50.0210178362316| -7.030 -20.292     |10.607   |~              |    ~     ~    |    1|  155.333   pc  |  -1.7670     +1.7670    |ST-L    |2020AJ....160...83S
2399|TYC 5234-1854-1                                                                                          |Star                                  |22 48 53.0619870168 -02 20 18.991171608|067.8673101909672 -51.6019990703176|   8.780 -1.018     |10.95    |~              |    ~     ~    |    1|  300.883   pc  |  -8.5350     +8.5350    |ST-L    |2020AJ....160...83S
2400|TYC 5234-1872-1                                                                                          |Star                                  |22 45 15.3651341256 -02 20 22.542589572|066.8832284584635 -50.9369043567401|   7.852 -7.126     |10.916   |~              |    ~     ~    |    1|  380.613   pc  | -11.0900    +11.0900    |ST-L    |2020AJ....160...83S
2401|TYC 5235-340-1                                                                                           |Star                                  |22 51 07.8365758296 -01 18 20.032976916|069.6870535890526 -51.2921109368934| 34.077 -20.087     |10.99    |~              |    ~     ~    |    1|  199.860   pc  |  -0.6751     +0.6751    |paral   |2020yCat.1350....0G
2402|TYC 5235-412-1                                                                                           |Star                                  |22 53 50.8521312048 -01 15 08.557452720|070.5168018966304 -51.7363267894907|    4.666 1.014     |10.95    |~              |    ~     ~    |    1|  334.158   pc  |  -1.9987     +1.9987    |paral   |2020yCat.1350....0G
2403|TYC 5235-428-1                                                                                           |Star                                  |22 51 07.1592897672 -00 06 48.134741652|071.0192922412476 -50.4468037414450|  21.784 -9.751     |10.954   |~              |    ~     ~    |    1|  479.753   pc  | -15.9400    +15.9400    |ST-L    |2020AJ....160...83S
2404|TYC 5235-506-1                                                                                           |Star                                  |22 52 58.3717 -00 11 45.899            |071.4511257 -50.8296347            |   8.718 -8.097     |10.92    |~              |    ~     ~    |    1|  856.887   pc  | -40.4600    +40.4600    |ST-L    |2020AJ....160...83S
2405|TYC 5235-536-1                                                                                           |Star                                  |22 52 08.2639448160 -00 13 50.555173548|071.1764224579949 -50.7087845760374|    1.415 3.309     |10.593   |~              |    ~     ~    |    1|  640.172   pc  | -28.9900    +28.9900    |ST-L    |2020AJ....160...83S
2406|TYC 5235-664-1                                                                                           |Star                                  |22 50 51.0704 -00 22 20.603            |070.6581882 -50.5841420            |  13.738 -1.135     |10.80    |~              |    ~     ~    |    1|  836.956   pc  | -35.2900    +35.2900    |ST-L    |2020AJ....160...83S
2407|HD 216482                                                                                                |High Proper Motion Star               |22 53 16.8549682128 -02 29 28.236102972|068.9162571043809 -52.5037891002973|-100.434 -128.151   |9.72     |F3V            |    ~     ~    |    1|  144.495   pc  |  -1.4340     +1.4340    |ST-L    |2020AJ....160...83S
2408|TYC 5235-806-1                                                                                           |Star                                  |22 57 33.9074498592 -01 59 07.945229508|070.7506114605604 -52.9111411974507|  7.349 -18.252     |10.94    |~              |    ~     ~    |    1|  466.483   pc  |  -5.3531     +5.3531    |paral   |2020yCat.1350....0G
2409|BD-03 5524                                                                                               |High Proper Motion Star               |22 53 13.8474135072 -02 28 40.195244568|068.9178037792502 -52.4855151664434|-100.489 -127.620   |9.477    |~              |    ~     ~    |    1|  140.091   pc  |  -2.0390     +2.0390    |ST-L    |2020AJ....160...83S
2410|TYC 5235-939-1                                                                                           |Star                                  |22 57 30.2047335024 -02 28 41.221647552|070.1531728413432 -53.2488943576581|   2.335 -4.425     |10.65    |~              |    ~     ~    |    1|  782.228   pc  |  -9.9736     +9.9736    |paral   |2020yCat.1350....0G
2411|TYC 5235-982-1                                                                                           |Star                                  |22 55 41.2427353032 -01 54 17.158700268|070.2958816414897 -52.5228522824434|   4.489 -6.513     |10.86    |~              |    ~     ~    |    1| 1157.407   pc  | -27.0598    +27.0598    |paral   |2020yCat.1350....0G
2412|HD 217120A                                                                                               |Star                                  |22 58 21.1949154824 -00 34 16.853290809|072.5953344193604 -52.0301447880566|   15.887 5.010     |9.81     |~              |    ~     ~    |    1|  267.044   pc  | -19.1831    +19.1831    |paral   |2018yCat.1345....0G
2413|HD 217120B                                                                                               |Star                                  |22 58 21.2166627756 -00 34 15.372004137|072.5958999108997 -52.0299071547466|   16.318 3.420     |10.02    |~              |    ~     ~    |    1|  277.047   pc  |  -6.4243     +6.4243    |paral   |2018yCat.1345....0G
2414|TYC 5235-1163-1                                                                                          |Star                                  |22 56 00.5047716912 -00 18 43.829391060|072.1951883276196 -51.4390584949524|-37.991 -20.082     |10.83    |~              |    ~     ~    |    1|  165.101   pc  |  -0.3516     +0.3516    |paral   |2020yCat.1350....0G
2415|TYC 5235-1251-1                                                                                          |Star                                  |22 57 33.3866551776 -00 45 59.377784220|072.1421434795174 -52.0349508995451|  4.128 -18.807     |10.98    |~              |    ~     ~    |    1|  919.794   pc  | -13.7055    +13.7055    |paral   |2020yCat.1350....0G
2416|BD-00 4438                                                                                               |Double or Multiple Star               |22 58 30.5546633 -00 00 34.564942      |073.2613754648 -51.6457994491      |     27.4 -62.6     |10.44    |G5             |    ~     ~    |    0|                |                         |        |                   
2417|TYC 5235-1412-1                                                                                          |Star                                  |22 58 47.8216285920 -01 24 27.348955992|071.7829275692286 -52.7125031356383|   -5.368 1.227     |10.832   |~              |    ~     ~    |    1|  834.037   pc  | -46.0300    +46.0300    |ST-L    |2020AJ....160...83S
2418|HD 216904                                                                                                |Star                                  |22 56 59.2274948160 -00 29 51.796943124|072.2750477851796 -51.7420934926056|  29.515 -1.124     |9.95     |G2/3(IV)       |    ~     ~    |    1|  147.891   pc  |  -8.4320     +8.4320    |ST-L    |2020AJ....160...83S
2419|TYC 5237-56-1                                                                                            |Star                                  |22 49 28.9902648000 -02 41 46.685103360|067.6092533964128 -51.9552983820036|   0.040 12.960     |10.825   |~              |    ~     ~    |    1|  349.317   pc  |  -8.1080     +8.1080    |ST-L    |2020AJ....160...83S
2420|TYC 5237-153-1                                                                                           |Star                                  |22 49 05.9569416384 -02 36 59.742232884|067.5981754309532 -51.8308104828685|-11.633 -20.894     |10.536   |~              |    ~     ~    |    1|  212.860   pc  |  -3.1020     +3.1020    |ST-L    |2020AJ....160...83S
2421|TYC 5237-327-1                                                                                           |Star                                  |22 45 56.6134914072 -02 50 49.374486564|066.4675923357433 -51.4049588241709|   6.560 -7.121     |10.93    |~              |    ~     ~    |    1|  881.162   pc  | -47.0000    +47.0000    |ST-L    |2020AJ....160...83S
2422|TYC 5237-522-1                                                                                           |Star                                  |22 46 21.6442109256 -04 08 11.455049976|065.0140669849112 -52.3367633745733|   4.106 20.195     |10.953   |~              |    ~     ~    |    1|  296.678   pc  |  -6.1220     +6.1220    |ST-L    |2020AJ....160...83S
2423|TYC 5237-1024-1                                                                                          |High Proper Motion Star               |22 47 58.2483106800 -03 13 03.698540148|066.5706697801047 -52.0290089476241|  27.013 44.625     |10.98    |~              |    ~     ~    |    1|  227.128   pc  |  -0.8151     +0.8151    |paral   |2020yCat.1350....0G
2424|TYC 5237-1545-1                                                                                          |Star                                  |22 45 55.5220310712 -03 45 51.457879296|065.3557704685645 -52.0105333815979|   5.638 -8.519     |10.96    |~              |    ~     ~    |    1|  466.401   pc  | -15.6800    +15.6800    |ST-L    |2020AJ....160...83S
