C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
6349|HD 181948                                                                                                |Star                                  |19 23 23.9735019600 -24 13 05.068900380|014.1419730138988 -17.4501746372220|   11.212 4.133   |8.67     |K1/2III         |    ~     ~          |    1|  716.076   pc  | -10.7681    +10.7681    |paral   |2020yCat.1350....0G
6350|CD-24 15283                                                                                              |Star                                  |19 23 17.2763558088 -24 02 44.870677332|014.2985097404586 -17.3606379390675|   13.051 4.294   |9.35     |~               |    ~     ~          |    1|  794.849   pc  | -12.1303    +12.1303    |paral   |2020yCat.1350....0G
6351|CD-24 15258                                                                                              |Star                                  |19 21 56.2946572152 -24 00 22.043187612|014.2127772721940 -17.0608907870225|   8.690 -0.332   |9.88     |~               |    ~     ~          |    1|  628.733   pc  | -20.3978    +20.3978    |paral   |2020yCat.1350....0G
6352|TYC 6875-1202-1                                                                                          |Star                                  |19 19 30.0041509872 -24 08 44.646430812|013.8534687144622 -16.6016259241730| -5.078 -18.092   |10.72    |~               |    ~     ~          |    1|  651.806   pc  | -10.1114    +10.1114    |paral   |2020yCat.1350....0G
6353|HD 180902                                                                                                |Star                                  |19 19 17.7078423672 -23 33 29.360421468|014.3988483056129 -16.3297745347703| 37.832 -20.334   |7.78     |K0III/IV        |    ~     ~          |    1|  105.089   pc  |  -0.2341     +0.2341    |paral   |2020yCat.1350....0G
6354|CD-23 15305                                                                                              |Star                                  |19 21 03.2545961184 -23 29 44.846167812|014.6226393490512 -16.6768121766703|   1.859 -4.623   |10.16    |~               |    ~     ~          |    1| 1915.820   pc  |-192.8000   +192.8000    |ST-L    |2020AJ....160...83S
6355|TYC 6875-1485-1                                                                                          |Star                                  |19 17 31.1399661504 -23 07 21.094974336|014.6492174279610 -15.7837897792381|  -3.209 -0.828   |10.77    |~               |    ~     ~          |    1|  565.451   pc  |  -5.5314     +5.5314    |paral   |2020yCat.1350....0G
6356|CD-23 15244                                                                                              |Star                                  |19 17 36.6508091424 -22 48 05.379124320|014.9642757650248 -15.6763536331053|  -4.894 -1.410   |10.269   |~               |    ~     ~          |    1| 1527.370   pc  |-129.0000   +129.0000    |ST-L    |2020AJ....160...83S
6357|TYC 6876-258-1                                                                                           |Star                                  |19 28 28.7722860432 -23 46 52.060981980|015.0307720251309 -18.3566413711641|   0.790 -3.188   |10.181   |~               |    ~     ~          |    1|  705.935   pc  | -25.0100    +25.0100    |ST-L    |2020AJ....160...83S
6358|CD-23 15476                                                                                              |Star                                  |19 29 59.6723075688 -23 39 51.117033672|015.2831941336504 -18.6334098818727| -1.058 -19.039   |10.11    |~               |    ~     ~          |    1|  645.203   pc  |  -7.7846     +7.7846    |paral   |2020yCat.1350....0G
6359|HD 182347                                                                                                |Star                                  |19 25 07.7323756968 -23 21 21.025189296|015.1358308132389 -17.4846471584618| -38.652 24.866   |8.74     |G0V             |    ~     ~          |    1|   90.497   pc  |  -0.1843     +0.1843    |paral   |2020yCat.1350....0G
6360|HD 182252                                                                                                |Star                                  |19 24 35.3393941080 -22 41 46.281296184|015.7227415645679 -17.1150963563749|  4.616 -16.756   |8.57     |K0III           |    ~     ~          |    1|  391.328   pc  |  -3.2312     +3.2312    |paral   |2020yCat.1350....0G
6361|BD-22 5093                                                                                               |Star                                  |19 24 36.2942750064 -22 35 45.580410636|015.8208233099875 -17.0795446644569|    9.291 7.258   |9.40     |~               |    ~     ~          |    1|  479.962   pc  |  -3.6858     +3.6858    |paral   |2020yCat.1350....0G
6362|HD 182837                                                                                                |Star                                  |19 27 22.2563859696 -22 37 00.590666988|016.0597279342527 -17.6761825727329| 19.409 -17.414   |9.01     |G6IV            |    ~     ~          |    1|  119.402   pc  |  -0.3407     +0.3407    |paral   |2020yCat.1350....0G
6363|CD-22 13916                                                                                              |High Proper Motion Star               |19 24 34.2352422838 -22 03 43.832212442|016.3315087829653 -16.8640262334339|-230.901 -451.829 |10.899   |K8Vk:           |    ~     ~          |    1|   27.6609  pc  |  -0.0146     +0.0146    |paral   |2020yCat.1350....0G
6364|TYC 6309-763-1                                                                                           |Star                                  |19 22 51.6924541392 -22 04 02.844257484|016.1643291634075 -16.5018474526158|  16.054 -2.643   |10.73    |~               |    ~     ~          |    1|  351.087   pc  |  -1.8736     +1.8736    |paral   |2020yCat.1350....0G
6365|BD-22 5086                                                                                               |Star                                  |19 23 40.4739108192 -21 44 52.233831888|016.5482123054894 -16.5495104110294|  -6.876 -2.429   |9.62     |~               |    ~     ~          |    1| 1198.179   pc  | -34.3116    +34.3116    |paral   |2020yCat.1350....0G
6366|HD 181971                                                                                                |Star                                  |19 23 18.1328306160 -21 18 59.070270888|016.9258414036214 -16.2996480091514|   -7.736 2.600   |9.768    |K0/1(III)       |    ~     ~          |    1|  526.017   pc  | -17.3100    +17.3100    |ST-L    |2020AJ....160...83S
6367|BD-21 5373                                                                                               |Star                                  |19 24 06.0686431296 -21 03 00.840768588|017.2573874660792 -16.3652438770462|   5.899 -7.588   |10.28    |~               |    ~     ~          |    1| 1332.445   pc  | -37.4611    +37.4611    |paral   |2020yCat.1350....0G
6368|HD 179863B                                                                                               |Spectroscopic Binary                  |19 17 36.9282690816 -58 11 51.993964392|338.6175841694916 -26.1666084631314|   13.765 3.902   |10.81    |~               |    ~     ~          |    1|  285.584   pc  |  -1.3212     +1.3212    |paral   |2020yCat.1350....0G
6369|BD-19 5389                                                                                               |Double or Multiple Star               |19 18 22.399776 -19 03 39.71304        |018.583053939 -14.332521296        |     -23.7 72.8   |10.37    |~               |    ~     ~          |    0|                |                         |        |                   
6370|TYC 6888-2983-1                                                                                          |Star                                  |19 25 04.4307387720 -29 18 42.741424116|009.2927432458113 -19.6771434386252|   5.660 -0.260   |10.02    |~               |    ~     ~          |    1| 1217.285   pc  | -22.6713    +22.6713    |paral   |2020yCat.1350....0G
6371|TYC 7935-1580-1                                                                                          |Star                                  |19 27 14.6825419512 -40 02 19.422121956|358.5126549417227 -23.5382554051290|  2.436 -35.268   |10.31    |~               |    ~     ~          |    1|  282.733   pc  |  -1.5028     +1.5028    |paral   |2020yCat.1350....0G
6372|HD 183275B                                                                                               |Star                                  |19 29 52.5253509840 -26 59 14.250421680|012.0014679642389 -19.8348576453630| 18.635 -39.801   |8.74     |~               |    ~     ~          |    1|   84.447   pc  |  -0.1590     +0.1590    |paral   |2020yCat.1350....0G
6373|TYC 6296-239-2                                                                                           |Star                                  |19 15 01.6534584360 -15 58 40.525516380|021.1224080094977 -12.3233605685676|   0.643 -1.529   |9.76     |~               |    ~     ~          |    1|  433.915   pc  |  -3.8598     +3.8598    |paral   |2020yCat.1350....0G
6374|CPD-34 8355B                                                                                             |High Proper Motion Star               |19 15 11.688030 -34 39 28.92924        |003.197919189 -19.576024609        |    -19.6 -66.6   |10.91    |~               |    ~     ~          |    0|                |                         |        |                   
6375|HD 179674B                                                                                               |Star                                  |19 15 15.589158 -40 05 45.81070        |357.716198984 -21.365977279        |      -0.8 19.0   |10.41    |~               |    ~     ~          |    0|                |                         |        |                   
6376|TYC 5708-1694-2                                                                                          |Star                                  |19 15 27.141 -07 36 03.83              |028.844135 -08.776592              |      -1.2 -3.7   |10.92    |~               |    ~     ~          |    0|                |                         |        |                   
6377|HD 180033B                                                                                               |Star                                  |19 15 32.841 -16 20 39.02              |020.836355 -12.591125              |      1.3 -26.2   |10.93    |~               |    ~     ~          |    0|                |                         |        |                   
6378|HD 180035B                                                                                               |Star                                  |19 15 39.389090 -17 28 39.95637        |019.792165605 -13.090369631        |       6.6 -6.1   |10.76    |~               |    ~     ~          |    0|                |                         |        |                   
6379|HD 180036B                                                                                               |Star                                  |19 15 41.415870 -21 03 33.90283        |016.433268082 -14.570810193        |      0.7 -13.3   |10.63    |~               |    ~     ~          |    0|                |                         |        |                   
6380|CD-63 1405B                                                                                              |Star                                  |19 16 23.987541 -63 07 04.22458        |333.160243472 -26.772720373        |      -0.1 -9.2   |10.18    |~               |    ~     ~          |    0|                |                         |        |                   
6381|TYC 5712-1233-2                                                                                          |Star                                  |19 16 23.261 -09 25 43.04              |027.287355 -09.792977              |    -25.0 -38.3   |10.61    |~               |    ~     ~          |    0|                |                         |        |                   
6382|TYC 7930-1950-2                                                                                          |Star                                  |19 16 26.851 -43 23 22.74              |354.398390 -22.561686              |        7.7 1.7   |10.43    |~               |    ~     ~          |    0|                |                         |        |                   
6383|CPD-63 4499B                                                                                             |Star                                  |19 16 34.161651 -62 57 14.08613        |333.345078137 -26.769690205        |      -1.0 26.4   |10.96    |~               |    ~     ~          |    0|                |                         |        |                   
6384|HD 180298A                                                                                               |Star                                  |19 16 36.2624064672 -16 07 36.615840996|021.1479344897719 -12.7296476930424| -0.548 -27.669   |10.73    |~               |    ~     ~          |    1|  306.035   pc  |  -2.9127     +2.9127    |paral   |2020yCat.1350....0G
6385|CD-77 960B                                                                                               |Star                                  |19 16 40.014602 -76 48 00.42312        |317.798093523 -27.791995345        |       -5.0 1.4   |10.50    |~               |    ~     ~          |    0|                |                         |        |                   
6386|HD 180301B                                                                                               |Star                                  |19 16 40.7546677512 -17 39 25.174279476|019.7291977192019 -13.3866579788019| -1.412 -44.817   |10.06    |~               |    ~     ~          |    1|  144.567   pc  |  -0.3198     +0.3198    |paral   |2020yCat.1350....0G
6387|HD 180462B                                                                                               |Star                                  |19 17 11.860655 -16 26 58.64087        |020.908962173 -12.994566751        |       1.4 -7.6   |10.82    |~               |    ~     ~          |    0|                |                         |        |                   
6388|HD 179366B                                                                                               |Star                                  |19 17 12.195482 -66 39 39.43191        |329.221397738 -27.272889179        |      16.6 -2.8   |6.39     |~               |    ~     ~          |    0|                |                         |        |                   
6389|BD-14 5370B                                                                                              |Star                                  |19 17 17.442232 -13 49 13.86229        |023.357164192 -11.900170465        |      -0.4 -9.1   |10.75    |~               |    ~     ~          |    0|                |                         |        |                   
6390|HD 177722B                                                                                               |Star                                  |19 17 16.148728 -79 23 17.97430        |314.871922403 -27.815036988        |       2.4 -6.5   |10.18    |~               |    ~     ~          |    0|                |                         |        |                   
6391|HD 180310B                                                                                               |Star                                  |19 18 38.5842842836 -50 36 41.598422577|346.8848750377797 -24.7901032105395|  9.230 -19.742   |10.42    |~               |    ~     ~          |    1|  257.752   pc  |  -1.1892     +1.1892    |paral   |2020yCat.1350....0G
6392|HD 180702A                                                                                               |High Proper Motion Star               |19 18 59.066080 -33 16 41.90422        |004.860772661 -19.841290488        |   -15.9 -130.6   |7.19     |~               |    ~     ~          |    0|                |                         |        |                   
6393|HD 180447B                                                                                               |Star                                  |19 19 00.486257 -49 01 37.24321        |348.594660271 -24.475809243        |       21.3 0.7   |10.55    |~               |    ~     ~          |    0|                |                         |        |                   
6394|HD 180748A                                                                                               |High Proper Motion Star               |19 19 07.1786013456 -33 09 30.253062132|004.9908118669854 -19.8266971445605|  125.424 1.392   |8.41     |~               |    ~     ~          |    1|   64.984   pc  |  -0.1263     +0.1263    |paral   |2020yCat.1350....0G
6395|HD 181030B                                                                                               |Star                                  |19 19 14.664234 -10 47 21.09264        |026.357064343 -11.021106019        |        6.6 8.9   |10.67    |~               |    ~     ~          |    0|                |                         |        |                   
6396|TYC 8384-759-2                                                                                           |Star                                  |19 19 16.699 -48 54 28.84              |348.733291 -24.490305              |       9.1 -0.9   |10.34    |~               |    ~     ~          |    0|                |                         |        |                   
6397|HD 180391B                                                                                               |Star                                  |19 19 23.184897 -55 21 20.19537        |341.777437048 -25.892375175        |       19.4 9.0   |10.65    |~               |    ~     ~          |    0|                |                         |        |                   
6398|HD 180957B                                                                                               |Star                                  |19 19 39.423 -28 36 19.12              |009.537826 -18.317206              |    -17.1 -26.9   |10.02    |~               |    ~     ~          |    0|                |                         |        |                   
6399|TYC 9075-1942-2                                                                                          |High Proper Motion Star               |19 19 47.384 -62 53 49.88              |333.461336 -27.125712              |      7.8 -98.0   |8.97     |~               |    ~     ~          |    0|                |                         |        |                   
6400|HD 180578A                                                                                               |High Proper Motion Star               |19 20 32.4424294311 -59 38 49.828464097|337.0871124841822 -26.7717836116788|-188.513 -109.919 |9.21     |~               |    ~     ~          |    1|   73.9218  pc  |  -0.5393     +0.5393    |paral   |2020yCat.1350....0G
6401|TYC 6883-1139-2                                                                                          |Star                                  |19 21 09.688 -27 04 11.76              |011.168999 -18.059299              |     -9.1 -13.1   |9.98     |~               |    ~     ~          |    0|                |                         |        |                   
6402|HD 181643B                                                                                               |Star                                  |19 21 49.361231 -16 05 17.36261        |021.724242884 -13.851185165        |     10.4 -22.7   |10.52    |~               |    ~     ~          |    0|                |                         |        |                   
6403|TYC 5721-1492-2                                                                                          |Star                                  |19 21 49.774 -14 58 27.57              |022.765233 -13.385304              |    -14.8 -19.2   |10.72    |~               |    ~     ~          |    0|                |                         |        |                   
6404|TYC 6301-1749-2                                                                                          |High Proper Motion Star               |19 22 15.646 -18 24 00.98              |019.595331 -14.901966              |    -61.1 -61.3   |10.06    |~               |    ~     ~          |    0|                |                         |        |                   
6405|TYC 6301-2204-2                                                                                          |Star                                  |19 22 19.938 -17 19 08.67              |020.621624 -14.473341              |    -13.3 -24.2   |10.39    |~               |    ~     ~          |    0|                |                         |        |                   
6406|TYC 5717-1333-2                                                                                          |Star                                  |19 22 35.950 -11 37 10.81              |025.957697 -12.122674              |        4.3 7.0   |10.63    |~               |    ~     ~          |    0|                |                         |        |                   
6407|TYC 5143-1802-2                                                                                          |High Proper Motion Star               |19 22 41.851 -07 07 40.51              |030.083534 -10.175278              |     -52.2 12.2   |9.59     |~               |    ~     ~          |    0|                |                         |        |                   
6408|TYC 5143-878-2                                                                                           |Star                                  |19 23 05.793 -06 53 13.49              |030.347422 -10.156860              |       2.2 -6.7   |10.85    |~               |    ~     ~          |    0|                |                         |        |                   
6409|TYC 5709-1560-2                                                                                          |Star                                  |19 23 15.811 -09 09 00.70              |028.300189 -11.194257              |      -4.1 -3.3   |10.33    |~               |    ~     ~          |    0|                |                         |        |                   
6410|TYC 5709-716-2                                                                                           |Star                                  |19 23 35.606602 -08 01 15.32906        |029.369528693 -10.770088370        |       2.7 -5.3   |10.99    |~               |    ~     ~          |    0|                |                         |        |                   
6411|BD-04 4793B                                                                                              |Star                                  |19 23 33.0200045189 -04 24 16.041672694|032.6502335420154 -09.1457020093752|  7.318 -16.688   |10.09    |~               |    ~     ~          |    1|  254.336   pc  |  -2.7880     +2.7880    |paral   |2018yCat.1345....0G
6412|BD-04 4794B                                                                                              |Star                                  |19 23 37.843143 -04 29 39.73806        |032.578076415 -09.204114205        |        5.4 1.2   |10.98    |~               |    ~     ~          |    0|                |                         |        |                   
6413|TYC 6297-834-2                                                                                           |Star                                  |19 23 36.946858 -15 36 09.91647        |022.364310810 -14.040103436        |      4.3 -16.9   |10.76    |~               |    ~     ~          |    0|                |                         |        |                   
6414|HD 182112B                                                                                               |High Proper Motion Star               |19 23 52.2114266472 -18 29 44.730934800|019.6662781807770 -15.2893994693571| 48.929 -18.591   |10.17    |~               |    ~     ~          |    1|   99.377   pc  |  -0.1778     +0.1778    |paral   |2020yCat.1350....0G
6415|HD 181350B                                                                                               |Star                                  |19 24 01.865843 -61 40 27.38830        |334.894529113 -27.467095287        |      16.7 -8.2   |10.42    |~               |    ~     ~          |    0|                |                         |        |                   
6416|TYC 9083-1384-2                                                                                          |Star                                  |19 24 01.174 -65 38 49.19              |330.431380 -27.866248              |     16.4 -39.6   |10.57    |~               |    ~     ~          |    0|                |                         |        |                   
6417|BD-08 4962B                                                                                              |Star                                  |19 24 17.982892 -08 12 41.23636        |029.274056526 -11.011058973        |      -1.8 -5.5   |10.47    |~               |    ~     ~          |    0|                |                         |        |                   
6418|HD 181978B                                                                                               |Star                                  |19 24 26.236495 -43 02 03.96701        |355.209858981 -23.861378253        |     -7.1 -40.7   |9.61     |~               |    ~     ~          |    0|                |                         |        |                   
6419|TYC 8761-1320-2                                                                                          |Star                                  |19 24 39.086 -53 22 49.18              |344.098194 -26.272763              |      0.0 -11.2   |9.43     |~               |    ~     ~          |    0|                |                         |        |                   
6420|TYC 9083-1430-2                                                                                          |Star                                  |19 24 56.635 -65 43 45.04              |330.347354 -27.967700              |      -0.2 14.2   |9.89     |~               |    ~     ~          |    0|                |                         |        |                   
6421|CD-57 7621B                                                                                              |Star                                  |19 25 02.656092 -56 58 43.17097        |340.144468546 -26.948618508        |     -7.9 -17.6   |10.78    |~               |    ~     ~          |    0|                |                         |        |                   
6422|BD-13 5344B                                                                                              |Star                                  |19 25 07.405646 -13 28 05.53398        |024.515478524 -13.471251613        |       -0.4 5.2   |10.37    |~               |    ~     ~          |    0|                |                         |        |                   
6423|TYC 9083-146-2                                                                                           |Star                                  |19 25 32.255860 -66 50 55.47343        |329.087088567 -28.107909584        |       1.5 -8.1   |10.97    |~               |    ~     ~          |    0|                |                         |        |                   
6424|TYC 7424-226-2                                                                                           |Star                                  |19 25 48.671 -30 06 25.74              |008.560977 -20.106809              |      -1.3 -6.3   |9.03     |~               |    ~     ~          |    0|                |                         |        |                   
6425|TYC 6884-804-2                                                                                           |Star                                  |19 26 20.025 -27 41 15.41              |011.006915 -19.354040              |      21.8 -0.4   |10.17    |~               |    ~     ~          |    0|                |                         |        |                   
6426|TYC 8761-1896-2                                                                                          |Star                                  |19 26 16.340 -53 21 45.44              |344.167752 -26.507033              |       8.1 -5.6   |10.93    |~               |    ~     ~          |    0|                |                         |        |                   
6427|TYC 8388-112-2                                                                                           |Star                                  |19 26 30.2496 -52 26 09.899            |345.1915959 -26.3683400            |  28.002 -0.113   |10.44    |~               |    ~     ~          |    0|                |                         |        |                   
6428|HD 182812B                                                                                               |High Proper Motion Star               |19 26 39.367432 -06 37 41.06990        |030.983294675 -10.832962586        |      54.8 -5.2   |10.07    |~               |    ~     ~          |    0|                |                         |        |                   
6429|CD-76 993B                                                                                               |Star                                  |19 26 49.261113 -76 43 20.93800        |317.878724437 -28.374122753        |        9.6 0.7   |10.76    |~               |    ~     ~          |    0|                |                         |        |                   
6430|CD-71 1544B                                                                                              |Star                                  |19 26 58.982694 -71 42 34.17958        |323.577887780 -28.430499251        |     12.9 -14.7   |10.74    |~               |    ~     ~          |    0|                |                         |        |                   
6431|TYC 8765-1501-2                                                                                          |Star                                  |19 27 29.102 -54 57 56.89              |342.434870 -26.961506              |     11.7 -10.3   |7.99     |~               |    ~     ~          |    0|                |                         |        |                   
6432|TYC 6888-1008-2                                                                                          |Star                                  |19 27 51.696 -29 29 55.54              |009.333961 -20.311223              |      6.9 -15.2   |8.85     |~               |    ~     ~          |    0|                |                         |        |                   
6433|HD 183148B                                                                                               |Star                                  |19 28 10.147043 -03 03 09.87408        |034.400253156 -09.561757289        |        1.3 0.0   |10.66    |~               |    ~     ~          |    0|                |                         |        |                   
6434|HD 183063B                                                                                               |High Proper Motion Star               |19 28 12.2496428328 -12 08 41.617560192|026.0759748222843 -13.5865041272320| 48.044 -65.477   |8.60     |~               |    ~     ~          |    1|   37.279   pc  |  -0.0741     +0.0741    |paral   |2020yCat.1350....0G
6435|HD 182749B                                                                                               |High Proper Motion Star               |19 28 20.446 -47 09 08.86              |351.007686 -25.552997              |    -15.8 -52.9   |10.97    |~               |    ~     ~          |    0|                |                         |        |                   
6436|HD 182751B                                                                                               |Star                                  |19 28 35.0850131200 -49 53 13.007080276|348.0503522986863 -26.1843040915069|   1.815 -8.344   |10.39    |~               |    ~     ~          |    1|  286.87    pc  |  -2.3042     +2.3042    |paral   |2020yCat.1350....0G
6437|HD 182839B                                                                                               |Star                                  |19 28 48.744511 -46 54 12.20180        |351.296829350 -25.574442405        |       -7.7 9.4   |10.70    |~               |    ~     ~          |    0|                |                         |        |                   
6438|HD 183347B                                                                                               |High Proper Motion Star               |19 29 37.828455 -12 38 47.80051        |025.761660645 -14.115539151        |    103.9 -36.2   |9.09     |~               |    ~     ~          |    0|                |                         |        |                   
6439|TYC 5734-824-2                                                                                           |Star                                  |19 29 42.589 -13 53 44.66              |024.601652 -14.661597              |        3.1 2.5   |9.88     |~               |    ~     ~          |    0|                |                         |        |                   
6440|TYC 5712-1233-1                                                                                          |Star                                  |19 16 23.125 -09 25 43.97              |027.286870 -09.792589              |    -25.0 -38.3   |10.59    |~               |    ~     ~          |    0|                |                         |        |                   
6441|BD-05 4926A                                                                                              |Star                                  |19 18 06.367560 -05 24 54.21930        |031.119743372 -08.389245819        |      1.0 -19.1   |9.69     |~               |    ~     ~          |    0|                |                         |        |                   
6442|HD 180310A                                                                                               |Star                                  |19 18 38.4243133332 -50 36 41.829211104|346.8846996052636 -24.7897061591013|  8.573 -19.516   |10.07    |~               |    ~     ~          |    1|  255.232   pc  |  -1.2377     +1.2377    |paral   |2020yCat.1350....0G
6443|TYC 8380-1860-1                                                                                          |Star                                  |19 19 09.3881 -48 25 22.225            |349.2449519 -24.3533699            |   0.299 -0.977   |8.67     |~               |    ~     ~          |    0|                |                         |        |                   
6444|BD-12 5357A                                                                                              |Star                                  |19 21 09.1871632123 -11 45 33.192841649|025.6726604014513 -11.8637089835793|   0.019 -9.302   |10.51    |A2              |    ~     ~          |    1|  856.531   pc  | -15.6266    +15.6266    |paral   |2020yCat.1350....0G
6445|TYC 6879-2038-1                                                                                          |Star                                  |19 23 14.8080 -26 13 46.529            |012.1721853 -18.1785847            | -2.702 -19.384   |9.87     |~               |    ~     ~          |    0|                |                         |        |                   
6446|HD 182021                                                                                                |Star                                  |19 23 26.7951528312 -17 59 43.725709320|020.0968795143217 -14.9933787029146|   3.549 -2.402   |8.63     |A2V             |    ~     ~          |    1|  488.496   pc  | -13.0052    +13.0052    |paral   |2020yCat.1350....0G
6447|BD-18 5340                                                                                               |Star                                  |19 23 27.8801062896 -18 00 06.433460532|020.0927433598973 -14.9998833090862|  0.179 -42.820   |9.52     |A2              |    ~     ~          |    1|  172.022   pc  |  -0.3877     +0.3877    |paral   |2020yCat.1350....0G
6448|BD-04 4793A                                                                                              |Star                                  |19 23 33.0027526355 -04 24 19.422279606|032.6493518059474 -09.1460613829481|  6.393 -16.889   |9.59     |~               |    ~     ~          |    1|  256.18    pc  |  -2.9335     +2.9335    |paral   |2018yCat.1345....0G
6449|TYC 8388-1394-1                                                                                          |Star                                  |19 24 56.876 -51 10 35.62              |346.513691 -25.883290              |       2.9 -6.2   |10.86    |~               |    ~     ~          |    0|                |                         |        |                   
6450|TYC 5730-1743-1                                                                                          |Star                                  |19 26 11.2290346056 -12 35 19.398945552|025.4468969261670 -13.3309873873035| 10.704 -12.424   |10.38    |~               |    ~     ~          |    1|  308.394   pc  |  -2.0258     +2.0258    |paral   |2020yCat.1350....0G
6451|TYC 8388-112-1                                                                                           |Star                                  |19 26 29.9870 -52 26 06.905            |345.1923657 -26.3675269            |  1.374 -13.796   |9.73     |~               |    ~     ~          |    0|                |                         |        |                   
6452|TYC 5135-1512-1                                                                                          |Star                                  |19 28 33.669 -03 44 16.12              |033.825635 -09.959496              |      31.4 15.6   |9.99     |~               |    ~     ~          |    0|                |                         |        |                   
6453|CD-29 16048A                                                                                             |Star                                  |19 22 23.4508236144 -28 57 39.585885336|009.4179758109640 -19.0045381138121|  -4.207 -0.938   |10.12    |~               |    ~     ~          |    1|  740.357   pc  |  -8.3315     +8.3315    |paral   |2020yCat.1350....0G
6454|BD-01 3710                                                                                               |Star                                  |19 19 38.2664301432 -01 05 40.127939664|035.1801490831801 -06.7722154045382|  -1.635 -7.034   |9.64     |~               |    ~     ~          |    1| 1240.387   pc  | -43.2335    +43.2335    |paral   |2020yCat.1350....0G
6455|BD-01 3709                                                                                               |Long-Period Variable Candidate        |19 19 27.3574914816 -01 03 10.427583204|035.1964786863186 -06.7127886920857|  -2.289 -2.391   |10.05    |~               |    ~     ~          |    1| 1520.68    pc  | -73.5366    +73.5366    |paral   |2020yCat.1350....0G
6456|TYC 5135-141-1                                                                                           |Star                                  |19 22 41.0340364368 -02 21 23.594041188|034.3976128433202 -08.0252232829087|   20.725 6.715   |10.80    |~               |    ~     ~          |    1|  278.971   pc  |  -7.7436     +7.7436    |paral   |2020yCat.1350....0G
6457|IRAS 19231-0304                                                                                          |Long-Period Variable Candidate        |19 25 48.1488824136 -02 58 06.644778600|034.2044486548197 -08.9970917013124|   -0.890 1.687   |10.56    |~               |    ~     ~          |    1|  898.311   pc  | -38.0887    +38.0887    |paral   |2020yCat.1350....0G
6458|IRAS 19214-0536                                                                                          |Star                                  |19 24 09.3592901568 -05 30 56.393003052|031.7126805523454 -09.7799753098012|  -0.790 -3.484   |10.51    |~               |    ~     ~          |    1| 1439.470   pc  | -61.7478    +61.7478    |paral   |2020yCat.1350....0G
6459|IRAS 19125-0714                                                                                          |Star                                  |19 15 15.5806822224 -07 09 38.200449780|029.2215184722683 -08.5376585715029|   3.530 -5.518   |10.49    |~               |    ~     ~          |    1| 1138.693   pc  | -35.9164    +35.9164    |paral   |2020yCat.1350....0G
6460|IRAS 19189-0712                                                                                          |Long-Period Variable Candidate        |19 21 36.0862667928 -07 06 24.791427036|029.9799051983369 -09.9223659539550|   0.450 -9.931   |10.61    |~               |    ~     ~          |    1| 1358.88    pc  | -66.8453    +66.8453    |paral   |2020yCat.1350....0G
6461|TYC 5143-1452-1                                                                                          |Star                                  |19 27 59.0294502048 -06 57 06.046962624|030.8372739800151 -11.2720703921852| 38.023 -29.318   |10.85    |~               |    ~     ~          |    1|  163.599   pc  |  -0.4282     +0.4282    |paral   |2020yCat.1350....0G
6462|BD-07 4901                                                                                               |Star                                  |19 15 43.7895849912 -07 32 37.519136268|028.9270273056097 -08.8126789924561|    4.027 3.731   |9.725    |~               |    ~     ~          |    1|  408.297   pc  |  -2.4339     +2.4339    |paral   |2020yCat.1350....0G
6463|IRAS 19156-0925                                                                                          |Star                                  |19 18 21.8080990392 -09 20 04.005389148|027.5910393901567 -10.1891100860571|  -0.574 -4.099   |10.67    |~               |    ~     ~          |    1| 1696.641   pc  |-104.4928   +104.4928    |paral   |2020yCat.1350....0G
6464|IRAS 19154-1138                                                                                          |Long-Period Variable Candidate        |19 18 15.2463341424 -11 33 01.142713764|025.5510470908447 -11.1334561817960|    0.074 1.526   |10.21    |~               |    ~     ~          |    1| 1967.34    pc  | -95.9868    +95.9868    |paral   |2020yCat.1350....0G
6465|IRAS 19125-1411                                                                                          |Star                                  |19 15 21.9575816304 -14 06 06.995894364|022.8931596486617 -11.5986902538331|    0.734 1.031   |10.99    |~               |    ~     ~          |    1| 2283.626   pc  |-159.5775   +159.5775    |paral   |2020yCat.1350....0G
6466|IRAS 19190-1456                                                                                          |Star                                  |19 21 53.9667618432 -14 50 21.648664932|022.8983440253634 -13.3436830748337|  -0.450 -7.126   |10.57    |~               |    ~     ~          |    1| 1307.873   pc  | -40.7107    +40.7107    |paral   |2020yCat.1350....0G
6467|TYC 6304-620-1                                                                                           |Star                                  |19 16 39.1485932784 -19 21 27.356966964|018.1322310868015 -14.0835190510852|   5.683 -7.645   |10.47    |~               |    ~     ~          |    1| 1474.057   pc  | -36.2865    +36.2865    |paral   |2020yCat.1350....0G
6468|IRAS 19234-1923                                                                                          |Star                                  |19 26 24.3555452664 -19 16 57.718194420|019.1704885036451 -16.1561572803798|  -0.355 -3.477   |10.91    |~               |    ~     ~          |    1| 2351.834   pc  |-133.8532   +133.8532    |paral   |2020yCat.1350....0G
