C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
85  |HD 181563                                                                                                |Star                                  |19 22 44.9109386304 -41 40 05.610163224|356.5480603419409 -23.1843416650411| 10.925 -28.989   |10.13    |G8/K0(III)      |    ~     ~          |    1|  428.578   pc  |  -2.3327     +2.3327    |paral   |2020yCat.1350....0G
86  |HD 181549                                                                                                |Rotating Variable                     |19 22 46.2295625112 -41 18 29.866226616|356.9246102874663 -23.0860341991260|  -7.517 -9.713   |10.33    |B9V             |    ~     ~          |    1|  727.220   pc  | -16.4472    +16.4472    |paral   |2020yCat.1350....0G
87  |HD 181621                                                                                                |Double or Multiple Star               |19 22 55.6220107200 -41 41 16.805109228|356.5376697611691 -23.2219051542807| 41.978 -79.224   |9.18     |G1/2V           |    ~     ~          |    1|  172.432   pc  | -15.8029    +15.8029    |paral   |2020yCat.1350....0G
88  |HD 181647                                                                                                |High Proper Motion Star               |19 23 07.6698210696 -41 08 22.662125736|357.1211943459688 -23.1022838475938| 47.590 -36.064   |10.37    |G6(V)           |    ~     ~          |    1|   88.715   pc  |  -0.1314     +0.1314    |paral   |2020yCat.1350....0G
89  |HD 182327                                                                                                |Star                                  |19 26 01.7995962696 -41 30 56.948070708|356.8944931673558 -23.7308456367003|  -1.605 -8.555   |9.73     |G6(IIIp)        |    ~     ~          |    1|  596.338   pc  |  -5.6899     +5.6899    |paral   |2020yCat.1350....0G
90  |CD-41 13517                                                                                              |High Proper Motion Star               |19 27 23.4023768880 -41 04 06.208471812|357.4415451897008 -23.8528834573717| 75.652 -16.574   |10.81    |G5              |    ~     ~          |    1|  170.681   pc  |  -0.4195     +0.4195    |paral   |2020yCat.1350....0G
91  |HD 182631                                                                                                |Star                                  |19 27 22.2366713712 -40 56 10.459681008|357.5792765268378 -23.8128203736846|   -0.135 2.523   |8.99     |G8II/III        |    ~     ~          |    1|  598.086   pc  |  -5.2941     +5.2941    |paral   |2020yCat.1350....0G
92  |HD 182747                                                                                                |Star                                  |19 27 58.7241711840 -40 46 32.291236920|357.7828107538126 -23.8788527624814|  4.978 -16.269   |9.81     |A8/F0V          |    ~     ~          |    1|  391.819   pc  |  -4.0069     +4.0069    |paral   |2020yCat.1350....0G
93  |V* V4139 Sgr                                                                                             |RS CVn Variable                       |19 28 05.5712761008 -40 50 04.982000136|357.7272346297603 -23.9159344882684| 31.693 -16.794   |8.445    |K2/3III         |    ~     ~          |    1|  285.421   pc  |  -3.3564     +3.3564    |paral   |2020yCat.1350....0G
94  |HD 182854                                                                                                |Star                                  |19 28 32.3133950208 -41 35 00.938398596|356.9632604434568 -24.2008709554253|  8.781 -20.627   |9.26     |F2/3IV          |    ~     ~          |    1|  345.244   pc  |  -1.8117     +1.8117    |paral   |2020yCat.1350....0G
