C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
115 |TYC 3349-1229-1                                                                                          |Star                           |05 05 03.2460262776 +48 12 49.589815932|159.6232543047406 +04.2721253694213|  -4.392 -1.180    |10.32    |~                 |    ~     ~    
116 |TYC 3349-1594-1                                                                                          |Star                           |05 05 58.3635674904 +48 14 52.011476448|159.6882850465300 +04.4147962538763|   -5.169 6.994    |10.87    |~                 |    ~     ~    
117 |TYC 3349-1908-1                                                                                          |Star                           |05 04 10.5570715056 +47 48 29.456526708|159.8584555146872 +03.9101347359307|  -0.589 -0.075    |9.96     |~                 |    ~     ~    
118 |TYC 3349-1921-1                                                                                          |Star                           |05 05 53.3846285328 +47 21 38.852134920|160.3908341051528 +03.8707855441440|  -1.988 -4.432    |10.80    |~                 |    ~     ~    
119 |TYC 3349-2052-1                                                                                          |Star                           |05 07 12.4399358088 +47 20 37.222300680|160.5386948857431 +04.0391184256094| 36.523 -22.890    |9.47     |G2IV              |    ~     ~    
120 |TYC 3349-2102-1                                                                                          |Double or Multiple Star        |05 09 51.728976 +47 13 11.51904        |160.906990161 +04.327449159        |      0.2 -10.1    |10.698   |~                 |    ~     ~    
121 |TYC 3349-2211-1                                                                                          |Star                           |05 05 22.5944105520 +47 45 24.015687696|160.0216650494292 +04.0398360021343| -5.402 -10.116    |10.55    |~                 |    ~     ~    
122 |TYC 3349-2299-1                                                                                          |Star                           |05 07 29.9681677224 +48 03 51.453064584|159.9885804678863 +04.5089746939797|   5.144 -5.194    |10.55    |~                 |    ~     ~    
123 |TYC 3349-2375-1                                                                                          |Star                           |05 06 07.9225701528 +47 08 48.763337100|160.5869510402179 +03.7750850042402|  -0.789 -2.030    |10.91    |~                 |    ~     ~    
124 |TYC 3349-2378-1                                                                                          |Star                           |05 06 51.5584901976 +47 07 30.311392872|160.6787865366011 +03.8609680194616|   2.783 -5.438    |10.86    |~                 |    ~     ~    
125 |TYC 3352-128-1                                                                                           |Star                           |05 01 32.5281283296 +48 53 51.914110452|158.7245061640192 +04.2251523505367|   2.446 -4.503    |10.32    |~                 |    ~     ~    
126 |TYC 3352-592-1                                                                                           |Star                           |05 02 08.0349454584 +49 29 13.865929800|158.3150950514760 +04.6612325221346|  7.341 -26.870    |10.54    |~                 |    ~     ~    
127 |TYC 3352-660-1                                                                                           |Star                           |05 00 14.3692650264 +49 10 46.664239296|158.3699667168597 +04.2289730203703| 14.257 -17.091    |10.76    |~                 |    ~     ~    
128 |TYC 3352-850-1                                                                                           |Star                           |05 00 14.2366789728 +49 00 45.253214244|158.5019655482407 +04.1261260996814| -10.109 -0.703    |10.95    |~                 |    ~     ~    
129 |TYC 3352-859-1                                                                                           |Star                           |05 02 27.8980677504 +49 42 03.964596012|158.1774736293217 +04.8339410718577|   6.138 -7.296    |9.55     |~                 |    ~     ~    
130 |TYC 3352-970-1                                                                                           |Star                           |05 01 37.8707746632 +49 10 06.091243248|158.5185317193336 +04.4019418188070|   1.465 -3.133    |9.96     |~                 |    ~     ~    
131 |TYC 3352-1114-1                                                                                          |Star                           |05 01 06.9980448504 +49 03 33.751349640|158.5534487918792 +04.2686948856423|  6.742 -24.566    |9.93     |~                 |    ~     ~    
132 |TYC 3352-1129-1                                                                                          |Star                           |05 02 42.1415173536 +49 01 32.948110884|158.7390400707273 +04.4541889661932|  6.025 -25.092    |10.78    |~                 |    ~     ~    
133 |TYC 3352-1140-1                                                                                          |Star                           |05 02 08.6815867368 +49 05 14.602326504|158.6342739142445 +04.4191522661818|   0.872 -1.889    |10.74    |~                 |    ~     ~    
134 |TYC 3352-1194-1                                                                                          |Star                           |05 02 41.7323667936 +49 01 53.163242328|158.7338860800986 +04.4567144213400|  1.410 -14.953    |10.43    |~                 |    ~     ~    
