C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
5122|TYC 2401-1245-1                                                                                          |Star                           |05 06 36.7450391760 +36 12 24.020812152|169.3823298186154 -02.7385246122839|  -9.323 -8.117    |10.99    |~                 |    ~     ~    
5123|TYC 2895-168-1                                                                                           |Star                           |05 06 33.3493719792 +39 03 34.567994628|167.0950082790742 -01.0316140489076|   6.487 -8.380    |10.90    |~                 |    ~     ~    
5124|TYC 2895-290-1                                                                                           |Spectroscopic Binary           |05 08 32.0950218960 +39 20 38.201153640|167.0974420344860 -00.5542792384422|   9.463 -6.959    |10.81    |~                 |    ~     ~    
5125|TYC 2895-291-1                                                                                           |Star                           |05 09 13.2370022760 +39 19 49.902138912|167.1873386323051 -00.4559025029251|  -0.577 -7.121    |10.71    |~                 |    ~     ~    
5126|TYC 2895-1036-1                                                                                          |Star                           |05 05 48.9138912720 +38 56 10.036752468|167.1068080502390 -01.2208573066182|  11.075 -0.254    |10.90    |~                 |    ~     ~    
5127|TYC 2895-1407-1                                                                                          |Star                           |05 00 18.9855611760 +37 57 16.757025264|167.2287549686216 -02.6725919541561|   7.407 -1.869    |10.84    |~                 |    ~     ~    
5128|TYC 2895-1880-1                                                                                          |Star                           |05 00 22.1583662016 +38 41 18.150200016|166.6563165962677 -02.2128481013880|  -5.260 -5.294    |10.66    |~                 |    ~     ~    
5129|TYC 2895-2262-1                                                                                          |Star                           |05 01 32.7836124912 +38 48 05.390495496|166.7080727485113 -01.9622523122842|   2.215 -6.209    |10.85    |~                 |    ~     ~    
5130|TYC 2895-2709-1                                                                                          |Star                           |05 08 39.7835975784 +38 55 39.086141268|167.4462541836803 -00.7831254254330|   0.426 -2.975    |10.87    |~                 |    ~     ~    
5131|TYC 2895-2783-1                                                                                          |Star                           |05 08 31.1346041448 +38 53 45.177122292|167.4548780672298 -00.8245154622656|   2.078 -9.879    |10.38    |~                 |    ~     ~    
5132|TYC 2895-2796-1                                                                                          |Star                           |05 08 32.5818246216 +38 21 12.093433632|167.8928004058733 -01.1448821752373| 10.453 -11.646    |10.80    |~                 |    ~     ~    
5133|TYC 2896-413-1                                                                                           |Star                           |05 12 02.0630252424 +39 03 46.368740160|167.7260960834535 -00.1755901819125|   5.689 -4.439    |10.80    |~                 |    ~     ~    
5134|TYC 2896-421-1                                                                                           |Star                           |05 10 49.3504864824 +39 08 31.844953320|167.5231578300189 -00.3183542314822|  5.752 -18.484    |10.78    |~                 |    ~     ~    
5135|TYC 2896-436-1                                                                                           |Star                           |05 11 20.6237950848 +37 53 33.552252960|168.5907799476810 -00.9756584018612|   2.122 -6.344    |10.77    |~                 |    ~     ~    
5136|TYC 2896-573-1                                                                                           |Star                           |05 14 26.5858244616 +38 38 57.112670544|168.3362812732424 -00.0388373711408|   2.127 -5.941    |10.62    |~                 |    ~     ~    
5137|TYC 2896-813-1                                                                                           |Star                           |05 14 14.0584143864 +38 25 56.656013664|168.4882977804091 -00.1987040917658|   3.370 -3.141    |10.69    |~                 |    ~     ~    
5138|TYC 2896-1044-1                                                                                          |Star                           |05 13 51.6143581632 +37 56 45.855311172|168.8396328193101 -00.5429306871637|   5.870 -2.645    |10.41    |~                 |    ~     ~    
5139|TYC 2896-1051-1                                                                                          |Star                           |05 13 28.1931015984 +38 41 31.159881024|168.1903742278835 -00.1677819866063|  -2.210 -3.373    |10.82    |~                 |    ~     ~    
5140|TYC 2896-1429-1                                                                                          |Star                           |05 11 38.0235736608 +38 47 50.241736392|167.8945124677626 -00.3952410896019|   3.083 -9.862    |10.71    |~                 |    ~     ~    
5141|TYC 2896-1444-1                                                                                          |Spectroscopic Binary           |05 12 39.4040407104 +38 34 46.536437820|168.1880471881146 -00.3623145086584|  7.107 -12.572    |10.95    |~                 |    ~     ~    
5142|TYC 2896-1549-1                                                                                          |Star                           |05 14 06.0132318024 +38 32 39.390576396|168.3822171984745 -00.1545392522518|  -4.080 -5.940    |10.88    |~                 |    ~     ~    
5143|TYC 2896-1781-1                                                                                          |Star                           |05 14 21.1967375088 +38 12 56.409119244|168.6777667082566 -00.3065042293322|   3.193 -8.215    |10.67    |~                 |    ~     ~    
5144|TYC 2896-1996-1                                                                                          |Star                           |05 10 00.4372137984 +38 01 19.176555792|168.3304380409205 -01.1112011260014|   4.139 -6.262    |10.57    |~                 |    ~     ~    
5145|TYC 2896-2076-1                                                                                          |Star                           |05 13 13.4081636712 +37 59 05.516810340|168.7346125994903 -00.6218502177566|  6.218 -26.465    |10.96    |~                 |    ~     ~    
5146|TYC 2899-47-1                                                                                            |Star                           |05 02 17.7444866784 +40 27 08.718145272|165.4909270813760 -00.8371504115428|  10.900 -4.910    |10.72    |~                 |    ~     ~    
5147|TYC 2899-260-1                                                                                           |Star                           |05 07 30.8521405656 +40 52 19.350493896|165.7566842227041 +00.2043878861756|  -1.227 -5.620    |10.39    |~                 |    ~     ~    
5148|TYC 2899-356-1                                                                                           |Star                           |05 02 22.5951280944 +40 26 01.706358768|165.5150641907717 -00.8363674961215|   1.177 -2.597    |10.74    |~                 |    ~     ~    
5149|TYC 2899-420-1                                                                                           |Star                           |05 01 35.4359117592 +39 33 34.803053388|166.1140807090825 -01.4906687280561|  4.035 -12.547    |10.82    |~                 |    ~     ~    
5150|TYC 2899-439-1                                                                                           |Star                           |05 00 48.0437219976 +41 04 22.576184976|164.8271775696169 -00.6800176839497|   1.777 -6.504    |10.93    |~                 |    ~     ~    
5151|TYC 2899-578-1                                                                                           |Star                           |05 01 52.1147814504 +41 10 20.031294216|164.8722934330052 -00.4603208488635|   1.696 -3.369    |10.99    |~                 |    ~     ~    
5152|IRAS 05038+4053                                                                                          |Star                           |05 07 16.9887399672 +40 57 31.235024664|165.6611893657101 +00.2214708823914|  -0.128 -1.556    |9.59     |~                 |    ~     ~    
5153|TYC 2899-844-1                                                                                           |Star                           |05 01 44.0324471736 +40 59 22.393098096|165.0010747745348 -00.5923516802493|   9.182 -4.718    |10.90    |~                 |    ~     ~    
5154|TYC 2899-859-1                                                                                           |Star                           |05 05 49.3530887496 +40 51 08.770628196|165.5798407492730 -00.0628383602870|  -0.450 -1.435    |10.33    |~                 |    ~     ~    
5155|TYC 2899-1156-1                                                                                          |Star                           |05 02 51.1355457048 +40 52 35.184602496|165.2197913562453 -00.4944775233565|   0.450 -2.677    |10.67    |~                 |    ~     ~    
5156|TYC 2899-1328-1                                                                                          |Star                           |05 02 14.2593431064 +40 58 57.026865612|165.0648821805505 -00.5215180904262|  3.289 -20.824    |10.91    |~                 |    ~     ~    
5157|TYC 2899-1344-1                                                                                          |Star                           |05 05 10.8469020168 +39 59 35.393480088|166.1905290325859 -00.6795588500167|  -0.750 -2.671    |10.92    |~                 |    ~     ~    
5158|TYC 2899-1380-1                                                                                          |Star                           |05 05 38.6374757808 +39 56 51.297032580|166.2804988236128 -00.6364384161330|  -0.586 -1.440    |10.12    |~                 |    ~     ~    
5159|TYC 2899-1535-1                                                                                          |Spectroscopic Binary           |05 01 48.3220750464 +40 19 39.461600136|165.5324246344821 -00.9873848340152|   0.738 -3.823    |10.82    |~                 |    ~     ~    
5160|TYC 2899-1541-1                                                                                          |Star                           |05 09 46.7958530232 +40 27 13.907689200|166.3487238098842 +00.2991647693420|  3.567 -10.372    |10.96    |~                 |    ~     ~    
5161|TYC 2899-1556-1                                                                                          |Star                           |05 00 32.4547697592 +40 39 14.173969068|165.1272018709232 -00.9766301638202|   20.060 7.675    |10.75    |~                 |    ~     ~    
5162|TYC 2899-1744-1                                                                                          |High Proper Motion Star        |05 04 41.3216665128 +40 24 00.131635944|165.8098592476420 -00.5078594288195|15.218 -114.611    |10.93    |~                 |    ~     ~    
5163|TYC 2899-1790-1                                                                                          |Emission-line Star             |05 08 43.4728493736 +39 43 48.901013328|166.8094746742418 -00.2941866455101|   0.687 -3.004    |10.90    |~                 |    ~     ~    
5164|TYC 2899-1878-1                                                                                          |High Proper Motion Star        |05 05 49.9921091976 +39 54 02.283579324|166.3398340458026 -00.6358720060995|-33.905 -131.300   |10.51    |~                 |    ~     ~    
5165|TYC 2899-1886-1                                                                                          |Star                           |05 03 54.6900766608 +39 43 07.635893448|166.2609125406844 -01.0396523782589|   8.516 -6.531    |10.93    |~                 |    ~     ~    
5166|TYC 2899-1891-1                                                                                          |Star                           |05 09 06.4904135232 +39 51 39.050967852|166.7486539372712 -00.1571229147115|    3.952 8.586    |10.92    |~                 |    ~     ~    
5167|TYC 2899-2082-1                                                                                          |Star                           |05 07 36.9748849416 +39 40 16.123102644|166.7292543764397 -00.5003509091570|  -5.296 -2.736    |10.99    |~                 |    ~     ~    
5168|TYC 2899-2083-1                                                                                          |Star                           |05 04 45.3621470400 +40 03 04.086380556|166.0951432171146 -00.7091546601534|   0.584 -2.750    |10.65    |~                 |    ~     ~    
5169|2MASS J05022839+4046159                                                                                  |Red Giant Branch star          |05 02 28.4027904672 +40 46 15.730763160|165.2594437406930 -00.6156194351616|   1.941 -2.618    |10.90    |~                 |    ~     ~    
5170|TYC 2899-2131-1                                                                                          |Star                           |05 07 39.6004258584 +39 42 35.258088636|166.7033712569743 -00.4704394863887|   1.283 -3.327    |10.95    |~                 |    ~     ~    
5171|TYC 2899-2145-1                                                                                          |Star                           |05 08 21.6356192208 +39 58 49.909979748|166.5670575657037 -00.2006234640538|  -24.736 1.897    |10.98    |~                 |    ~     ~    
5172|TYC 2899-2147-1                                                                                          |Star                           |05 09 32.0544818808 +39 37 10.479260424|166.9912225387708 -00.2351034250175|  12.145 -7.727    |10.73    |~                 |    ~     ~    
5173|TYC 2899-2153-1                                                                                          |Star                           |05 06 12.7283414568 +39 37 40.011207096|166.6013963399558 -00.7423938315762|   3.836 -5.396    |10.76    |~                 |    ~     ~    
5174|TYC 2899-2176-1                                                                                          |Star                           |05 09 10.4087273688 +40 24 47.172866220|166.3127476111130 +00.1821834449239|  0.857 -14.321    |10.62    |~                 |    ~     ~    
5175|TYC 2900-29-1                                                                                            |Star                           |05 13 58.1304501720 +41 11 01.935950316|166.2268788790824 +01.3697360482626|   5.003 -4.593    |10.76    |~                 |    ~     ~    
5176|TYC 2900-57-1                                                                                            |Star                           |05 11 16.9380275688 +41 08 36.874215420|165.9619936510644 +00.9371312695963| 20.587 -18.708    |10.74    |~                 |    ~     ~    
5177|TYC 2900-72-1                                                                                            |Star                           |05 10 55.1752470888 +40 34 09.045250140|166.3844761743135 +00.5419420418844|  -2.471 -4.130    |10.99    |~                 |    ~     ~    
5178|TYC 2900-230-1                                                                                           |Star                           |05 11 16.1016683232 +40 45 18.141004368|166.2737932453576 +00.7052497361846|  -0.156 -1.336    |10.56    |~                 |    ~     ~    
5179|TYC 2900-261-1                                                                                           |Star                           |05 10 53.4354160680 +40 58 58.848023892|166.0477427680095 +00.7825968361975|  -2.436 -0.207    |10.89    |~                 |    ~     ~    
5180|TYC 2900-285-1                                                                                           |Star                           |05 12 07.4519491872 +41 14 23.986629492|165.9776664582709 +01.1218927106331|   9.063 -5.582    |10.86    |~                 |    ~     ~    
5181|TYC 2900-380-1                                                                                           |Star                           |05 14 22.3099621104 +40 17 19.216556844|166.9978533717827 +00.9081665714423|    5.063 4.298    |10.84    |~                 |    ~     ~    
5182|TYC 2900-393-1                                                                                           |Star                           |05 12 42.5189173896 +40 56 34.561446144|166.2826776071228 +01.0360235225402|   1.302 -2.949    |10.20    |~                 |    ~     ~    
5183|TYC 2900-572-1                                                                                           |Star                           |05 13 15.9546769320 +40 30 00.318045888|166.7031322802202 +00.8613046092102|   5.936 -0.088    |10.32    |~                 |    ~     ~    
5184|TYC 2900-652-1                                                                                           |Star                           |05 12 33.6625213752 +39 49 37.272832536|167.1685625599594 +00.3567695765221|   2.676 -7.854    |10.37    |~                 |    ~     ~    
5185|TYC 2900-762-1                                                                                           |Star                           |05 14 07.1670359592 +39 52 14.873334240|167.3086405722074 +00.6246574524926|   7.406 -8.685    |10.10    |~                 |    ~     ~    
5186|TYC 2900-863-1                                                                                           |Star                           |05 12 43.4499070344 +40 58 59.788438968|166.2517663253493 +01.0621152098473|   2.824 -8.498    |10.80    |~                 |    ~     ~    
5187|TYC 2900-1420-1                                                                                          |Star                           |05 11 07.9770876048 +39 44 20.153352012|167.0777535367000 +00.0832954029095|   3.243 -2.671    |10.88    |~                 |    ~     ~    
5188|TYC 2900-1423-1                                                                                          |Star                           |05 14 20.8184561448 +39 46 25.867399116|167.4128348785655 +00.6034007920249|  -3.672 -4.680    |10.92    |~                 |    ~     ~    
5189|TYC 2900-1804-1                                                                                          |Star                           |05 14 59.0717328744 +39 49 54.888629088|167.4371881710500 +00.7367134255374|   2.763 -4.704    |10.41    |~                 |    ~     ~    
5190|TYC 2900-1841-1                                                                                          |Star                           |05 13 39.9622657536 +39 46 48.221806728|167.3312183779068 +00.5009561541884|  -1.425 -5.342    |10.73    |~                 |    ~     ~    
5191|TYC 2900-1904-1                                                                                          |Star                           |05 10 56.8328569344 +39 46 59.897434368|167.0208599975819 +00.0807954434629|    0.362 2.716    |10.90    |~                 |    ~     ~    
5192|TYC 2900-1905-1                                                                                          |Star                           |05 13 53.5533339360 +39 40 40.545942924|167.4395079408910 +00.4764201894827|   1.883 -2.221    |10.93    |~                 |    ~     ~    
5193|TYC 2903-293-1                                                                                           |Star                           |05 06 45.4774807128 +42 19 48.837061596|164.5059337256560 +00.9673517553224|   1.378 -3.130    |10.90    |~                 |    ~     ~    
5194|TYC 2903-391-1                                                                                           |Star                           |05 05 55.0886881944 +43 01 15.683610540|163.8614457594839 +01.2602858214396|   1.018 -4.751    |10.91    |~                 |    ~     ~    
5195|TYC 2903-705-1                                                                                           |Star                           |05 00 03.0529845504 +42 43 46.641311508|163.4363457843606 +00.2308746848595| -0.003 -10.652    |10.65    |~                 |    ~     ~    
5196|TYC 2903-721-1                                                                                           |Star                           |05 00 53.9257345896 +42 32 49.840612872|163.6761238959693 +00.2413079801761|   3.407 -5.379    |10.96    |~                 |    ~     ~    
5197|TYC 2903-870-1                                                                                           |Star                           |05 07 36.5540818824 +41 20 38.571121068|165.3897420821292 +00.5018248236871|   1.399 -4.896    |10.52    |~                 |    ~     ~    
5198|TYC 2903-941-1                                                                                           |Star                           |05 04 48.5276663232 +42 42 38.072722248|163.9858295777946 +00.9106689545587|   5.618 -9.169    |10.76    |~                 |    ~     ~    
5199|TYC 2903-946-1                                                                                           |High Proper Motion Star        |05 05 25.7165771976 +41 22 32.603113416|165.1180480896059 +00.1942270761320|82.646 -111.986    |10.25    |~                 |    ~     ~    
5200|TYC 2903-968-1                                                                                           |Star                           |05 02 54.6301638168 +41 36 08.648217648|164.6514971455372 -00.0426021731519|   -0.058 0.428    |10.64    |~                 |    ~     ~    
5201|TYC 2903-992-1                                                                                           |Star                           |05 05 43.8328472016 +41 42 03.605607900|164.8930274192133 +00.4358170651829|   0.504 -2.135    |10.42    |~                 |    ~     ~    
5202|TYC 2903-1644-1                                                                                          |Star                           |05 00 48.3644926512 +42 01 35.314393080|164.0760891096277 -00.0925373242717| 10.029 -21.307    |10.31    |~                 |    ~     ~    
5203|TYC 2903-1653-1                                                                                          |Star                           |05 04 12.2014469160 +42 46 35.335192836|163.8659866375997 +00.8622865469091|   3.532 -8.238    |10.76    |~                 |    ~     ~    
5204|TYC 2903-1886-1                                                                                          |Star                           |05 09 31.0955736696 +42 35 34.101227256|164.6001307421916 +01.5323699350716| -1.367 -13.033    |10.80    |~                 |    ~     ~    
5205|TYC 2903-1956-1                                                                                          |Star                           |05 09 12.0074127912 +41 53 36.863971260|165.1269474966303 +01.0686875519284|  -0.664 -0.111    |10.39    |~                 |    ~     ~    
5206|TYC 2903-2058-1                                                                                          |Star                           |05 03 15.6457878192 +42 03 06.583180752|164.3351913396684 +00.2832703672692| -0.889 -14.739    |10.95    |~                 |    ~     ~    
5207|TYC 2903-2075-1                                                                                          |Star                           |05 01 13.8713356104 +43 02 47.584185180|163.3197006888607 +00.5963599340581|   -4.040 1.587    |10.66    |~                 |    ~     ~    
5208|TYC 2903-2136-1                                                                                          |Star                           |05 09 04.3983953208 +41 50 31.588298196|165.1542011647069 +01.0190529211923|  -1.960 -0.403    |10.64    |~                 |    ~     ~    
5209|TYC 2903-2140-1                                                                                          |Star                           |05 07 16.5847271448 +42 08 57.036917688|164.7083439622724 +00.9352516481197|   2.405 -0.908    |10.55    |~                 |    ~     ~    
5210|TYC 2904-102-1                                                                                           |Star                           |05 10 21.1377091440 +42 48 21.886165188|164.5195525071258 +01.7823296748476|  -0.745 -5.059    |10.79    |~                 |    ~     ~    
5211|TYC 2904-154-1                                                                                           |Star                           |05 13 28.5670622016 +42 50 00.362547312|164.8352398867373 +02.2612276969285| -1.500 -10.737    |10.71    |~                 |    ~     ~    
5212|TYC 2904-327-1                                                                                           |Spectroscopic Binary           |05 13 34.2022919784 +41 53 34.792261872|165.6080818211772 +01.7244193491595|  -6.871 -5.405    |10.98    |~                 |    ~     ~    
5213|TYC 2904-334-1                                                                                           |Star                           |05 12 08.0812964280 +41 51 49.908380544|165.4746403177283 +01.4910961778572|   3.077 -7.244    |10.56    |~                 |    ~     ~    
5214|TYC 2904-802-1                                                                                           |Star                           |05 13 49.6384355016 +42 06 33.274411236|165.4606877987976 +01.8897765583905|   2.856 -3.400    |10.90    |~                 |    ~     ~    
5215|TYC 2904-866-1                                                                                           |Star                           |05 12 52.7140142544 +42 41 36.556392300|164.8843204607274 +02.0903240349885| -0.787 -11.680    |10.10    |~                 |    ~     ~    
5216|TYC 2904-1261-1                                                                                          |Star                           |05 14 54.4027262520 +41 33 45.880441380|166.0220043637584 +01.7338241705301|  -0.818 -1.332    |10.87    |~                 |    ~     ~    
5217|TYC 2904-1274-1                                                                                          |Star                           |05 12 49.2550836792 +41 35 06.382786056|165.7754721744714 +01.4306037841846|  -3.288 -1.013    |10.77    |~                 |    ~     ~    
5218|TYC 2904-1497-1                                                                                          |Star                           |05 14 17.7734078712 +41 42 27.195301512|165.8377593832321 +01.7256921684832|   2.772 -1.858    |10.51    |~                 |    ~     ~    
5219|TYC 2904-1549-1                                                                                          |Star                           |05 11 59.6965500312 +41 54 35.310356712|165.4221758950678 +01.4971595036069|   4.284 -5.804    |10.63    |~                 |    ~     ~    
5220|TYC 2907-26-1                                                                                            |Star                           |05 04 37.0000242000 +43 25 31.111225032|163.3959700649739 +01.3159749032945|  -1.780 -2.048    |10.89    |~                 |    ~     ~    
5221|TYC 2907-91-1                                                                                            |Star                           |05 09 33.8055143232 +44 58 26.596392852|162.6887015363148 +02.9545645010428|   5.429 -4.919    |10.92    |~                 |    ~     ~    
5222|TYC 2907-167-1                                                                                           |Star                           |05 05 49.3486455768 +44 25 47.760368448|162.7268076462991 +02.0963780777011|  -0.703 -1.350    |10.64    |~                 |    ~     ~    
5223|TYC 2907-169-1                                                                                           |Star                           |05 05 25.7469698736 +44 38 07.949436648|162.5204149105413 +02.1645678605806|   3.315 -7.265    |10.99    |~                 |    ~     ~    
5224|TYC 2907-267-1                                                                                           |Star                           |05 05 02.5789747224 +44 51 21.242877336|162.3032545403021 +02.2431172523146|    0.401 2.940    |10.91    |~                 |    ~     ~    
5225|TYC 2907-289-1                                                                                           |Star                           |05 04 25.1229584352 +44 46 21.221045976|162.3025378190742 +02.1045448387553|   6.659 -7.062    |10.32    |~                 |    ~     ~    
5226|TYC 2907-310-1                                                                                           |Star                           |05 08 39.4120202112 +44 08 01.289188716|163.2685131655691 +02.3246233229475|   1.953 -3.685    |10.71    |~                 |    ~     ~    
5227|TYC 2907-330-1                                                                                           |Star                           |05 08 07.4086172352 +44 14 16.031666436|163.1278014132504 +02.3100696985484|   2.094 -4.713    |10.57    |~                 |    ~     ~    
5228|TYC 2907-394-1                                                                                           |Star                           |05 08 01.2418040856 +43 23 41.896123080|163.7926664192874 +01.7912198779425|  -2.970 -4.425    |10.25    |~                 |    ~     ~    
5229|TYC 2907-413-1                                                                                           |Star                           |05 09 58.4589708720 +44 34 37.407741024|163.0519550848969 +02.7776447349701|  -4.718 -1.601    |10.82    |~                 |    ~     ~    
5230|TYC 2907-489-1                                                                                           |Star                           |05 02 24.2304298464 +44 36 02.087672328|162.2209374846574 +01.7157261279183|  -0.441 -0.865    |10.85    |~                 |    ~     ~    
5231|TYC 2907-492-1                                                                                           |Star                           |05 07 44.0428871016 +43 46 32.638767024|163.4563886681867 +01.9775359263216| -0.040 -42.906    |10.58    |~                 |    ~     ~    
5232|TYC 2907-535-1                                                                                           |Star                           |05 05 39.1493812632 +44 50 28.644004212|162.3802143835737 +02.3203877330659|   0.484 -4.341    |10.96    |~                 |    ~     ~    
5233|TYC 2907-539-1                                                                                           |Star                           |05 00 25.5254754336 +44 24 39.911574024|162.1541296930457 +01.3209183962311|  -4.728 -5.762    |10.70    |~                 |    ~     ~    
5234|TYC 2907-590-1                                                                                           |Star                           |05 04 37.2495761160 +44 10 30.783823140|162.7997690370432 +01.7711323253112|  9.522 -18.419    |10.96    |~                 |    ~     ~    
5235|TYC 2908-448-1                                                                                           |Star                           |05 12 57.7459733232 +43 18 25.186548384|164.3962006054428 +02.4628068621873|  7.729 -10.817    |10.69    |~                 |    ~     ~    
5236|BD+44 1124                                                                                               |Star                           |05 12 32.1297008832 +44 35 47.760173412|163.3055743603309 +03.1573494885668|  -7.250 11.082    |10.39    |~                 |    ~     ~    
5237|TYC 2908-629-1                                                                                           |Star                           |05 12 59.6605416264 +44 31 06.926759328|163.4168649735250 +03.1778107330192|   3.381 -3.006    |10.55    |~                 |    ~     ~    
5238|TYC 2908-688-1                                                                                           |Star                           |05 12 15.8286123384 +43 25 35.594880384|164.2247023029821 +02.4302898940193|   3.393 -5.473    |10.77    |~                 |    ~     ~    
5239|TYC 2908-888-1                                                                                           |Star                           |05 11 41.4106878312 +43 31 40.718492940|164.0813207006059 +02.4059133527337|   1.968 -1.409    |10.27    |~                 |    ~     ~    
5240|TYC 2908-1298-1                                                                                          |Star                           |05 13 02.9774949552 +43 58 21.381608784|163.8657089217372 +02.8658862806124|   1.226 -7.645    |10.26    |~                 |    ~     ~    
5241|TYC 2908-1376-1                                                                                          |Star                           |05 13 17.9222500992 +43 10 57.049980636|164.5330722288468 +02.4394326694672|    6.720 0.693    |10.84    |~                 |    ~     ~    
5242|TYC 2908-1467-1                                                                                          |Star                           |05 12 24.1609539432 +44 18 19.697143392|163.5276259530472 +02.9672139991861|  -0.636 -1.715    |10.48    |~                 |    ~     ~    
5243|TYC 2908-1505-1                                                                                          |Star                           |05 12 15.9552121968 +44 10 52.485327048|163.6138577338693 +02.8743953700650|  -3.450 -3.456    |10.94    |~                 |    ~     ~    
5244|TYC 2908-1520-1                                                                                          |Star                           |05 12 34.8804624360 +44 01 48.734916816|163.7695424832129 +02.8314765420761|   0.513 -2.769    |10.69    |~                 |    ~     ~    
5245|TYC 2908-1588-1                                                                                          |Star                           |05 10 45.9808126968 +44 26 23.709811164|163.2463140057822 +02.8102188814027| -1.683 -16.107    |10.92    |~                 |    ~     ~    
5246|TYC 3344-72-1                                                                                            |Star                           |05 03 30.9606678720 +45 16 41.151803340|161.8036614160738 +02.2848118049025|  -1.353 -3.517    |10.82    |~                 |    ~     ~    
5247|TYC 3344-128-1                                                                                           |Star                           |05 02 12.9978325344 +46 16 51.469579344|160.8696697252680 +02.7165360201052|    4.205 2.455    |10.53    |~                 |    ~     ~    
5248|TYC 3344-300-1                                                                                           |Star                           |05 02 51.9208517808 +45 24 52.702347528|161.6255958283454 +02.2772847696114|   1.184 -4.195    |10.76    |~                 |    ~     ~    
5249|TYC 3344-365-1                                                                                           |Star                           |05 00 03.7304611896 +45 59 48.606893268|160.8650281492764 +02.2475016334000|  -0.016 -2.360    |10.61    |~                 |    ~     ~    
5250|TYC 3344-482-1                                                                                           |Spectroscopic Binary           |05 01 12.1942837536 +46 20 50.711517420|160.7098328631881 +02.6188383539246|   2.719 -7.054    |10.95    |~                 |    ~     ~    
5251|TYC 3344-878-1                                                                                           |Star                           |05 01 46.8582618024 +45 56 17.016424440|161.0950421731246 +02.4471017365310|  -3.752 -5.973    |10.76    |~                 |    ~     ~    
5252|TYC 3344-1010-1                                                                                          |Star                           |05 01 31.4985466920 +45 45 17.850109212|161.2125793591577 +02.2997166150230|  -1.184 -8.264    |10.70    |~                 |    ~     ~    
5253|TYC 3344-1173-1                                                                                          |Star                           |05 03 25.2906050952 +45 34 04.506201156|161.5633344115858 +02.4479449009161|   0.957 -5.528    |10.96    |~                 |    ~     ~    
5254|TYC 3345-388-1                                                                                           |Star                           |05 04 13.1392278768 +46 05 32.288974944|161.2306989809825 +02.8767447264573|   0.968 -9.389    |10.85    |~                 |    ~     ~    
5255|TYC 3345-691-1                                                                                           |Star                           |05 14 35.1511900440 +46 25 13.580211504|162.0316464726730 +04.5137534516588|   2.462 -7.363    |10.36    |~                 |    ~     ~    
5256|TYC 3345-752-1                                                                                           |Horizontal Branch Star         |05 11 24.5103142104 +45 44 07.469045520|162.2657445821091 +03.6662010406903|   1.290 -4.116    |10.98    |~                 |    ~     ~    
5257|TYC 3345-1097-1                                                                                          |Star                           |05 14 18.6355995336 +46 24 32.230558008|162.0133797222330 +04.4684635810269|   3.448 -6.520    |10.91    |~                 |    ~     ~    
5258|TYC 3345-1321-1                                                                                          |Star                           |05 14 09.7827472776 +46 24 40.019783616|161.9967815567815 +04.4490291531068| -5.832 -14.906    |10.76    |~                 |    ~     ~    
5259|TYC 3345-1346-1                                                                                          |Star                           |05 04 31.5473812128 +45 59 04.876354572|161.3487216835810 +02.8539140753559|  -2.024 -4.132    |10.61    |~                 |    ~     ~    
5260|TYC 3345-1458-1                                                                                          |Star                           |05 05 39.3725991072 +45 25 06.975291360|161.9196997428768 +02.6691296261403|  10.605 -8.745    |10.40    |~                 |    ~     ~    
5261|TYC 3345-1548-1                                                                                          |Star                           |05 09 20.6487841704 +45 40 16.279815360|162.1040615754581 +03.3375902679052| -2.501 -18.346    |10.81    |~                 |    ~     ~    
5262|TYC 3345-1564-1                                                                                          |Star                           |05 13 35.3800379616 +45 31 35.212622052|162.6594346395455 +03.8525731639938|  8.165 -28.639    |10.67    |~                 |    ~     ~    
5263|TYC 3345-1744-1                                                                                          |Star                           |05 05 04.7244725448 +45 45 14.486734368|161.5909219543228 +02.7910495759457|  -1.802 -9.422    |10.97    |~                 |    ~     ~    
5264|TYC 3345-1879-1                                                                                          |Spectroscopic Binary           |05 11 48.5474001912 +46 16 52.852128924|161.8642426970792 +04.0435794382753|   0.905 -5.161    |10.60    |~                 |    ~     ~    
5265|TYC 3345-1906-1                                                                                          |Star                           |05 13 27.0319177681 +45 28 10.161769113|162.6915077104766 +03.7995201767063|   1.905 -9.782    |10.67    |~                 |    ~     ~    
5266|TYC 3345-1946-1                                                                                          |High Proper Motion Star        |05 08 29.3891498208 +45 29 14.086888152|162.1630328455982 +03.1079914895821| 17.521 -82.673    |10.86    |~                 |    ~     ~    
5267|TYC 3345-1950-1                                                                                          |Star                           |05 07 13.1225666928 +45 29 16.709186184|162.0291109278251 +02.9298145201069|   1.632 -8.112    |10.94    |~                 |    ~     ~    
5268|TYC 3345-2102-1                                                                                          |Star                           |05 09 52.5371362800 +45 53 05.545855932|161.9868022249997 +03.5389561733331|  -0.831 -2.442    |10.99    |~                 |    ~     ~    
