C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
5197|TYC 2243-93-1                                                                                            |Star                                |23 04 04.3486899192 +28 04 12.031595040|095.8086337305201 -29.0865452930260|   5.719 -8.507  |10.12    |~                   |    ~     ~    |    1|  715.205   pc  |  -6.5986     +6.5986  |paral   |2020yCat.1350....0G
5198|HD 218535B                                                                                               |Star                                |23 07 21.5034202824 +70 39 41.081172372|114.4614997352826 +09.5209980373161| 39.463 -20.879  |9.71     |~                   |    ~     ~    |    1|  262.591   pc  |  -2.8961     +2.8961  |paral   |2020yCat.1350....0G
5199|TYC 4010-2148-1                                                                                          |Star                                |23 09 22.9892996160 +59 20 15.275884992|110.2408214026956 -00.9960226627083|  -2.655 -2.205  |10.88    |~                   |    ~     ~    |    1| 2746.498   pc  |-106.3599   +106.3599  |paral   |2020yCat.1350....0G
5200|HD 218375B                                                                                               |Star                                |23 06 28.5425659162 +61 26 26.304603075|110.7268463408993 +01.0813599549864| 30.603 -22.025  |10.27    |~                   |    ~     ~    |    1|  110.653   pc  |  -0.4162     +0.4162  |paral   |2020yCat.1350....0G
5201|TYC 3985-1537-2                                                                                          |Star                                |23 01 15.908 +52 38 55.23              |106.524542 -06.677674              |       1.6 -1.5  |10.50    |~                   |    ~     ~    |    0|                |                       |        |                   
5202|TYC 3622-2238-2                                                                                          |Star                                |23 01 23.997 +46 38 16.93              |104.002332 -12.149604              |    -19.9 -21.9  |9.78     |~                   |    ~     ~    |    0|                |                       |        |                   
5203|V* AY And B                                                                                              |Star                                |23 01 36.930717 +52 51 21.17168        |106.659419369 -06.510961530        |        0.7 3.2  |10.46    |~                   |    ~     ~    |    0|                |                       |        |                   
5204|TYC 3224-1968-2                                                                                          |Star                                |23 02 45.4689 +41 44 28.370            |102.0950658 -16.6914188            | -2.760 -14.470  |10.96    |~                   |    ~     ~    |    0|                |                       |        |                   
5205|TYC 4286-84-2                                                                                            |Star                                |23 02 43.896 +64 07 32.61              |111.410336 +03.713142              |       5.4 -3.8  |10.30    |~                   |    ~     ~    |    0|                |                       |        |                   
5206|TYC 3626-1690-2                                                                                          |Star                                |23 03 23.594 +48 16 41.99              |105.011227 -10.798120              |       8.2 -8.3  |10.65    |~                   |    ~     ~    |    0|                |                       |        |                   
5207|TYC 2235-1425-2                                                                                          |Star                                |23 03 47.621 +23 09 17.82              |093.035681 -33.393112              |    -21.1 -30.4  |10.30    |~                   |    ~     ~    |    0|                |                       |        |                   
5208|BD+28 4513B                                                                                              |Star                                |23 03 48.730772 +28 51 18.85939        |096.161453568 -28.362575831        |       8.7 -4.4  |10.86    |~                   |    ~     ~    |    0|                |                       |        |                   
5209|BD+24 4703A                                                                                              |High Proper Motion Star             |23 03 53.015875 +25 12 09.26117        |094.216362396 -31.603764996        |       51.0 1.1  |10.70    |~                   |    ~     ~    |    0|                |                       |        |                   
5210|V* RW Peg B                                                                                              |Star                                |23 04 11.468993 +15 18 11.93015        |088.193949388 -40.225464031        |     -10.7 -7.3  |10.32    |~                   |    ~     ~    |    0|                |                       |        |                   
5211|TYC 582-408-2                                                                                            |Star                                |23 04 16.586 +07 12 29.52              |081.991906 -46.967329              |     -6.3 -37.5  |10.45    |~                   |    ~     ~    |    0|                |                       |        |                   
5212|TYC 2235-166-2                                                                                           |Star                                |23 04 37.576499 +23 43 54.71473        |093.566522351 -32.978463779        |     -4.9 -18.8  |10.71    |~                   |    ~     ~    |    0|                |                       |        |                   
5213|TYC 2235-874-2                                                                                           |Star                                |23 04 44.178 +23 53 21.63              |093.682208 -32.851970              |      3.8 -10.8  |10.66    |~                   |    ~     ~    |    0|                |                       |        |                   
5214|TYC 4286-80-2                                                                                            |Star                                |23 04 46.659 +64 05 25.16              |111.600776 +03.590566              |      -1.4 -4.7  |9.41     |~                   |    ~     ~    |    0|                |                       |        |                   
5215|TYC 2754-1607-2                                                                                          |Star                                |23 05 01.155 +33 23 06.20              |098.683205 -24.427211              |       19.0 0.9  |8.43     |~                   |    ~     ~    |    0|                |                       |        |                   
5216|TYC 3228-1229-2                                                                                          |Star                                |23 05 14.793045 +44 34 24.50450        |103.749790598 -14.307008034        |      -0.9 -8.6  |10.93    |~                   |    ~     ~    |    0|                |                       |        |                   
5217|TYC 3623-2070-2                                                                                          |Star                                |23 05 30.119 +46 43 14.84              |104.692919 -12.365131              |      -6.4 -3.6  |9.35     |~                   |    ~     ~    |    0|                |                       |        |                   
5218|TYC 4282-406-2                                                                                           |Star                                |23 05 39.849729 +62 40 28.04814        |111.127154382 +02.252357303        |      -7.2 -4.2  |10.80    |~                   |    ~     ~    |    0|                |                       |        |                   
5219|BD+39 5004B                                                                                              |Star                                |23 05 44.718349 +40 32 10.25722        |102.099065638 -18.021243677        |      -6.7 -2.0  |10.91    |~                   |    ~     ~    |    0|                |                       |        |                   
5220|HD 236041A                                                                                               |High Proper Motion Star             |23 06 09.8385946200 +51 10 40.343423304|106.6175674831102 -08.3285179661690|105.165 -16.720  |10.44    |~                   |    ~     ~    |    1|  100.873   pc  |  -0.1506     +0.1506  |paral   |2020yCat.1350....0G
5221|TYC 4278-549-2                                                                                           |Star                                |23 06 47.136550 +60 39 33.96408        |110.454298363 +00.348271528        |      -0.8 -8.8  |10.84    |~                   |    ~     ~    |    0|                |                       |        |                   
5222|TYC 3631-1244-2                                                                                          |Star                                |23 06 58.263737 +50 07 57.15376        |106.315395114 -09.338431029        |       5.0 -4.7  |10.98    |~                   |    ~     ~    |    0|                |                       |        |                   
5223|TYC 4605-334-2                                                                                           |Star                                |23 06 54.575 +78 34 25.92              |117.703144 +16.777649              |      10.6 -6.0  |10.89    |~                   |    ~     ~    |    0|                |                       |        |                   
5224|HD 218439B                                                                                               |Star                                |23 07 10.036454 +60 49 56.49303        |110.564948385 +00.489106095        |     -4.5 -12.8  |9.19     |~                   |    ~     ~    |    0|                |                       |        |                   
5225|TYC 3228-50-2                                                                                            |Star                                |23 07 42.192 +44 35 33.47              |104.170471 -14.467204              |      34.3 -3.0  |10.99    |~                   |    ~     ~    |    0|                |                       |        |                   
5226|HD 218430B                                                                                               |Star                                |23 07 48.113215 +12 40 23.80440        |087.330506455 -42.921231911        |    -17.4 -14.2  |9.67     |~                   |    ~     ~    |    0|                |                       |        |                   
5227|TYC 3220-2624-2                                                                                          |Star                                |23 07 53.068089 +39 58 23.81552        |102.245479276 -18.702508646        |      1.3 -35.1  |10.73    |~                   |    ~     ~    |    0|                |                       |        |                   
5228|TYC 2751-1164-2                                                                                          |Star                                |23 08 20.267 +30 27 34.40              |097.967173 -27.366499              |      -5.6 -4.4  |10.03    |~                   |    ~     ~    |    0|                |                       |        |                   
5229|HD 218539B                                                                                               |High Proper Motion Star             |23 08 42.920535 +15 32 53.50072        |089.585873534 -40.579342235        |      58.7 32.0  |10.58    |~                   |    ~     ~    |    0|                |                       |        |                   
5230|TYC 4279-1727-2                                                                                          |Star                                |23 09 41.691 +60 41 40.77              |110.796326 +00.242778              |      -4.1 -7.0  |10.29    |~                   |    ~     ~    |    0|                |                       |        |                   
5231|TYC 3228-1069-2                                                                                          |Star                                |23 09 53.522 +44 46 30.27              |104.614058 -14.454682              |     34.0 -13.2  |10.32    |~                   |    ~     ~    |    0|                |                       |        |                   
5232|HD 218740B                                                                                               |Star                                |23 09 54.8041494061 +44 51 52.314126951|104.6540381950049 -14.3739505884033|   3.739 -4.191  |10.33    |~                   |    ~     ~    |    1|  452.96    pc  | -20.2711    +20.2711  |paral   |2020yCat.1350....0G
5233|TYC 3635-2362-2                                                                                          |Star                                |23 10 04.078 +51 58 19.96              |107.495505 -07.835235              |        1.6 2.2  |9.95     |~                   |    ~     ~    |    0|                |                       |        |                   
5234|V* GU Cep B                                                                                              |Star                                |23 10 10.857581 +61 14 29.86248        |111.059474534 +00.725905610        |      -6.6 -2.0  |10.20    |~                   |    ~     ~    |    0|                |                       |        |                   
5235|HD 218803B                                                                                               |Star                                |23 10 09.3626334210 +57 26 54.583455344|109.6120044112134 -02.7803782470847| 11.652 -27.205  |9.11     |~                   |    ~     ~    |    1|  171.415   pc  |  -6.2909     +6.2909  |paral   |2020yCat.1350....0G
5236|TYC 4279-370-2                                                                                           |Star                                |23 10 15.886087 +60 16 49.28501        |110.703259206 -00.166990730        |       0.3 -0.7  |10.23    |~                   |    ~     ~    |    0|                |                       |        |                   
5237|HD 218767B                                                                                               |Star                                |23 10 17.190965 +32 29 13.37873        |099.358680895 -25.713069601        |      15.3 -4.2  |8.22     |~                   |    ~     ~    |    0|                |                       |        |                   
5238|TYC 4601-907-2                                                                                           |Star                                |23 10 32.226174 +76 01 26.69299        |116.832850377 +14.361443119        |       9.4 -1.7  |10.79    |~                   |    ~     ~    |    0|                |                       |        |                   
5239|TYC 3623-1584-2                                                                                          |Star                                |23 10 45.498 +45 09 50.96              |104.916990 -14.156866              |      -4.0 -5.8  |10.53    |~                   |    ~     ~    |    0|                |                       |        |                   
5240|BD+05 5143B                                                                                              |High Proper Motion Star             |23 11 01.971365 +06 36 35.40091        |083.509998589 -48.425442197        |    -53.5 -45.6  |10.90    |~                   |    ~     ~    |    0|                |                       |        |                   
5241|TYC 4613-1176-2                                                                                          |Star                                |23 11 10.824 +81 21 11.93              |119.063845 +19.244458              |      21.7 13.5  |9.59     |~                   |    ~     ~    |    0|                |                       |        |                   
5242|BD+79 771B                                                                                               |Star                                |23 11 24.258752 +80 29 54.57245        |118.712908021 +18.456739567        |      11.7 11.7  |10.39    |~                   |    ~     ~    |    0|                |                       |        |                   
5243|TYC 3217-550-2                                                                                           |High Proper Motion Star             |23 11 42.026 +37 30 05.34              |101.900070 -21.263352              |     52.6 -27.8  |10.30    |~                   |    ~     ~    |    0|                |                       |        |                   
5244|TYC 4477-891-2                                                                                           |Star                                |23 11 54.775 +67 35 37.90              |113.642501 +06.535020              |     43.7 -13.8  |10.64    |~                   |    ~     ~    |    0|                |                       |        |                   
5245|TYC 2236-1092-2                                                                                          |Star                                |23 11 54.968129 +23 50 09.11104        |095.392748932 -33.659105441        |    -17.4 -17.3  |10.48    |~                   |    ~     ~    |    0|                |                       |        |                   
5246|TYC 3229-1667-2                                                                                          |Star                                |23 12 15.057 +44 49 28.19              |105.032008 -14.572307              |      -1.3 -3.3  |9.56     |~                   |    ~     ~    |    0|                |                       |        |                   
5247|TYC 4609-96-2                                                                                            |Star                                |23 12 20.577 +79 02 05.64              |118.148509 +17.094758              |       18.6 5.6  |10.28    |~                   |    ~     ~    |    0|                |                       |        |                   
5248|TYC 2236-385-2                                                                                           |Star                                |23 13 01.031311 +24 14 24.51326        |095.879291726 -33.409785556        |     16.8 -24.2  |10.67    |~                   |    ~     ~    |    0|                |                       |        |                   
5249|TYC 3623-2607-2                                                                                          |Star                                |23 13 07.842 +46 22 12.39              |105.788133 -13.203426              |       2.2 -1.9  |9.94     |~                   |    ~     ~    |    0|                |                       |        |                   
5250|TYC 1715-704-2                                                                                           |Star                                |23 13 09.843 +19 58 56.56              |093.546179 -37.218822              |        3.5 2.8  |10.08    |~                   |    ~     ~    |    0|                |                       |        |                   
5251|HD 219111B                                                                                               |Star                                |23 13 17.6048964168 +22 05 00.721387365|094.7758474083092 -35.3658025107839| -2.575 -44.633  |8.85     |~                   |    ~     ~    |    1|  146.983   pc  |  -0.4796     +0.4796  |paral   |2020yCat.1350....0G
5252|HD 219212B                                                                                               |Star                                |23 13 59.890645 +24 13 59.63693        |096.116071846 -33.514851740        |       8.1 -7.0  |10.07    |~                   |    ~     ~    |    0|                |                       |        |                   
5253|BD+06 5133B                                                                                              |Star                                |23 14 26.4562516395 +07 39 24.981984960|085.4400790874984 -48.0279325144620| 17.975 -11.901  |10.84    |~                   |    ~     ~    |    1|  140.625   pc  |  -0.7534     +0.7534  |paral   |2020yCat.1350....0G
5254|TYC 3626-156-1                                                                                           |Star                                |23 02 42.8920198488 +48 06 15.211019340|104.8332017380508 -10.9100367507633|  10.125 -4.990  |10.56    |~                   |    ~     ~    |    1|  310.328   pc  |  -1.3964     +1.3964  |paral   |2020yCat.1350....0G
5255|TYC 3626-1690-1                                                                                          |Star                                |23 03 23.586 +48 16 42.39              |105.011253 -10.798010              |       8.2 -8.3  |10.57    |~                   |    ~     ~    |    0|                |                       |        |                   
5256|TYC 582-408-1                                                                                            |Star                                |23 04 16.574 +07 12 29.11              |081.991750 -46.967392              |     -6.3 -37.5  |10.61    |~                   |    ~     ~    |    0|                |                       |        |                   
5257|TYC 4278-700-1                                                                                           |High Proper Motion Star             |23 04 28.9207851048 +60 22 18.019710408|110.0799922864901 +00.1964588217463|112.046 -26.792  |9.95     |~                   |    ~     ~    |    1|  154.388   pc  |  -0.3027     +0.3027  |paral   |2020yCat.1350....0G
5258|HD 236041B                                                                                               |High Proper Motion Star             |23 06 10.0886700216 +51 10 40.752726960|106.6182187251180 -08.3286741967202|102.324 -17.161  |10.47    |~                   |    ~     ~    |    1|  101.397   pc  |  -0.1604     +0.1604  |paral   |2020yCat.1350....0G
5259|TYC 4605-334-1                                                                                           |Star                                |23 06 54.271 +78 34 27.02              |117.703036 +16.778030              |      10.6 -6.0  |10.36    |~                   |    ~     ~    |    0|                |                       |        |                   
5260|HD 218395A                                                                                               |Star                                |23 07 27.728 +32 49 31.25              |098.923009 -25.153564              |    -16.9 -10.9  |6.34     |A3Vn                |    ~     ~    |    0|                |                       |        |                   
5261|TYC 3623-1584-1                                                                                          |Star                                |23 10 45.482 +45 09 51.42              |104.916997 -14.156730              |      -4.0 -5.8  |10.77    |~                   |    ~     ~    |    0|                |                       |        |                   
5262|HD 219194A                                                                                               |Star                                |23 10 54.1320918255 +81 49 00.583526448|119.2507848561418 +19.6732718930277|  -0.304 -9.503  |8.90     |~                   |    ~     ~    |    1|  251.743   pc  |  -0.7668     +0.7668  |paral   |2020yCat.1350....0G
5263|BD+05 5143A                                                                                              |High Proper Motion Star             |23 11 01.917437 +06 36 35.49487        |083.509744354 -48.425293740        |    -53.5 -45.6  |10.69    |~                   |    ~     ~    |    0|                |                       |        |                   
5264|TYC 1161-1048-1                                                                                          |Star                                |23 12 03.419 +08 52 59.93              |085.698598 -46.678427              |      2.4 -18.1  |10.40    |~                   |    ~     ~    |    0|                |                       |        |                   
5265|TYC 4601-194-1                                                                                           |Star                                |23 12 37.5925 +76 45 30.296            |117.2446770 +14.9904334            |  42.906 14.363  |10.77    |~                   |    ~     ~    |    0|                |                       |        |                   
5266|HD 219111A                                                                                               |Star                                |23 13 17.7548412242 +22 05 02.090196538|094.7766915622363 -35.3657259531188| -0.003 -40.465  |8.93     |~                   |    ~     ~    |    1|  146.434   pc  |  -0.4331     +0.4331  |paral   |2020yCat.1350....0G
5267|TYC 3221-2883-1                                                                                          |Star                                |23 13 33.3254278717 +39 44 05.446738604|103.1993631014449 -19.3568953401403|       3.6 -0.3  |10.92    |~                   |    ~     ~    |    0|                |                       |        |                   
5268|TYC 4006-524-1                                                                                           |Star                                |23 13 31.5425007720 +57 21 12.022236108|109.9975009203836 -03.0388625744668|   2.252 -6.389  |10.89    |~                   |    ~     ~    |    1|  278.590   pc  |  -1.5290     +1.5290  |paral   |2020yCat.1350....0G
5269|TYC 3229-2625-1                                                                                          |High Proper Motion Star             |23 13 49.486 +43 47 55.57              |104.893601 -15.627539              |       52.0 0.3  |9.74     |~                   |    ~     ~    |    0|                |                       |        |                   
5270|HD 219212A                                                                                               |Star                                |23 13 59.8219863095 +24 13 59.190466205|096.1157254238988 -33.5148482297726|   7.480 -5.116  |7.94     |~                   |    ~     ~    |    1|  230.378   pc  |  -2.9562     +2.9562  |paral   |2020yCat.1350....0G
5271|BD+51 3565A                                                                                              |Star                                |23 14 57.4143724152 +52 35 20.308541712|108.4285801843833 -07.5446249668019|   5.639 -3.176  |10.49    |~                   |    ~     ~    |    1|  856.018   pc  | -16.3407    +16.3407  |paral   |2020yCat.1350....0G
5272|TYC 1167-667-1                                                                                           |Star                                |23 13 23.7321629976 +14 25 50.951217648|090.1389790659392 -42.1134619606213| 20.343 -13.675  |10.49    |~                   |    ~     ~    |    1|  247.482   pc  |  -1.1331     +1.1331  |paral   |2020yCat.1350....0G
5273|IRAS 22596+3141                                                                                          |Long-Period Variable                |23 02 04.2488276592 +31 57 25.339568688|097.3694598438496 -25.4296802790607|  6.325 -20.901  |10.47    |~                   |    ~     ~    |    1| 1629.99    pc  | -83.1601    +83.1601  |paral   |2020yCat.1350....0G
5274|BD+31 4856A                                                                                              |Star                                |23 09 31.2450177360 +32 18 16.696213380|099.1102946938945 -25.8098285457327| 14.473 -22.592  |10.51    |~                   |    ~     ~    |    1|  328.235   pc  |  -1.7777     +1.7777  |paral   |2020yCat.1350....0G
5275|ASAS J231150+4316.5                                                                                      |Spectroscopic Binary                |23 11 50.5801479528 +43 16 31.524933720|104.3394095156851 -15.9718128535368|  25.890 -7.230  |10.75    |~                   |    ~     ~    |    1|  153.551   pc  |  -0.2759     +0.2759  |paral   |2020yCat.1350....0G
5276|IRAS 23112+4623                                                                                          |Star                                |23 13 31.2375699432 +46 39 38.688391116|105.9650364183458 -12.9599532735432|  -3.522 -2.763  |10.56    |~                   |    ~     ~    |    1| 1968.892   pc  | -59.6986    +59.6986  |paral   |2020yCat.1350....0G
5277|IRAS 22594+5212                                                                                          |Star                                |23 01 38.8611959736 +52 28 41.628416412|106.5068198725278 -06.8568992927079|   7.165 -2.393  |10.19    |~                   |    ~     ~    |    1| 1212.415   pc  | -43.5105    +43.5105  |paral   |2020yCat.1350....0G
5278|IRAS 23080+5200                                                                                          |Star                                |23 10 16.8010703208 +52 16 33.728106576|107.6435703369458 -07.5672067724522|  -2.253 -2.360  |10.40    |~                   |    ~     ~    |    1| 2562.132   pc  |-113.5662   +113.5662  |paral   |2020yCat.1350....0G
5279|IRAS 23089+5409                                                                                          |Star                                |23 11 11.6659445736 +54 26 17.793805848|108.6001767334947 -05.6201717661471|   0.856 -0.244  |10.87    |~                   |    ~     ~    |    1| 1558.118   pc  | -50.2540    +50.2540  |paral   |2020yCat.1350....0G
5280|IRC +60387                                                                                               |Long-Period Variable                |23 08 04.6937408112 +55 42 56.669176872|108.6790596963154 -04.2693996648330|  -4.784 -3.038  |10.86    |M5.5III             |    ~     ~    |    1| 2034.588   pc  |-169.7215   +169.7215  |paral   |2020yCat.1350....0G
5281|TYC 4006-608-1                                                                                           |Star                                |23 10 47.0080894776 +57 31 38.456573952|109.7200752382404 -02.7394727326124|  11.291 10.414  |9.546    |~                   |    ~     ~    |    1|  477.806   pc  |  -3.1505     +3.1505  |paral   |2020yCat.1350....0G
5282|TYC 4279-2414-1                                                                                          |Star                                |23 14 05.5712476008 +60 57 13.859388684|111.3903803315456 +00.2823565869629| -10.620 -2.328  |10.40    |~                   |    ~     ~    |    1|  394.633   pc  |  -2.2114     +2.2114  |paral   |2020yCat.1350....0G
5283|BD+61 2395                                                                                               |Star                                |23 07 41.2227312360 +62 22 50.637039960|111.2262894691209 +01.8905745644657|   1.051 -5.925  |10.55    |~                   |    ~     ~    |    1|  842.176   pc  | -12.8376    +12.8376  |paral   |2020yCat.1350....0G
5284|TYC 4291-919-1                                                                                           |Star                                |23 09 24.3571377192 +66 28 14.454117876|112.9847848953987 +05.5897402473395|    5.648 8.187  |10.89    |~                   |    ~     ~    |    1|  695.846   pc  |  -6.5367     +6.5367  |paral   |2020yCat.1350....0G
5285|IRAS 23077+7210                                                                                          |Star                                |23 09 32.0176696224 +72 26 45.582328428|115.3351233907442 +11.0943858547800|  -9.391 -3.911  |10.66    |~                   |    ~     ~    |    1| 1277.792   pc  | -48.0029    +48.0029  |paral   |2020yCat.1350....0G
5286|TYC 4485-553-1                                                                                           |Star                                |23 00 52.5638295816 +71 36 31.035303576|114.3680974493058 +10.5994869585426|    6.901 3.362  |10.48    |~                   |    ~     ~    |    1|  767.636   pc  |  -6.0694     +6.0694  |paral   |2020yCat.1350....0G
5287|BD+81 807                                                                                                |Star                                |23 03 34.0093767240 +81 55 41.648951316|119.0493414653022 +19.8822839014254|    3.679 3.292  |10.02    |K2                  |    ~     ~    |    1|  960.430   pc  | -13.1907    +13.1907  |paral   |2020yCat.1350....0G
5288|TYC 4601-566-1                                                                                           |Star                                |23 07 18.0739713888 +75 31 40.434742344|116.4415008644310 +13.9849798164972|  -2.798 -3.555  |10.35    |~                   |    ~     ~    |    1| 1267.588   pc  | -26.6725    +26.6725  |paral   |2020yCat.1350....0G
5289|TYC 576-1120-1                                                                                           |Star                                |23 01 16.3011166536 +00 04 46.406835300|074.1846420056772 -52.0452632770658| 18.237 -22.673  |10.666   |~                   |    ~     ~    |    1|  948.693   pc  | -39.7900    +39.7900  |ST-L    |2020AJ....160...83S
5290|TYC 2247-439-1                                                                                           |Star                                |23 09 36.5633379168 +29 44 16.451746908|097.8924976052075 -28.1359518572955|  -8.130 -9.494  |10.95    |~                   |    ~     ~    |    1| 1503.307   pc  | -30.7351    +30.7351  |paral   |2020yCat.1350....0G
5291|TYC 4010-1793-1                                                                                          |Star                                |23 07 04.7159258400 +59 42 26.259012576|110.1146439090422 -00.5419727024560|  -1.667 -3.843  |10.69    |~                   |    ~     ~    |    1| 1668.335   pc  | -39.2451    +39.2451  |paral   |2020yCat.1350....0G
5292|GSC 04485-00723                                                                                          |Double or Multiple Star             |23 03 38.839920 +71 27 45.05832        |114.509452788 +10.375491684        |     56.5 -17.7  |10.73    |~                   |    ~     ~    |    0|                |                       |        |                   
5293|HD 217781A                                                                                               |High Proper Motion Star             |23 01 42.5672114712 +67 47 43.165456476|112.8269972919539 +07.1025700212165|  70.092 50.188  |8.80     |~                   |    ~     ~    |    1|  125.625   pc  |  -0.1846     +0.1846  |paral   |2020yCat.1350....0G
5294|BD+23 4669A                                                                                              |High Proper Motion Star             |23 04 18.6520900608 +24 38 26.804491332|094.0038772068494 -32.1445386700698|  48.141 18.149  |10.53    |~                   |    ~     ~    |    1|  253.768   pc  |  -1.2107     +1.2107  |paral   |2020yCat.1350....0G
5295|TYC 3225-2312-1                                                                                          |High Proper Motion Star             |23 10 31.145772 +41 18 02.01183        |103.291465593 -17.690534764        |    -96.0 -83.5  |10.59    |~                   |    ~     ~    |    0|                |                       |        |                   
5296|BD+24 4703B                                                                                              |High Proper Motion Star             |23 03 53.001846 +25 12 08.72116        |094.216224434 -31.603872196        |       51.0 1.1  |10.84    |~                   |    ~     ~    |    0|                |                       |        |                   
5297|HD 218539A                                                                                               |High Proper Motion Star             |23 08 42.937303 +15 32 54.44316        |089.586124912 -40.579150891        |      58.7 32.0  |9.77     |~                   |    ~     ~    |    0|                |                       |        |                   
5298|V* RW Peg A                                                                                              |Star                                |23 04 11.516928 +15 18 11.99611        |088.194176632 -40.225549735        |     -10.7 -7.3  |10.24    |~                   |    ~     ~    |    0|                |                       |        |                   
5299|V* GU Cep A                                                                                              |Star                                |23 10 10.919117 +61 14 29.83044        |111.059585232 +00.725850433        |      -6.6 -2.0  |10.25    |~                   |    ~     ~    |    0|                |                       |        |                   
5300|BD+45 4148A                                                                                              |Star                                |23 07 26.6840090856 +46 24 48.464784684|104.8790470760321 -12.7809962304039|  18.433 -7.313  |10.86    |~                   |    ~     ~    |    1|  214.330   pc  |  -1.5573     +1.5573  |paral   |2020yCat.1350....0G
5301|BD+32 4584A                                                                                              |High Proper Motion Star             |23 06 42.378409 +33 01 45.34701        |098.862346950 -24.901145343        |   -17.1 -152.1  |10.42    |~                   |    ~     ~    |    0|                |                       |        |                   
5302|TYC 4006-1337-1                                                                                          |Star                                |23 13 37.874125 +56 48 28.55283        |109.809155932 -03.551033648        |     -17.0 -9.4  |10.39    |~                   |    ~     ~    |    0|                |                       |        |                   
5303|TYC 2242-848-1                                                                                           |Star                                |23 00 08.384215 +27 40 18.34508        |094.716684348 -29.032263036        |      11.2 -2.5  |10.47    |~                   |    ~     ~    |    0|                |                       |        |                   
5304|TYC 3989-175-1                                                                                           |Star                                |23 00 09.078401 +55 13 20.31976        |107.448764333 -04.268492717        |      27.2 -5.4  |10.31    |~                   |    ~     ~    |    0|                |                       |        |                   
5305|V* AY And A                                                                                              |Star                                |23 01 36.977709 +52 51 21.17957        |106.659528653 -06.511008363        |        0.7 3.2  |10.30    |~                   |    ~     ~    |    0|                |                       |        |                   
5306|TYC 3993-1585-1                                                                                          |Star                                |23 01 52.518924 +56 28 19.93952        |108.187267187 -03.230356779        |      -2.2 -2.1  |10.30    |~                   |    ~     ~    |    0|                |                       |        |                   
5307|TYC 4278-1062-1                                                                                          |Star                                |23 02 16.750597 +60 06 39.09043        |109.724546320 +00.068405003        |       4.2 -0.8  |10.98    |~                   |    ~     ~    |    0|                |                       |        |                   
5308|TYC 3997-288-1                                                                                           |Star                                |23 02 55.607777 +58 19 44.03008        |109.074918637 -01.593020125        |     -6.3 -19.9  |10.28    |~                   |    ~     ~    |    0|                |                       |        |                   
5309|TYC 4605-2053-1                                                                                          |Star                                |23 03 02.342651 +77 17 40.19279        |116.958149714 +15.697842335        |      42.6 29.6  |10.70    |~                   |    ~     ~    |    0|                |                       |        |                   
5310|TYC 3622-2402-1                                                                                          |Star                                |23 03 04.271552 +46 37 33.20645        |104.263861445 -12.280466160        |      -3.3 -4.7  |10.59    |~                   |    ~     ~    |    0|                |                       |        |                   
5311|TYC 3224-2605-1                                                                                          |Star                                |23 03 09.138651 +42 35 40.73962        |102.540037765 -15.948900201        |       2.8 -5.7  |10.96    |~                   |    ~     ~    |    0|                |                       |        |                   
5312|BD+28 4513A                                                                                              |Star                                |23 03 48.752108 +28 51 18.55951        |096.161488914 -28.362685531        |       8.7 -4.4  |10.76    |~                   |    ~     ~    |    0|                |                       |        |                   
5313|TYC 2235-166-1                                                                                           |Star                                |23 04 37.599899 +23 43 55.03693        |093.566666744 -32.978427656        |     -4.9 -18.8  |10.66    |~                   |    ~     ~    |    0|                |                       |        |                   
5314|TYC 3228-1229-1                                                                                          |Star                                |23 05 14.815557 +44 34 24.04658        |103.749799589 -14.307151452        |      -0.9 -8.6  |10.53    |~                   |    ~     ~    |    0|                |                       |        |                   
5315|TYC 3989-1622-1                                                                                          |Star                                |23 05 17.632778 +55 27 15.62441        |108.213169738 -04.354707584        |    -28.5 -20.7  |10.00    |~                   |    ~     ~    |    0|                |                       |        |                   
5316|TYC 3224-248-1                                                                                           |Star                                |23 05 37.202475 +42 11 09.61280        |102.793637895 -16.510428202        |      0.1 -14.6  |10.84    |~                   |    ~     ~    |    0|                |                       |        |                   
5317|TYC 4282-406-1                                                                                           |Star                                |23 05 39.786129 +62 40 27.80622        |111.127015952 +02.252343864        |      -7.2 -4.2  |10.83    |~                   |    ~     ~    |    0|                |                       |        |                   
5318|TYC 3228-2031-1                                                                                          |Star                                |23 06 33.073773 +44 22 59.59945        |103.888918552 -14.575717078        |       3.6 -3.1  |10.17    |~                   |    ~     ~    |    0|                |                       |        |                   
5319|TYC 4278-549-1                                                                                           |Star                                |23 06 47.119822 +60 39 33.50220        |110.454216600 +00.348166923        |      -0.8 -8.8  |10.61    |~                   |    ~     ~    |    0|                |                       |        |                   
