C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
64  |BD+44 4352                                                                                               |High Proper Motion Star             |23 12 41.9913160464 +45 35 18.951475704|105.4102445905832 -13.8972583823623| 137.715 15.517  |8.67     |K0                  |    ~     ~    |    1|  128.256   pc  |  -0.7879     +0.7879  |paral   |2020yCat.1350....0G
65  |BD+44 4354                                                                                               |Star                                |23 13 25.4589237936 +44 54 34.791988284|105.2641459271229 -14.5733902947012|   13.258 6.601  |9.69     |K0                  |    ~     ~    |    1|  457.813   pc  |  -5.0721     +5.0721  |paral   |2020yCat.1350....0G
66  |BD+44 4356                                                                                               |Star                                |23 13 30.0876390456 +45 14 11.120944056|105.4056945338847 -14.2764665172780|  -0.217 -1.890  |9.88     |A2                  |    ~     ~    |    1|  789.141   pc  | -11.2094    +11.2094  |paral   |2020yCat.1350....0G
67  |BD+43 4388a                                                                                              |Star                                |23 06 11.2104039720 +44 27 01.709504856|103.8557849083401 -14.4878078060110| -3.531 -11.693  |10.11    |K0                  |    ~     ~    |    1|  614.590   pc  |  -4.7593     +4.7593  |paral   |2020yCat.1350....0G
68  |HD 218299                                                                                                |Spectroscopic Binary                |23 06 21.8115236544 +44 27 05.906017908|103.8860215149051 -14.4995814080359|  3.110 -12.191  |8.33     |A0                  |    ~     ~    |    1|  361.350   pc  |  -3.2774     +3.2774  |paral   |2020yCat.1350....0G
69  |BD+43 4392                                                                                               |Star                                |23 06 42.9094670328 +44 29 21.402495744|103.9610211677359 -14.4906709932925|   44.180 9.373  |9.98     |F8                  |    ~     ~    |    1|  152.700   pc  |  -0.3288     +0.3288  |paral   |2020yCat.1350....0G
70  |BD+43 4396                                                                                               |Spectroscopic Binary                |23 07 00.0206259216 +44 30 12.200705280|104.0149499062027 -14.4983693800065|   16.273 9.973  |8.43     |K0                  |    ~     ~    |    1|  490.509   pc  |  -6.2074     +6.2074  |paral   |2020yCat.1350....0G
71  |BD+43 4398                                                                                               |Double or Multiple Star             |23 07 42.2766 +44 35 33.221            |104.1706795 -14.4673683            |   31.291 1.435  |9.72     |F8                  |    ~     ~    |    0|                |                       |        |                   
72  |HD 218525                                                                                                |Star                                |23 08 12.4165501632 +44 33 42.654171384|104.2425926330157 -14.5313831860712|   28.256 2.687  |6.513    |A2IV                |    ~     ~    |    1|  197.161   pc  |  -1.6443     +1.6443  |paral   |2020yCat.1350....0G
73  |BD+43 4407                                                                                               |Double or Multiple Star             |23 09 53.5222 +44 46 30.525            |104.6140872 -14.4546166            |     34.0 -13.2  |9.61     |F8                  |    ~     ~    |    0|                |                       |        |                   
74  |BD+43 4417                                                                                               |Star                                |23 13 54.4907257152 +44 38 00.784738500|105.2375485425058 -14.8614030288312|   4.533 -8.141  |9.44     |F8                  |    ~     ~    |    1|  145.743   pc  |  -0.3356     +0.3356  |paral   |2020yCat.1350....0G
75  |BD+46 3949                                                                                               |Double or Multiple Star             |23 08 53.559120 +47 05 07.22328        |105.385494322 -12.262823898        |       1.1 -2.9  |10.255   |~                   |    ~     ~    |    0|                |                       |        |                   
76  |BD+44 4349                                                                                               |Star                                |23 12 11.1897052776 +45 16 18.348896316|105.1991146065598 -14.1552085976590|   2.918 -2.871  |9.71     |~                   |    ~     ~    |    1|  592.557   pc  |  -4.2837     +4.2837  |paral   |2020yCat.1350....0G
77  |CCDM J23122+4516B                                                                                        |Star                                |23 12 10.5660042336 +45 15 45.164136708|105.1937117492240 -14.1630106748379|  -2.919 -5.254  |10.6     |~                   |    ~     ~    |    1| 1323.101   pc  | -27.3093    +27.3093  |paral   |2020yCat.1350....0G
78  |NGC 7209 103                       BD+45 3798                                                            |Star                                |23 05 40.69 +46 33 41.5                |104.65498 -12.52295                |            ~ ~  |10.923   |A0                  |    ~     ~    |    0|                |                       |        |                   
79  |BD+46 3906                                                                                               |Star                                |23 00 52.5721333776 +46 45 25.827271200|103.9703742777535 -12.0037210939839|-16.126 -43.030  |9.95     |K0                  |    ~     ~    |    1|  192.589   pc  |  -0.7010     +0.7010  |paral   |2020yCat.1350....0G
80  |BD+45 4115                                                                                               |Star                                |23 00 40.7699995560 +46 27 28.274452380|103.8096555735273 -12.2607121278033|   7.519 -5.049  |9.55     |F2                  |    ~     ~    |    1|  244.296   pc  |  -2.3454     +2.3454  |paral   |2020yCat.1350....0G
81  |V* BC And                                                                                                |Long-Period Variable                |23 00 53.0743339320 +46 30 38.117782080|103.8652066800284 -12.2278499230310| -15.162 -6.787  |9.11     |M7III:              |    ~     ~    |    1|  543.095   pc  | -13.2728    +13.2728  |paral   |2020yCat.1350....0G
82  |BD+45 4114                                                                                               |Pulsating Variable                  |23 00 37.3052598984 +46 01 57.185856444|103.6158853025533 -12.6417376839948|  -3.781 -3.659  |9.18     |B9pSi               |    ~     ~    |    1|  565.707   pc  |  -7.5206     +7.5206  |paral   |2020yCat.1350....0G
83  |HD 217635                                                                                                |Star                                |23 01 33.9498056520 +45 30 36.793796580|103.5423563434630 -13.1846880879734|  24.948 16.512  |7.75     |K0                  |    ~     ~    |    1|  240.425   pc  |  -8.8094     +8.8094  |paral   |2020yCat.1350....0G
84  |BD+44 4313                                                                                               |Star                                |23 03 03.4127604624 +44 59 16.760475708|103.5620555586340 -13.7688357070598| -15.196 -7.835  |8.83     |K2                  |    ~     ~    |    1|  437.503   pc  |  -3.7516     +3.7516  |paral   |2020yCat.1350....0G
85  |BD+44 4315                                                                                               |Star                                |23 03 13.6622905896 +44 47 23.131386816|103.5051889152014 -13.9616117418128|-17.067 -16.817  |8.95     |K0                  |    ~     ~    |    1|  385.936   pc  |  -3.7088     +3.7088  |paral   |2020yCat.1350....0G
86  |BD+43 4381                                                                                               |Star                                |23 02 59.6122839960 +44 33 53.595459180|103.3693755633085 -14.1485408377353|  12.204 -9.169  |9.39     |A2                  |    ~     ~    |    1|  280.788   pc  |  -1.1590     +1.1590  |paral   |2020yCat.1350....0G
87  |V* VY And                                                                                                |Carbon Star                         |23 01 49.4660369856 +45 53 09.110166864|103.7466782756928 -12.8629432407591|  -5.307 -0.708  |9.60     |C3,5J               |0.0033  0.0    |    1| 1311.475   pc  | -38.3553    +38.3553  |paral   |2020yCat.1350....0G
88  |BD+43 4383                                                                                               |Star                                |23 04 35.4506970552 +44 13 10.106382792|103.4889932930694 -14.5813274815877|  -0.404 -4.382  |10.39    |A0                  |    ~     ~    |    1|  557.880   pc  |  -9.4303     +9.4303  |paral   |2020yCat.1350....0G
89  |HD 218364                                                                                                |Star                                |23 06 53.9498278560 +44 19 26.371871508|103.9228291471387 -14.6550889047323|  -0.195 -3.501  |8.53     |A0                  |    ~     ~    |    1|  586.304   pc  | -10.3469    +10.3469  |paral   |2020yCat.1350....0G
90  |HD 219224                                                                                                |Star                                |23 13 49.1440497048 +44 35 52.459953000|105.2083469648647 -14.8883392997331|   3.194 -8.670  |7.92     |F5                  |    ~     ~    |    1|  145.951   pc  |  -0.4303     +0.4303  |paral   |2020yCat.1350....0G
91  |BD+43 4418                                                                                               |Star                                |23 13 52.8012720696 +44 33 12.132058896|105.2012024121159 -14.9336556638885|    5.814 0.793  |9.40     |A5                  |    ~     ~    |    1|  525.901   pc  | -20.6875    +20.6875  |paral   |2020yCat.1350....0G
92  |BD+43 4419                                                                                               |High Proper Motion Star             |23 14 01.4235921864 +44 37 24.628938564|105.2532761354226 -14.8785038508850|-24.072 -53.696  |9.86     |F8                  |    ~     ~    |    1|  140.556   pc  |  -0.2549     +0.2549  |paral   |2020yCat.1350....0G
93  |TYC 3228-19-1                                                                                            |Star                                |23 04 14.4927391584 +44 56 27.299965524|103.7382332712215 -13.8986950265053|-23.555 -18.994  |10.77    |~                   |    ~     ~    |    1|  275.058   pc  |  -1.2483     +1.2483  |paral   |2020yCat.1350....0G
94  |TYC 3228-848-1                                                                                           |Star                                |23 06 56.9387149296 +44 26 16.874736900|103.9789653806748 -14.5544369345163|  -4.152 -3.298  |10.43    |~                   |    ~     ~    |    1| 1920.492   pc  | -53.4802    +53.4802  |paral   |2020yCat.1350....0G
95  |TYC 3228-1141-1                                                                                          |Star                                |23 05 02.8044464904 +44 45 25.141978368|103.7941229625987 -14.1250974970009|   0.063 -4.350  |10.47    |~                   |    ~     ~    |    1|  456.267   pc  |  -4.8714     +4.8714  |paral   |2020yCat.1350....0G
96  |TYC 3228-1202-1                                                                                          |Star                                |23 09 44.2395422760 +44 18 21.924267444|104.3965399348188 -14.8747117478230|  0.429 -18.016  |10.40    |~                   |    ~     ~    |    1|  610.874   pc  |  -5.3736     +5.3736  |paral   |2020yCat.1350....0G
97  |GSC 03228-01229                                                                                          |Double or Multiple Star             |23 05 14.8030947144 +44 34 24.282745968|103.7497925722281 -14.3070764482676|  -4.896 -4.522  |10.073   |~                   |    ~     ~    |    1|  912.076   pc  | -11.8127    +11.8127  |paral   |2020yCat.1350....0G
98  |TYC 3228-1507-1                                                                                          |Star                                |23 06 47.1479542536 +44 44 11.312186532|104.0763004579150 -14.2697753845071|  -4.900 -1.985  |10.04    |~                   |    ~     ~    |    1|  356.710   pc  |  -3.8427     +3.8427  |paral   |2020yCat.1350....0G
