C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
78  |BD-07 784                                                                                                                                   |Star                                  |04 16 19.5438029016 -06 51 30.942097704|200.0326284594105 -37.4355456691570|  19.931 16.293     |9.62     |~               |    ~     ~    |    1|  877.732   pc  | -11.9414    +11.9414    |paral   |2020yCat.1350....0G
79  |HD 27092                                                                                                                                    |Star                                  |04 16 33.4258356192 -06 43 39.342824328|199.9238240221270 -37.3215965950557|  15.581 -7.390     |7.86     |G6III/IV        |    ~     ~    |    1|  315.627   pc  | -11.0778    +11.0778    |paral   |2020yCat.1350....0G
80  |BD-07 786                                                                                                                                   |Star                                  |04 16 38.8411694232 -07 18 14.286425112|200.5726390060981 -37.5812278603893| 36.172 -20.968     |10.11    |~               |    ~     ~    |    1|  253.678   pc  |  -1.2034     +1.2034    |paral   |2020yCat.1350....0G
81  |BD-07 787                                                                                                                                   |Star                                  |04 16 39.4868429808 -07 16 58.643313060|200.5510251060578 -37.5687707451068|    3.701 4.220     |9.37     |K0              |    ~     ~    |    1|  532.595   pc  |  -4.8789     +4.8789    |paral   |2020yCat.1350....0G
82  |BD-07 788                                                                                                                                   |Star                                  |04 17 13.4361940080 -07 23 39.408501588|200.7591843773663 -37.4992828941579|-40.624 -10.582     |9.64     |~               |    ~     ~    |    1|   76.928   pc  |  -0.1036     +0.1036    |paral   |2020yCat.1350....0G
83  |BD-07 791                                                                                                                                   |Star                                  |04 18 08.9415292440 -06 47 38.869961208|200.2379736414181 -37.0086281663726|   4.051 -1.616     |9.27     |~               |    ~     ~    |    1| 1174.812   pc  | -27.8797    +27.8797    |paral   |2020yCat.1350....0G
84  |BD-06 858                                                                                                                                   |Star                                  |04 15 52.8716163360 -05 45 28.465604424|198.7611916423605 -36.9900622659910|   5.258 -1.897     |10.41    |~               |    ~     ~    |    1| 1565.435   pc  | -39.9446    +39.9446    |paral   |2020yCat.1350....0G
85  |BD-06 859                                                                                                                                   |High Proper Motion Star               |04 15 58.5253726992 -05 53 05.969099904|198.9138728304343 -37.0329063571791|  54.645 -7.010     |9.71     |~               |    ~     ~    |    1|  195.343   pc  |  -0.5762     +0.5762    |paral   |2020yCat.1350....0G
86  |BD-06 861                                                                                                                                   |Star                                  |04 16 40.3091133936 -05 46 32.894206932|198.9029248532668 -36.8283508453148|   6.409 -2.181     |9.69     |~               |    ~     ~    |    1|  866.326   pc  | -10.9576    +10.9576    |paral   |2020yCat.1350....0G
87  |BD-07 789                                                                                                                                   |Star                                  |04 17 34.8957365424 -07 17 14.166971304|200.6946356852783 -37.3700973442144|   6.660 17.279     |10.189   |~               |    ~     ~    |    1|  748.208   pc  | -35.3100    +35.3100    |ST-L    |2020AJ....160...83S
88  |BD-05 869                                                                                                                                   |Star                                  |04 17 38.8437034920 -05 19 17.968718964|198.5632512057828 -36.3915058578370|   3.714 -8.189     |10.00    |~               |    ~     ~    |    1|  803.859   pc  | -39.4175    +39.4175    |paral   |2020yCat.1350....0G
89  |BD-05 870                                                                                                                                   |Star                                  |04 17 39.7529038608 -05 25 13.349034624|198.6718442385805 -36.4375742861695|  13.508 -7.799     |10.09    |~               |    ~     ~    |    1|  468.306   pc  | -12.1800    +12.1800    |ST-L    |2020AJ....160...83S
90  |BD-05 873                                                                                                                                   |Star                                  |04 17 59.0021085384 -05 33 18.790156404|198.8666130740988 -36.4355777781387|  -3.803 -6.301     |10.31    |~               |    ~     ~    |    1|  248.453   pc  |  -1.7593     +1.7593    |paral   |2020yCat.1350....0G
91  |BD-07 783                                                                                                                                   |Star                                  |04 16 03.6079320000 -07 17 50.968401900|200.4768774708616 -37.7057108802314|   3.302 -3.883     |10.06    |~               |    ~     ~    |    1|  749.850   pc  |  -9.9523     +9.9523    |paral   |2020yCat.1350....0G
92  |TYC 4732-73-1                                                                                                                               |Star                                  |04 17 04.2791721648 -07 22 09.362814636|200.7086205480350 -37.5204622617551| 14.648 -44.735     |10.66    |~               |    ~     ~    |    1|  158.741   pc  |  -1.9510     +1.9510    |ST-L    |2020AJ....160...83S
93  |TYC 4732-513-1                                                                                                                              |Star                                  |04 17 22.3991745144 -06 56 49.728993612|200.2887473319005 -37.2512072892177| 21.445 -38.574     |10.796   |~               |    ~     ~    |    1|  262.546   pc  |  -3.8080     +3.8080    |ST-L    |2020AJ....160...83S
94  |TYC 4732-1304-1                                                                                                                             |Star                                  |04 16 30.3351165984 -05 35 13.607914488|198.6728457314561 -36.7702778985100|   3.902 -1.308     |10.89    |~               |    ~     ~    |    1|  439.480   pc  | -12.0000    +12.0000    |ST-L    |2020AJ....160...83S
95  |TYC 4732-1677-1                                                                                                                             |Star                                  |04 16 32.6429757744 -06 08 40.657498620|199.2841489666505 -37.0385475298568|   -2.677 7.207     |10.66    |~               |    ~     ~    |    1|  396.828   pc  | -12.2700    +12.2700    |ST-L    |2020AJ....160...83S
