C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
3195|TYC 5316-34-1                                                                                                                               |Star                                  |04 21 35.5299303336 -12 18 39.847251132|206.9544098022477 -38.7623576777164|   9.655 21.036     |10.87    |~               |    ~     ~    |    1|  475.754   pc  | -19.5600    +19.5600    |ST-L    |2020AJ....160...83S
3196|TYC 5316-604-1                                                                                                                              |Star                                  |04 21 10.8647950080 -10 01 14.324622312|204.2718108217888 -37.8536653643843|    5.502 0.215     |10.73    |~               |    ~     ~    |    1| 1046.025   pc  | -14.2242    +14.2242    |paral   |2020yCat.1350....0G
3197|TYC 5316-1024-1                                                                                                                             |Star                                  |04 25 31.5860765040 -10 00 58.106280816|204.8694986225386 -36.8950983618180|   7.734 -5.516     |10.90    |~               |    ~     ~    |    1|  567.353   pc  | -16.8200    +16.8200    |ST-L    |2020AJ....160...83S
3198|TYC 5316-2712-1                                                                                                                             |Star                                  |04 16 58.1261302680 -10 56 04.191837648|204.7280231140888 -39.1878373801669|   1.083 19.976     |10.90    |~               |    ~     ~    |    1|  128.511   pc  |  -0.9509     +0.9509    |ST-L    |2020AJ....160...83S
3199|TYC 5317-81-2                                                                                                                               |Star                                  |04 29 18.6976338168 -12 25 55.925348592|208.0998826880822 -37.1034465035588|  -1.887 -7.284     |10.46    |~               |    ~     ~    |    1|  310.126   pc  |  -2.5583     +2.5583    |paral   |2020yCat.1350....0G
3200|TYC 5319-1352-1                                                                                                                             |Double or Multiple Star               |04 18 33.838872 -14 47 36.69720        |209.503895477 -40.449666504        |     32.0 -18.0     |10.918   |~               |    ~     ~    |    1|  185.019   pc  | -19.6000    +19.6000    |ST-L    |2020AJ....160...83S
3201|TYC 5883-1465-1                                                                                                                             |Star                                  |04 15 33.5341270128 -16 16 00.698834424|210.9370320305787 -41.6855197657918|  12.256 -5.015     |10.88    |~               |    ~     ~    |    1|  961.509   pc  | -51.0800    +51.0800    |ST-L    |2020AJ....160...83S
3202|TYC 5886-375-1                                                                                                                              |High Proper Motion Star               |04 15 17.1083534400 -17 45 33.382503036|212.7733415465478 -42.2928263391662|-13.600 -66.294     |10.91    |~               |    ~     ~    |    1|  236.416   pc  |  -3.6130     +3.6130    |ST-L    |2020AJ....160...83S
3203|TYC 5889-502-1                                                                                                                              |Star                                  |04 15 40.9275143688 -21 03 11.551162140|217.0499782764888 -43.2999223427917|   14.152 9.538     |10.955   |~               |    ~     ~    |    1|  719.587   pc  | -26.8800    +26.8800    |ST-L    |2020AJ....160...83S
3204|TYC 5891-1327-1                                                                                                                             |Star                                  |04 28 33.3251 -17 28 03.102            |213.9084886 -39.2359119            |  11.639 11.633     |10.364   |~               |    ~     ~    |    1|  354.870   pc  |  -6.9080     +6.9080    |ST-L    |2020AJ....160...83S
3205|TYC 5893-314-1                                                                                                                              |Star                                  |04 22 37.6636440552 -17 51 59.441105376|213.7361265344032 -40.6972630072718|   2.900 -6.126     |10.85    |~               |    ~     ~    |    1| 1417.434   pc  | -40.1824    +40.1824    |paral   |2020yCat.1350....0G
3206|TYC 5893-1712-1                                                                                                                             |Star                                  |04 19 52.5208517520 -19 53 45.470633604|215.9822820361140 -42.0010501124531|   3.773 -1.302     |10.99    |~               |    ~     ~    |    0|                |                         |        |                   
3207|TYC 5894-331-1                                                                                                                              |High Proper Motion Star               |04 29 23.8884776112 -19 59 04.725257136|217.0637325412612 -39.9154923626748|  94.924 62.245     |10.94    |~               |    ~     ~    |    1|   56.783   pc  |  -0.6413     +0.6413    |ST-L    |2020AJ....160...83S
3208|TYC 5894-1292-1                                                                                                                             |Star                                  |04 27 27.4525573296 -18 54 22.077253476|215.5382119580121 -39.9851257071706|    3.312 6.032     |10.96    |~               |    ~     ~    |    1|  388.802   pc  |  -4.8525     +4.8525    |paral   |2020yCat.1350....0G
3209|TYC 5894-1292-2                                                                                                                             |Star                                  |04 27 27.4202985576 -18 54 26.831337408|215.5397749497694 -39.9856965903768|    3.671 2.766     |10.98    |~               |    ~     ~    |    1|  413.993   pc  |  -3.1193     +3.1193    |paral   |2020yCat.1350....0G
3210|TYC 5896-433-1                                                                                                                              |Star                                  |04 25 30.6058526760 -22 19 39.455899428|219.6280269821619 -41.5073561419798| 14.706 -19.147     |10.928   |~               |    ~     ~    |    1|  901.489   pc  | -41.7800    +41.7800    |ST-L    |2020AJ....160...83S
3211|TYC 5896-538-1                                                                                                                              |Star                                  |04 24 16.2760884912 -22 09 06.057887472|219.2898153372866 -41.7291796240669|   12.738 4.376     |10.956   |~               |    ~     ~    |    1| 1133.250   pc  | -61.8600    +61.8600    |ST-L    |2020AJ....160...83S
3212|TYC 5897-349-1                                                                                                                              |Star                                  |04 29 48.7244719248 -21 35 49.065817704|219.1032835758778 -40.3362237656341|    1.677 9.412     |10.837   |~               |    ~     ~    |    1| 1818.300   pc  |-159.6000   +159.6000    |ST-L    |2020AJ....160...83S
3213|TYC 5897-903-1                                                                                                                              |Star                                  |04 27 45.2281952904 -21 32 23.331933636|218.8382933913057 -40.7740924326303|   1.413 -4.065     |10.86    |~               |    ~     ~    |    1| 1004.823   pc  | -12.4189    +12.4189    |paral   |2020yCat.1350....0G
3214|TYC 5897-1417-1                                                                                                                             |Star                                  |04 28 24.9566797512 -21 15 26.203876092|218.5468695927582 -40.5402030677828|  -6.537 -5.286     |10.836   |~               |    ~     ~    |    1|  628.831   pc  | -20.3400    +20.3400    |ST-L    |2020AJ....160...83S
3215|TYC 5897-1584-1                                                                                                                             |Star                                  |04 28 58.3241845992 -20 53 02.607091836|218.1348455582171 -40.2999287793057|   1.716 -3.473     |10.667   |~               |    ~     ~    |    1| 1814.500   pc  |-184.3000   +184.3000    |ST-L    |2020AJ....160...83S
3216|TYC 6457-3111-1                                                                                                                             |Star                                  |04 17 01.6938549408 -24 46 33.271464216|222.1111859640195 -44.0473911120420|  13.952 -1.991     |10.818   |~               |    ~     ~    |    1|  376.257   pc  |  -7.2200     +7.2200    |ST-L    |2020AJ....160...83S
3217|TYC 6460-2033-1                                                                                                                             |Star                                  |04 22 58.4170779960 -25 36 42.224933376|223.6878804808290 -42.9521427502365|   3.095 12.867     |10.984   |~               |    ~     ~    |    1|  326.050   pc  |  -5.1630     +5.1630    |ST-L    |2020AJ....160...83S
3218|TYC 6463-1348-1                                                                                                                             |Star                                  |04 23 42.9195065160 -29 37 16.073078484|229.1189961644329 -43.6489870684886|   -4.831 6.986     |10.981   |~               |    ~     ~    |    1|  513.593   pc  | -13.5800    +13.5800    |ST-L    |2020AJ....160...83S
3219|TYC 6463-1468-1                                                                                                                             |Star                                  |04 26 19.4548993560 -28 46 49.758140820|228.1348415916541 -42.9294961355936| 27.124 -19.855     |10.21    |~               |    ~     ~    |    1|  145.664   pc  |  -0.2610     +0.2610    |paral   |2020yCat.1350....0G
3220|TYC 6470-235-1                                                                                                                              |High Proper Motion Star               |04 28 19.7928048792 -29 26 02.927755860|229.1250704598430 -42.6279327596220| 77.652 -41.631     |10.94    |~               |    ~     ~    |    1|  142.861   pc  |  -0.2959     +0.2959    |paral   |2020yCat.1350....0G
3221|TYC 6470-586-1                                                                                                                              |Star                                  |04 28 37.1311411272 -27 37 49.820948760|226.7523511204028 -42.1938319147298| -15.625 -8.278     |10.52    |~               |    ~     ~    |    1|  264.095   pc  |  -4.0710     +4.0710    |ST-L    |2020AJ....160...83S
3222|TYC 7037-412-1                                                                                                                              |Star                                  |04 21 15.9436268976 -32 00 17.661769848|232.2774220918725 -44.5520697030332|    5.236 9.539     |10.99    |~               |    ~     ~    |    1|  933.620   pc  | -63.1071    +63.1071    |paral   |2020yCat.1350....0G
3223|TYC 7038-179-1                                                                                                                              |Star                                  |04 25 54.7674301176 -31 54 06.243997392|232.3332277395857 -43.5617672864315|   3.177 -0.020     |10.65    |~               |    ~     ~    |    1| 2389.486   pc  | -79.9350    +79.9350    |paral   |2020yCat.1350....0G
3224|TYC 7043-415-1                                                                                                                              |Star                                  |04 19 48.7212625344 -37 26 19.191318612|239.8876085500997 -45.3447297031936|   -9.489 7.694     |10.82    |~               |    ~     ~    |    1|  189.036   pc  |  -0.5253     +0.5253    |paral   |2020yCat.1350....0G
3225|TYC 7043-1182-1                                                                                                                             |Star                                  |04 21 09.1309434456 -35 17 44.326558464|236.8790255634438 -44.9413732752146|    4.376 0.434     |10.69    |~               |    ~     ~    |    1| 1614.205   pc  | -34.1341    +34.1341    |paral   |2020yCat.1350....0G
3226|TYC 7044-1117-1                                                                                                                             |Star                                  |04 24 38.8605138072 -36 47 02.234146560|239.0386879503377 -44.3468340458343|  17.406 -3.143     |10.597   |~               |    ~     ~    |    1|  442.695   pc  |  -9.3750     +9.3750    |ST-L    |2020AJ....160...83S
3227|TYC 7578-249-1                                                                                                                              |Spectroscopic Binary                  |04 17 38.6212549320 -38 49 45.315719904|241.8571455903247 -45.8085816731065|  0.615 -63.125     |10.81    |~               |    ~     ~    |    1|  203.903   pc  |  -3.4009     +3.4009    |paral   |2020yCat.1350....0G
3228|TYC 7578-877-1                                                                                                                              |Star                                  |04 26 30.0580886664 -39 35 17.577689568|242.9709355430029 -44.1060570752494|  20.737 -4.313     |9.97     |~               |    ~     ~    |    1|  851.538   pc  | -32.7900    +32.7900    |ST-L    |2020AJ....160...83S
3229|TYC 7578-966-1                                                                                                                              |Star                                  |04 17 28.2337623576 -38 55 33.716865072|241.9955011167198 -45.8433100910480| 37.135 -21.532     |10.69    |~               |    ~     ~    |    1|  160.369   pc  |  -2.5358     +2.5358    |paral   |2020yCat.1350....0G
3230|TYC 7579-627-1                                                                                                                              |Star                                  |04 27 46.7066438880 -39 03 12.204759492|242.2379189010889 -43.8437307534495|  -4.013 28.834     |10.49    |~               |    ~     ~    |    1|  565.931   pc  | -19.0565    +19.0565    |paral   |2020yCat.1350....0G
3231|TYC 7581-826-1                                                                                                                              |Star                                  |04 17 05.5829314704 -40 33 28.631642112|244.3400858527656 -45.9067409749844|  -0.958 -4.898     |10.97    |~               |    ~     ~    |    1|  861.772   pc  |  -8.1692     +8.1692    |paral   |2020yCat.1350....0G
3232|TYC 7581-832-1                                                                                                                              |Spectroscopic Binary                  |04 21 15.0531770088 -40 28 32.657163060|244.2068795679065 -45.1177701750650|   24.159 2.926     |10.97    |~               |    ~     ~    |    1|  254.343   pc  |  -5.0653     +5.0653    |paral   |2020yCat.1350....0G
3233|TYC 7581-840-1                                                                                                                              |High Proper Motion Star               |04 18 44.9588793480 -41 05 49.986061836|245.1021827517838 -45.5809800900852| 37.891 -35.694     |10.69    |~               |    ~     ~    |    1|  223.130   pc  |  -0.8663     +0.8663    |paral   |2020yCat.1350....0G
3234|TYC 7581-1482-1                                                                                                                             |Star                                  |04 15 33.1887285336 -41 32 56.343471540|245.7803479353961 -46.1651384667440| -5.933 -19.338     |10.86    |~               |    ~     ~    |    1|  227.330   pc  |  -0.5013     +0.5013    |paral   |2020yCat.1350....0G
3235|TYC 7581-1520-1                                                                                                                             |Star                                  |04 20 40.6634441400 -41 52 57.287087400|246.2047087510607 -45.1966810703410|   7.656 -4.259     |10.71    |~               |    ~     ~    |    1|  743.218   pc  |  -6.4075     +6.4075    |paral   |2020yCat.1350....0G
3236|TYC 7581-1601-1                                                                                                                             |Star                                  |04 26 37.674 -40 31 48.79              |244.283076 -44.095635              |      -3.6 -0.2     |8.20     |~               |    ~     ~    |    0|                |                         |        |                   
3237|TYC 7582-728-1                                                                                                                              |Star                                  |04 27 05.5868017248 -40 12 25.253274096|243.8346856547397 -44.0036973989170|    4.293 5.521     |10.978   |~               |    ~     ~    |    1| 1683.800   pc  |-144.8000   +144.8000    |ST-L    |2020AJ....160...83S
3238|TYC 7582-1225-1                                                                                                                             |Star                                  |04 28 19.4701736256 -41 11 36.711006972|245.2058688096639 -43.7773410384870|  -3.320 22.933     |10.72    |~               |    ~     ~    |    1|  276.533   pc  |  -4.0300     +4.0300    |paral   |2020yCat.1350....0G
3239|TYC 7584-89-1                                                                                                                               |Star                                  |04 26 11.6212149168 -44 05 54.965258340|249.2535203143106 -44.0906064849077|  11.822 15.736     |10.86    |~               |    ~     ~    |    1|  469.417   pc  |  -1.9611     +1.9611    |paral   |2020yCat.1350....0G
3240|TYC 7584-279-1                                                                                                                              |Star                                  |04 25 34.7333692560 -43 49 46.799870340|248.8874596450411 -44.2154425381854|    4.945 3.814     |10.884   |~               |    ~     ~    |    1|  970.080   pc  | -29.8800    +29.8800    |ST-L    |2020AJ....160...83S
3241|HD 27843B                                                                                                                                   |High Proper Motion Star               |04 21 46.7944942248 -42 47 18.123014184|247.4748625363793 -44.9569401315564|  18.678 80.028     |10.31    |~               |    ~     ~    |    1|  221.073   pc  |  -1.1192     +1.1192    |paral   |2020yCat.1350....0G
3242|TYC 7584-423-1                                                                                                                              |Star                                  |04 21 03.1245704760 -42 39 24.704179308|247.2977309171936 -45.0965447256633|   7.021 -4.394     |10.78    |~               |    ~     ~    |    1|  321.605   pc  |  -1.0757     +1.0757    |paral   |2020yCat.1350....0G
3243|TYC 7584-1346-1                                                                                                                             |Star                                  |04 18 25.1820746760 -44 16 41.027900484|249.6409382578081 -45.4685002684703|    6.699 5.777     |10.99    |~               |    ~     ~    |    1| 1110.371   pc  | -12.4525    +12.4525    |paral   |2020yCat.1350....0G
3244|TYC 7584-1470-1                                                                                                                             |Star                                  |04 21 25.2542389344 -44 21 24.645587148|249.6923580545145 -44.9271382188840|   7.082 26.363     |10.94    |~               |    ~     ~    |    1|  257.195   pc  |  -1.5876     +1.5876    |paral   |2020yCat.1350....0G
3245|TYC 8069-48-1                                                                                                                               |Star                                  |04 25 31.9545419064 -45 35 26.784610908|251.3376691710039 -44.1055285388024|-16.332 -24.525     |10.88    |~               |    ~     ~    |    1|  420.101   pc  |  -8.4170     +8.4170    |ST-L    |2020AJ....160...83S
3246|TYC 8069-594-1                                                                                                                              |Star                                  |04 28 09.8121234384 -46 06 09.935388720|251.9933068739340 -43.6069920605797|    1.674 8.071     |10.96    |~               |    ~     ~    |    1| 1066.325   pc  | -12.6213    +12.6213    |paral   |2020yCat.1350....0G
3247|TYC 8069-1860-1                                                                                                                             |Star                                  |04 22 01.5007216728 -46 50 45.057121548|253.1677823586517 -44.5856035462379|  20.276 32.949     |10.98    |~               |    ~     ~    |    1|  125.644   pc  |  -0.1737     +0.1737    |paral   |2020yCat.1350....0G
3248|TYC 8072-493-1                                                                                                                              |Star                                  |04 22 01.4044338696 -48 17 15.191922444|255.1725212813168 -44.4022098247153|  20.059 21.861     |10.95    |~               |    ~     ~    |    1|  396.448   pc  |  -1.5560     +1.5560    |paral   |2020yCat.1350....0G
3249|TYC 8072-808-1                                                                                                                              |Star                                  |04 24 34.5186225288 -49 31 02.690084460|256.7824396856717 -43.8088246346063|    9.945 2.341     |10.792   |~               |    ~     ~    |    1|  917.977   pc  | -29.3600    +29.3600    |ST-L    |2020AJ....160...83S
3250|TYC 8072-825-1                                                                                                                              |Star                                  |04 15 05.7241790832 -48 05 49.962144912|255.1522656838453 -45.5722862680886|   10.292 6.904     |10.926   |~               |    ~     ~    |    1|  550.224   pc  | -14.7000    +14.7000    |ST-L    |2020AJ....160...83S
3251|TYC 8072-1117-1                                                                                                                             |Star                                  |04 18 24.8949969600 -48 13 07.678594056|255.1997922059828 -45.0064871080435|   4.003 -3.059     |10.94    |~               |    ~     ~    |    1|  607.165   pc  |  -3.3547     +3.3547    |paral   |2020yCat.1350....0G
3252|TYC 8075-46-1                                                                                                                               |High Proper Motion Star               |04 18 53.7601624608 -52 28 34.647252708|261.0531599193399 -44.1380725849224|  36.229 38.008     |10.71    |~               |    ~     ~    |    1|  959.877   pc  | -10.6878    +10.6878    |paral   |2020yCat.1350....0G
3253|TYC 8075-849-1                                                                                                                              |Star                                  |04 20 06.6783712728 -50 02 17.215644444|257.6618717802654 -44.4348619005525| -7.116 -14.772     |10.93    |~               |    ~     ~    |    1|  487.377   pc  |  -2.4941     +2.4941    |paral   |2020yCat.1350....0G
3254|TYC 8502-207-1                                                                                                                              |Star                                  |04 15 13.7744195136 -54 50 43.141419204|264.4373766345254 -44.0802356726313|  31.696 14.515     |10.84    |~               |    ~     ~    |    1|  540.132   pc  |  -2.9758     +2.9758    |paral   |2020yCat.1350....0G
3255|TYC 8502-1933-1                                                                                                                             |High Proper Motion Star               |04 18 41.9329683552 -53 27 43.572732012|262.3976485876979 -43.9415557055849|  52.233 85.941     |10.59    |~               |    ~     ~    |    1|  176.585   pc  |  -0.3149     +0.3149    |paral   |2020yCat.1350....0G
3256|TYC 8505-362-1                                                                                                                              |Star                                  |04 21 50.7255577248 -57 26 28.103592948|267.5081904930344 -42.4710716968596|    4.301 2.388     |10.83    |~               |    ~     ~    |    1| 1149.293   pc  | -11.7558    +11.7558    |paral   |2020yCat.1350....0G
3257|TYC 8505-1377-1                                                                                                                             |High Proper Motion Star               |04 15 31.9951633920 -55 37 32.300740956|265.4617697084683 -43.8216114973578|  -4.529 57.465     |10.83    |~               |    ~     ~    |    1|   99.595   pc  |  -0.1091     +0.1091    |paral   |2020yCat.1350....0G
3258|TYC 8508-898-1                                                                                                                              |Star                                  |04 17 28.7921319408 -58 32 53.580254604|269.1787171398826 -42.6880589698989|   0.613 -1.795     |10.91    |~               |    ~     ~    |    1|  710.278   pc  |  -6.0035     +6.0035    |paral   |2020yCat.1350....0G
3259|TYC 8508-1347-1                                                                                                                             |Star                                  |04 22 44.8876918032 -58 55 11.856029268|269.3690750348481 -41.9228052483452|   20.320 9.580     |10.90    |~               |    ~     ~    |    1|  806.062   pc  |  -9.6161     +9.6161    |paral   |2020yCat.1350....0G
3260|TYC 8512-180-1                                                                                                                              |Star                                  |04 28 39.6010306176 -55 17 22.416846720|264.3705050596720 -42.1077889927944|    2.681 1.879     |10.922   |~               |    ~     ~    |    1|  588.043   pc  | -16.8400    +16.8400    |ST-L    |2020AJ....160...83S
3261|TYC 8515-653-1                                                                                                                              |Star                                  |04 27 15.7701181008 -58 15 35.178514344|268.2945333158689 -41.5501373463406|   16.060 5.296     |10.38    |~               |    ~     ~    |    1|  389.668   pc  | -45.1900    +45.1900    |ST-L    |2020AJ....160...83S
3262|TYC 9154-870-1                                                                                                                              |Star                                  |04 20 56.2336982832 -68 53 21.612770628|281.5876935607959 -38.3945434659909|  12.816 -2.104     |10.81    |~               |    ~     ~    |    1| 1558.846   pc  | -28.4310    +28.4310    |paral   |2020yCat.1350....0G
3263|TYC 9154-1412-1                                                                                                                             |Star                                  |04 16 28.9257084144 -68 12 45.807706548|281.0410852070436 -39.0592252935419|    1.250 8.371     |10.98    |~               |    ~     ~    |    1|  973.805   pc  |  -9.3881     +9.3881    |paral   |2020yCat.1350....0G
3264|TYC 9157-356-1                                                                                                                              |Star                                  |04 22 08.6819065296 -72 21 02.716657812|285.4231113408503 -36.7357136328830|  21.395 44.090     |10.810   |~               |    ~     ~    |    1|  201.820   pc  |  -1.9440     +1.9440    |ST-L    |2020AJ....160...83S
3265|TYC 9157-1150-1                                                                                                                             |Star                                  |04 25 11.8059107448 -71 00 57.482137224|283.8001661110582 -37.1309517362399| -1.266 -16.378     |10.808   |~               |    ~     ~    |    1|  869.875   pc  | -28.4200    +28.4200    |ST-L    |2020AJ....160...83S
3266|TYC 9157-1223-1                                                                                                                             |Star                                  |04 22 52.7380102656 -70 31 57.574071084|283.3626385232249 -37.5168707067555|  23.560 21.027     |10.99    |~               |    ~     ~    |    1|  261.938   pc  |  -0.6312     +0.6312    |paral   |2020yCat.1350....0G
3267|TYC 9160-1780-2                                                                                                                             |Star                                  |04 26 57.921 -72 38 02.82              |285.528174 -36.283393              |      -9.3 -8.5     |9.88     |~               |    ~     ~    |    0|                |                         |        |                   
3268|TYC 9364-55-1                                                                                                                               |Star                                  |04 19 25.1760782472 -76 48 26.665150032|290.2999891785585 -34.6815049326159|  15.117 11.021     |10.96    |~               |    ~     ~    |    1|  237.580   pc  |  -0.5757     +0.5757    |paral   |2020yCat.1350....0G
3269|TYC 9364-352-1                                                                                                                              |Star                                  |04 17 00.3050031408 -75 58 01.354777032|289.5168889797912 -35.2423162817574|   8.287 18.926     |10.19    |~               |    ~     ~    |    1| 1350.850   pc  | -83.7600    +83.7600    |ST-L    |2020AJ....160...83S
3270|TYC 9364-759-1                                                                                                                              |Star                                  |04 26 57.0279218112 -75 26 34.961784396|288.5862472282879 -34.9745963628082|   -6.241 5.532     |10.703   |~               |    ~     ~    |    1| 1440.470   pc  |-102.7000   +102.7000    |ST-L    |2020AJ....160...83S
3271|TYC 9364-1227-1                                                                                                                             |Star                                  |04 21 53.5391135568 -75 17 31.224498432|288.6163338897284 -35.3270812509060|   -5.401 5.443     |10.763   |~               |    ~     ~    |    1|  824.385   pc  | -31.7000    +31.7000    |ST-L    |2020AJ....160...83S
3272|TYC 9368-90-1                                                                                                                               |Star                                  |04 21 47.3284950240 -77 31 57.685849392|290.9676744806772 -34.1915219851422|    0.399 0.449     |10.948   |~               |    ~     ~    |    1|  745.230   pc  | -26.8300    +26.8300    |ST-L    |2020AJ....160...83S
3273|TYC 9372-231-1                                                                                                                              |Star                                  |04 24 41.9608566264 -79 18 55.317532536|292.7042510608978 -33.1378198956338|    4.739 9.288     |10.725   |~               |    ~     ~    |    1| 1255.360   pc  | -75.0400    +75.0400    |ST-L    |2020AJ....160...83S
3274|TYC 8869-354-1                                                                                                                              |Star                                  |04 19 14.3473915440 -61 25 22.272735216|272.7289918326065 -41.5154754970164|    8.708 1.305     |10.916   |~               |    ~     ~    |    1| 1125.210   pc  | -53.3700    +53.3700    |ST-L    |2020AJ....160...83S
3275|TYC 8869-1043-1                                                                                                                             |Star                                  |04 16 52.3460923272 -62 16 31.236052404|273.9247332784252 -41.4663768131932|   7.938 10.747     |10.99    |~               |    ~     ~    |    1|  696.524   pc  |  -6.3069     +6.3069    |paral   |2020yCat.1350....0G
3276|TYC 8869-1334-1                                                                                                                             |Star                                  |04 21 16.0481023752 -60 53 53.481650604|271.9589676473151 -41.4664292752125|   4.441 15.833     |10.96    |~               |    ~     ~    |    1| 1971.220   pc  | -42.7428    +42.7428    |paral   |2020yCat.1350....0G
3277|TYC 8872-437-1                                                                                                                              |Star                                  |04 21 40.1786135064 -62 38 49.967448756|274.1149446369559 -40.8142950299107|   9.333 41.561     |10.71    |~               |    ~     ~    |    1|  503.753   pc  |  -2.6646     +2.6646    |paral   |2020yCat.1350....0G
3278|TYC 8875-788-1                                                                                                                              |Star                                  |04 27 28.3052453208 -65 58 24.639096396|277.8477632786893 -39.0078314666611|    1.772 4.252     |10.765   |~               |    ~     ~    |    1|  642.171   pc  | -19.7000    +19.7000    |ST-L    |2020AJ....160...83S
3279|TYC 8875-1381-1                                                                                                                             |Star                                  |04 24 33.4576364064 -66 16 35.837993136|278.3541509714913 -39.1637911790800|   7.465 15.862     |10.48    |~               |    ~     ~    |    1| 1088.290   pc  | -58.7600    +58.7600    |ST-L    |2020AJ....160...83S
3280|TYC 9492-1153-1                                                                                                                             |Star                                  |04 16 08.6462831568 -83 25 35.636551572|296.9519255092355 -31.1217793408436|            ~ ~     |10.776   |~               |    ~     ~    |    0|                |                         |        |                   
3281|TYC 9492-1545-1                                                                                                                             |Spectroscopic Binary                  |04 18 19.4551486728 -83 55 12.441079128|297.3780920177803 -30.7846900907799| -14.170 26.277     |10.79    |~               |    ~     ~    |    1|  232.051   pc  |  -0.9531     +0.9531    |paral   |2020yCat.1350....0G
3282|TYC 9500-186-1                                                                                                                              |Star                                  |04 24 04.2067297728 -87 07 58.842806448|300.3132345170586 -28.8229532400585|  14.985 20.527     |10.89    |~               |    ~     ~    |    1|  256.865   pc  |  -2.6854     +2.6854    |paral   |2020yCat.1350....0G
3283|UCAC3 111-10849                                                                                                                             |High Proper Motion Star               |04 24 55.5307664952 -34 45 56.414168892|236.2377710013653 -44.1237033281463|  12.370 -0.110     |10.802   |~               |    ~     ~    |    1|  322.695   pc  |  -5.0730     +5.0730    |ST-L    |2020AJ....160...83S
3284|UCAC2 28133682                                                                                                                              |Star                                  |04 17 35.2416429864 -10 23 20.091270696|204.1861370668953 -38.8091455238694|   3.742 -5.552     |10.814   |~               |    ~     ~    |    1| 2086.770   pc  |-241.9000   +241.9000    |ST-L    |2020AJ....160...83S
3285|UCAC4 405-005823                                                                                                                            |Star                                  |04 23 47.5104545232 -09 11 43.992594204|203.7124889275499 -36.9063631483323|  3.446 -13.088     |9.887    |~               |    ~     ~    |    1| 2012.390   pc  |-782.5000   +782.5000    |ST-L    |2020AJ....160...83S
3286|UCAC3 125-11041                                                                                                                             |High Proper Motion Star               |04 25 21.9419377416 -27 55 27.012649476|226.9307772240771 -42.9598299823669|  1.715 -38.540     |10.876   |~               |    ~     ~    |    1|  447.588   pc  | -10.0500    +10.0500    |ST-L    |2020AJ....160...83S
3287|UCAC2 22611148                                                                                                                              |Star                                  |04 23 59.2378031520 -22 58 46.830974664|220.3283412272726 -42.0325183556443|    8.378 4.080     |10.766   |~               |    ~     ~    |    1|  535.414   pc  | -13.9700    +13.9700    |ST-L    |2020AJ....160...83S
3288|UCAC2 4035820                                                                                                                               |Star                                  |04 25 31.5379287912 -62 43 30.689424084|274.0068798548651 -40.3726950174093|  8.497 -40.070     |10.997   |~               |    ~     ~    |    1|  298.583   pc  |  -4.4350     +4.4350    |ST-L    |2020AJ....160...83S
3289|UCAC2 576985                                                                                                                                |Star                                  |04 26 59.8716931896 -76 43 47.202649752|289.9520023375194 -34.3470916532359|    6.587 2.955     |9.921    |~               |    ~     ~    |    1|  502.807   pc  | -12.9600    +12.9600    |ST-L    |2020AJ....160...83S
3290|HD 27983A                                                                                                                                   |High Proper Motion Star               |04 24 41.9114879448 -08 45 11.690345556|203.3499953367023 -36.5047334539160|-107.633 -170.682   |8.520    |~               |    ~     ~    |    1|   43.606   pc  |  -0.6203     +0.6203    |paral   |2020yCat.1350....0G
3291|HD 28072A                                                                                                                                   |High Proper Motion Star               |04 25 41.844265 -02 13 56.82347        |196.575607543 -33.088643624        |       58.3 3.3     |7.42     |~               |    ~     ~    |    0|                |                         |        |                   
3292|HD 28338A                                                                                                                                   |High Proper Motion Star               |04 27 31.9071110280 -17 06 30.556990008|213.3617447200185 -39.3335364968409|  78.169 71.039     |8.451    |~               |    ~     ~    |    1|   47.331   pc  |  -0.0479     +0.0479    |paral   |2020yCat.1350....0G
3293|BD-14 878                                                                                                                                   |Star                                  |04 21 04.6066 -14 01 23.963            |208.8987021 -39.5844511            |   25.126 0.496     |10.503   |~               |    ~     ~    |    1|  312.652   pc  |  -6.0460     +6.0460    |ST-L    |2020AJ....160...83S
3294|BD-06 910                                                                                                                                   |Spectroscopic Binary                  |04 27 19.2550985540 -06 11 19.717068819|200.9452805088838 -34.7220511097045|   -3.207 1.315     |10.645   |~               |    ~     ~    |    1|  989.413   pc  | -48.0659    +48.0659    |paral   |2020yCat.1350....0G
3295|CD-46 1407                                                                                                                                  |High Proper Motion Star               |04 25 24.6571559424 -46 38 49.109165268|252.8042304367494 -44.0303479087636|140.089 -101.364    |10.771   |~               |    ~     ~    |    1|  130.315   pc  |  -0.8098     +0.8098    |ST-L    |2020AJ....160...83S
