C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
87  |HD 158239                                                                                                |Double or Multiple Star               |17 30 15.4308180456 -44 11 47.980188636|345.4325452110413 -05.5408404145527|  -0.301 -4.408   |9.59     |B9III            |    ~     ~    |    1| 1132.759   pc  | -29.2557    +29.2557    |paral   |2020yCat.1350....0G
88  |HD 158397                                                                                                |Star                                  |17 31 11.5300686240 -44 39 02.986777296|345.1404683894315 -05.9277251857383|  -2.842 -1.303   |10.00    |A0III            |    ~     ~    |    1|  895.9771  pc  | -87.0208    +87.0208    |paral   |2018yCat.1345....0G
89  |HD 158396                                                                                                |Star                                  |17 31 14.5028870640 -44 37 43.435488360|345.1639422606668 -05.9231608518757|  -2.960 -8.960   |9.87     |A3/5IV           |    ~     ~    |    1|  341.018   pc  |  -2.2910     +2.2910    |paral   |2020yCat.1350....0G
90  |HD 158474                                                                                                |Star                                  |17 31 41.1213502632 -44 19 11.992816668|345.4679573452243 -05.8225498652851|   0.745 -6.298   |9.54     |B9IV             |    ~     ~    |    1|  589.866   pc  | -32.4630    +32.4630    |paral   |2020yCat.1350....0G
91  |HD 158497                                                                                                |Star                                  |17 31 46.8089503896 -44 19 14.956375044|345.4764807392615 -05.8372551429309|    0.033 0.365   |9.67     |A0III/IV         |    ~     ~    |    1|  781.189   pc  | -11.7779    +11.7779    |paral   |2020yCat.1350....0G
92  |HD 158584                                                                                                |Star                                  |17 32 15.3458525064 -44 22 39.279640656|345.4746426605170 -05.9394685319152|   2.248 -4.301   |9.14     |B3III            |    ~     ~    |    1|  929.627   pc  | -24.1114    +24.1114    |paral   |2020yCat.1350....0G
93  |HD 158646                                                                                                |Star                                  |17 32 34.4127667464 -44 19 46.218383328|345.5461451603932 -05.9613844497238|  -3.019 -2.471   |9.86     |B7/9II/III       |    ~     ~    |    1|  794.723   pc  | -13.7054    +13.7054    |paral   |2020yCat.1350....0G
94  |CD-44 11843                                                                                              |High Proper Motion Star               |17 32 57.5441389608 -44 08 59.499196008|345.7357174559955 -05.9228176367309|-10.868 -75.308   |9.86     |F5               |    ~     ~    |    1|  186.755   pc  |  -0.7324     +0.7324    |paral   |2020yCat.1350....0G
95  |HD 158746                                                                                                |Star                                  |17 33 06.0708702120 -44 29 55.769244540|345.4536256261652 -06.1319192277082| -1.291 -10.926   |8.28     |B9IV             |    ~     ~    |    1|  462.642   pc  |  -7.7910     +7.7910    |paral   |2020yCat.1350....0G
96  |HD 158745                                                                                                |Star                                  |17 33 09.3825992976 -44 19 02.742516084|345.6127913722286 -06.0427399065706|   1.976 -4.123   |10.61    |B7/8             |    ~     ~    |    1|  977.231   pc  | -26.7394    +26.7394    |paral   |2020yCat.1350....0G
