C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
6923|TYC 7384-245-1                                                                                           |Star                                  |17 41 27.7400596704 -35 03 04.199089932|354.3295636362587 -02.4565086048890|   0.974 -8.798   |10.53    |~                |    ~     ~    |    1|  822.098   pc  | -11.5570    +11.5570    |paral   |2020yCat.1350....0G
6924|TYC 7384-257-1                                                                                           |Star                                  |17 41 15.7746850392 -34 07 45.788518560|355.0913622386104 -01.9350846234830|  -1.080 -7.780   |10.54    |~                |    ~     ~    |    1| 1123.217   pc  | -24.4754    +24.4754    |paral   |2020yCat.1350....0G
6925|TYC 7384-263-1                                                                                           |Star                                  |17 39 35.4381511992 -35 12 25.976500128|353.9943248417932 -02.2144171087784|  -0.208 -2.527   |10.93    |~                |    ~     ~    |    1| 1318.913   pc  | -35.6604    +35.6604    |paral   |2020yCat.1350....0G
6926|TYC 7384-327-1                                                                                           |Star                                  |17 35 37.9100038824 -34 28 58.179972180|354.1712991499816 -01.1405617794103|  11.916 -2.990   |10.70    |~                |    ~     ~    |    1|  751.993   pc  | -13.3456    +13.3456    |paral   |2020yCat.1350....0G
6927|TYC 7384-335-1                                                                                           |Star                                  |17 39 04.8091819128 -34 47 06.480716784|354.2963614527972 -01.9014078914574|  -1.524 -2.617   |9.77     |~                |    ~     ~    |    1|  599.628   pc  | -10.9304    +10.9304    |paral   |2020yCat.1350....0G
6928|TYC 7384-391-1                                                                                           |Star                                  |17 34 12.3396224664 -33 45 24.998668812|354.6220375925343 -00.4995405927367|  -0.898 -2.215   |10.91    |~                |    ~     ~    |    1| 2531.005   pc  |-131.3227   +131.3227    |paral   |2020yCat.1350....0G
6929|TYC 7384-406-1                                                                                           |Star                                  |17 39 10.8651462025 -34 55 20.749230724|354.1910947508904 -01.9920218585668|  -1.592 -2.763   |10.67    |~                |    ~     ~    |    1|  562.778   pc  |  -5.5109     +5.5109    |paral   |2020yCat.1350....0G
6930|TYC 7384-466-1                                                                                           |Star                                  |17 37 14.7056287008 -35 16 22.349280756|353.6830369903522 -01.8444146526746| -0.227 -10.583   |10.80    |~                |    ~     ~    |    1|  521.186   pc  |  -4.7808     +4.7808    |paral   |2020yCat.1350....0G
6931|TYC 7384-505-1                                                                                           |High Proper Motion Star               |17 41 45.8704217448 -34 33 45.478670616|354.7777609664147 -02.2516415504431|-14.802 -52.849   |10.95    |~                |    ~     ~    |    1|  133.743   pc  |  -0.3864     +0.3864    |paral   |2020yCat.1350....0G
6932|TYC 7384-542-1                                                                                           |Star                                  |17 36 11.0194107480 -34 37 19.693879320|354.1151935378039 -01.3113555922951|  -0.693 -0.805   |10.91    |~                |    ~     ~    |    1| 1563.966   pc  | -47.6968    +47.6968    |paral   |2020yCat.1350....0G
6933|TYC 7384-596-1                                                                                           |Star                                  |17 33 03.9317073960 -35 21 52.397075304|353.1450057756024 -01.1765719397019|  -0.541 -0.386   |10.84    |~                |    ~     ~    |    1| 1389.854   pc  | -41.9178    +41.9178    |paral   |2020yCat.1350....0G
6934|TYC 7384-643-1                                                                                           |Star                                  |17 37 21.2734228896 -34 16 20.541357984|354.5399954176929 -01.3270177602663|  -1.183 -5.388   |10.61    |~                |    ~     ~    |    1|  987.752   pc  | -18.6350    +18.6350    |paral   |2020yCat.1350....0G
6935|TYC 7384-669-1                                                                                           |Star                                  |17 36 48.2472440016 -34 28 38.566340580|354.3059955906242 -01.3412075829994|   2.083 -7.700   |10.90    |~                |    ~     ~    |    1|  977.422   pc  | -16.9097    +16.9097    |paral   |2020yCat.1350....0G
6936|TYC 7384-672-1                                                                                           |Star                                  |17 39 12.2326435632 -33 45 38.225225880|355.1775092106089 -01.3774759300668|   7.143 -2.704   |10.35    |~                |    ~     ~    |    1|  867.830   pc  | -17.8491    +17.8491    |paral   |2020yCat.1350....0G
6937|TYC 7384-707-1                                                                                           |Star                                  |17 37 32.0860583640 -34 53 00.320331120|354.0437927012988 -01.6857816680528| -6.892 -15.716   |10.91    |~                |    ~     ~    |    1|  834.794   pc  | -13.0317    +13.0317    |paral   |2020yCat.1350....0G
6938|HD 160067A                                                                                               |Star                                  |17 39 22.5599072328 -34 53 11.320805364|354.2428284086109 -02.0067339319818|  -0.055 -2.419   |9.28     |A1/2V            |    ~     ~    |    1|  575.904   pc  |  -8.3248     +8.3248    |paral   |2020yCat.1350....0G
6939|HD 160067B                                                                                               |Star                                  |17 39 22.1805388680 -34 53 12.341675292|354.2418981412175 -02.0057866631600|  -1.864 -2.581   |10.47    |K1/2III          |    ~     ~    |    1|  564.717   pc  |  -6.0273     +6.0273    |paral   |2020yCat.1350....0G
6940|TYC 7384-761-1                                                                                           |Star                                  |17 39 33.1410666864 -33 46 35.469223608|355.2025974832419 -01.4472509590790|   2.071 -1.284   |10.95    |~                |    ~     ~    |    1|  909.339   pc  | -16.5379    +16.5379    |paral   |2020yCat.1350....0G
6941|TYC 7384-798-1                                                                                           |Star                                  |17 35 45.4032056136 -35 12 10.595813220|353.5785768561954 -01.5505598806135|   6.711 -1.467   |10.86    |~                |    ~     ~    |    1|  649.984   pc  |  -6.7174     +6.7174    |paral   |2020yCat.1350....0G
6942|TYC 7384-818-1                                                                                           |Star                                  |17 38 00.9429246408 -34 53 09.084896628|354.0945354035011 -01.7704074275081|  -5.891 -8.026   |10.98    |~                |    ~     ~    |    1|  694.975   pc  |  -6.9551     +6.9551    |paral   |2020yCat.1350....0G
6943|TYC 7385-348-1                                                                                           |Star                                  |17 44 20.9359436016 -34 33 29.695876524|355.0607948062755 -02.7023926144321|  -2.368 -2.181   |10.77    |~                |    ~     ~    |    1|  803.342   pc  | -10.5193    +10.5193    |paral   |2020yCat.1350....0G
6944|TYC 7385-371-1                                                                                           |Spectroscopic Binary                  |17 42 01.0871530392 -35 28 17.788917720|354.0316212426351 -02.7744049249408|    5.365 1.575   |10.53    |~                |    ~     ~    |    1|  903.179   pc  | -22.7589    +22.7589    |paral   |2020yCat.1350....0G
6945|TYC 7385-1407-1                                                                                          |Star                                  |17 43 20.2299596496 -35 09 50.527926576|354.4351240249424 -02.8420526534904|  11.013 -3.554   |10.78    |~                |    ~     ~    |    1|  939.144   pc  | -20.2858    +20.2858    |paral   |2020yCat.1350....0G
6946|TYC 7385-1450-1                                                                                          |Star                                  |17 42 50.3695773360 -33 54 16.885602720|355.4546646467107 -02.0944339818077|  6.281 -17.632   |10.56    |~                |    ~     ~    |    1|  783.760   pc  | -10.0128    +10.0128    |paral   |2020yCat.1350....0G
6947|TYC 7385-1478-1                                                                                          |Star                                  |17 42 19.2218768208 -34 05 57.500520828|355.2324007163452 -02.1052094450284|  -9.747 -7.695   |10.97    |~                |    ~     ~    |    1|  987.459   pc  | -20.4766    +20.4766    |paral   |2020yCat.1350....0G
6948|TYC 7387-618-1                                                                                           |Star                                  |17 31 18.4808894184 -36 45 10.952494668|351.7875989072485 -01.6376749099873|    1.563 0.876   |10.81    |~                |    ~     ~    |    1|  828.020   pc  | -12.7525    +12.7525    |paral   |2020yCat.1350....0G
6949|TYC 7387-901-1                                                                                           |Star                                  |17 31 27.3020177664 -36 40 56.907876432|351.8628057945434 -01.6236620004529|  -0.804 -0.653   |10.27    |~                |    ~     ~    |    1| 1597.189   pc  | -75.7651    +75.7651    |paral   |2020yCat.1350....0G
6950|TYC 7387-1006-1                                                                                          |Star                                  |17 32 21.8719132224 -36 15 18.697142520|352.3207085513174 -01.5431151845770|   -3.226 4.336   |10.90    |~                |    ~     ~    |    1|  757.461   pc  |  -9.1800     +9.1800    |paral   |2020yCat.1350....0G
6951|TYC 7388-27-1                                                                                            |Star                                  |17 35 11.6006663160 -37 28 56.800899336|351.5963677738571 -02.6842850186284|  4.090 -10.225   |10.99    |~                |    ~     ~    |    1|  989.609   pc  | -17.2361    +17.2361    |paral   |2020yCat.1350....0G
6952|TYC 7388-95-1                                                                                            |Star                                  |17 37 39.0254354184 -37 23 39.293892564|351.9329616972837 -03.0484984847856|   -3.270 2.663   |10.38    |~                |    ~     ~    |    1| 1182.872   pc  | -25.6051    +25.6051    |paral   |2020yCat.1350....0G
6953|TYC 7388-112-1                                                                                           |Star                                  |17 35 15.5122916760 -36 59 12.835231980|352.0210742892292 -02.4279304305986|    1.012 0.277   |10.67    |~                |    ~     ~    |    1| 1148.501   pc  | -41.0226    +41.0226    |paral   |2020yCat.1350....0G
6954|TYC 7388-178-1                                                                                           |Star                                  |17 36 50.6451739008 -37 29 32.514066924|351.7642203046440 -02.9657503036610|  -1.218 -1.887   |10.88    |~                |    ~     ~    |    1|  723.170   pc  | -16.3168    +16.3168    |paral   |2020yCat.1350....0G
6955|TYC 7388-260-1                                                                                           |Star                                  |17 36 45.6289371696 -37 28 12.140784804|351.7741968577552 -02.9397834867765|   3.451 -2.929   |10.98    |~                |    ~     ~    |    1|  844.096   pc  | -12.1125    +12.1125    |paral   |2020yCat.1350....0G
6956|TYC 7388-327-1                                                                                           |Star                                  |17 40 18.6878692296 -36 52 15.414276504|352.6591752448173 -03.2197349838919|   0.457 -2.665   |10.50    |~                |    ~     ~    |    1| 1259.922   pc  | -30.3194    +30.3194    |paral   |2020yCat.1350....0G
6957|TYC 7388-357-1                                                                                           |Star                                  |17 41 50.7816928968 -36 34 51.677801292|353.0683447057760 -03.3282453372340| -9.147 -26.459   |10.85    |~                |    ~     ~    |    1|  413.787   pc  |  -3.1676     +3.1676    |paral   |2020yCat.1350....0G
6958|TYC 7388-400-1                                                                                           |Star                                  |17 35 22.6861583544 -36 15 56.404050012|352.6417660386865 -02.0590362621130|   4.964 -5.161   |10.83    |~                |    ~     ~    |    1|  563.444   pc  |  -6.6034     +6.6034    |paral   |2020yCat.1350....0G
6959|TYC 7388-424-1                                                                                           |Star                                  |17 39 30.6763608624 -36 26 50.259880356|352.9338967845598 -02.8592126360166| -0.605 -17.921   |10.73    |~                |    ~     ~    |    1|  757.691   pc  |  -9.4726     +9.4726    |paral   |2020yCat.1350....0G
6960|TYC 7388-477-1                                                                                           |Star                                  |17 40 45.2094121848 -36 04 06.768163740|353.3883565713506 -02.8711057530888|  -0.600 -8.569   |10.69    |~                |    ~     ~    |    1|  662.866   pc  |  -7.9969     +7.9969    |paral   |2020yCat.1350....0G
6961|TYC 7388-482-1                                                                                           |Star                                  |17 35 18.6810929328 -36 14 20.823845424|352.6568670356105 -02.0333797531335|  -6.364 -7.239   |10.82    |~                |    ~     ~    |    1|  770.713   pc  | -11.0484    +11.0484    |paral   |2020yCat.1350....0G
6962|TYC 7388-501-2                                                                                           |Star                                  |17 38 59.514 -35 59 28.73              |353.264882 -02.528180              |        8.4 0.8   |10.31    |~                |    ~     ~    |    0|                |                         |        |                   
6963|TYC 7388-527-1                                                                                           |Star                                  |17 33 05.6373121320 -37 08 17.089226736|351.6597837798643 -02.1468550682574|  -4.119 -3.814   |10.78    |~                |    ~     ~    |    1| 1313.025   pc  | -39.9976    +39.9976    |paral   |2020yCat.1350....0G
6964|TYC 7388-563-1                                                                                           |Star                                  |17 34 03.1720130808 -36 59 39.905115720|351.8844557540983 -02.2294751605861|  -2.703 -7.471   |10.92    |~                |    ~     ~    |    1|  646.998   pc  |  -7.2000     +7.2000    |paral   |2020yCat.1350....0G
6965|TYC 7388-583-1                                                                                           |Star                                  |17 35 38.8687250784 -36 10 04.652084208|352.7534578474848 -02.0521572510680|   0.700 -2.873   |10.63    |~                |    ~     ~    |    1| 1072.271   pc  | -32.9983    +32.9983    |paral   |2020yCat.1350....0G
6966|TYC 7388-690-1                                                                                           |Star                                  |17 34 21.8102231352 -36 35 04.241245416|352.2629511605732 -02.0596715099116|   -1.093 3.470   |10.79    |~                |    ~     ~    |    1| 1140.901   pc  | -18.2232    +18.2232    |paral   |2020yCat.1350....0G
6967|TYC 7388-741-1                                                                                           |Star                                  |17 39 37.5979951248 -37 03 11.957650164|352.4316766029102 -03.2002157619528|   0.637 -5.548   |10.82    |~                |    ~     ~    |    1|  981.932   pc  | -22.3692    +22.3692    |paral   |2020yCat.1350....0G
6968|TYC 7388-776-1                                                                                           |Star                                  |17 36 15.8804643312 -36 34 15.515950692|352.4804354508412 -02.3737360059655|    7.720 0.805   |10.45    |~                |    ~     ~    |    1| 1012.248   pc  | -17.7264    +17.7264    |paral   |2020yCat.1350....0G
6969|TYC 7388-785-1                                                                                           |Star                                  |17 34 27.6572531088 -37 15 33.051813372|351.7057699719721 -02.4412306603650|   -0.506 0.684   |9.94     |~                |    ~     ~    |    1|  903.506   pc  | -17.8775    +17.8775    |paral   |2020yCat.1350....0G
6970|TYC 7388-822-1                                                                                           |Star                                  |17 41 03.2660257632 -35 46 27.004241388|353.6708589661548 -02.7673918337283|    8.261 2.683   |10.85    |~                |    ~     ~    |    1|  423.137   pc  |  -3.4377     +3.4377    |paral   |2020yCat.1350....0G
6971|TYC 7388-862-1                                                                                           |Star                                  |17 37 04.0769570424 -36 47 16.774543464|352.3836350427331 -02.6260890398037|  -0.229 -6.697   |10.99    |~                |    ~     ~    |    1| 1072.156   pc  | -19.0820    +19.0820    |paral   |2020yCat.1350....0G
6972|TYC 7388-872-1                                                                                           |Star                                  |17 39 18.2121607608 -36 57 54.420810552|352.4723006731391 -03.0987506871831|  -9.183 -5.676   |10.91    |~                |    ~     ~    |    1|  739.536   pc  |  -9.8444     +9.8444    |paral   |2020yCat.1350....0G
6973|TYC 7388-944-1                                                                                           |Star                                  |17 33 36.2802865296 -36 48 25.432921044|351.9933016962895 -02.0525597732062|  -0.306 -3.552   |10.88    |~                |    ~     ~    |    1|  776.639   pc  |  -8.6856     +8.6856    |paral   |2020yCat.1350....0G
6974|TYC 7388-983-2                                                                                           |Star                                  |17 40 36.565 -35 38 54.28              |353.729967 -02.624251              |     -4.9 -48.7   |9.89     |~                |    ~     ~    |    0|                |                         |        |                   
6975|TYC 7388-1047-1                                                                                          |Star                                  |17 33 12.6976830744 -36 59 13.845640992|351.7992745485793 -02.0844769167926|  -5.455 -6.498   |10.64    |~                |    ~     ~    |    1|  956.663   pc  | -20.5921    +20.5921    |paral   |2020yCat.1350....0G
6976|TYC 7389-1320-1                                                                                          |Star                                  |17 42 13.2463277688 -36 05 55.936206960|353.5189127703148 -03.1390670149831| -5.865 -11.408   |10.75    |~                |    ~     ~    |    1|  814.332   pc  | -11.8038    +11.8038    |paral   |2020yCat.1350....0G
6977|TYC 7389-1403-1                                                                                          |Star                                  |17 43 29.0336015616 -36 31 49.526340384|353.2841255625507 -03.5818374454559|    7.284 5.236   |10.63    |~                |    ~     ~    |    1|  972.763   pc  | -18.4522    +18.4522    |paral   |2020yCat.1350....0G
6978|TYC 7389-1435-1                                                                                          |Star                                  |17 42 25.6224540696 -35 41 01.589576820|353.8946407911131 -02.9566448968788|   1.717 -5.561   |10.98    |~                |    ~     ~    |    1|  794.407   pc  | -10.2235    +10.2235    |paral   |2020yCat.1350....0G
6979|TYC 7389-1656-1                                                                                          |Star                                  |17 43 04.2372867000 -35 59 22.958708676|353.7022225252429 -03.2281097872615|   -3.352 4.067   |10.47    |~                |    ~     ~    |    1|  845.809   pc  | -12.2332    +12.2332    |paral   |2020yCat.1350....0G
6980|TYC 7389-1784-1                                                                                          |Star                                  |17 44 58.1464471728 -36 35 42.666331596|353.3843074820890 -03.8701819353511| -17.701 -3.724   |10.87    |~                |    ~     ~    |    1| 1476.669   pc  | -54.9499    +54.9499    |paral   |2020yCat.1350....0G
6981|TYC 7389-1809-1                                                                                          |Star                                  |17 44 44.4184275864 -35 55 07.794963228|353.9393972597234 -03.4793836363348| -7.449 -14.590   |10.89    |~                |    ~     ~    |    1|  866.476   pc  | -13.3639    +13.3639    |paral   |2020yCat.1350....0G
6982|TYC 7389-1833-1                                                                                          |Star                                  |17 42 03.3756679488 -36 29 07.358570232|353.1720504599752 -03.3138631127252|  -6.964 -9.887   |10.99    |~                |    ~     ~    |    1|  521.268   pc  | -13.9664    +13.9664    |paral   |2020yCat.1350....0G
6983|TYC 7389-1901-1                                                                                          |Star                                  |17 44 30.4324187376 -36 49 06.388326228|353.1448927031452 -03.9070320953742| -7.239 -11.148   |10.46    |~                |    ~     ~    |    1|  860.807   pc  | -15.1162    +15.1162    |paral   |2020yCat.1350....0G
6984|TYC 7389-1965-1                                                                                          |Star                                  |17 43 32.9025272232 -36 06 35.296507440|353.6502710592881 -03.3732223438103|  -4.184 -0.762   |10.69    |~                |    ~     ~    |    1|  931.619   pc  | -13.4527    +13.4527    |paral   |2020yCat.1350....0G
6985|TYC 7389-2059-1                                                                                          |Star                                  |17 42 34.9601958120 -35 48 04.792432536|353.8110360464450 -03.0452233215047|   1.188 -9.132   |10.78    |~                |    ~     ~    |    1|  796.115   pc  | -11.0281    +11.0281    |paral   |2020yCat.1350....0G
6986|TYC 7884-85-1                                                                                            |Star                                  |17 33 50.0902843272 -39 19 52.532202720|349.8943022367389 -03.4590508020318| -2.661 -13.116   |10.88    |~                |    ~     ~    |    1|  820.479   pc  | -10.2324    +10.2324    |paral   |2020yCat.1350....0G
6987|TYC 7884-95-1                                                                                            |Star                                  |17 38 23.1461270376 -39 09 55.305659196|350.5079870105524 -04.1139072748399|  -4.508 -1.099   |10.88    |~                |    ~     ~    |    1|  875.733   pc  | -15.4916    +15.4916    |paral   |2020yCat.1350....0G
6988|TYC 7884-173-1                                                                                           |Star                                  |17 31 50.9873738880 -39 19 00.148302192|349.6976305459442 -03.1288454997585|   5.266 -2.237   |10.85    |~                |    ~     ~    |    1| 1004.419   pc  | -16.4444    +16.4444    |paral   |2020yCat.1350....0G
6989|TYC 7884-183-1                                                                                           |Star                                  |17 35 47.1996719880 -39 10 41.619537120|350.2274910074677 -03.6948503681426| -0.989 -25.089   |10.87    |~                |    ~     ~    |    1|  859.180   pc  | -12.3278    +12.3278    |paral   |2020yCat.1350....0G
6990|TYC 7884-252-1                                                                                           |Star                                  |17 34 22.0955577480 -37 50 15.630765360|351.2087757290362 -02.7387112494366|  -2.494 -1.085   |10.98    |~                |    ~     ~    |    1|  881.213   pc  | -12.9681    +12.9681    |paral   |2020yCat.1350....0G
6991|TYC 7884-267-1                                                                                           |Star                                  |17 30 27.7107961584 -38 18 07.830536292|350.3995070897233 -02.3472578640254|  -0.029 -9.169   |10.96    |~                |    ~     ~    |    1| 1240.541   pc  | -27.2393    +27.2393    |paral   |2020yCat.1350....0G
6992|TYC 7884-292-1                                                                                           |Star                                  |17 37 44.3529167496 -37 40 56.335744524|351.6984249016006 -03.2171678156114|   2.676 -2.261   |10.98    |~                |    ~     ~    |    1|  747.775   pc  | -18.5085    +18.5085    |paral   |2020yCat.1350....0G
6993|TYC 7884-311-1                                                                                           |Star                                  |17 37 55.3223292336 -39 17 11.501560284|350.3572323036661 -04.1022361487400|   0.505 -8.518   |10.91    |~                |    ~     ~    |    1|  843.882   pc  | -11.2518    +11.2518    |paral   |2020yCat.1350....0G
6994|TYC 7884-335-1                                                                                           |Star                                  |17 33 09.2694926184 -38 26 27.635673768|350.5716355883832 -02.8651734829112|  -0.227 -1.926   |10.69    |~                |    ~     ~    |    1| 1180.080   pc  | -20.4711    +20.4711    |paral   |2020yCat.1350....0G
6995|TYC 7884-364-1                                                                                           |Star                                  |17 38 27.4899308616 -37 48 07.046201988|351.6728720574950 -03.4011916857727|   11.179 1.992   |10.61    |~                |    ~     ~    |    1|  758.323   pc  | -10.2359    +10.2359    |paral   |2020yCat.1350....0G
6996|TYC 7884-472-1                                                                                           |Star                                  |17 33 06.2596966824 -38 19 20.802787032|350.6659523253056 -02.7925081645821|   9.648 -1.214   |10.89    |~                |    ~     ~    |    1|  998.801   pc  | -12.9689    +12.9689    |paral   |2020yCat.1350....0G
6997|TYC 7884-565-1                                                                                           |Star                                  |17 32 15.9416323512 -38 54 34.464004524|350.0834702947913 -02.9745190976122|   2.473 -6.357   |10.83    |~                |    ~     ~    |    1|  917.852   pc  | -13.9847    +13.9847    |paral   |2020yCat.1350....0G
6998|TYC 7884-592-1                                                                                           |Star                                  |17 32 51.8619756072 -38 50 38.018709168|350.2021436095785 -03.0365285606150|  -4.254 -4.746   |10.92    |~                |    ~     ~    |    1| 1259.287   pc  | -27.2758    +27.2758    |paral   |2020yCat.1350....0G
6999|TYC 7884-728-1                                                                                           |Star                                  |17 31 25.4958393888 -37 43 21.065474316|350.9887444110096 -02.1881041333692|   5.293 -3.149   |10.86    |~                |    ~     ~    |    1|  870.171   pc  | -14.2353    +14.2353    |paral   |2020yCat.1350....0G
7000|TYC 7884-750-1                                                                                           |Star                                  |17 34 02.9912431320 -37 55 22.298695968|351.1030201944290 -02.7319814298326|   1.359 -0.005   |10.28    |~                |    ~     ~    |    1| 1436.369   pc  | -38.5810    +38.5810    |paral   |2020yCat.1350....0G
7001|TYC 7884-834-1                                                                                           |Star                                  |17 32 10.2149897424 -37 53 50.225365824|350.9227790141843 -02.4068953080873|  -1.475 -1.330   |10.84    |~                |    ~     ~    |    1| 1076.658   pc  | -23.7634    +23.7634    |paral   |2020yCat.1350....0G
7002|TYC 7884-861-1                                                                                           |Star                                  |17 31 51.7525844760 -38 39 17.180444988|350.2544105205844 -02.7697041260497|   0.408 -4.352   |10.72    |~                |    ~     ~    |    1| 1187.931   pc  | -28.5058    +28.5058    |paral   |2020yCat.1350....0G
7003|TYC 7884-1009-1                                                                                          |Star                                  |17 31 28.9216326504 -38 48 27.911568096|350.0855352699369 -02.7911139044213|   0.799 -5.107   |10.17    |~                |    ~     ~    |    1| 1200.336   pc  | -25.0700    +25.0700    |paral   |2020yCat.1350....0G
7004|TYC 7884-1100-1                                                                                          |Star                                  |17 30 28.4418704107 -37 42 46.530281720|350.8935802102491 -02.0255917274790|   1.512 -4.198   |10.93    |~                |    ~     ~    |    0|                |                         |        |                   
7005|TYC 7884-1103-1                                                                                          |Star                                  |17 39 19.2004117344 -38 25 49.606652640|351.2293276121658 -03.8784709858276|  -0.325 -0.259   |10.74    |~                |    ~     ~    |    1|  834.028   pc  | -13.0078    +13.0078    |paral   |2020yCat.1350....0G
7006|TYC 7884-1127-1                                                                                          |Star                                  |17 30 42.2222651352 -37 47 56.691701340|350.8464759768948 -02.1108428803277|   3.343 -2.362   |10.90    |~                |    ~     ~    |    1|  839.842   pc  |  -9.9452     +9.9452    |paral   |2020yCat.1350....0G
7007|TYC 7884-1166-1                                                                                          |Star                                  |17 33 33.9917938800 -37 41 21.371861256|351.2477050827920 -02.5251264570048|  -1.689 -4.078   |10.96    |~                |    ~     ~    |    1| 1091.465   pc  | -40.0275    +40.0275    |paral   |2020yCat.1350....0G
7008|TYC 7884-1191-1                                                                                          |Star                                  |17 30 09.9024126744 -38 45 25.824656844|349.9870559259782 -02.5487211739385|  3.010 -11.258   |10.51    |~                |    ~     ~    |    1|  631.433   pc  | -60.0852    +60.0852    |paral   |2020yCat.1350....0G
7009|TYC 7884-1224-1                                                                                          |Star                                  |17 30 49.9406153784 -39 14 04.407955764|349.6587249434354 -02.9190593973549|  -1.083 -3.108   |10.63    |~                |    ~     ~    |    1| 1210.654   pc  | -20.6661    +20.6661    |paral   |2020yCat.1350....0G
7010|TYC 7884-1273-1                                                                                          |Star                                  |17 32 01.1908161048 -38 52 47.484341616|350.0823054243889 -02.9182165351651|  -1.883 -5.336   |10.27    |~                |    ~     ~    |    1|  980.008   pc  | -14.6944    +14.6944    |paral   |2020yCat.1350....0G
7011|TYC 7884-1300-1                                                                                          |Star                                  |17 30 27.9197501424 -38 00 18.454025880|350.6483119215496 -02.1846799881181|  -1.309 -0.971   |10.88    |~                |    ~     ~    |    1|  847.961   pc  | -12.5112    +12.5112    |paral   |2020yCat.1350....0G
7012|TYC 7884-1349-1                                                                                          |Star                                  |17 32 09.6107963232 -39 15 53.257148496|349.7740070215511 -03.1508897933447|  -11.931 3.406   |10.80    |~                |    ~     ~    |    1|  789.515   pc  | -16.8300    +16.8300    |paral   |2020yCat.1350....0G
7013|TYC 7884-1742-1                                                                                          |Star                                  |17 36 33.3001294248 -38 11 37.183272684|351.1405751554212 -03.2933195178989|  2.094 -18.937   |10.94    |~                |    ~     ~    |    1|  714.694   pc  |  -9.1431     +9.1431    |paral   |2020yCat.1350....0G
7014|TYC 7884-1793-1                                                                                          |Star                                  |17 38 05.2442417112 -38 46 07.834662840|350.8137599870796 -03.8540117986405|  -2.508 -8.248   |10.71    |~                |    ~     ~    |    1|  991.768   pc  | -18.3934    +18.3934    |paral   |2020yCat.1350....0G
7015|2MASS J17374591-3832315                                                                                  |Hot Subdwarf Candidate                |17 37 45.9189104640 -38 32 31.499231964|350.9725539031506 -03.6800365236060|  -1.410 -2.124   |10.22    |~                |    ~     ~    |    1|  129.0556  pc  |  -8.4143     +8.4143    |paral   |2018yCat.1345....0G
7016|TYC 7884-1881-1                                                                                          |Star                                  |17 37 32.0687123496 -38 01 43.957745400|351.3832682922595 -03.3679729749451| -3.696 -12.587   |10.45    |~                |    ~     ~    |    1|  834.168   pc  | -13.7080    +13.7080    |paral   |2020yCat.1350....0G
7017|TYC 7884-2118-1                                                                                          |Star                                  |17 37 28.3939859856 -38 43 31.801184364|350.7865826166978 -03.7295797167584|  -0.373 -7.201   |10.26    |~                |    ~     ~    |    1|  926.269   pc  | -14.4998    +14.4998    |paral   |2020yCat.1350....0G
7018|TYC 7884-2383-1                                                                                          |Star                                  |17 38 43.5960158112 -39 02 51.412577928|350.6432226906994 -04.1074545429983|    2.821 6.580   |10.70    |~                |    ~     ~    |    1| 1017.708   pc  | -18.6431    +18.6431    |paral   |2020yCat.1350....0G
7019|TYC 7884-2441-1                                                                                          |Star                                  |17 36 56.3288983632 -39 05 25.184370120|350.4217998188367 -03.8364507367282|  -1.793 -6.624   |10.99    |~                |    ~     ~    |    1| 1060.221   pc  | -17.5355    +17.5355    |paral   |2020yCat.1350....0G
7020|TYC 7884-2856-1                                                                                          |Star                                  |17 37 30.0389620392 -37 47 08.496837780|351.5856518535587 -03.2324759722212|   15.856 1.299   |9.00     |~                |    ~     ~    |    1|  147.612   pc  |  -0.4881     +0.4881    |paral   |2020yCat.1350....0G
7021|TYC 7885-121-1                                                                                           |Star                                  |17 40 45.3832620120 -37 42 04.379690052|351.9995303819745 -03.7332018977801|  -2.983 -7.971   |10.93    |~                |    ~     ~    |    1|  724.375   pc  |  -8.0282     +8.0282    |paral   |2020yCat.1350....0G
7022|TYC 7885-154-1                                                                                           |Star                                  |17 41 39.9255043176 -37 46 49.276104528|352.0268351717003 -03.9276695350668|  -1.560 -4.751   |10.68    |~                |    ~     ~    |    1| 1204.529   pc  | -31.4843    +31.4843    |paral   |2020yCat.1350....0G
7023|TYC 7885-204-1                                                                                           |Star                                  |17 40 02.8918115832 -38 12 43.828565544|351.4907107930124 -03.8842330975937|   8.823 -0.160   |10.61    |~                |    ~     ~    |    1|  555.001   pc  |  -5.5753     +5.5753    |paral   |2020yCat.1350....0G
7024|HD 160812B                                                                                               |Star                                  |17 43 43.066923 -38 11 43.48028        |351.883945112 -04.489355167        |       5.3 -6.3   |10.12    |~                |    ~     ~    |    0|                |                         |        |                   
7025|TYC 7885-284-1                                                                                           |Star                                  |17 42 21.7105784784 -38 49 40.906943904|351.2036868340247 -04.5928478118495| -9.902 -10.867   |10.85    |~                |    ~     ~    |    1| 1368.925   pc  | -38.4161    +38.4161    |paral   |2020yCat.1350....0G
