C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
64  |TYC 2905-1267-1                                                       |Star                           |04 47 13.4366994336 +44 24 34.597506384|160.6663484914752 -00.5078426073798| 19.876 -21.668  |10.77    |~                 |    ~     ~    
65  |HD 233006                                                             |Star                           |04 46 35.4733525992 +51 19 02.564340312|155.3281403297978 +03.8819960697638|  -3.855 -0.959  |8.67     |K0                |    ~     ~    
66  |HD 30015                                                              |Star                           |04 46 26.4124899840 +51 05 45.794903712|155.4819847292079 +03.7208126325008|  1.667 -14.676  |8.010    |K2                |    ~     ~    
67  |HD 233007                                                             |Star                           |04 46 42.8000414160 +51 12 40.829788476|155.4216075381198 +03.8280313932810|    0.745 0.466  |8.71     |K5                |    ~     ~    
68  |HD 30145                                                              |Star                           |04 47 35.9487609984 +50 34 08.416875540|156.0036223921651 +03.5201991436571| -10.791 11.730  |7.84     |G0                |    ~     ~    
69  |HD 30189                                                              |High Proper Motion Star        |04 48 04.2104146656 +50 42 51.411476916|155.9404171733323 +03.6708734876948| 45.741 -50.706  |8.46     |G5                |    ~     ~    
70  |HD 30254                                                              |Star                           |04 48 36.0140309520 +50 37 37.965166896|156.0613460548242 +03.6792785367609|   2.834 -4.016  |9.23     |A0                |    ~     ~    
71  |HD 30046                                                              |Star                           |04 46 39.6072537456 +50 09 08.581314492|156.2253929191816 +03.1368124325166| 12.936 -13.999  |8.20     |A0                |    ~     ~    
72  |HD 30307                                                              |Star                           |04 48 55.1335262160 +50 05 22.100083656|156.5072260972045 +03.3731883048375| -6.923 -13.250  |8.38     |K0                |    ~     ~    
73  |BD+49 1234                                                            |Star                           |04 45 05.6952838680 +50 05 25.055584188|156.1096435241587 +02.9056440427397|  -0.492 -0.062  |10.61    |A0                |    ~     ~    
74  |HD 29934                                                              |Star                           |04 45 26.8735198944 +49 34 29.187504696|156.5386512469507 +02.6134476324142|   -2.822 2.970  |8.63     |A0                |    ~     ~    
75  |HD 29996                                                              |Double or Multiple Star        |04 46 15.5513977464 +49 56 53.472144012|156.3394685868375 +02.9555330329682| 11.179 -17.778  |8.32     |K0                |0.0083  0.0    
76  |BD+49 1241                                                            |Star                           |04 47 23.5492264608 +49 36 25.338844008|156.7184717333369 +02.8743949678231|  -0.477 -4.076  |9.63     |A2                |    ~     ~    
