C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
4160|BD+06 759                                                             |Star                           |04 49 12.2748345528 +07 08 39.027535188|191.1916228573077 -23.0952916843996|   3.462 -8.594  |10.40    |~                 |    ~     ~    
4161|TYC 96-545-1                                                          |Star                           |04 50 01.7052790416 +07 04 06.414319668|191.3828753351079 -22.9667386605694|   3.768 -3.555  |9.69     |~                 |    ~     ~    
4162|TYC 96-575-1                                                          |Double or Multiple Star        |04 48 49.614792 +07 16 14.47032        |191.020706695 -23.103259285        |     16.4 -10.7  |10.966   |~                 |    ~     ~    
4163|TYC 96-644-1                                                          |Star                           |04 45 50.0407756416 +06 52 52.634438184|190.9243815564824 -23.9370301409272| 25.307 -14.712  |10.87    |~                 |    ~     ~    
4164|TYC 96-796-1                                                          |Star                           |04 49 53.6087079576 +06 47 29.775011208|191.6139173740474 -23.1472151554970|   8.842 -7.380  |10.89    |~                 |    ~     ~    
4165|TYC 96-897-1                                                          |Star                           |04 49 57.7784762808 +06 52 46.528246776|191.5443765075949 -23.0843763673102| 14.068 -20.766  |10.63    |~                 |    ~     ~    
4166|TYC 97-228-1                                                          |Star                           |04 54 20.5665574440 +06 28 10.866131364|192.5613613970992 -22.3980432010685|   5.346 -3.924  |10.84    |~                 |    ~     ~    
4167|TYC 97-302-1                                                          |Star                           |04 52 57.9547475880 +06 33 21.778259544|192.2814648670764 -22.6379753676190|  2.722 -12.569  |10.63    |~                 |    ~     ~    
4168|TYC 97-435-1                                                          |Star                           |04 59 40.4447516832 +06 25 27.281811936|193.3727809170333 -21.3076583782624|   0.484 -4.388  |10.44    |~                 |    ~     ~    
4169|TYC 97-828-1                                                          |Star                           |04 55 59.7191678424 +06 11 02.526634392|193.0612195233467 -22.2074362528529|  9.236 -14.751  |10.95    |~                 |    ~     ~    
4170|TYC 97-1001-1                                                         |Star                           |04 55 14.9237309208 +05 45 02.112459444|193.3479044003603 -22.5974205558055|  -1.846 -3.868  |10.89    |~                 |    ~     ~    
4171|TYC 683-225-1                                                         |Star                           |04 50 45.0360947616 +09 22 27.940780884|189.4208475554175 -21.5341991994719|   -1.006 1.262  |10.96    |~                 |    ~     ~    
4172|TYC 683-635-1                                                         |Star                           |04 50 47.1043169808 +07 42 20.294350560|190.9196199449245 -22.4582213737997|  -0.687 -4.631  |10.35    |~                 |    ~     ~    
4173|TYC 683-723-1                                                         |Star                           |04 47 12.7460658984 +07 47 46.642191792|190.3037296454445 -23.1431239093442| -1.102 -11.129  |10.57    |~                 |    ~     ~    
4174|TYC 683-1058-1                                                        |Star                           |04 47 51.4685418240 +08 57 28.695108024|189.3585726848615 -22.3587239284986|   2.110 -4.689  |10.84    |~                 |    ~     ~    
4175|TYC 684-145-1                                                         |Star                           |04 55 35.5894790088 +09 14 59.116898256|190.2466208906191 -20.6127371438415|    1.476 1.823  |10.95    |~                 |    ~     ~    
4176|TYC 684-150-1                                                         |Star                           |04 57 40.4679878856 +09 11 18.652626816|190.6042923387115 -20.2188084030952|   1.360 -4.756  |10.88    |~                 |    ~     ~    
4177|TYC 684-451-1                                                         |Star                           |04 54 38.6614757928 +09 01 39.451117584|190.3052469962417 -20.9308271297809|   0.820 -3.336  |10.99    |~                 |    ~     ~    
4178|HD 31306B                                                             |Star                           |04 54 56.3353889252 +08 36 01.668841935|190.7294260354480 -21.1068457431655| -11.967 -6.294  |8.95     |~                 |    ~     ~    
4179|TYC 684-528-1                                                         |Star                           |04 52 04.3290166872 +08 19 12.939097152|190.5581288076595 -21.8522551726823|  -2.666 -5.963  |10.89    |~                 |    ~     ~    
4180|TYC 684-548-1                                                         |Star                           |04 58 00.8101226088 +08 23 19.082777388|191.3662955796044 -20.5886116043100|   0.828 -3.995  |10.94    |~                 |    ~     ~    
4181|TYC 684-559-1                                                         |Star                           |04 51 46.6871853288 +08 50 06.859158936|190.0539816075152 -21.6260068110126|  14.465 -7.346  |10.04    |~                 |    ~     ~    
4182|TYC 684-740-1                                                         |Star                           |04 55 25.8264317496 +07 57 26.316313560|191.3771501807823 -21.3596632399026|   8.676 -6.854  |10.99    |~                 |    ~     ~    
4183|TYC 684-814-1                                                         |Star                           |04 57 22.5716749776 +08 27 29.244097332|191.2118550291613 -20.6823112440302|   3.652 -6.479  |10.83    |~                 |    ~     ~    
4184|TYC 684-1005-1                                                        |Star                           |04 51 37.6191805752 +08 27 23.614838136|190.3701084125295 -21.8680317740961|  -1.977 -6.814  |10.86    |~                 |    ~     ~    
4185|TYC 684-1027-1                                                        |Spectroscopic Binary           |04 52 26.4974760696 +08 46 40.982612988|190.2032967704328 -21.5217964523519|  23.152 79.718  |10.77    |~                 |    ~     ~    
4186|TYC 684-1276-1                                                        |Star                           |04 53 21.3390635568 +07 42 27.062120304|191.2976999923239 -21.9262255248174|  2.928 -16.768  |10.86    |~                 |    ~     ~    
4187|TYC 687-97-1                                                          |Star                           |04 45 31.1006779392 +11 03 38.000815020|187.1419479891298 -21.6317383666701| 18.552 -21.299  |10.65    |~                 |    ~     ~    
4188|TYC 687-389-1                                                         |Star                           |04 48 04.5592434120 +09 25 09.856098876|188.9801854809355 -22.0536090875035|   14.607 3.782  |10.72    |~                 |    ~     ~    
4189|TYC 687-1240-1                                                        |Star                           |04 48 42.0008914320 +10 00 07.197886980|188.5570733220872 -21.5966803439666|   4.291 -3.514  |10.85    |~                 |    ~     ~    
4190|TYC 687-1423-1                                                        |Star                           |04 50 41.6158114416 +10 28 58.910237364|188.4307344891120 -20.9198711965191|   0.007 -5.201  |10.80    |~                 |    ~     ~    
4191|TYC 688-1299-1                                                        |Star                           |04 52 34.5805544064 +09 38 05.498050092|189.4607294711127 -21.0154544994177|  17.351 17.926  |10.55    |~                 |    ~     ~    
4192|TYC 688-1352-1                                                        |Star                           |04 54 07.1905166400 +09 30 22.136533092|189.8027427795877 -20.7720313003913|  -1.601 -6.572  |10.61    |~                 |    ~     ~    
4193|TYC 688-1460-1                                                        |Star                           |04 58 40.7423523840 +09 51 14.535275256|190.1598804300771 -19.6445962545574|  -3.058 -2.946  |10.93    |~                 |    ~     ~    
4194|TYC 689-773-1                                                         |Star                           |04 59 44.6465290224 +10 53 27.103407792|189.4001988021426 -18.8513646601002|  -1.298 -2.923  |10.78    |~                 |    ~     ~    
4195|TYC 691-182-1                                                         |Star                           |04 46 51.7659552576 +11 28 25.619724516|186.9839451591540 -21.1240345538564|  -1.642 -9.600  |10.57    |~                 |    ~     ~    
4196|TYC 691-982-1                                                         |Spectroscopic Binary           |04 48 03.2193757032 +11 51 07.900220808|186.8333106281100 -20.6675183498810|  4.109 -15.004  |10.82    |~                 |    ~     ~    
4197|TYC 691-1292-1                                                        |Star                           |04 48 32.9416858080 +12 03 03.314689704|186.7346780838334 -20.4538761050715|   2.251 -4.912  |10.94    |~                 |    ~     ~    
4198|TYC 692-1299-1                                                        |Star                           |04 51 15.7176645048 +12 09 21.305542428|187.0497208057078 -19.8511069643822|    0.133 1.587  |10.86    |~                 |    ~     ~    
4199|TYC 693-1187-1                                                        |Star                           |04 59 26.9113664112 +11 42 17.980950672|188.6445698398300 -18.4570216237517|   0.990 -9.511  |10.80    |~                 |    ~     ~    
4200|TYC 695-91-1                                                          |Star                           |04 50 26.3402420664 +13 45 29.124144252|185.5396763354634 -19.0893286445867|   3.918 -6.451  |10.83    |~                 |    ~     ~    
4201|TYC 695-542-1                                                         |Star                           |04 51 00.3993630936 +14 50 42.346619880|184.6920383537499 -18.3436766984809|   -0.752 3.536  |10.86    |~                 |    ~     ~    
4202|TYC 695-721-1                                                         |Star                           |04 45 29.9771643432 +14 10 35.336897616|184.4351974011652 -19.8149231528782|   1.018 -6.040  |10.82    |~                 |    ~     ~    
4203|TYC 695-1213-1                                                        |Star                           |04 50 00.6226368000 +14 06 11.287881072|185.1789146377587 -18.9728679510064|   -2.666 3.321  |10.97    |~                 |    ~     ~    
4204|TYC 696-657-1                                                         |Star                           |04 56 08.5030101552 +14 32 22.900535376|185.7108434574012 -17.5095927481855|   3.697 -3.232  |10.84    |~                 |    ~     ~    
4205|TYC 696-1753-1                                                        |Star                           |04 51 47.7159136008 +13 43 30.656823960|185.7701451049767 -18.8402199212223|  31.731 -3.941  |10.83    |~                 |    ~     ~    
4206|HD 31665B                                                             |High Proper Motion Star        |04 58 18.9767383488 +13 57 08.752391820|186.5319079152094 -17.4143076951473| 18.833 -73.983  |9.73     |~                 |    ~     ~    
4207|TYC 1267-920-1                                                        |Star                           |04 46 49.7979539088 +15 07 04.508829552|183.8324490259401 -18.9984344298695|  0.649 -10.407  |10.52    |~                 |    ~     ~    
4208|TYC 1267-930-1                                                        |Star                           |04 46 09.2975756496 +15 42 00.965181780|183.2352276858906 -18.7832317288275|   0.695 -5.770  |10.70    |~                 |    ~     ~    
4209|TYC 1267-995-1                                                        |Star                           |04 47 36.2316760848 +16 03 28.297203192|183.1509939565613 -18.2904047294259|  -2.942 -7.896  |10.61    |~                 |    ~     ~    
4210|TYC 1267-1084-1                                                       |Star                           |04 46 14.7914284440 +15 08 06.421496676|183.7294545570969 -19.1016067842928|   0.389 -4.901  |10.69    |~                 |    ~     ~    
4211|TYC 1271-1321-1                                                       |Star                           |04 46 57.0601350240 +17 52 29.065194084|181.5243240170018 -17.3276119431186| 12.772 -10.120  |10.48    |~                 |    ~     ~    
4212|TYC 1271-1370-1                                                       |Star                           |04 47 17.6038361208 +18 00 27.510875496|181.4646215326185 -17.1825466405432|    6.469 0.611  |10.97    |~                 |    ~     ~    
4213|TYC 1275-1629-1                                                       |Star                           |04 47 52.8024442632 +20 09 22.740073452|179.7687529804317 -15.7713117353159|  7.518 -16.003  |10.68    |~                 |    ~     ~    
4214|TYC 1275-1825-1                                                       |Star                           |04 47 02.9277987240 +20 18 26.853899940|179.5207194840454 -15.8338149647312|  -2.616 -6.392  |10.54    |~                 |    ~     ~    
4215|TYC 1275-1829-1                                                       |Star                           |04 46 54.0144684624 +19 52 40.094897088|179.8528105876937 -16.1234581011959|  3.978 -18.295  |10.77    |~                 |    ~     ~    
4216|TYC 1275-2027-1                                                       |Star                           |04 47 40.6545159984 +19 51 50.806877256|179.9798489797603 -15.9867634958324|   -0.007 1.814  |10.82    |~                 |    ~     ~    
4217|TYC 1280-879-1                                                        |Star                           |04 53 04.0822340928 +16 13 48.819723852|183.8187843039753 -17.1298671926652|   0.272 -3.372  |10.99    |~                 |    ~     ~    
4218|TYC 1281-101-1                                                        |Star                           |04 59 59.4765140544 +16 48 53.254735236|184.3300560085433 -15.4404115695960|  -0.173 -0.730  |10.62    |~                 |    ~     ~    
4219|TYC 1281-503-1                                                        |Star                           |04 58 53.6304408576 +16 39 55.149668388|184.2989249652073 -15.7411957353109|  -2.375 -0.734  |10.69    |~                 |    ~     ~    
4220|TYC 1281-1776-1                                                       |Star                           |04 59 18.2042606472 +15 03 58.842238968|185.7189654437051 -16.5815422593847|    0.627 6.500  |10.96    |~                 |    ~     ~    
4221|TYC 1284-303-1                                                        |Spectroscopic Binary           |04 52 07.2088099152 +18 16 12.574652916|181.9618229665450 -16.1069269885464|   8.469 -9.062  |10.99    |~                 |    ~     ~    
4222|TYC 1284-338-1                                                        |Star                           |04 51 38.9836718736 +17 17 47.348457504|182.7092191466047 -16.7753096608240|   1.016 -6.789  |10.81    |~                 |    ~     ~    
4223|TYC 1284-870-1                                                        |Spectroscopic Binary           |04 48 37.6499410416 +17 06 15.229498140|182.4216808045531 -17.4698574389877|  1.638 -11.533  |10.53    |~                 |    ~     ~    
4224|TYC 1284-889-1                                                        |Star                           |04 49 55.1347886064 +18 18 13.394642076|181.6087298132879 -16.5060558830623|   1.345 -8.726  |10.67    |~                 |    ~     ~    
4225|TYC 1284-1058-1                                                       |Star                           |04 48 39.4809290640 +17 00 52.703274348|182.5016161675881 -17.5174745043915| 11.987 -26.789  |10.69    |~                 |    ~     ~    
4226|TYC 1284-1100-1                                                       |Star                           |04 51 30.0843716616 +17 52 25.367688660|182.2026157472788 -16.4610064554079|  -7.384 -6.886  |10.90    |~                 |    ~     ~    
4227|TYC 1285-221-1                                                        |Star                           |04 56 37.9376411232 +18 25 46.128214380|182.4862404585228 -15.1494912818939| 10.355 -17.365  |10.93    |~                 |    ~     ~    
4228|TYC 1285-1223-1                                                       |Star                           |04 56 04.6946831256 +17 48 20.992324140|182.9293729455948 -15.6224882934858|  4.291 -11.151  |10.86    |~                 |    ~     ~    
4229|TYC 1285-1453-1                                                       |Star                           |04 58 02.4023833224 +17 48 44.259717024|183.2075703311111 -15.2401701570755| -3.402 -20.567  |10.60    |~                 |    ~     ~    
4230|TYC 1288-70-1                                                         |Star                           |04 52 54.7221614304 +19 08 10.625366292|181.3551374332826 -15.4402404508359| -1.854 -13.933  |10.97    |~                 |    ~     ~    
4231|TYC 1288-361-1                                                        |Star                           |04 55 21.4638535752 +20 34 03.074847744|180.5220779082686 -14.1248065171139|    6.649 2.277  |10.78    |~                 |    ~     ~    
4232|TYC 1288-787-1                                                        |Star                           |04 50 29.8057951200 +19 59 21.813514080|180.2930815504294 -15.3836128698117|   5.562 -0.122  |10.855   |M3V               |    ~     ~    
4233|TYC 1288-1003-1                                                       |Star                           |04 54 22.0278430584 +20 10 21.361332612|180.7060685285664 -14.5468071616777|    3.099 5.421  |10.92    |~                 |    ~     ~    
4234|TYC 1288-1402-1                                                       |Star                           |04 54 57.0477671760 +19 45 43.664051448|181.1311440534876 -14.6813763884346| 14.092 -18.890  |10.99    |~                 |    ~     ~    
4235|TYC 1289-460-1                                                        |Star                           |04 57 03.6615999576 +19 49 33.213295416|181.3822849744185 -14.2439649094957|   0.291 -6.923  |10.97    |~                 |    ~     ~    
4236|TYC 1289-539-1                                                        |Star                           |04 57 56.3662668672 +20 05 18.934651860|181.2896772399569 -13.9221727549135|   7.063 -4.809  |10.78    |~                 |    ~     ~    
4237|TYC 1289-574-1                                                        |Star                           |04 59 11.9648375616 +19 39 35.569124100|181.8263935001087 -13.9354221072559|   18.369 1.381  |10.97    |~                 |    ~     ~    
4238|IRAS 04457+2216                                                       |Star                           |04 48 44.7962767320 +22 22 01.530341652|178.0842966430045 -14.2608303042914|   1.049 -5.119  |10.30    |~                 |    ~     ~    
4239|TYC 1292-248-1                                                        |Star                           |04 50 45.6265192416 +21 41 20.346383220|178.9325045482540 -14.3052758385018|   6.396 -8.139  |10.55    |~                 |    ~     ~    
4240|TYC 1292-920-1                                                        |Star                           |04 53 45.7567627464 +21 47 02.758402788|179.2894083471337 -13.6927598345364|   1.316 -9.807  |10.91    |~                 |    ~     ~    
4241|TYC 1292-970-1                                                        |Star                           |04 48 17.4880142856 +21 37 20.688555468|178.6254898688299 -14.8004840926928|  -0.317 -8.054  |10.98    |~                 |    ~     ~    
4242|TYC 1292-1222-1                                                       |Star                           |04 49 47.7379480344 +21 28 36.125970240|178.9655659594279 -14.6124332184842|   6.271 -7.757  |10.75    |~                 |    ~     ~    
4243|TYC 1292-1456-1                                                       |Star                           |04 54 38.2213559496 +21 22 36.057202140|179.7503375952938 -13.7754059463774|  0.019 -12.479  |10.87    |~                 |    ~     ~    
4244|TYC 1292-2260-1                                                       |Star                           |04 54 59.1801192360 +20 51 01.642679928|180.2346609656331 -14.0254453631985|   2.818 -3.328  |10.93    |~                 |    ~     ~    
4245|TYC 1293-1119-1                                                       |Star                           |04 56 30.4371590568 +22 26 58.435648368|179.1357669155793 -12.7847082454725|  1.090 -13.947  |10.83    |~                 |    ~     ~    
4246|TYC 1293-1854-1                                                       |Star                           |04 56 02.7915633360 +21 53 48.942683016|179.5241457958848 -13.2013299336649|   3.982 -1.285  |10.86    |~                 |    ~     ~    
4247|TYC 1293-2744-1                                                       |Star                           |04 56 52.3554018864 +20 57 41.753682504|180.4134495373149 -13.6056036514373|   3.907 -9.389  |10.67    |~                 |    ~     ~    
4248|TYC 1832-1154-1                                                       |Star                           |04 57 31.2184967520 +22 39 55.183046796|179.1022980284379 -12.4681849239340|  6.670 -14.990  |9.73     |~                 |    ~     ~    
4249|BD+23 771                                                             |Star                           |04 56 31.7563599864 +23 29 51.976734684|178.2808308320255 -12.1507359096264|   3.510 -5.170  |10.94    |G8III             |    ~     ~    
4250|TYC 1832-1332-1                                                       |Star                           |04 57 34.9011954120 +22 53 22.424359884|178.9270674131715 -12.3226170229261|  -1.863 -5.218  |10.83    |~                 |    ~     ~    
4251|TYC 1832-1760-1                                                       |Star                           |04 54 38.1399942552 +22 54 32.098800024|178.4930677587154 -12.8529711427999| -6.197 -17.816  |10.71    |~                 |    ~     ~    
4252|TYC 1835-675-1                                                        |Star                           |04 49 39.5452447032 +26 01 46.080683256|175.2580635259241 -11.8365288377548|  4.896 -12.527  |10.90    |~                 |    ~     ~    
4253|PM J04467+2602                                                        |High Proper Motion Star        |04 46 47.5119509808 +26 02 07.134783720|174.8426512128010 -12.3364042050767|  9.093 -57.798  |10.960   |M4                |    ~     ~    
4254|TYC 1836-1420-1                                                       |Star                           |04 54 52.0462455912 +24 56 29.031244044|176.8723647567074 -11.5782826424971|   0.835 -3.835  |10.72    |~                 |    ~     ~    
4255|TYC 1839-597-1                                                        |Star                           |04 48 19.7491923840 +26 47 52.200238416|174.4547753001612 -11.5908049067365|   0.749 -4.903  |10.97    |~                 |    ~     ~    
4256|BD+26 743                                                             |Star                           |04 45 13.6347635856 +26 28 56.948076228|174.2609429792033 -12.3283302876768|  7.410 -14.597  |10.58    |K2III             |    ~     ~    
4257|TYC 1840-65-1                                                         |Star                           |04 57 30.5560268232 +27 03 46.249968420|175.5264194300781 -09.8165079205243|  7.243 -13.478  |10.73    |~                 |    ~     ~    
4258|TYC 1843-96-1                                                         |Star                           |04 52 59.6790493488 +28 24 49.048116552|173.8220421001875 -09.7763082057333|   3.996 -6.027  |10.88    |~                 |    ~     ~    
4259|TYC 1843-208-1                                                        |Horizontal Branch Star         |04 47 12.8970619320 +28 44 43.543228200|172.7529160077780 -10.5590582223349|  -0.797 -7.085  |10.91    |~                 |    ~     ~    
4260|TYC 1843-292-1                                                        |Star                           |04 47 06.8445567600 +28 46 18.908993820|172.7178203702418 -10.5594758025064|   2.931 -6.984  |10.80    |~                 |    ~     ~    
4261|TYC 1843-597-1                                                        |Star                           |04 46 43.1862098400 +29 53 03.999399036|171.7873168004840 -09.9217947780682|   6.283 -3.132  |10.50    |~                 |    ~     ~    
4262|TYC 1843-832-1                                                        |Star                           |04 47 12.9750886584 +28 09 53.903373732|173.2115820576796 -10.9249316448981|-15.587 -11.547  |10.99    |~                 |    ~     ~    
4263|TYC 1844-16-1                                                         |Star                           |04 53 38.1337041672 +28 16 17.778920880|174.0237835751566 -09.7533450167805|   1.977 -7.339  |10.93    |~                 |    ~     ~    
4264|TYC 1844-493-1                                                        |Star                           |04 57 34.1710848504 +29 06 47.249701380|173.8886220773683 -08.5555898659190|   9.826 -4.174  |10.74    |~                 |    ~     ~    
4265|IRAS 04440+3157                                                       |Star                           |04 47 21.1374496848 +32 02 44.855571984|170.1843961106569 -08.4432683616756|   2.764 -4.218  |10.39    |~                 |    ~     ~    
4266|TYC 2378-56-1                                                         |Star                           |04 46 19.6811234664 +32 15 16.030678860|169.8821126021237 -08.4770949401761|  4.407 -17.218  |10.80    |~                 |    ~     ~    
4267|TYC 2378-154-1                                                        |Star                           |04 45 04.3583194392 +32 18 22.803879168|169.6699483586778 -08.6476246291938|   9.020 -5.937  |10.86    |~                 |    ~     ~    
4268|TYC 2378-610-1                                                        |Star                           |04 46 13.4837861904 +32 46 27.870655260|169.4641338233513 -08.1612160356556|   1.987 -9.206  |10.94    |~                 |    ~     ~    
4269|TYC 2386-1298-1                                                       |Star                           |04 47 44.8932067968 +36 40 59.719811880|166.6450469993931 -05.4148842815253|  -1.428 -8.445  |10.48    |~                 |    ~     ~    
4270|TYC 2387-104-1                                                        |Star                           |04 50 08.3011608384 +31 07 58.462245012|171.2786609103283 -08.5621123552591|   2.672 -3.272  |10.86    |~                 |    ~     ~    
4271|TYC 2387-548-1                                                        |Star                           |04 48 46.4371131432 +31 02 23.058468888|171.1653217744384 -08.8475238931772|   1.144 -9.029  |10.93    |~                 |    ~     ~    
4272|TYC 2387-945-1                                                        |Star                           |04 53 28.3479438552 +31 20 47.205476376|171.5615686529586 -07.8728409927676|  -0.428 -5.712  |10.67    |~                 |    ~     ~    
4273|HD 31734B                                                             |High Proper Motion Star        |04 59 36.6309607728 +31 35 05.013119472|172.1869620991631 -06.6959527827385| 73.552 -45.081  |10.22    |~                 |    ~     ~    
4274|TYC 2388-1177-1                                                       |Star                           |04 59 17.8551787224 +30 51 51.920523540|172.7202272570274 -07.1890019069557|   2.338 -4.756  |10.88    |~                 |    ~     ~    
4275|TYC 2388-1569-1                                                       |Star                           |04 59 53.2369791888 +30 16 00.183388548|173.2758792067342 -07.4528752251060|   2.324 -7.280  |10.97    |~                 |    ~     ~    
4276|TYC 2388-1903-1                                                       |Star                           |04 59 44.0627835984 +30 08 40.963104492|173.3532126497043 -07.5533652495012|    5.072 1.175  |10.95    |~                 |    ~     ~    
4277|TYC 2395-541-1                                                        |Star                           |04 56 51.9573919704 +35 24 49.644370584|168.8015154917360 -04.7871839089540| -1.910 -17.291  |10.73    |~                 |    ~     ~    
4278|TYC 2395-788-1                                                        |Star                           |04 48 22.2439345248 +34 35 34.020356280|168.3417156619455 -06.6555781751299|  -0.420 -8.951  |10.91    |~                 |    ~     ~    
4279|TYC 2395-1198-1                                                       |Star                           |04 51 36.0505209624 +34 06 34.271898264|169.1434735404724 -06.4468588936823|   1.322 -3.614  |10.92    |~                 |    ~     ~    
4280|TYC 2396-1749-1                                                       |Star                           |04 57 52.3291518792 +34 17 24.538785576|169.8154548479261 -05.3211231657242|  9.792 -42.450  |10.90    |~                 |    ~     ~    
4281|TYC 2399-11-1                                                         |Star                           |04 53 34.3885338768 +37 17 24.964004616|166.9169126952018 -04.1311237135917| -15.604 -1.384  |10.98    |~                 |    ~     ~    
4282|TYC 2399-176-1                                                        |Star                           |04 51 38.2872214248 +36 35 00.642127092|167.2217160582051 -04.8772319821242|  10.764 -5.960  |10.77    |~                 |    ~     ~    
4283|BD+35 909                                                             |Star                           |04 49 28.8294678840 +36 10 26.546360988|167.2621286098021 -05.4727542543663| -5.064 -10.160  |10.31    |~                 |    ~     ~    
4284|TYC 2399-379-1                                                        |Star                           |04 49 56.2283033088 +37 20 27.136978440|166.4182269597639 -04.6583506692555|   2.408 -6.504  |10.83    |~                 |    ~     ~    
4285|TYC 2399-528-1                                                        |Star                           |04 48 41.2869444600 +36 33 01.885746744|166.8687784089223 -05.3551124982103|   2.587 -5.655  |10.79    |~                 |    ~     ~    
4286|TYC 2399-533-1                                                        |Star                           |04 50 48.2391895656 +37 17 12.616421928|166.5701153115639 -04.5598346457969|  1.665 -12.042  |10.55    |~                 |    ~     ~    
4287|TYC 2399-667-1                                                        |Star                           |04 55 07.2817851792 +37 09 01.988190576|167.2199423596507 -03.9789706159128|  -3.338 -6.341  |10.80    |~                 |    ~     ~    
4288|TYC 2399-1570-1                                                       |Star                           |04 49 58.3102729848 +35 43 53.107506372|167.6686557775387 -05.6779308140233|  -0.962 -9.911  |10.84    |~                 |    ~     ~    
4289|TYC 2893-92-1                                                         |Star                           |04 49 16.6954240656 +39 17 08.053143504|164.8358305242873 -03.5149448583803| -1.056 -28.781  |10.85    |~                 |    ~     ~    
4290|TYC 2893-222-1                                                        |Star                           |04 46 13.0319666208 +39 12 27.881971668|164.5130979939837 -04.0185067699068|   0.237 -9.421  |10.37    |~                 |    ~     ~    
4291|BD+38 943                                                             |Double or Multiple Star        |04 49 19.4940288312 +39 13 59.026586484|164.8820274079975 -03.5416371046905|-32.882 -34.491  |10.31    |~                 |    ~     ~    
4292|IRAS 04450+3840                                                       |Star                           |04 48 22.0699530192 +38 45 47.979847188|165.1237484643596 -03.9855413570541|  8.549 -14.630  |10.80    |~                 |    ~     ~    
4293|TYC 2893-964-1                                                        |Star                           |04 47 07.2361444152 +38 29 50.003748744|165.1708480838771 -04.3432232391181|    6.407 1.331  |10.81    |~                 |    ~     ~    
4294|TYC 2893-1105-1                                                       |Star                           |04 46 18.6617211144 +38 16 05.790857232|165.2435179025466 -04.6121822013590|   -0.726 2.097  |10.96    |~                 |    ~     ~    
4295|TYC 2893-1407-1                                                       |Star                           |04 46 44.7991593072 +38 34 25.371439824|165.0649215008554 -04.3497488825602|  7.405 -10.939  |10.67    |~                 |    ~     ~    
4296|TYC 2894-235-1                                                        |Star                           |04 55 33.2678333064 +39 20 05.635536936|165.5678000467828 -02.5443958538587|  -3.657 -1.325  |10.82    |~                 |    ~     ~    
4297|TYC 2894-312-1                                                        |Star                           |04 56 40.7339738400 +39 16 14.088652032|165.7541815313283 -02.4148548350128|   1.275 -2.106  |10.84    |~                 |    ~     ~    
4298|TYC 2894-716-1                                                        |Star                           |04 59 45.1326572256 +38 52 14.537666856|166.4384482968277 -02.1951948228982|   3.054 -9.246  |10.42    |~                 |    ~     ~    
4299|TYC 2894-1171-1                                                       |Double or Multiple Star        |04 59 57.064032 +38 36 03.95028        |166.674778195 -02.330942197        |       6.4 -8.2  |10.564   |~                 |    ~     ~    
4300|TYC 2894-1700-1                                                       |Star                           |04 55 23.4330868104 +38 48 31.832149752|165.9582872905903 -02.8988129984388| 13.719 -13.143  |10.89    |~                 |    ~     ~    
4301|TYC 2894-2699-1                                                       |Star                           |04 50 52.6008298128 +37 50 34.251423504|166.1488931275253 -04.1951971678257|   4.771 -5.173  |10.90    |~                 |    ~     ~    
4302|TYC 2897-91-1                                                         |Star                           |04 47 05.1848770584 +41 10 02.123147244|163.1238069610027 -02.6243474185943|   1.396 -3.344  |10.28    |~                 |    ~     ~    
4303|TYC 2897-267-1                                                        |Star                           |04 48 09.5976771528 +40 45 23.212071360|163.5689301993524 -02.7345159016005|  -2.932 -2.731  |10.81    |~                 |    ~     ~    
4304|TYC 2897-491-1                                                        |Star                           |04 48 58.8787139256 +41 05 15.836064684|163.4148042862366 -02.4026805681625| -4.933 -11.250  |10.96    |~                 |    ~     ~    
4305|TYC 2897-676-1                                                        |Star                           |04 46 13.0838388072 +39 46 43.069484784|164.0771442635696 -03.6487706531994|    1.292 0.069  |10.77    |~                 |    ~     ~    
4306|TYC 2897-853-1                                                        |Star                           |04 45 12.2133435384 +40 35 25.970531928|163.3323429540442 -03.2692396058542|   1.029 -0.078  |10.74    |~                 |    ~     ~    
4307|TYC 2897-903-1                                                        |Star                           |04 47 47.4460966200 +40 58 05.559139272|163.3617745810039 -02.6514651732023|   9.210 -8.359  |10.62    |~                 |    ~     ~    
4308|TYC 2897-1790-1                                                       |Star                           |04 48 26.2819649280 +40 47 20.582530908|163.5778630625538 -02.6732381624755|   1.327 -1.111  |10.34    |~                 |    ~     ~    
4309|TYC 2897-2160-1                                                       |Star                           |04 48 36.7747211832 +40 21 06.810179112|163.9344823416336 -02.9288501134856|  -0.253 -8.834  |10.87    |~                 |    ~     ~    
4310|TYC 2898-77-1                                                         |Star                           |04 52 18.5399121984 +39 23 08.031139764|165.1326277928118 -02.9995582966204|  -0.860 -8.856  |10.45    |~                 |    ~     ~    
4311|TYC 2898-87-1                                                         |Star                           |04 53 54.7814362512 +40 48 20.472453792|164.2256173268499 -01.8639203638857|   0.354 -3.250  |10.85    |~                 |    ~     ~    
